from_stop,AC,AE,AH,AI,AO,AQ,AU,BA,BC,BE,BR,BS,BV,BW,BY,CJ,CS,CW,CZ,EC,ED,EZ,FB,FQ,FZ,GA,GO,HA,HC,HG,HK,HM,HZ,IM,IV,JE,JL,JN,JP,KH,KI,KL,LO,LX,MK,MO,MT,NI,NY,OF,OV,OX,OZ,PC,PG,PH,PU,PY,QK,QU,RH,UB,UM,US,UX,VC,VF,VH,VL,VO,WD,WI,WX,XA,XC,XI,XL,YK,YP,ZQ
KL,375.2,248.5,482.5,232.1,180.7,319.4,50.6,162.7,374.5,815.7,190.6,255.2,338.1,27.1,151.0,247.9,414.6,196.8,662.6,514.7,779.8,779.1,396.7,347.2,1062.9,685.2,384.3,407.8,565.6,90.0,150.9,373.4,181.5,366.4,135.5,397.0,376.0,169.8,341.6,175.7,202.8,0.0,176.7,555.9,805.7,83.1,605.3,782.7,290.3,133.9,225.9,485.3,164.4,246.5,56.3,216.9,224.5,160.7,369.5,302.9,722.0,120.8,93.8,390.6,439.5,350.2,232.5,423.9,742.0,188.7,525.4,117.4,283.9,398.9,103.6,388.1,179.8,214.2,200.5,39.8
LO,459.1,363.6,571.6,217.4,219.0,373.0,123.6,298.4,463.6,834.0,326.3,240.5,409.8,144.1,286.7,233.2,503.7,182.1,697.8,603.8,815.0,840.4,485.8,255.3,1014.3,661.8,499.4,496.9,600.8,224.3,285.2,488.5,335.2,447.9,289.2,486.1,460.3,323.5,432.1,161.0,66.9,173.9,0.0,591.1,840.9,223.1,640.5,817.9,152.4,269.6,90.0,574.4,270.2,231.8,118.6,202.2,265.8,146.0,458.6,288.2,698.6,156.7,205.1,298.7,528.6,439.3,329.6,332.0,777.2,211.0,576.3,251.7,192.0,488.0,152.5,296.2,276.9,199.5,290.0,133.0
LX,659.9,626.5,560.7,655.9,558.7,699.4,666.5,523.2,539.2,262.6,527.2,788.0,716.1,643.0,478.9,633.6,544.1,595.6,122.1,545.9,239.3,238.6,640.5,650.3,522.4,262.2,673.7,572.7,104.8,548.2,480.6,729.2,541.2,744.4,531.5,561.9,623.1,552.3,588.7,616.7,653.5,615.8,652.3,0.0,265.2,587.2,144.5,274.5,640.8,498.0,676.6,568.0,464.0,636.0,666.1,749.7,602.5,631.7,555.7,665.9,256.0,560.7,572.0,654.4,517.7,594.0,593.6,687.7,201.5,566.7,499.3,489.5,547.7,581.0,582.7,651.9,557.8,640.0,578.5,655.7
MK,762.0,812.6,779.1,842.0,744.8,912.1,852.6,709.3,723.0,403.2,713.3,974.1,948.9,829.1,665.0,819.7,732.5,781.7,361.4,704.2,406.3,295.2,789.1,887.8,584.1,308.3,814.4,766.3,358.7,734.3,666.7,780.2,727.3,987.0,717.6,755.5,794.7,738.4,807.1,802.8,839.6,801.9,838.4,289.3,0.0,773.3,398.4,65.4,902.2,684.1,862.7,741.5,650.1,822.1,852.2,935.8,788.6,817.8,770.0,852.0,305.5,746.8,758.1,902.2,736.1,773.6,801.9,964.5,379.8,752.8,628.1,697.8,898.3,725.5,768.8,935.8,743.9,852.8,764.6,841.8
MO,324.2,197.5,431.5,238.6,129.7,268.4,108.4,111.7,323.5,787.6,139.6,261.7,287.1,84.9,100.0,204.6,363.6,166.6,634.5,463.7,751.7,751.0,345.7,376.9,1034.8,657.1,333.3,356.8,537.5,92.4,123.7,322.4,130.5,315.4,84.5,346.0,325.0,118.8,290.6,182.2,232.5,68.4,206.4,527.8,777.6,0.0,577.2,754.6,320.0,82.9,255.6,434.3,113.4,207.0,114.1,223.4,173.5,167.2,318.5,236.9,693.9,123.2,96.2,420.3,388.5,299.2,186.8,453.6,713.9,137.7,474.4,119.8,313.6,347.9,143.4,417.8,128.8,220.7,149.5,97.6
MT,719.9,618.7,620.7,648.1,550.9,689.6,658.7,515.4,599.2,209.5,519.4,780.2,708.3,635.2,471.1,625.8,604.1,587.8,149.5,528.2,205.0,243.6,700.5,671.0,567.8,310.0,681.8,632.7,164.8,540.4,472.8,718.1,533.4,736.6,523.7,621.9,683.1,544.5,648.7,608.9,645.7,608.0,644.5,95.4,310.6,579.4,0.0,288.3,708.3,490.2,668.8,550.3,456.2,628.2,658.3,741.9,594.7,623.9,611.6,658.1,266.2,552.9,564.2,714.4,577.7,654.0,608.0,747.7,167.2,558.9,559.3,503.9,607.7,641.0,574.9,711.9,550.0,658.9,570.7,647.9
NI,696.5,768.6,712.9,798.7,700.8,813.0,808.6,666.0,656.8,337.0,670.0,930.1,882.7,785.1,621.0,775.7,666.3,737.7,318.1,638.7,340.1,251.9,722.9,861.8,540.8,229.6,748.2,700.8,314.7,690.3,622.7,714.0,683.3,920.8,673.6,689.3,728.5,694.4,740.9,758.8,795.6,757.9,795.1,287.6,46.7,729.3,354.4,0.0,782.9,640.1,818.7,675.3,606.8,778.1,808.2,891.8,744.6,773.8,686.1,808.0,239.3,702.8,714.1,875.5,669.9,707.4,752.6,937.8,313.6,708.8,561.9,653.8,682.5,659.3,724.8,909.1,699.9,804.3,720.6,797.8
NY,573.7,515.5,686.2,332.0,333.6,454.7,238.2,412.2,578.2,933.7,416.2,355.1,449.1,258.7,367.9,347.8,618.3,296.7,780.6,643.1,897.8,897.1,600.4,320.1,1079.1,691.9,538.7,611.5,683.6,296.7,369.6,640.4,336.9,562.5,420.5,600.7,574.9,441.3,546.7,200.3,134.8,288.5,140.4,720.4,923.7,337.7,723.3,900.7,0.0,387.0,111.7,689.0,353.0,346.4,233.2,241.5,380.4,260.6,577.3,402.8,741.2,229.1,202.2,363.5,643.2,553.9,504.8,396.8,860.0,325.6,690.9,248.8,256.8,602.6,224.9,361.0,391.5,234.3,404.6,247.6
OF,255.1,128.4,362.4,157.8,60.6,199.3,186.0,25.1,254.4,704.6,53.0,306.2,218.0,162.5,17.1,135.5,294.5,97.5,551.5,394.6,668.7,668.0,276.6,360.6,951.8,574.1,264.2,287.7,454.5,111.0,40.7,253.3,79.4,246.3,33.4,276.9,255.9,67.7,221.5,118.6,293.4,135.3,273.8,444.8,694.6,89.1,494.2,672.3,356.0,0.0,316.5,365.2,30.4,137.9,191.7,267.9,104.4,133.6,249.4,167.8,610.9,182.3,137.3,404.0,319.4,230.1,112.4,437.3,630.9,68.6,405.3,71.8,297.3,278.8,214.4,401.5,59.7,168.6,80.4,175.2
OV,500.7,405.2,613.2,259.0,260.6,414.6,165.2,340.0,505.2,850.7,350.1,282.1,451.4,185.7,301.8,274.8,545.3,223.7,714.5,645.4,831.7,857.1,527.4,272.0,1031.0,678.5,541.0,538.5,617.5,241.0,301.9,530.1,364.1,489.5,330.8,527.7,501.9,365.1,473.7,202.6,23.1,215.5,77.1,607.8,857.6,264.7,657.2,834.6,123.7,311.2,0.0,616.0,286.9,273.4,160.2,243.8,307.4,187.6,500.2,329.8,715.3,173.4,221.8,315.4,570.2,480.9,371.2,348.7,793.9,252.6,617.9,268.4,208.7,529.6,169.2,312.9,318.5,241.1,331.6,174.6
OX,332.8,404.8,250.1,482.7,458.7,418.7,577.3,434.0,228.6,580.3,438.0,637.0,456.7,553.8,389.7,460.4,233.5,495.6,510.1,157.6,602.8,536.6,292.6,606.6,809.4,528.2,285.4,237.3,461.3,459.0,391.4,327.9,452.0,522.7,442.3,226.5,312.5,463.1,278.1,516.7,564.3,526.6,563.1,403.4,653.2,498.0,501.0,630.9,626.9,408.8,587.4,0.0,374.8,481.2,576.9,598.7,429.3,531.7,241.0,492.7,577.5,471.5,482.8,650.0,207.1,249.1,413.0,683.3,620.1,466.7,188.7,422.5,543.3,270.4,493.5,647.5,397.8,512.6,405.3,566.5
OZ,289.1,162.4,396.4,191.8,94.6,233.3,219.3,59.1,288.4,674.1,87.0,340.2,252.0,195.8,14.9,169.5,328.5,131.5,521.0,428.6,638.2,637.5,310.6,330.1,921.3,543.6,298.2,321.7,424.0,80.5,10.2,287.3,90.8,280.3,67.4,310.9,289.9,101.7,255.5,152.6,262.9,168.6,261.7,414.3,664.1,123.1,463.7,641.8,325.5,34.0,286.0,399.2,0.0,171.9,225.0,301.9,138.4,167.6,283.4,201.8,580.4,151.8,106.8,373.5,353.4,264.1,146.4,406.8,600.4,102.6,439.3,41.3,266.8,312.8,183.9,371.0,93.7,202.6,114.4,208.5
PC,310.7,184.0,418.0,78.4,72.7,254.9,280.0,156.6,310.0,832.5,184.5,258.3,273.6,256.5,144.9,56.1,350.1,109.6,679.4,450.2,796.6,795.9,332.2,396.4,1079.7,702.0,319.8,343.3,582.4,238.9,168.6,308.9,193.4,301.9,147.4,332.5,311.5,181.7,277.1,102.2,252.0,229.3,225.9,572.7,822.5,183.1,622.1,800.2,339.5,127.8,275.1,420.8,158.3,0.0,285.7,220.0,41.8,85.7,305.0,88.4,738.8,284.1,257.1,439.8,375.0,285.7,156.7,473.1,758.8,80.7,460.9,199.7,333.1,334.4,326.6,437.3,121.5,32.2,68.6,269.2
PG,418.7,303.0,531.2,177.0,178.6,332.6,5.0,217.2,423.2,871.0,245.1,200.1,369.4,25.5,205.5,192.8,463.3,141.7,717.9,563.4,835.1,834.4,445.4,290.8,1118.2,740.5,438.8,456.5,620.9,143.2,204.1,427.9,236.0,407.5,190.0,445.7,419.9,224.3,391.7,120.6,146.4,55.2,120.3,611.2,861.0,105.4,660.6,838.7,233.9,188.4,169.5,534.0,218.9,191.4,0.0,161.8,225.4,105.6,418.2,247.8,777.3,128.1,116.9,334.2,488.2,398.9,289.2,367.5,797.3,170.6,535.9,170.6,227.5,447.6,105.9,331.7,236.5,159.1,249.6,14.3
PH,420.5,373.2,533.0,178.8,226.3,333.2,178.3,305.7,425.0,943.5,333.6,80.5,371.2,198.8,294.0,211.1,465.1,189.4,808.4,565.2,925.6,951.0,447.2,365.9,1124.9,737.7,470.8,458.3,711.4,316.6,317.7,459.9,342.5,409.3,296.5,447.5,421.7,330.8,393.5,168.3,221.5,228.6,195.4,748.2,951.5,253.3,751.1,931.4,233.7,276.9,244.6,535.8,307.4,239.1,173.3,0.0,243.7,153.3,420.0,266.1,787.0,267.3,290.3,409.3,490.0,400.7,336.9,442.6,887.8,218.3,537.7,344.0,302.6,449.4,263.1,406.8,284.2,202.3,270.5,187.7
PU,268.8,142.1,376.1,53.3,77.4,213.0,249.3,125.9,268.1,801.8,153.8,254.9,231.7,225.8,114.2,31.0,308.2,114.3,648.7,408.3,765.9,765.2,290.3,428.9,1049.0,671.3,277.9,301.4,551.7,208.2,137.9,267.0,162.7,260.0,116.7,290.6,269.6,151.0,235.2,134.7,284.5,198.6,258.4,542.0,791.8,152.4,591.4,768.8,372.0,97.1,307.6,378.9,127.6,60.3,255.0,216.6,0.0,118.2,263.1,63.3,708.1,253.4,226.4,472.3,333.1,243.8,114.8,505.6,728.1,85.4,419.0,169.0,365.6,292.5,295.9,469.8,79.6,78.7,26.8,238.5
PY,344.2,217.5,451.5,107.5,72.9,305.0,123.0,152.3,343.5,828.2,180.2,172.5,341.8,143.5,140.6,87.1,383.6,36.0,675.1,483.7,792.3,791.6,365.7,310.6,1075.4,697.7,353.3,376.8,578.1,234.6,164.3,342.4,189.1,379.9,143.1,366.0,345.0,177.4,310.6,14.9,166.2,225.0,140.1,568.4,818.2,178.8,617.8,795.2,253.7,123.5,189.3,454.3,154.0,85.7,118.0,134.2,119.7,0.0,338.5,142.1,734.5,279.8,252.8,354.0,408.5,319.2,220.0,387.3,754.5,64.9,494.4,195.4,247.3,367.9,207.8,351.5,130.8,53.4,143.9,132.4
QK,118.5,189.1,167.1,302.9,254.7,172.7,400.7,277.3,74.3,644.9,305.2,427.1,242.4,377.2,265.6,280.6,65.8,291.6,692.5,273.8,690.3,624.1,63.3,610.8,896.9,686.0,75.5,92.4,633.8,364.0,289.3,113.6,314.1,280.5,268.1,81.6,98.2,306.8,63.8,312.7,466.4,350.0,440.3,628.1,706.0,303.8,669.1,678.9,478.6,248.5,489.5,169.9,279.0,301.4,406.4,384.4,249.5,327.7,0.0,312.9,695.7,404.8,377.8,654.2,124.1,16.8,225.8,687.5,707.6,262.7,201.8,320.4,547.5,29.4,447.3,656.1,249.0,337.2,225.5,389.9
QU,346.3,219.6,453.6,69.8,149.4,289.3,326.8,203.4,345.6,898.1,231.3,271.4,309.2,303.3,191.7,47.5,385.7,172.3,726.2,485.8,843.4,842.7,367.8,445.4,1126.5,714.1,355.4,378.9,629.2,285.7,215.4,344.5,240.2,337.5,194.2,368.1,347.1,228.5,312.7,151.2,301.0,276.1,274.9,666.0,869.3,229.9,668.9,846.3,313.2,174.6,324.1,456.4,205.1,101.0,332.5,233.1,77.4,134.7,344.7,0.0,763.4,330.9,303.9,488.8,410.6,321.3,192.3,522.1,805.6,157.4,496.5,246.5,382.1,370.0,373.4,486.3,157.1,123.9,104.2,316.0
RH,787.5,688.9,704.8,718.1,620.9,758.6,697.9,585.4,683.3,318.6,589.4,814.8,778.5,687.2,541.1,695.8,688.2,657.8,307.0,612.3,359.9,222.8,747.3,660.7,524.6,126.5,740.1,734.8,304.3,592.4,542.8,782.6,603.4,806.8,593.7,724.0,767.2,614.5,732.8,678.9,680.3,660.0,679.1,234.9,267.4,649.4,344.0,245.1,742.9,560.2,703.4,634.4,526.2,698.2,692.9,776.5,664.7,693.9,695.7,728.1,0.0,604.9,616.2,763.9,661.8,703.8,672.7,737.4,377.2,628.9,643.4,573.9,597.4,725.1,626.9,701.6,620.0,724.4,640.7,707.3
UB,424.3,297.6,531.6,280.1,229.8,368.5,131.4,210.1,423.6,754.9,196.1,303.2,387.2,107.9,165.8,295.9,463.7,244.8,601.8,563.8,719.0,718.3,445.8,295.8,1002.1,624.4,433.4,456.9,504.8,67.5,128.4,422.5,210.1,415.5,184.6,446.1,425.1,218.9,390.7,223.7,168.7,113.7,167.5,495.1,744.9,142.3,544.5,721.9,238.9,183.0,191.8,534.4,150.9,294.5,137.1,264.9,273.6,208.7,418.6,350.9,661.2,0.0,82.1,339.2,488.6,399.3,281.6,372.5,681.2,237.8,574.5,94.9,232.5,448.0,49.5,336.7,228.9,262.2,249.6,120.6
UM,398.8,272.1,506.1,280.8,204.3,341.8,117.3,168.8,398.1,769.9,154.8,303.9,361.7,93.8,124.5,296.6,438.2,245.5,616.8,538.3,734.0,733.3,420.3,337.7,1017.1,604.7,407.9,431.4,519.8,26.2,87.1,397.0,168.8,390.0,161.3,420.6,399.6,179.9,365.2,224.4,214.2,99.6,213.0,556.6,759.9,119.0,559.5,736.9,209.1,143.6,237.3,508.9,109.6,295.2,123.0,265.6,248.1,209.4,393.1,311.5,654.0,75.0,0.0,381.1,463.1,373.8,256.1,414.4,696.2,212.3,549.0,53.6,274.4,422.5,77.0,378.6,203.4,258.4,224.1,106.5
US,669.2,540.7,781.7,427.5,429.1,583.1,333.7,437.4,673.7,855.2,441.4,450.6,619.9,354.2,393.1,443.3,713.8,392.2,729.1,708.1,868.7,861.6,695.9,71.4,816.4,683.0,676.5,707.0,632.1,374.2,394.8,665.6,455.4,658.0,445.7,696.2,670.4,466.5,633.8,371.1,316.1,384.0,314.9,622.4,746.3,433.2,671.8,724.0,378.7,412.2,339.2,784.5,378.2,441.9,328.7,412.3,475.9,356.1,668.7,498.3,719.8,324.6,373.0,0.0,738.7,649.4,530.0,94.5,830.9,421.1,739.2,401.6,116.9,698.1,320.4,65.8,472.0,409.6,500.1,343.1
UX,188.9,259.5,71.4,373.3,325.1,276.0,471.1,347.7,84.7,690.0,375.6,493.1,312.8,447.6,336.0,351.0,89.6,362.0,646.2,165.4,731.3,665.1,148.7,681.2,937.9,765.8,141.5,93.4,597.4,430.0,359.7,184.0,384.5,350.9,338.5,82.6,168.6,372.8,134.2,383.1,536.8,420.4,510.7,539.5,747.0,374.2,637.1,724.7,624.3,318.9,559.9,136.0,349.4,371.8,476.8,454.8,319.9,398.1,97.1,383.3,763.0,475.2,448.2,724.6,0.0,105.2,296.2,757.9,748.6,333.1,137.9,390.8,617.9,126.5,517.7,722.1,298.5,398.7,295.9,460.3
VC,126.3,224.2,147.5,339.4,289.8,259.5,435.8,312.4,82.4,665.6,340.3,430.5,296.3,412.3,300.7,317.1,82.4,326.7,672.9,179.7,706.9,640.7,46.4,644.3,913.5,713.3,78.9,72.8,609.8,394.7,324.4,121.4,349.2,334.4,303.2,62.0,106.0,337.5,71.6,347.8,474.2,385.1,448.1,566.2,722.6,338.9,649.5,699.6,561.7,283.6,497.3,150.3,314.1,337.9,441.5,392.2,286.0,362.8,16.5,349.4,738.6,439.9,412.9,687.7,104.5,0.0,269.7,721.0,724.2,297.8,152.2,355.5,581.0,45.9,482.4,685.2,254.5,364.8,262.0,425.0
VF,242.2,97.5,313.0,145.9,100.0,130.7,289.1,138.3,241.5,813.4,193.6,345.6,150.6,265.6,154.0,123.6,281.6,136.9,666.8,345.2,784.0,769.7,227.2,483.7,1042.5,648.9,251.3,274.8,582.7,248.0,177.7,240.4,202.5,178.9,129.1,264.0,243.0,163.4,208.6,185.4,339.3,211.0,313.2,600.9,809.9,192.2,603.8,781.9,426.8,136.9,362.4,352.3,140.0,144.4,267.4,334.7,92.5,200.4,240.6,155.9,698.2,265.8,266.2,554.5,306.5,217.2,0.0,560.4,746.2,108.0,392.4,208.8,420.4,265.9,308.3,552.0,43.0,203.2,68.5,250.9
VH,704.1,577.4,811.4,465.4,467.0,621.0,371.6,474.1,703.4,898.3,478.1,488.5,657.8,392.1,429.8,481.2,743.5,430.1,772.2,751.2,911.8,904.7,725.6,95.8,898.7,726.1,713.2,736.7,675.2,412.1,431.5,702.3,492.1,695.9,482.4,725.9,708.3,503.2,670.5,409.0,354.0,421.9,352.8,665.5,915.3,471.1,714.9,892.3,416.6,448.9,377.1,814.2,414.9,479.8,366.6,450.2,513.8,394.0,698.4,536.2,762.9,362.5,410.9,92.6,768.4,679.1,561.4,0.0,874.0,459.0,782.3,439.5,154.8,727.8,358.3,42.2,508.7,447.5,538.0,381.0
VL,839.8,752.6,740.6,782.0,684.8,823.5,792.6,649.3,719.1,148.8,653.3,914.1,842.2,769.1,605.0,759.7,724.0,721.7,269.4,648.1,37.7,260.4,820.4,782.3,557.4,361.1,801.7,752.6,284.7,674.3,606.7,838.0,667.3,870.5,657.6,741.8,803.0,678.4,768.6,742.8,779.6,741.9,778.4,215.3,342.3,713.3,324.4,320.0,842.2,624.1,802.7,670.2,590.1,762.1,792.2,875.8,728.6,757.8,731.5,792.0,358.3,686.8,698.1,796.7,697.6,773.9,736.6,859.0,0.0,692.8,679.2,637.8,792.8,760.9,708.8,830.3,683.9,792.8,704.6,781.8
VO,279.2,152.5,386.5,154.0,7.9,223.4,210.7,87.3,278.5,763.2,115.2,237.5,242.1,187.2,75.6,133.6,318.6,28.9,610.1,418.7,727.3,726.6,300.7,375.6,1010.4,632.7,288.3,311.8,513.1,169.6,99.3,277.4,124.1,270.4,78.1,301.0,280.0,112.4,245.6,50.0,231.2,160.0,205.1,503.4,753.2,113.8,552.8,730.2,318.7,58.5,254.3,389.3,89.0,100.7,216.4,199.2,102.9,64.9,273.5,166.3,669.5,214.8,187.8,419.0,343.5,254.2,155.0,452.3,689.5,0.0,429.4,130.4,312.3,302.9,257.3,416.5,65.8,99.9,78.9,199.9
WD,233.6,304.2,150.9,418.0,369.8,320.7,515.8,392.4,129.4,520.1,420.3,537.8,357.5,492.3,380.7,395.7,134.3,406.7,556.2,76.0,561.4,495.2,193.4,720.7,768.0,595.9,186.2,138.1,493.1,474.7,404.4,228.7,429.2,395.6,383.2,127.3,213.3,417.5,178.9,427.8,581.5,465.1,555.4,449.5,577.1,418.9,532.8,554.8,669.0,363.6,604.6,113.3,394.1,416.5,521.5,499.5,364.6,442.8,141.8,428.0,593.1,519.9,492.9,764.1,107.9,149.9,313.5,797.4,578.7,377.8,0.0,435.5,657.4,171.2,562.4,761.6,343.2,443.4,340.6,505.0
WI,345.1,218.4,452.4,247.8,150.6,288.1,177.9,115.1,344.4,716.4,101.1,369.4,308.0,154.4,70.8,225.5,384.5,187.5,563.3,484.6,680.5,679.8,366.6,372.4,963.6,551.2,354.2,377.7,466.3,39.1,33.4,343.3,115.1,336.3,123.4,366.9,345.9,126.2,311.5,208.6,279.2,127.2,278.0,456.6,706.4,134.4,506.0,684.1,274.1,89.9,302.3,455.2,55.9,227.9,183.6,331.1,194.4,223.6,339.4,257.8,600.5,110.4,65.4,415.8,409.4,320.1,202.4,449.1,642.7,158.6,495.3,0.0,309.1,368.8,142.5,413.3,149.7,254.1,170.4,167.1
WX,552.2,423.7,664.7,310.5,312.1,466.1,216.7,320.4,556.7,738.2,324.4,333.6,502.9,237.2,276.1,326.3,596.8,275.2,612.1,591.1,751.7,744.6,578.9,63.2,822.2,566.0,559.5,590.0,515.1,257.2,277.8,548.6,338.4,541.0,328.7,579.2,553.4,349.5,516.8,254.1,199.1,267.0,197.9,505.4,755.2,316.2,554.8,732.2,261.7,295.2,222.2,667.5,261.2,324.9,211.7,295.3,358.9,239.1,551.7,381.3,602.8,207.6,256.0,106.6,621.7,532.4,413.0,139.9,713.9,304.1,622.2,284.6,0.0,581.1,203.4,104.1,355.0,292.6,383.1,226.1
XA,149.7,220.3,194.2,334.1,285.9,236.8,431.9,308.5,44.9,619.6,336.4,453.9,273.6,408.4,296.8,311.8,36.4,322.8,723.5,248.5,660.9,594.7,94.5,642.0,867.5,695.4,102.3,161.2,660.4,390.8,320.5,144.8,345.3,311.7,299.3,112.8,129.4,333.6,95.0,343.9,497.6,381.2,471.5,616.8,676.6,335.0,700.1,653.6,585.1,279.7,520.7,197.0,310.2,332.6,437.6,415.6,280.7,358.9,31.1,344.1,692.6,436.0,409.0,685.4,151.2,48.0,257.0,718.7,678.2,293.9,172.4,351.6,578.7,0.0,478.5,682.9,280.2,359.5,256.7,421.1
XC,450.8,324.1,558.1,275.5,277.1,395.0,112.0,231.6,450.1,787.3,217.6,298.6,413.7,88.5,187.3,291.3,490.2,240.2,634.2,590.3,751.4,750.7,472.3,294.4,1034.5,656.8,459.9,483.4,537.2,89.0,149.9,449.0,231.6,442.0,211.1,472.6,451.6,242.7,417.2,219.1,167.3,94.3,166.1,527.5,777.3,126.5,576.9,755.0,237.5,209.5,190.4,560.9,172.4,289.9,117.7,260.3,323.9,204.1,445.1,346.3,693.6,32.3,62.7,337.8,515.1,425.8,313.4,371.1,713.6,269.1,601.0,116.4,231.1,474.5,0.0,335.3,255.4,257.6,276.1,101.2
XI,661.8,535.1,769.1,423.1,424.7,577.5,329.3,431.8,661.1,874.8,435.8,446.2,615.5,349.8,387.5,438.9,701.2,387.8,729.9,708.9,869.5,862.4,683.3,58.6,861.5,649.1,670.9,694.4,632.9,369.8,389.2,660.0,449.8,653.6,440.1,683.6,666.0,460.9,628.2,366.7,311.7,379.6,310.5,669.7,873.0,428.8,672.6,850.7,299.0,406.6,334.8,771.9,372.6,437.5,324.3,407.9,471.5,351.7,656.1,493.9,698.4,320.2,368.6,55.4,726.1,636.8,524.4,53.7,831.7,416.7,740.0,397.2,112.5,685.5,316.0,0.0,466.4,400.7,495.7,338.7
XL,269.4,142.7,335.6,140.3,56.9,213.6,220.9,97.5,268.7,773.4,125.4,302.5,232.3,197.4,85.8,118.0,308.8,93.8,620.3,367.8,737.5,736.8,290.9,440.6,1020.6,642.9,278.5,260.9,523.3,179.8,109.5,267.6,134.3,260.6,88.3,250.1,270.2,122.6,235.8,114.9,296.2,170.2,270.1,513.6,763.4,124.0,563.0,740.4,383.7,68.7,319.3,338.4,99.2,134.2,226.6,264.2,86.9,129.9,263.7,150.3,679.7,225.0,198.0,484.0,292.6,244.4,89.1,517.3,699.7,64.9,340.3,140.6,377.3,293.1,267.5,481.5,0.0,164.9,62.9,210.1
YK,353.6,226.9,460.9,82.6,109.5,321.1,172.0,193.4,352.9,869.3,221.3,221.5,316.5,192.5,181.7,62.2,393.0,86.5,716.2,493.1,833.4,832.7,375.1,359.6,1116.5,704.1,362.7,386.2,619.2,275.7,205.4,351.8,230.2,344.8,184.2,375.4,354.4,218.5,320.0,65.4,215.2,266.1,189.1,656.0,859.3,219.9,658.9,836.3,227.4,164.6,238.3,463.7,195.1,36.7,167.0,183.2,84.7,48.9,352.0,117.2,753.4,320.9,293.9,403.0,417.9,328.6,216.2,436.3,795.6,115.4,503.8,236.5,296.3,377.3,256.8,400.5,164.4,0.0,111.5,181.4
YP,242.0,115.3,349.3,77.3,50.6,186.2,222.5,99.1,241.3,775.0,127.0,278.9,204.9,199.0,87.4,55.0,281.4,87.5,621.9,381.5,739.1,738.4,263.5,431.0,1022.2,644.5,251.1,274.6,524.9,181.4,111.1,240.2,135.9,233.2,89.9,263.8,242.8,124.2,208.4,108.6,289.9,171.8,263.8,515.2,765.0,125.6,564.6,742.7,377.4,70.3,313.0,352.1,100.8,73.1,228.2,240.6,23.9,123.6,236.3,87.3,681.3,226.6,199.6,474.4,306.3,217.0,88.0,507.7,701.3,58.6,392.2,142.2,367.7,265.7,269.1,471.9,52.8,102.7,0.0,211.7
ZQ,415.3,288.6,522.6,193.5,195.1,349.1,10.7,202.8,414.6,856.6,230.7,216.6,385.9,11.1,191.1,209.3,454.7,158.2,703.5,554.8,820.7,820.0,436.8,307.3,1103.8,726.1,424.4,447.9,606.5,128.8,189.7,413.5,221.6,424.0,175.6,437.1,436.4,209.9,381.7,137.1,162.9,40.8,136.8,596.8,846.6,91.0,646.2,823.6,250.4,174.0,186.0,525.4,204.5,207.9,16.4,178.3,241.9,122.1,409.6,264.3,762.9,113.7,102.5,350.7,479.6,390.3,272.6,384.0,782.9,187.1,565.5,156.2,244.0,439.0,91.5,348.2,219.9,175.6,266.1,0.0
