from_stop,AA,AF,AI,AJ,AL,AM,AS,AU,AX,BA,BE,BG,BN,BP,BQ,BV,BW,CP,CR,CT,CV,CW,CY,DK,DU,DZ,EC,EL,EZ,FG,FM,FN,FQ,FS,FT,GI,GJ,GN,GP,GR,GU,GX,GY,HC,HD,HE,HH,HP,HX,ID,IF,IM,IP,IU,IX,JA,JE,JF,JG,JJ,JM,JN,JS,JV,JZ,KE,KI,KK,LG,LH,LK,LM,LV,MM,MT,ND,NM,NO,NP,NU,NW,NZ,OL,OP,OR,OS,OT,OV,OW,OX,OY,PK,PO,PX,QN,QP,QQ,QR,QU,QW,RA,RC,RF,RG,RI,RP,RT,RW,RZ,SD,SE,SL,SM,SO,SQ,TB,TD,TE,TI,TJ,TP,TW,TY,UL,UM,UV,VI,VL,VM,VN,VO,VW,WJ,WS,WU,XA,XB,XF,XH,XV,XW,YB,YC,YG,YM,YO,YU,ZB,ZC,ZJ,ZR,ZV
CV,83.2,163.4,187.4,168.8,103.7,268.0,283.5,95.7,329.5,272.4,120.2,129.4,206.5,53.3,965.0,1458.1,874.5,24.4,191.1,38.1,0.0,213.6,288.7,361.1,174.9,989.2,269.2,284.0,241.3,373.8,161.0,105.2,163.9,111.7,1125.8,155.5,173.4,120.2,1083.1,101.2,956.2,206.3,205.8,77.9,972.7,1074.8,303.5,93.7,75.4,847.6,311.2,202.4,272.2,47.3,42.2,199.6,97.7,110.2,361.7,86.0,300.7,45.7,901.1,312.9,15.0,350.0,353.8,152.5,60.1,93.3,300.6,200.3,896.6,900.2,92.7,196.1,94.1,234.5,202.0,919.9,240.6,1082.2,1136.1,1020.1,287.4,148.0,65.8,940.3,339.8,94.9,921.9,977.5,74.2,203.0,215.7,245.2,297.8,1015.9,340.8,114.5,113.0,264.3,230.0,311.9,63.0,238.8,331.4,232.3,1098.6,352.3,228.1,207.6,134.3,195.0,79.0,848.7,992.9,952.9,259.4,188.6,369.2,214.3,1051.9,254.7,160.8,244.5,81.5,1119.4,906.7,74.4,252.9,1041.1,118.9,282.6,192.2,378.0,214.2,237.2,189.9,896.5,287.1,269.0,1090.6,211.7,76.9,234.2,197.9,85.4,229.1,910.6,198.5,55.4
CW,265.5,217.7,189.3,206.5,239.6,200.4,164.6,187.9,279.9,312.5,187.0,185.1,225.5,241.7,900.5,1348.9,810.0,210.3,114.1,250.6,235.9,0.0,277.9,375.2,80.8,923.8,79.0,243.4,185.6,340.5,180.4,279.0,106.0,194.7,1060.4,72.6,89.4,135.9,1017.7,265.5,891.7,283.4,23.3,144.4,907.3,960.1,360.7,251.1,176.6,780.6,230.3,184.0,257.2,248.8,243.7,187.2,197.6,145.3,324.5,298.5,296.1,225.4,834.1,333.6,220.8,231.2,269.9,140.6,218.8,179.0,223.0,113.2,832.1,835.7,210.6,116.7,217.8,223.2,266.6,855.4,34.4,1016.8,1070.7,908.7,97.9,281.4,225.1,875.8,298.7,259.2,832.9,912.1,267.9,74.1,260.3,200.2,232.2,935.4,298.1,250.4,164.0,217.7,93.8,234.3,245.3,45.7,275.5,213.9,1033.2,382.8,198.8,263.1,204.9,68.4,247.1,784.2,928.4,888.4,160.8,81.9,312.6,207.0,986.5,40.7,62.5,27.2,245.8,1058.9,821.3,207.6,234.5,912.9,331.4,95.8,34.8,331.5,187.8,207.8,110.3,787.3,212.7,260.6,1025.2,60.9,185.2,112.8,53.2,177.6,256.1,843.4,74.9,202.1
CY,368.2,155.9,135.3,132.8,352.8,395.4,151.0,236.3,158.4,205.1,217.2,279.3,332.7,329.3,793.9,1372.2,703.4,312.2,245.4,330.9,287.7,335.4,0.0,184.2,257.4,761.3,383.2,398.2,375.1,152.0,258.0,395.5,277.8,309.3,897.9,277.3,292.0,238.8,855.2,358.8,785.1,145.6,327.6,269.6,744.8,846.9,93.8,296.5,222.7,676.5,425.4,339.6,101.1,292.4,287.3,294.4,227.0,192.7,132.1,355.0,11.9,333.2,730.0,83.3,302.8,160.1,124.2,249.5,256.1,304.2,129.5,310.1,725.5,729.1,232.9,190.4,343.1,82.9,126.3,748.8,267.7,854.3,908.2,792.2,401.3,310.0,268.7,769.2,158.4,352.5,750.8,749.6,311.5,233.0,120.0,169.0,438.5,844.8,111.2,353.5,212.5,394.3,307.7,140.8,346.5,352.7,160.3,378.7,870.7,191.8,361.9,136.3,303.6,240.8,330.0,677.6,821.8,781.8,403.6,302.5,198.1,314.2,824.0,315.4,282.6,304.4,341.9,891.5,735.6,262.0,357.1,813.2,411.1,398.1,314.0,148.4,351.4,161.0,246.3,736.3,116.0,97.9,862.7,325.6,284.4,378.4,267.1,246.6,90.7,739.5,317.1,297.1
DK,392.3,180.0,224.4,203.9,314.3,419.5,231.4,271.0,249.7,246.3,241.3,303.4,356.8,353.4,801.9,1322.7,794.7,336.3,269.5,355.0,311.8,359.5,193.8,0.0,281.5,701.1,407.3,422.3,399.2,30.8,282.1,419.6,301.9,333.4,837.7,301.4,316.1,262.9,795.0,382.9,796.3,241.8,351.7,293.7,684.6,786.7,96.6,319.3,246.8,767.8,449.5,363.7,192.4,316.5,311.4,318.5,265.6,216.8,144.3,380.2,177.8,357.3,821.3,111.2,326.9,252.6,118.4,273.6,286.5,328.3,165.3,334.2,816.8,820.4,257.0,268.3,367.2,154.7,181.9,840.1,345.6,794.1,848.0,732.0,425.4,271.5,292.8,832.7,170.6,376.6,842.1,689.4,335.6,310.9,175.6,193.1,462.6,793.8,144.2,315.0,251.1,418.4,385.6,154.0,370.6,376.8,177.6,402.8,810.5,7.6,386.0,160.4,327.7,318.7,354.1,768.9,759.6,845.3,427.7,326.6,204.8,338.3,763.8,393.3,306.7,382.3,366.0,831.3,826.9,286.1,381.2,753.0,372.6,422.2,338.1,160.6,375.5,185.1,270.4,827.6,181.8,189.2,802.5,349.7,308.5,402.5,345.0,281.3,114.8,830.8,341.2,327.5
DU,246.5,109.5,144.0,104.3,158.7,216.6,116.8,126.3,193.5,264.7,106.1,201.1,226.2,216.6,834.7,1283.1,744.2,187.7,40.3,206.4,163.2,106.1,230.1,327.4,0.0,837.4,144.2,256.0,201.8,295.2,99.5,271.0,134.4,203.9,974.0,113.4,74.4,119.4,931.3,234.3,825.9,238.1,99.1,186.9,820.9,890.5,249.6,170.2,98.2,717.3,246.5,201.1,209.4,167.9,162.8,187.9,117.0,64.4,283.7,230.5,248.3,202.8,770.8,285.8,178.3,175.0,222.1,59.7,137.9,188.2,175.2,133.7,766.3,769.9,130.6,68.9,243.3,175.4,218.8,789.6,70.0,930.4,984.3,842.9,164.9,203.0,144.2,810.0,250.9,228.0,767.1,825.7,187.0,35.3,212.5,152.4,248.4,869.6,252.8,169.5,85.6,233.9,110.0,186.5,226.3,116.3,227.7,257.3,946.8,335.0,215.0,153.7,225.4,43.1,215.9,718.4,862.6,822.6,177.0,110.3,233.2,207.7,900.1,119.3,105.4,108.3,217.4,972.5,755.5,137.5,250.6,847.1,263.4,159.1,81.7,266.8,189.3,160.0,41.2,721.5,161.7,212.8,938.8,89.2,159.9,169.8,69.4,136.6,175.2,777.6,68.4,178.9
DZ,1018.6,806.3,750.5,766.5,956.1,980.2,742.5,870.0,699.8,810.4,867.6,929.7,983.1,966.3,163.2,1010.4,295.2,962.6,821.9,971.3,938.1,866.7,808.6,683.9,787.2,0.0,907.8,1048.6,965.4,641.9,908.4,1045.9,928.2,959.7,136.5,866.8,838.0,889.2,93.8,1009.2,175.5,779.3,858.9,920.0,16.2,85.5,721.8,961.1,873.1,253.2,1010.1,990.0,808.2,942.8,937.7,944.8,860.7,843.1,739.9,1005.4,792.6,983.6,238.2,733.8,953.2,693.9,715.5,899.9,889.8,954.6,762.4,897.3,279.5,331.1,877.0,756.3,993.5,716.6,760.0,195.4,833.6,92.9,146.8,103.1,928.5,910.9,919.1,183.3,766.2,1002.9,271.3,38.4,961.9,798.9,753.7,755.8,1012.0,141.7,762.1,966.9,846.2,1044.7,873.6,751.1,996.9,879.9,774.7,1029.1,109.3,691.5,1012.3,786.7,954.0,806.7,980.4,285.6,138.9,195.9,940.6,873.9,801.9,964.6,62.6,881.3,860.3,870.3,992.3,130.1,295.7,912.4,1007.5,100.9,1012.0,922.7,845.3,757.7,1001.8,754.0,822.8,345.1,778.9,811.6,101.3,852.8,931.7,929.4,833.0,880.3,741.1,283.8,832.7,930.8
EC,240.8,262.2,233.8,248.5,281.1,185.4,206.2,220.6,306.1,341.5,228.5,151.9,223.3,274.4,966.0,1370.6,831.7,239.4,162.7,283.3,268.6,80.0,302.4,414.5,122.3,950.0,0.0,224.8,179.3,382.3,221.9,275.4,102.4,194.3,1086.6,101.7,119.4,168.6,1043.9,277.8,913.4,310.4,51.6,177.1,933.5,973.2,400.0,294.4,220.6,804.8,215.3,173.5,296.5,290.3,285.2,185.0,230.3,186.8,363.8,321.8,314.4,218.2,858.3,372.9,253.5,244.5,309.2,182.1,260.3,195.9,262.3,84.5,853.8,857.4,243.3,164.9,207.1,247.7,291.1,877.1,109.5,1043.0,1096.9,925.6,45.8,325.4,266.6,897.5,338.0,283.4,849.8,938.3,309.4,125.5,284.8,241.8,217.2,952.3,339.9,291.9,224.9,211.4,78.8,273.6,219.1,27.6,310.9,215.7,1059.4,422.1,192.5,287.6,176.2,124.0,296.1,805.9,953.2,910.1,145.8,78.3,345.8,197.3,1012.7,61.6,95.2,72.6,264.7,1080.2,874.2,240.3,236.3,929.8,364.1,34.3,63.9,379.4,161.7,249.4,163.6,809.0,248.8,299.9,1051.4,57.3,217.9,72.9,85.9,210.3,297.6,862.3,132.0,231.2
EL,253.6,282.9,315.2,329.9,390.8,46.7,279.6,293.0,388.6,434.4,308.3,192.7,91.7,310.2,1044.5,1506.4,924.8,262.5,242.5,301.7,287.0,201.2,395.3,489.4,227.8,1032.5,184.5,0.0,69.7,457.2,301.7,306.4,184.7,218.7,1169.1,181.3,183.7,236.6,1126.4,308.8,1024.2,403.3,193.4,249.5,1016.0,1051.7,474.9,372.4,300.4,897.9,45.9,124.1,371.4,326.5,329.3,136.4,302.7,266.6,438.7,349.6,413.5,244.2,951.4,447.8,271.9,415.7,384.1,261.9,303.4,234.4,337.2,154.0,946.9,950.5,253.4,231.0,204.1,340.6,384.0,970.2,227.0,1125.5,1179.4,1004.1,210.9,435.1,346.4,990.6,412.9,314.4,928.3,1020.8,345.0,189.8,377.7,315.2,40.2,1030.8,414.8,401.6,287.8,27.6,144.7,348.5,255.4,186.6,385.8,62.2,1141.9,497.0,53.8,327.1,193.3,180.2,316.2,899.0,1031.7,1003.2,54.8,160.6,426.8,116.0,1095.2,242.3,174.8,232.1,295.7,1167.6,952.7,285.1,51.2,1008.3,382.5,199.4,179.8,461.9,115.2,322.8,243.4,902.1,323.7,374.8,1133.9,159.5,262.7,166.9,151.7,282.7,348.6,938.8,206.1,262.4
EZ,212.5,241.8,279.3,294.0,349.7,56.6,243.7,258.0,364.2,398.5,272.4,153.2,69.4,269.1,983.7,1482.0,893.2,221.4,206.6,260.6,245.9,165.3,359.4,453.5,191.9,977.1,148.6,62.3,0.0,421.3,265.8,265.3,135.2,177.6,1113.7,145.2,147.8,200.7,1071.0,267.7,974.9,367.4,157.5,214.5,960.6,1031.3,439.0,338.3,264.5,866.3,108.3,66.9,335.5,285.4,288.2,101.4,267.7,230.7,402.8,308.5,371.4,220.2,919.8,411.9,230.8,379.8,348.2,226.0,262.3,193.3,301.3,95.0,915.3,918.9,212.3,195.1,163.0,304.7,348.1,938.6,191.1,1070.1,1124.0,983.7,175.0,394.0,310.5,959.0,377.0,273.3,907.9,965.4,303.9,153.9,341.8,279.3,74.1,1010.4,378.9,360.5,268.8,32.0,108.8,312.6,202.4,150.7,349.9,55.4,1086.5,461.1,13.1,286.0,152.2,145.9,291.4,867.4,1011.3,971.6,68.5,124.7,390.9,81.0,1039.8,206.4,134.7,196.2,254.6,1107.3,932.3,244.0,76.0,987.9,341.4,163.5,143.9,435.7,55.1,286.9,207.5,881.7,287.8,338.9,1078.5,123.6,221.6,131.0,115.8,247.7,307.5,920.4,170.2,221.3
FG,419.4,207.1,251.5,231.0,341.4,446.6,208.5,298.1,208.3,258.2,268.4,330.5,383.9,380.5,766.1,1286.9,753.3,363.4,287.9,382.1,338.9,332.7,165.5,27.0,253.2,665.3,373.8,449.4,426.3,0.0,309.2,446.7,329.0,360.5,801.9,328.5,304.0,290.0,759.2,410.0,760.5,258.2,328.7,320.8,648.8,747.6,78.7,344.6,273.9,726.4,476.1,390.8,165.1,343.6,338.5,345.6,292.7,243.9,98.3,407.3,141.3,378.5,779.9,90.7,354.0,206.6,72.4,300.7,313.6,355.4,119.3,361.3,775.4,779.0,284.1,222.3,394.3,181.8,209.0,798.7,299.6,758.3,812.2,696.2,394.5,298.6,319.9,796.9,124.6,403.7,800.7,653.6,362.7,264.9,240.1,220.2,478.0,758.0,119.0,342.1,261.3,445.5,339.6,108.0,397.7,345.9,131.6,429.9,774.7,34.6,413.1,187.5,354.8,272.7,391.6,727.5,723.8,809.5,406.6,353.7,158.8,365.4,728.0,347.3,333.8,336.3,393.1,800.4,785.5,313.2,408.3,717.2,399.7,388.7,311.3,88.7,402.6,212.2,288.8,786.2,131.6,168.5,766.7,318.8,335.6,399.4,299.0,308.4,141.9,789.4,298.7,354.6
FM,230.4,110.6,143.1,131.5,223.0,243.6,196.8,77.1,276.7,265.8,38.6,127.5,180.9,179.8,912.2,1413.8,821.7,171.6,157.9,185.3,147.1,183.6,235.9,308.3,130.6,936.4,231.4,246.4,223.3,321.0,0.0,252.4,126.0,168.0,1073.0,125.5,140.2,87.0,1030.3,240.8,903.4,234.7,175.8,137.7,919.9,1022.0,250.7,199.2,125.4,794.8,273.6,187.8,219.4,166.6,161.5,142.6,91.1,91.6,308.9,232.4,247.9,192.9,848.3,260.1,162.2,305.7,304.9,43.5,140.1,152.3,258.0,158.3,843.8,847.4,63.1,151.8,191.3,207.3,195.4,867.1,207.4,1029.4,1083.3,973.6,249.5,267.3,171.4,887.5,287.0,234.5,897.8,924.7,193.5,169.8,209.1,174.1,286.7,1000.3,288.0,233.8,106.4,242.5,203.4,269.3,210.2,200.9,306.6,226.9,1045.8,299.5,210.1,154.8,151.8,161.8,212.0,795.9,940.1,900.1,251.8,150.7,347.6,162.4,999.1,224.7,130.8,214.5,216.1,1066.6,888.8,101.6,205.3,977.8,265.3,246.3,162.2,325.2,199.6,167.9,156.7,852.2,244.5,216.2,1037.8,173.8,124.0,226.6,167.9,87.4,176.3,910.3,165.3,146.0
FN,117.5,237.6,285.5,266.9,118.9,302.3,366.1,192.4,403.7,359.6,220.4,163.7,240.8,150.0,1039.2,1556.2,948.7,75.6,285.5,114.8,100.1,275.5,362.9,435.3,273.0,1063.4,293.4,318.3,275.6,448.0,261.2,0.0,180.2,128.0,1200.0,222.0,270.1,216.9,1157.3,26.0,1030.4,293.0,272.3,144.4,1046.9,1149.0,377.7,150.2,173.5,921.8,345.5,236.7,346.4,98.4,103.5,233.9,197.9,208.3,435.9,46.3,374.9,62.0,975.3,387.1,85.0,448.1,428.0,252.7,146.8,109.6,374.8,234.6,970.8,974.4,192.9,317.5,128.4,308.7,295.2,994.1,311.1,1156.4,1210.3,1094.3,303.7,163.2,124.4,1014.5,414.0,31.6,1045.4,1051.7,69.1,276.3,302.9,331.9,332.1,1147.9,415.0,129.7,213.2,298.6,257.6,386.1,97.3,255.1,405.6,266.6,1172.8,426.5,262.4,281.8,168.6,268.3,51.8,922.9,1067.1,1027.1,293.7,204.9,443.4,248.6,1126.1,312.6,227.3,306.4,51.9,1193.6,980.9,160.3,287.2,1125.4,102.5,316.9,258.7,452.2,248.5,323.9,284.3,994.6,361.3,343.2,1164.8,228.0,137.9,268.5,238.2,182.1,303.3,984.8,292.6,105.8
FQ,168.9,137.7,221.4,236.1,268.2,174.2,185.8,145.4,290.3,259.7,195.6,92.7,133.2,182.6,925.8,1417.2,835.3,147.0,119.5,186.2,171.5,95.2,301.5,335.4,177.2,919.2,113.1,190.2,147.5,363.4,207.9,172.9,0.0,91.8,1055.8,56.0,89.9,93.7,1013.1,175.3,917.0,228.6,105.4,101.9,902.7,1047.1,277.8,252.1,144.4,808.4,217.4,108.6,277.6,208.7,213.8,94.9,155.1,172.8,344.9,219.3,313.5,115.7,861.9,287.2,156.4,315.2,290.3,168.1,175.8,93.4,243.4,62.8,857.4,861.0,108.2,137.2,160.4,246.8,209.3,880.7,130.8,1012.2,1066.1,999.5,123.4,312.5,224.3,901.1,319.1,180.9,923.7,907.5,218.4,96.0,203.0,221.4,197.7,1026.2,321.0,279.0,170.4,170.5,77.3,254.7,148.7,74.8,292.0,138.5,1028.6,326.6,134.3,181.9,117.0,88.0,201.1,809.5,953.7,913.7,153.5,24.6,333.0,114.7,981.9,132.3,47.5,126.1,162.2,1049.4,867.5,144.1,157.6,1003.7,267.0,142.9,92.6,377.8,120.4,229.0,118.3,855.6,229.9,281.0,1020.6,47.7,121.7,146.8,57.9,135.1,203.4,871.4,112.3,134.8
FS,80.3,158.9,262.2,241.7,161.0,198.9,289.7,105.6,325.0,280.9,141.0,36.3,137.4,118.4,960.5,1516.1,870.0,83.4,198.7,115.6,111.7,193.3,284.2,356.6,213.7,984.7,180.3,214.9,172.2,369.3,181.8,113.1,104.2,0.0,1121.3,135.2,183.3,130.1,1078.6,115.5,951.7,249.8,185.5,57.6,968.2,1070.3,299.0,174.3,151.7,843.1,242.1,133.3,267.7,139.3,144.4,99.1,115.3,149.0,357.2,159.5,296.2,55.9,896.6,308.4,96.6,326.7,349.3,173.3,116.0,15.6,296.1,107.2,892.1,895.7,113.5,241.1,72.4,230.0,219.6,915.4,228.9,1077.7,1131.6,1017.8,206.7,205.3,146.5,935.8,335.3,121.1,942.0,973.0,157.4,199.9,224.2,263.5,228.7,1044.5,336.3,171.8,130.6,195.2,167.0,307.4,58.6,179.1,326.9,163.2,1094.1,347.8,159.0,203.1,56.5,191.9,140.1,844.2,988.4,948.4,190.3,128.9,364.7,145.2,1047.4,234.4,140.5,224.2,102.4,1114.9,902.2,66.3,183.8,1022.0,196.4,195.2,171.9,373.5,145.1,255.5,197.5,915.8,282.6,264.5,1086.1,152.0,43.9,165.1,162.2,95.3,224.6,954.5,206.1,75.0
FT,1148.3,936.0,880.2,896.2,1085.8,1109.9,872.2,999.7,829.5,940.1,997.3,1059.4,1112.8,1096.0,260.2,1100.5,392.2,1092.3,951.6,1101.0,1067.8,996.4,938.3,813.6,916.9,129.6,1037.5,1178.3,1095.1,771.6,1038.1,1175.6,1057.9,1089.4,0.0,996.5,967.7,1018.9,87.5,1138.9,272.5,909.0,988.6,1049.7,145.9,97.4,851.5,1090.8,1002.8,350.2,1139.8,1119.7,937.9,1072.5,1067.4,1074.5,990.4,972.8,869.6,1135.1,922.3,1113.3,335.2,863.5,1082.9,823.6,845.2,1029.6,1019.5,1084.3,892.1,1027.0,376.5,428.1,1006.7,886.0,1123.2,846.3,889.7,292.4,963.3,96.2,10.2,211.7,1058.2,1040.6,1048.8,280.3,895.9,1132.6,368.3,168.1,1091.6,928.6,883.4,885.5,1141.7,238.7,891.8,1096.6,975.9,1174.4,1003.3,880.8,1126.6,1009.6,904.4,1158.8,67.9,821.2,1142.0,916.4,1083.7,936.4,1110.1,382.6,235.9,292.9,1070.3,1003.6,931.6,1094.3,108.9,1011.0,990.0,1000.0,1122.0,92.3,392.7,1042.1,1137.2,197.9,1141.7,1052.4,975.0,887.4,1131.5,883.7,952.5,442.1,908.6,941.3,104.6,982.5,1061.4,1100.5,962.7,1010.0,870.8,380.8,962.4,1060.5
GI,196.4,136.6,190.0,204.7,261.4,185.2,154.4,118.8,258.9,298.7,163.9,129.1,156.4,172.6,894.4,1385.8,803.9,137.6,63.4,181.5,166.8,58.0,270.1,364.2,140.0,887.8,113.9,221.9,164.6,332.0,157.3,218.4,54.8,125.6,1024.4,0.0,58.5,60.1,981.7,196.4,885.6,272.1,50.2,75.3,871.3,970.1,276.7,228.0,156.0,777.0,225.4,145.5,246.2,193.5,198.6,118.1,128.5,122.2,313.5,229.4,288.3,152.7,830.5,322.6,151.7,282.0,258.9,117.5,170.4,109.9,212.0,79.5,826.0,829.6,141.5,105.8,190.3,215.4,232.8,849.3,93.6,980.8,1034.7,945.6,142.2,305.7,202.0,869.7,287.7,190.1,851.3,876.1,211.6,64.6,246.5,190.0,205.4,945.3,289.6,272.2,143.4,196.7,85.0,223.3,176.2,94.4,264.5,175.4,997.2,371.8,171.2,180.8,153.4,56.6,178.0,778.1,922.3,882.3,149.9,50.3,301.6,137.9,950.5,99.1,5.2,88.9,176.7,1022.9,836.1,138.5,180.8,949.8,262.3,144.5,36.6,320.5,140.8,197.6,62.1,824.2,201.7,249.6,989.2,73.4,116.1,142.7,42.3,108.5,202.3,840.0,70.8,129.4
GJ,239.1,183.3,154.9,169.6,200.6,185.6,119.3,123.8,223.8,274.1,148.0,139.0,192.4,171.0,859.3,1350.7,768.8,180.3,74.1,176.0,179.3,72.1,235.0,329.1,67.5,852.7,113.2,225.0,170.8,296.9,141.4,261.1,119.7,171.2,989.3,64.8,0.0,52.8,946.6,245.7,850.5,243.0,64.3,140.2,836.2,938.3,314.6,213.9,140.1,741.9,215.5,199.3,211.1,200.8,204.7,154.1,133.5,106.3,278.4,223.9,247.0,201.6,795.4,287.5,170.9,255.4,223.8,101.6,179.8,155.5,176.9,131.1,790.9,794.5,146.5,70.7,212.3,180.3,223.7,814.2,66.7,945.7,999.6,910.5,133.9,244.9,186.1,834.6,252.6,239.4,816.2,841.0,219.3,29.5,217.4,154.9,217.4,910.2,254.5,211.4,144.4,202.9,79.0,188.2,218.9,85.3,225.5,226.3,962.1,336.7,184.0,220.2,163.3,21.5,216.9,743.0,887.2,847.2,146.0,101.9,266.5,173.9,915.4,113.2,56.8,103.0,225.6,982.9,801.0,144.7,216.8,914.7,256.8,128.1,50.7,311.3,158.3,162.5,72.9,789.1,163.4,214.5,954.1,58.2,127.2,138.8,38.4,113.5,215.0,804.9,45.8,153.5
GN,186.2,96.4,208.1,207.0,216.2,202.2,172.5,70.9,277.0,255.3,121.1,86.1,139.5,118.1,912.5,1403.9,822.0,127.4,70.8,123.1,126.4,123.2,221.7,294.1,120.7,922.2,179.1,205.0,181.9,350.1,161.9,208.2,84.6,118.3,1058.8,65.1,53.1,0.0,1016.1,192.8,903.7,224.2,115.4,91.2,905.7,1007.8,236.5,190.8,117.0,795.1,232.2,146.4,264.3,147.9,153.0,101.2,80.6,129.6,331.6,171.0,233.7,148.7,848.6,245.9,118.0,318.4,277.0,124.9,129.3,102.6,230.1,116.9,844.1,847.7,93.6,123.9,149.9,233.5,184.9,867.4,120.3,1015.2,1069.1,963.7,187.1,260.5,163.0,887.8,305.8,186.5,869.4,910.5,166.4,82.7,198.6,208.1,245.3,963.4,307.7,227.0,95.9,201.1,132.2,241.4,166.0,138.5,278.7,185.5,1031.6,285.3,168.7,140.6,110.4,74.7,164.0,796.2,940.4,900.4,199.2,109.3,319.7,121.0,984.9,164.3,70.4,154.1,172.7,1052.4,854.2,91.8,163.9,967.9,203.9,181.3,101.8,364.5,158.2,215.7,69.6,842.3,216.6,267.7,1023.6,111.4,74.3,185.2,91.6,60.6,162.1,858.1,78.2,100.6
GP,1123.1,910.8,855.0,871.0,1060.6,1084.7,847.0,974.5,804.3,914.9,972.1,1034.2,1087.6,1070.8,204.1,1046.1,336.1,1067.1,926.4,1075.8,1042.6,971.2,913.1,788.4,891.7,91.5,1012.3,1153.1,1069.9,746.4,1012.9,1150.4,1032.7,1064.2,91.8,971.3,942.5,993.7,0.0,1113.7,216.4,883.8,963.4,1024.5,107.8,102.1,826.3,1065.6,977.6,294.1,1114.6,1094.5,912.7,1047.3,1042.2,1049.3,965.2,947.6,844.4,1109.9,897.1,1088.1,279.1,838.3,1057.7,798.4,820.0,1004.4,994.3,1059.1,866.9,1001.8,320.4,372.0,981.5,860.8,1098.0,821.1,864.5,236.3,938.1,62.4,82.6,155.6,1033.0,1015.4,1023.6,224.2,870.7,1107.4,312.2,130.0,1066.4,903.4,858.2,860.3,1116.5,182.6,866.6,1071.4,950.7,1149.2,978.1,855.6,1101.4,984.4,879.2,1133.6,23.1,796.0,1116.8,891.2,1058.5,911.2,1084.9,326.5,179.8,236.8,1045.1,978.4,906.4,1069.1,60.3,985.8,964.8,974.8,1096.8,79.6,336.6,1016.9,1112.0,141.8,1116.5,1027.2,949.8,862.2,1106.3,858.5,927.3,386.0,883.4,916.1,50.8,957.3,1036.2,1059.1,937.5,984.8,845.6,324.7,937.2,1035.3
GR,110.5,230.6,259.4,240.8,92.8,295.3,313.1,174.7,396.7,352.6,209.7,156.7,233.8,135.5,1032.2,1530.1,941.7,68.6,267.6,99.1,93.1,262.2,355.9,428.3,246.9,1056.4,286.4,311.3,268.6,441.0,250.5,36.6,173.2,121.0,1193.0,204.1,255.6,202.4,1150.3,0.0,1023.4,286.0,254.4,126.5,1039.9,1142.0,370.7,124.1,147.4,914.8,338.5,229.7,339.4,83.3,88.4,226.9,184.4,182.2,428.9,65.6,367.9,55.0,968.3,380.1,78.0,422.0,421.0,242.0,139.8,102.6,367.8,227.6,963.8,967.4,182.2,310.0,121.4,301.7,241.8,987.1,297.8,1149.4,1203.3,1087.3,296.7,137.1,109.3,1007.5,407.0,5.6,1038.4,1044.7,43.0,268.8,295.9,324.9,325.1,1140.9,408.0,103.6,199.7,291.6,250.6,379.1,90.3,248.1,398.6,259.6,1165.8,419.5,255.4,274.8,161.6,260.8,25.7,915.9,1060.1,1020.1,286.7,197.9,436.4,241.6,1119.1,303.3,209.4,293.1,44.9,1186.6,973.9,153.2,280.2,1118.4,98.5,309.9,240.8,445.2,241.5,316.9,266.4,968.5,354.3,336.2,1157.8,221.0,130.8,261.5,231.2,164.4,296.3,977.8,275.0,98.8
GU,1038.0,791.2,765.6,781.6,968.9,995.3,757.6,885.1,714.9,825.5,852.5,914.6,968.0,981.4,69.9,1039.8,162.9,989.5,837.0,986.4,965.0,881.8,870.9,746.2,802.3,169.0,922.9,1033.5,980.5,704.2,893.3,1056.9,913.1,944.6,300.2,881.9,853.1,874.1,232.2,994.1,0.0,794.4,874.0,945.7,185.3,241.9,784.1,973.9,897.8,120.9,1025.2,974.9,770.5,927.7,922.6,929.7,875.8,828.0,802.2,1034.8,854.9,999.7,98.1,796.1,980.1,709.0,777.8,884.8,904.9,975.1,824.7,912.4,154.7,191.0,892.1,771.4,978.4,731.7,775.1,48.4,848.7,243.1,291.0,67.7,943.6,926.1,904.0,36.3,828.5,987.8,181.3,162.4,946.8,814.0,768.8,770.9,1027.1,83.8,824.4,969.6,861.3,1012.6,888.7,813.4,1016.3,895.0,736.1,1014.0,247.7,753.8,997.2,771.6,938.9,821.8,965.3,145.5,36.6,48.9,955.7,889.0,754.6,949.5,201.0,896.4,875.4,885.4,977.2,281.3,180.8,927.6,992.4,93.2,1027.2,937.8,860.4,820.0,968.0,769.1,837.9,212.8,722.8,773.9,252.5,867.9,946.8,885.5,848.1,895.4,803.4,170.0,847.8,945.9
