from_stop,AA,AB,AI,AK,AM,AP,AZ,BB,BC,BD,BK,BQ,BW,BY,CC,CR,CT,CV,CW,CY,DD,DV,DX,EB,EC,EE,EI,EM,FB,FL,FW,FY,GB,GC,GJ,GK,GM,GN,GW,GX,HA,HB,HD,HF,HP,HS,HZ,IC,IK,IO,IR,IT,IU,IW,IX,JA,JB,JC,JH,JS,JU,KB,KH,KI,KJ,KP,KV,KW,LD,LP,LQ,LY,MA,MC,MD,MG,MI,MJ,MY,NA,NG,NM,NN,NQ,NU,NW,OA,OE,OI,OP,OQ,OW,OZ,PA,PB,PD,PJ,PN,PQ,PS,PV,QC,QD,QH,QJ,QL,QT,QW,RI,RQ,RS,RV,RX,SB,SE,SF,SK,SM,SR,SS,TD,TG,TI,TS,TZ,UD,UJ,UO,UT,UY,UZ,VD,VI,VK,VM,VQ,VR,VX,WB,WD,WE,WK,XC,XG,XJ,XK,XP,XQ,XV,XZ,YB,YK,YL,YQ,YX,ZA,ZH,ZX
DD,455.8,452.3,260.1,344.5,243.3,111.0,304.8,173.2,244.6,349.6,106.8,241.7,277.6,284.6,104.0,956.6,470.0,346.9,483.8,923.7,0.0,264.6,88.2,87.7,273.0,280.9,1002.5,610.4,1014.1,290.5,190.2,179.7,144.3,956.6,904.0,277.3,272.6,356.7,191.0,118.3,272.0,287.4,355.8,173.4,180.1,307.6,315.3,263.0,188.9,249.0,504.6,938.5,215.6,288.8,242.2,133.8,108.2,261.3,41.2,377.1,813.8,212.8,899.4,952.0,382.8,265.8,945.6,209.5,141.3,849.4,246.9,202.5,115.1,212.2,301.1,134.1,272.4,285.0,184.4,887.8,1038.0,287.0,972.3,304.6,472.1,228.6,445.7,276.2,492.3,336.9,511.6,205.1,315.8,532.5,291.8,438.7,96.0,199.5,76.3,208.4,244.5,318.0,577.9,213.0,926.4,82.8,14.0,302.8,215.0,977.9,142.1,218.7,346.0,143.2,95.6,100.7,366.5,144.7,322.3,955.0,197.6,942.7,352.8,234.5,324.3,255.9,119.2,263.5,1003.7,291.7,271.3,248.9,210.8,150.5,265.6,593.1,251.8,230.7,75.9,100.2,223.4,292.8,898.9,155.2,972.8,986.1,600.6,298.2,141.5,287.5,231.0,981.5,208.4,243.5,1025.8,911.4,236.8,504.7
DV,376.8,380.3,173.3,272.5,145.6,280.5,232.8,112.2,179.9,277.6,321.7,180.7,205.6,146.2,318.9,825.9,339.3,164.6,411.8,793.0,278.1,0.0,174.9,299.0,142.3,208.9,864.8,472.7,883.4,132.8,112.3,217.1,252.5,825.9,773.3,216.3,106.3,181.9,160.7,229.8,201.6,226.4,181.0,284.9,154.7,235.6,243.3,201.6,64.8,118.3,373.9,800.8,75.5,232.0,22.2,348.7,152.8,173.3,229.8,305.1,683.1,273.5,768.7,824.0,310.8,209.0,807.9,137.5,177.3,711.7,174.9,196.4,330.0,158.2,234.7,227.6,211.0,147.1,130.4,757.1,907.3,208.0,841.6,232.6,341.4,174.6,373.7,145.5,361.6,162.1,380.9,233.6,243.8,401.8,71.5,366.7,310.9,260.2,242.8,153.8,176.3,249.2,440.2,82.7,792.9,216.2,259.7,156.1,249.1,840.2,160.5,146.7,274.0,186.5,174.8,168.9,305.1,256.2,251.9,824.3,136.6,819.3,280.8,104.8,149.5,176.9,230.7,184.5,873.0,210.6,134.9,176.9,189.4,201.0,52.8,462.4,186.6,124.6,217.8,315.1,144.4,220.8,768.2,241.6,842.1,848.4,469.9,227.8,161.3,103.8,174.2,850.8,178.1,189.5,1098.2,780.7,180.0,367.0
DX,400.8,397.3,190.3,289.5,188.3,105.5,249.8,118.2,196.1,294.6,146.7,186.7,222.6,229.6,143.9,870.4,383.8,291.9,428.8,837.5,103.1,185.4,0.0,124.0,186.8,225.9,916.3,524.2,927.9,235.5,104.0,174.2,138.8,870.4,817.8,222.3,206.3,301.7,132.4,112.8,217.0,232.4,300.8,167.9,126.4,252.6,260.3,208.0,102.7,162.8,418.4,852.3,157.5,233.8,156.0,173.7,22.0,206.3,54.8,322.1,727.6,207.3,813.2,865.8,327.8,210.8,859.4,154.5,72.0,763.2,191.9,197.0,155.0,157.2,246.1,128.6,217.4,230.0,129.4,801.6,951.8,232.0,886.1,249.6,385.9,173.6,390.7,190.0,406.1,281.9,425.4,199.6,260.8,446.3,205.6,383.7,135.9,194.0,67.8,153.4,202.2,266.2,491.7,126.8,840.2,49.7,84.7,189.9,209.5,891.7,90.2,163.7,291.0,78.2,89.3,95.2,311.5,139.2,267.3,868.8,142.6,856.5,297.8,145.6,269.3,200.9,113.7,208.5,917.5,236.7,216.3,193.9,205.3,64.3,179.4,506.9,196.8,171.9,42.8,140.1,168.4,237.8,812.7,154.0,886.6,899.9,514.4,243.2,55.3,211.3,176.0,895.3,149.8,188.5,1031.3,825.2,181.8,418.5
EB,487.3,483.8,291.6,376.0,274.8,135.3,336.3,204.7,282.6,381.1,70.5,269.6,309.1,312.5,25.7,924.3,441.3,378.4,515.3,891.4,74.7,296.1,114.0,0.0,304.5,312.4,970.2,578.1,985.4,322.0,218.1,211.2,175.8,924.3,871.7,308.8,304.1,384.6,222.5,146.2,303.5,318.9,387.3,204.9,208.0,339.1,346.8,294.5,220.4,280.5,472.3,906.2,247.1,320.3,273.7,96.9,139.7,289.2,72.7,408.6,781.5,244.3,867.1,922.4,414.3,297.3,913.3,241.0,172.8,817.1,274.8,234.0,58.1,243.7,332.6,176.5,303.9,312.9,215.9,855.5,1005.7,326.7,940.0,336.1,439.8,260.1,473.6,307.7,460.0,368.4,479.3,236.6,347.3,500.2,323.3,470.2,8.2,231.0,104.8,240.2,280.3,352.7,545.6,240.9,898.3,114.3,56.3,304.0,246.5,945.6,180.0,250.2,377.5,174.7,126.3,132.2,398.0,172.6,353.8,922.7,229.1,917.7,384.3,263.3,355.8,283.8,150.7,295.0,971.4,323.2,302.8,280.4,242.3,182.0,297.1,560.8,283.3,261.5,107.4,63.9,254.9,324.3,866.6,191.0,940.5,953.8,568.3,329.7,173.0,329.0,262.5,952.8,239.9,275.0,965.7,882.7,268.3,472.4
EC,415.6,412.1,205.1,304.3,212.1,293.3,264.6,151.0,222.4,309.4,323.5,219.5,237.4,205.1,345.8,772.6,286.0,231.0,443.6,739.7,309.9,139.6,204.6,320.0,0.0,240.7,818.5,426.4,830.1,199.2,102.4,248.9,284.3,772.6,720.0,255.1,215.0,240.8,143.8,261.6,233.4,265.2,239.9,316.7,137.8,267.4,275.1,255.3,96.6,25.2,320.6,754.5,149.0,263.8,123.3,323.3,184.6,239.1,261.6,336.9,629.8,305.3,715.4,768.0,342.6,240.8,761.6,169.3,209.1,665.4,206.7,228.2,280.9,190.0,276.1,259.4,264.7,206.0,162.2,703.8,854.0,246.8,788.3,264.4,288.1,206.4,405.5,92.2,308.3,221.0,327.6,265.4,275.6,348.5,137.9,398.5,311.7,292.0,277.6,185.9,215.1,277.8,393.9,136.3,742.4,206.3,291.5,145.9,280.9,793.9,157.0,178.5,305.8,169.6,212.8,207.7,346.7,288.0,283.7,771.0,175.4,758.7,312.6,77.6,208.4,215.7,262.5,223.3,819.7,269.5,224.4,208.7,221.2,190.9,116.6,409.1,229.6,164.1,213.2,295.8,183.2,252.6,714.9,273.4,788.8,802.1,416.6,259.6,144.4,210.0,206.0,797.5,161.2,221.3,1044.9,727.4,211.8,320.7
EE,321.0,317.5,149.9,209.7,124.3,274.6,209.4,101.8,125.6,214.8,332.0,140.7,132.4,165.6,329.2,879.3,427.3,227.9,349.0,846.4,288.4,251.4,216.3,312.9,230.3,0.0,925.2,567.7,936.8,171.5,207.3,193.7,229.1,879.3,826.7,176.3,153.6,237.7,248.7,229.0,116.3,137.1,236.8,263.1,242.7,212.2,219.9,68.4,146.2,206.3,461.9,861.2,165.3,124.4,199.5,359.0,196.3,160.3,240.1,242.3,736.5,250.1,822.1,874.7,248.0,110.1,868.3,114.1,176.5,772.1,63.6,173.0,340.3,131.9,112.1,226.8,80.9,188.3,104.1,810.5,960.7,191.6,895.0,165.3,429.4,148.3,310.9,233.5,449.6,217.9,468.9,210.2,220.4,489.8,188.5,303.9,321.2,236.8,239.9,75.2,159.9,183.2,535.2,188.3,849.1,268.2,270.0,270.8,225.7,900.6,261.9,123.3,199.5,258.4,180.2,175.1,175.0,255.4,166.6,877.7,127.9,865.4,218.0,202.5,205.3,160.5,229.9,168.1,926.4,190.7,152.3,153.5,166.0,244.5,209.8,550.4,146.3,180.4,261.3,325.4,128.0,166.1,821.6,218.2,895.5,908.8,557.9,142.5,235.5,193.4,75.3,904.2,266.1,142.5,1109.6,834.1,81.1,462.0
EI,596.0,507.4,663.6,497.6,653.9,801.1,577.9,665.4,655.2,492.5,831.3,593.8,625.9,695.2,853.6,92.9,643.0,757.5,624.0,133.6,902.6,749.1,806.6,827.8,711.0,691.7,0.0,743.5,456.4,701.1,704.4,667.4,702.8,179.2,148.4,668.3,683.2,767.3,745.8,741.3,606.1,616.0,766.4,727.7,739.8,742.3,566.4,653.6,698.6,687.0,677.6,380.8,751.0,643.9,725.3,831.1,786.6,652.3,863.0,519.1,256.1,673.6,168.7,121.2,524.8,666.9,387.9,643.5,740.1,173.7,680.1,646.7,788.7,679.5,631.6,842.3,620.7,676.0,652.8,130.4,71.9,721.7,73.5,648.1,645.1,695.9,585.9,668.5,665.3,747.5,684.6,683.9,597.4,705.5,739.9,578.9,819.5,688.8,837.9,671.7,653.6,524.1,711.0,738.3,170.8,808.3,884.2,729.0,675.7,215.8,759.0,633.4,536.7,771.6,743.8,738.7,661.1,756.4,589.0,199.4,639.5,118.9,534.6,679.6,734.9,764.7,727.9,580.4,37.6,682.7,681.9,703.6,639.7,792.9,718.6,726.2,675.9,766.1,815.2,803.6,732.2,549.3,161.4,691.9,126.3,122.4,709.8,613.1,746.4,723.0,649.0,117.8,763.2,634.5,1226.7,353.7,642.9,637.8
EM,640.2,636.7,429.7,528.9,436.7,423.7,489.2,375.6,447.0,534.0,453.9,444.1,462.0,429.7,476.2,795.8,190.5,455.6,668.2,762.9,525.2,371.7,429.2,450.4,333.6,465.3,841.7,0.0,853.3,423.8,327.0,473.5,508.9,795.8,743.2,479.7,439.6,465.4,368.4,486.2,458.0,489.8,464.5,541.3,362.4,492.0,499.7,479.9,321.2,309.6,225.1,777.7,373.6,488.4,347.9,453.7,409.2,463.7,485.6,561.5,653.0,529.9,738.6,793.9,567.2,465.4,784.8,393.9,433.7,688.6,431.3,452.8,411.3,414.6,500.7,464.9,489.3,430.6,386.8,727.0,877.2,471.4,811.5,489.0,267.7,431.0,630.1,291.1,127.7,445.6,232.1,490.0,500.2,253.0,362.5,623.1,442.1,516.6,460.5,410.5,439.7,502.4,43.6,360.9,765.6,430.9,506.8,351.6,505.5,817.1,381.6,403.1,530.4,394.2,437.4,432.3,571.3,512.6,508.3,794.2,400.0,781.9,537.2,302.2,433.0,440.3,487.1,447.9,842.9,494.1,449.0,433.3,445.8,415.5,341.2,12.2,454.2,388.7,437.8,426.2,407.8,477.2,738.1,498.0,812.0,825.3,84.2,484.2,369.0,434.6,430.6,820.7,385.8,445.9,1175.3,750.6,436.4,113.7
FB,783.3,694.7,939.5,684.9,841.2,933.5,765.2,885.4,849.0,679.8,963.7,781.1,813.2,939.5,986.0,385.8,775.4,965.4,811.3,352.9,1035.0,881.5,941.1,960.2,843.4,879.0,431.7,875.9,0.0,933.6,836.8,854.7,890.1,385.8,333.2,855.6,870.5,975.2,878.2,928.6,793.4,803.3,974.3,915.0,872.2,929.6,753.7,840.9,831.0,819.4,810.0,296.3,883.4,831.2,857.7,963.5,919.0,839.6,995.4,706.4,401.4,860.9,328.6,381.2,712.1,854.2,303.4,903.7,943.5,278.6,867.4,834.0,921.1,924.4,818.9,974.7,808.0,863.3,840.1,317.0,467.2,909.0,401.5,835.4,777.5,940.8,773.2,800.9,797.7,955.4,817.0,871.2,784.7,837.9,872.3,766.2,951.9,876.1,970.3,859.3,840.9,708.2,843.4,870.7,355.6,940.7,1016.6,849.8,863.0,407.1,891.4,820.7,724.0,904.0,947.2,942.1,848.4,943.7,776.3,384.2,826.8,379.2,721.9,809.3,942.8,950.1,915.2,767.7,432.9,870.0,869.2,943.1,827.0,925.3,851.0,858.6,863.2,897.8,947.6,936.0,917.6,736.6,328.1,874.9,402.0,415.3,842.2,800.4,878.8,944.4,836.3,410.7,895.6,821.8,1359.1,92.9,830.2,770.2
FL,362.6,359.1,231.6,251.3,57.1,315.7,282.3,142.9,91.4,256.4,373.1,109.8,174.0,5.9,370.3,867.2,392.1,104.2,390.6,834.3,329.5,128.7,262.9,354.0,195.1,191.4,913.1,532.5,924.7,0.0,172.1,275.4,296.1,867.2,814.6,136.6,91.5,114.0,213.5,270.1,225.6,156.0,113.1,325.2,207.5,293.9,270.8,113.1,146.4,171.1,426.7,849.1,132.9,166.0,144.0,400.1,240.8,98.3,281.2,283.9,724.4,331.8,810.0,865.3,289.6,189.0,856.2,195.8,217.6,760.0,139.6,254.7,387.0,142.7,153.7,267.9,122.5,64.6,130.3,798.4,948.6,273.3,882.9,229.9,394.2,127.4,352.5,198.3,414.4,94.2,433.7,291.9,301.8,454.6,64.8,345.5,362.3,318.5,281.0,149.2,241.6,224.8,500.0,132.6,841.2,276.0,311.1,208.9,307.4,888.5,226.7,205.0,241.1,239.3,221.3,216.2,216.6,296.5,219.9,865.6,117.0,860.6,259.6,164.6,81.6,242.2,271.0,249.8,914.3,128.1,69.4,235.2,247.7,260.6,72.5,515.2,105.6,176.7,282.9,366.5,209.7,231.1,809.5,307.0,883.4,896.7,522.7,244.0,214.1,100.5,171.8,892.1,230.9,111.6,1151.0,822.0,177.6,426.8
FW,402.7,399.2,192.2,291.4,204.5,219.6,251.7,134.4,212.3,296.5,260.8,202.9,224.5,196.4,258.0,780.3,293.7,222.3,430.7,747.4,217.2,130.9,114.0,241.7,96.7,227.8,826.2,434.1,837.8,190.5,0.0,236.0,252.9,780.3,727.7,238.5,184.9,232.1,60.4,226.9,220.5,248.6,231.2,282.0,54.4,254.5,262.2,224.2,81.3,72.7,328.3,762.2,136.1,250.0,114.6,287.8,91.9,222.5,168.9,324.0,637.5,321.4,723.1,778.4,329.7,227.0,769.3,156.4,153.2,673.1,193.8,215.3,269.1,173.4,262.3,217.5,233.6,197.3,145.6,711.5,861.7,233.9,796.0,251.5,295.8,189.8,392.6,99.9,316.0,212.3,335.3,252.5,262.7,356.2,129.2,385.6,250.0,308.1,184.9,169.6,202.2,264.9,401.6,105.4,754.3,122.9,198.8,92.5,268.0,801.6,73.6,165.6,292.9,86.2,170.9,165.8,327.7,253.3,270.8,778.7,158.8,773.7,299.7,48.2,199.7,202.8,227.8,210.4,827.4,252.9,221.0,195.8,208.3,107.5,107.9,416.8,213.0,150.5,129.8,254.2,170.3,239.7,722.6,268.1,796.5,809.8,424.3,246.7,61.0,179.9,192.2,805.2,77.8,204.7,1052.6,735.1,198.0,328.4
FY,283.2,279.7,80.3,171.9,208.5,180.0,132.2,138.4,209.8,177.0,237.4,206.9,141.8,249.8,234.6,841.5,424.8,312.1,311.2,808.6,193.8,220.8,193.4,218.3,227.8,203.0,887.4,565.2,899.0,255.7,204.8,0.0,35.3,841.5,788.9,242.5,228.8,321.9,246.2,77.6,127.5,242.5,321.0,69.3,240.2,171.4,142.7,192.9,143.7,203.8,459.4,823.4,162.8,183.3,197.0,264.4,196.3,226.5,145.5,204.5,698.7,56.3,784.3,836.9,210.2,160.3,830.5,72.6,176.5,734.3,169.0,22.7,245.7,177.4,194.2,150.2,183.3,250.2,149.6,772.7,922.9,150.8,857.2,168.8,426.9,193.8,273.1,231.0,447.1,302.1,466.4,25.3,143.2,487.3,240.4,266.1,226.6,43.0,145.3,148.2,64.7,145.4,532.7,185.8,811.3,188.0,175.4,268.3,31.9,862.8,247.3,62.5,173.4,248.4,131.7,136.8,243.5,98.0,171.4,839.9,162.8,827.6,180.2,200.0,289.5,158.8,60.4,90.9,888.6,256.9,236.5,132.7,31.0,255.7,219.1,547.9,217.0,177.9,181.1,230.8,126.3,120.2,783.8,24.4,857.7,871.0,555.4,147.8,246.7,223.8,138.5,866.4,263.6,208.7,1024.6,796.3,132.4,459.5
GB,318.6,315.1,115.7,207.3,243.9,144.6,167.6,173.8,245.2,212.4,202.0,242.3,177.2,285.2,199.2,876.9,460.2,347.5,346.6,844.0,158.4,248.7,158.0,182.9,263.2,238.4,922.8,600.6,934.4,291.1,240.2,35.3,0.0,876.9,824.3,277.9,264.2,357.3,260.8,42.2,162.9,277.9,356.4,81.4,249.9,206.8,178.1,228.3,179.1,239.2,494.8,858.8,198.2,218.7,232.4,229.0,178.0,261.9,110.1,239.9,734.1,68.4,819.7,872.3,245.6,195.7,865.9,108.0,153.9,769.7,204.4,58.1,210.3,212.8,229.6,114.8,218.7,285.6,185.0,808.1,958.3,186.2,892.6,204.2,462.3,229.2,308.5,266.4,482.5,337.5,501.8,60.7,178.6,522.7,275.8,301.5,191.2,55.1,109.9,183.6,100.1,180.8,568.1,221.2,846.7,152.6,140.0,303.7,70.6,898.2,211.9,97.9,208.8,213.0,96.3,101.4,278.9,68.6,206.8,875.3,198.2,863.0,215.6,235.4,324.9,194.2,25.0,126.3,924.0,292.3,271.9,168.1,66.4,220.3,254.5,583.3,252.4,213.3,145.7,195.4,161.7,155.6,819.2,10.8,893.1,906.4,590.8,183.2,211.3,259.2,173.9,901.8,278.2,244.1,1004.3,831.7,167.8,494.9
GC,604.1,515.5,671.7,505.7,662.0,809.2,586.0,673.5,669.8,500.6,839.4,601.9,634.0,703.3,861.7,102.6,651.1,765.6,632.1,159.7,910.7,757.2,816.8,835.9,719.1,699.8,148.5,751.6,414.7,709.2,712.5,675.5,710.9,0.0,91.8,676.4,691.3,775.4,753.9,749.4,614.2,624.1,774.5,735.8,747.9,750.4,574.5,661.7,706.7,695.1,685.7,339.1,759.1,652.0,733.4,839.2,794.7,660.4,871.1,527.2,214.4,681.7,173.6,98.0,532.9,675.0,346.2,651.6,748.2,117.1,688.2,654.8,796.8,687.6,639.7,850.4,628.8,684.1,660.9,156.5,184.0,729.8,118.3,656.2,653.2,704.0,594.0,676.6,673.4,755.6,692.7,692.0,605.5,713.6,748.0,587.0,827.6,696.9,849.0,680.1,666.0,529.0,719.1,746.4,88.0,816.4,892.3,725.5,683.8,36.6,760.7,641.5,544.8,779.7,752.7,746.8,669.2,764.5,597.1,59.4,647.6,88.7,542.7,685.0,743.0,772.8,736.0,588.5,149.7,690.8,690.0,711.7,647.8,801.0,726.7,734.3,684.0,773.5,823.3,811.7,740.3,557.4,173.1,700.0,152.4,132.1,717.9,621.2,754.5,721.1,657.1,127.5,771.3,642.6,1234.8,312.0,651.0,645.9
GJ,573.3,484.7,640.9,474.9,631.2,778.4,555.2,642.7,632.5,469.8,808.6,571.1,603.2,672.5,830.9,71.8,620.3,734.8,601.3,128.9,879.9,726.4,783.9,805.1,688.3,669.0,117.7,720.8,362.1,678.4,681.7,644.7,680.1,71.8,0.0,645.6,660.5,744.6,723.1,718.6,583.4,593.3,743.7,705.0,717.1,719.6,543.7,630.9,675.9,664.3,654.9,286.5,728.3,621.2,702.6,808.4,763.9,629.6,840.3,496.4,161.8,650.9,121.0,67.2,502.1,644.2,293.6,620.8,717.4,64.5,657.4,624.0,766.0,656.8,608.9,819.6,598.0,653.3,630.1,109.4,153.2,699.0,87.5,625.4,622.4,673.2,563.2,645.8,642.6,724.8,661.9,661.2,574.7,682.8,717.2,556.2,796.8,666.1,815.2,649.0,630.9,501.4,688.3,715.6,22.4,785.6,861.5,706.3,653.0,73.8,736.3,610.7,514.0,748.9,721.1,716.0,638.4,733.7,566.3,51.0,616.8,57.9,511.9,656.9,712.2,742.0,705.2,557.7,118.9,660.0,659.2,680.9,617.0,770.2,695.9,703.5,653.2,743.4,792.5,780.9,709.5,526.6,120.5,669.2,121.6,101.3,687.1,590.4,723.7,700.3,626.3,96.7,740.5,611.8,1204.0,259.4,620.2,615.1
GK,348.0,344.5,199.0,236.7,125.9,283.1,258.5,110.3,100.1,241.8,340.5,57.6,159.4,130.7,337.7,815.0,451.3,179.4,376.0,782.1,296.9,217.5,224.8,321.4,254.3,176.8,860.9,591.7,872.5,136.6,231.3,242.8,263.5,815.0,762.4,0.0,128.1,189.2,272.7,237.5,180.2,103.3,188.3,292.6,266.7,261.3,269.0,98.5,170.2,230.3,485.9,796.9,184.1,151.4,232.8,367.5,204.8,48.2,248.6,269.3,672.2,299.2,757.8,810.4,275.0,174.0,804.0,163.2,185.0,707.8,125.0,222.1,348.8,124.4,139.1,235.3,107.9,71.9,97.7,746.2,896.4,240.7,830.7,215.3,453.4,140.8,337.9,257.5,473.6,169.4,492.9,259.3,269.5,513.8,140.0,330.9,329.7,285.9,248.4,116.6,209.0,210.2,559.2,221.4,784.8,276.7,278.5,294.8,274.8,836.3,285.3,172.4,226.5,266.9,188.7,183.6,202.0,263.9,205.3,813.4,84.4,801.1,245.0,226.5,156.8,209.6,238.4,217.2,862.1,14.3,138.2,202.6,215.1,253.0,161.3,574.4,120.8,204.4,269.8,333.9,177.1,230.0,757.3,274.4,831.2,844.5,581.9,206.4,244.0,179.3,139.2,839.9,290.1,23.9,1158.7,769.8,145.0,486.0
GM,344.7,341.2,174.5,233.4,39.2,276.6,234.0,120.4,67.0,238.5,359.1,91.9,156.1,65.6,356.3,849.3,400.4,127.9,372.7,816.4,315.5,104.7,210.2,340.0,203.4,173.5,895.2,540.8,906.8,71.5,180.4,218.3,253.7,849.3,796.7,127.5,0.0,137.7,221.8,231.0,202.8,138.1,136.8,286.1,215.8,236.8,244.5,95.2,119.3,179.4,435.0,831.2,55.9,148.1,120.0,386.1,190.2,111.5,267.2,266.0,706.5,274.7,792.1,844.7,271.7,171.1,838.3,138.7,178.5,742.1,121.7,197.6,367.4,124.8,135.8,228.8,104.6,88.3,112.4,780.5,930.7,216.2,865.0,212.0,402.5,109.5,334.6,206.6,422.7,117.9,442.0,234.8,245.0,462.9,88.5,327.6,348.3,261.4,241.9,131.3,184.5,206.9,508.3,82.0,819.1,262.1,297.1,243.9,250.3,870.6,235.0,147.9,223.2,252.3,182.2,177.1,198.7,257.4,202.0,847.7,99.1,835.4,241.7,175.6,105.3,185.1,231.9,192.7,896.4,141.9,52.3,178.1,190.6,238.4,98.7,523.5,87.7,99.7,255.2,352.5,152.6,222.0,791.6,242.8,865.5,878.8,531.0,226.1,229.4,47.4,153.9,874.2,239.2,93.7,1134.2,804.1,159.7,435.1
GN,410.6,407.1,279.6,299.3,105.1,363.7,330.3,190.9,139.4,304.4,421.1,157.8,222.0,109.9,418.3,915.2,445.5,40.8,438.6,882.3,377.5,182.1,316.3,402.0,248.5,239.4,961.1,585.9,972.7,115.8,225.5,323.4,344.1,915.2,862.6,171.0,139.5,0.0,266.9,318.1,273.6,204.0,71.1,373.2,260.9,341.9,318.8,161.1,199.8,224.5,480.1,897.1,186.3,214.0,197.4,448.1,294.2,132.7,329.2,331.9,772.4,379.8,858.0,913.3,337.6,237.0,904.2,243.8,265.6,808.0,187.6,302.7,440.4,190.7,201.7,315.9,170.5,99.0,178.3,846.4,996.6,329.5,930.9,277.9,447.6,175.4,400.5,251.7,467.8,30.8,487.1,339.9,349.8,508.0,104.6,393.5,410.3,366.5,329.0,197.5,289.6,272.8,553.4,186.0,889.2,329.4,359.1,262.3,355.4,936.5,280.1,253.0,289.1,292.7,269.3,264.2,264.6,344.5,267.9,913.6,165.0,908.6,307.6,218.0,24.1,290.2,319.0,297.8,962.3,162.5,117.4,283.2,295.7,314.0,125.9,568.6,153.6,229.4,336.3,414.5,257.7,279.1,857.5,355.0,931.4,944.7,576.1,292.0,267.5,148.5,219.8,940.1,284.3,150.7,1204.4,870.0,225.6,480.2
GW,432.2,428.7,221.7,320.9,228.7,222.7,281.2,167.6,239.0,326.0,263.9,236.1,254.0,221.7,261.1,805.6,319.0,247.6,460.2,772.7,220.3,163.7,144.2,244.8,122.0,257.3,851.5,459.4,863.1,215.8,64.3,291.4,256.0,805.6,753.0,271.7,231.6,257.4,0.0,230.0,250.0,281.8,256.5,285.1,20.8,284.0,291.7,271.9,113.2,98.0,353.6,787.5,165.6,280.4,139.9,290.9,124.2,255.7,172.0,353.5,662.8,324.5,748.4,801.0,359.2,257.4,794.6,185.9,185.5,698.4,223.3,244.8,272.2,206.6,292.7,245.8,281.3,222.6,178.8,736.8,887.0,263.4,821.3,281.0,321.1,223.0,422.1,125.2,341.3,237.6,360.6,282.0,292.2,381.5,154.5,415.1,253.1,311.2,188.0,202.5,231.7,294.4,426.9,152.9,775.4,110.4,201.9,144.5,326.7,826.9,93.5,195.1,322.4,106.1,207.3,212.4,363.3,256.4,300.3,804.0,192.0,791.7,329.2,76.2,225.0,232.3,230.9,239.9,852.7,286.1,241.0,225.3,237.8,127.4,133.2,442.1,246.2,180.7,117.3,257.3,199.8,269.2,747.9,266.9,821.8,835.1,449.6,276.2,80.9,226.6,222.6,830.5,17.3,237.9,1077.9,760.4,228.4,353.7
GX,353.0,349.5,168.0,241.7,198.0,98.6,219.9,127.9,205.8,246.8,156.0,196.4,229.5,239.3,153.2,911.3,432.3,301.6,381.0,878.4,112.4,220.8,109.9,136.9,235.3,235.6,957.2,572.7,968.8,245.2,214.0,87.6,52.2,911.3,858.7,232.0,227.3,311.4,214.8,0.0,197.3,242.1,310.5,55.0,203.9,259.1,230.4,217.7,151.2,211.3,466.9,893.2,170.3,243.5,204.5,183.0,132.0,216.0,64.1,274.3,768.5,115.9,854.1,906.7,280.0,220.5,900.3,160.3,107.9,804.1,201.6,110.4,164.3,166.9,283.8,68.8,227.1,239.7,139.1,842.5,992.7,238.5,927.0,256.5,434.4,183.3,342.9,238.5,454.6,291.6,473.9,113.0,230.9,494.8,262.2,335.9,145.2,102.6,60.9,163.1,152.4,218.4,540.2,193.3,881.1,106.6,94.0,249.1,122.9,932.6,172.3,150.2,231.5,167.0,49.5,55.4,313.3,26.3,241.2,909.7,152.3,904.7,250.0,204.8,279.0,210.6,27.1,160.7,958.4,246.4,226.0,203.6,118.7,174.3,226.6,555.4,206.5,184.7,99.7,149.4,178.1,190.0,853.6,67.4,927.5,940.8,562.9,217.6,165.3,241.3,185.7,936.2,232.2,198.2,962.0,866.1,191.5,467.0
HA,212.7,209.2,92.2,101.4,153.9,265.5,122.0,92.7,155.2,106.5,322.9,152.3,64.1,195.2,320.1,771.0,427.5,257.5,240.7,738.1,279.3,216.0,207.2,303.8,230.5,138.9,816.9,567.9,828.5,201.1,207.5,136.0,171.4,771.0,718.4,187.9,183.2,267.3,248.9,219.9,0.0,178.4,266.4,205.4,242.9,174.1,120.9,115.2,146.4,206.5,462.1,752.9,165.5,87.6,199.7,349.9,187.2,171.9,231.0,134.0,628.2,144.5,713.8,769.1,139.7,64.6,760.0,75.3,167.4,663.8,104.9,115.3,331.2,122.8,99.9,217.7,105.6,195.6,95.0,702.2,852.4,153.5,786.7,91.1,429.6,139.2,202.6,233.7,449.8,247.5,469.1,152.5,133.0,490.0,218.1,195.6,312.1,159.7,230.8,66.1,102.2,74.9,535.4,188.5,740.8,259.1,260.9,271.0,146.6,792.3,262.1,65.6,91.2,249.3,171.1,166.0,168.0,246.3,50.2,769.4,108.2,757.1,109.7,202.7,234.9,169.4,196.5,51.3,818.1,202.3,181.9,162.4,108.3,235.4,221.8,550.6,162.4,180.6,252.2,316.3,136.9,49.7,713.3,160.5,787.2,800.5,558.1,26.1,226.4,223.0,42.8,795.9,266.3,154.1,1004.2,725.8,36.7,462.2
