from_stop,AJ,AN,BF,BN,BO,CC,CK,CL,CU,CW,DB,DC,DL,DM,DZ,EL,EU,FB,FE,FF,FH,FR,FS,FV,GK,GN,GS,GX,HB,HC,HF,HJ,HO,IE,IF,IT,JZ,KB,KC,KE,KF,KG,KN,KU,LN,LO,LP,LU,LV,MD,ML,MT,NS,NT,NW,OV,PB,PH,PI,PJ,PK,PV,QL,QQ,QU,QY,RO,RQ,RR,TE,TJ,TK,UC,UD,UF,UH,UK,UU,UX,VC,WC,WE,WJ,WK,WV,XF,XI,XK,XN,XO,XU,XV,YJ,YN,YO,YR,YT,YY,ZD,ZQ
IE,74.1,168.6,92.2,195.4,182.9,204.0,452.8,433.3,188.7,254.4,142.4,70.4,241.5,144.7,323.2,63.7,448.4,88.8,121.3,117.1,245.3,212.5,159.1,348.1,61.3,244.1,155.1,162.1,233.1,121.8,31.8,89.0,289.3,0.0,170.2,167.8,106.5,360.1,416.6,104.1,56.5,105.3,140.2,88.3,118.4,177.6,81.4,87.8,141.6,88.8,163.4,254.2,395.6,224.4,142.9,274.0,141.1,148.2,107.7,245.8,1344.7,58.6,125.6,305.8,63.5,233.6,220.4,106.1,182.6,374.7,207.5,109.1,291.0,56.5,238.8,87.8,68.2,127.5,90.8,247.4,239.3,84.9,130.7,64.0,46.7,58.6,210.6,174.1,34.0,167.8,114.7,127.1,113.7,92.6,287.6,292.5,226.9,246.8,188.2,272.2
IF,203.1,194.6,133.6,38.2,12.7,142.7,586.6,567.1,214.7,126.7,203.4,232.6,182.1,197.8,195.5,225.9,582.2,251.0,147.3,150.3,117.6,84.8,171.0,481.9,208.9,134.8,220.5,95.8,142.4,39.2,150.7,207.6,161.6,161.1,0.0,153.3,123.6,493.9,550.4,176.6,218.7,116.5,20.4,233.3,155.3,93.3,251.6,203.8,109.1,251.0,252.0,195.0,529.4,96.7,228.1,189.7,211.0,210.7,133.7,187.1,1385.9,179.7,243.4,184.7,166.6,105.9,111.1,195.2,58.0,508.5,141.2,162.7,163.3,206.1,155.4,224.4,119.2,164.4,151.8,119.7,111.6,145.9,191.7,128.5,195.3,179.7,144.3,107.8,158.5,233.2,121.8,187.1,176.2,171.5,159.9,218.7,117.6,170.5,130.0,209.6
IT,200.4,106.3,150.5,182.1,176.2,139.6,554.4,564.4,137.0,247.7,200.7,228.8,232.7,195.1,172.1,223.2,579.5,248.3,103.4,49.3,238.6,205.8,217.4,479.2,206.2,245.5,202.5,220.4,263.4,110.7,148.0,204.9,279.0,158.4,163.5,0.0,68.6,491.2,547.7,131.3,216.0,163.6,133.5,230.6,176.7,235.8,248.9,201.1,197.9,79.1,258.1,312.5,537.3,217.0,110.7,332.3,146.7,124.5,90.2,102.0,1469.5,160.7,240.7,305.7,163.9,226.9,232.1,161.9,194.9,505.8,210.1,160.0,146.7,203.4,293.4,232.3,116.5,185.8,149.1,230.4,230.1,140.4,189.0,125.8,192.6,160.7,207.6,232.4,182.9,230.5,173.0,196.0,124.2,138.2,280.9,351.7,228.3,288.6,11.8,320.9
JZ,158.6,103.5,103.3,144.9,139.0,110.3,536.7,517.2,123.6,210.5,153.5,162.5,252.6,147.9,279.3,155.8,532.3,180.9,38.2,52.0,201.4,168.6,170.2,432.0,159.0,218.6,170.6,173.2,226.2,77.9,100.8,157.7,245.4,111.2,126.3,104.9,0.0,444.0,500.5,67.5,148.6,116.4,96.3,180.4,129.5,188.7,216.2,153.9,152.7,180.9,202.1,265.3,480.0,180.5,96.3,285.1,94.5,101.6,24.6,138.7,1428.6,95.5,193.5,268.5,129.2,189.7,194.9,86.1,157.7,458.6,172.9,112.8,247.1,156.2,249.9,174.5,81.9,138.6,101.9,203.5,195.4,96.0,141.8,78.6,139.9,95.5,169.7,185.2,108.6,183.3,125.8,138.2,67.1,62.4,243.7,303.6,201.4,254.3,81.6,294.0
KB,369.5,430.0,397.8,476.5,492.2,538.2,123.2,103.7,450.1,542.6,322.3,276.1,421.4,294.8,611.4,282.8,142.5,306.3,417.6,438.2,533.5,529.3,389.8,91.8,313.9,491.3,305.2,459.8,467.7,442.9,388.8,305.2,577.5,356.0,518.2,488.9,427.8,0.0,87.0,423.8,291.2,410.9,461.3,283.3,389.9,428.0,343.2,341.3,452.6,306.3,313.5,434.1,57.7,512.6,416.3,467.3,414.5,421.6,402.5,566.9,1038.8,389.0,251.0,485.7,355.0,492.4,467.6,353.4,463.7,68.8,454.7,335.8,579.2,382.1,418.7,277.2,389.3,399.0,321.3,535.6,527.5,359.1,310.6,398.6,377.1,389.0,457.8,449.6,366.3,317.9,425.7,360.7,387.1,362.0,575.8,472.4,474.1,426.7,509.5,546.2
KC,410.4,470.9,438.7,517.4,533.1,579.1,36.1,16.6,491.0,583.5,363.2,317.0,462.3,335.7,652.3,323.7,62.5,330.8,458.5,479.1,574.4,570.2,430.7,62.4,354.8,532.2,346.1,500.7,508.6,483.8,429.7,346.1,618.4,396.9,559.1,529.8,468.7,68.9,0.0,464.7,332.1,451.8,502.2,324.2,430.8,468.9,384.1,382.2,493.5,330.8,354.4,475.0,40.2,553.5,457.2,508.2,455.4,462.5,443.4,607.8,1067.9,429.9,291.9,526.6,395.9,533.3,508.5,394.3,504.6,31.8,495.6,376.7,620.1,423.0,459.6,318.1,430.2,439.9,362.2,576.5,568.4,400.0,351.5,439.5,418.0,429.9,498.7,490.5,407.2,358.8,466.6,401.6,428.0,402.9,616.7,513.3,515.0,467.6,550.4,586.5
KE,105.5,117.4,135.8,202.4,196.5,188.2,521.7,502.2,137.2,268.0,186.0,139.3,288.1,200.5,336.8,132.6,517.3,157.7,29.0,106.4,258.9,226.1,202.7,417.0,140.0,275.8,210.9,205.7,276.7,141.0,62.5,167.7,302.9,105.7,183.8,157.1,77.8,429.0,485.5,0.0,125.4,148.9,153.8,157.2,161.7,221.2,160.1,142.2,185.2,157.7,233.7,297.8,464.2,238.0,103.7,317.6,101.9,109.0,52.5,216.6,1413.6,82.1,194.5,349.4,69.0,247.2,252.4,94.4,226.2,443.3,250.8,163.5,304.6,136.0,282.4,166.5,52.0,171.1,134.4,260.7,250.5,128.5,174.3,41.6,97.7,82.1,254.2,217.7,89.6,223.6,158.0,163.4,74.5,70.7,301.2,336.1,258.9,290.4,159.8,316.2
KF,90.5,138.7,154.0,257.2,272.9,246.9,396.2,376.7,158.8,332.3,140.3,13.8,239.4,112.8,401.1,7.1,391.8,32.2,126.3,165.1,323.2,290.4,207.8,291.5,28.3,309.3,123.2,223.9,285.7,199.7,97.6,58.2,367.2,64.7,248.1,215.8,136.5,303.5,360.0,132.5,0.0,167.1,218.1,31.7,161.4,246.0,66.4,116.7,203.4,32.2,131.5,252.1,339.5,302.3,125.0,285.3,123.2,130.3,111.2,282.5,1288.1,86.1,69.0,303.7,63.7,310.4,285.6,62.1,244.4,318.1,272.7,105.2,368.9,101.8,236.7,93.2,112.2,170.5,139.3,325.3,317.2,127.9,128.6,101.8,106.0,86.1,275.8,235.9,93.5,135.9,176.5,178.7,95.8,70.7,365.5,290.4,292.1,244.7,218.2,363.6
KG,183.4,174.9,17.1,148.5,164.2,156.3,531.2,511.7,195.0,206.7,102.0,187.4,168.0,142.4,275.5,176.8,526.8,215.2,127.6,123.4,197.6,164.8,117.0,426.5,157.3,197.2,165.1,115.2,186.2,74.1,131.0,156.0,241.6,125.6,122.5,166.9,112.8,438.5,495.0,156.9,183.2,0.0,92.5,181.7,78.8,130.7,200.0,152.2,94.7,215.2,196.6,229.6,474.5,176.7,208.4,227.1,191.3,191.0,114.0,200.7,1421.3,160.0,188.0,228.5,146.9,198.3,173.5,175.5,135.7,453.1,160.6,111.1,243.3,170.6,192.8,172.8,99.5,87.9,100.2,199.7,191.6,82.3,140.1,108.8,175.6,160.0,163.7,127.2,123.0,177.8,67.8,90.3,156.5,151.8,239.9,267.9,180.0,214.3,143.6,225.3
KN,182.6,174.1,113.1,48.5,42.6,122.2,566.1,546.6,194.2,114.1,182.9,212.1,111.6,177.3,182.9,205.4,561.7,230.5,126.8,129.8,105.0,72.2,150.5,461.4,188.4,122.2,200.0,99.1,129.8,18.7,130.2,187.1,149.0,140.6,29.9,132.8,103.1,473.4,529.9,156.1,198.2,96.0,0.0,212.8,134.8,96.6,231.1,183.3,112.4,230.5,231.5,182.4,508.9,84.1,207.6,156.1,190.5,190.2,113.2,166.6,1373.3,159.2,222.9,172.1,146.1,93.3,98.5,174.7,61.3,488.0,76.5,142.2,150.7,185.6,158.7,203.9,98.7,143.9,131.3,107.1,99.0,125.4,171.2,108.0,174.8,159.2,73.3,111.1,138.0,212.7,101.3,166.6,155.7,151.0,147.3,206.1,105.0,157.9,109.5,197.0
KU,104.1,183.9,151.0,254.2,269.9,278.9,381.7,362.2,204.0,329.3,125.8,30.0,224.9,98.3,398.1,36.7,377.3,61.1,171.5,192.0,320.2,287.4,167.0,277.0,59.9,294.8,108.7,220.9,271.2,196.7,126.4,26.4,364.2,108.6,245.1,242.7,181.4,289.0,345.5,185.3,45.1,164.1,215.1,0.0,146.4,231.5,59.8,78.9,200.4,61.1,117.0,237.6,324.5,299.3,170.2,270.8,168.4,175.5,156.4,320.7,1273.6,126.4,54.5,289.2,116.5,295.9,271.1,107.3,241.4,303.6,258.2,73.4,365.9,119.5,222.2,61.4,143.1,155.5,98.7,322.3,314.2,112.9,114.1,152.4,119.6,126.4,261.3,232.9,103.9,121.4,173.5,135.0,141.0,115.9,362.5,275.9,277.6,230.2,263.1,349.7
LN,197.3,210.6,69.1,135.6,151.3,218.5,464.3,474.3,230.7,235.6,74.0,164.0,160.6,105.0,304.4,154.5,489.4,192.9,163.3,159.1,226.5,221.6,42.1,389.1,135.0,184.3,112.4,102.3,173.3,142.2,137.3,121.7,266.9,122.1,177.3,209.8,148.5,401.1,457.6,180.9,179.7,82.2,154.7,147.4,0.0,117.7,177.7,129.9,81.8,192.9,157.4,171.4,436.6,204.9,244.1,204.6,224.0,226.7,149.7,262.9,1363.1,170.7,150.6,223.0,157.6,185.4,160.6,218.2,122.8,415.7,147.7,76.8,272.2,153.5,152.3,138.5,110.2,9.0,65.9,228.6,206.4,36.3,90.0,119.5,169.9,170.7,150.2,114.3,120.7,140.4,54.9,50.0,192.2,187.5,268.8,209.7,167.1,161.1,205.8,212.4
LO,248.6,261.9,113.1,48.4,64.1,210.3,553.3,563.3,282.0,166.4,167.8,234.1,90.6,194.0,235.2,224.6,578.4,263.0,214.6,217.9,157.3,134.4,99.0,478.1,205.1,115.1,216.7,33.1,104.1,100.9,188.6,203.8,201.3,173.4,90.1,210.3,191.2,490.1,546.6,232.2,231.0,126.2,88.0,229.5,107.7,0.0,247.8,200.0,26.4,178.0,246.4,140.6,525.6,136.4,266.3,96.3,275.3,278.0,201.0,254.7,1390.3,222.0,239.6,130.3,208.9,116.2,91.4,269.5,35.6,504.7,78.5,158.9,203.0,218.4,65.6,220.6,161.5,98.6,148.0,159.4,137.2,139.3,187.9,170.8,221.2,222.0,81.0,45.1,170.8,229.4,54.9,147.3,243.5,238.8,199.6,165.2,97.9,113.2,197.6,143.2
LP,99.9,205.2,170.5,273.7,289.4,298.4,442.4,422.9,225.3,348.8,164.5,69.1,263.6,137.0,417.6,58.5,438.0,96.9,192.8,211.5,339.7,306.9,196.0,337.7,55.7,333.5,147.4,240.4,309.9,216.2,128.5,55.4,383.7,95.6,264.6,262.2,203.0,349.7,406.2,171.6,80.9,183.6,234.6,60.6,175.4,270.2,0.0,98.8,219.9,96.9,155.7,276.3,385.2,318.8,191.5,309.5,189.7,196.8,177.7,340.2,1334.3,107.2,115.2,327.9,112.1,334.6,309.8,154.7,260.9,364.3,296.9,102.4,385.4,100.3,260.9,80.1,151.3,184.5,127.7,341.8,333.7,141.9,152.8,140.9,95.3,107.2,300.0,252.4,110.0,160.1,193.0,164.0,162.3,141.2,382.0,314.6,316.3,268.9,284.7,388.4
LU,145.0,215.5,123.0,226.2,241.9,250.9,467.7,448.2,235.6,301.3,125.3,100.9,224.4,97.8,370.1,90.3,463.3,128.7,168.2,164.0,292.2,259.4,154.4,363.0,70.8,274.9,108.2,192.9,270.7,168.7,67.0,74.6,336.2,69.8,217.1,214.7,153.4,375.0,431.5,139.3,127.4,136.1,187.1,100.3,130.4,208.4,94.1,0.0,172.4,128.7,133.1,237.1,410.5,271.3,190.1,270.3,188.3,195.4,154.6,292.7,1359.6,129.1,124.5,288.7,116.0,276.0,251.2,176.6,213.4,389.6,238.3,60.8,337.9,71.3,221.7,78.4,109.6,139.5,86.1,294.3,286.2,96.9,113.6,99.2,117.6,129.1,241.4,204.9,44.5,120.9,145.5,122.4,160.9,160.2,334.5,275.4,257.7,229.7,235.1,349.2
LV,222.1,235.4,86.6,53.7,69.4,213.0,526.8,536.8,253.6,153.7,141.3,207.6,73.0,167.5,222.5,198.1,551.9,236.5,186.2,183.9,144.6,139.7,72.5,451.6,178.6,102.4,174.9,20.4,91.4,106.2,160.2,177.3,185.0,146.9,95.4,213.0,173.3,463.6,520.1,207.1,204.5,99.7,93.3,203.0,81.2,35.8,221.3,173.5,0.0,180.7,218.0,144.0,497.2,123.0,239.8,132.3,248.8,251.5,174.9,257.4,1353.7,195.5,213.1,133.7,182.4,103.5,78.7,241.1,40.9,476.3,65.8,132.4,190.3,190.0,101.6,192.2,135.0,72.1,121.5,146.7,136.1,112.8,161.4,144.3,194.7,193.6,68.3,32.4,171.4,202.9,26.5,111.9,217.0,210.4,186.9,168.6,85.2,116.6,198.4,130.5
MD,104.6,165.1,184.1,287.3,275.1,273.3,377.9,387.9,143.6,346.6,170.4,42.8,201.0,142.9,415.4,37.2,403.0,0.0,152.7,191.5,337.5,304.7,237.9,302.7,58.4,339.4,132.3,190.7,315.8,79.0,124.0,101.6,377.9,91.1,262.4,257.3,162.9,314.7,371.2,160.3,26.3,197.2,232.4,75.1,179.4,276.1,96.5,146.8,231.5,0.0,250.2,282.2,350.7,315.9,133.9,315.4,146.6,156.7,137.2,308.9,1299.3,112.5,99.1,333.8,90.1,340.5,315.7,88.5,274.5,329.3,168.1,148.6,383.2,131.9,263.1,136.6,138.6,200.6,169.4,198.7,329.0,155.2,158.7,128.2,108.8,112.5,305.3,266.0,129.9,166.0,206.6,203.2,122.2,97.1,379.8,321.4,322.2,271.9,36.7,394.3
ML,180.9,260.4,168.5,247.2,262.9,295.8,369.3,379.3,280.5,313.3,93.0,146.1,194.0,65.5,382.1,150.7,394.4,185.9,213.1,208.9,304.2,300.0,160.5,294.1,131.2,262.0,65.4,230.5,238.4,219.5,159.5,90.3,344.6,162.3,288.9,269.9,198.3,306.1,362.6,230.7,161.2,181.6,232.0,116.0,160.6,198.7,134.5,112.0,223.3,185.9,0.0,204.8,342.1,282.6,240.9,238.0,256.6,263.7,199.9,337.6,1290.7,174.1,55.6,256.4,179.0,263.1,238.3,221.6,234.4,320.7,225.4,106.5,349.9,167.2,185.7,62.3,160.0,169.7,92.0,306.3,294.7,129.8,81.3,169.3,162.2,174.1,227.9,220.3,135.7,52.7,196.4,131.4,229.2,208.1,346.5,244.0,244.8,194.5,280.0,316.9
MT,317.8,331.1,209.0,183.3,196.3,303.8,526.9,507.4,351.2,207.8,133.5,285.6,86.6,138.1,276.6,275.0,522.5,314.0,283.8,279.6,198.7,213.6,180.2,422.2,255.5,205.6,160.8,125.0,211.7,200.3,257.8,218.4,242.7,242.6,183.6,314.4,269.0,434.2,490.7,301.4,300.2,222.1,181.5,244.1,180.3,145.5,262.6,223.5,143.3,314.0,192.3,0.0,469.7,177.8,364.6,112.2,347.5,347.2,270.2,333.4,1276.7,291.2,183.7,118.6,278.1,157.6,132.8,338.7,170.5,448.8,119.9,177.2,244.4,274.0,83.9,190.4,230.7,189.4,162.7,200.8,192.7,194.2,123.1,240.0,290.3,291.2,123.0,114.8,240.0,173.5,171.8,151.1,312.7,308.0,241.0,105.3,219.2,134.4,291.1,174.9
NS,398.2,458.7,426.5,489.0,504.7,566.9,65.3,67.7,478.8,571.3,334.8,288.6,435.8,323.5,640.1,311.5,113.6,324.2,430.1,466.9,546.0,541.8,418.5,34.0,342.6,520.0,296.7,472.3,480.2,461.3,401.3,333.9,606.2,368.5,530.7,517.6,440.3,60.4,51.0,452.8,319.9,439.6,473.8,312.0,418.6,440.5,371.9,353.8,465.1,502.9,324.2,462.8,0.0,541.3,427.5,496.0,424.0,450.3,431.2,595.6,1098.4,401.5,279.7,498.2,383.7,504.9,480.1,365.9,476.2,84.2,467.2,364.5,607.9,394.6,447.4,289.7,401.8,411.5,333.8,548.1,552.7,368.8,339.3,411.1,389.6,417.7,485.9,478.3,385.1,330.4,454.4,389.4,415.8,390.7,588.3,501.1,486.6,455.4,522.0,558.7
NT,315.9,195.2,266.0,110.1,121.5,212.9,669.9,679.9,215.3,56.0,316.2,344.3,104.8,310.6,98.7,338.7,695.0,363.8,218.9,164.8,46.9,85.6,215.6,594.7,321.7,116.9,318.0,124.0,125.2,194.3,264.2,320.4,61.2,273.9,109.5,150.9,184.1,606.7,663.2,246.8,331.5,279.1,107.4,346.1,292.2,145.1,364.4,316.6,144.9,152.4,363.7,177.8,642.2,0.0,199.6,151.5,232.0,213.4,205.7,155.5,1386.7,276.2,356.2,167.5,279.4,88.7,93.9,266.8,122.9,621.3,71.2,275.5,66.5,318.9,139.5,337.9,232.0,301.3,264.6,22.9,47.4,255.9,304.5,241.3,308.1,276.2,68.7,114.5,298.4,346.0,170.8,293.9,213.1,243.1,63.1,202.4,99.7,150.4,138.2,164.3
NW,181.2,63.4,210.4,263.4,216.8,220.9,501.5,511.5,83.5,329.0,260.6,181.9,283.6,276.2,277.3,176.3,526.6,201.4,100.3,128.5,319.9,287.1,277.3,426.3,197.5,296.4,265.6,280.3,344.7,161.6,97.5,227.4,297.0,181.4,244.8,153.5,110.5,438.3,494.8,110.0,169.1,223.5,214.8,200.9,195.9,295.7,235.6,217.9,257.8,172.6,298.9,372.4,442.0,298.3,0.0,392.2,73.0,55.0,84.8,207.2,1400.0,118.2,238.2,387.0,144.7,308.2,313.4,124.3,276.2,420.6,250.7,239.2,251.9,211.7,353.3,201.5,127.7,245.7,209.0,322.0,311.4,200.3,248.9,117.3,173.4,77.5,288.9,292.3,191.2,299.3,192.2,197.6,54.1,85.1,362.2,411.6,319.9,369.9,165.3,411.9
OV,352.1,318.3,216.6,151.9,167.6,266.4,555.4,535.9,338.4,170.4,162.0,338.7,49.2,166.6,239.2,328.1,551.0,366.5,271.0,274.0,161.3,157.1,202.5,450.7,308.6,119.1,189.3,87.6,95.5,162.9,292.1,246.9,205.3,276.9,146.2,277.0,247.3,462.7,519.2,335.7,334.5,229.7,144.1,272.6,211.2,103.4,291.1,303.5,129.9,366.5,220.8,81.1,498.2,140.4,351.8,0.0,334.7,334.4,257.4,296.0,1290.8,325.5,212.2,70.8,312.4,120.2,95.4,373.0,139.1,477.3,82.5,205.7,207.0,321.9,28.5,218.9,265.0,202.1,191.2,163.4,155.3,245.6,151.6,274.3,324.7,325.5,85.6,77.4,274.3,202.0,158.4,179.6,299.9,295.2,203.6,104.8,101.9,56.6,253.7,185.4
PB,166.6,56.9,195.8,248.8,242.9,206.3,495.0,505.0,74.0,314.4,246.0,175.4,306.7,261.6,270.8,169.8,520.1,194.9,82.7,125.8,305.3,272.5,262.7,419.8,191.0,322.5,251.0,265.7,330.1,187.7,120.6,220.9,345.7,166.8,230.2,147.0,95.9,431.8,488.3,95.4,162.6,208.9,200.2,194.4,219.0,281.1,221.2,203.3,243.2,158.0,289.4,357.8,464.3,283.7,25.7,377.6,0.0,48.5,70.2,200.7,1393.5,103.6,231.7,372.4,130.1,293.6,298.8,114.8,261.6,443.4,273.8,224.6,245.4,194.1,338.7,224.6,113.1,231.1,194.4,304.4,296.8,185.7,234.3,102.7,158.8,100.6,274.3,277.7,176.6,284.7,215.3,227.7,39.5,67.5,347.6,397.0,302.3,355.3,155.8,397.3
PH,142.0,23.1,189.4,231.0,225.1,215.2,475.9,456.4,43.2,296.6,239.6,127.9,338.7,226.9,241.0,121.2,471.5,146.3,94.6,88.2,287.5,254.7,256.3,371.2,142.4,304.7,237.3,259.3,312.3,164.0,132.5,172.3,264.3,145.5,212.4,106.9,104.8,383.2,439.7,102.9,114.0,202.5,182.4,145.8,215.6,274.8,180.5,212.2,238.8,146.3,245.6,351.4,418.7,266.6,64.0,371.2,70.3,0.0,79.5,170.9,1344.9,124.7,183.1,354.6,107.8,275.8,281.0,69.2,243.8,397.8,259.0,198.9,215.6,193.0,336.0,207.3,122.0,224.7,188.0,240.5,281.5,182.1,227.9,111.6,165.8,124.7,255.8,271.3,158.4,250.0,211.9,224.3,48.4,77.8,263.5,389.7,287.5,340.4,129.0,379.5
PI,133.9,105.3,125.1,178.1,172.6,135.6,490.7,500.7,125.8,243.7,175.3,136.7,239.4,169.7,312.5,131.1,515.8,156.2,13.5,53.8,234.6,201.8,192.0,415.5,166.8,252.2,177.1,195.0,259.4,117.0,104.8,185.2,275.0,123.2,159.5,119.6,25.2,427.5,484.0,41.4,123.9,138.2,129.5,155.7,151.7,210.4,191.5,184.5,172.5,87.3,222.5,287.1,463.5,213.0,54.1,306.9,66.8,76.9,0.0,164.0,1421.9,70.8,193.0,301.7,104.5,222.9,228.1,61.0,190.9,441.7,206.5,134.6,280.3,152.7,268.0,184.0,76.3,160.4,123.7,236.7,226.1,115.0,163.6,83.9,115.2,70.8,203.6,207.0,157.8,205.1,147.6,160.0,42.4,37.3,276.9,326.3,234.6,284.6,106.9,326.5
PJ,294.0,173.3,244.1,192.1,204.2,191.0,677.5,658.0,193.4,133.2,294.3,323.5,189.0,288.7,70.0,316.8,673.1,341.9,197.0,142.9,124.1,167.6,297.6,572.8,299.8,199.6,311.4,206.7,207.2,166.5,241.6,298.5,93.3,252.0,191.5,139.6,162.2,584.8,641.3,226.3,309.6,257.2,184.9,324.2,270.3,227.2,342.5,294.7,225.0,341.9,342.9,259.8,620.8,77.1,206.8,233.5,213.1,191.5,183.4,0.0,1389.9,254.3,334.3,249.5,257.5,170.7,175.9,244.9,204.9,599.4,153.9,253.6,44.6,297.0,225.2,315.3,210.1,279.4,242.7,69.5,127.1,236.8,282.6,219.4,286.2,254.3,150.7,196.5,249.4,324.1,253.5,279.0,191.2,221.2,92.5,283.5,182.4,235.3,116.3,247.0
PK,1386.0,1425.0,1326.3,1286.9,1299.0,1406.5,1167.3,1150.9,1445.1,1364.7,1250.8,1292.6,1244.5,1255.4,1339.7,1299.3,1146.4,1289.5,1401.1,1394.6,1355.6,1206.4,1297.5,1126.7,1330.4,1198.4,1278.1,1249.9,1204.5,1303.0,1375.1,1321.7,1363.0,1359.9,1286.3,1391.3,1387.4,1090.7,1134.0,1418.7,1307.7,1339.4,1284.2,1299.8,1297.6,1270.4,1359.7,1340.8,1268.2,1289.5,1309.6,1145.2,1126.7,1308.6,1432.8,1289.0,1431.0,1411.9,1387.5,1385.3,0.0,1405.5,1267.5,1138.3,1371.5,1252.6,1217.1,1369.9,1299.7,1092.1,1266.7,1294.5,1296.3,1398.6,1208.8,1293.7,1348.0,1306.7,1280.0,1326.6,1358.6,1311.5,1240.4,1357.3,1393.6,1405.5,1263.5,1239.7,1357.3,1290.8,1296.7,1268.4,1403.6,1378.5,1324.0,1143.0,1212.0,1154.1,1368.0,1168.3
PV,63.0,97.9,136.6,203.2,197.3,206.1,486.3,466.8,118.0,268.8,197.5,103.9,296.6,170.0,337.6,97.2,481.9,122.3,85.5,124.3,259.7,226.9,203.5,381.6,95.9,276.9,180.4,206.5,277.5,136.2,63.3,114.3,303.7,52.3,184.6,175.0,95.7,393.6,450.1,73.1,90.0,149.7,154.6,121.8,162.8,222.0,120.6,141.2,186.0,122.3,188.7,309.3,429.1,238.8,84.2,318.4,82.4,89.5,70.4,241.7,1378.2,0.0,159.1,360.9,33.6,248.0,253.2,47.4,227.0,408.2,251.9,143.1,305.4,81.8,293.9,113.1,52.8,171.9,135.2,261.8,253.7,129.3,185.8,42.4,44.3,0.0,255.0,218.5,87.4,193.1,159.1,171.5,55.0,33.9,302.0,347.6,259.7,301.9,177.4,317.3
QL,144.7,238.6,146.7,225.4,241.1,274.0,343.1,323.6,258.7,291.5,71.2,101.5,170.3,43.7,360.3,114.5,338.7,130.2,191.3,187.1,282.4,278.2,138.7,238.4,95.0,240.2,54.1,208.7,216.6,191.8,137.7,54.1,326.4,126.3,267.1,237.8,176.5,250.4,306.9,202.3,116.6,159.8,210.2,71.4,138.8,176.9,98.3,90.2,201.5,130.2,62.4,183.0,285.9,261.5,222.2,216.2,220.4,227.5,177.7,315.8,1235.0,137.9,0.0,234.6,142.8,241.3,216.5,185.4,212.6,265.0,203.6,84.7,328.1,131.0,167.6,26.1,138.2,147.9,70.2,284.5,276.4,108.0,59.5,147.5,126.0,137.9,206.7,198.5,115.2,66.8,174.6,109.6,193.0,171.9,324.7,221.3,223.0,175.6,258.2,295.1
QQ,340.9,371.8,216.5,169.8,182.8,290.3,550.0,530.5,391.9,194.3,156.6,308.7,73.1,161.2,286.5,298.1,545.6,337.1,294.9,341.4,185.2,153.2,202.4,445.3,278.6,145.2,183.9,111.5,151.3,186.8,280.9,241.5,229.2,265.7,170.1,338.1,271.2,457.3,513.8,324.2,323.3,229.6,168.0,267.2,211.1,132.0,285.7,246.6,129.8,337.1,215.4,75.7,492.8,164.3,405.3,98.7,411.6,390.0,281.3,332.1,1246.9,314.3,206.8,0.0,301.2,199.4,163.9,342.8,157.0,471.9,106.4,200.3,243.1,297.1,70.4,213.5,253.8,202.0,185.8,187.3,179.2,217.3,146.2,263.1,313.4,314.3,109.5,101.3,263.1,196.6,158.3,174.2,389.7,319.1,227.5,33.9,158.8,15.7,314.8,115.1
QU,36.4,120.3,132.2,198.8,192.9,228.5,452.6,433.1,140.4,264.4,196.7,70.2,295.8,169.2,333.2,63.5,448.2,88.6,98.0,127.1,255.3,222.5,199.1,347.9,70.9,272.5,179.6,202.1,273.1,131.8,58.9,110.8,299.3,65.9,180.2,177.8,118.1,359.9,416.4,68.7,56.3,145.3,150.2,88.1,158.4,217.6,91.0,138.6,181.6,88.6,187.9,308.5,395.4,234.4,106.6,314.0,104.8,111.9,92.8,255.8,1344.5,22.3,125.4,360.1,0.0,243.6,248.8,69.8,222.6,374.5,247.5,156.7,301.0,95.4,293.1,126.7,48.4,167.5,130.8,257.4,249.3,124.9,185.0,38.0,57.9,22.3,250.6,214.1,84.8,192.3,154.7,167.1,77.4,56.3,297.6,346.8,255.3,301.1,199.8,312.2
QY,266.2,257.7,180.6,86.2,98.3,205.8,603.0,583.5,277.8,109.8,209.6,295.7,57.9,214.2,178.6,289.0,598.6,314.1,210.4,213.4,100.7,96.5,166.5,498.3,272.0,68.5,236.9,75.6,76.1,102.3,213.8,270.7,144.7,224.2,85.6,216.4,186.7,510.3,566.8,239.7,281.8,179.6,83.5,296.4,175.2,96.1,314.7,266.9,93.9,314.1,268.4,128.7,545.8,79.8,291.2,102.4,274.1,273.8,196.8,235.4,1338.4,242.8,259.8,118.4,229.7,0.0,44.8,258.3,99.0,524.9,22.8,225.8,146.4,269.2,94.1,266.5,182.3,166.1,214.9,102.8,94.7,209.0,199.2,191.6,258.4,242.8,19.6,65.4,221.6,249.6,122.4,207.8,239.3,234.6,143.0,152.4,51.3,104.2,193.1,115.2
