from_stop,AF,AL,AS,AT,AV,AW,BS,BU,BZ,CD,CF,CJ,CN,CQ,CY,DD,DG,DH,DM,DN,DQ,DS,DT,DU,DZ,EA,EC,ED,EG,EI,EJ,EL,EP,EV,EW,EX,EZ,FF,FI,FL,FZ,GC,GH,GO,GY,HH,HJ,HO,HX,HY,IB,ID,IG,IJ,IQ,IR,IW,JE,JF,JH,JJ,JM,JN,JV,JX,KA,KF,KH,KT,KU,KW,LL,LN,LQ,LU,LV,MD,MF,MP,MR,NC,NG,NQ,NS,NT,NW,NY,OB,OC,OF,OI,OP,OR,OT,PB,PF,PH,PJ,PM,PR,PY,QE,QG,QJ,QX,RB,RJ,RY,RZ,SE,SU,SW,TE,TJ,TZ,UC,UG,UH,UN,UQ,UZ,VB,VG,VH,VO,VR,WD,WE,WF,WN,WQ,WS,WW,WZ,XB,XD,XW,XY,XZ,YB,YH,YN,YP,YS,YW,ZF,ZG,ZK,ZW,ZX
DS,724.7,818.2,511.7,303.2,423.5,870.8,194.2,458.6,639.4,682.5,967.7,428.2,692.8,928.1,803.5,613.0,732.0,967.5,907.9,491.7,429.3,0.0,573.5,754.7,763.4,401.9,776.2,750.6,185.8,728.3,764.4,242.9,450.1,383.0,498.0,157.5,748.7,661.1,691.0,718.3,277.8,316.5,875.3,850.2,260.4,595.8,667.5,373.4,942.3,324.5,430.2,751.5,295.5,693.2,732.0,715.1,720.0,260.2,295.7,898.8,705.3,253.8,694.2,610.6,852.7,52.0,703.6,716.0,618.1,544.7,119.4,751.4,286.1,226.6,497.1,297.5,690.1,734.9,779.0,631.1,816.2,275.2,486.6,657.9,185.3,689.9,233.1,762.4,93.2,497.1,329.0,721.4,329.2,188.4,724.5,750.5,65.0,664.2,717.8,552.7,691.9,717.0,26.3,656.6,357.0,807.2,1558.7,393.0,741.2,277.5,733.5,743.7,939.4,729.3,788.5,562.1,335.3,145.3,887.3,695.1,718.0,218.4,650.0,462.2,738.8,730.7,808.6,673.2,810.9,172.5,139.9,772.7,322.6,789.3,208.5,592.6,531.1,699.4,812.7,754.8,164.0,501.6,677.9,251.4,643.9,846.2,69.2,707.1,441.5,766.4
DT,151.1,244.6,246.8,659.8,780.1,297.2,550.8,193.7,65.8,108.9,394.1,270.2,119.2,354.5,229.9,71.2,282.8,393.9,334.3,226.8,289.3,544.5,0.0,181.1,216.0,758.5,228.8,177.0,542.4,154.7,190.8,448.1,806.7,243.0,233.1,397.8,443.2,87.5,321.2,144.7,357.9,308.4,301.7,276.6,340.5,22.2,93.9,436.1,368.7,681.1,786.8,204.1,627.7,119.6,158.4,384.1,146.4,407.2,410.0,325.2,131.7,413.6,120.6,37.0,279.1,495.2,130.0,142.4,44.5,135.5,541.2,177.8,642.7,583.2,232.2,326.5,116.5,379.5,231.6,57.5,242.6,631.8,91.3,84.3,428.3,142.5,544.4,407.0,467.0,81.0,320.9,147.8,382.5,565.0,150.9,395.1,527.7,90.6,144.2,96.8,118.3,143.4,518.1,83.0,348.9,233.6,1700.3,749.6,167.6,609.7,159.9,170.1,365.8,155.7,214.9,106.2,667.5,456.4,313.7,121.5,144.4,517.5,106.5,197.3,191.4,183.3,235.0,99.6,237.3,549.1,517.1,199.1,654.8,215.7,431.2,96.9,86.1,344.0,239.1,181.2,485.0,236.7,104.3,608.0,70.3,272.6,561.8,133.5,283.5,219.0
DU,29.9,63.4,422.4,835.4,955.7,181.3,726.4,369.3,225.0,268.1,278.2,443.7,278.4,234.2,48.7,246.8,442.0,278.0,218.4,402.4,464.9,720.1,175.5,0.0,375.2,934.1,388.0,336.2,718.0,313.9,32.7,623.7,982.3,418.6,408.7,573.4,602.4,246.7,480.4,303.9,533.5,484.0,185.8,95.4,516.1,181.4,253.1,611.7,252.8,856.7,962.4,363.3,803.3,278.8,317.6,543.3,305.6,582.8,585.6,209.3,290.9,589.2,279.8,196.2,163.2,674.5,289.2,306.8,203.7,311.1,717.8,337.0,818.3,758.8,407.8,502.1,275.7,538.7,388.6,165.3,61.4,807.4,266.9,192.1,603.9,301.7,720.0,566.2,642.6,256.6,496.5,307.0,547.5,740.6,310.1,554.3,703.3,249.8,303.4,137.2,277.5,302.6,693.7,190.8,524.5,117.7,1875.9,925.2,334.2,785.3,319.1,329.3,249.9,314.9,374.1,146.6,843.1,632.0,197.8,280.7,303.6,693.1,270.2,372.9,349.4,342.5,57.3,207.4,396.5,724.7,692.7,17.9,830.4,34.5,606.8,272.5,261.7,503.2,64.2,340.4,660.6,412.3,263.5,783.6,124.8,156.7,737.4,241.3,459.1,378.2
DZ,371.2,464.7,482.8,895.8,1016.1,517.9,786.8,429.7,246.3,289.4,614.2,506.2,217.6,574.6,450.0,307.2,256.0,614.0,554.4,462.8,525.3,780.5,231.3,401.2,0.0,994.5,107.0,226.2,778.4,335.2,410.9,684.1,1101.2,479.0,469.1,633.8,416.4,268.0,294.4,208.3,593.9,544.4,521.8,496.7,576.5,233.8,274.4,672.1,588.8,917.1,1022.8,82.3,863.7,300.1,338.9,357.3,326.9,643.2,646.0,545.3,312.2,649.6,301.1,217.5,499.2,731.2,228.4,231.9,200.6,371.5,777.2,358.3,878.7,819.2,468.2,562.5,297.0,352.7,31.7,277.6,462.7,867.8,327.3,304.4,664.3,99.8,780.4,380.2,703.0,317.0,556.9,328.3,618.5,801.0,331.4,368.3,763.7,189.0,184.5,149.4,181.9,207.0,754.1,303.1,584.9,453.7,1936.3,985.6,231.2,845.7,340.4,249.2,585.9,336.2,395.4,142.5,903.5,692.4,533.8,219.9,324.9,753.5,134.5,433.3,38.1,45.9,455.1,319.7,335.7,785.1,753.1,419.2,890.8,435.8,667.2,332.9,322.1,317.2,459.2,231.7,721.0,472.7,284.8,844.0,290.4,492.7,797.8,353.6,519.5,97.2
EA,927.2,1020.7,714.2,186.1,21.5,1073.3,246.5,661.1,841.9,885.0,1170.2,628.6,895.3,1130.6,1006.0,815.5,860.9,1170.0,1110.4,694.2,631.8,398.4,776.0,957.2,965.9,0.0,978.7,953.1,238.1,930.8,966.9,497.2,56.1,585.5,700.5,411.8,877.6,863.6,819.9,920.8,532.1,544.6,1077.8,1052.7,514.7,798.3,870.0,627.7,1144.8,218.4,93.9,954.0,240.6,895.7,934.5,844.0,922.5,514.5,531.1,1101.3,907.8,508.1,896.7,813.1,1055.2,352.8,906.1,923.7,820.6,747.2,437.0,953.9,214.6,156.8,699.6,555.1,892.6,863.8,979.3,833.6,1018.7,195.5,689.1,860.4,439.6,892.4,263.2,891.3,347.5,699.6,601.2,923.9,572.9,269.2,927.0,879.4,381.6,872.6,920.3,755.2,894.4,919.5,372.0,859.1,559.5,1009.7,1318.5,280.7,951.1,222.6,936.0,946.2,1139.1,931.8,991.0,764.6,255.0,399.6,1089.8,897.6,920.5,250.1,860.9,664.7,940.1,933.2,1008.3,875.7,1013.4,253.3,239.3,975.2,251.3,991.8,462.8,795.1,733.6,828.3,1015.2,957.3,418.3,704.1,880.4,171.7,846.4,1048.7,408.2,904.4,644.0,968.9
EC,360.8,454.3,472.4,885.4,1005.7,506.9,776.4,419.3,235.9,279.0,603.8,495.8,207.2,564.2,439.6,296.8,245.6,603.6,544.0,452.4,514.9,770.1,220.9,390.8,103.8,984.1,0.0,215.8,768.0,324.8,400.5,673.7,1090.8,468.6,458.7,623.4,406.0,257.6,284.0,197.9,583.5,534.0,511.4,486.3,566.1,223.4,264.0,661.7,578.4,906.7,1012.4,24.6,853.3,289.7,328.5,346.9,316.5,632.8,635.6,534.9,301.8,639.2,290.7,207.1,488.8,720.8,218.0,221.5,190.2,361.1,766.8,347.9,868.3,808.8,457.8,552.1,286.6,342.3,119.4,267.2,452.3,857.4,316.9,294.0,653.9,89.4,770.0,369.8,692.6,306.6,546.5,317.9,608.1,790.6,321.0,357.9,753.3,178.6,174.1,42.3,171.5,196.6,743.7,292.7,574.5,443.3,1925.9,975.2,220.8,835.3,330.0,238.8,575.5,325.8,385.0,35.4,893.1,682.0,523.4,209.5,314.5,743.1,124.1,422.9,79.2,71.1,444.7,309.3,325.3,774.7,742.7,408.8,880.4,425.4,656.8,322.5,311.7,306.8,448.8,221.3,710.6,462.3,274.4,833.6,280.0,482.3,787.4,343.2,509.1,9.8
ED,285.4,378.9,417.5,830.5,950.8,432.1,721.5,364.4,160.5,203.6,528.4,440.9,77.4,488.8,364.2,241.9,189.0,528.2,468.6,397.5,460.0,715.2,170.6,315.4,200.3,929.2,213.1,0.0,713.1,249.4,325.1,618.8,1034.2,413.7,403.8,568.5,349.4,182.2,227.4,60.1,528.6,504.7,436.0,410.9,511.2,148.0,188.6,606.8,503.0,851.8,957.5,188.4,798.4,214.3,253.1,290.3,241.1,577.9,580.7,459.5,226.4,584.3,215.3,131.7,413.4,665.9,88.5,83.5,114.8,306.2,711.9,272.5,813.4,753.9,402.9,497.2,211.2,285.7,215.9,191.8,376.9,802.5,262.0,218.6,599.0,126.8,715.1,313.2,637.7,251.7,491.6,242.5,553.2,735.7,245.6,301.3,698.4,103.2,41.6,258.0,48.2,73.4,688.8,217.3,519.6,367.9,1871.0,920.3,71.0,780.4,254.6,57.7,500.1,250.4,309.6,248.6,838.2,627.1,448.0,97.0,239.1,688.2,104.3,368.0,175.7,167.6,369.3,233.9,141.9,719.8,687.8,333.4,825.5,350.0,601.9,267.6,256.8,250.2,373.4,5.4,655.7,407.4,199.0,778.7,204.6,406.9,732.5,267.8,454.2,203.3
EG,785.9,879.4,572.9,147.8,268.1,932.6,8.4,519.8,700.6,743.7,1028.9,489.4,754.0,989.3,864.7,674.2,758.2,1028.7,969.1,552.9,490.5,210.7,634.7,815.9,824.6,246.5,837.4,811.8,0.0,789.5,825.6,309.5,294.7,444.2,559.2,224.1,774.9,722.3,717.2,779.5,344.4,377.7,936.5,911.4,327.0,657.0,728.7,440.0,1003.5,169.1,274.8,812.7,140.1,754.4,793.2,741.3,781.2,326.8,362.3,960.0,766.5,320.4,755.4,671.8,913.9,161.4,764.8,777.2,679.3,605.9,248.3,812.6,130.7,71.2,558.3,364.1,751.3,761.1,840.2,692.3,877.4,119.8,547.8,719.1,251.9,751.1,77.7,788.6,159.8,558.3,390.2,782.6,395.8,81.5,785.7,776.7,193.9,725.4,779.0,616.4,753.1,778.2,184.3,717.8,418.2,868.4,1508.7,237.6,802.4,122.1,794.7,804.9,1000.6,790.5,849.7,623.3,179.9,211.9,948.5,756.3,779.2,64.6,711.2,523.4,800.0,791.9,869.8,734.4,872.1,65.6,51.6,833.9,167.2,850.5,275.1,653.8,592.3,725.6,873.9,816.0,230.6,562.8,739.1,96.0,705.1,907.4,228.0,768.3,502.7,827.6
EI,256.9,350.4,389.0,802.0,922.3,403.0,693.0,335.9,74.8,142.6,499.9,412.4,205.4,460.3,335.7,213.4,369.0,499.7,440.1,369.0,431.5,686.7,142.1,286.9,302.2,900.7,315.0,263.2,684.6,0.0,296.6,590.3,948.9,385.2,375.3,540.0,529.4,121.2,407.4,230.9,500.1,450.6,407.5,382.4,482.7,119.5,74.4,578.3,474.5,823.3,929.0,290.3,769.9,49.8,158.9,470.3,145.6,549.4,552.2,431.0,132.2,555.8,174.3,104.3,384.9,637.4,216.2,228.6,130.7,277.7,683.4,231.5,784.9,725.4,374.4,468.7,117.0,465.7,317.8,163.3,348.4,774.0,233.5,190.1,570.5,228.7,686.6,493.2,609.2,223.2,463.1,190.2,524.7,707.2,151.4,481.3,669.9,176.8,230.4,241.5,204.5,229.6,660.3,188.8,491.1,339.4,1842.5,891.8,253.8,751.9,178.1,256.3,471.6,136.2,268.6,248.4,809.7,598.6,419.5,207.7,144.9,659.7,192.7,339.5,277.6,269.5,340.8,205.4,323.5,691.3,659.3,304.9,797.0,321.5,573.4,239.1,228.3,430.2,344.9,267.4,627.2,378.9,116.2,750.2,176.1,378.4,704.0,239.3,425.7,305.2
EJ,50.4,87.0,442.9,855.9,976.2,204.9,746.9,389.8,245.5,288.6,301.8,466.3,298.9,262.2,72.3,267.3,462.5,301.6,242.0,422.9,485.4,740.6,196.0,23.5,395.7,954.6,408.5,356.7,738.5,334.4,0.0,644.2,1002.8,439.1,429.2,593.9,622.9,267.2,500.9,324.4,554.0,504.5,209.4,119.0,536.6,201.9,273.6,632.2,276.4,877.2,982.9,383.8,823.8,299.3,338.1,563.8,326.1,603.3,606.1,232.9,311.4,609.7,300.3,216.7,186.8,691.3,309.7,322.1,224.2,331.6,737.3,357.5,838.8,779.3,428.3,522.6,296.2,559.2,411.3,185.8,85.0,827.9,287.4,212.6,624.4,322.2,740.5,586.7,663.1,277.1,517.0,327.5,578.6,761.1,330.6,574.8,723.8,270.3,323.9,160.2,298.0,323.1,714.2,211.3,545.0,141.3,1896.4,945.7,347.3,805.8,339.6,349.8,273.5,335.4,394.6,167.1,863.6,652.5,221.4,301.2,324.1,713.6,286.2,393.4,371.1,363.0,83.7,227.9,417.0,745.2,713.2,41.5,850.9,58.1,627.3,293.0,282.2,523.7,87.8,360.9,681.1,432.8,284.0,804.1,145.3,180.3,757.9,261.8,479.6,398.7
EL,631.6,725.1,418.6,392.2,512.5,777.7,283.2,365.5,546.3,589.4,874.6,335.1,599.7,835.0,710.4,519.9,638.9,874.4,814.8,398.6,336.2,213.1,480.4,661.6,670.3,490.9,683.1,657.5,274.8,635.2,671.3,0.0,539.1,289.9,404.9,66.4,655.6,568.0,597.9,625.2,102.1,249.0,782.2,757.1,115.6,502.7,574.4,280.3,849.2,413.5,519.2,658.4,384.5,600.1,638.9,622.0,626.9,64.2,99.7,805.7,612.2,57.8,601.1,517.5,759.6,163.8,610.5,622.9,525.0,451.6,209.8,658.3,375.1,315.6,404.0,186.4,597.0,641.8,685.9,538.0,723.1,364.2,393.5,564.8,123.2,596.8,322.1,669.3,135.6,404.0,235.9,628.3,145.6,277.4,631.4,657.4,196.3,571.1,624.7,459.6,598.8,623.9,186.7,563.5,263.9,714.1,1625.8,482.0,648.1,366.5,640.4,650.6,846.3,636.2,695.4,469.0,424.3,125.0,794.2,602.0,624.9,307.4,556.9,369.1,645.7,637.6,715.5,580.1,717.8,261.5,228.9,679.6,411.6,696.2,141.2,499.5,438.0,606.3,719.6,661.7,162.2,408.5,584.8,340.4,550.8,753.1,230.4,614.0,348.4,673.3
EP,962.5,1056.0,749.5,239.4,102.8,1108.6,299.8,696.4,877.2,920.3,1205.5,666.0,930.6,1165.9,1041.3,850.8,896.2,1205.3,1145.7,729.5,667.1,451.7,811.3,992.5,1001.2,81.2,1014.0,988.4,291.4,966.1,1002.2,550.5,0.0,620.8,735.8,465.1,912.9,898.9,855.2,956.1,621.8,554.3,1113.1,1088.0,604.4,833.6,905.3,681.0,1180.1,271.7,147.2,989.3,293.9,931.0,969.8,879.3,957.8,567.8,566.4,1136.6,943.1,561.4,932.0,848.4,1090.5,402.4,941.4,953.8,855.9,782.5,489.3,989.2,259.7,210.1,734.9,590.4,927.9,899.1,1016.8,868.9,1054.0,248.8,724.4,895.7,492.9,927.7,316.5,926.6,400.8,734.9,566.8,959.2,646.4,322.5,962.3,914.7,434.9,902.0,955.6,793.0,929.7,954.8,425.3,894.4,594.8,1045.0,1353.8,316.0,979.0,275.9,971.3,981.5,1177.2,967.1,1026.3,799.9,308.3,452.9,1125.1,932.9,955.8,303.4,887.8,700.0,976.6,968.5,1046.4,911.0,1048.7,306.6,292.6,1010.5,304.6,1027.1,516.1,830.4,768.9,863.6,1050.5,992.6,471.6,739.4,915.7,225.0,881.7,1084.0,469.0,944.9,679.3,1004.2
EV,476.6,570.1,263.6,685.9,662.9,667.0,576.9,210.5,435.6,434.4,763.9,209.7,444.7,675.6,555.4,364.9,348.9,719.9,704.1,243.6,230.9,583.9,325.4,506.6,515.3,641.3,528.1,481.5,568.5,480.2,516.3,487.5,671.5,0.0,249.9,481.5,409.9,413.0,352.2,467.2,281.5,257.6,627.2,602.1,264.1,392.0,419.4,359.7,738.5,707.2,771.6,503.4,679.6,489.4,483.9,332.0,471.9,330.8,333.6,650.7,457.2,337.2,446.1,362.5,648.9,538.3,455.5,473.1,370.0,296.6,625.9,503.3,678.1,609.3,249.0,250.1,442.0,351.8,528.7,383.0,568.1,657.9,282.8,409.8,414.5,441.8,468.0,379.3,506.4,249.0,310.4,473.3,295.5,571.1,476.4,411.7,611.4,422.0,484.1,304.6,443.8,468.9,557.5,408.5,272.5,552.9,1580.8,820.0,497.5,660.2,485.4,495.6,688.5,481.2,540.4,314.0,718.0,480.3,639.2,491.3,469.9,441.1,454.6,214.1,489.5,482.6,557.7,425.1,562.8,555.2,522.6,568.9,705.3,541.2,417.4,344.5,283.0,316.3,608.9,487.0,515.5,253.5,474.1,634.1,395.8,598.1,593.7,453.8,225.1,518.3
EW,403.3,496.8,13.6,583.3,703.6,549.4,474.3,55.2,318.0,361.1,646.3,193.7,371.4,606.7,482.1,291.6,508.8,646.1,586.5,57.7,212.8,468.0,252.1,433.3,442.0,682.0,454.8,429.2,465.9,406.9,443.0,371.6,730.2,166.5,0.0,321.3,532.2,339.7,547.2,396.9,281.4,257.5,553.9,528.8,264.0,274.4,346.1,359.6,620.9,604.6,710.3,430.1,551.2,371.8,410.6,610.1,398.6,330.7,333.5,577.4,383.9,337.1,372.8,289.2,531.3,418.7,382.2,394.6,296.7,223.3,464.7,430.0,566.2,506.7,52.3,250.0,368.7,605.5,457.6,309.7,494.8,555.3,165.2,336.5,351.8,368.5,467.9,633.0,390.5,175.7,244.4,400.0,306.0,488.5,403.1,621.1,451.2,342.8,396.4,233.8,370.5,395.6,441.6,335.2,272.4,485.8,1623.8,673.1,419.8,533.2,412.1,422.3,618.0,407.9,467.1,240.7,591.0,379.9,565.9,373.7,396.6,441.0,328.6,35.8,417.4,409.3,487.2,351.8,489.5,472.6,440.6,451.3,578.3,467.9,354.7,271.2,209.7,570.0,491.3,433.4,408.5,3.5,356.5,531.5,322.5,524.8,485.3,385.7,207.0,445.0
EX,567.1,660.6,354.1,325.7,446.0,713.2,216.7,301.0,481.8,524.9,810.1,268.5,535.2,770.5,645.9,455.4,574.4,809.9,750.3,334.1,271.7,146.6,415.9,597.1,605.8,424.4,618.6,593.0,208.3,570.7,606.8,85.3,472.6,225.4,340.4,0.0,591.1,503.5,533.4,560.7,120.2,184.5,717.7,692.6,102.8,438.2,509.9,215.8,784.7,347.0,452.7,593.9,319.4,535.6,574.4,557.5,562.4,102.6,138.1,741.2,547.7,96.2,536.6,453.0,695.1,97.3,546.0,563.6,460.5,387.1,144.3,593.8,308.6,249.1,339.5,139.9,532.5,577.3,619.2,473.5,658.6,297.7,329.0,500.3,56.7,532.3,255.6,604.8,69.1,339.5,241.1,563.8,161.0,210.9,566.9,592.9,129.8,512.5,560.2,395.1,534.3,559.4,120.2,499.0,199.4,649.6,1574.4,415.5,591.0,300.0,575.9,586.1,779.0,571.7,630.9,404.5,357.8,58.5,729.7,537.5,560.4,240.9,500.8,304.6,580.0,573.1,648.2,515.6,653.3,195.0,162.4,615.1,345.1,631.7,89.8,435.0,373.5,541.8,655.1,597.2,95.7,344.0,520.3,273.9,486.3,688.6,163.9,544.3,283.9,608.8
EZ,582.7,676.2,414.3,734.1,779.7,728.8,625.1,361.2,457.8,500.9,825.7,360.4,429.1,786.1,661.5,515.6,227.0,825.5,765.9,394.3,381.6,618.8,442.8,612.7,420.7,758.1,433.5,359.6,616.7,546.7,622.4,522.4,788.3,394.7,400.6,472.1,0.0,479.5,186.0,345.3,432.2,408.3,733.3,708.2,414.8,445.3,485.9,510.4,800.3,755.4,844.1,408.8,703.4,511.6,550.4,49.9,538.4,481.5,484.3,756.8,523.7,487.9,512.6,429.0,710.7,569.5,429.5,403.5,412.1,447.3,616.5,569.8,717.0,657.5,399.7,400.8,508.5,108.5,434.1,489.1,674.2,706.1,389.2,515.9,531.3,347.2,618.7,136.0,541.3,399.7,464.9,539.8,456.8,687.9,542.9,124.1,602.0,400.5,317.9,457.8,353.4,378.6,592.4,514.6,423.2,665.2,1774.6,823.9,368.2,684.0,551.9,386.2,794.6,547.7,606.9,464.7,741.8,530.7,745.3,431.4,536.4,591.8,342.7,364.8,394.9,388.0,666.6,531.2,482.9,672.0,591.4,630.7,729.1,647.3,534.2,495.2,433.7,143.8,670.7,365.1,588.0,404.2,496.3,682.3,501.9,704.2,628.6,565.1,375.8,423.7
FF,196.4,289.9,328.5,741.5,861.8,342.5,632.5,275.4,69.9,21.3,439.4,351.9,144.9,399.8,275.2,152.9,308.5,439.2,379.6,308.5,371.0,626.2,81.6,226.4,241.7,840.2,254.5,202.7,624.1,147.9,236.1,529.8,888.4,324.7,314.8,479.5,468.9,0.0,346.9,170.4,439.6,390.1,347.0,321.9,422.2,59.0,51.7,517.8,414.0,762.8,868.5,229.8,709.4,112.8,136.0,409.8,58.8,488.9,491.7,370.5,109.3,495.3,95.8,43.8,324.4,576.9,155.7,168.1,70.2,217.2,622.9,153.0,724.4,664.9,313.9,408.2,94.1,405.2,257.3,102.8,287.9,713.5,173.0,129.6,510.0,168.2,626.1,432.7,548.7,162.7,402.6,123.0,464.2,646.7,128.5,420.8,609.4,116.3,169.9,178.5,144.0,169.1,599.8,128.3,430.6,278.9,1782.0,831.3,193.3,691.4,135.1,195.8,411.1,103.2,190.1,187.9,749.2,538.1,359.0,147.2,122.0,599.2,132.2,279.0,217.1,209.0,280.3,144.9,263.0,630.8,598.8,244.4,736.5,261.0,512.9,178.6,167.8,369.7,284.4,206.9,566.7,318.4,16.7,689.7,115.6,317.9,643.5,178.8,365.2,244.7
FI,452.5,546.0,508.6,828.4,874.0,598.6,719.4,455.5,327.6,370.7,695.5,454.7,298.9,651.5,531.3,388.5,96.8,695.3,635.7,488.6,475.9,713.1,312.6,482.5,290.5,852.4,303.3,229.4,711.0,416.5,492.2,616.7,882.6,489.0,494.9,566.4,197.8,349.3,0.0,215.1,526.5,502.6,603.1,578.0,509.1,315.1,355.7,604.7,670.1,849.7,938.4,278.6,797.7,381.4,420.2,138.7,408.2,575.8,578.6,626.6,393.5,582.2,382.4,298.8,580.5,667.5,299.3,273.3,281.9,452.8,710.8,439.6,811.3,751.8,494.0,495.1,378.3,134.1,303.9,358.9,544.0,800.4,408.6,385.7,625.6,217.0,713.0,161.6,635.6,398.3,489.5,409.6,540.5,782.2,412.7,149.7,696.3,276.2,187.7,345.7,223.2,248.4,686.7,384.4,517.5,528.8,1868.9,918.2,245.4,778.3,421.7,256.0,664.4,417.5,476.7,338.8,836.1,625.0,615.1,301.2,406.2,686.1,212.5,459.1,264.7,257.8,536.4,401.0,352.7,766.3,685.7,500.5,823.4,517.1,628.5,414.2,403.4,98.6,540.5,234.9,682.3,498.5,366.1,776.6,371.7,574.0,722.9,434.9,470.1,293.5
FL,262.5,356.0,394.6,807.6,927.9,408.6,698.6,341.5,137.6,180.7,505.5,418.0,108.6,465.9,341.3,219.0,184.1,505.3,445.7,374.6,437.1,692.3,147.7,292.5,190.9,906.3,203.7,49.5,690.2,226.5,302.2,595.9,954.5,390.8,380.9,545.6,344.5,159.3,222.5,0.0,505.7,456.2,413.1,388.0,488.3,125.1,165.7,583.9,480.1,828.9,934.6,179.0,775.5,191.4,230.2,285.4,218.2,555.0,557.8,436.6,203.5,561.4,192.4,108.8,390.5,643.0,84.1,75.4,91.9,283.3,689.0,249.6,790.5,731.0,380.0,474.3,188.3,280.8,206.5,168.9,354.0,779.6,239.1,195.7,576.1,117.4,692.2,308.3,614.8,228.8,468.7,219.6,530.3,712.8,222.7,296.4,675.5,80.3,36.7,248.6,25.3,50.5,665.9,194.4,496.7,345.0,1848.1,897.4,22.8,757.5,231.7,40.8,477.2,227.5,286.7,239.2,815.3,604.2,425.1,92.6,216.2,665.3,81.4,345.1,166.3,158.2,346.4,211.0,137.5,696.9,664.9,310.5,802.6,327.1,579.0,244.7,233.9,245.3,350.5,55.0,632.8,384.5,176.1,755.8,181.7,384.0,709.6,244.9,431.3,193.9
FZ,529.4,622.9,316.4,428.2,546.9,675.5,319.2,263.3,444.1,487.2,772.4,232.9,497.5,732.8,608.2,417.7,536.7,772.2,712.6,296.4,234.0,249.1,378.2,559.4,568.1,525.3,580.9,555.3,310.8,533.0,569.1,105.4,555.5,187.7,302.7,102.4,553.4,465.8,495.7,523.0,0.0,121.2,680.0,654.9,13.4,400.5,472.2,178.1,747.0,449.5,555.2,556.2,420.5,497.9,536.7,519.8,524.7,49.2,52.0,703.5,510.0,55.6,498.9,415.3,657.4,199.8,508.3,520.7,422.8,349.4,245.8,556.1,411.1,351.6,301.8,84.2,494.8,539.6,583.7,435.8,620.9,400.2,291.3,462.6,132.9,494.6,358.1,567.1,171.6,301.8,133.7,526.1,36.6,313.4,529.2,555.2,232.3,468.9,522.5,357.4,496.6,521.7,222.7,461.3,161.7,611.9,1620.4,518.0,545.9,402.5,538.2,548.4,744.1,534.0,593.2,366.8,460.3,161.0,692.0,499.8,522.7,343.4,454.7,266.9,543.5,535.4,613.3,477.9,615.6,297.5,264.9,577.4,447.6,594.0,135.8,397.3,335.8,504.1,617.4,559.5,189.6,306.3,482.6,376.4,448.6,650.9,266.4,511.8,246.2,571.1
GC,408.1,501.6,195.1,532.9,729.4,554.2,457.2,142.0,322.8,365.9,651.1,109.5,376.2,640.4,520.2,296.4,448.7,650.9,624.6,208.4,112.7,417.6,256.9,438.1,480.1,707.8,459.6,434.0,448.8,411.7,481.1,321.2,738.0,66.4,181.4,304.2,432.1,344.5,407.7,401.7,264.3,0.0,592.0,533.6,213.6,312.5,384.2,309.2,625.7,554.2,827.1,434.9,535.2,376.6,448.7,398.5,403.4,280.3,283.1,582.2,388.7,320.0,377.6,294.0,536.1,368.3,387.0,399.4,301.5,228.1,448.6,434.8,515.8,456.3,180.5,232.9,373.5,418.3,460.2,314.5,499.6,504.9,170.0,341.3,301.4,373.3,417.5,445.8,340.1,180.5,6.5,404.8,288.9,438.1,441.2,433.9,434.1,353.5,401.2,236.1,408.6,400.4,424.5,340.0,21.9,484.4,1680.6,656.0,424.6,482.8,416.9,427.1,620.0,412.7,505.2,245.5,540.6,329.5,570.7,378.5,401.4,390.6,341.8,145.6,421.0,414.1,489.2,356.6,494.3,422.2,390.2,456.1,561.2,472.7,304.3,276.0,214.5,416.1,496.1,438.2,358.1,185.0,361.3,481.1,360.6,529.6,427.4,385.3,124.9,449.8
GH,187.8,231.8,518.9,931.9,1052.2,3.9,822.9,465.8,321.5,364.6,126.9,540.2,374.9,82.9,217.1,343.3,538.5,126.7,67.1,498.9,561.4,816.6,272.0,195.8,471.7,1030.6,484.5,432.7,814.5,410.4,227.5,720.2,1078.8,515.1,505.2,669.9,698.9,343.2,576.9,400.4,630.0,580.5,0.0,263.8,612.6,277.9,349.6,708.2,135.1,953.2,1058.9,459.8,899.8,375.3,414.1,639.8,402.1,679.3,682.1,34.1,387.4,685.7,376.3,292.7,32.5,771.0,385.7,403.3,300.2,407.6,814.3,433.5,914.8,855.3,504.3,598.6,372.2,635.2,485.1,261.8,255.2,903.9,363.4,288.6,700.4,398.2,816.5,662.7,739.1,353.1,593.0,403.5,644.0,837.1,406.6,650.8,799.8,352.2,399.9,123.6,374.0,399.1,790.2,287.3,621.0,74.2,1972.4,1021.7,430.7,881.8,415.6,425.8,74.7,411.4,470.6,133.0,939.6,728.5,12.0,377.2,400.1,789.6,366.7,469.4,445.9,439.0,200.5,303.9,493.0,821.2,789.2,177.8,926.9,228.3,703.3,369.0,358.2,599.7,207.4,436.9,757.1,508.8,360.0,880.1,221.3,49.3,833.9,337.8,555.6,474.7
