from_stop,AD,AF,AJ,AK,AQ,AY,AZ,BK,CK,CP,CR,DI,DQ,DV,DY,EE,EH,EK,EM,EN,EQ,FM,GI,GN,GW,GY,HF,HK,HS,HT,IC,IF,IG,IJ,IN,IU,IZ,JU,JV,KG,KJ,KQ,KT,KU,KW,KY,LF,LJ,LK,LL,MC,MF,ML,MP,MQ,MR,NA,OB,OD,OR,OT,PB,PF,PJ,PN,QI,QQ,QR,QT,QU,RH,RI,RJ,RT,RZ,SL,ST,SX,TB,TF,TQ,TY,UO,UR,UW,UX,VK,VX,VZ,WC,WH,WI,WQ,WR,WY,WZ,XA,XI,XK,XL,XQ,XV,YF,YI,YT,ZE,ZI,ZN
IC,92.1,168.7,363.6,131.0,191.4,96.8,137.8,316.9,136.1,62.6,447.0,333.8,145.5,287.5,186.3,152.3,337.2,439.8,20.3,280.2,359.9,210.3,264.9,268.0,206.9,272.9,291.1,134.3,123.2,315.1,0.0,148.3,195.8,194.6,334.6,275.5,349.5,179.1,294.1,225.0,248.5,257.8,345.0,152.0,323.3,178.5,323.4,232.2,156.7,383.7,154.9,145.7,293.7,396.2,1587.3,84.2,145.2,253.5,239.4,170.9,144.7,363.4,284.6,339.6,184.1,176.0,85.2,121.0,168.6,273.7,264.9,80.3,45.1,311.1,178.7,161.3,304.2,32.7,270.1,369.0,123.4,102.5,184.1,318.4,305.9,289.9,261.0,98.3,193.1,221.1,129.2,130.1,184.1,167.4,78.0,192.8,184.3,313.8,266.8,104.4,276.8,235.8,136.1,121.1,127.6,318.4,350.5,124.4
IF,108.3,183.6,301.1,145.9,206.3,111.7,150.8,254.4,151.0,172.8,384.5,354.7,83.0,370.7,131.7,89.8,274.7,421.9,145.5,361.9,297.4,291.4,217.9,357.9,144.4,354.5,228.6,71.8,63.7,385.6,123.8,0.0,133.3,209.5,405.1,361.5,302.5,263.5,247.1,162.5,186.0,210.8,282.5,182.7,344.2,203.1,393.9,306.6,171.6,321.2,169.8,158.7,314.6,417.1,1610.6,178.0,112.3,206.5,176.9,265.6,78.2,300.9,222.1,277.1,249.7,190.9,101.4,246.7,213.0,236.6,216.6,95.2,155.3,248.6,259.8,176.2,241.7,147.6,386.5,306.5,134.3,94.7,200.3,354.8,243.4,360.4,198.5,125.9,258.7,286.4,226.0,157.8,221.4,182.3,92.9,130.3,199.2,251.3,204.3,29.6,229.8,301.1,73.6,136.0,49.5,339.3,371.4,139.3
IG,235.7,310.9,303.5,273.2,333.6,239.0,255.4,256.8,280.0,241.4,260.4,432.0,85.4,411.8,197.5,128.7,277.1,499.2,196.2,407.6,299.8,369.1,204.8,389.7,146.8,455.7,232.8,140.6,287.6,436.8,226.6,172.2,0.0,392.7,441.0,397.2,289.4,361.9,234.0,164.9,188.4,197.7,284.9,310.0,421.5,330.4,444.4,353.9,298.9,323.6,297.1,265.1,391.9,494.4,1613.0,267.0,273.5,193.4,179.3,353.7,159.6,298.7,224.5,279.5,366.9,318.2,229.2,303.8,340.3,317.9,203.5,241.1,227.9,251.0,361.5,303.5,244.1,215.5,392.7,264.7,241.0,306.3,383.5,416.6,245.8,411.6,200.9,258.5,346.2,379.1,312.0,248.7,345.6,309.6,220.2,68.9,326.5,253.7,206.7,156.9,216.7,424.7,124.5,263.3,153.1,416.6,448.7,266.6
IJ,105.9,39.8,477.7,115.3,126.6,140.3,179.5,431.0,122.1,171.5,434.6,384.8,259.6,288.4,292.8,266.4,451.3,430.6,217.8,283.3,474.0,196.2,379.0,265.6,321.0,259.3,407.0,248.4,203.1,305.9,221.3,201.5,309.9,0.0,325.4,266.3,463.6,182.2,408.2,339.1,362.6,371.9,459.1,89.0,433.4,123.4,313.5,229.8,91.9,497.8,76.1,189.2,374.0,485.7,1578.9,146.4,221.9,367.6,353.5,174.0,254.9,472.9,398.7,453.7,170.0,111.2,112.4,200.5,133.3,413.2,377.7,179.3,186.1,425.2,164.6,47.7,418.3,197.5,261.8,438.9,193.0,182.4,9.1,398.7,420.0,280.7,375.1,179.8,179.0,206.7,132.3,187.7,138.6,102.6,121.4,306.9,119.5,427.9,380.9,184.3,390.9,227.5,248.3,105.4,226.1,398.7,401.5,75.9
IN,308.1,285.4,601.2,264.3,204.5,342.5,381.7,554.5,257.5,284.9,558.1,59.3,383.1,55.2,420.3,389.9,574.8,105.1,315.6,83.7,597.5,171.4,502.5,168.0,444.5,70.5,530.5,371.9,393.8,85.3,346.0,375.0,433.4,333.9,0.0,94.9,587.1,169.1,531.7,462.6,486.1,495.4,582.6,248.5,107.9,225.8,92.9,156.3,245.4,621.3,262.9,391.4,96.3,160.2,1389.9,259.8,457.2,491.1,477.0,177.3,376.4,596.4,522.2,577.2,161.5,238.0,314.6,313.9,215.9,511.3,501.2,381.5,299.5,548.7,167.9,278.0,541.8,310.9,129.2,562.4,395.2,384.6,334.5,121.0,543.5,163.4,498.6,357.1,154.7,161.4,215.0,389.9,193.8,235.2,323.6,430.4,210.8,551.4,504.4,359.7,514.4,132.4,371.8,274.2,365.2,117.4,76.0,277.4
IU,247.7,224.9,546.2,203.8,144.0,282.0,321.2,499.5,197.0,224.4,580.4,132.9,328.1,26.4,365.3,334.9,519.8,178.7,260.6,24.8,542.5,110.9,447.5,107.5,389.5,66.4,473.7,316.9,338.8,54.0,274.2,320.0,378.4,273.4,73.5,0.0,532.1,108.6,476.7,407.6,431.1,440.4,527.6,188.0,181.5,165.3,61.6,95.8,184.9,566.3,202.4,330.9,169.9,233.8,1446.9,199.3,366.8,436.1,422.0,116.8,321.4,546.0,467.2,522.2,101.0,177.5,254.6,253.4,155.4,456.3,446.2,321.0,239.0,493.7,107.4,217.5,486.8,250.4,67.8,507.4,334.4,324.1,274.0,194.6,488.5,102.9,443.6,296.6,94.2,100.9,154.5,329.4,130.6,174.7,263.1,375.4,150.3,496.4,449.4,304.7,459.4,77.7,316.8,213.7,310.2,191.0,149.6,216.9
IZ,386.0,461.3,185.5,423.6,484.0,389.4,405.8,173.6,428.7,395.8,262.3,582.4,230.0,562.2,347.9,279.1,22.9,649.6,346.6,558.0,175.2,519.5,234.2,540.1,264.2,606.1,108.1,291.0,350.8,587.2,377.0,322.6,306.1,482.0,591.4,547.6,0.0,512.3,176.6,282.3,168.2,177.1,166.9,460.4,571.9,480.8,594.8,504.3,449.3,206.4,447.5,415.5,542.3,644.8,1651.9,417.4,376.3,197.5,296.7,504.1,309.9,178.7,157.7,232.5,517.3,468.6,379.1,454.2,490.7,468.3,182.9,372.9,378.3,59.0,511.9,453.9,197.1,365.9,588.1,51.0,391.1,379.3,472.8,567.0,121.2,562.0,183.3,408.9,496.6,529.5,462.4,399.1,496.0,460.0,370.6,303.1,476.9,196.3,189.1,307.3,133.5,569.0,274.9,413.7,303.5,567.0,599.1,417.0
JU,148.9,140.7,505.3,112.2,43.6,183.3,222.5,458.6,105.4,115.7,462.2,220.0,287.2,122.8,335.8,294.0,478.9,265.8,162.0,101.0,501.6,51.9,406.6,103.6,348.6,93.7,434.6,276.0,246.1,141.1,165.5,244.5,337.5,189.2,160.6,101.5,491.2,0.0,435.8,366.7,390.2,399.5,486.7,79.3,268.6,56.6,148.7,91.9,86.2,525.4,93.7,232.2,254.2,320.9,1534.0,90.6,268.1,395.2,381.1,8.1,280.5,500.5,426.3,481.3,63.1,68.8,155.4,144.7,46.7,415.4,405.3,222.3,130.3,452.8,44.8,133.3,445.9,141.7,97.0,466.5,236.0,225.4,175.3,278.9,447.6,115.9,402.7,187.9,59.2,41.9,45.8,230.7,32.9,76.0,164.4,334.5,49.9,455.5,408.5,227.3,418.5,62.7,275.9,122.1,269.3,278.1,236.7,118.2
JV,300.5,375.8,189.3,338.1,398.5,303.9,320.3,142.6,344.9,306.3,224.2,496.9,144.5,474.1,262.4,193.6,162.9,564.1,261.1,472.5,185.6,434.0,149.8,454.6,160.7,520.6,118.5,205.5,265.3,501.7,291.5,248.0,242.3,430.0,505.9,462.1,175.2,426.8,0.0,178.8,83.8,92.7,170.7,374.9,486.4,395.3,509.3,418.8,363.8,209.4,362.0,330.0,456.8,559.3,1626.9,331.9,310.8,40.8,193.2,418.6,224.5,184.5,30.4,156.6,431.8,383.1,293.6,368.7,405.2,382.8,98.5,306.0,292.8,136.8,426.4,368.4,140.1,280.4,456.7,194.7,305.9,293.8,420.8,481.5,131.6,476.5,26.6,323.4,411.1,444.0,376.9,313.6,410.5,374.5,285.1,217.6,391.4,19.6,32.4,221.8,102.5,489.6,189.4,328.2,218.0,481.5,513.6,331.5
KG,247.1,322.3,241.7,284.6,345.0,250.4,266.8,195.0,291.4,252.8,198.6,443.4,91.0,423.2,208.9,140.1,215.3,510.6,207.6,419.0,238.0,380.5,81.6,401.1,23.6,467.1,171.0,152.0,282.1,448.2,238.0,183.6,181.5,387.2,452.4,408.6,227.6,373.3,165.5,0.0,126.6,135.9,223.1,321.4,432.9,341.8,455.8,365.3,310.3,261.8,308.5,276.5,403.3,505.8,1489.8,278.4,268.0,124.9,14.4,365.1,171.0,236.9,156.0,217.7,378.3,329.6,240.6,315.2,351.7,329.3,141.7,252.5,239.3,189.2,372.9,314.9,182.3,226.9,404.1,202.9,252.4,300.8,378.0,428.0,184.0,423.0,132.4,269.9,357.6,390.5,323.4,260.1,357.0,321.0,231.6,164.1,337.9,185.2,138.2,168.3,154.9,436.1,135.9,274.7,164.5,428.0,460.1,278.0
KJ,241.1,316.3,158.3,278.6,339.0,244.4,260.8,111.6,285.4,246.8,115.2,437.4,85.0,417.2,202.9,134.1,131.9,504.6,201.6,413.0,154.6,374.5,92.8,395.1,147.1,461.1,87.6,146.0,205.8,442.2,232.0,177.6,161.1,337.0,446.4,402.6,144.2,367.3,105.9,165.2,0.0,52.5,139.7,315.4,426.9,335.8,449.8,359.3,304.3,178.4,302.5,270.5,397.3,499.8,1613.3,272.4,231.3,65.3,179.6,359.1,165.0,153.5,96.4,134.3,372.3,323.6,234.6,309.2,345.7,323.3,58.3,246.5,233.3,105.8,366.9,308.9,98.9,220.9,398.1,119.5,246.4,234.3,327.8,422.0,100.6,417.0,72.8,263.9,351.6,384.5,317.4,254.1,351.0,315.0,225.6,158.1,331.9,125.6,78.6,162.3,71.5,430.1,129.9,268.7,158.5,422.0,454.1,272.0
KQ,268.6,343.9,145.5,306.2,366.6,272.0,288.4,98.8,313.0,274.4,228.9,465.0,112.6,442.2,230.5,161.7,119.1,532.2,229.2,440.6,141.8,402.1,116.8,422.7,146.8,488.7,73.0,173.6,233.4,469.8,259.6,216.1,188.7,364.6,474.0,430.2,131.4,394.9,68.4,164.9,50.8,0.0,126.9,343.0,454.5,363.4,477.4,386.9,331.9,165.6,330.1,298.1,424.9,527.4,1618.5,300.0,258.9,89.3,179.3,386.7,192.6,145.3,49.5,121.5,399.9,351.2,261.7,336.8,373.3,350.9,5.8,274.1,260.9,93.0,394.5,336.5,86.1,248.5,424.8,131.8,273.7,261.9,355.4,449.6,87.8,444.6,75.1,285.3,379.2,412.1,345.0,281.7,378.6,342.6,253.2,185.7,359.5,88.1,80.9,189.9,58.7,457.7,157.5,296.3,186.1,449.6,481.7,299.6
KT,364.1,439.3,18.5,401.6,462.0,367.4,383.8,72.1,408.4,369.8,140.4,560.4,208.0,540.2,325.9,257.1,178.3,627.6,324.6,536.0,179.8,497.5,212.2,518.1,242.2,584.1,112.8,269.0,328.8,565.2,355.0,300.6,284.1,460.0,569.4,525.6,171.8,490.3,154.6,260.3,146.2,155.1,0.0,438.4,549.9,458.8,572.8,482.3,427.3,92.9,425.5,393.5,520.3,622.8,1656.5,395.4,354.3,175.5,274.7,482.1,288.0,178.7,135.7,210.5,495.3,446.6,357.6,432.2,468.7,446.3,160.9,369.5,356.3,131.0,489.9,431.9,175.1,343.9,521.1,144.7,369.4,357.3,450.8,545.0,125.8,540.0,161.3,386.9,474.6,507.5,440.4,377.1,474.0,438.0,348.6,281.1,454.9,174.3,167.1,285.3,108.0,553.1,252.9,391.7,281.5,545.0,577.1,395.0
KU,88.0,61.3,472.0,78.9,88.0,122.4,161.6,425.3,72.1,82.4,428.9,313.2,253.9,216.0,274.9,260.7,445.6,359.0,128.7,194.2,468.3,124.3,373.3,191.9,315.3,186.9,401.3,242.7,185.2,234.3,132.2,183.6,304.2,109.8,253.8,194.7,457.9,93.1,402.5,333.4,356.9,366.2,453.4,0.0,331.7,84.8,241.9,156.1,53.3,492.1,14.4,171.3,302.1,414.1,1547.4,57.3,207.2,361.9,347.8,84.9,237.0,467.2,393.0,448.0,98.1,72.6,94.5,111.4,82.6,395.3,372.0,161.4,97.0,419.5,92.7,53.9,412.6,108.4,190.2,433.2,175.1,164.5,119.0,326.8,414.3,209.1,369.4,154.6,107.1,135.1,43.2,169.8,100.0,64.0,103.5,301.2,80.9,422.2,375.2,166.4,385.2,155.9,242.6,88.8,208.2,326.8,329.9,57.3
KW,320.2,328.8,574.5,272.8,246.2,354.5,393.7,527.8,266.0,290.0,608.7,71.7,356.4,136.0,393.6,363.2,548.1,147.4,288.9,164.5,570.8,219.3,475.8,248.8,417.8,151.3,503.8,345.2,367.1,166.1,320.6,348.3,406.7,373.1,80.7,175.7,560.4,249.9,505.0,435.9,459.4,468.7,555.9,329.3,0.0,306.6,173.7,237.1,288.8,594.6,343.7,403.4,49.6,172.6,1343.2,269.2,430.5,464.4,450.3,258.1,355.6,569.7,495.5,550.5,203.2,318.8,327.1,323.3,296.7,484.6,474.5,393.5,320.6,522.0,209.6,321.4,515.1,308.2,167.0,579.9,406.9,396.6,363.9,74.3,516.8,244.2,471.9,372.9,196.4,242.2,295.8,401.9,232.8,278.6,335.6,403.7,252.5,524.7,477.7,333.0,487.7,219.0,345.1,282.7,338.5,75.3,88.4,302.9
KY,104.2,81.5,476.0,105.6,63.2,138.6,177.8,429.3,98.8,109.1,432.9,290.7,257.9,193.5,291.1,264.7,449.6,336.5,155.4,171.7,472.3,101.8,377.3,171.2,319.3,164.4,405.3,246.7,201.4,211.8,158.9,199.8,308.2,130.0,231.3,172.2,461.9,70.6,406.5,337.4,360.9,370.2,457.4,72.7,309.2,0.0,219.4,135.4,41.5,496.1,87.1,187.5,279.6,391.6,1522.6,84.0,223.4,365.9,351.8,62.4,253.2,471.2,397.0,452.0,75.6,12.2,110.7,138.1,9.9,411.5,376.0,177.6,123.7,423.5,70.2,74.1,416.6,135.1,167.7,437.2,191.3,180.7,130.6,304.3,418.3,186.6,373.4,181.3,84.6,112.6,39.2,186.0,75.2,39.2,119.7,305.2,56.1,426.2,379.2,182.6,389.2,133.4,246.6,115.5,224.4,304.3,307.4,73.5
LF,288.6,265.8,587.1,244.7,184.9,322.9,363.9,540.4,239.6,261.0,670.5,124.6,369.0,38.2,409.1,375.8,560.7,170.4,301.5,64.1,584.0,152.4,488.4,148.4,430.4,58.1,514.6,357.8,379.7,5.5,316.4,371.8,419.3,314.3,65.2,75.9,573.6,149.5,517.6,448.5,472.0,481.3,568.5,228.9,173.2,206.2,0.0,136.7,225.8,607.2,243.3,371.8,161.6,225.5,1438.6,240.2,407.7,477.6,462.9,157.7,368.2,586.9,508.1,563.1,141.9,218.4,296.1,294.9,196.3,497.2,487.7,343.3,279.9,534.6,148.9,258.4,527.7,291.9,4.9,592.5,375.3,365.0,314.9,186.9,529.4,144.4,484.5,332.2,135.1,141.8,195.4,370.3,171.5,215.6,304.0,416.3,191.2,537.3,490.3,345.6,500.3,118.6,359.6,254.6,351.1,182.7,141.3,257.8
LJ,206.5,183.8,503.4,161.0,101.2,240.9,280.1,456.7,154.2,190.8,460.3,194.8,285.3,90.9,322.5,292.1,477.0,240.6,217.8,86.7,499.7,74.3,404.7,68.8,346.7,128.3,432.7,274.1,296.0,115.9,240.6,277.2,335.6,232.3,135.4,76.3,489.3,99.5,433.9,364.8,388.3,397.6,484.8,154.4,243.4,132.2,123.5,0.0,143.8,523.5,168.8,289.8,231.8,295.7,1508.8,165.7,325.7,393.3,379.2,92.6,278.6,498.6,424.4,479.4,58.2,144.4,213.0,219.8,122.3,413.5,403.4,279.9,205.4,450.9,64.6,176.4,444.0,216.8,71.8,464.6,293.6,283.0,232.9,256.5,445.7,90.7,400.8,263.0,51.4,84.3,115.6,288.3,90.5,133.6,222.0,332.6,107.5,453.6,406.6,261.9,416.6,92.6,274.0,170.9,267.4,252.9,211.5,175.8
LK,62.6,39.9,434.4,72.0,34.6,97.0,136.2,387.7,78.8,140.6,391.3,292.8,216.3,196.4,249.5,223.1,408.0,338.6,186.9,190.2,430.7,104.2,335.7,173.6,277.7,167.3,363.7,205.1,159.8,213.9,166.8,158.2,266.6,88.4,233.4,174.3,420.3,91.8,364.9,295.8,319.3,328.6,415.8,59.0,341.4,31.4,221.5,137.8,0.0,454.5,46.1,145.9,282.0,393.7,1494.0,115.5,181.8,324.3,310.2,93.9,211.6,429.6,355.4,410.4,78.0,19.2,69.1,169.6,41.3,369.9,334.4,136.0,155.2,381.9,72.6,32.5,375.0,166.6,169.8,395.6,149.7,139.1,89.0,306.7,376.7,188.7,331.8,136.5,87.0,114.7,70.7,144.4,46.6,10.6,78.1,263.6,27.5,384.6,337.6,141.0,347.6,135.5,205.0,62.1,182.8,306.7,309.5,31.9
LL,361.8,437.0,120.5,399.3,459.7,365.1,381.5,55.2,406.1,367.5,168.9,558.1,205.7,537.9,323.6,254.8,206.8,625.3,322.3,533.7,208.3,495.2,209.9,515.8,239.9,581.8,141.3,266.7,326.5,562.9,352.7,298.3,281.8,457.7,567.1,523.3,200.3,488.0,152.3,258.0,143.9,152.8,101.9,436.1,547.6,456.5,570.5,480.0,425.0,0.0,423.2,391.2,518.0,620.5,1685.0,393.1,352.0,173.2,272.4,479.8,285.7,207.2,133.4,208.2,493.0,444.3,355.3,429.9,466.4,444.0,158.6,367.2,354.0,159.5,487.6,429.6,172.8,341.6,518.8,173.2,367.1,355.0,448.5,542.7,154.3,537.7,159.0,384.6,472.3,505.2,438.1,374.8,471.7,435.7,346.3,278.8,452.6,172.0,164.8,283.0,91.1,550.8,250.6,389.4,279.2,542.7,574.8,392.7
MC,73.6,46.9,445.4,91.8,73.6,108.0,147.2,398.7,85.0,95.3,402.3,326.1,227.3,228.9,260.5,234.1,419.0,371.9,141.6,207.1,441.7,137.2,346.7,204.8,288.7,199.8,374.7,216.1,170.8,247.2,145.1,169.2,277.6,95.4,266.7,207.6,431.3,106.0,375.9,306.8,330.3,339.6,426.8,12.8,344.6,70.4,254.8,169.0,38.9,465.5,0.0,156.9,315.0,427.0,1533.0,70.2,192.8,335.3,321.2,97.8,222.6,440.6,366.4,421.4,111.0,58.2,80.1,124.3,80.3,380.9,345.4,147.0,109.9,392.9,105.6,39.5,386.0,121.3,203.1,406.6,160.7,150.1,104.6,339.7,387.7,222.0,342.8,167.5,120.0,148.0,56.1,155.4,85.6,49.6,89.1,274.6,66.5,395.6,348.6,152.0,358.6,168.8,216.0,101.7,193.8,339.7,342.8,42.9
MF,127.1,106.3,498.9,136.5,179.5,161.5,200.7,452.2,143.3,193.7,455.8,437.7,280.8,341.3,314.0,287.6,472.5,483.5,237.7,349.8,495.2,249.1,400.2,318.5,342.2,312.2,428.2,269.6,224.3,358.8,231.3,222.7,331.1,66.4,378.3,319.2,484.8,248.7,429.4,360.3,383.8,393.1,480.3,155.5,424.9,176.3,366.4,282.7,144.8,519.0,142.6,0.0,395.3,571.5,1620.1,168.6,246.3,388.8,374.7,240.5,276.1,494.1,419.9,474.9,222.9,164.1,133.6,222.7,186.2,434.4,398.9,200.5,208.3,446.4,217.5,114.2,439.5,217.4,314.7,460.1,214.2,203.6,57.2,420.0,441.2,333.6,396.3,201.0,231.9,259.6,198.8,208.9,191.5,155.5,142.6,328.1,172.4,449.1,402.1,205.5,412.1,280.4,269.5,126.6,247.3,420.0,454.4,112.5
ML,291.4,300.0,545.7,244.0,217.4,325.7,364.9,499.0,237.2,265.5,579.9,60.9,327.6,125.2,364.8,334.4,519.3,136.6,260.1,153.7,542.0,190.5,447.0,229.1,389.0,140.5,474.9,316.4,338.3,155.3,290.5,330.4,377.9,344.3,69.9,164.9,531.6,217.0,476.2,407.1,430.6,439.9,527.1,271.1,70.4,248.4,162.9,193.3,260.0,565.8,285.5,374.6,0.0,102.4,1293.5,240.4,401.7,435.6,421.5,208.8,320.9,545.5,466.7,521.7,174.4,260.6,298.3,294.5,238.5,455.8,445.7,346.1,291.8,493.2,180.8,292.6,486.3,279.4,156.2,506.9,378.4,367.8,335.1,24.6,488.0,251.0,443.1,344.1,167.6,200.5,237.6,373.1,204.0,249.8,306.8,374.9,223.7,495.9,448.9,304.2,458.9,208.2,316.3,253.9,309.7,79.9,77.6,274.1
MP,365.9,374.6,620.3,318.6,292.0,400.3,439.5,573.6,311.8,340.1,577.2,113.8,402.2,199.8,439.4,409.0,593.9,120.7,334.7,228.3,616.6,265.1,521.6,303.7,463.6,215.1,549.6,391.0,412.9,229.9,365.1,394.1,452.5,418.9,144.5,239.5,606.2,291.6,550.8,481.7,505.2,514.5,601.7,345.7,145.0,323.0,237.5,267.9,334.6,640.4,360.1,449.2,74.5,0.0,1325.1,315.0,476.3,510.2,496.1,283.4,395.5,615.5,541.3,596.3,249.0,335.2,372.4,369.1,313.1,530.4,520.3,439.3,366.4,567.8,255.4,367.2,560.9,354.0,273.8,581.5,453.0,442.4,409.7,50.1,562.6,325.6,517.7,424.9,242.2,275.1,312.2,447.7,281.3,324.4,381.4,449.5,298.3,570.5,523.5,378.8,533.5,277.0,390.9,328.5,384.3,154.5,97.1,348.7
MQ,1473.2,1450.5,1621.2,1488.0,1423.4,1507.6,1546.8,1609.3,1481.2,1509.5,1567.9,1304.2,1516.6,1369.2,1634.5,1565.7,1608.2,1320.4,1504.1,1397.7,1574.3,1434.5,1495.2,1473.1,1454.5,1384.5,1524.6,1560.4,1570.4,1399.3,1534.5,1563.5,1621.9,1499.0,1313.9,1408.9,1628.4,1461.0,1591.1,1487.3,1552.2,1561.5,1602.6,1469.6,1314.4,1449.0,1406.9,1437.3,1410.5,1642.1,1456.7,1556.5,1243.9,1283.4,0.0,1484.4,1543.2,1550.5,1501.7,1452.8,1596.6,1573.2,1581.6,1643.3,1418.4,1436.8,1479.7,1538.5,1458.9,1699.8,1567.3,1546.6,1535.8,1582.1,1424.8,1443.1,1607.9,1523.4,1443.2,1595.8,1560.3,1549.7,1499.6,1219.5,1511.7,1495.0,1558.0,1547.1,1411.6,1444.5,1480.4,1555.0,1435.4,1400.3,1488.7,1618.9,1416.3,1610.8,1563.8,1548.2,1569.2,1446.4,1560.3,1472.7,1553.7,1323.9,1287.5,1442.5
MR,115.6,129.1,414.6,42.9,113.2,114.9,154.1,367.9,36.1,25.0,371.5,309.7,196.5,217.7,233.7,203.3,388.2,355.5,71.3,195.9,410.9,126.0,315.9,183.7,257.9,188.6,343.9,185.3,181.7,230.8,74.8,188.4,246.8,143.2,250.3,191.2,400.5,94.8,345.1,276.0,299.5,308.8,396.0,67.7,275.6,94.2,238.4,147.9,105.3,434.7,82.1,163.8,246.0,348.5,1539.6,0.0,203.7,304.5,290.4,86.6,189.8,409.8,335.6,390.6,99.8,106.4,109.1,54.0,84.3,324.7,314.6,157.9,39.6,362.1,94.4,121.7,355.2,51.0,186.7,375.8,170.0,161.0,134.0,270.7,356.9,205.6,312.0,97.2,108.8,136.8,44.9,162.3,102.5,116.0,100.1,243.8,119.5,364.8,317.8,173.1,327.8,157.6,185.2,52.8,178.6,270.7,326.4,73.0
NA,130.5,207.4,367.0,168.0,228.4,123.7,91.3,320.3,174.8,190.9,323.9,420.6,148.9,390.2,182.1,155.7,340.6,532.4,167.6,384.0,363.3,298.0,268.3,364.5,210.3,361.1,296.3,95.8,69.3,407.7,147.2,90.8,199.2,167.5,427.2,368.1,352.9,285.6,297.5,228.4,251.9,261.2,348.4,204.8,410.1,225.2,415.3,328.7,193.7,387.1,191.9,101.0,380.5,483.0,1676.5,200.1,0.0,256.9,242.8,287.7,144.2,362.2,288.0,343.0,271.8,213.0,124.0,253.3,235.1,302.5,267.0,135.9,177.4,314.5,266.4,215.3,307.6,169.7,363.6,328.2,76.9,59.7,158.3,405.2,309.3,382.5,264.4,153.3,280.8,308.5,248.1,84.6,240.4,204.4,115.0,196.2,221.3,317.2,270.2,73.6,280.2,329.3,122.0,158.1,115.4,405.2,437.3,161.4
OB,259.6,334.9,189.9,297.2,357.6,263.0,281.2,143.2,304.0,265.4,224.1,456.0,103.6,433.2,221.5,152.7,163.5,523.2,220.2,431.6,186.2,393.1,150.4,413.7,119.8,479.7,117.4,164.6,224.4,460.8,250.6,196.2,201.4,389.1,465.0,421.2,175.8,385.9,40.5,137.9,63.3,93.3,171.3,334.0,445.5,354.4,468.4,377.9,322.9,210.0,321.1,289.1,415.9,518.4,1586.0,291.0,269.9,0.0,152.3,377.7,183.5,185.1,31.0,157.2,390.9,342.2,252.7,327.8,364.3,341.9,99.1,265.1,251.9,137.4,385.5,327.5,140.7,239.5,461.7,176.2,264.7,252.9,379.9,440.6,132.2,435.6,7.4,282.5,370.2,403.1,336.0,272.7,369.6,333.6,244.2,176.7,350.5,60.2,13.2,180.9,103.1,448.7,148.5,287.3,177.1,440.6,472.7,290.6
OD,265.1,412.7,259.7,302.6,363.0,268.4,330.9,213.0,309.4,270.8,216.6,461.4,109.0,441.2,226.9,158.1,233.3,528.6,225.6,437.0,256.0,398.5,99.6,419.1,41.6,485.1,189.0,170.0,267.7,466.2,256.0,201.6,167.1,372.8,470.4,426.6,245.6,391.3,183.5,18.0,144.6,153.9,241.1,339.4,450.9,359.8,473.8,383.3,328.3,279.8,326.5,340.6,421.3,523.8,1507.8,296.4,253.6,142.9,0.0,383.1,189.0,254.9,174.0,235.7,396.3,347.6,258.6,333.2,369.7,347.3,159.7,270.5,257.3,207.2,390.9,420.6,200.3,244.9,422.1,220.9,316.5,286.4,363.6,446.0,202.0,441.0,150.4,287.9,375.6,408.5,341.4,324.2,375.0,339.0,249.6,236.1,355.9,203.2,156.2,186.3,172.9,454.1,153.9,292.7,182.5,446.0,478.1,296.0
OR,140.7,132.5,497.1,104.0,35.4,175.1,214.3,450.4,97.2,107.5,454.0,228.2,279.0,131.0,327.6,285.8,470.7,274.0,153.8,109.2,493.4,60.1,398.4,111.8,340.4,101.9,426.4,267.8,237.9,149.3,157.3,236.3,329.3,181.0,168.8,109.7,483.0,8.1,427.6,358.5,382.0,391.3,478.5,71.1,276.8,48.4,156.9,100.1,78.0,517.2,85.5,224.0,246.0,329.1,1539.6,82.4,259.9,387.0,372.9,0.0,272.3,492.3,418.1,473.1,42.0,60.6,147.2,136.5,38.5,407.2,397.1,214.1,122.1,444.6,36.6,125.1,437.7,133.5,105.2,458.3,227.8,217.2,167.1,270.7,439.4,124.1,394.5,179.7,51.0,50.1,37.6,222.5,24.7,67.8,156.2,326.3,41.7,447.3,400.3,219.1,410.3,70.9,267.7,113.9,261.1,286.3,244.9,110.0
OT,140.1,215.4,316.9,177.7,238.1,143.5,182.6,270.2,182.8,204.6,400.3,350.5,98.8,327.7,37.9,72.6,290.5,417.7,114.7,326.1,323.9,307.7,218.2,308.2,160.2,370.8,256.9,87.6,95.5,355.3,155.6,87.6,149.1,241.3,359.5,315.7,313.5,295.3,258.1,178.3,201.8,211.1,298.3,214.5,340.0,234.9,363.6,272.4,203.4,337.0,201.6,190.5,321.1,412.9,1604.0,209.8,144.1,217.5,192.7,297.4,0.0,316.7,237.9,292.9,281.5,222.7,133.2,273.7,244.8,169.2,216.9,127.0,187.1,264.4,276.1,208.0,257.5,144.7,321.0,322.3,166.1,126.5,232.1,345.8,259.2,330.1,225.0,157.7,290.5,318.2,257.8,184.8,253.2,214.1,124.7,146.1,231.0,267.1,220.1,61.4,240.8,332.9,89.4,167.8,92.7,335.1,367.2,171.1
