from_stop,AF,AP,AV,BC,BE,BF,BH,BK,BM,BP,BV,BY,BZ,CC,CE,CG,CI,CJ,CR,CT,CU,CZ,DA,DE,DK,DO,DS,DW,EC,EI,EP,EQ,ES,EW,EZ,FA,FE,FH,FI,FJ,FO,FW,FZ,GA,GC,GN,GR,GW,HF,HG,HH,HT,IF,II,IL,IR,IS,IT,IV,IY,IZ,JC,JH,KJ,KS,KU,KV,KW,LE,LN,LT,LU,MC,MH,MI,MJ,MK,MM,MO,MR,NA,NF,NL,NN,NP,NU,NX,OE,OJ,OT,OW,PP,QE,QH,QJ,QR,QV,QW,RE,RJ,RZ,SJ,SM,SN,ST,SU,TF,TG,TH,TN,TO,TP,TQ,TR,TS,TV,TW,UH,UJ,UQ,US,UT,UX,VG,VI,VM,VR,VS,VW,VZ,WD,WI,WK,WL,WM,WX,XE,XF,XL,XP,XS,XX,YC,YH,YL,YM,YP,YW,ZA,ZH,ZJ,ZK,ZP
CU,353.3,296.7,1022.6,1168.6,1011.7,165.5,70.6,635.1,1058.6,317.4,65.9,1152.4,109.1,648.3,979.8,309.7,326.9,313.6,565.6,902.7,0.0,1154.5,874.8,1094.1,1098.4,1081.0,615.1,380.8,612.6,288.5,981.3,272.6,1015.8,662.5,254.3,674.0,355.7,956.3,609.5,84.5,865.6,694.5,333.5,679.6,337.3,310.7,544.8,911.7,578.1,281.7,1122.5,322.4,112.3,346.1,1029.7,578.1,262.6,1004.8,1120.7,289.0,331.4,109.1,677.5,267.0,248.6,1033.8,347.4,339.1,311.4,140.6,259.9,1106.2,302.1,322.6,1420.3,1062.6,277.1,259.2,236.8,68.6,1145.5,269.1,878.1,1303.9,968.3,379.2,502.5,898.5,359.3,601.3,965.9,1026.5,635.3,640.6,244.8,370.6,668.0,1001.6,588.3,268.4,282.8,1051.2,852.9,1061.6,936.7,314.2,1127.3,903.5,1442.6,649.1,633.0,858.3,236.5,1117.7,937.8,816.2,650.2,995.0,930.0,65.9,622.6,984.2,295.0,149.9,900.2,341.4,368.2,269.4,1051.2,1272.1,171.4,1071.5,165.5,302.5,906.4,199.5,616.1,1018.8,308.0,853.9,998.3,59.5,274.6,590.6,255.9,1299.8,611.7,673.4,914.7,949.4,310.4,217.1,307.1
CZ,1018.4,1091.8,691.9,843.7,452.8,958.2,912.9,795.9,743.1,1110.1,1017.9,593.5,1057.5,758.0,376.1,1102.4,955.0,943.0,1003.1,335.0,948.3,0.0,307.1,535.2,749.5,750.3,711.1,1008.9,732.6,1008.8,650.6,1065.3,396.4,785.5,1047.0,783.7,1148.4,320.2,679.0,988.7,363.1,804.2,992.4,800.0,965.4,1038.6,982.3,423.6,1015.6,927.8,791.8,1117.5,954.6,1034.6,587.4,1015.6,1055.3,362.7,50.7,935.1,1028.7,1057.5,787.2,985.4,894.7,713.8,976.8,1131.8,1012.4,988.7,1052.6,48.7,1020.5,1115.3,1379.8,713.7,1069.8,1051.9,1029.5,972.8,49.8,1061.8,310.4,1285.9,409.4,1007.3,878.5,405.3,987.4,1038.8,407.0,401.0,643.4,757.0,1037.5,998.7,777.7,234.0,728.3,986.8,1070.4,720.5,350.4,730.9,377.8,1057.3,11.0,335.8,1424.6,789.1,705.2,355.8,1024.6,768.8,373.4,313.7,761.3,664.3,362.3,1017.9,1060.1,653.5,941.1,868.3,397.7,1076.7,1006.3,1062.1,720.5,785.6,969.2,756.0,958.2,1095.2,338.7,917.9,788.6,459.9,975.7,286.2,439.4,1007.9,920.7,1028.1,1048.6,813.3,703.5,783.1,347.0,381.7,1128.8,935.5,1027.4
DA,804.7,960.6,560.7,633.9,243.0,827.0,781.7,598.2,533.3,978.9,886.7,383.7,926.3,560.3,178.4,905.1,823.8,729.3,805.4,58.3,817.1,278.6,0.0,325.4,539.7,686.5,513.4,877.7,534.9,795.1,636.3,934.1,171.1,587.8,915.8,586.0,951.1,122.5,481.3,857.5,192.9,606.5,778.7,602.3,834.2,824.9,784.6,198.3,817.9,796.6,634.1,986.3,823.4,903.4,377.6,817.9,858.0,55.5,244.8,803.9,815.0,926.3,589.5,854.2,763.5,504.0,763.1,934.5,881.2,857.5,824.5,230.3,889.3,984.1,1241.2,503.9,938.6,920.7,898.3,841.6,269.6,814.8,66.6,1046.1,199.6,876.1,680.8,203.1,856.2,841.1,183.1,175.7,445.7,559.3,906.3,867.5,580.0,125.7,530.6,855.6,842.3,666.0,259.5,588.0,168.0,926.1,251.4,110.5,1184.8,591.4,507.5,264.9,893.4,559.0,148.1,172.5,563.6,613.7,137.0,886.7,862.4,552.7,809.9,737.1,292.5,863.0,875.1,930.9,603.8,575.8,838.0,546.2,827.0,897.9,113.4,786.7,590.9,245.5,762.0,60.9,229.6,876.7,789.5,830.4,917.4,603.5,505.8,585.4,121.7,156.4,997.6,804.3,813.7
DE,887.0,1189.2,746.0,670.7,279.8,1055.6,1010.3,680.5,570.1,1159.4,1115.3,156.6,1154.9,642.6,310.1,987.4,1052.4,811.6,887.7,330.7,1045.7,507.2,311.7,0.0,576.5,723.3,595.7,1106.3,617.2,877.4,673.1,1114.6,283.9,670.1,1096.3,668.3,1033.4,282.1,563.6,1086.1,460.7,688.8,861.0,684.6,1062.8,907.2,866.9,466.1,900.2,1025.2,670.9,1214.9,1052.0,1132.0,414.4,900.2,940.3,289.4,473.4,1032.5,897.3,1154.9,671.8,1082.8,992.1,540.8,845.4,1016.8,1109.8,1086.1,906.8,458.9,1117.9,1164.6,1356.2,540.7,1098.4,1101.2,974.8,1070.2,498.2,897.1,308.4,1128.4,236.4,1104.7,763.1,470.9,1084.8,923.4,234.0,294.6,528.0,641.6,1086.8,1096.1,662.3,354.3,612.9,1084.2,924.6,702.8,447.8,624.8,204.8,1154.7,480.0,378.3,1267.1,673.7,589.8,453.2,1004.0,595.8,322.2,440.3,645.9,650.5,333.3,1115.3,944.7,589.5,1038.5,965.7,523.5,945.3,1103.7,1111.4,640.6,612.6,1066.6,583.0,1055.6,980.2,381.2,1015.3,673.2,286.9,844.3,322.6,125.9,1105.3,1018.1,912.7,1077.2,640.3,588.1,667.7,389.5,327.8,1152.4,1032.9,896.0
DK,1090.7,1209.1,298.4,275.2,428.4,1158.5,1112.1,956.3,140.5,1222.6,1213.5,640.0,1256.7,913.4,561.6,1182.6,1154.2,1042.9,882.2,582.2,1147.5,758.7,563.2,587.0,0.0,275.7,818.5,1208.1,816.0,1070.4,225.5,1177.8,486.9,934.0,1159.5,939.1,1226.4,528.3,834.4,1187.9,628.0,959.6,1057.5,955.4,1164.6,1100.2,861.4,693.2,889.4,1127.0,275.4,1240.8,1153.8,1233.8,341.5,894.7,1133.3,540.9,724.9,1134.3,1108.6,1256.7,942.6,1184.6,1093.9,111.2,1076.7,1209.8,1211.6,1187.9,1099.8,710.4,1219.7,1227.8,1250.0,47.7,1184.2,1164.4,1162.5,1172.0,744.4,1090.1,559.9,1043.9,414.3,1206.5,757.6,648.3,1186.6,917.9,473.7,472.5,779.5,844.0,1144.7,1197.9,933.1,605.8,791.7,1186.0,1118.1,255.2,563.8,195.2,444.5,1226.6,731.5,624.6,1178.4,852.5,836.4,569.2,1145.1,21.4,498.1,578.6,848.3,202.9,511.2,1213.5,939.2,141.9,1140.3,1067.5,547.4,1138.6,1205.5,1174.6,211.0,217.1,1168.4,153.4,1158.5,1173.2,602.0,1117.1,944.0,435.5,1032.0,574.1,491.2,1207.1,1121.0,907.2,1168.3,132.6,815.1,938.5,610.3,555.1,1215.6,1134.7,1089.0
DO,1109.5,1167.2,42.9,184.9,455.0,1033.6,988.3,962.5,248.2,1233.8,1093.3,671.9,1132.9,924.6,662.2,1177.8,1030.4,1018.4,893.4,621.1,1023.7,727.6,593.2,613.6,270.0,0.0,829.7,1084.3,827.2,1081.6,236.7,1189.0,513.5,952.1,1170.7,950.3,1223.8,606.3,845.6,1064.1,584.0,970.8,1074.0,966.6,1040.8,1111.4,872.6,630.1,905.9,1003.2,55.5,1192.9,1030.0,1110.0,352.7,905.9,1130.7,648.8,693.8,1010.5,1119.8,1132.9,953.8,1060.8,970.1,223.4,1052.2,1207.2,1087.8,1064.1,1111.0,679.3,1095.9,1239.0,1089.0,234.2,1145.2,1175.6,1104.9,1048.2,718.6,1101.3,596.5,878.7,440.9,1082.7,768.8,616.9,1062.8,929.1,500.3,499.1,806.1,855.2,1161.2,1074.1,944.3,574.7,802.9,1062.2,1128.8,98.7,558.3,251.2,471.1,1132.7,700.4,621.9,1017.4,863.7,847.6,568.6,1100.0,289.3,526.7,534.6,864.8,127.0,537.8,1093.3,950.4,134.4,1016.5,943.7,523.9,1149.8,1081.7,1185.8,240.8,234.9,1044.6,261.1,1033.6,1170.6,624.8,993.3,955.2,462.1,1048.5,572.3,517.8,1083.3,996.1,918.4,1124.0,346.2,826.3,949.7,633.1,667.8,1204.2,1010.9,1100.2
DS,471.3,667.8,931.6,948.7,560.8,679.3,634.0,186.8,848.1,681.3,739.0,701.5,778.6,148.9,528.9,571.7,676.1,395.9,326.0,590.1,669.4,703.6,562.2,643.2,854.5,1001.3,0.0,730.0,55.5,461.7,890.3,636.5,564.9,176.4,618.2,174.6,617.7,505.4,69.9,709.8,656.9,195.1,445.3,190.9,686.5,491.5,305.2,678.7,338.5,648.9,948.9,704.8,675.7,755.7,648.2,338.5,524.6,553.9,669.8,656.2,481.6,778.6,178.1,706.5,615.8,818.8,429.7,601.1,733.5,709.8,491.1,655.3,741.6,686.5,1150.2,818.7,648.2,623.1,559.1,693.9,694.6,481.4,565.5,922.4,517.4,728.4,201.4,683.5,708.5,361.7,515.0,575.6,91.0,61.9,608.7,719.8,168.6,550.7,51.2,707.9,508.9,980.8,644.2,902.8,485.8,685.3,676.4,590.9,1061.1,100.4,71.9,649.6,588.3,873.8,603.2,607.5,141.9,928.5,614.3,739.0,383.0,867.5,662.2,589.4,691.5,529.6,727.4,633.3,918.6,890.6,690.3,861.0,679.3,564.5,593.8,639.0,179.5,567.9,428.6,541.3,547.4,729.0,641.8,351.0,627.0,918.3,50.6,174.0,602.1,608.8,674.3,656.6,480.3
DW,474.5,208.8,1109.6,1255.6,1107.5,358.3,388.7,805.6,1145.6,281.5,493.7,1248.2,460.8,767.7,1030.8,442.5,115.7,441.7,632.2,989.7,424.1,1096.2,961.8,1189.9,1185.4,1168.0,672.8,0.0,670.3,421.3,1068.3,251.3,1051.1,795.2,233.0,793.4,488.5,974.9,688.7,464.5,952.6,813.9,469.9,809.7,64.2,443.5,611.4,998.7,644.7,386.7,1209.5,234.5,399.7,72.9,1087.4,644.7,395.4,1017.4,1062.4,394.0,464.2,460.8,796.9,282.1,353.6,1120.8,485.5,471.9,96.5,388.8,392.7,1047.9,290.7,286.7,1520.5,1149.6,237.9,237.9,346.9,448.6,1087.2,401.9,965.1,1361.6,1064.1,1.9,569.1,985.5,32.2,667.9,1061.7,1055.7,702.5,698.3,223.5,20.9,787.4,943.3,646.0,308.6,410.5,1138.2,939.9,1148.6,1032.5,116.8,1069.0,990.5,1500.3,706.8,690.7,945.3,342.0,1204.7,1028.1,903.2,707.9,1082.0,1017.0,493.7,689.2,1071.2,400.0,349.9,987.2,474.2,44.6,226.1,1138.2,1329.8,369.3,1158.5,358.3,435.3,993.4,327.4,798.3,1114.6,447.0,940.9,1094.1,468.1,379.6,657.2,258.0,1261.6,669.4,792.8,1001.7,1036.4,245.8,289.4,439.9
EC,489.4,661.9,925.7,942.8,575.2,697.4,652.1,204.9,842.2,675.4,757.1,715.9,796.7,167.0,543.3,589.8,694.2,414.0,320.1,604.5,687.5,718.0,576.6,657.6,848.6,995.4,72.1,748.1,0.0,479.8,884.4,630.6,579.3,194.5,612.3,192.7,635.8,519.8,88.0,727.9,671.3,213.2,463.4,209.0,704.6,509.6,299.3,693.1,332.6,667.0,943.0,698.9,693.8,711.3,642.3,332.6,542.7,568.3,684.2,674.3,499.7,796.7,196.2,724.6,633.9,812.9,447.8,619.2,676.6,727.9,509.2,669.7,759.7,680.6,1144.3,812.8,642.3,617.2,577.2,712.0,709.0,499.5,579.9,916.5,531.8,746.5,195.5,697.9,726.6,355.8,529.4,590.0,101.8,79.6,602.8,737.9,186.7,565.1,27.3,726.0,527.0,974.9,658.6,896.9,500.2,679.4,690.8,605.3,1055.2,88.1,90.0,664.0,606.4,867.9,617.6,621.9,136.0,922.6,628.7,757.1,377.1,861.6,680.3,607.5,762.3,547.7,745.5,627.4,912.7,884.7,708.4,855.1,697.4,582.6,608.2,657.1,197.6,582.3,446.7,555.7,561.8,747.1,659.9,345.1,621.1,912.4,68.7,192.1,616.5,623.2,668.4,674.7,498.4
EI,105.5,279.1,1070.7,1216.5,825.6,251.1,281.5,449.0,1115.9,281.8,386.5,966.3,353.6,462.2,793.7,109.8,325.4,124.2,473.5,854.9,316.9,968.4,827.0,908.0,1122.3,1129.1,487.5,366.5,509.0,0.0,1029.4,237.0,829.7,469.5,218.7,487.9,155.8,770.2,423.4,357.3,921.7,508.4,68.4,493.5,323.0,80.0,452.7,943.5,486.0,409.2,1216.7,305.3,292.5,328.5,937.6,486.0,62.7,818.7,934.6,416.5,100.7,353.6,491.4,394.7,376.1,1086.6,84.0,139.2,293.8,281.6,29.2,920.1,403.3,287.0,1439.6,1086.5,289.9,223.6,97.2,341.4,959.4,19.5,830.3,1211.8,782.2,364.9,410.4,948.3,345.0,509.2,779.8,840.4,449.2,548.5,209.2,356.3,481.9,815.5,496.2,421.2,47.0,1099.3,909.0,1170.6,750.6,296.6,941.2,855.7,1350.5,557.0,481.6,914.4,126.4,1141.6,868.0,872.3,558.1,1043.1,879.1,386.5,530.5,1032.3,422.5,277.4,956.3,110.7,350.6,233.8,1186.4,1158.4,262.1,1128.8,251.1,102.6,858.6,327.0,430.0,832.7,45.5,806.1,812.2,360.9,402.1,498.5,268.7,1186.1,479.9,487.3,866.9,873.6,274.8,344.6,18.5
EP,981.6,1092.4,465.5,390.2,218.2,1083.4,1038.1,721.8,289.6,1105.9,1143.1,435.1,1182.7,683.9,351.4,1063.7,1080.2,926.2,765.5,372.0,1073.5,548.5,353.0,376.8,296.0,442.8,637.0,1134.1,658.5,953.7,0.0,1061.1,276.7,711.4,1042.8,709.6,1109.7,323.4,604.9,1113.9,402.4,730.1,946.1,725.9,1090.6,983.5,744.7,467.6,778.0,1053.0,390.4,1129.4,1079.8,1141.8,115.9,778.0,1016.6,330.7,514.7,1060.3,991.9,1182.7,713.1,1110.6,1019.9,260.3,960.0,1093.1,1107.1,1113.9,983.1,500.2,1145.7,1111.1,1078.6,260.2,1072.8,1047.7,1051.1,1098.0,539.5,973.4,349.7,934.9,204.1,1132.5,640.9,422.7,1112.6,801.2,263.5,262.3,569.3,727.3,1033.3,1123.9,703.6,395.6,675.0,1112.0,1000.9,422.3,338.2,344.3,234.3,1109.9,521.3,414.4,1073.6,735.8,631.1,343.6,1033.4,315.3,289.9,353.0,687.2,370.0,301.0,1143.1,822.5,309.0,1066.3,993.5,321.8,1021.9,1131.5,1057.9,360.1,332.1,1094.4,302.5,1083.4,1056.5,426.5,1043.1,714.5,225.3,920.6,363.9,281.0,1133.1,1045.9,790.5,1051.6,359.8,629.4,709.0,434.8,344.9,1098.9,1060.7,972.3
EQ,318.3,98.6,1119.1,1265.1,1001.6,220.1,250.5,625.0,1155.1,90.5,355.5,1142.3,322.6,638.2,969.7,286.3,203.5,303.5,555.5,999.2,285.9,1144.4,971.3,1084.0,1225.9,1177.5,605.0,242.2,602.5,265.1,1077.8,0.0,1005.7,645.5,64.2,663.9,332.3,946.2,599.4,326.3,962.1,684.4,313.7,669.5,193.4,287.3,534.7,1008.2,568.0,378.2,1219.0,106.3,261.5,191.1,1019.6,568.0,239.2,994.7,1110.6,385.5,308.0,322.6,667.4,257.3,345.1,1130.3,329.3,315.7,156.4,250.6,236.5,1096.1,265.9,95.7,1516.8,1190.1,97.1,34.2,208.7,310.4,1135.4,245.7,974.6,1293.8,958.2,240.6,492.4,995.0,220.7,591.2,955.8,1016.4,625.2,630.5,63.1,232.0,657.9,991.5,578.2,283.8,254.3,1147.7,949.4,1158.1,926.6,159.2,1117.2,1000.0,1432.5,639.0,622.9,954.8,203.8,1245.2,1037.6,912.7,640.1,1091.5,1026.5,355.5,612.5,1080.7,391.5,246.4,996.7,318.0,213.2,49.1,1147.7,1262.0,231.1,1168.0,220.1,279.1,1002.9,296.0,606.0,1008.7,290.8,950.4,988.2,329.9,371.1,580.5,117.2,1289.7,601.6,663.3,1011.2,1045.9,44.8,264.6,283.7
ES,831.3,1061.7,636.2,560.9,120.7,928.1,882.8,624.8,460.3,1080.0,987.8,338.1,1027.4,586.9,279.5,931.7,924.9,755.9,832.0,170.2,918.2,379.7,162.9,279.8,466.7,613.5,540.0,978.8,561.5,821.7,563.3,1035.2,0.0,614.4,1016.9,612.6,977.7,223.6,507.9,958.6,232.2,633.1,805.3,628.9,935.3,851.5,811.2,237.6,844.5,897.7,561.1,1087.4,924.5,1004.5,304.6,844.5,884.6,211.5,345.9,905.0,841.6,1027.4,616.1,955.3,864.6,431.0,789.7,961.1,982.3,958.6,851.1,331.4,990.4,1085.2,1226.6,430.9,1039.7,1021.8,999.4,942.7,370.7,841.4,120.4,1072.7,84.0,977.2,707.4,242.4,957.3,867.7,166.5,69.6,472.3,585.9,1007.4,968.6,606.6,226.8,557.2,956.7,868.9,593.0,298.8,515.0,137.3,1027.2,352.5,149.8,1211.4,618.0,534.1,304.2,994.5,486.0,97.2,211.8,590.2,540.7,108.3,987.8,889.0,479.7,911.0,838.2,315.4,889.6,976.2,1032.0,530.8,502.8,939.1,473.2,928.1,924.5,136.3,887.8,617.5,114.9,788.6,110.1,184.0,977.8,890.6,857.0,1018.5,530.5,532.4,612.0,144.6,80.3,1098.7,905.4,840.3
EW,446.8,674.3,993.2,1008.9,618.0,645.5,606.0,58.1,908.3,708.8,700.5,758.7,743.7,27.4,586.1,539.0,641.2,361.0,474.9,647.3,641.4,760.8,619.4,700.4,909.6,1061.5,182.9,695.1,204.4,426.8,1011.3,664.0,622.1,0.0,645.7,91.9,582.8,562.6,118.8,674.9,714.1,114.0,417.3,34.0,651.6,456.6,454.1,735.9,480.5,614.0,1009.1,739.2,640.8,720.8,797.1,487.4,489.7,611.1,727.0,621.3,446.7,743.7,105.1,671.6,580.9,879.0,394.8,566.2,698.6,674.9,456.2,712.5,706.7,714.0,1299.1,878.9,654.7,650.6,531.1,659.0,744.9,446.5,622.7,1064.4,574.6,693.5,350.3,740.7,673.6,515.9,572.2,632.8,144.6,228.8,643.1,684.9,56.3,607.9,200.1,673.0,474.5,1041.0,701.4,963.0,543.0,684.9,733.6,648.1,1210.0,260.9,177.0,706.8,551.5,934.0,656.8,664.7,290.8,988.7,671.5,700.5,531.9,927.7,627.3,554.5,748.7,501.6,692.5,660.8,978.8,950.8,655.4,921.2,645.5,529.6,651.0,604.1,67.9,625.1,400.6,598.5,604.6,694.1,608.0,499.9,626.6,978.5,175.3,50.9,659.3,666.0,701.8,621.7,445.4
EZ,300.3,78.8,1101.1,1247.1,983.6,202.1,232.5,607.0,1137.1,97.7,337.5,1124.3,304.6,620.2,951.7,268.3,185.5,285.5,537.5,981.2,267.9,1126.4,953.3,1066.0,1207.9,1159.5,587.0,222.4,584.5,247.1,1059.8,52.9,987.7,627.5,0.0,645.9,314.3,928.2,581.4,308.3,944.1,666.4,295.7,651.5,173.6,269.3,516.7,990.2,550.0,360.2,1201.0,86.5,243.5,171.3,1001.6,550.0,221.2,976.7,1092.6,367.5,290.0,304.6,649.4,237.5,327.1,1112.3,311.3,297.7,136.6,232.6,218.5,1078.1,246.1,102.9,1498.8,1172.1,107.9,39.5,190.7,292.4,1117.4,227.7,956.6,1275.8,940.2,220.8,474.4,977.0,200.9,573.2,937.8,998.4,607.2,612.5,9.4,212.2,639.9,973.5,560.2,264.0,236.3,1129.7,931.4,1140.1,908.6,139.4,1099.2,982.0,1414.5,621.0,604.9,936.8,185.8,1227.2,1019.6,894.7,622.1,1073.5,1008.5,337.5,594.5,1062.7,373.5,228.4,978.7,300.0,193.4,15.0,1129.7,1244.0,213.1,1150.0,202.1,261.1,984.9,278.0,588.0,990.7,272.8,932.4,970.2,311.9,353.1,562.5,108.8,1271.7,583.6,645.3,993.2,1027.9,69.0,244.8,265.7
FA,458.2,689.2,1082.4,1007.1,616.2,666.2,620.9,92.0,906.5,730.6,725.9,756.9,765.5,54.1,584.3,558.6,663.0,382.8,473.1,645.5,656.3,759.0,617.6,698.6,912.9,1059.7,181.1,716.9,202.6,448.6,1009.5,685.8,620.3,81.6,667.5,0.0,604.6,560.8,117.0,696.7,712.3,75.7,432.2,79.1,673.4,478.4,452.3,734.1,485.6,635.8,1007.3,754.1,662.6,742.6,795.3,485.6,511.5,609.3,725.2,643.1,468.5,765.5,58.7,693.4,602.7,877.2,416.6,588.0,720.4,696.7,478.0,710.7,728.5,735.8,1297.3,877.1,669.6,672.4,546.0,680.8,750.0,468.3,620.9,1069.5,572.8,715.3,348.5,738.9,695.4,508.8,570.4,631.0,142.8,227.0,658.0,706.7,56.8,606.1,198.3,694.8,495.8,1039.2,699.6,961.2,541.2,706.7,731.8,646.3,1208.2,259.1,175.2,705.0,575.2,932.2,658.6,662.9,289.0,986.9,669.7,725.9,530.1,925.9,649.1,576.3,746.9,516.5,714.3,682.6,977.0,949.0,677.2,919.4,666.2,551.4,649.2,625.9,90.4,623.3,415.5,596.7,602.8,715.9,628.7,498.1,648.4,976.7,173.5,62.2,657.5,664.2,723.6,643.5,467.2
FE,231.9,349.2,1229.6,1308.2,984.5,321.2,351.6,607.9,1207.6,351.9,456.6,1125.2,423.7,621.1,952.6,71.4,395.5,283.1,543.6,1013.8,387.0,1127.3,985.9,1066.9,1214.0,1360.8,593.1,436.6,590.6,178.7,1188.3,307.1,988.6,628.4,288.8,646.8,0.0,929.1,582.3,427.4,1080.6,667.3,227.3,652.4,393.1,200.9,522.8,1102.4,556.1,479.3,1308.4,375.4,362.6,398.6,1007.7,556.1,113.1,977.6,1093.5,486.6,221.6,423.7,650.3,464.8,446.2,1178.3,242.9,51.8,363.9,351.7,150.1,1079.0,473.4,357.1,1509.7,1178.2,357.2,293.7,149.3,411.5,1118.3,159.3,989.2,1281.9,941.1,435.0,480.5,1107.2,415.1,579.3,938.7,999.3,608.1,618.6,279.3,426.4,640.8,974.4,566.3,491.3,167.9,1340.3,1067.9,1262.3,909.5,366.7,1100.1,1014.6,1420.6,627.1,611.0,1073.3,178.5,1233.3,1026.9,1031.2,628.2,1288.0,1038.0,456.6,600.6,1227.0,492.6,347.5,1127.7,231.6,420.7,303.9,1278.1,1250.1,332.2,1220.5,321.2,85.6,1017.5,397.1,588.9,991.6,204.4,965.0,971.1,431.0,472.2,568.6,336.0,1277.8,589.7,646.2,1025.8,1032.5,344.9,414.7,197.3
FH,770.6,996.8,676.7,601.4,210.5,864.3,817.9,569.1,500.8,1015.1,922.9,351.2,962.5,526.2,144.3,873.2,860.0,695.2,771.3,137.1,853.3,314.8,118.1,292.9,507.2,654.0,479.3,913.9,500.8,761.0,603.8,970.3,214.6,553.7,952.0,551.9,917.0,0.0,447.2,893.7,267.1,572.4,744.6,568.2,870.4,790.8,750.5,272.5,783.8,832.8,601.6,1022.5,859.6,939.6,345.1,783.8,823.9,95.8,281.0,840.1,780.9,962.5,555.4,890.4,799.7,471.5,729.0,900.4,917.4,893.7,790.4,266.5,925.5,1020.3,1239.8,471.4,974.8,956.9,858.4,877.8,305.8,780.7,114.8,1012.0,167.1,912.3,646.7,277.3,892.4,812.3,150.6,225.3,411.6,525.2,942.5,903.7,545.9,161.9,496.5,891.8,808.2,633.5,255.4,555.5,135.5,962.3,287.6,184.7,1150.7,557.3,473.4,260.8,929.6,526.5,219.0,246.7,529.5,581.2,211.2,922.9,828.3,520.2,846.1,773.3,366.7,828.9,911.3,967.1,571.3,543.3,874.2,513.7,864.3,863.8,187.6,822.9,556.8,217.6,727.9,129.0,197.1,912.9,825.7,796.3,953.6,571.0,471.7,551.3,195.9,230.6,1033.8,840.5,779.6
FI,401.3,632.3,965.3,890.0,499.1,609.3,564.0,116.8,789.4,673.7,669.0,639.8,708.6,78.9,467.2,501.7,606.1,325.9,356.0,528.4,599.4,641.9,500.5,581.5,795.8,942.6,64.0,660.0,85.5,391.7,892.4,628.9,503.2,106.4,610.6,104.6,547.7,443.7,0.0,639.8,595.2,125.1,375.3,120.9,616.5,421.5,335.2,617.0,368.5,578.9,890.2,697.2,605.7,685.7,678.2,368.5,454.6,492.2,608.1,586.2,411.6,708.6,108.1,636.5,545.8,760.1,359.7,531.1,663.5,639.8,421.1,593.6,671.6,678.9,1180.2,760.0,612.7,615.5,489.1,623.9,632.9,411.4,503.8,952.4,455.7,658.4,231.4,621.8,638.5,391.7,453.3,513.9,25.7,109.9,601.1,649.8,98.6,489.0,81.2,637.9,438.9,922.1,582.5,844.1,424.1,649.8,614.7,529.2,1091.1,142.0,58.1,587.9,518.3,815.1,541.5,545.8,171.9,869.8,552.6,669.0,413.0,808.8,592.2,519.4,629.8,459.6,657.4,625.7,859.9,831.9,620.3,802.3,609.3,494.5,532.1,569.0,109.5,506.2,358.6,479.6,485.7,659.0,571.8,381.0,591.5,859.6,56.4,104.0,540.4,547.1,666.7,586.6,410.3
FJ,403.1,358.1,1084.0,1230.0,1073.1,226.9,132.0,696.5,1120.0,378.8,155.1,1213.8,194.7,709.7,1041.2,371.1,388.3,375.0,627.0,964.1,85.5,1215.9,936.2,1155.5,1159.8,1142.4,676.5,442.2,674.0,349.9,1042.7,334.0,1077.2,717.0,315.7,735.4,417.1,1017.7,670.9,0.0,927.0,755.9,394.9,741.0,398.7,372.1,606.2,973.1,639.5,343.1,1183.9,383.8,173.7,407.5,1091.1,639.5,324.0,1066.2,1182.1,350.4,392.8,194.7,738.9,328.4,310.0,1095.2,408.8,400.5,372.8,226.2,321.3,1167.6,363.5,384.0,1481.7,1124.0,338.5,320.6,298.2,15.6,1206.9,330.5,939.5,1365.3,1029.7,440.6,563.9,959.9,420.7,662.7,1027.3,1087.9,696.7,702.0,306.2,432.0,729.4,1063.0,649.7,329.8,339.1,1112.6,914.3,1123.0,998.1,375.6,1188.7,964.9,1504.0,710.5,694.4,919.7,293.3,1179.1,1002.5,877.6,711.6,1056.4,991.4,155.1,684.0,1045.6,356.4,211.3,961.6,402.8,429.6,330.8,1112.6,1333.5,232.8,1132.9,226.9,363.9,967.8,260.9,677.5,1080.2,369.4,915.3,1059.7,145.1,336.0,652.0,317.3,1361.2,673.1,734.8,976.1,1010.8,371.8,278.5,368.5
