from_stop,AL,AQ,AW,AZ,BB,BP,BS,BX,BZ,CB,CJ,CM,CP,CR,CV,DN,DR,DU,DY,DZ,EF,EN,EO,EQ,EX,FH,FK,FM,FO,FV,FW,FZ,GA,GE,GF,GG,GJ,GO,HM,HN,HO,HP,HQ,HV,IQ,IV,IY,IZ,JA,JD,JM,JR,JS,JU,JX,KB,KD,KH,KO,KZ,LE,LI,LV,MC,ML,MO,MS,MU,NE,NF,NH,NN,OE,OR,OT,OX,PA,PJ,PL,PP,PR,PU,PX,QC,QG,QL,QO,QT,QZ,RF,RP,RQ,RR,RY,SA,SK,SN,SQ,SU,SY,TJ,TS,TW,UM,UN,UV,UW,UX,VB,VD,VM,VY,WD,WF,WH,WJ,WK,WQ,WV,XB,XC,XJ,XS,XV,YB,YC,YE,YK,YV,ZO,ZQ
EX,403.8,301.9,527.1,880.5,292.8,979.7,325.9,161.7,321.3,356.6,917.7,948.7,497.1,1006.9,918.2,976.3,647.6,508.5,209.2,186.8,974.0,136.9,911.0,730.7,0.0,849.8,865.3,347.9,893.7,980.0,436.6,991.9,981.8,326.6,972.2,931.3,1008.9,951.1,369.7,258.8,319.8,922.8,961.2,327.4,296.5,898.1,226.5,244.1,127.3,962.3,793.2,1.7,847.7,882.7,846.0,412.1,1008.8,567.1,580.2,356.7,233.4,212.8,468.5,955.1,346.9,961.9,548.5,575.1,593.5,944.0,462.0,1012.6,916.8,280.8,144.0,889.3,448.6,1022.3,860.7,545.8,1002.6,868.7,195.2,416.1,931.7,521.7,379.0,395.5,647.4,537.9,172.0,596.3,929.3,872.1,1024.3,451.5,953.4,1022.9,1005.5,885.5,911.8,451.4,302.9,969.0,456.3,2.1,1042.8,1010.0,888.5,368.2,1848.4,1000.5,940.1,1021.5,521.8,335.3,1033.0,951.8,275.0,109.0,241.4,1019.2,640.4,930.2,957.6,859.0,464.1,478.8,991.7,285.1,992.6
FH,918.0,923.5,810.1,21.2,985.3,258.2,947.5,964.1,942.9,806.6,83.6,227.2,865.4,285.4,145.3,289.8,566.1,757.4,1012.2,783.6,252.5,881.5,76.9,562.2,870.2,0.0,198.2,749.2,374.7,296.1,861.9,270.4,297.9,1064.4,252.8,341.8,348.5,388.2,819.7,944.6,941.4,333.3,239.7,726.9,918.1,377.7,848.1,865.7,871.9,240.8,478.4,872.0,13.6,48.6,415.3,813.4,289.4,725.0,863.2,1049.2,815.7,809.6,753.5,354.2,766.2,240.4,831.5,779.6,620.1,408.5,759.5,291.1,82.7,902.4,877.7,397.0,866.3,300.8,26.6,750.3,433.1,34.6,792.0,930.3,210.2,744.7,893.2,658.9,618.5,820.9,768.8,760.6,341.9,254.9,454.8,769.2,231.9,301.4,284.0,165.9,61.9,819.7,995.4,94.5,717.9,872.4,321.3,288.5,415.8,769.5,1987.4,294.0,352.7,294.0,890.1,1027.8,463.5,382.3,896.6,884.0,736.1,335.3,704.5,394.7,287.9,367.5,804.2,788.4,270.2,713.0,271.1
FK,886.4,932.0,778.5,203.3,993.8,226.6,956.0,972.6,948.7,775.0,204.7,195.6,833.8,269.7,52.9,258.2,534.5,725.8,1020.7,792.1,220.9,890.0,157.5,530.6,878.7,203.2,0.0,757.7,343.1,264.5,830.3,238.8,266.3,1072.9,219.1,310.2,316.9,356.6,788.1,953.1,949.9,301.7,208.1,695.3,926.6,346.1,856.6,874.2,880.4,209.2,446.8,880.5,184.5,171.8,377.5,821.9,257.8,693.4,831.6,1057.7,784.1,818.1,721.9,304.4,843.8,208.8,799.9,748.0,588.5,376.9,727.9,259.5,173.9,910.9,886.2,365.4,834.7,269.2,171.5,718.7,401.5,163.5,800.5,898.7,178.6,713.1,861.6,627.3,586.9,789.3,777.3,729.0,310.3,223.3,423.2,737.6,200.3,269.8,252.4,132.4,176.1,788.1,1003.9,103.7,686.3,880.9,289.7,256.9,384.2,778.0,1955.8,262.4,321.1,268.4,858.5,1036.3,431.9,350.7,905.1,884.4,744.6,303.7,672.9,363.1,256.3,335.9,772.6,756.8,238.6,721.5,239.5
FM,159.5,570.8,282.8,739.4,510.0,766.7,594.8,378.9,587.5,201.0,786.1,817.1,252.8,891.2,786.6,732.0,403.3,264.2,426.4,455.7,842.4,405.8,779.4,486.4,356.7,718.2,733.7,0.0,649.4,735.7,192.3,860.3,737.5,543.8,840.6,767.0,764.6,706.8,214.1,476.0,588.7,758.5,829.6,238.4,565.4,653.8,495.4,513.0,396.2,830.7,548.9,358.5,716.1,751.1,601.7,105.8,749.6,322.8,335.9,573.9,195.7,481.7,224.2,729.0,102.6,830.3,304.2,330.8,349.2,699.7,217.7,881.0,785.2,549.7,412.9,645.0,204.3,890.7,729.1,301.5,758.3,737.1,464.1,171.8,800.1,277.4,134.7,306.5,403.1,293.6,440.9,352.0,685.0,745.9,780.0,207.2,821.8,891.3,771.6,753.9,780.2,207.1,520.1,837.4,367.3,358.9,911.2,773.1,644.2,61.9,1956.7,756.2,695.8,889.9,277.5,552.5,788.7,707.5,538.4,377.9,113.7,774.9,396.1,685.9,713.3,614.7,219.8,234.5,860.1,135.4,758.7
FO,574.7,1079.0,466.8,436.2,1018.2,168.7,1103.0,887.1,1098.4,709.2,482.9,342.2,522.1,400.4,447.8,134.0,222.8,414.1,934.6,963.9,367.5,914.0,476.2,218.9,864.9,415.0,394.9,631.8,0.0,137.7,518.6,385.4,139.5,1052.0,366.0,249.0,192.7,108.8,722.3,984.2,1096.9,240.5,354.7,706.5,1073.6,70.9,1003.6,1021.2,904.4,355.8,135.1,866.7,412.9,447.9,90.0,696.0,156.0,381.7,519.9,1082.1,703.9,989.9,410.2,131.0,532.1,355.4,488.2,436.3,276.8,101.7,416.2,406.1,482.0,1057.9,921.1,53.7,523.0,415.8,425.9,407.0,160.3,433.9,972.3,587.0,325.2,401.4,549.9,638.5,275.2,477.6,949.1,417.3,179.5,216.1,182.0,425.9,346.9,416.4,173.6,298.9,477.0,476.4,1028.3,493.8,697.5,867.1,436.3,175.1,72.5,652.1,1967.0,158.2,190.3,409.0,546.8,1060.7,190.7,109.5,1052.1,894.2,621.9,176.9,361.2,87.9,179.8,24.2,460.9,445.1,385.2,667.3,160.7
FV,669.6,1173.9,561.7,366.2,1113.1,98.7,1197.9,982.0,1193.3,716.2,412.9,272.2,617.0,330.4,377.8,64.0,317.7,509.0,1029.5,1058.8,297.5,1008.9,406.2,313.8,959.8,345.0,324.9,726.7,126.3,0.0,613.5,315.4,55.5,1146.9,296.0,179.0,122.7,139.8,729.3,1079.1,1191.8,170.5,284.7,636.5,1168.5,129.3,1098.5,1116.1,999.3,285.8,230.0,961.6,342.9,377.9,177.6,790.9,86.0,476.6,614.8,1177.0,725.3,1084.8,505.1,105.8,627.0,285.4,583.1,531.2,371.7,160.1,511.1,336.1,412.0,1152.8,1016.0,148.6,617.9,345.8,355.9,501.9,184.7,363.9,1067.2,681.9,255.2,496.3,644.8,568.5,370.1,572.5,1044.0,512.2,142.1,146.1,206.4,520.8,276.9,346.4,103.6,228.9,407.0,571.3,1123.2,423.8,627.5,962.0,366.3,105.1,167.4,747.0,1897.0,88.2,152.9,339.0,641.7,1155.6,215.1,133.9,1147.0,989.1,716.8,92.9,456.1,146.3,109.8,119.1,555.8,540.0,315.2,762.2,90.7
FW,122.3,626.6,170.7,813.2,565.8,660.6,650.6,434.7,646.0,256.8,859.9,827.5,146.7,885.7,860.4,625.9,297.2,152.1,482.2,511.5,852.8,461.6,853.2,380.3,412.5,792.0,807.5,179.4,543.3,629.6,0.0,870.7,631.4,599.6,851.3,660.9,658.5,600.7,269.9,531.8,644.5,652.4,840.0,294.2,621.2,547.7,551.2,568.8,452.0,841.1,442.8,414.3,789.9,824.9,489.4,243.6,643.5,210.7,223.8,629.7,251.5,537.5,118.1,622.9,79.7,840.7,192.1,218.7,243.1,593.6,111.6,891.4,859.0,605.5,468.7,538.9,92.2,901.1,802.9,189.4,652.2,810.9,519.9,134.6,810.5,165.3,97.5,362.3,297.0,181.5,496.7,239.9,578.9,639.8,673.9,101.1,832.2,901.7,665.5,829.6,854.0,101.0,575.9,911.2,423.1,414.7,921.6,667.0,538.1,199.7,2012.5,650.1,589.7,894.3,171.4,608.3,682.6,601.4,599.7,441.8,169.5,668.8,300.1,579.8,607.2,508.6,107.7,122.4,870.5,214.9,652.6
FZ,871.7,1053.4,763.8,254.9,1159.0,211.9,1077.4,1027.9,1072.8,760.3,301.6,76.4,819.1,112.1,266.5,243.5,519.8,711.1,1075.4,913.5,89.5,1054.8,294.9,515.9,1005.7,233.7,213.6,878.6,328.4,249.8,815.6,0.0,251.6,1192.8,143.2,295.5,302.2,341.9,773.4,1074.5,1071.3,287.0,76.7,680.6,1048.0,331.4,978.0,995.6,1045.2,29.3,432.1,1007.5,231.6,266.6,369.0,942.8,243.1,678.7,816.9,1222.9,769.4,939.5,707.2,307.9,829.1,89.6,785.2,733.3,573.8,362.2,713.2,117.8,300.7,1032.3,1061.9,350.7,820.0,125.4,244.6,704.0,386.8,252.6,921.9,884.0,102.4,698.4,846.9,612.6,572.2,774.6,898.7,714.3,295.6,208.6,408.5,722.9,104.1,101.7,237.7,139.6,295.7,773.4,1169.1,312.5,671.6,1007.9,193.5,242.2,369.5,898.9,1941.1,247.7,306.4,120.7,843.8,1201.5,417.2,336.0,1026.5,1035.0,820.0,289.0,658.2,348.4,241.6,321.2,757.9,742.1,96.9,865.4,224.8
GA,659.2,1163.5,551.3,355.8,1102.7,88.3,1187.5,971.6,1182.9,705.8,402.5,261.8,606.6,320.0,367.4,53.6,307.3,498.6,1019.1,1048.4,287.1,998.5,395.8,303.4,949.4,334.6,314.5,716.3,115.9,33.3,603.1,305.0,0.0,1136.5,285.6,168.6,112.3,129.4,718.9,1068.7,1181.4,160.1,274.3,626.1,1158.1,118.9,1088.1,1105.7,988.9,275.4,219.6,951.2,332.5,367.5,167.2,780.5,75.6,466.2,604.4,1166.6,714.9,1074.4,494.7,95.4,616.6,275.0,572.7,520.8,361.3,149.7,500.7,325.7,401.6,1142.4,1005.6,138.2,607.5,335.4,345.5,491.5,174.3,353.5,1056.8,671.5,244.8,485.9,634.4,558.1,359.7,562.1,1033.6,501.8,131.7,135.7,196.0,510.4,266.5,336.0,93.2,218.5,396.6,560.9,1112.8,413.4,617.1,951.6,355.9,94.7,157.0,736.6,1886.6,77.8,142.5,328.6,631.3,1145.2,204.7,123.5,1136.6,978.7,706.4,37.3,445.7,135.9,99.4,108.7,545.4,529.6,304.8,751.8,80.3
GE,527.8,419.2,651.1,1043.2,212.7,1135.0,443.2,188.8,411.7,480.6,1089.9,1113.3,608.2,1168.7,1090.4,1100.3,771.6,632.5,143.0,382.5,1135.8,332.6,1083.2,854.7,283.5,1022.0,1037.5,471.9,1017.7,1104.0,560.6,1153.7,1105.8,0.0,1137.4,1055.3,1132.9,1075.1,493.7,178.7,412.9,1046.8,1123.0,451.4,413.8,1022.1,395.5,318.9,323.0,1124.1,917.2,285.3,1019.9,1054.9,970.0,536.1,1120.2,691.1,704.2,276.6,357.4,391.8,592.5,1097.3,470.9,1123.7,672.5,699.1,717.5,1068.0,586.0,1174.4,1089.0,358.2,339.7,1013.3,572.6,1184.1,1032.9,669.8,1126.6,1040.9,390.9,540.1,1093.5,645.7,503.0,519.5,771.4,661.9,367.7,720.3,1053.3,996.1,1148.3,575.5,1115.2,1184.7,1139.9,1057.7,1084.0,575.4,222.8,1141.2,580.3,285.7,1204.6,1141.4,1012.5,492.2,2020.6,1124.5,1064.1,1183.3,645.8,255.2,1157.0,1075.8,352.8,312.8,365.4,1143.2,764.4,1054.2,1081.6,983.0,588.1,602.8,1153.5,409.1,1127.0
GF,862.9,1056.5,755.0,267.5,1118.3,203.1,1078.4,1019.1,1073.2,751.5,304.7,102.4,797.4,154.6,269.6,234.7,511.0,702.3,1066.6,916.6,115.9,1046.0,298.0,507.1,1000.0,236.8,216.7,872.9,319.6,241.0,806.8,133.8,242.8,1184.0,0.0,286.7,293.4,333.1,764.6,1077.6,1074.4,278.2,103.1,671.8,1051.1,322.6,979.0,998.7,1036.4,104.2,423.3,1001.8,234.7,269.7,354.0,934.0,232.2,673.0,808.1,1180.1,760.6,942.6,698.4,280.9,820.3,112.8,776.4,724.5,565.0,353.4,704.4,156.8,303.8,1033.3,1053.1,341.9,811.2,155.1,247.7,695.2,378.0,253.6,925.0,875.2,40.7,689.6,838.1,603.8,563.4,765.8,901.8,705.5,286.8,199.8,399.7,714.1,80.4,171.2,228.9,99.5,298.8,764.6,1128.4,315.6,662.8,999.1,166.7,233.4,360.7,890.1,1932.3,238.9,297.6,168.8,835.0,1160.8,408.4,327.2,1024.1,1018.1,811.2,280.2,649.4,339.6,232.8,312.4,749.1,736.4,133.6,856.6,216.0
GG,739.7,1108.0,631.8,352.9,1047.2,164.7,1132.0,916.1,1127.4,648.5,399.6,258.9,687.1,317.1,364.5,131.8,387.8,579.1,963.6,992.9,284.2,943.0,392.9,383.9,893.9,331.7,311.6,766.8,257.3,178.7,683.6,302.1,180.5,1081.0,282.7,0.0,148.5,270.8,661.6,1013.2,1125.9,7.1,271.4,568.8,1102.6,224.7,1032.6,1050.2,933.4,272.5,300.1,895.7,329.6,364.6,198.3,831.0,102.7,546.7,684.9,1111.1,657.6,1018.9,575.2,236.8,697.1,272.1,653.2,601.3,441.8,278.2,581.2,322.8,398.7,1086.9,950.1,279.6,688.0,332.5,342.6,572.0,315.7,350.6,1001.3,752.0,241.9,566.4,714.9,500.8,440.2,642.6,978.1,582.3,124.9,99.0,337.4,590.9,263.6,333.1,169.6,215.6,393.7,641.4,1057.3,410.5,559.8,896.1,353.0,153.1,283.7,787.1,1829.3,163.6,135.7,325.7,711.8,1089.7,346.1,264.9,1081.1,923.2,708.2,217.9,526.2,264.4,66.4,250.1,625.9,610.1,301.9,753.6,156.7
GJ,692.1,1196.4,584.2,383.9,1135.6,121.5,1220.4,1004.5,1215.8,704.7,430.6,289.9,639.5,348.1,395.5,61.2,340.2,531.5,1052.0,1081.3,315.2,1031.4,423.9,336.3,982.3,362.7,342.6,749.2,191.7,113.1,636.0,333.1,114.9,1169.4,313.7,123.3,0.0,205.2,717.8,1101.6,1214.3,114.8,302.4,625.0,1191.0,177.1,1121.0,1138.6,1021.8,303.5,252.5,984.1,360.6,395.6,150.7,813.4,105.9,499.1,637.3,1199.5,713.8,1107.3,527.6,171.2,649.5,303.1,605.6,553.7,394.2,225.5,533.6,353.8,429.7,1175.3,1038.5,214.0,640.4,363.5,373.6,524.4,250.1,381.6,1089.7,704.4,272.9,518.8,667.3,557.0,392.6,595.0,1066.5,534.7,77.3,102.2,271.8,543.3,294.6,364.1,126.4,246.6,424.7,593.8,1145.7,441.5,616.0,984.5,384.0,120.3,232.8,769.5,1885.5,93.0,88.1,356.7,664.2,1178.1,280.5,199.3,1169.5,1011.6,739.3,152.3,478.6,211.7,69.6,184.5,578.3,562.5,332.9,784.7,113.5
GO,644.9,1149.2,537.0,422.5,1088.4,155.0,1173.2,957.3,1168.6,772.5,469.2,328.5,592.3,386.7,434.1,120.3,293.0,484.3,1004.8,1034.1,353.8,984.2,462.5,289.1,935.1,401.3,381.2,702.0,101.6,124.0,588.8,371.7,125.8,1122.2,352.3,235.3,179.0,0.0,785.6,1054.4,1167.1,226.8,341.0,692.8,1143.8,104.6,1073.8,1091.4,974.6,342.1,205.3,936.9,399.2,434.2,152.9,766.2,142.3,451.9,590.1,1152.3,781.6,1060.1,480.4,117.3,602.3,341.7,558.4,506.5,347.0,135.4,486.4,392.4,468.3,1128.1,991.3,123.9,593.2,402.1,412.2,477.2,160.0,420.2,1042.5,657.2,311.5,471.6,620.1,624.8,345.4,547.8,1019.3,487.5,198.4,202.4,181.7,496.1,333.2,402.7,159.9,285.2,463.3,546.6,1098.5,480.1,683.8,937.3,422.6,161.4,142.7,722.3,1953.3,144.5,209.2,395.3,617.0,1130.9,190.4,109.2,1122.3,964.4,692.1,163.2,431.4,121.6,166.1,94.4,531.1,515.3,371.5,737.5,147.0
HM,219.3,561.9,342.6,817.2,501.1,826.5,585.9,370.0,581.3,7.3,863.9,765.2,312.6,823.4,864.4,791.8,463.1,324.0,417.5,446.8,790.5,396.9,857.2,546.2,347.8,796.0,811.5,163.4,709.2,795.5,252.1,808.4,797.3,534.9,789.0,826.8,824.4,766.6,0.0,467.1,579.8,818.3,777.7,106.1,556.5,713.6,486.5,504.1,387.3,778.8,608.7,349.6,793.9,828.9,655.3,227.6,809.4,382.6,395.7,565.0,133.4,472.8,284.0,788.8,162.4,778.4,364.0,390.6,409.0,759.5,277.5,829.1,863.0,540.8,404.0,704.8,264.1,838.8,806.9,361.3,818.1,814.9,455.2,231.6,748.2,337.2,194.5,174.2,462.9,353.4,432.0,411.8,744.8,650.8,839.8,267.0,769.9,839.4,831.4,721.9,858.0,266.9,511.2,915.2,235.0,350.0,859.3,832.9,704.0,183.7,1824.4,816.0,755.6,832.0,337.3,543.6,848.5,767.3,535.0,377.1,104.8,834.7,455.9,745.7,773.1,674.5,279.6,294.3,808.2,150.2,818.5
HN,504.9,309.0,628.2,933.0,120.5,1041.7,333.0,165.9,304.2,457.7,979.7,1010.7,598.2,1068.9,980.2,1073.3,748.7,609.6,120.1,287.9,1036.0,309.7,973.0,831.8,260.6,911.8,927.3,449.0,994.8,1079.6,537.7,1053.9,1081.4,172.3,1036.3,1032.4,1110.0,1052.2,470.8,0.0,302.7,1023.9,1023.2,428.5,303.6,999.2,285.3,208.7,300.1,1024.3,894.3,262.4,909.7,944.7,940.9,513.2,1072.9,668.2,681.3,184.4,334.5,281.6,569.6,1074.4,448.0,1023.9,649.6,676.2,694.6,1045.1,563.1,1074.6,978.8,248.0,316.8,990.4,549.7,1084.3,922.7,646.9,1103.7,930.7,327.8,517.2,993.7,622.8,480.1,496.6,748.5,639.0,332.6,697.4,1030.4,1038.4,1125.4,552.6,1015.4,1084.9,1067.5,949.4,973.8,552.5,130.6,1031.0,557.4,262.8,1104.8,1072.0,989.6,469.3,1910.4,1077.5,1041.2,1077.5,622.9,163.0,1134.1,1052.9,242.6,289.9,342.5,1118.8,741.5,1031.3,1071.4,960.1,565.2,579.9,1053.7,386.2,1054.6
HO,613.8,128.6,737.1,920.2,351.4,1028.9,141.5,371.7,17.1,566.6,966.9,997.9,707.1,1056.1,967.4,1060.5,857.6,718.5,419.2,173.7,1023.2,289.1,960.2,940.7,277.8,899.0,914.5,557.9,1103.7,1066.8,646.6,1041.1,1068.6,430.5,1023.5,1112.5,1119.2,1158.9,579.7,310.7,0.0,1104.0,1010.4,537.4,123.2,1108.1,171.1,130.0,279.5,1011.5,1003.2,279.6,896.9,931.9,1049.8,622.1,1060.1,777.1,790.2,415.3,443.4,167.4,678.5,1124.9,556.9,1011.1,758.5,785.1,803.5,1154.0,672.0,1061.8,966.0,66.4,285.3,1099.3,658.6,1071.5,909.9,755.8,1203.8,917.9,213.6,626.1,980.9,731.7,589.0,605.5,857.4,747.9,218.4,806.3,1112.6,1025.6,1225.5,661.5,1002.6,1072.1,1054.7,936.6,961.0,661.4,361.5,1018.2,666.3,280.0,1092.0,1059.2,1098.5,578.2,1897.6,1064.7,1123.4,1064.7,731.8,393.9,1234.2,1153.0,60.4,291.6,451.4,1106.0,850.4,1140.2,1058.6,1069.0,674.1,688.8,1040.9,495.1,1041.8
HP,732.6,1100.9,624.7,345.8,1040.1,157.6,1124.9,909.0,1120.3,641.4,392.5,251.8,680.0,310.0,357.4,124.7,380.7,572.0,956.5,985.8,277.1,935.9,385.8,376.8,886.8,324.6,304.5,759.7,250.2,171.6,676.5,295.0,173.4,1073.9,275.6,8.4,141.4,263.7,654.5,1006.1,1118.8,0.0,264.3,561.7,1095.5,217.6,1025.5,1043.1,926.3,265.4,293.0,888.6,322.5,357.5,191.2,823.9,95.6,539.6,677.8,1104.0,650.5,1011.8,568.1,229.7,690.0,265.0,646.1,594.2,434.7,271.1,574.1,315.7,391.6,1079.8,943.0,272.5,680.9,325.4,335.5,564.9,308.6,343.5,994.2,744.9,234.8,559.3,707.8,493.7,433.1,635.5,971.0,575.2,117.8,91.9,330.3,583.8,256.5,326.0,162.5,208.5,386.6,634.3,1050.2,403.4,552.7,889.0,345.9,146.0,276.6,780.0,1822.2,156.5,128.6,318.6,704.7,1082.6,339.0,257.8,1074.0,916.1,701.1,210.8,519.1,257.3,59.3,243.0,618.8,603.0,294.8,746.5,149.6
HQ,851.4,1033.1,743.5,234.6,1138.7,191.6,1057.1,1007.6,1052.5,740.0,281.3,56.1,798.8,91.8,246.2,223.2,499.5,690.8,1055.1,893.2,12.7,1034.5,274.6,495.6,985.4,213.4,193.3,858.3,308.1,229.5,795.3,67.1,231.3,1172.5,122.9,275.2,281.9,321.6,753.1,1054.2,1051.0,266.7,0.0,660.3,1027.7,311.1,957.7,975.3,1024.9,37.5,411.8,987.2,211.3,246.3,348.7,922.5,222.8,658.4,796.6,1202.6,749.1,919.2,686.9,287.6,808.8,69.3,764.9,713.0,553.5,341.9,692.9,97.5,280.4,1012.0,1041.6,330.4,799.7,107.2,224.3,683.7,366.5,232.3,901.6,863.7,82.1,678.1,826.6,592.3,551.9,754.3,878.4,694.0,275.3,188.3,388.2,702.6,83.8,107.8,217.4,144.2,275.4,753.1,1148.8,292.2,651.3,987.6,173.2,221.9,349.2,878.6,1920.8,227.4,286.1,100.4,823.5,1181.2,396.9,315.7,1006.2,1014.7,799.7,268.7,637.9,328.1,221.3,300.9,737.6,721.8,76.6,845.1,204.5
HV,253.8,539.1,377.1,753.0,478.3,659.6,563.1,347.2,558.5,79.6,799.7,659.0,347.1,717.2,764.6,638.5,497.6,358.5,394.7,424.0,684.3,374.1,793.0,580.7,325.0,731.8,711.7,197.9,743.7,673.6,286.6,702.2,675.4,512.1,682.8,603.8,655.2,801.1,92.7,444.3,557.0,595.3,671.5,0.0,533.7,748.1,463.7,481.3,364.5,672.6,643.2,326.8,729.7,764.7,689.8,262.1,597.6,417.1,430.2,542.2,88.7,450.0,318.5,731.7,196.9,672.2,398.5,425.1,443.5,794.0,312.0,722.9,798.8,518.0,381.2,739.3,298.6,732.6,742.7,395.8,852.6,750.7,432.4,266.1,642.0,371.7,229.0,68.0,497.4,387.9,409.2,446.3,631.6,544.6,874.3,301.5,663.7,733.2,664.5,615.7,793.8,301.4,488.4,810.6,128.8,327.2,753.1,648.0,738.5,218.2,1718.2,670.3,642.4,725.8,371.8,520.8,883.0,801.8,512.2,354.3,139.3,712.8,490.4,780.2,577.6,709.0,314.1,328.8,702.0,184.7,651.6
IQ,586.5,5.3,709.8,892.9,351.1,1001.6,29.3,344.4,140.7,539.3,939.6,970.6,679.8,1028.8,940.1,1033.2,830.3,691.2,391.9,146.4,995.9,261.8,932.9,913.4,250.5,871.7,887.2,530.6,1076.4,1039.5,619.3,1013.8,1041.3,430.2,996.2,1085.2,1091.9,1131.6,552.4,310.4,139.2,1076.7,983.1,510.1,0.0,1080.8,143.8,129.7,252.2,984.2,975.9,252.3,869.6,904.6,1022.5,594.8,1032.8,749.8,762.9,415.0,416.1,140.1,651.2,1097.6,529.6,983.8,731.2,757.8,776.2,1126.7,644.7,1034.5,938.7,120.5,258.0,1072.0,631.3,1044.2,882.6,728.5,1176.5,890.6,186.3,598.8,953.6,704.4,561.7,578.2,830.1,720.6,191.1,779.0,1085.3,998.3,1198.2,634.2,975.3,1044.8,1027.4,909.3,933.7,634.1,361.2,990.9,639.0,252.7,1064.7,1031.9,1071.2,550.9,1870.3,1037.4,1096.1,1037.4,704.5,393.6,1206.9,1125.7,94.4,264.3,424.1,1078.7,823.1,1112.9,1031.3,1041.7,646.8,661.5,1013.6,467.8,1014.5
IV,589.6,1093.9,481.7,418.1,1033.1,150.6,1117.9,902.0,1113.3,724.1,464.8,324.1,537.0,382.3,429.7,115.9,237.7,429.0,949.5,978.8,349.4,928.9,458.1,233.8,879.8,396.9,376.8,646.7,69.8,119.6,533.5,367.3,121.4,1066.9,347.9,207.8,174.6,90.7,737.2,999.1,1111.8,199.3,336.6,688.4,1088.5,0.0,1018.5,1036.1,919.3,337.7,150.0,881.6,394.8,429.8,48.2,710.9,137.9,396.6,534.8,1097.0,718.8,1004.8,425.1,112.9,547.0,337.3,503.1,451.2,291.7,53.4,431.1,388.0,463.9,1072.8,936.0,92.1,537.9,397.7,407.8,421.9,142.2,415.8,987.2,601.9,307.1,416.3,564.8,620.4,290.1,492.5,964.0,432.2,125.8,186.7,163.9,440.8,328.8,398.3,155.5,280.8,458.9,491.3,1043.2,475.7,679.4,882.0,418.2,157.0,110.9,667.0,1948.9,140.1,136.6,390.9,561.7,1075.6,172.6,91.4,1067.0,909.1,636.8,158.8,376.1,39.6,154.1,62.6,475.8,460.0,367.1,682.2,142.6
IY,540.1,152.8,663.4,856.0,316.4,955.2,176.8,298.0,169.5,492.9,893.2,924.2,633.4,982.4,893.7,986.8,783.9,644.8,345.5,100.0,949.5,215.4,886.5,867.0,204.1,825.3,840.8,484.2,1030.0,993.1,572.9,967.4,994.9,462.9,947.7,1038.8,1045.5,1085.2,506.0,275.7,170.7,1030.3,936.7,463.7,147.4,1034.4,0.0,95.0,205.8,937.8,929.5,205.9,823.2,858.2,976.1,548.4,984.3,703.4,716.5,380.3,369.7,93.7,604.8,1033.0,483.2,937.4,684.8,711.4,729.8,1080.3,598.3,988.1,892.3,131.7,211.6,1025.6,584.9,997.8,836.2,682.1,1130.1,844.2,139.9,552.4,907.2,658.0,515.3,531.8,783.7,674.2,144.7,732.6,1038.9,951.9,1151.8,587.8,928.9,998.4,981.0,861.0,887.3,587.7,326.5,944.5,592.6,206.3,1018.3,985.5,1024.8,504.5,1823.9,991.0,1049.7,997.0,658.1,358.9,1160.5,1079.3,120.4,209.8,377.7,1032.3,776.7,1066.5,984.9,995.3,600.4,615.1,967.2,421.4,968.1
IZ,566.1,147.1,689.4,864.3,248.2,973.0,171.1,324.0,142.3,518.9,911.0,942.0,659.4,1000.2,911.5,1004.6,809.9,670.8,275.1,126.0,967.3,241.4,904.3,893.0,230.1,843.1,858.6,562.4,1089.5,1010.9,598.9,985.2,1012.7,327.3,967.6,1056.6,1063.3,1103.0,532.0,207.5,140.8,1048.1,954.5,489.7,141.7,1092.5,123.4,0.0,231.8,955.6,955.5,231.9,841.0,876.0,1002.1,626.6,1004.2,729.4,742.5,312.1,395.7,119.7,630.8,1069.0,509.2,955.2,710.8,737.4,755.8,1123.3,624.3,1005.9,910.1,86.1,237.6,1051.6,610.9,1015.6,854.0,708.1,1147.9,862.0,165.9,578.4,925.0,684.0,541.3,557.8,809.7,700.2,170.7,758.6,1056.7,969.7,1169.6,613.8,946.7,1016.2,998.8,880.7,905.1,613.7,258.3,962.3,618.6,232.3,1036.1,1003.3,1050.8,582.7,1841.7,1008.8,1067.5,1008.8,684.1,290.7,1178.3,1097.1,80.7,243.9,403.7,1050.1,802.7,1109.5,1002.7,1021.3,626.4,641.1,985.0,447.4,985.9
