from_stop,AH,AJ,AO,AP,AS,BC,BN,BV,CC,CE,CI,CO,DC,DG,DL,DM,DN,DQ,EG,EP,EW,FE,FG,FI,FP,GA,GD,GF,GH,GI,GO,GS,HI,HJ,HV,HX,HZ,ID,IE,IJ,IL,IT,IV,IW,JI,JJ,JN,JQ,JU,JV,KC,KM,KN,KO,KR,KW,KZ,LM,LT,MD,ME,MM,MQ,MU,MZ,NG,NJ,NN,NP,OI,OM,OP,OV,OZ,PL,PN,PS,QB,QD,QG,QX,RA,RC,RL,RQ,RR,SA,SM,SS,SW,SY,TA,TB,TF,TG,TQ,UA,UD,UR,US,VD,VE,VK,VY,WA,WF,WK,WL,WO,WS,WT,WX,XH,XK,XP,XZ,YC,YQ,YS,YT,ZF,ZG,ZK
GD,108.0,59.3,674.0,204.0,187.1,748.9,713.8,151.3,153.9,166.4,104.8,86.9,729.0,628.3,700.5,47.6,146.8,8.1,771.2,243.5,160.4,699.5,696.8,605.8,261.6,150.5,0.0,102.6,128.4,228.1,114.9,208.6,84.7,147.4,92.2,722.6,231.6,156.6,20.2,231.6,104.5,169.5,190.6,123.3,89.8,657.2,131.4,181.7,244.6,223.5,175.7,689.5,262.5,253.4,127.9,1572.3,199.6,133.3,779.3,649.4,144.2,106.1,796.7,194.2,840.5,232.1,732.9,794.1,209.7,714.9,4.6,173.2,675.4,729.6,769.4,222.2,164.8,717.4,145.3,109.3,759.6,177.6,681.0,145.1,125.8,179.4,116.0,740.9,776.0,122.8,65.6,145.1,159.5,785.3,168.1,695.5,737.4,141.2,192.8,154.3,143.8,667.4,143.1,697.5,730.1,782.9,233.4,224.0,229.2,128.6,187.7,133.3,727.1,512.9,694.6,121.2,758.2,682.1,155.5,690.2,745.1,78.5,749.6
GF,105.3,83.9,637.4,223.4,211.7,712.3,677.2,48.6,178.5,185.8,129.4,111.5,692.4,591.7,663.9,144.0,171.4,95.0,734.6,268.1,149.2,662.9,660.2,569.2,158.9,175.1,103.5,0.0,153.0,125.4,139.5,228.0,92.3,166.8,116.8,686.0,138.7,181.2,82.4,251.0,129.1,136.7,215.2,142.7,84.4,620.6,81.9,109.3,141.9,248.1,146.3,652.9,281.9,150.7,152.5,1591.7,96.9,127.9,742.7,612.8,41.5,21.1,760.1,213.6,803.9,195.5,696.3,757.5,234.3,678.3,108.2,162.0,638.8,693.0,732.8,119.5,189.4,680.8,169.9,133.9,723.0,202.2,644.4,68.2,150.4,76.7,140.6,704.3,739.4,90.5,73.2,169.7,130.1,748.7,95.7,658.9,700.8,165.8,90.1,148.9,168.4,630.8,40.4,660.9,693.5,746.3,252.8,243.4,126.5,48.8,212.3,30.6,690.5,476.3,658.0,145.8,721.6,645.5,52.8,653.6,708.5,23.8,713.0
GH,128.9,76.8,712.5,267.3,187.4,787.4,752.3,189.8,154.2,229.7,105.1,104.4,802.4,666.8,739.0,145.1,164.3,88.9,809.7,243.8,198.9,738.0,735.3,644.3,300.1,168.0,97.4,141.1,0.0,266.6,133.1,271.9,123.2,210.7,109.7,761.1,249.1,156.9,76.3,294.9,122.0,187.0,190.9,186.6,128.3,736.1,147.8,199.2,283.1,223.6,193.2,728.0,325.8,291.9,145.4,1635.6,238.1,171.8,817.8,687.9,182.7,144.6,835.2,257.5,879.0,270.6,771.4,832.6,210.0,753.4,102.1,211.7,713.9,768.1,807.9,260.7,165.1,755.9,145.6,13.8,798.1,177.9,719.5,163.6,126.1,217.9,114.9,779.4,814.5,140.3,104.1,145.4,177.0,823.8,185.6,734.0,775.9,158.7,231.3,192.8,144.1,705.9,181.6,736.0,768.6,821.4,296.7,287.3,267.7,174.1,205.2,171.8,765.6,551.4,733.1,121.5,796.7,720.6,194.0,728.7,783.6,117.0,788.1
GI,144.8,204.5,654.3,308.3,340.9,729.2,694.1,149.2,282.8,270.7,258.6,214.0,709.3,608.6,680.8,228.9,226.5,224.2,751.5,397.3,180.7,679.8,677.1,586.1,99.6,252.8,232.7,129.1,282.2,0.0,242.0,312.9,221.5,251.7,194.5,702.9,178.2,310.4,211.6,335.9,184.2,176.2,344.4,227.6,169.3,637.5,121.4,148.8,82.6,377.3,185.8,669.8,366.8,91.4,230.2,1676.6,128.4,212.8,759.6,629.7,164.9,150.3,777.0,298.5,820.8,184.4,713.2,774.4,363.5,695.2,229.3,193.5,655.7,709.9,749.7,60.2,318.6,697.7,299.1,263.1,739.9,331.4,661.3,107.7,279.6,53.3,269.8,721.2,756.3,130.0,202.4,298.9,169.6,765.6,135.2,675.8,717.7,243.5,121.6,203.5,297.6,647.7,143.8,677.8,710.4,763.2,337.7,328.3,67.2,178.0,290.0,154.0,707.4,493.2,674.9,275.0,738.5,662.4,156.2,670.5,725.4,153.0,729.9
GO,90.7,36.7,712.3,267.1,184.4,787.2,752.1,189.6,151.2,229.5,102.1,21.4,802.2,666.6,738.8,144.9,126.1,88.7,809.5,240.8,198.7,737.8,735.1,644.1,271.2,129.8,97.2,140.9,125.7,237.7,0.0,271.7,123.0,210.5,71.5,760.9,221.6,153.9,76.1,294.7,83.8,148.8,187.9,186.4,128.1,735.9,109.6,161.0,254.2,220.8,155.0,727.8,325.6,263.0,107.2,1635.4,209.2,171.6,817.6,687.7,182.5,144.4,835.0,257.3,878.8,270.4,771.2,832.4,207.0,753.2,101.9,211.5,713.7,767.9,807.7,231.8,162.1,755.7,142.6,106.6,797.9,174.9,719.3,125.4,123.1,189.0,113.3,779.2,814.3,102.1,103.9,142.4,125.5,823.6,147.4,733.8,775.7,120.5,202.4,192.6,141.1,705.7,181.4,735.8,768.4,821.2,296.5,287.1,238.8,166.9,167.0,171.6,765.4,551.2,732.9,116.5,796.5,720.4,193.8,745.1,783.4,116.8,787.9
GS,305.0,256.3,768.4,46.0,384.1,799.9,735.2,298.3,350.9,158.6,301.8,283.9,708.6,722.7,680.1,225.0,343.8,237.9,750.8,440.5,254.8,679.1,791.2,700.2,326.5,347.5,229.8,249.6,325.4,328.6,312.6,0.0,264.7,196.6,289.2,752.6,369.9,353.6,250.0,96.4,301.5,366.5,387.6,204.5,166.0,792.0,314.2,340.5,345.1,420.3,372.7,669.1,254.7,318.3,324.9,1564.5,304.5,207.1,826.8,629.0,291.2,253.1,844.2,186.4,820.1,326.5,712.5,773.7,406.7,809.3,225.4,267.6,655.0,709.2,834.8,321.2,361.8,697.0,342.3,306.3,739.2,374.6,660.6,298.4,322.8,279.9,313.0,720.5,841.4,319.8,245.6,342.1,356.5,764.9,326.9,675.1,737.8,338.2,297.7,228.1,340.8,761.8,290.1,791.9,709.7,762.5,225.6,106.8,329.7,282.6,384.7,280.3,706.7,607.3,789.0,316.2,805.7,661.7,302.5,669.8,724.7,225.5,729.2
HI,130.4,81.7,659.4,214.2,209.5,734.3,699.2,136.7,176.3,176.6,127.2,109.3,714.4,613.7,685.9,134.8,169.2,92.8,756.6,265.9,145.8,684.9,682.2,591.2,247.0,172.9,101.3,88.0,150.8,213.5,137.3,218.8,0.0,157.6,114.6,708.0,226.8,179.0,80.2,241.8,126.9,191.9,213.0,133.5,75.2,642.6,153.8,197.4,230.0,245.9,198.1,674.9,272.7,238.8,150.3,1582.5,185.0,118.7,764.7,634.8,129.6,91.5,782.1,204.4,825.9,217.5,718.3,779.5,232.1,700.3,106.0,158.6,660.8,715.0,754.8,207.6,187.2,702.8,167.7,131.7,745.0,200.0,666.4,156.3,148.2,164.8,138.4,726.3,761.4,145.2,15.2,167.5,181.9,770.7,183.8,680.9,722.8,163.6,178.2,139.7,166.2,652.8,128.5,682.9,715.5,768.3,243.6,234.2,214.6,114.0,210.1,118.7,712.5,498.3,680.0,143.6,743.6,667.5,140.9,675.6,730.5,63.9,735.0
HJ,232.6,183.9,696.0,160.8,311.7,770.9,735.8,225.9,278.5,123.2,229.4,211.5,673.2,650.3,644.7,152.6,271.4,165.5,715.4,368.1,182.4,643.7,718.8,627.8,254.1,275.1,157.4,177.2,253.0,256.2,239.5,165.4,192.3,0.0,216.8,744.6,297.5,281.2,177.6,188.4,229.1,294.1,315.2,132.1,93.6,679.2,240.7,268.1,272.7,348.1,300.3,633.7,219.3,245.9,252.5,1529.1,232.1,134.7,801.3,593.6,218.8,180.7,818.7,151.0,784.7,254.1,677.1,738.3,334.3,736.9,153.0,195.2,619.6,673.8,791.4,248.8,289.4,661.6,269.9,233.9,703.8,302.2,625.2,227.0,250.4,207.5,240.6,685.1,798.0,247.4,173.2,269.7,284.1,729.5,254.5,639.7,702.4,265.8,225.3,155.7,268.4,689.4,217.7,719.5,674.3,727.1,190.2,180.8,257.3,203.2,312.3,207.9,671.3,534.9,716.6,245.8,780.2,626.3,230.1,634.4,689.3,153.1,693.8
HV,58.9,33.1,708.7,263.5,180.8,783.6,748.5,173.6,88.2,225.9,98.5,42.6,763.7,663.0,735.2,141.3,97.7,85.1,805.9,237.2,195.1,734.2,731.5,640.5,242.8,59.7,93.6,137.3,122.1,209.3,70.6,268.1,119.4,206.9,0.0,757.3,182.5,150.3,72.5,291.1,55.4,120.4,184.3,182.8,124.5,691.9,82.3,132.6,225.8,217.2,126.6,724.2,322.0,234.6,35.6,1631.8,180.8,168.0,814.0,684.1,178.9,140.8,831.4,253.7,875.2,266.8,767.6,828.8,203.4,749.6,98.3,207.9,710.1,764.3,804.1,203.4,158.5,752.1,139.0,103.0,794.3,171.3,715.7,96.0,119.5,160.6,109.7,775.6,810.7,73.7,100.3,138.8,110.4,820.0,119.0,730.2,772.1,48.9,174.0,189.0,137.5,702.1,168.2,732.2,764.8,817.6,292.9,283.5,210.4,163.3,95.4,168.0,761.8,547.6,729.3,114.7,792.9,716.8,180.6,724.9,779.8,113.2,784.3
HX,680.2,688.0,150.2,681.7,815.8,145.1,50.8,688.0,782.6,737.3,733.5,715.6,266.3,205.0,302.7,690.5,765.3,703.4,227.8,872.2,647.3,193.2,215.6,182.5,621.2,779.2,695.3,667.9,757.1,675.7,744.3,686.3,696.4,662.1,720.9,0.0,717.0,785.3,715.5,709.3,723.0,715.0,819.3,670.0,631.5,153.8,660.2,687.6,667.8,852.2,724.6,125.5,669.6,613.0,756.6,1897.8,651.6,672.6,175.5,153.0,703.7,684.8,192.9,765.1,261.9,621.2,275.4,322.7,838.4,111.1,690.9,660.1,167.2,77.7,165.6,615.9,793.5,90.0,774.0,738.0,210.4,806.3,301.2,645.5,754.5,627.0,744.7,182.7,172.2,668.8,677.3,773.8,708.4,313.9,674.0,146.8,14.8,769.9,644.8,693.6,772.5,244.1,682.6,93.7,350.3,282.5,804.3,701.7,661.2,714.3,816.4,692.8,93.4,294.4,90.8,747.9,154.4,302.3,695.0,99.0,91.6,657.2,189.2
HZ,97.0,160.1,716.5,355.9,307.8,783.9,748.8,161.3,238.4,310.8,225.5,169.6,798.9,663.3,743.0,268.3,182.1,219.6,806.2,364.2,220.8,734.5,731.8,640.8,230.5,208.4,220.6,141.2,256.6,197.0,205.8,360.5,233.6,291.8,150.1,765.1,0.0,284.8,207.0,376.0,139.8,131.8,311.3,267.7,209.4,740.1,78.1,42.8,213.5,344.0,141.4,724.5,406.9,222.3,185.8,1716.7,168.5,252.9,814.3,684.4,177.0,162.4,839.2,338.6,883.0,274.6,767.9,829.1,337.9,757.4,225.3,233.6,710.4,764.6,804.4,191.1,277.4,752.4,266.0,230.0,794.6,298.3,716.0,88.8,246.5,148.3,235.3,783.4,811.0,85.6,214.5,265.8,111.9,820.3,49.6,730.5,772.4,206.6,161.7,243.6,264.5,709.9,155.9,732.5,765.1,817.9,377.8,368.4,205.6,197.1,253.1,173.6,762.1,547.9,729.6,239.9,793.2,717.1,168.3,741.8,780.1,165.1,784.6
ID,192.7,140.6,776.3,331.1,199.4,851.2,816.1,253.6,51.8,293.5,117.1,168.2,831.3,730.6,802.8,208.9,228.1,152.7,873.5,223.2,262.7,801.8,799.1,708.1,363.9,199.1,161.2,204.9,172.5,330.4,196.9,335.7,187.0,274.5,139.3,824.9,312.9,0.0,140.1,358.7,185.8,250.8,202.9,250.4,192.1,799.9,212.7,263.0,346.9,235.8,257.0,791.8,389.6,355.7,103.6,1699.4,301.9,235.6,881.6,751.7,246.5,208.4,899.0,321.3,942.8,334.4,835.2,896.4,189.4,817.2,165.9,275.5,777.7,831.9,871.7,324.5,177.1,819.7,8.5,153.4,861.9,189.9,783.3,227.4,105.5,281.7,45.6,843.2,878.3,204.1,167.9,124.8,240.8,887.6,249.4,797.8,839.7,90.9,295.1,256.6,156.1,769.7,245.4,799.8,832.4,885.2,360.5,351.1,331.5,230.9,135.5,235.6,829.4,615.2,796.9,40.8,860.5,784.4,257.8,792.5,847.4,180.8,851.9
IE,91.2,39.1,653.8,208.6,166.9,728.7,693.6,131.1,133.7,171.0,84.6,66.7,708.8,608.1,680.3,68.7,126.6,12.6,751.0,223.3,140.2,679.3,676.6,585.6,241.4,130.3,21.1,82.4,108.2,207.9,95.4,213.2,64.5,152.0,72.0,702.4,211.4,136.4,0.0,236.2,84.3,149.3,170.4,127.9,69.6,677.4,110.1,161.5,224.4,203.3,155.5,669.3,267.1,233.2,107.7,1576.9,179.4,113.1,759.1,629.2,124.0,85.9,776.5,198.8,820.3,211.9,712.7,773.9,189.5,694.7,25.8,153.0,655.2,709.4,749.2,202.0,144.6,697.2,125.1,89.1,739.4,157.4,660.8,125.9,105.6,159.2,94.4,720.7,755.8,102.6,45.4,124.9,139.3,765.1,147.9,675.3,717.2,121.0,172.6,134.1,123.6,647.2,122.9,677.3,709.9,762.7,238.0,228.6,209.0,115.4,167.5,113.1,706.9,492.7,674.4,99.0,738.0,661.9,135.3,686.6,724.9,58.3,729.4
IJ,297.1,248.4,760.5,80.9,376.2,792.0,727.3,290.4,343.0,150.7,293.9,276.0,700.7,714.8,672.2,217.1,335.9,230.0,742.9,432.6,246.9,671.2,783.3,692.3,318.6,339.6,221.9,241.7,317.5,320.7,304.0,85.5,256.8,188.7,281.3,744.7,362.0,345.7,242.1,0.0,293.6,358.6,379.7,196.6,158.1,743.7,305.2,332.6,337.2,412.6,364.8,661.2,246.8,310.4,317.0,1556.6,296.6,199.2,818.9,621.1,283.3,245.2,836.3,178.5,812.2,318.6,704.6,765.8,398.8,801.4,217.5,259.7,647.1,701.3,826.9,313.3,353.9,689.1,334.4,298.4,731.3,366.7,652.7,291.5,314.9,272.0,305.1,712.6,833.5,311.9,237.7,334.2,348.6,757.0,319.0,667.2,729.9,330.3,289.8,220.2,332.9,753.9,282.2,784.0,701.8,754.6,217.7,118.9,321.8,267.7,376.8,272.4,698.8,599.4,781.1,310.3,797.8,653.8,294.6,661.9,716.8,217.6,721.3
IL,28.1,64.9,690.5,295.3,212.6,765.4,730.3,142.8,143.2,257.7,130.3,74.4,745.5,644.8,717.0,173.1,42.2,116.9,787.7,269.0,202.3,716.0,713.3,622.3,212.0,113.2,125.4,122.7,153.9,178.5,102.4,299.9,151.2,238.7,54.9,739.1,151.7,182.1,104.3,322.9,0.0,89.6,216.1,214.6,156.3,673.7,51.5,101.8,195.0,249.0,95.8,706.0,353.8,203.8,90.6,1663.6,150.0,199.8,795.8,665.9,158.5,143.9,813.2,285.5,857.0,248.6,749.4,810.6,235.2,731.4,130.1,215.1,691.9,746.1,785.9,172.6,190.3,733.9,170.8,134.8,776.1,203.1,697.5,65.2,151.3,129.8,141.5,757.4,792.5,42.9,132.1,170.6,79.6,801.8,88.2,712.0,753.9,103.9,143.2,220.8,169.3,683.9,137.4,714.0,746.6,799.4,324.7,315.3,179.6,171.6,150.4,147.6,743.6,529.4,711.1,146.7,774.7,698.6,149.8,706.7,761.6,145.0,766.1
IT,51.3,114.4,667.0,306.4,262.1,741.9,706.8,119.3,192.7,268.8,179.8,123.9,722.0,621.3,693.5,222.6,136.4,166.4,764.2,318.5,178.8,692.5,689.8,598.8,188.5,162.7,174.9,99.2,203.4,155.0,152.6,311.0,191.6,249.8,104.4,715.6,128.2,231.6,153.8,334.0,94.1,0.0,265.6,225.7,167.4,690.6,26.9,78.3,171.5,298.5,95.7,682.5,364.9,180.3,140.1,1674.7,126.5,210.9,772.3,642.4,135.0,120.4,789.7,296.6,833.5,225.1,725.9,787.1,284.7,707.9,179.6,191.6,668.4,722.6,762.4,149.1,231.7,710.4,220.3,184.3,752.6,252.6,674.0,42.7,200.8,106.3,189.6,733.9,769.0,39.9,172.5,220.1,66.2,778.3,64.7,688.5,730.4,153.4,119.7,201.6,218.8,660.4,113.9,690.5,723.1,775.9,335.8,326.4,156.1,155.1,199.9,124.1,720.1,505.9,687.6,194.2,751.2,675.1,126.3,683.2,738.1,123.1,742.6
IV,198.9,150.2,785.9,340.7,118.8,860.8,825.7,263.2,195.8,303.1,86.8,177.8,840.9,740.2,812.4,218.5,237.7,162.3,883.1,285.4,272.3,811.4,808.7,717.7,373.5,241.4,170.8,214.5,182.1,340.0,205.8,345.3,196.6,284.1,183.1,834.5,322.5,198.5,149.7,368.3,195.4,260.4,0.0,260.0,201.7,769.1,222.3,272.6,356.5,32.8,266.6,801.4,399.2,365.3,218.8,1709.0,311.5,245.2,891.2,761.3,256.1,218.0,908.6,330.9,952.4,344.0,844.8,906.0,251.6,826.8,175.5,285.1,787.3,841.5,881.3,334.1,28.9,829.3,187.2,163.0,871.5,64.3,792.9,236.0,167.7,291.3,157.9,852.8,887.9,213.7,177.5,187.0,250.4,897.2,259.0,807.4,849.3,232.1,304.7,266.2,75.5,779.3,255.0,809.4,842.0,894.8,370.1,360.7,341.1,240.5,278.6,245.2,839.0,624.8,806.5,163.1,870.1,794.0,267.4,802.1,857.0,190.4,861.5
IW,201.3,152.6,664.7,161.5,280.4,739.6,704.5,194.6,247.2,123.9,198.1,180.2,673.9,619.0,645.4,121.3,240.1,134.2,716.1,336.8,151.1,644.4,687.5,596.5,222.8,243.8,126.1,145.9,221.7,224.9,208.2,166.1,161.0,104.9,185.5,713.3,266.2,249.9,146.3,189.1,197.8,262.8,283.9,0.0,62.3,647.9,209.4,236.8,241.4,316.8,269.0,634.4,220.0,214.6,221.2,1529.8,200.8,103.4,770.0,594.3,187.5,149.4,787.4,151.7,785.4,222.8,677.8,739.0,303.0,705.6,121.7,163.9,620.3,674.5,760.1,217.5,258.1,662.3,238.6,202.6,704.5,270.9,625.9,195.7,219.1,176.2,209.3,685.8,766.7,216.1,141.9,238.4,252.8,730.2,223.2,640.4,728.1,234.5,194.0,124.4,237.1,658.1,186.4,688.2,675.0,727.8,190.9,181.5,226.0,171.9,281.0,176.6,672.0,503.6,685.3,214.5,748.9,627.0,198.8,635.1,690.0,121.8,694.5
JI,138.9,90.2,602.3,138.9,218.0,677.2,642.1,132.2,184.8,101.3,135.7,117.8,657.3,556.6,628.8,59.5,177.7,72.4,699.5,274.4,88.7,627.8,625.1,534.1,160.4,181.4,64.3,83.5,159.3,162.5,146.5,143.5,98.6,82.3,123.1,650.9,203.8,187.5,84.5,166.5,135.4,200.4,221.5,58.2,0.0,625.9,147.0,174.4,179.0,254.2,206.6,617.8,197.4,152.2,158.8,1507.2,138.4,41.0,707.6,577.7,125.1,87.0,725.0,129.1,768.8,160.4,661.2,722.4,240.6,643.2,59.9,101.5,603.7,657.9,697.7,155.1,195.7,645.7,176.2,140.2,687.9,208.5,609.3,132.3,156.7,113.8,146.9,669.2,704.3,153.7,79.5,176.0,177.1,713.6,160.8,623.8,665.7,172.1,131.6,62.0,174.7,595.7,124.0,625.8,658.4,711.2,168.3,158.9,163.6,109.5,218.6,114.2,655.4,441.2,622.9,150.1,686.5,610.4,136.4,635.1,673.4,59.4,677.9
JJ,647.5,655.3,50.9,649.0,783.1,260.5,108.7,655.3,749.9,704.6,700.8,682.9,356.3,295.8,309.8,657.8,732.6,670.7,343.2,839.5,614.6,326.8,116.3,273.3,588.5,746.5,662.6,635.2,724.4,643.0,711.6,653.6,663.7,629.4,688.2,178.2,684.3,752.6,682.8,676.6,690.3,682.3,786.6,637.3,598.8,0.0,627.5,654.9,635.1,819.5,691.9,213.7,636.9,580.3,723.9,1865.1,618.9,639.9,290.9,207.5,671.0,652.1,308.3,732.4,377.3,588.5,360.2,421.4,805.7,226.5,658.2,627.4,255.4,170.4,281.0,583.2,752.7,143.0,741.3,705.3,325.8,773.6,308.3,612.8,721.8,594.3,710.6,298.1,287.6,636.1,644.6,741.1,675.7,412.6,641.3,223.7,163.4,737.2,612.1,660.9,739.8,334.9,649.9,209.1,357.4,410.2,771.6,669.0,628.5,674.6,783.7,660.1,185.2,230.7,206.2,715.2,269.8,309.4,662.3,187.2,179.8,624.5,304.6
JN,19.9,83.0,640.0,278.3,230.7,713.8,678.7,91.2,161.3,240.7,148.4,92.5,728.8,593.2,665.4,191.2,105.0,133.9,736.1,287.1,150.7,664.4,661.7,570.7,160.4,131.3,143.5,71.1,170.9,126.9,121.2,282.9,163.5,221.7,73.0,688.6,110.8,200.2,121.3,305.9,62.7,53.6,234.2,197.6,139.3,662.5,0.0,50.2,143.4,266.9,64.3,654.4,336.8,152.2,108.7,1646.6,98.4,182.8,744.2,614.3,106.9,92.3,761.6,268.5,805.4,197.0,697.8,759.0,252.2,680.9,148.2,163.5,640.3,694.5,734.3,121.0,200.3,682.3,188.9,152.9,724.5,221.2,645.9,15.7,169.4,78.2,158.2,705.8,740.9,8.5,144.4,187.6,34.8,750.2,36.6,660.4,702.3,120.9,91.6,173.5,186.3,632.3,85.8,662.4,695.0,747.8,307.7,298.3,128.0,127.0,168.5,96.0,692.0,477.8,659.5,162.8,723.1,647.0,98.2,671.7,710.0,95.0,714.5
JQ,65.0,124.7,677.7,317.1,272.4,752.6,717.5,130.0,203.0,279.5,190.1,134.2,732.7,632.0,704.2,232.9,146.7,176.7,774.9,328.8,189.5,703.2,700.5,609.5,199.2,173.0,185.2,109.9,213.7,165.7,162.9,321.7,202.3,260.5,114.7,726.3,49.8,241.9,164.1,344.7,104.4,96.4,275.9,236.4,178.1,701.3,41.6,0.0,182.2,308.8,106.0,693.2,375.6,191.0,150.4,1685.4,137.2,221.6,783.0,653.1,145.7,131.1,800.4,307.3,844.2,235.8,736.6,797.8,295.0,718.6,189.9,202.3,679.1,733.3,773.1,159.8,250.1,721.1,230.6,194.6,763.3,262.9,684.7,53.4,211.1,117.0,201.3,744.6,779.7,50.2,183.2,230.4,89.8,789.0,14.2,699.2,741.1,163.7,130.4,212.3,229.1,671.1,124.6,701.2,733.8,786.6,346.5,337.1,166.8,165.8,210.2,134.8,730.8,516.6,698.3,204.5,761.9,685.8,137.0,693.9,748.8,133.8,753.3
JU,162.3,222.0,661.2,325.8,358.4,736.1,701.0,166.7,300.3,288.2,276.1,231.5,716.2,615.5,687.7,246.4,244.0,241.7,758.4,414.8,198.2,686.7,684.0,593.0,106.5,270.3,250.2,146.6,299.7,103.6,259.5,330.4,239.0,269.2,212.0,709.8,195.7,327.9,229.1,353.4,201.7,193.7,361.9,245.1,186.8,644.4,138.9,166.3,0.0,394.8,203.3,676.7,384.3,98.3,247.7,1694.1,145.9,230.3,766.5,636.6,182.4,167.8,783.9,316.0,827.7,191.3,720.1,781.3,381.0,702.1,246.8,211.0,662.6,716.8,756.6,67.1,336.1,704.6,316.6,280.6,746.8,348.9,668.2,125.2,297.1,70.8,287.3,728.1,763.2,147.5,219.9,316.4,187.1,772.5,152.7,682.7,724.6,261.0,139.1,221.0,315.1,654.6,161.3,684.7,717.3,770.1,355.2,345.8,62.9,195.5,307.5,171.5,714.3,500.1,681.8,292.5,745.4,669.3,173.7,677.4,732.3,170.5,736.8
JV,233.2,181.1,816.8,371.4,149.7,891.7,856.6,294.1,226.7,334.0,117.7,208.7,906.7,771.1,843.1,249.4,268.6,193.2,914.0,316.3,303.2,842.3,839.6,748.6,404.4,272.3,201.7,245.4,212.8,370.9,237.2,376.2,227.5,315.0,214.0,865.4,364.1,229.2,180.4,399.2,226.3,291.3,30.8,290.9,232.4,840.2,252.1,303.3,387.4,0.0,297.5,832.3,430.1,396.2,249.7,1739.9,342.4,275.9,922.1,792.2,287.0,248.7,939.5,361.8,983.1,374.7,875.7,936.9,282.5,857.5,206.4,315.8,818.2,872.4,912.2,365.0,68.0,860.2,218.1,193.9,902.4,95.2,823.8,267.7,198.6,322.2,187.4,883.5,918.8,244.6,208.4,217.9,268.0,928.1,289.9,838.3,880.2,262.8,335.4,297.1,106.4,810.2,285.9,840.3,872.9,925.7,401.0,391.6,371.8,278.4,309.3,275.9,869.9,655.7,837.4,192.0,901.0,824.9,298.3,849.6,887.9,221.3,892.4
KC,38.7,98.4,694.4,328.8,246.1,769.3,734.2,146.7,176.7,291.2,163.8,107.9,749.4,648.7,720.9,206.6,120.4,150.4,791.6,302.5,206.2,719.9,717.2,626.2,215.9,146.7,158.9,126.6,187.4,182.4,135.9,333.4,184.7,272.2,88.4,743.0,155.6,215.6,137.8,356.4,78.1,93.5,249.6,248.1,189.8,677.6,55.4,105.7,198.9,282.5,0.0,709.9,387.3,207.7,124.1,1697.1,153.9,233.3,799.7,669.8,162.4,147.8,817.1,319.0,860.9,252.5,753.3,814.5,268.7,735.3,163.6,219.0,695.8,750.0,789.8,176.5,223.8,737.8,204.3,168.3,780.0,236.6,701.4,69.1,184.8,133.7,175.0,761.3,796.4,46.8,165.6,204.1,9.4,805.7,92.1,715.9,757.8,137.4,147.1,229.0,202.8,687.8,141.3,717.9,750.5,803.3,358.2,348.8,183.5,175.5,183.9,151.5,747.5,533.3,715.0,180.2,778.6,702.5,153.7,710.6,765.5,150.5,770.0
KM,737.8,677.8,207.1,637.7,805.6,264.5,128.4,742.2,772.4,608.7,723.3,705.4,214.1,289.5,217.6,646.5,765.3,659.4,256.3,862.0,701.5,184.6,272.5,267.0,675.4,769.0,651.3,671.1,746.9,729.9,733.4,642.3,686.2,618.1,710.7,145.8,771.2,775.1,671.5,665.3,723.0,769.2,809.1,626.0,587.5,162.5,714.4,741.8,722.0,842.0,778.8,0.0,625.6,667.2,746.4,1853.8,705.8,628.6,294.9,67.9,712.7,674.6,312.3,636.5,325.6,675.4,218.0,290.5,828.2,230.5,646.9,714.3,68.3,102.4,285.0,670.1,783.3,90.2,763.8,727.8,274.3,796.1,199.3,700.7,744.3,681.2,734.5,226.0,291.6,723.0,667.1,763.6,762.6,281.7,728.2,61.7,131.0,759.7,699.0,649.6,762.3,328.6,736.8,213.1,248.4,268.0,675.7,657.7,715.4,697.1,806.2,701.8,99.9,321.5,210.2,739.7,273.8,200.4,749.2,63.0,117.9,647.0,234.7
KN,393.5,344.8,711.3,304.7,472.6,810.6,745.9,386.8,439.4,275.7,390.3,372.4,719.3,665.6,690.8,313.5,432.3,326.4,761.5,529.0,343.3,689.8,734.1,643.1,415.0,436.0,318.3,338.1,413.9,417.1,400.4,309.3,353.2,285.1,377.7,763.3,458.4,442.1,338.5,332.3,390.0,455.0,476.1,293.0,254.5,694.5,401.6,429.0,433.6,509.0,461.2,679.8,0.0,406.8,413.4,1575.2,393.0,295.6,837.5,639.7,379.7,341.6,854.9,303.5,830.8,415.0,723.2,784.4,495.2,803.7,313.9,356.1,665.7,719.9,845.5,409.7,450.3,707.7,430.8,394.8,749.9,463.1,671.3,387.9,411.3,368.4,401.5,731.2,852.1,408.3,334.1,430.6,445.0,775.6,415.4,685.8,748.5,426.7,386.2,316.6,429.3,704.7,378.6,734.8,720.4,773.2,342.7,324.7,418.2,364.1,473.2,368.8,717.4,550.2,731.9,406.7,816.4,672.4,391.0,680.5,735.4,314.0,739.9
