from_stop,AE,AG,AJ,AM,AR,AT,AW,BA,BR,CF,CG,CN,CP,CR,CS,CT,CW,CX,DA,DF,DG,DH,DI,DJ,DL,DN,DO,DQ,DU,DZ,EG,EI,EK,EM,ET,EV,FA,FG,FP,FU,FW,GD,GQ,GR,GT,GU,GV,HE,HH,HK,HO,HZ,IA,IF,IN,IO,IV,IW,IY,JA,JD,JG,JR,JU,JW,KE,KG,KH,KJ,KK,KO,KQ,KU,KW,KZ,LE,LK,LX,MB,MG,MM,MP,MT,MW,NF,NL,NS,NW,NZ,OA,OC,OE,OG,OH,OJ,OO,OT,OU,OW,PB,PG,PM,PO,PR,PT,PW,QC,QD,QI,QN,QT,QU,QV,RB,RI,RO,RT,RY,RZ,SA,ST,SX,TC,TE,TL,TT,TZ,UD,UF,UG,UI,UM,UN,UP,UZ,VA,VJ,VM,VW,VX,VZ,WH,WJ,WZ,XD,XE,XI,XN,XO,XS,XY,YA,YG,YH,YP,YV,ZB,ZG,ZI,ZN,ZR,ZS,ZT
EG,329.7,216.6,153.7,692.2,325.3,261.6,418.9,126.4,611.8,568.7,470.3,553.1,488.1,315.3,312.7,242.9,338.0,480.8,485.5,256.7,728.8,387.6,401.6,306.8,456.2,495.8,230.3,310.7,337.5,1860.8,0.0,317.6,477.8,212.2,332.3,391.4,402.0,709.3,379.1,651.4,211.6,415.5,100.7,263.4,504.1,664.6,278.8,437.8,368.2,358.2,543.5,178.6,376.9,267.5,493.7,429.9,337.7,75.0,435.7,269.9,290.3,422.7,386.0,348.6,359.3,278.8,309.8,405.1,170.2,333.4,488.1,290.1,465.9,590.8,640.1,12.5,412.3,680.0,194.3,301.6,170.6,406.6,368.4,259.4,491.7,241.4,708.5,197.3,350.9,222.5,95.4,551.2,497.5,248.7,416.3,77.5,112.2,508.6,231.9,445.0,418.4,448.1,369.8,96.2,288.6,527.0,584.5,299.5,309.4,331.1,303.5,698.2,384.9,297.3,701.3,711.9,364.5,321.5,537.1,90.4,705.0,369.3,376.9,437.1,400.8,372.1,678.2,704.5,380.8,468.2,295.6,78.7,150.0,346.5,459.8,211.3,491.5,268.2,445.5,352.6,81.4,339.3,318.1,368.0,353.5,114.3,464.5,449.4,230.7,271.8,271.6,674.9,332.4,342.4,592.5,512.9,659.3,189.5,603.0,268.4,269.4,474.5,75.0
EI,228.3,457.8,354.2,834.5,241.9,502.8,183.4,257.9,853.0,809.9,234.8,794.3,252.6,61.8,190.2,74.0,234.6,245.3,250.0,173.3,919.8,286.2,300.2,446.1,220.7,737.0,114.9,207.3,199.8,1962.0,316.5,0.0,719.0,351.5,169.6,290.0,300.6,810.5,165.0,892.6,452.8,314.1,318.5,402.7,268.6,765.8,197.9,202.3,230.5,244.8,784.7,317.9,145.0,508.7,258.2,328.5,578.9,260.1,676.9,186.5,531.5,663.9,150.5,210.9,275.9,165.7,208.4,204.4,309.5,250.2,252.6,429.4,230.4,832.0,866.6,329.1,653.5,781.2,389.3,163.9,309.9,305.2,267.0,176.0,256.2,75.5,899.5,372.7,150.3,361.8,313.2,792.4,262.0,489.9,314.9,229.5,392.1,273.1,473.1,686.2,317.0,212.6,286.4,323.1,427.9,291.5,825.7,540.7,226.0,95.6,220.1,889.2,149.4,213.9,892.3,922.9,129.0,88.8,638.3,219.8,806.2,165.9,275.5,335.7,165.3,136.6,889.2,915.5,279.4,232.7,212.2,358.6,357.9,245.1,701.0,350.6,732.7,184.8,686.7,491.9,263.8,237.9,234.7,132.5,594.7,374.4,229.0,213.9,144.4,158.7,188.2,865.9,96.9,106.9,833.7,277.4,760.5,328.8,844.2,407.7,408.7,239.0,268.6
EK,773.1,367.3,377.5,405.4,768.7,297.0,862.3,542.9,289.4,281.9,913.7,266.3,931.5,758.7,756.1,686.3,781.4,924.2,928.9,700.1,442.0,831.0,845.0,571.7,899.6,173.4,673.7,754.1,780.9,2254.8,460.0,761.0,0.0,477.1,775.7,834.8,845.4,483.3,822.5,364.6,362.3,858.9,544.1,528.3,947.5,458.6,722.2,881.2,811.6,801.6,221.1,470.1,820.3,233.3,937.1,873.3,286.1,518.4,73.7,713.3,187.9,45.0,829.4,792.0,802.7,722.2,753.2,848.5,461.7,776.8,931.5,555.0,909.3,304.0,353.3,472.6,89.9,499.1,418.1,745.0,549.9,850.0,811.8,702.8,935.1,684.8,421.7,421.1,794.3,487.4,538.8,228.8,940.9,399.4,859.7,520.9,368.3,952.0,348.6,144.7,861.8,891.5,813.2,539.6,553.5,970.4,297.7,178.3,752.8,774.5,746.9,411.4,828.3,740.7,414.5,425.1,807.9,764.9,636.6,533.8,524.1,812.7,820.3,880.5,844.2,815.5,391.4,417.7,824.2,911.6,739.0,403.2,373.8,789.9,173.0,469.6,169.1,711.6,123.1,617.5,524.8,782.7,761.5,811.4,124.2,406.7,907.9,892.8,674.1,715.2,715.0,388.1,775.8,785.8,270.1,956.3,498.8,504.0,316.2,533.3,534.3,917.9,511.2
EM,400.7,184.4,80.8,660.0,396.3,229.4,489.9,163.9,579.6,536.5,541.3,520.9,559.1,386.3,383.7,313.9,409.0,551.8,556.5,327.7,696.6,458.6,472.6,143.9,527.2,463.6,301.3,381.7,408.5,1961.0,204.8,388.6,445.6,0.0,403.3,462.4,473.0,737.9,450.1,619.2,179.4,486.5,245.1,100.5,575.1,713.2,349.8,508.8,439.2,429.2,511.3,91.1,447.9,235.3,564.7,500.9,305.5,219.4,403.5,340.9,258.1,390.5,457.0,419.6,430.3,349.8,380.8,476.1,82.7,404.4,559.1,127.2,536.9,558.6,607.9,217.4,380.1,753.7,115.9,372.6,170.9,477.6,439.4,330.4,562.7,312.4,676.3,99.3,421.9,59.6,239.8,519.0,568.5,216.5,487.3,210.1,129.4,579.6,199.7,412.8,489.4,519.1,440.8,186.7,125.7,598.0,552.3,267.3,380.4,402.1,374.5,666.0,455.9,368.3,669.1,679.7,435.5,392.5,637.3,218.8,778.7,440.3,447.9,508.1,471.8,443.1,646.0,672.3,451.8,539.2,366.6,148.0,84.5,417.5,427.6,90.6,459.3,339.2,413.3,189.7,149.8,410.3,389.1,439.0,321.3,101.0,535.5,520.4,301.7,342.8,342.6,642.7,403.4,413.4,560.3,583.9,759.5,125.0,570.8,105.5,106.5,545.5,132.2
ET,250.4,461.9,358.3,838.6,197.9,506.9,114.1,262.0,857.1,814.0,165.5,798.4,183.3,161.1,20.5,155.3,139.7,176.0,180.7,135.9,923.9,308.3,322.3,450.2,167.1,741.1,191.0,124.4,100.5,1966.1,320.6,183.4,723.1,355.6,0.0,312.1,322.7,814.6,46.7,896.7,456.9,336.2,322.6,406.8,199.3,769.9,115.0,133.0,131.2,145.5,788.8,322.0,62.5,512.8,188.9,350.6,583.0,264.2,681.0,129.1,535.6,668.0,157.2,111.6,218.5,54.3,230.5,72.7,313.6,165.2,183.3,433.5,161.1,836.1,870.7,333.2,657.6,785.3,393.4,64.6,314.0,327.3,289.1,115.6,186.9,156.8,903.6,376.8,18.5,365.9,317.3,796.5,208.4,494.0,337.0,233.6,396.2,219.5,477.2,690.3,339.1,143.3,229.0,327.2,432.0,222.2,829.8,544.8,164.1,167.8,162.7,893.3,156.1,156.5,896.4,927.0,158.9,152.5,642.4,223.9,810.3,36.9,297.6,357.8,135.6,106.9,893.3,919.6,301.5,163.4,158.9,362.7,362.0,267.2,705.1,354.7,736.8,124.4,690.8,496.0,267.9,260.0,177.3,139.2,598.8,378.5,159.7,144.6,136.0,61.5,127.8,870.0,130.0,136.8,837.8,208.1,764.6,332.9,848.3,411.8,412.8,169.7,272.7
EV,65.8,513.3,409.7,772.6,317.4,558.3,393.0,313.4,908.5,865.4,444.4,849.8,462.2,289.4,304.8,217.0,330.1,454.9,459.6,248.8,799.6,59.4,73.4,501.6,430.3,792.5,224.4,302.8,329.6,2017.5,372.0,291.7,774.5,407.0,324.4,0.0,44.9,866.0,374.6,948.1,508.3,63.8,374.0,458.2,478.2,821.3,270.9,411.9,360.3,350.3,840.2,373.4,354.6,564.2,467.8,38.4,634.4,315.6,732.4,262.0,587.0,719.4,360.1,340.7,351.4,270.9,137.1,408.2,365.0,325.5,462.2,484.9,440.0,887.5,764.4,384.6,709.0,836.7,444.8,293.7,365.4,15.1,95.2,251.5,465.8,215.5,779.3,428.2,359.9,417.3,368.7,847.9,471.6,545.4,36.6,285.0,447.6,482.7,528.6,741.7,28.5,422.2,361.9,378.6,483.4,501.1,881.2,596.2,301.5,305.2,295.6,769.0,359.0,289.4,772.1,773.1,338.6,295.6,693.8,275.3,861.7,375.5,14.4,45.6,374.9,346.2,739.4,765.7,86.9,442.3,287.7,414.1,413.4,82.6,756.5,406.1,788.2,260.3,742.2,547.4,319.3,52.0,310.2,342.1,650.2,429.9,438.6,423.5,222.8,263.9,263.7,745.7,306.5,316.5,889.2,487.0,816.0,384.3,899.7,463.2,464.2,448.6,324.1
FA,110.8,535.7,432.1,817.6,339.8,580.7,415.4,335.8,930.9,887.8,466.8,872.2,484.6,311.8,327.2,239.4,352.5,477.3,482.0,271.2,844.6,104.4,116.3,524.0,452.7,814.9,246.8,325.2,352.0,2039.9,394.4,314.1,796.9,429.4,346.8,44.9,0.0,888.4,397.0,970.5,530.7,81.7,396.4,480.6,500.6,843.7,293.3,434.3,382.7,372.7,862.6,395.8,377.0,586.6,490.2,56.3,656.8,338.0,754.8,284.4,609.4,741.8,382.5,363.1,373.8,293.3,92.1,436.4,387.4,347.9,484.6,507.3,462.4,909.9,809.4,407.0,731.4,859.1,467.2,316.1,387.8,29.7,113.1,273.9,488.2,237.9,824.3,450.6,382.3,439.7,391.1,870.3,494.0,567.8,78.5,307.4,470.0,505.1,551.0,764.1,16.3,444.6,384.3,401.0,505.8,523.5,903.6,618.6,323.9,327.6,318.0,814.0,381.4,311.8,817.1,818.1,361.0,318.0,716.2,297.7,884.1,397.9,59.4,63.5,397.3,368.6,784.4,810.7,104.8,464.7,310.1,436.5,435.8,127.6,778.9,428.5,810.6,282.7,764.6,569.8,341.7,97.0,332.6,364.5,672.6,452.3,461.0,445.9,245.2,286.3,286.1,790.7,328.9,338.9,911.6,509.4,838.4,406.7,922.1,485.6,486.6,471.0,346.5
FG,726.8,638.2,648.4,49.4,823.6,567.9,917.2,813.8,262.3,268.6,968.6,253.0,986.4,813.6,811.0,741.2,836.3,979.1,983.8,755.0,169.8,784.7,798.7,842.6,954.5,359.5,728.6,809.0,835.8,1822.7,730.9,815.9,481.9,748.0,830.6,788.5,834.7,0.0,877.4,205.4,633.2,812.6,710.4,799.2,1002.4,117.7,777.1,936.1,866.5,856.5,328.7,741.0,875.2,504.2,992.0,827.0,557.0,652.0,439.8,768.2,458.8,426.8,884.3,846.9,857.6,777.1,742.5,897.6,732.6,831.7,986.4,825.9,964.2,233.7,116.6,743.5,389.8,158.2,689.0,799.9,820.8,803.7,765.5,757.7,990.0,739.7,149.5,692.0,849.2,758.3,705.1,336.4,995.8,670.3,813.4,649.1,639.2,1006.9,619.5,383.8,851.1,946.4,868.1,810.5,824.4,1025.3,173.0,449.2,807.7,829.4,801.8,139.2,883.2,795.6,142.3,168.5,862.8,819.8,204.5,639.4,183.2,867.6,774.0,834.2,899.1,870.4,134.8,161.1,777.9,966.5,793.9,674.1,644.7,743.6,340.8,740.5,309.2,766.5,424.2,888.4,702.3,736.4,816.4,866.3,395.1,677.6,962.8,947.7,729.0,770.1,769.9,115.9,830.7,840.7,243.0,1011.2,157.9,774.9,154.3,804.2,805.2,972.8,782.1
FP,292.4,503.9,400.3,880.6,239.9,548.9,115.4,304.0,899.1,856.0,166.8,840.4,184.6,161.3,82.5,155.5,181.7,177.3,182.0,177.9,965.9,350.3,364.3,492.2,168.4,783.1,196.4,166.4,142.5,2008.1,362.6,183.6,765.1,397.6,61.9,354.1,364.7,856.6,0.0,938.7,498.9,378.2,364.6,448.8,200.6,811.9,157.0,134.3,173.2,187.5,830.8,364.0,15.7,554.8,190.2,392.6,625.0,306.2,723.0,171.1,577.6,710.0,158.5,153.6,260.5,96.3,272.5,96.7,355.6,207.2,184.6,475.5,162.4,878.1,912.7,375.2,699.6,827.3,435.4,106.6,356.0,369.3,331.1,157.6,188.2,157.0,945.6,418.8,42.6,407.9,359.3,838.5,209.7,536.0,379.0,275.6,438.2,220.8,519.2,732.3,381.1,144.6,271.0,369.2,474.0,223.5,871.8,586.8,206.1,168.0,204.7,935.3,157.4,198.5,938.4,969.0,159.1,152.7,684.4,265.9,852.3,12.3,339.6,399.8,136.9,108.2,935.3,961.6,343.5,164.7,200.9,404.7,404.0,309.2,747.1,396.7,778.8,166.4,732.8,538.0,309.9,302.0,219.3,140.5,640.8,420.5,161.0,145.9,178.0,103.5,169.8,912.0,130.2,137.0,879.8,209.4,806.6,374.9,890.3,453.8,454.8,171.0,314.7
FU,763.9,555.3,565.5,143.3,931.2,485.0,1006.8,730.9,179.4,185.7,1058.2,170.1,1076.0,903.2,918.6,830.8,943.9,1068.7,1073.4,862.6,179.9,821.8,835.8,759.7,1044.1,276.6,838.2,916.6,943.4,1992.7,648.0,905.5,399.0,665.1,938.2,825.6,871.8,221.2,988.4,0.0,550.3,849.7,732.1,716.3,1092.0,196.5,884.7,1025.7,974.1,964.1,245.8,658.1,968.4,421.3,1081.6,864.1,474.1,706.4,356.9,875.8,375.9,343.9,973.9,954.5,965.2,884.7,779.6,1027.8,649.7,939.3,1076.0,743.0,1053.8,150.8,91.2,660.6,306.9,237.0,606.1,907.5,737.9,840.8,802.6,865.3,1079.6,829.3,159.6,609.1,973.7,675.4,726.8,253.5,1085.4,587.4,850.5,708.9,556.3,1096.5,536.6,300.9,888.2,1036.0,975.7,727.6,741.5,1114.9,90.1,366.3,915.3,919.0,909.4,149.3,972.8,903.2,152.4,163.0,952.4,909.4,374.5,721.8,262.0,989.3,811.1,871.3,988.7,960.0,129.3,155.6,815.0,1056.1,901.5,591.2,561.8,780.7,257.9,657.6,226.3,874.1,341.3,805.5,712.8,773.5,924.0,955.9,312.2,594.7,1052.4,1037.3,836.6,877.7,877.5,126.0,920.3,930.3,160.1,1100.8,236.7,692.0,71.4,721.3,722.3,1062.4,699.2
FW,507.3,20.4,106.8,552.2,498.0,121.6,591.6,272.2,471.8,428.7,643.0,413.1,660.8,488.0,485.4,415.6,510.7,653.5,658.2,429.4,588.8,560.3,574.7,301.0,628.9,355.8,403.0,483.4,510.2,2033.5,189.3,490.3,337.8,206.4,505.0,564.1,574.7,630.1,551.8,511.4,0.0,588.2,273.4,257.6,676.8,600.9,451.5,610.5,540.9,530.9,403.5,211.3,549.6,127.5,666.4,602.6,197.7,247.7,295.7,442.6,150.3,282.7,558.7,521.3,532.0,451.5,482.5,577.8,191.0,496.1,660.8,284.3,638.6,450.8,500.1,208.2,272.3,645.9,147.4,474.3,279.2,579.3,541.1,432.1,664.4,432.1,568.5,150.4,523.6,216.7,268.1,411.2,668.5,52.5,589.0,250.2,97.6,681.3,96.5,305.0,591.1,620.8,538.1,268.9,282.8,699.7,444.5,159.5,482.1,503.8,476.2,558.2,557.6,470.0,561.3,571.9,537.2,494.2,709.8,263.1,670.9,542.0,549.6,609.8,573.5,544.8,538.2,564.5,553.5,640.9,468.3,132.5,123.4,519.2,319.8,192.3,351.5,440.9,305.5,346.8,254.1,512.0,490.8,540.7,213.5,136.0,637.2,622.1,403.4,444.5,444.3,534.9,505.1,515.1,452.5,685.6,645.6,233.3,463.0,262.6,263.6,647.2,240.5
GD,57.1,534.8,431.2,794.1,338.9,579.8,414.5,334.9,930.0,886.9,465.9,871.3,483.7,310.9,326.3,238.5,351.6,476.4,481.1,270.3,821.1,116.9,130.9,523.1,451.8,814.0,245.9,324.3,351.1,2039.0,393.5,313.2,796.0,428.5,345.9,94.2,92.1,887.5,396.1,969.6,529.8,0.0,395.5,479.7,499.7,842.8,292.4,433.4,381.8,371.8,861.7,394.9,376.1,585.7,489.3,38.1,655.9,337.1,753.9,283.5,608.5,740.9,381.6,362.2,372.9,292.4,184.3,435.5,386.5,347.0,483.7,506.4,461.5,909.0,785.9,406.1,730.5,858.2,466.3,315.2,386.9,79.0,31.3,273.0,487.3,237.0,800.8,449.7,381.4,438.8,390.2,869.4,493.1,566.9,127.8,306.5,469.1,504.2,550.1,763.2,75.7,443.7,383.4,400.1,504.9,522.6,902.7,617.7,323.0,326.7,317.1,790.5,380.5,310.9,793.6,794.6,360.1,317.1,715.3,296.8,883.2,397.0,106.2,27.2,396.4,367.7,760.9,787.2,23.1,463.8,309.2,435.6,434.9,45.9,778.0,427.6,809.7,281.8,763.7,568.9,340.8,68.6,331.7,363.6,671.7,451.4,460.1,445.0,244.3,285.4,285.2,767.2,328.0,338.0,910.7,508.5,837.5,405.8,921.2,484.7,485.7,470.1,345.6
GQ,325.2,306.7,243.8,703.6,320.8,351.7,414.4,149.7,701.9,658.8,465.8,643.2,483.6,310.8,308.2,238.4,333.5,476.3,481.0,252.2,788.9,383.1,397.1,355.9,451.7,585.9,225.8,306.2,333.0,1831.1,126.7,313.1,567.9,261.3,327.8,386.9,397.5,679.6,374.6,741.5,301.7,411.0,0.0,312.5,499.6,634.9,274.3,433.3,363.7,353.7,633.6,227.7,372.4,357.6,489.2,425.4,427.8,45.3,525.8,265.4,380.4,512.8,381.5,344.1,354.8,274.3,305.3,400.6,219.3,328.9,483.6,339.2,461.4,680.9,730.2,139.3,502.4,650.3,284.4,297.1,219.7,402.1,363.9,254.9,487.2,236.9,768.6,282.5,346.4,271.6,41.1,641.3,493.0,338.8,411.8,100.8,202.3,504.1,322.0,535.1,413.9,443.6,365.3,150.3,337.7,522.5,674.6,389.6,304.9,326.6,299.0,758.3,380.4,292.8,761.4,802.0,360.0,317.0,507.4,113.7,675.3,364.8,372.4,432.6,396.3,367.6,768.3,794.6,376.3,463.7,291.1,168.8,240.1,342.0,549.9,260.4,581.6,263.7,535.6,401.7,104.7,334.8,313.6,363.5,443.6,204.4,460.0,444.9,226.2,267.3,267.1,735.0,327.9,337.9,682.6,508.4,629.6,238.6,693.1,317.5,318.5,470.0,129.1
GR,496.4,275.2,171.6,750.8,487.1,320.2,580.7,254.7,670.4,627.3,632.1,611.7,649.9,477.1,474.5,404.7,499.8,642.6,647.3,418.5,787.4,549.4,563.8,185.3,618.0,554.4,392.1,472.5,499.3,2051.8,295.6,479.4,536.4,120.1,494.1,553.2,563.8,828.7,540.9,710.0,270.2,577.3,335.9,0.0,665.9,804.0,440.6,599.6,530.0,520.0,602.1,193.8,538.7,326.1,655.5,591.7,396.3,310.2,494.3,431.7,348.9,481.3,547.8,510.4,521.1,440.6,465.1,561.1,173.5,485.2,649.9,54.3,627.7,649.4,698.7,314.5,470.9,844.5,206.7,463.4,261.7,568.4,530.2,421.2,653.5,403.2,767.1,190.1,512.7,101.0,330.6,609.8,657.6,307.3,578.1,300.9,220.2,670.4,290.5,501.0,580.2,609.9,531.6,277.5,167.1,688.8,643.1,358.1,471.2,492.9,465.3,756.8,546.7,459.1,759.9,770.5,526.3,483.3,728.1,309.6,869.5,531.1,538.7,598.9,562.6,533.9,736.8,763.1,542.6,630.0,457.4,238.8,182.7,508.3,518.4,174.8,550.1,430.0,504.1,231.1,240.6,501.1,479.9,529.8,412.1,195.9,626.3,611.2,392.5,433.6,433.4,733.5,494.2,504.2,651.1,674.7,850.3,215.8,661.6,146.9,147.9,636.3,223.0
GT,438.8,675.6,572.0,1052.3,411.6,720.6,187.5,475.7,1070.8,1027.7,238.9,1012.1,227.7,290.3,234.2,284.5,353.4,121.2,49.8,349.6,1137.6,496.7,510.7,663.9,240.5,954.8,325.4,338.1,314.2,2162.3,534.3,312.6,936.8,569.3,213.6,500.5,511.1,1028.3,219.7,1110.4,670.6,524.6,536.3,620.5,0.0,983.6,328.7,136.6,344.9,359.2,1002.5,535.7,235.5,726.5,86.7,539.0,796.7,477.9,894.7,342.8,749.3,881.7,287.0,325.3,432.2,268.0,418.9,248.4,527.3,378.9,227.7,647.2,58.9,1049.8,1084.4,546.9,871.3,999.0,607.1,278.3,527.7,515.7,477.5,329.3,56.0,286.0,1117.3,590.5,194.3,579.6,531.0,1010.2,271.1,707.7,525.4,447.3,609.9,289.9,690.9,904.0,527.5,187.7,442.7,540.9,645.7,120.0,1043.5,758.5,377.8,297.0,376.4,1107.0,258.0,370.2,1110.1,1140.7,288.1,281.7,856.1,437.6,1024.0,209.9,486.0,546.2,288.5,236.1,1107.0,1133.3,489.9,109.2,372.6,576.4,575.7,455.6,918.8,568.4,950.5,338.1,904.5,709.7,481.6,448.4,391.0,275.6,812.5,592.2,233.1,103.9,354.9,275.2,341.5,1083.7,259.2,266.0,1051.5,67.8,978.3,546.6,1062.0,625.5,626.5,130.7,486.4
GU,762.8,622.3,632.5,68.6,800.6,552.0,894.2,797.9,246.4,246.2,945.6,232.0,963.4,790.6,788.0,718.2,813.3,956.1,960.8,732.0,153.9,815.8,830.2,826.7,931.5,338.5,705.6,786.0,812.8,1799.7,715.0,792.9,466.0,732.1,807.6,819.6,865.8,123.8,854.4,189.5,617.3,843.7,799.1,778.2,979.4,0.0,754.1,913.1,848.0,833.5,312.8,737.0,852.2,488.3,969.0,858.1,536.0,629.0,423.9,745.2,442.9,410.9,865.8,823.9,834.6,754.1,767.1,880.4,716.7,803.2,963.4,810.0,945.7,222.3,100.7,733.9,368.8,40.4,673.1,776.9,804.9,834.8,796.6,734.7,967.0,734.7,133.6,676.1,826.2,742.4,793.8,320.5,971.1,649.3,844.5,626.1,623.3,983.9,603.6,377.1,882.2,923.4,840.7,794.6,808.5,1002.3,152.0,433.3,784.7,806.4,778.8,123.3,860.2,772.6,126.4,157.0,839.8,796.8,181.5,616.4,65.4,844.6,805.1,865.3,876.1,847.4,123.3,151.6,809.0,943.5,770.9,658.2,649.1,774.7,324.9,712.9,293.3,743.5,408.3,872.5,779.8,767.5,793.4,843.3,379.2,657.6,944.3,924.7,708.8,747.1,746.9,100.0,807.7,817.7,227.1,988.2,40.1,753.9,138.4,788.3,784.2,949.8,761.1
GV,190.2,401.7,298.1,778.4,82.8,446.7,242.5,201.8,796.9,753.8,293.9,738.2,311.7,133.7,108.7,123.4,79.8,304.4,309.1,75.7,863.7,248.1,262.1,390.0,295.5,680.9,130.8,58.2,92.5,1905.9,260.4,198.1,662.9,295.4,128.3,251.9,262.5,754.4,175.1,836.5,396.7,276.0,262.4,346.6,327.7,709.7,0.0,261.4,123.2,87.7,728.6,261.8,172.9,452.6,317.3,290.4,522.8,204.0,620.8,63.7,475.4,607.8,235.8,103.6,120.2,74.8,170.3,201.1,253.4,54.9,311.7,373.3,289.5,775.9,810.5,273.0,597.4,725.1,333.2,89.4,253.8,267.1,228.9,37.4,315.3,121.9,843.4,316.6,146.9,305.7,257.1,736.3,336.8,433.8,276.8,173.4,336.0,347.9,417.0,630.1,278.9,271.7,130.7,267.0,371.8,350.6,769.6,484.6,49.0,211.6,64.4,833.1,234.7,58.2,836.2,866.8,224.3,135.1,582.2,163.7,750.1,165.3,237.4,297.6,250.6,221.9,833.1,859.4,241.3,291.8,43.8,302.5,301.8,207.0,644.9,294.5,676.6,46.2,630.6,435.8,207.7,199.8,79.0,217.8,538.6,318.3,288.1,273.0,75.8,67.8,49.6,809.8,146.3,202.2,777.6,336.5,704.4,272.7,788.1,351.6,352.6,298.1,212.5
HE,354.7,591.5,487.9,968.2,327.5,636.5,50.8,391.6,986.7,943.6,102.2,928.0,105.4,206.2,150.1,200.4,269.3,42.9,94.7,265.5,1053.5,412.6,426.6,579.8,103.8,870.7,241.3,254.0,230.1,2083.3,450.2,228.5,852.7,485.2,129.5,416.4,427.0,944.2,135.6,1026.3,586.5,440.5,452.2,536.4,134.3,899.5,244.6,0.0,260.8,275.1,918.4,451.6,151.4,642.4,131.7,454.9,712.6,393.8,810.6,258.7,665.2,797.6,150.3,241.2,348.1,183.9,334.8,164.3,443.2,294.8,105.4,563.1,132.7,965.7,1000.3,462.8,787.2,914.9,523.0,194.2,443.6,431.6,393.4,245.2,87.3,201.9,1033.2,506.4,110.2,495.5,446.9,926.1,145.1,623.6,441.3,363.2,525.8,156.2,606.8,819.9,443.4,65.4,358.6,456.8,561.6,165.0,959.4,674.4,293.7,212.9,292.3,1022.9,121.3,286.1,1026.0,1056.6,204.0,197.6,772.0,353.5,939.9,125.8,401.9,462.1,151.8,145.7,1022.9,1049.2,405.8,30.3,288.5,492.3,491.6,371.5,834.7,484.3,866.4,254.0,820.4,625.6,397.5,364.3,306.9,138.9,728.4,508.1,96.4,11.6,270.8,191.1,257.4,999.6,175.1,181.9,967.4,65.5,894.2,462.5,977.9,541.4,542.4,95.1,402.3
HH,288.8,500.3,396.7,877.0,173.4,545.3,267.9,300.4,895.5,852.4,319.3,836.8,337.1,200.1,134.1,222.0,40.7,329.8,334.5,184.7,962.3,346.7,360.7,488.6,320.9,779.5,229.4,78.0,40.6,2004.5,359.0,271.1,761.5,394.0,153.7,350.5,361.1,853.0,200.5,935.1,495.3,374.6,361.0,445.2,353.1,808.3,126.4,286.8,0.0,79.2,827.2,360.4,198.3,551.2,342.7,389.0,621.4,302.6,719.4,137.4,574.0,706.4,261.2,29.5,139.6,92.7,268.9,226.5,352.0,51.5,337.1,471.9,314.9,874.5,909.1,377.9,696.0,823.7,431.8,79.0,352.4,365.7,327.5,163.9,340.7,220.5,942.0,415.2,172.3,404.3,355.7,834.9,360.5,532.4,375.4,272.0,434.6,373.3,515.6,728.7,377.5,297.1,145.7,365.6,470.4,376.0,868.2,583.2,139.6,258.6,106.3,931.7,260.1,112.8,934.8,965.4,249.7,201.5,680.8,262.3,848.7,190.7,336.0,396.2,276.0,247.3,931.7,960.0,339.9,317.2,134.4,401.1,400.4,305.6,743.5,386.5,775.2,172.7,729.2,534.4,306.3,298.4,98.4,243.2,637.2,416.9,313.5,298.4,177.2,99.9,176.1,908.4,212.7,227.6,876.2,361.9,803.0,371.3,886.7,450.2,451.2,323.5,311.1
HK,276.9,488.4,384.8,865.1,134.1,533.4,278.4,288.5,883.6,840.5,329.8,824.9,347.6,197.9,144.6,210.1,46.3,340.3,345.0,162.3,950.4,334.8,348.8,476.7,331.4,767.6,217.5,72.1,62.2,1992.6,347.1,268.9,749.6,382.1,164.2,338.6,349.2,841.1,211.0,923.2,483.4,362.7,349.1,433.3,363.6,796.4,94.7,297.3,73.8,0.0,815.3,348.5,208.8,539.3,353.2,377.1,609.5,290.7,707.5,115.0,562.1,694.5,271.7,51.1,145.2,103.2,257.0,237.0,340.1,71.8,347.6,460.0,325.4,862.6,897.2,359.7,684.1,811.8,419.9,89.5,340.5,353.8,315.6,132.2,351.2,208.6,930.1,403.3,182.8,392.4,343.8,823.0,372.7,520.5,363.5,260.1,422.7,383.8,503.7,716.8,365.6,307.6,155.7,353.7,458.5,386.5,856.3,571.3,100.3,269.1,111.9,919.8,270.6,109.5,922.9,953.5,260.2,199.3,668.9,250.4,836.8,201.2,324.1,384.3,286.5,257.8,919.8,946.1,328.0,327.7,95.1,389.2,388.5,293.7,731.6,381.2,763.3,141.0,717.3,522.5,294.4,286.5,104.0,253.7,625.3,405.0,324.0,308.9,162.5,110.4,144.4,896.5,210.5,238.1,864.3,372.4,791.1,359.4,874.8,438.3,439.3,334.0,299.2
