from_stop,AB,AE,AF,AH,AN,AO,AP,AW,AX,AZ,CF,CG,CH,CJ,CX,DL,DZ,EF,EJ,EQ,EW,FH,FM,FU,FW,FX,FY,GB,GC,GD,GE,GH,GN,GQ,GS,GW,GX,GY,HD,HH,HK,HS,HT,IE,IJ,IX,JG,JR,JS,JU,JV,JX,JY,KF,KJ,KK,KO,KS,KT,KZ,LQ,LU,LV,LX,LY,MY,NG,NT,NW,NZ,OB,OG,OK,OP,PI,PN,PQ,PT,PW,PX,QC,QD,QH,QM,QO,RC,RN,RU,RV,SF,SN,SW,SX,SY,SZ,TG,TM,TP,TS,UO,US,UT,VB,VF,VU,VY,WS,WX,XN,YA,YJ,YK,YQ,YZ,ZC,ZH,ZQ
GB,229.9,696.2,474.9,409.0,633.5,472.7,684.7,142.7,816.6,409.0,531.1,574.0,812.6,156.2,374.4,575.2,828.9,587.9,637.2,397.6,587.8,396.4,387.3,582.2,186.8,278.4,824.3,0.0,69.2,540.8,481.3,511.2,594.9,535.6,647.1,547.7,1824.4,390.6,464.0,455.2,521.4,341.0,168.2,323.1,522.4,810.7,607.0,652.1,323.3,396.9,574.0,811.2,530.9,793.4,609.7,770.1,507.1,602.1,548.3,553.3,564.1,390.6,185.7,98.4,574.0,189.6,767.0,179.4,558.6,618.4,534.9,281.3,416.9,188.1,506.2,562.5,189.1,575.6,236.4,160.2,266.9,75.2,219.3,554.5,560.8,399.3,561.9,147.3,687.5,432.0,193.9,197.6,281.8,807.2,312.6,153.1,556.0,348.4,90.4,153.6,173.6,650.6,684.7,574.2,543.1,438.1,684.2,546.5,821.9,697.9,173.0,488.7,570.7,511.4,137.9,147.2,561.2
GC,232.4,698.7,475.4,409.5,636.0,475.2,687.2,124.8,819.1,411.5,531.6,576.5,675.9,158.7,376.9,577.7,692.2,588.4,637.7,400.1,590.3,398.9,389.8,584.7,189.3,280.9,826.8,60.7,0.0,543.3,483.8,503.6,597.4,538.1,649.6,550.2,1806.5,393.1,466.5,457.7,538.6,343.5,168.7,323.6,524.9,813.2,609.5,654.6,323.8,399.4,576.5,813.7,533.4,795.9,612.2,782.6,507.6,602.6,550.8,555.8,566.6,393.1,188.2,98.9,576.5,192.1,769.5,181.9,561.1,629.0,537.4,283.8,419.4,190.6,506.6,563.0,191.6,578.1,238.9,162.7,267.4,77.7,221.8,557.0,563.3,401.8,564.4,149.8,690.0,434.5,176.0,200.1,284.3,809.7,315.1,155.6,558.5,350.3,92.9,156.1,176.1,651.1,687.2,576.7,545.6,440.6,684.7,549.0,824.4,653.5,173.5,491.2,573.2,513.9,140.4,129.3,563.7
GD,602.2,281.2,147.3,781.3,234.3,845.0,269.7,551.8,1077.5,272.7,270.7,164.8,1110.5,528.5,746.7,166.0,1126.8,218.8,376.8,377.1,960.1,290.1,257.3,256.2,554.7,650.7,1131.3,557.5,548.5,0.0,853.6,326.4,334.5,907.9,1019.4,287.3,1909.8,762.9,114.4,191.4,89.0,248.8,540.5,695.4,242.2,1049.2,197.8,1024.4,695.6,266.9,164.8,1070.7,270.5,1074.8,240.6,1118.4,79.9,249.5,54.6,925.6,164.9,762.9,558.0,435.6,164.8,512.3,1138.3,547.3,108.2,249.3,395.4,653.6,379.8,560.4,172.6,130.1,561.4,947.9,608.7,532.5,639.2,458.8,591.6,195.7,161.6,378.8,152.7,470.0,272.5,196.2,603.0,569.9,654.1,1068.1,684.9,525.4,146.8,256.2,443.6,410.7,496.3,251.4,269.7,294.0,282.7,810.4,1056.5,313.5,1105.4,282.9,545.3,151.1,943.0,79.0,508.4,556.3,376.4
GE,274.3,867.2,769.9,54.7,889.3,82.9,979.7,561.1,426.8,704.0,757.4,869.0,422.8,402.5,198.0,870.2,439.1,814.2,863.5,692.6,198.0,691.4,682.3,790.2,413.1,315.2,434.5,500.2,491.2,835.8,0.0,806.2,821.2,145.8,257.3,774.0,2199.2,73.1,759.0,750.2,816.4,636.0,304.2,192.7,748.7,420.9,902.0,262.3,310.7,691.9,869.0,421.4,757.2,403.6,836.0,380.3,802.1,810.1,843.3,163.5,795.0,214.2,319.0,393.4,869.0,484.6,377.2,405.7,853.6,844.7,829.9,318.1,711.9,434.4,801.2,857.5,370.4,185.8,332.7,406.5,254.3,401.5,352.6,849.5,798.6,694.3,856.9,410.1,982.5,727.0,612.3,330.9,236.4,417.4,300.0,399.4,846.2,643.4,385.4,471.3,468.6,906.4,979.7,786.0,769.4,146.7,294.4,739.6,432.1,873.9,419.3,783.7,180.9,806.4,364.2,565.6,856.2
GH,576.2,376.3,362.4,762.4,313.6,819.0,364.8,525.8,1162.9,382.5,321.6,338.2,1086.0,502.5,720.7,300.6,1066.8,305.2,456.1,186.3,934.1,127.7,360.8,351.3,528.7,624.7,1170.6,531.5,529.6,326.7,827.6,0.0,413.8,881.9,993.4,366.6,1989.1,736.9,329.5,406.5,361.9,314.5,521.6,641.0,321.5,1157.0,332.4,998.4,641.2,370.4,331.1,1157.5,349.8,1139.7,319.9,1123.5,320.1,344.6,349.9,899.6,244.2,736.9,532.0,416.7,338.2,457.9,1120.4,521.3,384.4,335.7,233.0,627.6,217.4,534.4,193.4,388.3,535.4,921.9,582.7,506.5,584.8,432.8,565.6,234.6,240.9,246.9,295.7,444.0,367.6,405.5,577.0,543.9,628.1,1153.5,658.9,499.4,244.1,329.0,417.6,384.7,470.3,330.7,364.8,398.2,362.0,784.4,1002.1,445.2,1168.2,385.1,490.9,366.2,917.0,337.2,482.4,530.3,188.3
GN,614.6,299.7,330.0,793.7,282.2,857.4,301.2,594.5,977.1,405.6,74.8,346.1,1010.1,522.9,759.1,315.6,1026.4,207.1,52.1,451.4,972.5,364.4,390.2,222.7,523.9,663.1,1030.9,645.3,636.3,341.7,866.0,400.7,0.0,920.3,1031.8,88.3,1809.4,775.3,343.9,310.3,362.2,381.7,552.9,707.8,141.6,948.8,347.4,1036.8,708.0,399.8,346.1,970.3,75.0,974.4,228.9,1018.0,328.0,242.6,364.9,938.0,187.9,775.3,570.4,523.4,346.1,533.3,1037.9,516.5,399.4,237.6,469.7,666.0,454.1,554.8,246.9,403.3,573.8,960.3,621.1,526.9,651.6,546.6,604.0,270.0,191.5,483.6,232.1,464.5,304.0,287.1,645.7,582.3,666.5,967.7,697.3,519.8,239.1,389.1,523.8,453.4,517.3,299.3,301.2,218.5,63.2,822.8,1068.9,265.5,1005.0,306.4,539.7,368.6,955.4,352.2,477.6,599.0,450.7
GQ,354.6,947.5,850.2,135.0,969.6,71.8,1060.0,641.4,327.5,784.3,837.7,949.3,323.5,482.8,278.3,950.5,339.8,894.5,943.8,772.9,98.7,771.7,762.6,870.5,493.4,395.5,335.2,580.5,571.5,916.1,151.8,886.5,901.5,0.0,158.0,854.3,2099.9,153.4,839.3,830.5,896.7,716.3,384.5,273.0,829.0,321.6,982.3,163.0,391.0,772.2,949.3,322.1,837.5,304.3,916.3,281.0,882.4,890.4,923.6,64.2,875.3,294.5,399.3,473.7,949.3,564.9,277.9,486.0,933.9,925.0,910.2,398.4,792.2,514.7,881.5,937.8,450.7,86.5,413.0,486.8,334.6,481.8,432.9,929.8,878.9,774.6,937.2,490.4,1062.8,807.3,692.6,411.2,316.7,318.1,380.3,479.7,926.5,723.7,465.7,551.6,548.9,986.7,1060.0,866.3,849.7,227.0,195.1,819.9,332.8,954.2,499.6,864.0,81.6,886.7,444.5,645.9,936.5
GS,433.1,1026.0,928.7,213.5,1048.1,150.3,1138.5,719.9,261.1,862.8,916.2,1027.8,257.1,561.3,356.8,1029.0,273.4,973.0,1022.3,851.4,127.6,850.2,841.1,949.0,571.9,474.0,268.8,659.0,650.0,994.6,230.3,965.0,980.0,145.0,0.0,932.8,2033.5,231.9,917.8,909.0,975.2,794.8,463.0,351.5,907.5,255.2,1060.8,20.4,469.5,850.7,1027.8,255.7,916.0,237.9,994.8,214.6,960.9,968.9,1002.1,138.1,953.8,373.0,477.8,552.2,1027.8,643.4,211.5,564.5,1012.4,1003.5,988.7,476.9,870.7,593.2,960.0,1016.3,529.2,115.4,491.5,565.3,413.1,560.3,511.4,1008.3,957.4,853.1,1015.7,568.9,1141.3,885.8,750.8,489.7,395.2,251.7,458.8,558.2,1005.0,802.2,544.2,630.1,627.4,1065.2,1138.5,944.8,928.2,305.5,52.5,898.4,266.4,1032.7,578.1,942.5,155.5,965.2,523.0,731.7,1015.0
GW,566.3,251.4,281.7,745.4,233.9,809.1,252.9,546.2,928.8,357.3,26.5,297.8,961.8,474.6,710.8,267.3,978.1,158.8,109.5,403.1,924.2,316.1,341.9,174.4,475.6,614.8,982.6,597.0,588.0,293.4,817.7,352.4,67.2,872.0,983.5,0.0,1761.1,727.0,295.6,262.0,313.9,333.4,504.6,659.5,93.3,900.5,299.1,988.5,659.7,351.5,297.8,922.0,26.7,926.1,180.6,969.7,279.7,194.3,316.6,889.7,139.6,727.0,522.1,475.1,297.8,485.0,989.6,468.2,351.1,189.3,421.4,617.7,405.8,506.5,198.6,355.0,525.5,912.0,572.8,478.6,603.3,498.3,555.7,221.7,143.2,435.3,183.8,416.2,255.7,238.8,597.4,534.0,618.2,919.4,649.0,471.5,190.8,340.8,475.5,405.1,469.0,251.0,252.9,170.2,15.4,774.5,1020.6,217.2,956.7,258.1,491.4,320.3,907.1,303.9,429.3,550.7,402.4
GX,2144.1,2111.8,2068.7,2323.2,2133.9,2282.6,2124.5,1909.0,2068.2,2144.3,2002.0,2192.6,1986.9,2070.4,2288.6,2167.3,2003.2,2058.8,2108.1,2299.2,2259.9,2216.1,2128.9,2034.8,2130.4,2192.6,2052.4,1972.4,1943.0,2159.4,2395.5,2252.4,2065.8,2277.3,2203.9,2018.6,0.0,2304.8,2082.6,2049.0,2140.0,2120.4,2082.4,2237.3,1993.3,2023.1,2199.1,2208.9,2237.5,2138.5,2192.6,1996.7,2001.8,1978.9,2080.6,2110.3,2125.7,2054.7,2166.9,2270.4,2039.6,2304.8,2099.9,2012.6,2192.6,2139.8,2130.2,2123.0,2177.2,2089.3,2321.4,2195.5,2329.0,2102.3,2098.6,2181.1,2103.3,2247.7,2150.6,2074.4,2181.1,1989.4,2133.5,2121.7,2043.2,2300.9,2083.8,2071.0,2127.3,2025.8,1857.4,2111.8,2196.0,2058.8,2226.8,2067.3,2090.8,2127.8,2004.6,1988.6,2123.8,2151.0,2124.5,2030.6,2014.0,2352.3,2241.0,1984.2,2097.3,2118.5,2087.2,2107.3,2287.8,2130.0,2084.1,1838.3,2302.4
GY,201.1,794.0,696.7,18.3,816.1,82.0,906.5,487.9,425.9,630.8,684.2,795.8,421.9,329.3,124.8,797.0,438.2,741.0,790.3,619.4,197.1,618.2,609.1,717.0,339.9,242.0,433.6,427.0,418.0,762.6,90.6,733.0,748.0,144.9,256.4,700.8,2169.6,0.0,685.8,677.0,743.2,562.8,231.0,119.5,675.5,420.0,828.8,261.4,237.5,618.7,795.8,420.5,684.0,402.7,762.8,379.4,728.9,736.9,770.1,162.6,721.8,141.0,245.8,320.2,795.8,411.4,376.3,332.5,780.4,771.5,756.7,244.9,638.7,361.2,728.0,784.3,297.2,184.9,259.5,333.3,181.1,328.3,279.4,776.3,725.4,621.1,783.7,336.9,909.3,653.8,539.1,257.7,163.2,416.5,226.8,326.2,773.0,570.2,312.2,398.1,395.4,833.2,906.5,712.8,696.2,73.5,293.5,666.4,431.2,800.7,346.1,710.5,180.0,733.2,291.0,492.4,783.0
HD,616.8,315.7,161.9,795.9,268.8,859.6,304.2,566.4,1057.7,287.3,305.2,199.3,1090.7,543.1,761.3,200.5,1107.0,253.3,411.3,391.7,974.7,324.6,271.9,290.7,569.3,665.3,1111.5,572.1,563.1,166.1,868.2,360.9,369.0,922.5,1034.0,321.8,1890.0,777.5,0.0,206.0,128.7,263.4,555.1,710.0,276.7,1029.4,232.3,1039.0,710.2,281.5,199.3,1050.9,305.0,1055.0,275.1,1098.6,132.4,284.0,155.6,940.2,199.4,777.5,572.6,450.2,199.3,526.9,1118.5,561.9,165.9,283.8,429.9,668.2,411.0,575.0,207.1,169.8,576.0,962.5,623.3,547.1,653.8,473.4,606.2,230.2,196.1,393.4,187.2,484.6,307.0,210.8,617.6,584.5,668.7,1048.3,699.5,540.0,181.3,270.8,458.2,425.3,510.9,285.9,304.2,328.5,317.2,825.0,1071.1,328.1,1085.6,317.4,559.9,165.7,957.6,118.7,523.0,570.9,410.9
HH,518.1,329.6,66.2,697.2,282.7,760.9,318.1,467.7,934.2,188.6,240.4,213.2,967.2,444.4,662.6,214.4,983.5,267.2,346.5,293.0,876.0,291.8,173.2,304.6,470.6,566.6,988.0,473.4,464.4,180.0,769.5,406.6,304.2,823.8,935.3,257.0,1766.5,678.8,103.2,0.0,160.6,164.7,456.4,611.3,290.6,905.9,246.2,940.3,611.5,182.8,213.2,927.4,240.2,931.5,289.0,975.1,146.3,297.9,187.5,841.5,213.3,678.8,473.9,351.5,213.2,428.2,995.0,463.2,197.8,297.7,430.3,569.5,312.3,476.3,221.0,201.7,477.3,863.8,524.6,448.4,555.1,374.7,507.5,244.1,210.0,294.7,201.1,385.9,320.9,34.3,518.9,485.8,570.0,924.8,600.8,441.3,195.2,172.1,359.5,326.6,412.2,299.8,318.1,232.3,252.4,726.3,972.4,204.6,962.1,331.3,461.2,127.9,858.9,150.6,424.3,472.2,456.6
HK,599.1,318.0,144.2,778.2,271.1,841.9,306.5,548.7,1040.0,269.6,307.5,201.6,1073.0,525.4,743.6,202.8,1089.3,255.6,413.6,374.0,957.0,372.8,254.2,293.0,551.6,647.6,1093.8,554.4,545.4,122.5,850.5,353.1,371.3,904.8,1016.3,324.1,1872.3,759.8,111.3,188.3,0.0,245.7,537.4,692.3,279.0,1011.7,234.6,1021.3,692.5,263.8,201.6,1033.2,307.3,1037.3,277.4,1090.9,134.7,286.3,109.7,922.5,201.7,759.8,554.9,432.5,201.6,509.2,1100.8,544.2,62.7,294.2,432.2,650.5,393.3,557.3,209.4,21.6,558.3,944.8,605.6,529.4,636.1,455.7,588.5,232.5,198.4,375.7,189.5,466.9,309.3,193.1,599.9,566.8,651.0,1030.6,681.8,522.3,183.6,252.5,440.5,407.6,493.2,288.2,306.5,330.8,319.5,807.3,1053.4,310.4,1067.9,319.7,542.2,148.0,939.9,34.9,505.3,553.2,413.2
HS,407.6,481.1,208.1,586.7,418.4,650.4,469.6,357.2,994.3,142.2,315.5,307.2,910.3,333.9,552.1,308.4,926.6,402.9,421.6,182.5,765.5,181.3,120.5,315.4,360.1,456.1,1002.0,362.9,353.9,274.0,659.0,296.1,379.3,713.3,824.8,332.1,1841.6,568.3,197.2,188.4,254.6,0.0,345.9,500.8,306.8,981.0,340.2,829.8,501.0,130.1,307.2,1002.5,315.3,971.1,424.7,947.8,240.3,335.3,281.5,731.0,349.0,568.3,363.4,241.0,307.2,317.7,944.7,352.7,291.8,433.4,319.8,459.0,201.8,365.8,291.1,295.7,366.8,753.3,414.1,337.9,444.6,264.2,397.0,339.4,345.7,184.2,295.1,275.4,472.4,165.2,408.4,375.3,459.5,984.9,490.3,330.8,289.2,7.4,249.0,216.1,301.7,435.5,469.6,307.4,327.5,615.8,861.9,279.7,999.6,482.8,350.7,221.9,748.4,244.6,313.8,361.7,346.1
HT,61.6,562.9,465.6,240.7,585.0,304.4,675.4,256.8,648.3,399.7,453.1,564.7,644.3,98.2,206.1,565.9,660.6,509.9,559.2,388.3,419.5,387.1,378.0,485.9,108.8,110.1,656.0,195.9,184.4,531.5,313.0,491.8,516.9,367.3,478.8,469.7,1938.5,222.3,454.7,445.9,526.8,331.7,0.0,154.8,444.4,642.4,597.7,483.8,155.0,387.6,564.7,642.9,452.9,625.1,531.7,601.8,497.8,505.8,539.0,385.0,490.7,222.3,14.7,89.1,564.7,180.3,598.7,101.4,549.3,540.4,525.6,113.0,407.6,130.1,496.9,553.2,66.1,407.3,68.1,102.2,98.6,97.2,48.3,545.2,494.3,390.0,552.6,105.8,678.2,422.7,308.0,26.6,113.5,638.9,144.3,95.1,541.9,338.5,81.1,167.0,164.3,602.1,675.4,481.7,465.1,269.8,515.9,435.3,653.6,569.6,115.0,479.4,402.4,502.1,59.9,261.3,551.9
IE,156.2,715.1,617.8,137.5,737.2,201.2,827.6,409.0,545.1,551.9,605.3,716.9,541.1,250.4,51.2,718.1,557.4,662.1,711.4,540.5,316.3,539.3,530.2,638.1,261.0,122.4,552.8,348.1,336.6,683.7,209.8,644.0,669.1,264.1,375.6,621.9,2090.7,119.1,606.9,598.1,679.0,483.9,152.1,0.0,596.6,539.2,749.9,380.6,249.6,539.8,716.9,539.7,605.1,521.9,683.9,498.6,650.0,658.0,691.2,281.8,642.9,67.4,166.9,241.3,716.9,332.5,495.5,253.6,701.5,700.7,677.8,125.3,559.8,282.3,649.1,705.4,218.3,304.1,180.6,254.4,193.2,249.4,200.5,697.4,646.5,542.2,704.8,258.0,830.4,574.9,460.2,178.8,43.6,535.7,238.9,247.3,694.1,490.7,233.3,319.2,316.5,754.3,827.6,633.9,617.3,114.9,412.7,587.5,550.4,721.8,267.2,631.6,299.2,654.3,212.1,413.5,704.1
IJ,518.8,203.9,234.2,697.9,166.6,761.6,185.6,498.7,881.3,309.8,74.5,230.5,914.3,427.1,663.3,200.0,930.6,91.5,180.6,335.8,876.7,248.8,294.4,126.9,428.1,567.3,935.1,549.5,540.5,226.1,770.2,285.1,138.3,824.5,936.0,91.1,1713.6,679.5,228.9,214.5,246.6,285.9,457.1,612.0,0.0,853.0,231.8,941.0,612.2,304.0,230.5,874.5,74.3,878.6,113.3,922.2,212.4,146.8,249.3,842.2,72.3,679.5,474.6,427.6,230.5,437.5,942.1,420.7,283.8,122.0,354.1,570.2,338.5,459.0,131.3,287.7,478.0,864.5,525.3,431.1,555.8,450.8,508.2,154.4,75.9,368.0,116.5,368.7,188.4,191.3,549.9,486.5,570.7,871.9,601.5,424.0,123.5,293.3,428.0,357.6,421.5,183.7,185.6,122.7,86.5,727.0,973.1,169.7,909.2,198.8,443.9,265.6,859.6,236.6,381.8,503.2,335.1
IX,595.5,1188.4,1091.1,375.9,1210.5,312.7,1300.9,625.1,49.7,1025.2,1078.6,1190.2,106.0,723.7,519.2,1191.4,122.3,1135.4,1184.7,1013.8,290.0,1012.6,1003.5,1111.4,734.3,636.4,104.2,688.5,659.1,1157.0,392.7,1127.4,1142.4,307.4,234.0,1095.2,1856.2,394.3,1080.2,1071.4,1137.6,957.2,625.4,513.9,1069.9,0.0,1223.2,239.0,631.9,1013.1,1190.2,25.6,1078.4,41.0,1157.2,91.3,1123.3,1131.3,1164.5,300.5,1116.2,535.4,640.2,714.6,1190.2,805.8,111.2,726.9,1174.8,1165.9,1151.1,639.3,1033.1,755.6,1122.4,1178.7,691.6,277.8,653.9,727.7,575.5,705.5,673.8,1170.7,1119.8,1015.5,1178.1,731.3,1303.7,1048.2,573.5,652.1,557.6,41.0,621.2,720.6,1167.4,964.6,706.6,704.7,789.8,1227.6,1300.9,1107.2,1090.6,467.9,271.1,1060.8,78.3,1195.1,740.5,1104.9,317.9,1127.6,685.4,554.4,1177.4
JG,664.7,265.2,209.8,843.8,236.3,907.5,253.7,614.3,1079.5,335.2,272.7,94.6,1112.5,625.3,809.2,60.4,1128.8,220.8,378.8,439.6,1022.6,292.1,319.8,240.2,626.3,713.2,1133.3,620.0,611.0,174.1,916.1,328.4,336.5,970.4,1081.9,289.3,1911.8,825.4,176.9,253.9,194.6,311.3,603.0,757.9,244.2,1051.2,0.0,1086.9,758.1,329.4,94.6,1072.7,272.5,1076.8,242.6,1120.4,160.4,233.5,197.3,988.1,166.9,825.4,620.5,498.1,94.6,574.8,1140.3,618.9,231.8,251.3,397.4,716.1,381.8,657.2,174.6,235.7,623.9,1010.4,671.2,629.3,701.7,521.3,654.1,197.7,163.6,441.3,136.7,566.9,256.5,258.7,665.5,632.4,716.6,1070.1,747.4,622.2,148.8,318.7,506.1,473.2,558.8,253.4,253.7,278.0,284.7,872.9,1119.0,367.9,1107.4,266.9,642.1,213.6,1005.5,184.6,580.0,618.8,378.4
JR,428.9,1021.8,924.5,209.3,1043.9,146.1,1134.3,715.7,256.9,858.6,912.0,1023.6,252.9,557.1,352.6,1024.8,269.2,968.8,1018.1,847.2,123.4,846.0,836.9,944.8,567.7,469.8,264.6,654.8,645.8,990.4,226.1,960.8,975.8,140.8,31.2,928.6,2029.3,227.7,913.6,904.8,971.0,790.6,458.8,347.3,903.3,251.0,1056.6,0.0,465.3,846.5,1023.6,251.5,911.8,233.7,990.6,210.4,956.7,964.7,997.9,133.9,949.6,368.8,473.6,548.0,1023.6,639.2,207.3,560.3,1008.2,999.3,984.5,472.7,866.5,589.0,955.8,1012.1,525.0,111.2,487.3,561.1,408.9,556.1,507.2,1004.1,953.2,848.9,1011.5,564.7,1137.1,881.6,746.6,485.5,391.0,247.5,454.6,554.0,1000.8,798.0,540.0,625.9,623.2,1061.0,1134.3,940.6,924.0,301.3,32.0,894.2,262.2,1028.5,573.9,938.3,151.3,961.0,518.8,727.5,1010.8
JS,153.6,746.5,649.2,255.7,768.6,319.4,859.0,440.4,663.3,583.3,636.7,748.3,659.3,281.8,312.1,749.5,675.6,693.5,742.8,571.9,434.5,570.7,561.6,669.5,292.4,216.1,671.0,379.5,368.0,715.1,328.0,675.4,700.5,382.3,493.8,653.3,2122.1,237.3,638.3,629.5,710.4,515.3,183.5,260.8,628.0,657.4,781.3,498.8,0.0,571.2,748.3,657.9,636.5,640.1,715.3,616.8,681.4,689.4,722.6,400.0,674.3,328.3,198.3,272.7,748.3,363.9,613.7,285.0,732.9,732.1,709.2,219.0,591.2,313.7,680.5,736.8,249.7,422.3,212.0,285.8,72.2,280.8,231.9,728.8,677.9,573.6,736.2,289.4,861.8,606.3,491.6,210.2,219.5,653.9,56.2,278.7,725.5,522.7,264.7,350.6,347.9,785.7,859.0,665.3,648.7,310.2,530.9,618.9,668.6,753.2,298.6,663.0,417.4,685.7,243.5,444.9,735.5
JU,475.1,382.1,197.8,654.2,366.4,717.9,401.8,424.7,999.0,21.7,305.2,296.9,1032.0,401.4,619.6,298.1,1048.3,362.0,411.3,250.0,833.0,248.8,77.6,305.1,427.6,523.6,1052.8,430.4,421.4,263.7,726.5,363.6,369.0,780.8,892.3,321.8,1831.3,635.8,186.9,178.1,244.3,121.7,413.4,568.3,296.5,970.7,329.9,897.3,568.5,0.0,296.9,992.2,305.0,996.3,383.8,1039.9,230.0,325.0,271.2,798.5,297.0,635.8,430.9,308.5,296.9,385.2,1059.8,420.2,281.5,392.5,387.3,526.5,269.3,433.3,304.7,285.4,434.3,820.8,481.6,405.4,512.1,331.7,464.5,327.8,293.7,251.7,284.8,342.9,404.6,154.9,475.9,442.8,527.0,989.6,557.8,398.3,278.9,129.1,316.5,283.6,369.2,383.5,401.8,297.1,317.2,683.3,929.4,269.4,1026.9,388.8,418.2,211.6,815.9,234.3,381.3,429.2,413.6
JV,637.4,237.9,182.5,816.5,209.0,880.2,226.4,587.0,1052.2,307.9,245.4,0.0,1085.2,598.0,781.9,52.5,1101.5,193.5,351.5,412.3,995.3,264.8,292.5,212.9,599.0,685.9,1106.0,592.7,581.2,146.8,888.8,291.0,309.2,943.1,1054.6,262.0,1884.5,798.1,149.6,226.6,182.0,284.0,575.7,730.6,216.9,1023.9,84.3,1059.6,730.8,302.1,0.0,1045.4,245.2,1049.5,215.3,1093.1,133.1,206.2,170.0,960.8,139.6,798.1,593.2,470.8,0.0,547.5,1113.0,591.6,204.5,224.0,370.1,688.8,354.5,629.9,147.3,208.4,596.6,983.1,643.9,602.0,674.4,494.0,626.8,170.4,136.3,414.0,109.4,539.6,229.2,231.4,638.2,605.1,689.3,1042.8,720.1,594.9,121.5,290.8,478.8,445.9,531.5,226.1,226.4,250.7,257.4,845.6,1091.7,340.6,1080.1,192.7,614.8,186.3,978.2,157.3,552.7,591.5,351.1
JX,615.8,1057.4,1039.1,396.2,1079.5,333.0,1248.9,616.3,72.6,973.2,947.6,1138.2,80.3,744.0,539.5,1139.4,96.6,1004.4,1053.7,961.8,310.3,960.6,951.5,980.4,754.6,656.7,102.8,679.7,650.3,1105.0,413.0,1075.4,1011.4,327.7,254.3,964.2,1847.4,414.6,1028.2,1019.4,1085.6,905.2,645.7,534.2,938.9,26.3,1171.2,259.3,652.2,961.1,1138.2,0.0,947.4,15.4,1026.2,113.5,1071.3,1000.3,1112.5,320.8,985.2,555.7,660.5,719.9,1138.2,811.1,133.4,747.2,1122.8,1034.9,1099.1,659.6,981.1,775.9,1070.4,1126.7,711.9,298.1,674.2,748.0,595.8,696.7,694.1,1118.7,988.8,963.5,1126.1,751.6,1251.7,996.2,564.7,672.4,577.9,63.2,641.5,740.9,1120.2,912.6,711.9,695.9,795.1,1096.6,1248.9,976.2,959.6,488.2,291.4,929.8,100.5,1064.1,760.8,1052.9,338.2,1075.6,705.7,545.6,1125.4
JY,539.5,224.6,254.9,718.6,207.1,782.3,226.1,519.4,902.0,330.5,0.2,271.0,935.0,447.8,684.0,240.5,951.3,132.0,106.2,376.3,897.4,289.3,315.1,147.6,448.8,588.0,955.8,570.2,561.2,266.6,790.9,325.6,63.9,845.2,956.7,16.7,1734.3,700.2,268.8,235.2,287.1,306.6,477.8,632.7,66.5,873.7,272.3,961.7,632.9,324.7,271.0,895.2,0.0,899.3,153.8,942.9,252.9,167.5,289.8,862.9,112.8,700.2,495.3,448.3,271.0,458.2,962.8,441.4,324.3,162.5,394.6,590.9,379.0,479.7,171.8,328.2,498.7,885.2,546.0,451.8,576.5,471.5,528.9,194.9,116.4,408.5,157.0,389.4,228.9,212.0,570.6,507.2,591.4,892.6,622.2,444.7,164.0,314.0,448.7,378.3,442.2,224.2,226.1,143.4,12.1,747.7,993.8,190.4,929.9,231.3,464.6,293.5,880.3,277.1,402.5,523.9,375.6
KF,600.4,1057.7,1023.7,380.8,1079.8,317.6,1233.5,600.9,90.4,957.8,947.9,1122.8,64.9,728.6,524.1,1124.0,81.2,1004.7,1054.0,946.4,294.9,945.2,936.1,980.7,739.2,641.3,87.4,664.3,634.9,1089.6,397.6,1060.0,1011.7,312.3,238.9,964.5,1832.0,399.2,1012.8,1004.0,1070.2,889.8,630.3,518.8,939.2,44.1,1155.8,243.9,636.8,945.7,1122.8,17.8,947.7,0.0,1026.5,131.3,1055.9,1000.6,1097.1,305.4,1112.9,540.3,645.1,704.5,1122.8,795.7,151.2,731.8,1107.4,1035.2,1083.7,644.2,965.7,760.5,1055.0,1111.3,696.5,282.7,658.8,732.6,580.4,681.3,678.7,1103.3,1109.6,948.1,1110.7,736.2,1236.3,980.8,549.3,657.0,562.5,81.0,626.1,725.5,1104.8,897.2,696.5,680.5,779.7,1096.9,1233.5,976.5,959.9,472.8,276.0,930.1,118.3,1064.4,745.4,1037.5,322.8,1060.2,690.3,530.2,1110.0
KJ,620.0,209.4,274.1,799.1,178.9,862.8,197.9,599.9,982.5,399.5,175.7,242.8,1015.5,528.3,764.5,212.3,1031.8,31.7,281.8,348.1,977.9,261.1,384.1,184.4,529.3,668.5,1036.3,664.9,655.9,238.4,871.4,297.4,239.5,925.7,1037.2,192.3,1814.8,780.7,241.2,318.2,258.9,375.6,558.3,713.2,147.2,954.2,244.1,1042.2,713.4,393.7,242.8,975.7,175.5,979.8,0.0,1023.4,224.7,177.7,261.6,943.4,84.6,780.7,575.8,543.0,242.8,538.7,1043.3,521.9,296.1,10.7,366.4,671.4,350.8,560.2,143.6,300.0,579.2,965.7,626.5,532.3,657.0,566.2,609.4,166.7,88.2,380.3,128.8,469.9,200.7,292.5,651.1,587.7,671.9,973.1,702.7,525.2,135.8,383.0,551.0,458.8,522.7,196.0,197.9,223.9,187.7,828.2,1074.3,270.9,1010.4,211.1,545.1,277.9,960.8,248.9,483.0,604.4,347.4
