from_stop,AI,AP,BA,BR,BX,BZ,CA,CI,CJ,CV,CW,CY,CZ,DO,EK,EL,EP,ER,FC,FH,FR,FV,GI,GP,GR,GW,GX,HK,HL,HO,HQ,HY,ID,IM,IV,IY,JE,JX,KB,KC,KD,KH,KI,KJ,KN,KO,KV,LI,LX,MJ,NA,NH,NI,NM,NO,NR,NZ,OE,OF,OJ,OQ,OS,OX,PA,PB,PP,PU,QJ,QL,RG,SG,SN,SV,TF,TM,TX,UK,UW,UZ,VB,VG,VH,VJ,VM,VW,WS,WU,XO,XR,XT,YA,YR,YV,YZ,ZL
IV,421.7,457.8,103.1,338.0,179.5,590.0,293.9,264.3,293.4,410.0,705.4,238.3,374.8,558.1,335.8,205.1,87.0,92.4,155.9,399.2,407.5,383.3,206.4,424.4,521.9,405.4,370.7,171.1,642.4,649.8,64.0,423.6,370.4,268.3,0.0,382.1,451.2,433.3,393.4,475.4,482.6,445.9,376.7,2226.2,358.5,426.1,248.1,191.1,257.1,425.9,530.3,431.4,440.6,318.9,403.5,422.3,319.0,588.1,84.0,501.0,467.1,73.0,396.3,407.2,106.4,60.5,407.0,391.2,411.5,293.3,134.2,594.6,318.0,537.0,220.6,502.2,417.1,509.5,425.3,402.5,492.4,383.1,143.4,412.2,104.6,125.2,455.9,391.6,476.0,573.0,549.4,109.6,245.4,416.5,408.8
IY,251.7,290.5,355.0,288.9,473.4,313.5,206.9,149.2,250.9,133.0,424.8,148.7,50.9,309.8,256.5,401.4,332.6,366.4,449.8,137.0,130.5,213.3,159.4,97.1,292.2,68.3,282.7,465.0,351.6,340.1,329.1,119.4,173.4,171.9,356.8,0.0,220.6,96.2,180.1,226.7,184.2,274.0,203.5,2329.6,32.9,250.2,145.9,263.5,277.4,88.8,217.7,154.9,224.8,225.6,81.4,100.2,50.0,302.9,308.3,224.0,208.7,376.1,69.3,70.1,311.2,315.2,119.0,60.6,118.9,200.0,431.8,303.0,151.2,260.5,412.6,225.7,143.9,251.8,184.4,242.2,261.7,76.7,408.9,150.0,370.1,428.3,288.6,332.8,206.3,256.9,303.6,375.1,208.7,103.9,232.9
JE,74.0,180.4,469.7,186.9,493.0,284.5,178.9,260.2,286.3,313.3,281.4,263.4,257.2,135.1,139.2,499.5,417.6,481.5,468.8,196.3,310.2,132.9,256.1,314.3,97.9,235.9,161.3,484.6,219.4,225.8,414.1,299.6,155.9,245.6,454.1,217.6,0.0,263.8,360.4,52.4,143.2,96.3,96.5,2226.6,239.2,126.5,247.7,369.3,388.3,256.4,200.8,201.7,344.0,170.8,256.3,236.7,176.9,165.1,393.3,366.6,44.1,459.8,151.6,219.7,408.5,400.2,320.1,245.0,195.3,212.2,487.6,171.6,161.0,287.4,472.2,268.6,320.4,85.5,32.8,161.8,68.4,275.9,506.2,152.2,466.8,491.0,177.7,367.9,368.8,150.0,125.4,472.4,313.9,273.1,109.2
JX,314.0,330.1,413.8,349.9,532.2,332.6,269.2,208.0,309.7,179.0,443.9,207.5,112.3,329.3,288.9,473.8,391.4,424.8,508.6,159.6,176.5,275.6,218.3,157.8,307.0,28.9,311.8,523.8,370.7,359.2,424.4,157.0,235.7,234.2,415.6,94.4,250.5,0.0,242.9,249.3,199.0,336.3,247.6,2377.1,75.6,277.0,208.2,322.3,336.2,8.0,237.2,174.0,227.4,226.3,113.6,119.3,146.4,322.4,403.6,279.0,231.3,434.9,91.9,67.5,383.6,374.0,176.7,95.9,133.7,262.3,501.5,322.1,213.5,279.6,471.4,244.8,201.2,270.9,213.5,304.5,284.3,134.0,467.7,172.6,428.9,487.1,328.2,391.6,208.9,276.0,323.1,433.9,267.5,130.4,259.7
KB,354.1,392.9,379.7,379.0,475.3,319.6,264.7,237.1,320.4,76.4,400.4,236.6,127.4,300.6,369.6,428.2,393.5,390.7,521.2,217.6,40.9,315.7,258.1,128.2,376.9,183.5,360.2,481.6,357.7,298.2,377.6,110.2,257.4,274.9,424.6,154.6,343.6,211.4,0.0,354.3,267.4,376.4,321.5,2328.7,136.6,368.2,263.3,340.4,374.5,204.0,208.5,173.8,161.2,306.6,130.3,149.1,195.3,293.7,356.8,155.6,336.3,423.2,196.9,189.8,338.0,359.5,104.4,154.6,202.1,299.4,519.6,309.1,253.6,266.6,443.7,231.8,64.5,300.7,306.6,344.6,352.1,109.9,453.7,257.3,414.9,472.2,401.8,402.3,142.7,263.0,305.2,419.9,296.6,128.6,350.9
KC,85.8,157.1,493.0,172.8,545.3,276.3,201.8,266.0,309.6,322.1,274.2,313.8,241.6,126.9,190.7,521.4,440.5,508.8,521.7,162.6,319.6,126.4,278.6,320.9,103.9,236.7,197.8,536.9,211.2,218.6,437.0,302.9,195.2,229.1,476.8,222.6,102.8,264.6,386.0,0.0,147.0,108.1,149.4,2212.8,243.4,105.9,253.5,392.0,411.0,257.2,204.1,194.8,297.8,209.3,247.3,228.5,237.2,156.9,416.2,359.7,17.9,496.1,141.7,220.5,431.2,423.1,322.6,225.2,174.9,264.5,562.7,163.4,183.9,279.2,483.0,260.4,365.1,78.3,133.3,99.2,61.2,267.7,528.9,171.6,490.1,548.3,159.0,389.8,372.8,141.8,118.2,495.1,337.2,280.4,122.4
KD,197.1,205.4,496.1,211.9,518.8,262.0,204.7,290.3,312.7,235.8,309.4,289.8,144.5,144.0,164.2,524.5,443.4,507.1,495.2,78.8,233.3,158.7,281.7,207.9,107.9,154.9,187.1,510.4,246.4,253.8,439.9,189.3,184.6,271.4,479.9,187.8,138.6,182.8,299.7,149.6,0.0,219.4,122.9,2252.4,184.8,152.3,256.4,395.1,414.1,175.4,106.5,147.7,218.7,198.7,152.5,133.7,212.0,137.1,419.1,280.6,131.6,499.2,133.2,124.8,434.3,426.0,209.0,128.1,77.8,238.0,508.1,198.6,186.8,221.3,498.0,247.8,251.4,102.8,106.8,187.6,101.1,172.9,532.0,92.9,493.2,516.8,203.5,392.9,259.1,177.0,155.8,498.2,340.3,169.4,135.0
KH,20.7,133.4,411.3,100.3,464.3,352.6,132.2,196.4,254.4,335.1,350.5,205.0,292.5,203.2,109.7,440.2,370.9,422.3,440.7,213.5,332.6,56.8,215.8,335.5,167.0,330.4,98.9,455.9,287.5,294.9,367.4,312.4,96.4,159.5,414.4,264.2,94.4,358.3,399.0,120.5,211.3,0.0,158.0,2197.9,285.0,111.2,183.9,319.8,328.8,350.9,268.9,245.7,348.7,140.0,288.7,269.9,262.7,233.2,346.6,410.6,112.2,426.6,210.6,272.8,350.0,353.5,332.1,276.1,225.8,159.9,487.8,239.7,114.3,351.3,403.0,336.7,342.2,154.6,127.3,29.6,137.5,309.1,465.2,246.7,426.4,478.8,135.3,334.6,382.3,250.4,194.5,431.4,265.0,295.0,127.7
KI,109.4,99.7,376.2,109.7,431.1,368.8,104.4,196.2,182.1,294.1,378.5,221.0,224.8,236.0,73.2,436.8,343.1,387.2,407.5,159.1,291.6,71.0,194.2,272.2,199.8,216.7,99.4,422.7,320.3,327.7,339.6,251.6,80.1,148.4,392.2,207.1,100.0,244.6,312.9,153.3,121.1,131.7,0.0,2164.7,224.2,46.6,186.1,307.4,326.4,237.2,168.8,161.8,264.8,94.2,214.8,196.0,166.4,243.9,318.8,326.7,145.0,394.1,114.4,205.1,346.6,325.7,271.3,208.4,158.1,150.3,425.7,272.5,86.5,267.4,410.3,232.6,313.8,187.4,63.8,99.9,170.3,235.2,444.3,115.0,405.5,429.1,97.8,305.2,321.5,250.9,227.3,410.5,252.6,231.7,29.3
KJ,2412.7,2469.7,2380.8,2360.1,2341.1,2432.4,2400.3,2346.2,2310.8,2409.4,2567.3,2325.7,2460.4,2469.0,2329.9,2351.5,2502.8,2391.8,2317.5,2408.6,2415.1,2374.3,2311.8,2446.7,2498.5,2492.8,2371.6,2332.7,2504.3,2511.7,2435.5,2435.2,2364.5,2364.8,2489.1,2469.5,2427.8,2520.7,2460.2,2452.0,2468.3,2458.0,2370.8,0.0,2445.9,2420.2,2353.5,2329.0,2263.1,2513.3,2417.5,2379.1,2338.2,2357.6,2463.3,2465.4,2406.4,2453.7,2455.5,2407.8,2443.7,2404.7,2470.0,2482.5,2417.7,2476.3,2418.6,2476.8,2425.6,2383.7,2330.4,2450.0,2382.4,2367.5,2295.6,2344.6,2404.7,2513.9,2419.4,2379.1,2453.8,2442.9,2362.5,2437.5,2380.8,2339.1,2467.8,2274.2,2378.7,2421.4,2503.4,2385.8,2274.2,2450.8,2402.9
KN,249.3,314.2,338.1,273.7,456.5,310.0,159.9,132.3,234.0,103.3,420.4,131.8,47.4,306.3,278.7,393.0,315.7,349.5,432.9,155.1,104.5,210.9,142.5,93.6,288.1,46.8,255.4,448.1,348.1,336.6,348.7,115.9,171.0,170.1,339.9,50.2,238.0,74.7,122.1,244.8,180.1,271.6,216.7,2314.4,0.0,263.4,158.5,246.6,260.5,67.3,214.2,151.4,208.5,220.2,75.0,96.7,65.2,299.4,327.9,194.3,226.8,345.6,87.4,48.6,307.9,298.3,112.6,57.1,114.8,194.6,418.6,299.5,148.8,257.0,395.7,222.2,137.5,245.4,201.8,243.5,264.6,73.2,392.0,164.4,353.2,415.1,289.9,315.9,190.0,257.6,297.2,358.2,195.5,97.5,246.1
KO,85.2,86.1,437.9,96.1,460.6,338.7,146.0,241.8,254.5,343.6,336.6,266.6,274.3,189.3,106.0,466.3,384.7,453.7,437.0,208.6,341.1,68.2,223.5,321.7,153.1,266.2,94.7,452.2,273.6,281.0,381.2,301.1,126.9,195.2,421.7,253.9,82.4,294.1,407.5,106.6,170.6,107.5,46.7,2194.2,274.7,0.0,232.9,336.9,355.9,286.7,218.3,208.6,311.6,141.0,264.3,245.5,198.5,219.3,360.4,373.5,98.3,441.0,163.9,254.6,376.1,367.3,320.8,257.9,207.6,179.8,449.9,225.8,128.1,314.2,439.8,322.8,363.3,140.7,115.3,97.1,123.6,284.7,473.8,164.5,435.0,458.6,84.2,334.7,371.0,204.2,180.6,440.0,282.1,281.2,16.5
KV,185.3,263.2,265.2,143.4,369.2,395.4,96.3,16.1,127.0,230.6,510.8,40.9,179.4,363.5,141.2,297.2,264.5,276.2,345.6,204.6,228.1,146.9,54.4,224.8,327.3,196.0,176.1,360.8,447.8,455.2,261.0,247.1,107.0,53.2,252.6,139.8,256.6,223.9,294.5,280.8,288.0,251.3,182.1,2183.6,160.6,231.5,0.0,173.7,186.8,216.5,335.7,236.8,339.8,103.3,209.1,227.9,108.4,393.5,240.2,321.6,272.5,271.9,174.9,197.8,207.0,247.1,246.7,188.3,216.9,77.7,338.5,400.0,123.4,342.4,258.8,307.6,237.7,314.9,228.4,207.9,297.8,204.4,304.7,217.6,265.9,324.1,261.3,207.2,296.6,378.4,354.8,270.9,118.9,231.6,214.2
LI,299.3,375.8,136.9,256.0,292.1,479.8,198.6,154.4,148.5,305.6,591.1,133.9,270.4,475.7,243.8,196.1,232.6,190.5,268.5,289.0,303.1,260.9,120.0,320.0,439.5,301.0,285.5,283.7,560.0,506.4,211.8,319.2,221.0,155.0,186.0,277.7,368.8,328.9,369.5,393.0,390.6,350.6,284.7,2155.5,254.1,334.1,161.7,0.0,92.0,321.5,386.7,321.2,374.7,223.1,299.1,317.9,214.6,505.7,231.8,396.6,384.7,198.6,286.1,302.8,88.6,206.1,302.6,286.8,301.3,197.5,246.8,512.2,207.8,426.8,140.2,392.0,312.7,427.1,333.3,320.1,394.8,278.7,267.1,302.0,228.3,237.8,373.9,228.7,371.6,423.2,467.0,233.3,54.2,312.1,316.8
LX,334.0,392.4,149.8,272.6,316.0,530.1,228.5,175.4,125.9,326.6,640.0,154.9,291.4,492.7,270.4,179.2,272.9,160.8,292.4,328.0,324.1,295.6,141.0,341.0,456.5,322.0,305.3,307.6,577.0,584.4,256.0,340.2,255.7,194.0,259.2,298.7,385.8,349.9,390.5,410.0,417.2,370.0,311.3,2089.1,275.1,360.7,182.7,86.9,0.0,342.5,438.5,360.2,435.9,253.5,320.1,338.9,235.6,522.7,276.0,417.6,401.7,238.0,313.2,323.8,175.6,246.4,323.6,307.8,340.3,227.9,270.7,529.2,246.8,465.2,123.3,442.3,333.7,444.1,366.7,337.1,411.8,299.7,283.9,341.0,272.5,261.7,390.5,174.3,392.6,519.1,484.0,277.5,103.4,333.1,343.4
MJ,306.0,322.1,405.8,341.9,524.2,324.6,261.2,200.0,301.7,171.0,435.9,199.5,104.3,321.3,280.9,465.8,383.4,416.8,500.6,151.6,168.5,267.6,210.3,149.8,299.0,20.9,303.8,515.8,362.7,351.2,416.4,149.0,227.7,226.2,407.6,86.4,242.5,7.4,234.9,241.3,191.0,328.3,239.6,2369.1,67.6,269.0,200.2,314.3,328.2,0.0,229.2,166.0,219.4,218.3,105.6,111.3,138.4,314.4,395.6,271.0,223.3,426.9,83.9,59.5,375.6,366.0,168.7,87.9,125.7,254.3,493.5,314.1,205.5,271.6,463.4,236.8,193.2,262.9,205.5,296.5,276.3,126.0,459.7,164.6,420.9,479.1,320.2,383.6,200.9,268.0,315.1,425.9,259.5,122.4,251.7
NA,229.6,254.1,500.5,260.6,603.8,210.0,216.7,294.7,294.4,166.2,259.8,294.2,185.0,92.0,212.9,556.2,455.4,511.5,543.9,86.6,174.2,207.4,305.0,134.1,157.5,187.2,235.8,559.1,196.8,204.2,451.9,98.7,192.4,244.0,502.3,216.9,187.8,215.1,238.5,168.0,87.5,251.9,171.6,2301.1,194.2,201.0,268.4,409.0,422.9,207.7,0.0,57.1,187.1,206.5,154.3,140.0,233.1,85.1,431.1,238.7,180.8,521.6,156.9,157.1,466.0,438.0,118.4,178.4,144.5,233.1,588.2,149.0,198.8,155.6,558.1,195.8,160.9,118.4,155.5,236.3,132.7,167.5,554.4,115.5,515.6,573.8,252.2,399.8,168.6,127.4,85.8,520.6,354.2,130.3,183.7
NH,213.5,245.7,431.3,241.6,555.6,158.5,159.5,262.6,237.2,134.1,269.8,262.1,152.9,167.6,193.9,467.5,398.2,442.3,573.2,29.4,142.1,175.1,272.9,102.0,197.1,155.1,236.4,561.9,196.6,185.1,394.7,66.6,135.2,186.8,435.2,184.8,181.5,183.0,206.4,190.3,89.1,235.8,145.9,2293.4,162.1,192.6,211.2,340.8,356.1,175.6,95.7,0.0,102.9,149.3,122.2,107.9,201.0,160.7,373.9,164.8,172.3,453.9,99.7,125.0,377.3,380.8,86.3,96.7,46.4,175.9,521.1,148.0,141.6,105.5,430.3,70.7,128.8,134.7,144.5,204.0,192.8,135.4,487.3,58.3,448.5,506.1,243.8,342.6,136.5,101.9,179.4,453.5,286.0,98.2,175.3
NI,348.8,387.6,401.9,373.7,452.6,172.9,259.4,231.8,333.5,71.1,246.1,231.3,122.1,212.0,316.1,450.4,392.2,412.9,470.2,151.6,76.8,310.4,242.1,108.4,295.5,178.2,354.9,458.9,191.0,161.4,376.3,96.9,270.5,269.6,423.3,167.7,338.3,206.1,121.9,349.0,211.3,371.1,268.1,2194.9,131.3,314.8,258.0,346.1,360.0,198.7,195.2,122.1,0.0,271.5,125.0,143.8,170.2,196.7,355.5,67.5,331.0,435.5,191.6,175.7,360.2,381.7,80.3,138.5,196.8,294.1,489.1,193.0,248.3,110.5,465.9,85.1,66.4,295.4,301.3,339.3,270.7,104.6,496.3,180.5,447.5,497.8,385.7,415.4,99.0,164.4,281.1,452.5,291.3,112.5,297.5
NM,145.3,184.3,299.4,92.2,417.1,323.7,65.0,88.0,105.3,302.5,465.6,112.8,211.9,319.2,58.1,364.9,328.7,310.8,393.5,132.9,300.0,106.9,122.3,254.9,283.0,222.3,97.2,408.7,403.5,410.9,325.2,231.8,97.1,79.3,320.3,229.7,188.2,250.2,321.3,236.5,209.3,167.6,103.4,2150.7,250.5,152.8,93.5,235.5,254.5,242.8,257.0,165.1,268.1,0.0,208.1,189.3,189.0,332.1,304.4,330.0,228.2,322.2,130.0,192.2,274.7,311.3,251.5,195.5,145.2,26.0,395.3,355.7,51.7,270.7,326.5,235.9,294.0,270.6,152.0,163.6,253.5,228.5,372.4,203.2,333.6,391.8,182.4,233.3,301.7,329.9,310.5,338.6,180.7,214.4,135.5
NO,290.4,345.7,379.2,314.8,525.3,232.0,201.0,173.4,275.1,93.1,338.5,172.9,54.9,229.5,292.0,440.2,356.8,390.6,474.0,83.0,90.6,252.0,183.6,58.7,245.0,83.9,301.3,489.2,270.1,258.6,353.3,74.4,212.1,211.2,381.0,81.0,256.9,111.8,140.2,248.3,153.0,312.7,237.1,2366.6,72.9,266.5,194.8,287.7,301.6,104.4,154.6,73.4,144.8,202.9,0.0,18.7,98.9,222.6,332.5,196.4,249.9,386.7,112.1,53.8,350.0,339.4,80.6,44.6,92.9,235.7,456.0,221.5,189.9,179.0,436.8,144.2,105.5,170.3,221.0,280.9,213.0,20.3,433.1,111.9,394.3,452.5,317.7,357.0,126.3,175.4,240.5,399.3,232.9,47.8,249.2
NR,292.5,300.8,398.0,307.3,544.1,213.2,219.8,192.2,293.9,111.9,324.5,191.7,74.5,210.7,259.6,459.0,375.6,409.0,492.8,64.2,109.4,254.1,202.5,77.5,226.2,69.6,282.5,508.0,251.3,239.8,372.1,80.1,170.0,230.0,399.8,99.8,238.9,97.5,175.8,229.5,134.2,314.8,218.3,2347.8,91.7,247.7,213.6,306.5,320.4,90.1,141.4,54.6,150.5,184.1,18.7,0.0,130.6,203.8,351.3,202.1,231.1,419.1,97.8,39.5,368.8,358.2,99.4,60.8,78.6,254.5,485.7,202.7,208.7,160.2,455.6,125.4,124.3,151.5,202.2,283.0,194.2,39.1,451.9,93.1,413.1,471.3,298.9,375.8,132.0,156.6,222.5,418.1,251.7,53.5,230.4
NZ,201.6,240.4,341.4,238.8,459.8,327.4,156.8,108.3,216.7,164.8,449.0,133.1,80.2,306.5,206.4,398.0,300.8,352.4,436.2,136.6,162.3,163.2,145.8,125.6,270.3,96.8,232.6,451.4,390.8,398.2,297.3,147.9,123.3,121.8,343.2,40.6,170.5,124.7,228.7,223.8,209.6,223.9,153.4,2279.5,61.4,200.1,95.8,249.9,273.6,117.3,246.2,168.8,253.3,175.5,109.9,128.7,0.0,310.9,276.5,255.8,215.5,362.5,80.8,98.6,307.8,283.4,147.5,89.1,147.4,149.9,418.2,343.0,101.1,274.4,399.0,239.6,172.4,257.9,134.3,192.1,240.8,105.2,395.3,149.6,356.5,414.7,238.5,296.9,234.8,269.1,297.8,361.5,195.1,132.4,182.8
OE,214.6,285.9,594.2,301.6,686.3,172.4,310.4,388.4,388.1,259.9,202.5,387.9,278.7,42.8,287.6,649.9,549.1,605.2,618.6,180.3,267.9,282.1,398.7,227.8,142.5,274.1,310.5,633.8,139.5,146.9,545.6,192.4,286.1,337.7,596.0,304.3,173.5,302.0,332.2,153.0,137.7,236.9,246.3,2306.5,287.9,234.7,362.1,502.7,516.6,294.6,93.6,150.8,233.6,300.2,223.2,204.4,326.8,0.0,524.8,332.4,166.5,615.3,230.4,244.0,559.7,531.7,212.1,265.3,215.6,361.4,631.5,91.7,292.5,175.5,651.8,158.2,254.6,104.1,178.1,228.0,117.7,243.6,648.1,198.3,609.3,667.5,287.8,516.3,262.3,70.1,89.5,614.3,447.9,202.7,258.4
OF,357.2,396.0,129.3,342.5,186.4,541.6,298.4,268.8,319.6,367.8,614.8,242.8,332.6,562.6,340.3,230.7,36.6,118.6,162.8,403.7,365.3,318.8,210.9,382.2,526.4,363.2,375.2,178.0,646.9,530.1,20.7,385.7,278.9,272.8,67.7,328.3,455.7,391.1,346.2,479.9,439.2,379.5,333.3,2251.8,316.3,382.7,252.6,222.0,274.0,383.7,484.0,435.9,368.6,323.4,361.3,380.1,287.4,592.6,0.0,408.5,471.6,79.9,339.4,362.8,137.3,73.1,369.1,349.0,416.0,297.8,141.1,599.1,256.7,541.5,246.2,453.8,374.9,514.0,381.9,347.7,496.9,340.9,130.7,416.7,91.9,132.1,394.1,393.4,433.8,577.5,553.9,96.9,276.3,374.3,365.4
OJ,380.6,419.4,469.4,405.5,502.4,236.2,291.2,263.6,365.3,102.9,245.6,263.1,153.9,319.1,396.1,515.8,442.0,480.4,520.0,212.4,108.6,342.2,273.9,140.2,384.6,210.0,386.7,508.7,190.5,160.9,426.1,128.7,302.3,301.4,471.2,199.5,370.1,237.9,175.0,380.8,293.9,402.9,348.0,2270.6,163.1,394.7,289.8,377.9,391.8,230.5,227.0,200.3,81.1,351.5,156.8,175.6,202.0,312.2,405.3,0.0,362.8,490.5,223.4,207.5,425.6,429.6,112.1,170.3,228.6,325.9,557.1,253.8,280.1,171.3,527.0,148.4,98.2,327.2,333.1,371.1,368.9,136.4,523.3,241.3,484.5,542.7,417.5,447.2,116.1,225.2,312.9,489.5,323.1,144.3,377.4
OQ,97.5,168.8,502.1,184.5,527.3,268.0,201.5,296.3,279.2,332.2,265.9,295.8,223.6,118.6,172.7,544.5,440.2,513.1,503.7,144.6,329.7,167.2,290.2,297.8,82.4,218.7,195.6,518.9,202.9,210.3,436.7,283.1,177.2,228.8,488.4,204.6,84.8,246.6,396.1,17.9,126.7,119.8,131.4,2260.9,225.4,117.6,290.3,403.6,435.7,239.2,184.3,176.8,279.8,191.3,239.0,220.2,219.2,148.6,415.9,341.7,0.0,507.7,123.7,202.5,454.3,422.8,302.8,207.2,156.9,246.5,516.6,155.1,183.6,270.9,506.5,252.1,344.6,70.0,115.3,110.9,52.9,259.4,540.5,153.6,501.7,525.3,170.7,401.4,352.3,133.5,109.9,506.7,348.8,257.6,143.5
OS,424.8,468.7,66.7,348.9,123.8,604.6,308.5,278.9,272.3,424.6,719.1,252.9,385.7,572.7,346.7,182.6,89.5,56.0,128.1,413.8,418.4,386.4,224.9,439.0,536.5,420.0,385.3,115.4,657.0,664.4,47.5,438.2,342.8,282.9,64.3,400.7,465.8,447.9,411.3,490.0,497.2,460.5,395.3,2203.7,369.4,440.7,262.7,197.1,220.7,440.5,544.9,446.0,436.2,329.8,418.1,436.9,358.2,602.7,67.5,476.1,481.7,0.0,410.9,421.8,112.4,93.1,417.9,409.8,426.1,307.9,69.2,609.2,332.6,551.6,198.1,516.8,435.7,520.4,439.9,417.1,488.1,397.7,77.9,426.8,78.3,65.7,466.8,370.5,490.6,587.4,568.0,87.0,251.4,435.1,423.4
OX,197.4,240.3,377.2,246.8,495.6,257.3,226.4,171.4,273.1,179.2,368.6,170.9,145.5,248.6,199.1,419.6,386.8,388.2,472.0,66.5,176.7,159.0,181.7,188.5,230.5,93.8,222.0,487.2,295.4,283.9,370.9,165.4,119.1,191.4,379.0,79.7,160.7,121.7,243.1,156.2,140.4,219.7,157.8,2287.3,100.5,187.2,165.4,285.7,310.8,114.3,188.1,98.7,201.7,133.2,141.7,122.9,109.8,241.7,350.1,263.6,138.2,398.3,0.0,77.6,329.4,337.4,185.1,129.1,78.8,219.5,464.9,246.8,170.7,204.3,434.8,169.5,227.6,207.4,123.7,187.9,176.0,162.1,431.1,79.5,392.3,450.5,238.4,355.0,235.3,200.7,260.4,397.3,230.9,148.0,169.9
PA,298.3,296.4,396.3,302.9,514.7,265.0,253.5,190.5,292.2,136.0,376.3,190.0,44.7,261.7,255.2,442.7,373.9,407.3,491.1,125.9,146.9,259.9,200.8,98.6,239.4,30.0,278.1,506.3,303.1,291.6,408.7,89.4,220.0,218.5,398.1,78.7,216.8,57.9,213.3,215.6,131.4,320.6,213.9,2343.4,59.9,243.3,192.5,304.8,318.7,50.5,169.6,106.4,159.8,192.6,46.0,51.7,128.9,254.8,387.9,211.4,197.6,417.4,58.2,0.0,352.5,356.5,109.1,28.3,66.1,246.6,484.0,254.5,197.8,212.0,453.9,177.2,133.6,203.3,179.8,288.8,235.4,66.4,450.2,118.6,411.4,469.6,294.5,374.1,141.3,208.4,255.5,416.4,250.0,62.8,226.0
PB,352.1,390.9,63.2,282.2,203.4,573.8,238.1,208.5,204.1,390.3,649.6,218.6,355.1,502.3,280.0,111.7,143.9,101.8,179.8,373.7,387.8,313.7,150.6,404.7,466.1,385.7,314.9,195.0,586.6,591.1,123.8,403.9,273.8,239.7,97.3,362.4,395.4,413.6,334.7,419.6,426.8,374.4,320.9,2132.8,338.8,370.3,192.3,84.6,167.8,406.2,471.4,405.9,402.6,307.8,383.8,402.6,265.1,532.3,143.8,481.3,411.3,109.9,370.8,387.5,0.0,117.4,387.3,371.5,386.0,282.2,158.1,538.8,292.5,511.5,127.2,486.0,397.4,453.7,369.5,342.6,436.6,363.4,178.5,386.7,152.2,149.1,389.0,298.8,456.3,507.9,493.6,157.2,138.9,396.8,353.0
PP,383.9,432.6,110.8,312.8,202.7,564.8,268.7,239.1,283.5,384.8,680.2,213.1,349.6,532.9,310.6,201.0,26.4,100.1,179.1,374.0,382.3,346.3,181.2,399.2,496.7,380.2,345.5,194.3,617.2,624.6,58.4,398.4,345.2,243.1,68.1,356.9,426.0,408.1,360.7,450.2,457.4,420.7,351.5,2222.1,333.3,400.9,222.9,198.8,244.3,400.7,505.1,406.2,407.9,293.7,378.3,397.1,293.8,562.9,76.1,475.8,441.9,117.6,371.1,382.0,114.1,0.0,381.8,366.0,386.3,268.1,172.0,569.4,292.8,511.8,216.5,477.0,391.9,484.3,400.1,377.3,467.2,357.9,138.2,387.0,99.4,164.5,430.7,363.7,450.8,547.8,524.2,104.4,253.1,391.3,383.6
PU,293.2,332.0,382.0,317.6,485.3,225.9,203.8,176.2,277.9,47.7,332.4,175.7,66.5,206.9,322.3,432.6,396.2,393.0,502.9,123.9,45.2,254.8,186.4,51.8,272.4,122.6,299.3,491.6,264.0,252.5,380.3,16.5,214.9,214.0,383.8,112.1,281.9,150.5,103.2,293.4,206.4,315.5,260.6,2358.3,75.7,307.3,202.4,290.5,304.4,143.1,114.8,112.9,123.0,264.1,69.4,88.2,134.4,200.0,359.5,138.7,275.4,385.7,136.0,113.0,347.5,342.2,0.0,82.9,141.2,238.5,458.8,215.4,192.7,172.9,439.6,138.1,59.0,233.3,245.7,283.7,256.7,49.0,435.9,152.8,397.1,455.3,330.1,359.8,104.5,167.6,200.7,402.1,235.7,56.9,290.0
QJ,279.1,308.1,367.9,304.0,486.3,257.3,234.4,162.1,263.8,107.6,368.6,161.6,16.3,267.6,280.5,409.2,345.5,378.9,462.7,81.8,105.1,240.7,172.3,79.7,231.5,67.2,289.8,477.9,295.4,283.9,342.0,99.5,200.8,199.4,369.7,59.6,245.7,95.1,154.7,252.8,123.5,301.4,225.6,2355.1,58.8,255.0,173.4,276.4,290.3,87.7,179.7,98.7,169.9,201.7,56.1,61.8,77.5,260.7,321.2,221.5,234.8,371.6,95.4,37.1,324.1,328.1,101.6,0.0,58.2,224.4,444.7,246.8,178.6,204.3,425.5,169.5,126.5,213.4,209.5,269.6,224.7,59.3,421.8,110.7,383.0,441.2,306.2,345.7,151.4,200.7,265.6,388.0,221.6,72.9,237.7
QL,241.5,249.8,418.2,256.3,536.6,199.0,153.6,212.4,314.1,157.9,310.3,211.9,66.6,209.3,208.6,464.6,395.8,429.2,513.0,23.5,155.4,203.1,222.7,130.0,173.2,77.0,231.5,528.2,237.1,225.6,392.3,107.1,129.3,249.7,420.0,109.9,188.2,104.9,221.8,198.1,65.2,263.8,167.3,2296.8,106.9,196.7,223.7,326.7,340.6,97.5,130.9,40.4,143.4,143.4,83.4,64.6,150.8,202.4,371.5,205.3,180.1,439.3,105.2,46.9,374.4,378.4,126.8,50.2,0.0,170.0,505.9,188.5,135.7,146.0,475.8,111.2,169.3,159.0,151.2,232.0,173.2,103.8,472.1,52.4,433.3,491.5,247.9,396.0,177.0,142.4,216.8,438.3,271.9,89.7,179.4
