from_stop,AC,AJ,AR,AY,BD,BJ,BN,BO,BQ,BR,BZ,CA,CC,CF,CM,CP,CU,CX,DA,DC,DK,DL,DQ,DU,EK,EL,EV,EX,EZ,FB,FE,FM,FP,FV,GD,GE,GJ,GK,GR,HA,HC,HJ,HM,HN,HU,HZ,IG,IH,IR,IS,IW,IZ,JI,JL,JR,JZ,KH,KJ,KY,LD,LI,LN,LR,LU,LY,MI,MW,NA,NB,NL,NR,NS,OM,OO,OR,OT,OV,OW,PA,PC,PI,PL,PO,PS,PU,PV,PW,QE,QK,QY,RC,RE,RH,RN,RU,SA,SU,SW,TH,TI,TK,TQ,TR,TX,UF,UG,UH,UT,UV,UY,VI,VL,VM,VQ,VR,VZ,WP,WQ,WR,WU,WW,WX,XE,XF,XJ,XO,XS,XY,YR,YX,ZA,ZF,ZJ,ZN,ZO,ZU
DU,347.7,440.1,222.9,383.7,535.1,489.0,220.3,497.9,842.5,515.2,202.5,354.7,314.4,171.9,467.9,417.9,437.4,824.2,466.6,756.4,355.1,451.5,540.3,0.0,554.9,493.8,420.2,501.3,420.3,735.9,559.9,450.2,460.6,113.2,494.0,426.5,111.2,458.5,524.2,617.2,380.3,2689.2,489.2,313.0,324.4,883.0,261.8,843.0,135.3,481.2,500.0,679.8,729.1,845.4,352.8,419.5,374.9,894.2,165.3,296.0,964.7,539.3,276.7,566.1,520.5,395.0,225.6,434.8,643.4,367.5,844.4,605.5,427.7,645.7,564.0,317.6,575.3,152.6,50.7,505.7,255.4,36.7,806.7,506.0,168.9,183.3,176.0,500.2,156.5,154.9,880.4,258.6,235.9,204.9,458.2,93.9,719.9,679.1,176.6,415.5,389.7,493.6,285.4,552.5,192.3,147.1,870.0,346.3,232.8,466.6,801.5,346.0,316.7,496.1,434.1,615.2,455.1,296.2,439.6,367.0,549.1,270.8,147.7,425.3,536.7,364.8,461.5,333.4,474.9,506.1,552.6,509.5,849.7,537.1,429.4,189.3
EK,622.3,669.4,424.2,237.2,193.7,553.4,482.5,577.9,417.4,495.7,464.7,288.1,274.6,467.0,435.6,385.6,506.9,446.3,418.5,720.2,322.8,531.5,302.6,541.9,0.0,461.5,484.6,304.7,286.2,724.8,58.9,605.7,525.0,538.4,574.0,655.8,442.3,160.5,202.8,599.7,348.0,2264.1,661.2,244.7,317.6,505.1,436.6,465.1,448.4,412.2,672.0,716.4,692.9,420.3,520.9,387.2,633.4,858.0,493.5,539.0,704.2,13.9,551.3,154.0,600.5,624.3,487.0,514.8,575.7,641.3,808.2,50.5,580.5,90.7,644.0,382.0,94.8,506.6,588.7,575.2,530.0,578.7,428.8,678.0,464.0,456.5,471.1,569.7,502.4,580.2,482.3,342.5,427.1,527.0,213.6,555.5,756.5,642.9,471.7,258.3,357.4,346.2,547.6,632.5,454.5,460.2,492.1,410.7,410.2,203.5,578.8,296.9,591.3,129.8,401.8,60.2,524.6,615.1,114.9,276.5,459.3,545.4,572.9,393.0,319.0,332.5,200.6,309.5,554.9,471.9,498.4,412.4,443.1,403.7,648.4,484.4
EL,542.9,622.9,344.8,492.8,493.2,224.3,403.1,680.7,874.9,204.1,385.3,226.7,397.7,387.6,99.5,75.6,213.3,934.5,162.7,972.1,135.6,634.3,212.0,462.5,488.1,0.0,212.0,221.5,409.3,984.5,547.1,645.4,168.8,459.0,676.8,609.3,362.9,567.6,502.3,832.9,159.7,2469.1,684.4,221.3,256.2,974.8,357.2,953.3,369.0,260.6,695.2,895.5,944.8,877.8,535.6,198.9,570.1,1109.9,414.1,478.8,1173.9,472.5,466.0,642.2,703.3,577.8,425.6,617.6,859.1,562.7,1060.1,538.7,616.9,578.9,746.8,320.6,583.0,427.2,513.3,233.8,450.6,499.3,897.9,701.2,384.6,380.7,391.7,326.7,423.0,504.4,939.8,263.1,322.3,447.6,513.1,491.4,935.6,894.8,392.3,524.6,101.1,676.4,468.2,735.3,375.1,380.8,980.3,285.0,348.8,503.0,1048.5,235.5,511.9,429.3,130.2,548.4,333.1,479.0,372.8,215.1,167.7,466.0,493.5,68.0,237.3,125.7,570.6,248.1,657.7,180.3,206.8,120.8,900.6,320.5,624.6,405.0
EV,582.5,662.5,384.4,501.1,517.2,68.7,442.7,720.3,989.1,94.9,424.9,229.4,431.8,427.2,219.3,153.6,103.3,958.5,184.3,1011.7,175.2,673.9,298.8,427.0,512.1,179.2,0.0,258.9,451.3,991.2,571.1,685.0,69.5,464.2,716.4,648.9,402.5,575.9,526.3,872.5,199.3,2583.3,724.0,270.2,199.1,1089.0,396.8,977.3,408.6,320.0,734.8,935.1,984.4,992.0,575.2,274.8,609.7,1149.5,453.7,518.4,1288.1,496.5,511.5,666.2,742.9,617.4,297.8,657.2,898.7,602.3,1099.7,562.7,656.5,602.9,786.4,115.3,607.0,434.6,379.0,131.9,490.2,393.0,1012.1,740.8,424.2,246.8,431.3,114.6,462.6,370.5,1054.0,302.7,287.7,487.2,537.1,345.8,975.2,934.4,431.9,532.9,140.7,716.0,507.8,774.9,414.7,420.4,1004.3,86.0,200.5,527.0,1162.7,220.7,551.5,453.3,151.8,572.4,121.0,518.6,396.8,254.7,128.8,505.6,533.1,199.3,295.2,165.3,578.9,208.1,697.3,85.8,132.3,89.2,1014.8,331.0,664.2,444.6
EX,566.6,646.6,368.5,316.7,317.1,294.9,426.8,704.4,729.5,274.7,409.0,253.1,221.6,411.3,214.7,164.7,386.0,758.4,132.8,1032.3,159.3,658.0,38.9,486.2,312.0,240.6,282.6,0.0,233.2,1036.9,371.0,669.1,352.2,482.7,700.5,633.0,386.6,391.5,326.2,911.8,161.2,2422.7,708.1,209.7,282.6,817.2,380.9,777.2,392.7,107.4,718.9,919.2,1005.0,732.4,559.3,109.6,593.8,1170.1,437.8,502.5,1016.3,296.4,495.6,466.1,727.0,601.5,452.0,641.3,887.8,586.4,1120.3,362.6,640.6,402.8,770.5,347.0,406.9,450.9,537.0,414.6,474.3,523.0,740.9,724.9,408.3,421.5,415.4,397.3,446.7,545.2,794.4,286.8,374.1,471.3,337.0,520.5,959.3,955.0,416.0,348.5,136.5,658.3,491.9,759.0,398.8,404.5,804.2,308.7,375.2,326.9,890.9,261.9,535.6,253.2,121.3,372.3,403.7,502.7,196.7,241.5,238.3,489.7,517.2,172.1,35.3,190.0,394.5,274.5,681.4,250.9,277.4,191.4,755.2,98.9,648.3,428.7
EZ,491.5,571.5,293.4,195.5,294.8,519.5,351.7,629.3,710.6,461.8,333.9,254.2,100.4,336.2,401.7,351.7,473.0,739.5,366.6,920.7,288.9,582.9,250.7,411.1,293.1,427.6,450.7,252.8,0.0,900.2,352.1,594.0,491.1,407.6,625.4,557.9,311.5,270.3,283.9,781.5,314.1,2593.2,633.0,210.8,283.7,798.3,305.8,758.3,317.6,360.3,643.8,844.1,893.4,713.5,484.2,353.3,518.7,1058.5,362.7,427.4,997.4,277.5,420.5,377.9,651.9,526.4,358.0,566.2,868.9,511.3,1008.7,343.7,565.5,383.9,695.4,348.1,351.1,375.8,443.5,541.3,399.2,457.5,722.0,649.8,333.2,311.3,340.3,535.8,371.6,435.0,775.5,260.4,252.9,396.2,217.9,410.3,884.2,843.4,340.9,227.3,323.5,639.4,416.8,683.9,323.7,329.4,785.3,376.8,329.1,226.3,872.0,263.0,460.5,234.3,360.8,353.4,490.7,427.6,177.8,242.6,425.4,414.6,442.1,359.1,267.1,298.6,273.3,275.6,606.3,438.0,464.5,378.5,736.3,351.8,573.2,353.6
FB,720.0,801.7,689.4,850.2,985.7,1014.7,686.8,710.2,343.9,994.5,669.0,804.9,780.9,564.8,934.4,884.4,1008.3,440.6,933.1,104.9,821.6,663.8,1006.8,733.3,791.9,960.3,1008.5,967.8,886.8,0.0,847.7,738.0,1048.9,726.3,706.3,788.1,633.7,925.0,990.7,230.3,846.8,2254.4,793.5,779.5,834.4,313.5,728.3,421.8,619.8,947.7,804.3,122.2,217.2,340.9,653.2,886.0,747.2,233.0,611.2,712.4,478.9,805.9,643.1,942.8,732.8,756.6,796.5,647.1,206.3,739.8,153.9,839.3,712.8,701.8,776.3,905.9,883.6,624.3,818.3,1076.6,627.7,770.1,399.2,810.3,640.4,771.6,560.3,1071.1,620.1,801.7,441.1,725.1,735.6,644.7,924.7,796.8,52.1,95.0,623.4,882.0,856.2,478.5,751.9,764.8,658.8,631.6,394.8,934.6,821.1,933.1,345.0,813.7,689.0,921.8,900.6,849.0,1026.0,747.4,906.1,793.3,958.1,643.1,722.1,891.8,1003.2,872.4,928.0,826.3,687.2,970.7,997.2,904.0,401.9,1003.6,801.7,546.9
FE,639.3,717.2,441.2,178.2,206.4,624.4,499.5,625.7,465.2,566.7,481.7,359.1,274.0,484.0,506.6,456.6,577.9,494.1,489.5,768.0,393.8,579.3,373.6,558.9,70.9,532.5,555.6,375.7,357.2,772.6,0.0,653.5,596.0,555.4,621.8,703.6,459.3,101.5,195.5,647.5,419.0,2311.9,709.0,315.7,388.6,552.9,453.6,512.9,465.4,483.2,719.8,764.2,740.7,468.1,568.7,458.2,681.2,905.8,510.5,586.8,752.0,84.9,568.3,95.0,648.3,672.1,505.8,562.6,623.5,689.1,856.0,60.3,628.3,138.5,691.8,453.0,35.8,523.6,591.3,646.2,547.0,605.3,476.6,725.8,481.0,459.1,488.1,640.7,519.4,582.8,530.1,408.2,400.7,544.0,172.0,558.1,804.3,690.7,488.7,199.3,428.4,394.0,564.6,680.3,471.5,477.2,539.9,481.7,476.9,161.9,626.6,367.9,608.3,200.8,472.8,66.0,595.6,662.9,185.9,347.5,530.3,562.4,589.9,464.0,390.0,403.5,141.6,380.5,602.7,542.9,569.4,483.4,490.9,474.7,696.2,501.4
FM,184.0,303.5,389.8,550.6,702.0,715.1,251.5,258.4,633.9,694.9,270.3,505.3,481.3,298.8,634.8,584.8,728.3,615.6,633.5,717.2,522.0,212.0,707.2,470.7,614.9,660.7,731.8,668.2,587.2,721.8,726.8,0.0,772.2,422.4,254.5,289.9,347.8,625.4,691.1,578.0,547.2,2480.6,121.6,479.9,534.8,674.4,428.7,634.4,333.9,648.1,132.4,651.7,689.9,636.8,155.0,586.4,93.8,855.0,307.3,173.1,873.5,628.9,199.0,733.0,281.0,258.4,516.5,195.3,604.2,101.7,805.2,662.3,40.9,524.8,324.5,629.2,742.2,320.4,521.5,796.6,286.1,507.5,598.1,138.4,354.5,494.9,302.9,791.1,316.2,525.0,671.8,425.5,436.0,340.8,625.1,520.1,691.8,639.9,319.1,582.4,556.6,254.1,280.7,313.0,280.6,345.7,661.4,657.9,544.4,633.5,748.1,514.1,300.3,663.0,601.0,672.0,746.0,249.2,606.5,493.7,658.5,273.2,418.2,592.2,703.6,531.7,628.4,526.7,235.4,671.1,697.6,611.6,641.1,704.0,108.8,316.2
FP,655.0,735.0,456.9,546.2,562.3,163.0,515.2,792.8,969.9,189.2,497.4,274.5,492.7,499.7,200.1,187.7,160.1,1003.6,278.6,1084.2,247.7,746.4,307.0,472.1,557.2,160.0,94.2,316.5,504.3,1063.7,616.2,757.5,0.0,509.3,788.9,721.4,475.0,621.0,571.4,945.0,271.8,2564.1,796.5,315.3,244.2,1069.8,469.3,1022.4,481.1,372.7,807.3,1007.6,1056.9,972.8,647.7,311.0,682.2,1222.0,492.4,590.9,1268.9,541.6,584.0,711.3,815.4,689.9,340.4,729.7,971.2,674.8,1172.2,607.8,729.0,648.0,858.9,160.4,652.1,479.7,424.1,135.3,562.7,438.1,992.9,813.3,496.7,291.9,503.8,177.7,483.6,415.6,1034.8,375.2,332.8,532.0,582.2,390.9,1047.7,1006.9,504.4,578.0,213.2,788.5,580.3,847.4,487.2,492.9,1049.4,131.1,245.6,572.1,1143.5,265.8,624.0,498.4,246.1,617.5,147.6,591.1,441.9,286.8,223.1,578.1,566.9,180.1,332.3,237.8,624.0,253.2,769.8,180.1,226.6,183.5,995.6,415.5,736.7,517.1
FV,307.4,437.4,220.2,381.0,532.4,496.6,217.6,495.2,839.8,522.8,199.8,362.3,311.7,169.2,465.2,415.2,449.7,821.5,463.9,753.7,352.4,448.8,537.6,134.0,552.2,491.1,427.8,498.6,417.6,733.2,557.2,409.9,468.2,0.0,491.3,423.8,108.5,455.8,521.5,614.5,377.6,2686.5,448.9,310.3,332.0,880.3,259.1,840.3,132.6,478.5,459.7,677.1,726.4,842.7,350.1,416.8,334.6,891.5,125.0,293.3,962.0,536.6,236.4,563.4,517.8,392.3,237.9,432.1,640.7,327.2,841.7,602.8,387.4,643.0,561.3,325.2,572.6,112.3,184.8,518.0,215.1,170.8,804.0,465.7,166.2,190.9,173.3,512.5,116.2,229.1,877.7,255.9,243.5,164.6,455.5,204.4,717.2,676.4,173.9,412.8,387.0,490.9,282.7,549.8,189.6,144.4,867.3,353.9,240.4,463.9,798.8,353.6,276.4,493.4,431.4,612.5,467.4,293.5,436.9,374.6,556.7,230.5,111.3,422.6,534.0,362.1,458.8,341.0,472.2,513.7,560.2,517.1,847.0,534.4,389.1,186.6
GD,385.4,331.2,417.5,578.3,729.7,742.8,279.2,137.1,595.2,722.6,298.0,533.0,509.0,419.4,662.5,612.5,751.8,576.9,661.2,678.5,549.7,90.7,734.9,494.3,576.2,688.4,727.3,695.9,614.9,690.9,632.0,267.5,767.7,490.8,0.0,317.6,394.7,653.1,718.8,539.3,574.9,2441.9,323.0,507.6,562.5,635.7,456.4,595.7,400.8,675.8,333.8,613.0,651.2,598.1,182.7,614.1,295.2,816.3,445.9,200.8,834.8,590.2,400.4,760.7,45.1,286.1,568.8,74.0,565.5,303.1,766.5,623.6,242.3,486.1,88.6,624.7,667.9,459.0,545.1,820.1,487.5,531.1,559.4,339.8,416.4,522.1,423.5,814.6,454.8,612.4,633.1,453.2,463.7,479.4,652.8,587.7,653.1,601.2,424.1,610.1,584.3,215.4,308.4,77.1,308.3,412.6,622.7,653.4,539.9,661.2,709.4,541.8,501.7,690.7,628.7,633.3,769.5,276.9,634.2,521.4,686.2,474.6,525.3,619.9,731.3,559.4,656.1,554.4,114.1,698.8,725.3,632.1,602.4,731.7,310.2,436.8
GE,417.9,140.7,347.1,507.9,659.3,672.4,208.8,338.6,714.1,652.2,227.6,462.6,438.6,349.0,592.1,542.1,681.4,695.8,590.8,797.4,479.3,292.2,664.5,423.9,679.1,618.0,656.9,625.5,544.5,802.0,684.1,300.0,697.3,420.4,334.7,0.0,324.3,582.7,648.4,658.2,504.5,2560.8,355.5,437.2,492.1,754.6,386.0,714.6,330.4,605.4,366.3,731.9,770.1,717.0,193.5,543.7,327.7,935.2,375.5,130.4,953.7,663.5,427.0,690.3,361.2,68.8,498.4,275.5,684.4,335.6,885.4,729.7,274.8,605.0,404.7,554.3,699.5,388.6,474.7,749.7,412.0,460.7,678.3,372.3,346.0,451.7,353.1,744.2,384.4,542.0,752.0,382.8,393.3,409.0,582.4,517.3,772.0,720.1,353.7,539.7,513.9,334.3,238.0,393.2,237.9,342.2,741.6,583.0,469.5,590.8,828.3,471.4,473.3,620.3,558.3,739.4,699.1,206.5,563.8,451.0,615.8,427.4,454.9,549.5,660.9,489.0,585.7,484.0,315.6,628.4,654.9,568.9,721.3,661.3,342.7,366.4
GJ,215.9,328.8,111.6,272.4,423.8,485.1,109.0,386.6,731.2,416.7,91.2,227.1,203.1,60.6,356.6,306.6,420.2,712.9,355.3,645.1,243.8,340.2,429.0,99.5,443.6,382.5,416.3,390.0,309.0,624.6,448.6,318.4,456.7,96.0,382.7,315.2,0.0,347.2,412.9,505.9,269.0,2577.9,357.4,201.7,320.5,771.7,150.5,731.7,24.0,369.9,368.2,568.5,617.8,734.1,241.5,308.2,243.1,782.9,87.1,184.7,853.4,428.0,144.9,454.8,409.2,283.7,208.4,323.5,532.1,235.7,733.1,494.2,295.9,534.4,452.7,313.7,464.0,100.2,150.3,488.5,123.6,136.3,695.4,374.2,57.6,179.4,64.7,483.0,96.0,217.6,769.1,147.3,232.0,120.6,346.9,192.9,608.6,567.8,65.3,304.2,278.4,382.3,174.1,441.2,81.0,35.8,758.7,342.4,228.9,355.3,690.2,235.9,184.9,384.8,322.8,503.9,437.9,184.9,328.3,215.5,380.3,139.0,130.5,314.0,425.4,253.5,350.2,329.5,363.6,392.9,419.4,333.4,738.4,425.8,297.6,78.0
GK,537.7,617.7,339.6,76.6,287.3,631.5,397.9,727.1,566.6,576.0,380.1,400.5,172.4,382.4,515.9,465.9,590.7,595.5,514.6,869.4,403.1,680.7,397.0,457.3,172.3,541.8,562.7,399.1,278.3,874.0,101.3,640.2,603.1,453.8,723.2,604.1,357.7,0.0,276.4,748.9,428.3,2413.3,679.2,361.0,430.0,654.3,352.0,614.3,363.8,506.6,690.0,865.6,842.1,569.5,530.4,467.5,564.9,1007.2,408.9,473.6,853.4,186.3,466.7,107.5,749.7,572.6,404.2,664.0,724.9,557.5,957.4,161.7,611.7,239.9,793.2,460.1,116.7,422.0,489.7,659.0,445.4,503.7,578.0,696.0,379.4,357.5,386.5,653.5,417.8,481.2,631.5,306.6,299.1,442.4,252.9,456.5,905.7,792.1,387.1,97.7,437.7,495.4,463.0,781.7,369.9,375.6,641.3,488.8,375.3,242.8,728.0,409.3,506.7,302.2,482.1,167.4,608.4,473.8,287.3,388.9,539.6,460.8,488.3,473.3,413.4,412.8,40.0,421.9,704.1,552.2,578.7,492.7,592.3,498.1,619.4,399.8
GR,615.6,695.6,417.5,319.6,32.7,575.0,475.8,768.2,607.7,517.3,458.0,309.7,224.5,460.3,457.2,407.2,528.5,636.6,440.1,910.5,344.4,721.8,324.2,535.2,190.2,483.1,506.2,326.3,284.1,915.1,229.9,718.1,546.6,531.7,764.3,682.0,435.6,291.0,0.0,790.0,369.6,2454.4,757.1,266.3,339.2,695.4,429.9,655.4,441.7,433.8,767.9,906.7,883.2,610.6,711.2,408.8,642.8,1048.3,486.8,551.5,894.5,174.6,544.6,284.5,790.8,650.5,482.1,705.1,766.0,635.4,998.5,240.8,770.8,281.0,834.3,403.6,181.3,499.9,567.6,596.8,523.3,581.6,619.1,773.9,457.3,435.4,464.4,591.3,495.7,559.1,672.6,384.5,377.0,520.3,70.6,534.4,946.8,833.2,465.0,351.4,379.0,536.5,540.9,822.8,447.8,453.5,682.4,432.3,431.8,60.5,769.1,318.5,584.6,151.4,423.4,250.5,546.2,551.7,136.5,298.1,480.9,538.7,566.2,414.6,340.6,354.1,331.1,331.1,745.2,493.5,520.0,434.0,633.4,425.3,697.3,477.7
HA,599.3,636.4,568.7,729.5,820.4,894.0,566.1,544.9,212.4,873.8,548.3,684.2,660.2,444.1,813.7,763.7,887.6,309.1,812.4,199.3,700.9,498.5,886.1,612.6,626.6,839.6,887.8,847.1,766.1,203.9,682.4,572.7,928.2,605.6,541.0,622.8,513.0,784.0,829.5,0.0,726.1,2231.4,628.2,658.8,713.7,182.0,607.6,290.3,499.1,827.0,639.0,272.6,172.0,209.4,487.9,765.3,600.4,337.1,490.5,506.0,347.4,640.6,528.3,777.5,567.5,591.3,675.8,481.8,26.1,619.1,287.3,674.0,547.5,536.5,611.0,785.2,718.3,503.6,697.6,955.9,507.0,649.4,267.7,645.0,519.7,650.9,439.6,950.4,499.4,689.1,309.6,604.4,614.9,524.0,804.0,664.4,256.1,122.0,502.7,761.3,735.5,313.2,613.6,599.5,538.1,510.9,263.3,813.9,700.4,812.4,184.2,693.0,568.3,756.5,779.9,683.7,905.3,582.1,741.6,672.6,837.4,522.4,601.4,771.1,882.5,710.6,807.3,705.6,521.9,850.0,876.5,790.5,270.4,882.9,615.4,426.2
HC,447.4,527.4,249.3,361.4,372.8,212.1,307.6,585.2,785.2,191.9,289.8,131.2,368.4,292.1,131.8,81.8,303.2,814.1,130.5,876.6,40.1,538.8,185.7,367.0,367.7,157.7,199.8,146.7,380.0,856.1,426.7,549.9,269.4,363.5,581.3,513.8,267.4,436.2,381.9,737.4,0.0,2539.5,588.9,125.8,160.7,872.9,261.7,832.9,273.5,100.8,599.7,800.0,849.3,788.1,440.1,39.1,474.6,1014.4,318.6,383.3,1072.0,352.1,376.4,521.8,607.8,482.3,330.1,522.1,763.6,467.2,964.6,418.3,521.4,458.5,651.3,225.1,462.6,331.7,417.8,331.8,355.1,403.8,796.6,605.7,289.1,285.2,296.2,314.5,327.5,408.9,850.1,167.6,226.8,352.1,392.7,384.2,840.1,799.3,296.8,393.2,53.6,580.9,372.7,639.8,279.6,285.3,859.9,189.5,253.3,382.6,946.6,140.0,416.4,308.9,98.0,428.0,320.9,383.5,252.4,119.6,155.5,370.5,398.0,89.2,182.1,28.7,439.2,152.6,562.2,168.1,194.6,108.6,810.9,156.7,529.1,309.5
HJ,2788.6,2734.4,2820.7,2677.5,2637.2,2899.7,2682.4,2642.9,2235.6,2879.5,2701.2,2731.6,2718.1,2702.3,2744.8,2751.0,2876.8,2368.5,2764.9,2424.6,2766.3,2596.5,2702.5,2870.8,2443.4,2766.1,2960.9,2704.6,2729.7,2418.9,2499.2,2670.7,2937.0,2863.8,2639.0,2720.8,2771.2,2600.8,2646.3,2486.6,2791.5,0.0,2726.2,2688.2,2761.1,2335.5,2859.6,2387.3,2757.3,2812.1,2737.0,2541.2,2458.9,2238.5,2585.9,2830.7,2698.4,2513.6,2748.7,2604.0,2534.6,2457.4,2786.5,2594.3,2665.5,2689.3,2924.1,2579.8,2406.1,2706.3,2431.7,2490.8,2645.5,2353.3,2709.0,2825.5,2535.1,2761.8,2955.8,2943.3,2765.2,2907.6,2258.6,2743.0,2777.9,2909.1,2697.8,2974.6,2757.6,2947.3,2300.5,2856.4,2870.6,2782.2,2657.1,2922.6,2471.1,2423.4,2760.9,2698.6,2800.9,2411.2,2711.6,2697.5,2711.5,2769.1,2414.3,2854.2,2853.7,2647.0,2409.2,2740.4,2826.5,2573.3,2793.7,2500.5,2904.3,2680.1,2558.4,2720.0,2843.1,2780.6,2859.6,2743.4,2718.9,2776.0,2640.9,2753.0,2619.9,2855.7,2882.2,2796.2,2261.3,2803.6,2713.4,2684.4
HM,225.5,361.5,445.0,605.8,757.2,770.3,309.5,316.4,691.9,750.1,328.3,560.5,536.5,340.3,690.0,640.0,769.8,673.6,688.7,775.2,577.2,270.0,762.4,512.2,672.9,715.9,773.3,723.4,642.4,779.8,782.0,104.1,813.7,463.9,312.5,347.9,389.3,680.6,746.3,636.0,602.4,2538.6,0.0,535.1,590.0,732.4,483.9,692.4,375.4,703.3,11.1,709.7,747.9,694.8,213.0,641.6,135.3,913.0,348.8,231.1,931.5,761.4,234.6,788.2,339.0,316.4,558.0,253.3,662.2,143.2,863.2,720.3,81.6,582.8,382.5,670.7,797.4,361.9,563.0,838.1,327.6,549.0,656.1,73.1,396.0,536.4,344.4,832.6,357.7,574.6,729.8,480.7,491.2,382.3,680.3,549.9,749.8,697.9,360.6,637.6,611.8,312.1,338.7,371.0,338.6,387.2,719.4,699.4,585.9,688.7,806.1,569.3,341.8,718.2,656.2,730.0,787.5,307.2,661.7,548.9,713.7,314.7,459.7,647.4,758.8,586.9,683.6,581.9,293.4,726.3,752.8,666.8,699.1,759.2,150.3,357.7
HN,377.5,457.5,179.4,264.5,246.9,308.6,237.7,515.3,659.3,250.9,219.9,43.3,169.4,222.2,190.8,140.8,262.1,688.2,189.5,806.7,78.0,468.9,217.4,297.1,241.8,216.7,239.8,224.2,181.0,786.2,300.8,480.0,280.2,293.6,511.4,443.9,197.5,339.3,256.0,667.5,103.2,2559.9,519.0,0.0,72.8,747.0,191.8,707.0,203.6,204.1,529.8,730.1,779.4,662.2,370.2,142.4,404.7,944.5,248.7,313.4,946.1,226.2,306.5,395.9,537.9,412.4,242.2,452.2,693.7,397.3,894.7,292.4,451.5,332.6,581.4,137.2,336.7,261.8,343.9,330.4,285.2,333.9,670.7,535.8,219.2,211.7,226.3,324.9,257.6,335.4,724.2,97.7,156.9,282.2,266.8,310.7,770.2,729.4,226.9,296.3,112.6,588.1,302.8,569.9,209.7,215.4,734.0,165.9,165.4,256.7,820.7,52.1,346.5,183.0,157.0,302.1,279.8,313.6,126.5,31.7,214.5,300.6,328.1,148.2,259.6,87.7,342.3,64.7,492.3,227.1,253.6,167.6,685.0,260.0,459.2,239.6
HU,409.6,489.6,211.5,334.6,317.0,234.7,269.8,547.4,729.4,260.9,252.0,29.2,239.5,254.3,242.9,192.9,188.2,758.3,241.6,838.8,130.1,501.0,287.5,329.2,311.9,268.8,165.9,289.6,251.1,818.3,370.9,512.1,206.3,325.7,543.5,476.0,229.6,409.4,326.1,699.6,155.3,2630.0,551.1,70.0,0.0,817.1,223.9,777.1,235.7,256.2,561.9,762.2,811.5,732.3,402.3,194.5,436.8,976.6,280.8,345.5,1016.2,296.3,338.6,466.0,570.0,444.5,168.3,484.3,725.8,429.4,926.8,362.5,483.6,402.7,613.5,63.3,406.8,293.9,270.0,256.5,317.3,284.0,740.8,567.9,251.3,137.8,258.4,251.0,289.7,261.5,794.3,129.8,189.0,314.3,336.9,236.8,802.3,761.5,259.0,366.4,164.7,543.1,334.9,602.0,241.8,247.5,804.1,92.0,91.5,326.8,890.8,20.5,378.6,253.1,209.1,372.2,205.9,345.7,196.6,41.5,294.8,332.7,360.2,200.3,303.9,139.8,412.4,7.9,524.4,251.8,298.3,255.2,755.1,312.1,491.3,271.7
HZ,754.4,791.5,723.8,848.8,808.5,1049.1,721.2,700.0,111.3,1028.9,703.4,839.3,815.3,599.2,968.8,918.8,1042.7,127.0,967.5,276.0,856.0,653.6,917.4,767.7,614.7,994.7,1042.9,919.5,901.0,280.6,670.5,727.8,1083.3,760.7,696.1,777.9,668.1,772.1,817.6,155.5,881.2,2137.3,783.3,813.9,868.8,0.0,762.7,108.2,654.2,982.1,794.1,349.3,248.7,108.3,643.0,920.4,755.5,413.8,645.6,661.1,260.0,628.7,683.4,765.6,722.6,746.4,830.9,636.9,131.5,774.2,364.0,662.1,702.6,524.6,766.1,940.3,706.4,658.7,852.7,1111.0,662.1,804.5,166.6,800.1,674.8,806.0,594.7,1105.5,654.5,844.2,208.5,759.5,770.0,679.1,828.4,819.5,332.8,198.7,657.8,869.9,890.6,468.3,768.7,754.6,693.2,666.0,81.2,969.0,855.5,818.3,134.6,848.1,723.4,744.6,935.0,671.8,1060.4,737.2,729.7,827.7,992.5,677.5,756.5,926.2,933.8,865.7,812.2,860.7,677.0,1005.1,1031.6,945.6,169.3,1018.5,770.5,581.3
IG,308.8,388.8,110.7,265.0,416.4,429.5,169.0,446.6,822.1,409.3,151.2,219.7,195.7,153.5,349.2,299.2,438.5,803.8,347.9,738.0,236.4,400.2,421.6,228.4,436.2,375.1,414.0,382.6,301.6,717.5,441.2,411.3,454.4,224.9,442.7,375.2,128.8,339.8,405.5,598.8,261.6,2756.9,450.3,194.3,249.2,862.6,0.0,822.6,134.9,362.5,461.1,661.4,710.7,825.0,301.5,300.8,336.0,875.8,180.0,244.7,946.3,420.6,231.9,447.4,469.2,343.7,337.3,383.5,625.0,328.6,826.0,486.8,382.8,527.0,512.7,311.4,456.6,193.1,279.2,506.8,216.5,265.2,786.3,467.1,150.5,308.3,157.6,501.3,188.9,346.5,860.0,139.9,150.4,213.5,339.5,321.8,701.5,660.7,158.2,296.8,271.0,442.3,234.1,501.2,141.0,146.7,849.6,340.1,226.6,347.9,783.1,228.5,277.8,377.4,315.4,496.5,456.2,244.9,320.9,208.1,372.9,231.9,259.4,306.6,418.0,246.1,342.8,241.1,423.6,385.5,412.0,318.8,829.3,418.4,390.5,170.9
