from_stop,AF,AL,AS,AT,AV,AW,BS,BU,BZ,CD,CF,CJ,CN,CQ,CY,DD,DH,DM,DN,DQ,DS,DT,DU,DZ,EA,EC,EG,EI,EJ,EL,EP,EV,EW,EX,FF,FL,FZ,GC,GH,GO,GY,HH,HJ,HO,HX,HY,IB,ID,IG,IJ,IQ,IW,JE,JF,JH,JJ,JM,JN,JV,JX,KA,KF,KH,KT,KU,KW,LL,LN,LQ,LU,LV,MD,MP,MR,NC,NG,NQ,NS,NT,NW,NY,OC,OF,OI,OP,OR,OT,PB,PH,PJ,PR,PY,QE,QG,QJ,QX,RB,RJ,RY,SE,SU,TE,TJ,TZ,UC,UG,UH,UN,UQ,UZ,VB,VG,VH,VO,VR,WD,WE,WF,WN,WQ,WS,WW,WZ,XB,XD,XW,XZ,YH,YN,YP,YS,YW,ZF,ZG,ZK,ZW,ZX
DZ,560.4,603.5,274.4,467.0,387.4,239.9,495.8,344.4,726.6,744.7,318.3,309.9,701.3,291.1,533.1,125.9,277.0,378.4,384.6,351.5,488.6,198.3,242.2,0.0,357.9,84.5,565.1,561.8,559.1,323.9,300.7,330.8,162.3,306.1,717.2,697.8,436.6,410.2,340.2,581.6,401.6,580.4,712.3,462.3,335.1,592.0,397.8,246.0,590.2,638.4,728.8,645.0,396.3,400.4,160.4,718.2,332.8,716.9,733.7,248.8,541.6,748.1,719.6,716.4,71.9,303.9,724.3,584.1,580.7,400.5,425.9,752.7,71.6,614.9,509.1,469.6,95.8,663.1,312.7,160.5,578.9,298.8,103.2,377.4,685.8,453.2,655.2,748.8,368.3,763.2,141.0,711.4,712.0,439.0,546.2,384.1,369.5,2402.1,538.6,366.9,731.7,115.5,639.2,704.1,138.5,531.6,332.7,352.2,738.0,753.7,512.1,160.2,125.2,112.8,126.6,555.0,483.8,741.8,639.7,647.6,283.8,413.6,514.0,337.3,134.7,177.0,501.7,310.7,352.8,660.5,446.3,546.0,357.2,550.7,400.1,337.5,191.2
EA,233.3,276.4,517.5,109.0,29.4,515.2,405.7,574.5,633.0,637.1,507.7,573.0,607.7,480.5,206.0,401.2,525.1,575.3,605.5,609.4,359.0,488.1,485.8,316.5,0.0,241.9,349.9,454.2,279.2,478.1,43.1,593.9,452.1,495.9,609.6,604.2,632.1,695.9,534.5,280.4,623.1,534.5,618.7,683.8,578.2,192.6,39.8,454.9,348.5,530.8,635.2,537.4,470.3,474.7,435.7,624.6,468.4,623.3,626.1,524.1,306.4,654.5,626.0,622.8,361.7,517.5,630.7,226.1,363.9,621.4,680.2,664.6,280.5,335.0,229.2,111.6,385.6,383.2,602.5,450.3,382.1,581.4,393.0,640.5,592.2,709.6,225.8,655.2,453.1,669.6,252.3,617.8,618.4,410.1,500.3,647.2,574.6,2075.0,246.0,423.2,630.0,390.8,531.6,610.5,187.9,254.3,615.3,549.1,644.4,660.1,392.1,450.0,415.0,402.6,416.4,227.9,426.3,648.2,275.7,244.3,507.2,372.6,234.1,627.1,280.2,466.8,174.6,593.3,595.9,552.9,88.3,266.1,567.2,372.4,354.2,601.1,400.1
EC,475.8,518.9,322.2,382.4,302.8,273.2,543.6,392.2,642.0,660.1,366.1,357.7,616.7,338.9,448.5,159.2,324.8,411.7,432.4,399.3,536.4,246.1,290.0,74.5,273.3,0.0,612.9,477.2,474.5,371.7,216.1,378.6,210.1,353.9,632.6,613.2,484.4,458.0,373.5,497.0,449.4,495.8,627.7,510.1,382.9,466.0,313.2,212.9,638.0,553.8,644.2,560.4,444.1,448.2,193.7,633.6,380.6,632.3,649.1,282.1,589.4,663.5,635.0,631.8,119.7,351.7,639.7,499.5,628.5,448.3,473.7,668.1,38.5,530.3,424.5,385.0,143.6,578.5,360.5,208.3,626.7,346.6,151.0,425.2,601.2,501.0,495.0,664.2,416.1,678.6,56.4,626.8,627.4,486.8,461.6,431.9,402.8,2317.5,586.4,414.7,647.1,148.8,554.6,619.5,53.9,579.4,380.5,385.5,653.4,669.1,559.9,208.0,173.0,160.6,174.4,470.4,399.2,657.2,549.1,517.7,331.6,461.4,429.4,385.1,50.1,224.8,417.1,358.5,400.6,575.9,361.7,461.4,390.5,598.5,315.5,385.3,158.1
EG,598.6,642.1,441.3,295.8,324.5,638.0,69.5,511.7,1002.0,1002.8,485.6,476.8,973.4,463.6,571.7,684.7,443.9,572.8,551.5,518.4,213.0,692.5,409.1,682.2,365.2,607.6,0.0,819.9,644.9,381.2,408.8,497.7,438.8,363.4,975.3,969.9,475.9,547.1,532.0,646.1,452.8,900.2,989.5,535.0,502.0,213.0,313.1,820.6,105.0,896.5,1000.9,903.1,353.0,357.8,666.6,990.3,390.5,988.6,991.8,703.6,160.4,1020.2,991.7,988.5,525.7,274.2,996.4,329.9,82.0,567.4,531.8,1024.8,646.2,700.7,594.9,273.0,503.2,748.9,370.0,650.9,80.2,338.1,564.4,537.3,948.2,492.5,188.7,1020.9,209.8,1035.3,618.0,983.1,984.1,264.1,866.0,551.0,518.1,2440.7,159.6,305.9,995.7,674.3,896.9,976.2,553.6,152.6,372.0,546.6,1010.1,1025.8,55.9,650.6,474.2,603.2,617.0,593.6,792.0,1013.9,74.5,162.5,450.7,255.3,599.8,394.6,645.9,667.4,539.9,350.0,519.7,918.6,266.9,631.4,525.8,226.4,719.5,504.4,765.8
EI,244.2,370.8,562.4,596.4,516.8,685.4,836.7,619.4,251.8,182.8,552.6,617.9,226.5,525.4,311.0,606.3,570.0,620.2,650.4,654.3,829.5,693.2,530.7,521.6,487.3,447.0,837.7,0.0,324.0,664.8,439.9,638.8,592.4,647.0,155.3,223.0,758.6,740.8,579.4,333.7,668.0,170.1,237.5,728.7,623.1,680.0,527.2,660.0,835.9,76.5,254.0,83.1,737.2,741.3,640.8,243.4,673.7,242.1,171.8,751.0,793.8,273.3,244.8,241.6,566.8,644.8,249.5,713.5,851.3,666.3,725.1,277.9,485.6,196.0,301.3,599.0,590.7,201.0,653.6,655.4,869.5,639.7,598.1,685.4,211.0,803.4,709.0,274.0,709.2,288.4,457.4,236.6,237.2,779.9,227.3,692.1,619.5,2159.8,733.4,707.8,256.9,595.9,77.3,229.3,393.0,741.7,673.6,594.0,263.2,278.9,853.0,655.1,620.1,607.7,621.5,249.7,135.1,267.0,763.1,731.7,552.1,754.5,338.1,678.2,485.3,671.9,302.7,651.6,640.8,98.6,575.7,337.1,612.1,859.8,158.2,646.0,605.2
EJ,179.8,306.4,774.2,440.2,360.6,788.3,736.9,831.2,483.6,487.7,764.4,829.7,458.3,737.2,246.6,674.3,781.8,832.0,862.2,866.1,690.2,761.2,742.5,589.6,331.1,515.0,681.5,304.8,0.0,809.3,316.2,850.6,725.2,858.8,460.2,454.8,970.4,952.6,791.2,323.1,879.8,475.0,469.3,940.5,834.9,523.8,371.0,728.0,679.7,381.4,485.8,388.0,801.8,805.9,708.8,475.2,799.6,473.9,476.7,797.2,637.6,505.1,476.6,473.4,634.8,856.6,481.3,557.3,695.1,878.1,936.9,509.7,553.6,185.6,250.6,442.8,658.7,233.8,865.4,723.4,713.3,851.5,666.1,897.2,442.8,1015.2,552.8,505.8,784.3,520.2,525.4,468.4,469.0,741.3,439.1,903.9,831.3,2210.9,577.2,754.4,488.7,663.9,382.2,461.1,461.0,585.5,885.4,805.8,495.0,510.7,723.3,723.1,688.1,675.7,689.5,185.3,276.9,498.8,606.9,575.5,763.9,703.8,255.5,890.0,553.3,739.9,238.3,863.4,852.6,403.5,419.5,13.0,823.9,703.6,360.6,857.8,673.2
EL,707.3,750.4,163.0,404.1,432.8,359.7,323.4,233.0,839.7,857.8,206.9,198.5,814.4,179.7,680.0,406.4,165.6,294.5,273.2,240.1,287.6,410.4,130.8,327.2,473.9,365.0,340.3,674.9,753.2,0.0,517.1,219.4,160.1,17.7,830.3,810.9,215.6,298.8,253.7,754.4,192.5,682.4,825.4,274.7,223.7,268.0,421.4,526.5,266.2,751.5,841.9,758.1,72.3,76.4,388.3,831.3,8.8,830.0,846.8,425.3,340.6,861.2,832.7,829.5,247.4,102.9,837.4,438.2,281.6,289.1,271.1,865.8,352.1,809.0,703.2,381.3,224.9,857.2,43.0,372.6,299.8,77.8,286.1,266.0,798.9,232.2,331.2,861.9,167.3,876.3,421.5,824.5,825.1,238.0,600.0,272.7,239.8,2605.5,214.6,42.9,844.8,396.0,752.3,817.2,419.0,207.6,111.7,268.3,851.1,866.8,309.8,372.3,195.9,324.9,338.7,701.9,596.9,854.9,385.3,353.9,172.4,89.6,708.1,67.6,415.2,389.1,648.6,89.7,241.4,773.6,375.6,740.1,247.5,349.7,513.2,226.1,471.7
EP,259.6,302.7,474.3,166.2,86.6,472.0,462.9,531.3,612.1,616.2,464.5,529.8,586.8,437.3,232.3,358.0,481.9,532.1,562.3,566.2,416.2,444.9,442.6,273.3,57.1,198.7,407.5,433.3,258.3,570.5,0.0,550.7,408.9,552.7,588.7,583.3,670.5,652.7,491.3,280.8,579.9,491.3,597.8,640.6,535.0,249.8,97.0,411.7,405.7,509.9,614.3,516.5,527.8,531.9,392.5,603.7,579.4,602.4,605.2,480.9,363.6,633.6,605.1,601.9,318.5,550.5,609.8,283.3,421.1,578.2,637.0,638.2,237.3,314.1,208.3,168.8,342.4,362.3,559.3,407.1,439.3,545.4,349.8,597.3,571.3,715.3,278.8,634.3,510.3,648.7,209.1,596.9,597.5,467.3,457.1,604.0,531.4,2101.3,303.2,480.4,617.2,347.6,510.7,589.6,144.7,311.5,579.3,505.9,623.5,639.2,449.3,406.8,371.8,359.4,373.2,254.2,405.4,627.3,332.9,301.5,464.0,429.8,213.2,583.9,237.0,423.6,200.9,557.3,552.7,532.0,145.5,245.2,524.0,429.6,311.0,557.9,356.9
EV,825.5,868.6,127.6,652.2,680.9,329.1,419.9,51.8,822.3,840.4,96.9,182.6,797.0,126.5,798.2,458.3,148.2,263.9,92.0,20.6,412.7,425.9,113.4,342.7,623.0,380.5,489.2,657.5,824.2,248.0,565.8,0.0,175.6,230.2,812.9,793.5,293.4,171.3,223.1,846.7,179.3,665.0,808.0,240.0,188.3,516.1,669.5,542.0,514.3,734.1,824.5,740.7,378.6,374.6,357.7,813.9,256.9,812.6,829.4,394.7,465.7,843.8,815.3,812.1,262.9,228.0,820.0,686.3,504.8,107.9,187.0,848.4,367.6,754.4,774.2,629.4,240.4,759.4,236.8,388.1,503.0,290.8,301.6,138.5,781.5,314.7,579.3,844.5,292.4,858.9,437.0,807.1,807.7,363.1,582.6,145.2,222.4,2667.2,462.7,291.0,827.4,447.9,734.9,799.8,434.5,455.7,254.1,237.7,833.7,849.4,436.2,387.8,211.4,340.4,354.2,820.1,579.5,837.5,563.8,571.7,155.0,337.7,779.1,261.4,430.7,404.6,766.8,277.5,206.0,756.2,623.7,811.1,259.2,474.8,495.8,157.3,487.2
EW,680.7,723.8,112.0,565.7,594.4,360.2,333.4,182.0,850.2,865.0,155.9,147.5,821.6,128.7,653.4,246.2,114.6,243.5,222.2,189.1,326.2,250.2,79.8,167.0,478.2,204.8,402.7,682.1,679.4,161.5,421.0,168.4,0.0,143.7,837.5,818.1,274.2,247.8,202.7,701.9,239.2,700.7,832.6,299.9,172.7,429.6,583.0,366.3,427.8,758.7,849.1,765.3,233.9,238.0,280.7,838.5,170.4,837.2,854.0,369.1,379.2,868.4,839.9,836.7,87.2,141.5,844.6,599.8,418.3,238.1,263.5,873.0,191.9,735.2,629.4,542.9,64.7,783.4,150.3,212.4,416.5,136.4,125.9,208.0,796.4,290.8,497.0,869.1,205.9,883.5,261.3,831.7,832.3,276.6,666.5,221.7,188.8,2522.4,376.2,204.5,843.9,235.8,759.5,824.4,258.8,369.2,170.3,217.3,858.3,874.0,349.7,212.1,35.7,164.7,178.5,675.3,604.1,862.1,477.3,485.2,121.4,251.2,634.3,174.9,255.0,228.9,622.0,148.3,190.4,780.8,537.2,666.3,196.5,388.3,520.4,175.1,311.5
EX,725.1,768.2,145.2,421.9,450.6,341.9,277.0,215.2,821.9,840.0,189.1,180.7,796.6,161.9,697.8,388.6,147.8,276.7,255.4,222.3,269.8,392.6,113.0,309.4,491.7,347.2,358.1,657.1,771.0,17.7,534.9,201.6,142.3,0.0,812.5,793.1,197.8,281.0,235.9,772.2,174.7,664.6,807.6,256.9,205.9,285.8,439.2,508.7,284.0,733.7,824.1,740.3,90.1,94.2,370.5,813.5,26.6,812.2,829.0,407.5,322.8,843.4,814.9,811.7,229.6,85.1,819.6,456.0,299.4,271.3,253.3,848.0,334.3,826.8,721.0,399.1,207.1,875.0,25.2,354.8,317.6,60.0,268.3,248.2,781.1,214.4,349.0,844.1,149.5,858.5,403.7,806.7,807.3,220.2,582.2,254.9,222.0,2623.3,232.4,60.7,827.0,378.2,734.5,799.4,401.2,225.4,93.9,250.5,833.3,849.0,327.6,354.5,178.1,307.1,320.9,719.7,579.1,837.1,403.1,371.7,154.6,107.4,725.9,49.8,397.4,371.3,666.4,71.9,223.6,755.8,393.4,757.9,229.7,331.9,495.4,208.3,453.9
FF,412.8,539.4,731.0,765.0,685.4,854.0,1005.3,788.0,420.4,162.4,721.2,786.5,395.1,694.0,479.6,774.9,738.6,788.8,819.0,822.9,998.1,861.8,699.3,690.2,655.9,615.6,1006.3,168.5,492.6,833.4,608.5,807.4,761.0,815.6,0.0,391.6,927.2,909.4,748.0,502.3,836.6,253.2,406.1,897.3,791.7,848.6,695.8,828.6,1004.5,231.5,422.6,214.7,905.8,909.9,809.4,412.0,842.3,410.7,57.7,919.6,962.4,441.9,413.4,410.2,735.4,813.4,418.1,882.1,1019.9,834.9,893.7,446.5,654.2,364.6,469.9,767.6,759.3,369.6,822.2,824.0,1038.1,808.3,766.7,854.0,379.6,972.0,877.6,442.6,877.8,457.0,626.0,405.2,405.8,948.5,395.9,860.7,788.1,2392.4,902.0,876.4,425.5,764.5,232.3,397.9,561.6,910.3,842.2,762.6,431.8,447.5,1021.6,823.7,788.7,776.3,790.1,418.3,303.7,435.6,931.7,900.3,720.7,923.1,506.7,846.8,653.9,840.5,471.3,820.2,809.4,233.5,744.3,505.7,780.7,1028.4,326.8,814.6,773.8
FL,347.0,473.6,661.2,705.0,625.4,784.2,935.5,718.2,114.9,378.7,651.4,716.7,144.2,624.2,413.8,705.1,668.8,719.0,749.2,753.1,928.3,792.0,629.5,620.4,595.9,545.8,945.9,195.8,426.8,763.6,538.7,737.6,691.2,745.8,351.2,0.0,857.4,839.6,678.2,436.5,766.8,360.3,105.7,827.5,721.9,788.6,635.8,758.8,944.5,272.4,104.1,279.0,835.7,840.1,739.6,83.8,772.5,61.6,367.7,849.8,902.4,92.8,48.7,61.1,665.6,743.6,69.0,822.1,959.9,765.1,823.9,146.5,584.4,298.8,404.1,707.6,689.5,303.8,752.4,754.2,978.1,738.5,696.9,784.2,38.8,902.2,821.8,135.8,808.0,148.9,556.2,13.5,22.1,878.7,326.1,790.9,718.3,2022.9,842.0,806.6,70.7,694.7,273.2,48.8,491.8,850.3,772.4,692.8,120.2,100.8,951.8,753.9,718.9,706.5,720.3,352.5,223.9,70.9,871.7,840.3,650.9,853.3,440.9,777.0,584.1,770.7,405.5,750.4,739.6,294.5,684.3,439.9,710.9,990.4,257.0,744.8,704.0
FZ,874.8,917.9,280.6,571.6,600.3,468.2,392.7,289.4,941.5,959.6,236.0,186.6,916.2,265.6,847.5,522.3,281.5,403.0,320.4,289.4,385.5,526.3,246.7,443.1,641.4,480.9,462.0,776.7,920.7,227.3,684.6,310.1,276.0,245.1,932.1,912.7,0.0,224.6,362.2,921.9,130.3,784.2,927.2,212.5,341.3,435.5,588.9,642.4,433.7,853.3,943.7,859.9,165.6,161.6,496.8,933.1,217.6,931.8,948.6,533.8,438.5,963.0,934.5,931.3,363.3,200.8,939.2,605.7,449.1,336.3,208.9,967.6,468.0,873.6,870.7,548.8,340.8,1024.7,227.6,488.5,467.3,148.1,402.0,257.2,900.7,186.5,498.7,963.7,265.2,978.1,537.4,926.3,926.9,335.9,701.8,250.7,355.7,2770.4,382.1,210.4,946.6,511.9,854.1,919.0,534.9,375.1,111.4,376.8,952.9,968.6,409.0,488.2,311.8,440.8,454.6,869.4,698.7,956.7,536.6,521.4,288.3,257.1,875.6,252.2,531.1,505.0,816.1,134.8,359.0,875.4,543.1,907.6,363.4,447.6,615.0,161.3,587.6
GC,901.3,944.4,203.4,700.1,728.8,438.6,450.9,161.3,898.1,916.2,206.4,126.8,872.8,238.1,874.0,497.7,224.0,373.4,201.5,168.4,443.7,501.7,189.2,418.5,769.9,456.3,520.2,733.3,900.0,297.0,641.6,147.7,251.4,279.2,888.7,869.3,231.6,0.0,332.6,922.5,94.8,740.8,883.8,88.9,264.1,564.0,717.4,617.8,558.8,809.9,900.3,816.5,294.1,290.1,467.2,889.7,346.1,888.4,905.2,504.2,496.7,919.6,891.1,887.9,338.7,259.0,895.8,734.2,535.8,217.4,15.7,924.2,443.4,830.2,850.0,677.3,316.2,835.2,285.8,463.9,534.0,206.3,377.4,32.5,857.3,230.2,627.2,920.3,323.4,934.7,512.8,882.9,883.5,394.1,658.4,26.0,298.2,2890.5,510.6,338.9,903.2,487.3,810.7,875.6,510.3,503.6,169.6,347.2,909.5,925.2,467.2,463.6,287.2,416.2,430.0,895.9,655.3,913.3,594.8,602.7,230.8,385.6,854.9,310.4,506.5,480.4,842.6,193.0,281.8,832.0,671.6,886.9,335.0,505.8,571.6,154.4,563.0
GH,837.8,880.9,168.9,675.5,704.2,179.6,443.2,207.9,791.9,810.0,141.1,224.4,766.6,113.9,810.5,308.8,176.5,40.7,238.9,242.8,436.0,449.2,137.2,338.6,635.3,361.9,512.5,627.1,836.5,271.3,578.1,234.9,198.9,253.5,782.5,763.1,371.0,348.0,0.0,859.0,283.7,634.6,777.6,344.4,213.7,539.4,692.8,523.4,537.6,703.7,794.1,710.3,343.7,347.8,208.2,783.5,280.2,782.2,799.0,245.2,489.0,813.4,784.9,781.7,286.2,251.3,789.6,709.6,528.1,254.8,340.8,818.0,349.0,724.0,786.5,652.7,263.7,729.0,260.1,411.4,526.3,246.2,324.9,315.2,751.1,419.1,602.6,814.1,315.7,828.5,418.4,776.7,777.3,386.4,552.2,321.9,142.6,2679.5,486.0,314.3,797.0,298.4,704.5,769.4,415.9,479.0,280.1,14.5,803.3,819.0,459.5,411.1,234.7,363.7,377.5,832.4,549.1,807.1,587.1,595.0,158.6,361.0,791.4,284.7,412.1,427.9,779.1,258.1,247.3,725.8,647.0,823.4,130.3,498.1,465.4,261.7,468.6
GO,84.4,188.6,754.0,403.6,324.0,751.7,700.3,811.0,496.3,500.4,744.2,809.5,471.0,717.0,128.8,637.7,761.6,811.8,842.0,845.9,653.6,724.6,722.3,553.0,294.5,478.4,644.9,317.5,234.3,772.7,279.6,830.4,688.6,832.4,472.9,467.5,926.7,932.4,771.0,0.0,859.6,487.7,482.0,920.3,814.7,487.2,334.4,691.4,643.1,394.1,498.5,400.7,765.2,769.3,672.2,487.9,763.0,486.6,489.4,760.6,601.0,517.8,489.3,486.1,598.2,812.1,494.0,520.7,658.5,857.9,916.7,522.4,517.0,198.3,59.8,406.2,622.1,246.5,839.0,686.8,676.7,825.1,629.5,877.0,455.5,995.0,516.2,518.5,747.7,532.9,488.8,481.1,481.7,704.7,451.8,883.7,811.1,2093.1,540.6,717.8,501.4,627.3,394.9,473.8,424.4,548.9,859.0,785.6,507.7,523.4,686.7,686.5,651.5,639.1,652.9,79.0,289.6,511.5,570.3,538.9,743.7,667.2,51.3,863.6,516.7,703.3,120.5,837.0,832.4,416.2,382.9,221.2,803.7,667.0,373.3,837.6,636.6
GY,863.1,906.2,194.1,605.2,633.9,387.8,356.0,211.8,859.9,878.0,155.6,100.1,834.6,185.2,835.8,517.0,214.7,322.6,242.8,184.9,348.8,489.6,179.9,406.4,675.0,444.2,425.3,695.1,861.8,202.1,603.4,205.6,239.3,184.3,850.5,831.1,136.7,94.2,281.8,884.3,0.0,702.6,845.6,82.1,254.8,469.1,622.5,605.7,463.9,771.7,862.1,778.3,199.2,195.2,416.4,851.5,251.2,850.2,867.0,453.4,401.8,881.4,852.9,849.7,326.6,164.1,857.6,639.3,440.9,258.7,78.5,886.0,431.3,792.0,811.8,582.4,304.1,797.0,190.9,451.8,439.1,111.4,365.3,126.8,819.1,135.3,532.3,882.1,228.5,896.5,500.7,844.7,845.3,299.2,620.2,120.3,288.9,2795.6,415.7,244.0,865.0,506.6,772.5,837.4,498.2,408.7,74.7,296.4,871.3,887.0,372.3,451.5,275.1,404.1,417.9,857.7,617.1,875.1,499.9,507.8,221.5,290.7,816.7,215.5,494.4,468.3,804.4,98.1,272.5,793.8,576.7,848.7,325.7,410.9,533.4,74.8,550.9
HH,421.7,548.3,582.6,633.8,554.2,705.6,856.9,639.6,415.3,266.8,572.8,638.1,390.0,545.6,488.5,633.9,590.2,640.4,670.6,674.5,849.7,720.8,550.9,549.2,524.7,474.6,875.1,196.6,501.5,685.0,467.5,659.0,612.6,667.2,239.3,386.5,778.8,761.0,599.6,511.2,688.2,0.0,401.0,748.9,643.3,717.4,564.6,687.6,873.3,133.7,417.5,246.2,757.4,761.5,668.4,406.9,693.9,405.6,255.8,771.2,831.2,436.8,408.3,405.1,594.4,665.0,413.0,750.9,888.7,686.5,745.3,441.4,513.2,373.5,478.8,636.4,618.3,378.5,673.8,683.0,906.9,659.9,625.7,705.6,374.5,823.6,746.4,437.5,729.4,451.9,485.0,400.1,400.7,800.1,171.5,712.3,639.7,2323.3,770.8,728.0,420.4,623.5,134.5,392.8,420.6,779.1,693.8,614.2,426.7,442.4,873.2,682.7,647.7,635.3,649.1,427.2,269.5,430.5,800.5,769.1,572.3,774.7,515.6,698.4,512.9,699.5,480.2,671.8,661.0,261.7,613.1,514.6,632.3,911.8,185.8,666.2,632.8
HJ,372.5,494.3,681.9,725.7,646.1,804.9,956.2,738.9,17.5,399.4,672.1,737.4,162.9,650.5,434.5,725.8,689.5,744.5,769.9,778.6,949.0,816.5,650.2,641.1,616.6,566.5,966.6,216.5,447.5,784.3,559.4,758.3,716.7,766.5,371.9,122.6,878.1,860.3,698.9,457.2,787.5,381.0,0.0,848.2,747.4,809.3,656.5,779.5,970.0,293.1,66.6,299.7,856.4,865.6,760.3,57.3,793.2,168.9,388.4,870.5,923.1,174.1,129.4,145.4,686.3,769.1,156.7,842.8,980.6,785.8,849.4,35.2,605.1,319.5,424.8,728.3,710.2,324.5,773.1,774.9,998.8,759.2,717.6,797.9,111.4,922.9,842.5,36.4,833.5,246.2,576.9,113.7,106.6,904.2,346.8,811.6,739.0,2003.0,862.7,832.1,87.3,715.4,298.7,133.1,512.5,871.0,793.1,713.5,217.5,117.2,972.5,774.6,739.6,727.2,741.0,373.2,244.6,151.6,897.2,861.0,671.6,874.0,461.6,797.7,604.8,791.4,426.2,771.1,760.3,315.2,705.0,465.4,731.6,1011.1,282.5,765.5,724.7
HO,987.8,1030.9,269.0,684.6,713.3,465.7,435.4,226.9,937.8,955.9,233.5,192.4,912.5,263.1,960.5,563.3,289.6,400.5,267.1,234.0,428.2,567.3,254.8,484.1,754.4,521.9,504.7,773.0,939.7,281.5,681.3,213.3,317.0,263.7,928.4,909.0,216.1,65.5,359.7,962.2,79.3,780.5,923.5,0.0,329.7,548.5,701.9,683.4,543.3,849.6,940.0,856.2,278.6,274.6,494.3,929.4,330.6,928.1,944.9,531.3,481.2,959.3,930.8,927.6,404.3,243.5,935.5,718.7,520.3,283.0,49.8,963.9,509.0,869.9,889.7,661.8,381.8,874.9,270.3,529.5,518.5,190.8,443.0,98.1,897.0,214.7,611.7,960.0,307.9,974.4,578.4,922.6,923.2,378.6,698.1,91.6,363.8,2875.0,495.1,323.4,942.9,552.9,850.4,915.3,575.9,488.1,154.1,374.3,949.2,964.9,451.7,529.2,352.8,481.8,495.6,982.4,695.0,953.0,579.3,587.2,296.4,370.1,894.6,294.9,572.1,546.0,929.1,177.5,347.4,871.7,656.1,926.6,400.6,490.3,611.3,152.7,628.6
HX,824.9,868.0,60.6,620.7,649.4,286.0,388.4,186.1,810.8,828.9,178.0,151.6,785.5,156.4,797.6,390.4,136.7,237.9,226.3,193.2,381.2,394.4,101.9,311.2,690.5,349.0,457.7,646.0,823.6,216.5,565.2,172.5,144.1,198.7,801.4,782.0,338.0,251.9,199.7,846.1,243.3,653.5,801.6,304.0,0.0,484.6,638.0,510.5,482.8,722.6,813.0,729.2,288.9,293.0,314.6,802.4,225.4,801.1,817.9,351.6,434.2,832.3,803.8,800.6,231.4,196.5,808.5,654.8,473.3,242.2,267.6,842.4,336.1,879.4,773.6,597.9,208.9,927.6,205.3,356.6,471.5,191.4,270.1,219.1,760.3,378.7,552.0,833.0,260.9,847.4,405.5,795.6,796.2,331.6,571.1,225.8,97.9,2666.6,431.2,259.5,807.8,380.0,723.4,788.3,403.0,424.2,225.3,211.7,822.2,837.9,404.7,356.3,179.9,308.9,322.7,819.5,568.0,826.0,532.3,540.2,140.3,306.2,778.5,229.9,399.2,373.1,766.2,203.3,71.5,744.7,592.2,810.5,70.8,443.3,484.3,179.2,455.7
HY,438.2,481.3,447.5,135.0,163.7,720.1,212.0,517.5,837.9,842.0,491.4,483.0,812.6,464.2,410.9,606.1,450.1,579.0,557.7,524.6,199.5,693.0,415.3,521.4,204.8,446.8,190.8,659.1,484.1,284.4,248.0,503.9,444.6,302.2,814.5,809.1,438.4,567.7,538.2,485.3,473.4,739.4,823.6,555.6,508.2,0.0,152.3,659.8,154.8,735.7,840.1,742.3,276.9,281.0,640.6,829.5,274.7,828.2,831.0,729.0,146.9,859.4,830.9,827.7,566.6,323.8,835.6,169.1,170.2,573.6,552.0,864.0,485.4,539.9,434.1,112.2,590.5,588.1,327.5,655.2,188.4,387.7,597.9,550.5,797.1,515.9,62.1,860.1,259.4,874.5,457.2,822.7,823.3,250.6,705.2,557.2,524.3,2279.9,52.3,229.5,843.0,595.7,736.5,815.4,392.8,60.6,421.6,552.8,849.3,865.0,198.4,654.9,480.4,607.5,621.3,432.8,631.2,853.1,116.2,84.8,456.9,178.9,439.0,352.1,485.1,671.7,379.5,399.6,525.9,757.8,106.5,471.0,532.0,212.9,559.1,510.6,605.0
IB,284.8,327.9,569.0,68.1,10.3,566.7,364.8,626.0,684.5,688.6,559.2,624.5,659.2,532.0,257.5,452.7,576.6,626.8,657.0,660.9,318.1,539.6,537.3,368.0,51.4,293.4,309.4,505.7,330.7,437.2,94.6,645.4,503.6,455.0,661.1,655.7,591.2,747.4,586.0,331.9,626.2,586.0,670.2,735.3,629.7,151.7,0.0,506.4,307.6,582.3,686.7,588.9,429.7,433.8,487.2,676.1,427.5,674.8,677.6,575.6,265.5,706.0,677.5,674.3,413.2,476.6,682.2,185.2,323.0,672.9,731.7,710.6,332.0,386.5,280.7,70.7,437.1,434.7,480.3,501.8,341.2,540.5,444.5,692.0,643.7,668.7,180.7,706.7,412.2,721.1,303.8,669.3,669.9,369.2,551.8,698.7,626.1,2126.5,205.1,382.3,689.6,442.3,583.1,662.0,239.4,213.4,574.4,600.6,695.9,711.6,351.2,501.5,466.5,454.1,467.9,279.4,477.8,699.7,234.8,203.4,558.7,331.7,285.6,504.9,331.7,518.3,226.1,552.4,647.4,604.4,47.4,317.6,618.7,331.5,405.7,652.6,451.6
