from_stop,AB,AE,AF,AH,AN,AO,AP,AW,AX,AZ,CF,CG,CJ,CX,DL,EF,EJ,EQ,EW,FH,FM,FU,FW,FX,FY,GB,GC,GD,GE,GH,GN,GQ,GS,GW,GX,GY,HD,HH,HK,HS,HT,IE,IJ,IX,JG,JR,JS,JU,JV,JY,KJ,KK,KO,KS,KT,KZ,LQ,LU,LV,LX,LY,MY,NG,NT,NW,NZ,OB,OG,OK,OP,PI,PN,PQ,PT,PW,PX,QC,QD,QH,QM,QO,RC,RN,RU,RV,SF,SN,SW,SX,SY,SZ,TG,TM,TP,TS,UO,US,UT,VF,VU,VY,WS,WX,XN,YA,YJ,YK,YQ,YZ,ZC,ZH,ZQ
GH,632.7,282.5,435.3,531.1,404.8,517.9,306.3,226.5,650.2,437.5,425.6,364.6,763.6,806.6,391.4,270.2,184.7,20.5,601.6,118.8,425.9,234.4,350.9,717.7,733.6,315.4,326.9,373.5,493.6,0.0,353.8,527.0,718.4,361.9,2282.3,592.0,436.8,441.2,431.1,337.4,689.5,754.8,205.4,731.5,386.8,698.0,707.5,452.0,455.4,243.5,256.5,611.5,582.6,270.3,383.8,583.5,250.9,993.7,866.5,387.0,355.4,330.8,691.6,477.5,500.8,398.2,164.5,664.6,74.9,742.0,451.7,437.7,948.6,757.6,675.4,508.2,641.9,362.9,998.2,442.6,391.3,318.9,326.1,504.3,430.6,443.2,93.3,682.6,710.0,620.7,752.5,473.5,411.7,381.9,416.6,81.2,461.8,412.0,227.7,308.7,748.6,643.0,220.0,614.0,286.7,532.6,488.4,587.6,412.8,637.4,160.6,0.0
GN,753.4,161.4,314.2,651.8,265.7,638.6,185.2,480.4,770.9,316.4,504.9,225.5,884.3,927.3,252.3,149.1,438.6,343.5,722.3,372.7,304.8,185.7,601.2,838.4,854.3,569.3,580.8,234.4,614.3,366.3,0.0,647.7,839.1,441.2,2339.0,712.7,315.7,320.1,292.0,216.3,810.2,875.5,274.1,852.2,247.7,818.7,828.2,330.9,316.3,312.2,117.4,732.2,451.9,221.6,244.7,704.2,202.2,1114.4,987.2,640.9,216.3,585.5,812.3,534.4,361.7,62.4,418.4,785.3,302.1,620.9,312.6,298.6,1069.3,878.3,796.1,387.1,762.6,616.8,1118.9,303.5,300.7,197.8,277.4,754.6,309.5,322.1,283.6,803.3,830.7,741.4,873.2,353.6,272.6,260.8,670.5,295.8,712.1,280.0,179.0,388.0,869.3,763.7,288.7,734.7,165.6,411.5,367.3,708.3,273.7,557.7,414.5,366.3
GQ,193.3,497.5,388.1,91.7,699.0,8.9,574.4,337.7,123.1,502.4,821.9,622.0,324.2,367.2,685.6,538.3,498.8,505.9,74.5,469.7,448.3,602.5,202.0,278.3,206.5,304.5,316.0,565.7,61.0,528.7,669.5,0.0,191.3,758.2,1861.7,152.6,343.9,394.0,408.4,443.2,250.1,315.4,601.7,204.4,681.0,170.9,268.1,516.9,749.6,639.8,552.2,84.4,765.5,638.4,576.0,56.4,619.0,554.3,427.1,265.8,612.8,186.3,164.5,179.0,342.0,713.9,515.4,225.2,471.2,357.1,745.9,401.8,509.2,230.5,236.0,262.5,202.5,273.7,558.8,736.8,734.0,461.2,694.2,355.4,657.1,431.8,489.6,243.2,270.6,93.6,313.1,307.2,705.9,398.8,295.4,477.5,312.9,713.3,595.8,705.0,309.2,115.9,616.3,86.9,554.8,307.8,417.6,60.5,605.0,338.9,358.2,528.7
GS,390.2,694.4,585.0,288.6,895.9,205.8,771.3,534.6,231.1,699.3,1018.8,818.9,521.1,564.1,882.5,735.2,695.7,702.8,212.2,666.6,645.2,799.4,398.9,475.2,314.5,501.4,512.9,762.6,257.9,725.6,866.4,196.8,0.0,955.1,1969.7,349.5,540.8,590.9,605.3,640.1,447.0,512.3,798.6,312.4,877.9,228.3,465.0,713.8,946.5,836.7,749.1,192.4,962.4,835.3,772.9,251.2,815.9,751.2,624.0,462.7,809.7,383.2,272.5,375.9,538.9,910.8,712.3,422.1,668.1,554.0,942.8,598.7,706.1,368.2,432.9,459.4,399.4,470.6,755.7,933.7,930.9,658.1,891.1,552.3,854.0,628.7,686.5,440.1,467.5,201.6,510.0,502.9,902.8,595.7,492.3,674.4,509.8,910.2,792.7,901.9,506.1,173.3,813.2,194.9,751.7,504.7,614.5,235.3,801.9,535.8,555.1,725.6
GW,857.2,352.4,505.2,755.6,474.7,742.4,376.2,451.0,874.7,507.4,63.6,434.5,988.1,1031.1,461.3,340.1,409.2,314.1,826.1,343.3,495.8,304.3,575.4,942.2,958.1,539.9,551.4,443.4,718.1,336.9,423.7,751.5,942.9,0.0,2506.8,816.5,506.7,511.1,501.0,407.3,914.0,979.3,275.3,956.0,456.7,922.5,932.0,521.9,525.3,313.4,326.4,836.0,652.5,340.2,453.7,808.0,320.8,1218.2,1091.0,611.5,425.3,555.3,916.1,702.0,570.7,468.1,389.0,889.1,272.7,811.9,521.6,507.6,1173.1,982.1,899.9,578.1,866.4,587.4,1222.7,512.5,461.2,388.8,396.0,728.8,500.5,513.1,254.2,907.1,934.5,845.2,977.0,544.6,481.6,451.8,641.1,266.4,686.3,481.9,297.6,45.0,973.1,867.5,289.9,838.5,356.6,602.5,558.3,812.1,482.7,748.7,385.1,336.9
GX,2079.8,2158.0,2048.6,1978.2,2359.5,1946.7,2234.9,2063.3,1820.0,2162.9,2547.5,2282.5,2210.7,2177.6,2346.1,2198.8,2224.4,2231.5,1953.1,2195.3,2108.8,2263.0,1927.6,2119.3,1824.2,2030.1,2041.6,2226.2,1940.7,2254.3,2330.0,1937.7,2060.2,2483.8,0.0,2039.1,2004.4,2054.5,2068.9,2103.7,2136.6,2150.2,2327.3,1859.6,2341.5,2039.8,2171.3,2177.4,2410.1,2365.4,2212.7,1913.3,2426.0,2298.9,2236.5,1992.1,2279.5,2364.7,2313.6,1991.4,2273.3,1911.9,1993.4,1801.5,2002.5,2374.4,2241.0,2107.4,2196.8,2018.9,2406.4,2062.3,2395.7,2109.1,2122.5,1923.0,2089.0,1999.3,2445.3,2397.3,2394.5,2121.7,2354.7,2081.0,2317.6,2092.3,2215.2,2129.7,2111.6,1848.3,2199.6,1966.5,2366.4,2059.3,2021.0,2203.1,2038.5,2373.8,2256.3,2430.6,2113.2,1984.8,2341.9,1854.7,2215.3,1968.3,2078.1,1976.2,2265.5,1782.6,2083.8,2254.3
GY,225.2,572.0,462.6,62.5,773.5,133.0,648.9,412.2,265.3,576.9,896.4,696.5,356.1,214.5,760.1,612.8,573.3,580.4,216.7,544.2,522.8,677.0,276.5,125.6,348.7,379.0,390.5,640.2,135.5,603.2,744.0,142.1,333.5,832.7,2003.9,0.0,418.4,468.5,482.9,517.7,282.0,162.7,676.2,346.6,755.5,313.1,115.4,591.4,824.1,714.3,626.7,226.6,840.0,712.9,650.5,198.6,693.5,401.6,459.0,340.3,687.3,260.8,306.7,253.5,416.5,788.4,589.9,72.5,545.7,431.6,820.4,476.3,541.1,372.7,267.9,337.0,191.8,348.2,590.7,811.3,808.5,535.7,768.7,429.9,731.6,506.3,564.1,275.1,117.9,235.8,302.4,380.5,780.4,473.3,369.9,552.0,387.4,787.8,670.3,779.5,156.5,258.1,690.8,229.1,629.3,382.3,492.1,202.7,679.5,413.4,432.7,603.2
HD,437.6,153.5,44.1,336.0,356.5,322.8,230.4,421.1,455.1,158.4,577.7,284.6,568.5,611.5,343.1,194.3,511.4,416.3,406.5,445.5,104.3,258.5,285.4,522.6,538.5,387.9,399.4,228.3,298.5,439.1,325.5,331.9,523.3,514.0,2023.2,396.9,0.0,50.0,130.3,99.2,494.4,559.7,346.9,536.4,338.5,502.9,512.4,172.9,407.1,385.0,208.2,416.4,428.1,294.4,238.6,388.4,275.0,798.6,671.4,349.2,275.4,269.7,496.5,218.6,63.9,369.9,491.2,469.5,374.9,305.1,403.4,123.7,753.5,562.5,480.3,71.3,446.8,357.1,803.1,394.3,391.5,117.2,350.2,438.8,313.1,87.8,356.4,487.5,514.9,425.6,557.4,37.8,363.4,54.8,378.8,368.6,396.3,370.8,251.8,460.8,553.5,447.9,361.5,418.9,210.8,95.7,73.6,392.5,267.6,241.9,441.6,439.1
HH,496.2,146.4,5.4,394.6,349.4,381.4,223.3,479.7,513.7,108.3,570.6,277.5,627.1,670.1,336.0,187.2,504.3,409.2,465.1,438.4,53.2,251.4,344.0,581.2,597.1,446.5,458.0,221.2,357.1,432.0,318.4,390.5,581.9,506.9,2081.8,455.5,58.5,0.0,188.9,92.1,553.0,618.3,339.8,595.0,331.4,561.5,571.0,122.8,400.0,377.9,201.1,475.0,421.0,287.3,231.5,447.0,267.9,857.2,730.0,407.8,268.3,328.3,555.1,277.2,122.5,362.8,484.1,528.1,367.8,363.7,396.3,182.3,812.1,621.1,538.9,129.9,505.4,415.7,861.7,387.2,384.4,110.1,343.1,497.4,306.0,37.7,349.3,546.1,573.5,484.2,616.0,95.2,356.3,47.7,437.4,361.5,454.9,363.7,244.7,453.7,612.1,506.5,354.4,477.5,203.7,154.3,110.1,451.1,260.5,300.5,480.2,432.0
HK,515.2,161.6,167.6,413.6,290.5,400.4,238.5,498.7,532.7,220.0,578.1,213.5,646.1,689.1,277.1,202.4,511.8,416.7,484.1,445.9,208.4,217.4,363.0,600.2,616.1,465.5,477.0,157.2,376.1,439.5,307.9,409.5,600.9,514.4,2100.8,474.5,123.4,173.5,0.0,208.7,572.0,637.3,347.3,614.0,272.5,580.5,590.0,234.5,341.1,385.4,188.3,494.0,357.0,236.2,167.5,466.0,216.8,876.2,749.0,426.8,204.3,347.3,574.1,296.2,69.6,352.3,491.6,547.1,375.3,382.7,337.4,6.6,831.1,640.1,557.9,148.9,524.4,434.7,880.7,328.3,325.5,192.5,292.0,516.4,321.2,211.3,356.8,565.1,592.5,503.2,635.0,114.2,297.4,178.3,456.4,369.0,473.9,304.8,224.1,461.2,631.1,525.5,361.9,496.5,218.9,173.3,197.1,470.1,196.5,319.5,487.7,439.5
HS,537.0,54.2,97.8,435.4,257.2,424.5,131.1,453.9,554.5,135.3,476.2,185.3,667.9,710.9,241.6,92.8,412.1,317.0,505.9,344.0,124.7,157.0,384.8,622.0,637.9,489.6,498.8,129.0,397.9,337.6,226.2,433.6,622.7,414.7,2122.6,496.3,99.3,106.0,184.7,0.0,593.8,659.1,247.6,635.8,239.2,602.3,611.8,149.8,307.8,285.7,108.9,515.8,328.8,192.9,139.3,487.8,175.7,898.0,770.8,448.6,176.1,365.1,595.9,318.0,163.3,268.4,389.7,568.9,275.6,404.5,304.1,193.5,852.9,664.2,579.7,170.7,546.2,456.5,904.8,292.8,292.2,18.0,248.7,538.2,213.8,141.0,257.1,586.9,614.3,525.0,656.8,136.0,264.1,44.4,478.2,269.3,495.7,269.3,152.5,361.5,652.9,547.3,262.2,518.3,111.5,195.1,150.9,491.9,168.3,341.3,388.0,337.6
HT,105.6,684.0,574.6,215.6,885.5,245.0,760.9,524.2,377.3,688.9,1008.4,808.5,147.1,491.1,872.1,724.8,685.3,692.4,328.7,656.2,634.8,789.0,388.5,402.2,460.7,491.0,502.5,752.2,247.5,715.2,856.0,254.1,445.5,944.7,2115.9,276.5,530.4,580.5,594.9,629.7,0.0,439.3,788.2,458.6,867.5,425.1,392.0,703.4,936.1,826.3,738.7,338.6,952.0,824.9,762.5,310.6,805.5,678.2,250.0,452.3,799.3,372.8,418.7,365.5,528.5,900.4,701.9,349.1,657.7,543.6,932.4,588.3,332.1,484.7,93.4,449.0,326.4,460.2,381.7,923.3,920.5,647.7,880.7,541.9,843.6,618.3,676.1,66.1,394.5,347.8,437.0,492.5,892.4,585.3,481.9,664.0,499.4,899.8,782.3,891.5,433.1,370.1,802.8,341.1,741.3,494.3,604.1,314.7,791.5,525.4,544.7,715.2
IE,414.1,760.9,651.5,251.4,962.4,321.9,837.8,601.1,454.2,765.8,1085.3,885.4,545.0,69.2,949.0,801.7,762.2,769.3,405.6,733.1,711.7,865.9,465.4,111.0,537.6,567.9,579.4,829.1,324.4,792.1,932.9,331.0,522.4,1021.6,2198.2,188.8,607.3,657.4,671.8,706.6,470.9,0.0,865.1,535.5,944.4,502.0,177.0,780.3,1013.0,903.2,815.6,415.5,1028.9,901.8,839.4,387.5,882.4,256.3,647.9,529.2,876.2,449.7,495.6,442.4,605.4,977.3,778.8,113.1,734.6,620.5,1009.3,665.2,730.0,561.6,456.8,525.9,380.7,537.1,779.6,1000.2,997.4,724.6,957.6,618.8,920.5,695.2,753.0,464.0,55.4,424.7,491.3,569.4,969.3,662.2,558.8,740.9,576.3,976.7,859.2,968.4,135.9,447.0,879.7,418.0,818.2,571.2,681.0,391.6,868.4,602.3,621.6,792.1
IJ,705.0,189.6,342.4,603.4,311.9,590.2,213.4,298.8,722.5,344.6,323.3,271.7,835.9,878.9,298.5,177.3,257.0,161.9,673.9,191.1,333.0,141.5,423.2,790.0,805.9,387.7,399.2,280.6,565.9,184.7,260.9,599.3,790.7,259.6,2354.6,664.3,343.9,348.3,338.2,244.5,761.8,827.1,0.0,803.8,293.9,770.3,779.8,359.1,362.5,85.9,163.6,683.8,489.7,177.4,290.9,655.8,158.0,1066.0,938.8,459.3,262.5,403.1,763.9,549.8,407.9,305.3,236.8,736.9,120.5,649.1,358.8,344.8,1020.9,829.9,747.7,415.3,714.2,435.2,1070.5,349.7,298.4,226.0,233.2,576.6,337.7,350.3,102.0,754.9,782.3,693.0,824.8,381.8,318.8,289.0,488.9,114.2,534.1,319.1,134.8,206.4,820.9,715.3,14.5,686.3,193.8,439.7,395.5,659.9,319.9,620.3,232.9,184.7
IX,413.1,717.3,607.9,311.5,918.8,228.7,794.2,557.5,102.0,722.2,1041.7,841.8,544.0,587.0,905.4,758.1,718.6,725.7,235.1,689.5,667.1,822.3,421.8,498.1,123.7,524.3,535.8,785.5,280.8,748.5,889.3,219.7,342.2,978.0,1778.9,372.4,563.7,613.8,628.2,665.2,469.9,535.2,821.5,0.0,900.8,321.8,487.9,736.7,969.4,859.6,772.0,195.3,985.3,858.2,795.8,274.1,838.8,774.1,646.9,485.6,832.6,402.1,275.4,398.8,561.8,933.7,735.2,445.0,691.0,576.9,965.7,621.6,729.0,391.1,455.8,482.3,422.3,493.5,778.6,956.6,953.8,681.0,914.0,575.2,876.9,651.6,709.4,463.0,490.4,130.3,532.9,527.0,925.7,618.6,515.2,697.3,532.7,933.1,815.6,924.8,529.0,266.8,836.1,136.7,774.6,527.6,637.4,258.2,824.8,558.7,578.0,748.5
JG,798.5,206.5,359.3,696.9,56.2,683.7,230.3,505.5,816.0,327.2,530.0,149.6,929.4,972.4,4.6,194.2,463.7,368.6,767.4,397.8,315.6,187.3,629.9,883.5,899.4,594.4,605.9,158.5,659.4,391.4,259.8,692.8,884.2,466.3,2384.1,757.8,360.8,361.1,288.7,261.4,855.3,920.6,299.2,897.3,0.0,863.8,873.3,341.7,68.5,337.3,140.2,777.3,376.3,206.1,168.8,749.3,186.7,1159.5,1032.3,666.0,140.4,609.8,857.4,579.5,358.4,304.2,443.5,830.4,327.2,666.0,64.8,295.3,1114.4,923.4,841.2,432.2,807.7,641.9,1164.0,89.2,91.2,242.9,261.9,783.3,354.6,332.9,308.7,848.4,875.8,786.5,918.3,398.7,63.1,305.9,695.6,320.9,740.8,70.5,194.0,413.1,914.4,808.8,313.8,779.8,210.7,456.6,412.4,753.4,197.8,602.8,439.6,391.4
JR,382.9,687.1,577.7,281.3,888.6,198.5,764.0,527.3,223.8,692.0,1011.5,811.6,513.8,556.8,875.2,727.9,688.4,695.5,204.9,659.3,637.9,792.1,391.6,467.9,307.2,494.1,505.6,755.3,250.6,718.3,859.1,189.5,221.4,947.8,1962.4,342.2,533.5,583.6,598.0,632.8,439.7,505.0,791.3,305.1,870.6,0.0,457.7,706.5,939.2,829.4,741.8,185.1,955.1,828.0,765.6,243.9,808.6,743.9,616.7,455.4,802.4,375.9,265.2,368.6,531.6,903.5,705.0,414.8,660.8,546.7,935.5,591.4,698.8,360.9,425.6,452.1,392.1,463.3,748.4,926.4,923.6,650.8,883.8,545.0,846.7,621.4,679.2,432.8,460.2,194.3,502.7,495.6,895.5,588.4,485.0,667.1,502.5,902.9,785.4,894.6,498.8,54.9,805.9,187.6,744.4,497.4,607.2,228.0,794.6,528.5,547.8,718.3
JS,332.3,679.1,569.7,169.6,880.6,240.1,756.0,519.3,372.4,684.0,1003.5,803.6,463.2,214.3,867.2,719.9,680.4,687.5,323.8,651.3,629.9,784.1,383.6,125.4,455.8,486.1,497.6,747.3,242.6,710.3,851.1,249.2,440.6,939.8,2111.0,107.0,525.5,575.6,590.0,624.8,389.1,162.5,783.3,453.7,862.6,420.2,0.0,698.5,931.2,821.4,733.8,333.7,947.1,820.0,757.6,305.7,800.6,401.4,566.1,447.4,794.4,367.9,413.8,360.6,523.6,895.5,697.0,72.3,652.8,538.7,927.5,583.4,648.2,479.8,375.0,444.1,298.9,455.3,697.8,918.4,915.6,642.8,875.8,537.0,838.7,613.4,671.2,382.2,117.7,342.9,409.5,487.6,887.5,580.4,477.0,659.1,494.5,894.9,777.4,886.6,156.3,365.2,797.9,336.2,736.4,489.4,599.2,309.8,786.6,520.5,539.8,710.3
JU,592.8,171.9,101.9,491.2,350.5,478.0,248.8,576.3,610.3,11.6,596.1,273.5,723.7,766.7,337.1,212.7,529.8,434.7,561.7,463.9,51.0,276.9,440.6,677.8,693.7,543.1,554.6,217.2,453.7,457.5,343.9,487.1,678.5,532.4,2178.4,552.1,155.1,96.5,221.5,172.9,649.6,714.9,365.3,691.6,332.5,658.1,667.6,0.0,401.1,403.4,226.6,571.6,417.0,296.2,227.5,543.6,276.8,953.8,826.6,504.4,264.3,424.9,651.7,373.8,219.1,388.3,509.6,624.7,393.3,460.3,397.4,228.1,908.7,717.7,635.5,226.5,602.0,512.3,958.3,388.3,385.5,154.4,352.0,594.0,331.5,68.3,374.8,642.7,670.1,580.8,712.6,193.0,357.4,144.3,534.0,387.0,551.5,364.8,270.2,479.2,708.7,603.1,379.9,574.1,229.2,250.9,206.7,547.7,256.5,397.1,505.7,457.5
JV,876.7,284.7,437.5,775.1,90.5,761.9,308.5,566.7,894.2,405.4,591.2,227.8,1007.6,1050.6,73.5,272.4,524.9,429.8,845.6,459.0,393.8,225.7,691.1,961.7,977.6,655.6,667.1,236.7,737.6,452.6,338.0,771.0,962.4,527.5,2462.3,836.0,439.0,439.3,366.9,339.6,933.5,998.8,360.4,975.5,78.1,942.0,951.5,419.9,0.0,398.5,218.4,855.5,454.5,225.5,247.0,827.5,209.2,1237.7,1110.5,727.2,218.6,671.0,935.6,657.7,436.6,382.4,504.7,908.6,388.4,744.2,18.3,373.5,1192.6,1001.6,919.4,510.4,885.9,703.1,1242.2,42.7,92.2,321.1,281.3,844.5,432.8,411.1,369.9,926.6,954.0,864.7,996.5,476.9,83.6,384.1,756.8,382.1,802.0,71.5,232.4,474.3,992.6,887.0,375.0,858.0,288.9,534.8,490.6,831.6,276.0,681.0,500.8,452.6
JY,743.1,227.7,380.5,641.5,350.0,628.3,251.5,336.9,760.6,382.7,361.4,309.8,874.0,917.0,336.6,215.4,295.1,200.0,712.0,229.2,371.1,179.6,461.3,828.1,844.0,425.8,437.3,318.7,604.0,222.8,299.0,637.4,828.8,297.7,2392.7,702.4,382.0,386.4,376.3,282.6,799.9,865.2,105.9,841.9,332.0,808.4,817.9,397.2,400.6,0.0,201.7,721.9,527.8,215.5,329.0,693.9,196.1,1104.1,976.9,497.4,300.6,441.2,802.0,587.9,446.0,343.4,274.9,775.0,158.6,687.2,396.9,382.9,1059.0,868.0,785.8,453.4,752.3,473.3,1108.6,387.8,336.5,264.1,271.3,614.7,375.8,388.4,140.1,793.0,820.4,731.1,862.9,419.9,356.9,327.1,527.0,152.3,572.2,357.2,172.9,244.5,859.0,753.4,120.5,724.4,231.9,477.8,433.6,698.0,358.0,624.0,271.0,222.8
KJ,658.2,66.2,219.0,556.6,148.2,543.4,90.0,365.2,675.7,213.0,389.7,108.0,789.1,832.1,134.8,53.9,323.4,228.3,627.1,257.5,201.4,70.5,489.6,743.2,759.1,454.1,465.6,116.9,519.1,251.1,119.5,552.5,743.9,326.0,2243.8,617.5,220.5,224.9,174.5,121.1,715.0,780.3,158.9,757.0,130.2,723.5,733.0,227.5,198.8,197.0,0.0,637.0,334.4,106.4,127.2,609.0,87.0,1019.2,892.0,525.7,98.8,469.5,717.1,439.2,244.2,163.9,303.2,690.1,186.9,525.7,195.1,181.1,974.1,783.1,700.9,291.9,667.4,501.6,1023.7,186.0,183.2,102.6,162.2,643.0,214.3,218.7,168.4,708.1,735.5,646.2,778.0,258.4,155.1,165.6,555.3,180.6,600.5,162.5,63.8,272.8,774.1,668.5,173.5,639.5,70.4,316.3,272.1,613.1,156.2,462.5,299.3,251.1
KK,266.7,570.9,461.5,165.1,772.4,82.3,647.8,411.1,107.6,575.8,895.3,695.4,397.6,440.6,759.0,611.7,572.2,579.3,88.7,543.1,520.7,675.9,275.4,351.7,191.0,377.9,389.4,639.1,134.4,602.1,742.9,73.3,195.8,831.6,1846.2,226.0,417.3,467.4,481.8,516.6,323.5,388.8,675.1,188.9,754.4,175.4,341.5,590.3,823.0,713.2,625.6,0.0,838.9,711.8,649.4,127.7,692.4,627.7,500.5,339.2,686.2,259.7,80.0,252.4,415.4,787.3,588.8,298.6,544.6,430.5,819.3,475.2,582.6,244.7,309.4,335.9,275.9,347.1,632.2,810.2,807.4,534.6,767.6,428.8,730.5,505.2,563.0,316.6,344.0,78.1,386.5,380.6,779.3,472.2,368.8,550.9,386.3,786.7,669.2,778.4,382.6,120.4,689.7,71.4,628.2,381.2,491.0,111.8,678.4,412.3,431.6,602.1
KO,870.7,284.2,431.5,769.1,358.5,755.9,361.1,683.9,888.2,396.2,708.4,273.1,1001.6,1044.6,345.1,325.0,642.1,547.0,839.6,576.2,384.6,358.0,718.5,955.7,971.6,772.8,784.3,236.8,731.6,569.8,448.5,765.0,956.4,644.7,2456.3,830.0,433.0,430.1,357.7,333.6,927.5,992.8,477.6,969.5,340.5,936.0,945.5,410.7,409.1,515.7,328.9,849.5,0.0,376.8,247.1,821.5,357.4,1231.7,1104.5,782.3,263.9,702.8,929.6,651.7,427.4,492.9,621.9,902.6,505.6,738.2,405.4,364.3,1186.6,995.6,913.4,504.4,879.9,790.2,1236.2,396.3,393.5,315.1,432.6,871.9,443.8,401.9,487.1,920.6,948.0,858.7,990.5,470.9,365.4,378.1,811.9,499.3,829.4,372.8,364.7,591.5,986.6,881.0,492.2,852.0,341.5,528.8,484.6,825.6,276.1,675.0,618.0,569.8
KS,729.3,137.3,290.1,627.7,198.7,614.5,161.1,363.9,746.8,267.4,388.4,180.4,860.2,903.2,207.2,125.0,322.1,227.0,698.2,256.2,256.8,22.9,488.3,814.3,830.2,452.8,464.3,189.0,590.2,249.8,208.6,623.6,815.0,324.7,2314.9,688.6,291.6,296.0,228.9,192.2,786.1,851.4,157.6,828.1,202.6,794.6,804.1,281.9,266.4,195.7,98.4,708.1,388.8,0.0,199.3,680.1,23.3,1090.3,963.1,524.4,171.2,472.1,788.2,510.3,298.6,253.0,301.9,761.2,185.6,596.8,247.6,235.5,1045.2,854.2,772.0,363.0,738.5,500.3,1094.8,223.2,163.7,173.7,55.7,641.7,285.4,273.1,167.1,779.2,806.6,717.3,849.1,328.3,191.8,236.7,554.0,179.3,599.2,184.4,29.6,271.5,845.2,739.6,172.2,710.6,141.5,387.4,343.2,684.2,228.3,533.6,298.0,249.8
KT,696.4,109.9,257.2,594.8,166.2,581.6,186.8,501.9,713.9,221.9,526.4,80.8,827.3,870.3,152.8,150.7,460.1,365.0,665.3,394.2,210.3,183.7,544.2,781.4,797.3,590.8,602.3,10.0,557.3,387.8,256.2,590.7,782.1,462.7,2282.0,655.7,258.7,255.8,183.4,159.3,753.2,818.5,295.6,795.2,148.2,761.7,771.2,236.4,216.8,333.7,136.6,675.2,242.3,202.5,0.0,647.2,183.1,1057.4,930.2,608.0,71.6,528.5,755.3,477.4,253.1,300.6,439.9,728.3,323.6,563.9,213.1,190.0,1012.3,821.3,739.1,330.1,705.6,615.9,1061.9,204.0,201.2,140.8,258.3,697.6,269.5,227.6,305.1,746.3,773.7,684.4,816.2,296.6,173.1,203.8,637.6,317.3,655.1,180.5,190.4,409.5,812.3,706.7,310.2,677.7,167.2,354.5,310.3,651.3,28.9,500.7,436.0,387.8
KZ,262.3,566.5,457.1,160.7,768.0,77.9,643.4,406.7,170.0,571.4,890.9,691.0,393.2,436.2,754.6,607.3,567.8,574.9,121.4,538.7,517.3,671.5,271.0,347.3,253.4,373.5,385.0,634.7,130.0,597.7,738.5,68.9,238.2,827.2,1908.6,221.6,412.9,463.0,477.4,512.2,319.1,384.4,670.7,251.3,750.0,217.8,337.1,585.9,818.6,708.8,621.2,131.3,834.5,707.4,645.0,0.0,688.0,623.3,496.1,334.8,681.8,255.3,211.4,248.0,411.0,782.9,584.4,294.2,540.2,426.1,814.9,470.8,578.2,277.4,305.0,331.5,271.5,342.7,627.8,805.8,803.0,530.2,763.2,424.4,726.1,500.8,558.6,312.2,339.6,140.5,382.1,375.0,774.9,467.8,364.4,546.5,381.9,782.3,664.8,774.0,378.2,162.8,685.3,133.8,623.8,376.8,486.6,89.4,674.0,407.9,427.2,597.7
LQ,722.8,130.8,283.6,621.2,175.3,608.0,154.6,357.4,740.3,260.9,381.9,161.2,853.7,896.7,188.0,118.5,315.6,220.5,691.7,249.7,249.3,16.4,481.8,807.8,823.7,446.3,457.8,170.1,583.7,243.3,202.1,617.1,808.5,318.2,2308.4,682.1,285.1,289.5,222.4,185.7,779.6,844.9,151.1,821.6,183.4,788.1,797.6,275.4,243.0,189.2,91.9,701.6,382.3,16.2,180.4,673.6,0.0,1083.8,956.6,517.9,152.0,461.7,781.7,503.8,292.1,246.5,295.4,754.7,179.1,590.3,224.2,229.0,1038.7,847.7,765.5,356.5,732.0,493.8,1088.3,199.8,140.3,167.2,72.0,635.2,278.9,266.6,160.6,772.7,800.1,710.8,842.6,323.0,168.4,230.2,547.5,172.8,592.7,161.0,23.1,265.0,838.7,733.1,165.7,704.1,135.0,380.9,336.7,677.7,209.4,527.1,291.5,243.3
LU,624.7,971.5,862.1,462.0,1173.0,532.5,1048.4,811.7,664.8,976.4,1295.9,1096.0,755.6,158.9,1159.6,1012.3,972.8,979.9,616.2,943.7,922.3,1076.5,676.0,321.6,748.2,778.5,790.0,1039.7,535.0,1002.7,1143.5,541.6,733.0,1232.2,2384.4,399.4,817.9,868.0,882.4,917.2,681.5,248.0,1075.7,746.1,1155.0,712.6,387.6,990.9,1223.6,1113.8,1026.2,626.1,1239.5,1112.4,1050.0,598.1,1093.0,0.0,858.5,739.8,1086.8,660.3,706.2,653.0,816.0,1187.9,989.4,323.7,945.2,831.1,1219.9,875.8,940.6,772.2,667.4,736.5,591.3,747.7,990.2,1210.8,1208.0,935.2,1168.2,829.4,1131.1,905.8,963.6,674.6,266.0,635.3,701.9,780.0,1179.9,872.8,769.4,951.5,786.9,1187.3,1069.8,1179.0,346.5,657.6,1090.3,628.6,1028.8,781.8,891.6,602.2,1079.0,812.9,832.2,1002.7
