from_stop,AE,AF,BJ,BK,BO,BP,BS,BY,CD,CG,CK,CL,CR,CW,DC,DJ,DQ,DY,EC,ED,EG,EQ,ER,ES,EZ,FG,FK,FN,FQ,FS,FZ,GB,GJ,GL,GP,GV,GW,HC,HU,IB,IG,IK,IN,IO,IP,IQ,IX,JA,JC,JD,JE,JI,JJ,JT,KH,LJ,LO,MA,MB,MF,MO,MP,NA,NE,NF,NG,NL,NM,NO,OB,OC,OF,OG,OI,PT,QE,QJ,QL,QO,RL,RN,RT,RU,RV,RX,SJ,SK,SR,ST,SY,TE,TJ,TL,TQ,UE,UI,UL,UN,UQ,UZ,VH,VV,VW,WQ,WS,WX,XF,XP,XR,YF,YK,YM,YP,YS,YT,YW,YY,ZD,ZE,ZI,ZL,ZN,ZP,ZQ,ZV
FK,196.3,190.0,837.2,259.9,190.3,534.1,569.2,667.0,458.3,337.9,638.7,327.8,616.8,276.9,753.6,336.1,193.8,898.2,638.1,324.1,73.8,138.7,125.6,325.8,270.1,95.6,0.0,947.9,730.1,831.6,880.3,784.6,491.1,994.4,7.4,311.2,247.5,814.6,638.3,1072.3,55.5,494.0,158.4,233.5,846.0,850.4,539.5,897.0,217.5,669.5,530.3,260.3,704.7,818.7,191.4,753.7,874.3,783.6,187.2,600.8,803.1,248.6,393.7,380.4,275.6,844.0,293.2,870.1,156.8,829.4,164.9,649.6,568.1,202.8,408.5,2335.0,813.8,507.7,46.6,285.7,700.2,347.7,145.1,285.1,286.1,324.1,287.3,806.2,637.8,880.2,302.0,209.6,659.8,593.7,286.8,460.0,614.5,143.1,524.8,444.6,673.6,302.9,232.3,121.8,508.2,136.8,212.7,998.5,213.5,358.9,63.0,156.4,350.5,536.5,912.2,184.4,43.0,204.0,75.6,731.8,622.7,240.4,650.5,171.4,199.4
FN,879.3,926.7,592.5,727.8,945.7,744.9,552.7,379.7,652.1,1015.9,663.7,713.5,785.7,778.7,199.1,655.8,792.6,610.9,709.7,1079.5,919.4,962.1,860.4,730.8,816.4,1022.6,977.0,0.0,485.4,544.3,75.0,539.9,514.7,707.1,984.5,675.8,739.5,569.9,393.6,173.3,1032.6,784.8,848.5,822.1,605.6,563.1,564.5,652.3,972.9,382.2,555.3,726.7,460.0,574.0,916.0,254.8,629.6,538.9,1025.9,717.4,515.8,1113.2,779.4,626.3,1002.7,599.3,763.2,158.4,1022.3,584.7,847.9,766.2,711.7,939.5,1153.3,2260.8,129.6,497.2,962.6,1022.4,455.5,659.2,983.8,1040.5,832.4,667.8,699.7,197.9,350.5,592.9,848.3,965.0,372.5,577.2,1023.5,623.0,731.1,945.0,504.8,1122.6,428.9,975.4,951.0,920.8,533.2,975.5,1051.4,99.5,811.1,1077.6,990.0,881.0,636.5,434.4,624.9,956.6,933.9,940.7,1052.7,487.1,694.3,745.8,363.2,896.0,808.9
FQ,621.0,668.4,244.4,469.5,687.4,486.6,294.4,184.0,393.8,757.6,405.4,455.2,527.4,520.4,270.6,397.5,534.3,415.2,451.4,821.2,661.1,703.8,602.1,472.5,558.1,764.3,718.7,464.9,0.0,348.6,397.3,68.5,256.4,511.4,726.2,417.5,481.2,204.7,78.4,589.3,774.3,526.5,590.2,563.8,240.4,367.4,306.2,287.1,714.6,186.5,297.0,468.4,111.9,208.8,657.7,270.7,158.2,173.7,767.6,459.1,320.1,854.9,521.1,368.0,744.4,234.1,504.9,387.1,764.0,113.3,589.6,507.9,453.4,681.2,895.0,1895.6,330.8,238.9,704.3,764.1,127.4,400.9,725.5,782.2,574.1,409.5,441.4,323.2,154.8,397.2,590.0,706.7,176.8,318.9,765.2,364.7,472.8,686.7,246.5,864.3,63.7,717.1,692.7,662.5,274.9,717.2,793.1,515.5,552.8,819.3,731.7,622.7,378.2,176.1,429.2,698.3,675.6,682.4,794.4,121.9,436.0,487.5,167.5,637.7,550.6
FS,760.9,808.3,474.1,609.4,827.3,626.5,434.3,181.9,533.7,897.5,545.3,595.1,667.3,660.3,367.9,537.4,674.2,124.4,591.3,961.1,801.0,843.7,742.0,612.4,698.0,904.2,858.6,562.2,367.0,0.0,494.6,421.5,396.3,162.7,866.1,557.4,621.1,451.5,275.2,686.6,914.2,666.4,730.1,703.7,487.2,18.7,446.1,533.9,854.5,239.2,436.9,608.3,341.6,455.6,797.6,368.0,511.2,420.5,907.5,599.0,249.9,994.8,661.0,507.9,884.3,480.9,644.8,484.4,903.9,466.3,729.5,647.8,593.3,821.1,1034.9,2163.4,428.1,378.8,844.2,904.0,337.1,540.8,865.4,922.1,714.0,549.4,581.3,420.5,211.6,451.9,729.9,846.6,188.8,458.8,905.1,504.6,612.7,826.6,386.4,1004.2,310.5,857.0,832.6,802.4,414.8,857.1,933.0,612.8,692.7,959.2,871.6,762.6,518.1,316.0,80.5,838.2,815.5,822.3,934.3,368.7,575.9,627.4,198.2,777.6,690.5
FZ,804.2,851.6,517.4,652.7,870.6,669.8,477.6,304.6,577.0,940.8,588.6,638.4,710.6,703.6,124.0,580.7,717.5,535.8,634.6,1004.4,844.3,887.0,785.3,655.7,741.3,947.5,901.9,67.5,410.3,469.2,0.0,464.8,439.6,632.0,909.4,600.7,664.4,494.8,318.5,191.9,957.5,709.7,773.4,747.0,530.5,488.0,489.4,577.2,897.8,307.1,480.2,651.6,384.9,498.9,840.9,179.7,554.5,463.8,950.8,642.3,440.7,1038.1,704.3,551.2,927.6,524.2,688.1,83.3,947.2,509.6,772.8,691.1,636.6,864.4,1078.2,2185.7,54.5,422.1,887.5,947.3,380.4,584.1,908.7,965.4,757.3,592.7,624.6,122.8,275.4,517.8,773.2,889.9,297.4,502.1,948.4,547.9,656.0,869.9,429.7,1047.5,353.8,900.3,875.9,845.7,458.1,900.4,976.3,118.1,736.0,1002.5,914.9,805.9,561.4,359.3,549.8,881.5,858.8,865.6,977.6,412.0,619.2,670.7,288.1,820.9,733.8
GB,650.4,697.8,273.8,498.9,716.8,516.0,323.8,213.4,423.2,787.0,434.8,484.6,556.8,549.8,300.0,426.9,563.7,444.6,480.8,850.6,690.5,733.2,631.5,501.9,587.5,793.7,748.1,494.3,63.4,378.0,426.7,0.0,285.8,540.8,755.6,446.9,510.6,234.1,107.8,618.7,803.7,555.9,619.6,593.2,269.8,396.8,335.6,316.5,744.0,215.9,326.4,497.8,141.3,238.2,687.1,300.1,89.7,203.1,797.0,488.5,349.5,884.3,550.5,397.4,773.8,263.5,534.3,416.5,793.4,44.8,619.0,537.3,482.8,710.6,924.4,1925.0,360.2,268.3,733.7,793.5,156.8,430.3,754.9,811.6,603.5,438.9,470.8,352.6,184.2,426.6,619.4,736.1,206.2,348.3,794.6,394.1,502.2,716.1,275.9,893.7,93.1,746.5,722.1,691.9,304.3,746.6,822.5,544.9,582.2,848.7,761.1,652.1,407.6,205.5,458.6,727.7,705.0,711.8,823.8,151.3,465.4,516.9,196.9,667.1,580.0
GJ,534.3,616.0,386.8,361.2,430.9,378.3,78.0,216.6,137.3,578.5,147.5,346.9,419.1,412.1,301.3,289.2,426.0,447.8,343.1,564.7,475.2,476.7,463.6,216.0,449.8,536.0,490.4,497.5,279.7,381.2,429.9,334.2,0.0,544.0,497.9,309.2,372.9,364.2,187.9,621.9,546.0,418.2,540.5,455.5,395.6,400.0,48.3,446.6,458.1,219.1,33.1,360.1,254.3,368.3,529.4,303.3,423.9,333.2,613.2,350.8,352.7,700.5,412.8,111.5,516.2,393.6,396.6,419.7,609.6,379.0,502.9,399.6,345.1,628.8,638.5,1948.6,363.4,16.5,520.2,711.7,249.8,144.4,571.1,525.7,465.8,301.2,333.1,355.8,187.4,429.8,481.7,450.2,209.4,102.5,712.8,108.2,364.5,569.1,138.2,685.2,223.2,543.5,649.6,547.8,17.0,562.8,638.7,548.1,444.5,776.2,503.4,494.4,269.9,86.1,461.8,522.4,447.3,630.0,566.1,281.4,327.7,379.2,200.1,509.4,294.1
GL,934.4,981.8,647.6,782.9,1000.8,800.0,607.8,355.4,707.2,1071.0,718.8,768.6,840.8,833.8,541.4,710.9,847.7,297.9,764.8,1134.6,974.5,1017.2,915.5,785.9,871.5,1077.7,1032.1,735.7,540.5,173.4,668.1,595.0,569.8,0.0,1039.6,730.9,794.6,625.0,448.7,860.1,1087.7,839.9,903.6,877.2,660.7,153.9,619.6,707.4,1028.0,412.7,610.4,781.8,515.1,629.1,971.1,541.5,684.7,594.0,1081.0,772.5,423.4,1168.3,834.5,681.4,1057.8,654.4,818.3,657.9,1077.4,639.8,903.0,821.3,766.8,994.6,1208.4,2263.7,601.6,552.3,1017.7,1077.5,510.6,714.3,1038.9,1095.6,887.5,722.9,754.8,594.0,385.1,625.4,903.4,1020.1,362.3,632.3,1078.6,678.1,786.2,1000.1,559.9,1177.7,484.0,1030.5,1006.1,975.9,588.3,1030.6,1106.5,786.3,866.2,1132.7,1045.1,936.1,691.6,489.5,176.8,1011.7,989.0,995.8,1107.8,542.2,749.4,800.9,371.7,951.1,864.0
GP,203.8,197.5,844.7,267.4,197.8,541.6,576.7,674.5,465.8,345.4,646.2,335.3,624.3,284.4,761.1,343.6,201.3,905.7,645.6,331.6,81.3,146.2,133.1,333.3,277.6,103.1,7.4,955.4,737.6,839.1,887.8,792.1,498.6,1001.9,0.0,318.7,255.0,822.1,645.8,1079.8,48.0,501.5,165.9,241.0,857.8,857.9,547.0,904.5,225.0,677.0,537.8,267.8,712.2,826.2,198.9,761.2,881.8,791.1,194.7,608.3,810.6,241.1,401.2,387.9,283.1,851.5,300.7,877.6,149.3,836.9,172.4,657.1,575.6,210.3,416.0,2342.5,821.3,515.2,54.1,293.2,707.7,355.2,152.6,292.6,293.6,331.6,294.8,813.7,645.3,887.7,309.5,217.1,667.3,601.2,294.3,467.5,622.0,150.6,532.3,452.1,681.1,310.4,239.8,129.3,515.7,144.3,206.0,1006.0,221.0,366.4,70.5,163.9,358.0,544.0,919.7,191.9,50.5,211.5,68.1,739.3,630.2,247.9,658.0,178.9,206.9
GV,203.4,257.4,525.9,118.8,359.0,317.0,305.2,355.7,404.6,506.6,416.2,37.6,357.8,102.8,442.3,46.8,116.7,586.9,326.8,492.8,263.0,286.2,184.5,483.3,140.5,346.7,301.1,636.6,418.8,520.3,569.0,473.3,267.2,683.1,308.6,0.0,63.6,503.3,327.0,761.0,356.7,356.9,172.6,146.2,539.0,539.1,317.0,585.7,386.2,358.2,307.8,50.8,393.4,507.4,240.1,442.4,563.0,472.3,351.5,289.5,491.8,438.8,103.5,378.8,444.3,532.7,87.3,558.8,347.9,518.1,172.0,338.3,283.8,270.2,577.2,2023.7,502.5,249.7,288.2,353.1,388.9,411.7,309.4,453.8,156.5,58.8,23.8,494.9,326.5,568.9,172.4,378.3,348.5,329.7,354.2,375.5,303.2,275.7,213.5,613.3,362.3,471.6,281.7,251.5,285.7,301.1,377.0,687.2,135.2,408.3,314.1,205.1,39.2,225.2,600.9,280.7,258.0,271.4,376.8,420.5,311.4,69.9,339.2,220.1,368.1
GW,139.7,193.7,589.6,182.5,295.3,380.7,368.9,419.4,468.3,442.9,479.9,80.2,421.5,121.8,504.1,97.0,53.0,650.6,390.5,429.1,199.3,222.5,120.8,430.8,153.0,283.0,237.4,700.3,482.5,584.0,632.7,537.0,330.9,746.8,244.9,63.6,0.0,567.0,390.7,824.7,293.0,420.6,108.9,116.4,598.4,602.8,380.7,649.4,322.5,421.9,371.5,12.7,457.1,571.1,176.4,506.1,626.7,536.0,287.8,353.2,555.5,375.1,146.1,442.5,380.6,596.4,106.3,622.5,284.2,581.8,108.3,402.0,347.5,206.5,513.5,2087.4,566.2,313.4,224.5,289.4,452.6,452.7,245.7,390.1,169.0,122.5,39.7,558.6,390.2,632.6,184.9,314.6,412.2,393.4,290.5,439.2,366.9,212.0,277.2,549.6,426.0,407.9,218.0,187.8,349.4,237.4,313.3,750.9,71.5,344.6,250.4,141.4,102.9,288.9,664.6,217.0,194.3,207.7,313.1,484.2,375.1,6.2,402.9,156.4,304.4
HC,737.4,784.8,360.8,585.9,803.8,603.0,410.8,300.4,510.2,874.0,521.8,571.6,643.8,636.8,387.0,513.9,650.7,531.6,567.8,937.6,777.5,820.2,718.5,588.9,674.5,880.7,835.1,581.3,216.6,465.0,513.7,271.1,372.8,627.8,842.6,533.9,597.6,0.0,194.8,705.7,890.7,642.9,706.6,680.2,307.1,483.8,422.6,353.8,831.0,302.9,413.4,584.8,228.3,275.5,774.1,387.1,360.8,240.4,884.0,575.5,436.5,971.3,637.5,484.4,860.8,300.8,621.3,503.5,880.4,315.9,706.0,624.3,569.8,797.6,1011.4,1962.3,447.2,355.3,820.7,880.5,243.8,517.3,841.9,898.6,690.5,525.9,557.8,439.6,271.2,513.6,706.4,823.1,293.2,435.3,881.6,481.1,589.2,803.1,362.9,980.7,159.7,833.5,809.1,778.9,391.3,833.6,909.5,631.9,669.2,935.7,848.1,739.1,494.6,292.5,545.6,814.7,792.0,798.8,910.8,188.6,552.4,603.9,283.9,754.1,667.0
HU,542.5,589.9,198.8,391.0,608.9,408.1,215.9,105.5,315.3,679.1,326.9,376.7,448.9,441.9,192.1,319.0,455.8,336.7,372.9,742.7,582.6,625.3,523.6,394.0,479.6,685.8,640.2,386.4,91.7,270.1,318.8,146.2,177.9,432.9,647.7,339.0,402.7,176.2,0.0,510.8,695.8,448.0,511.7,485.3,211.9,288.9,227.7,258.6,636.1,108.0,218.5,389.9,66.3,180.3,579.2,192.2,235.9,145.2,689.1,380.6,241.6,776.4,442.6,289.5,665.9,205.6,426.4,308.6,685.5,191.0,511.1,429.4,374.9,602.7,816.5,1867.1,252.3,160.4,625.8,685.6,61.8,322.4,647.0,703.7,495.6,331.0,362.9,244.7,76.3,318.7,511.5,628.2,98.3,240.4,686.7,286.2,394.3,608.2,168.0,785.8,35.2,638.6,614.2,584.0,196.4,638.7,714.6,437.0,474.3,740.8,653.2,544.2,299.7,97.6,350.7,619.8,597.1,603.9,715.9,93.4,357.5,409.0,89.0,559.2,472.1
IB,975.0,1022.4,688.2,823.5,1041.4,840.6,648.4,475.4,747.8,1111.6,759.4,809.2,881.4,874.4,296.4,738.1,888.3,706.6,805.4,1175.2,1015.1,1057.8,956.1,826.5,912.1,1118.3,1072.7,164.6,581.1,640.0,170.7,635.6,610.4,802.8,1080.2,771.5,835.2,665.6,489.3,0.0,1128.3,880.5,944.2,917.8,697.0,658.8,660.2,748.0,1068.6,477.9,651.0,822.4,555.9,669.7,1011.7,350.5,725.3,634.6,1121.6,813.1,611.5,1208.9,875.1,722.0,1098.4,695.0,858.9,254.1,1118.0,680.4,943.6,861.9,807.4,1035.2,1249.0,2356.5,225.3,592.9,1058.3,1118.1,551.2,754.9,1079.5,1136.2,928.1,763.5,795.4,293.6,446.2,688.6,944.0,1060.7,468.2,672.9,1119.2,718.7,826.8,1040.7,600.5,1218.3,524.6,1071.1,1046.7,1016.5,628.9,1071.2,1147.1,59.7,906.8,1173.3,1085.7,976.7,732.2,530.1,720.6,1052.3,1029.6,1036.4,1148.4,582.8,790.0,841.5,458.9,991.7,904.6
IG,239.8,233.5,880.7,303.4,233.8,577.6,612.7,710.5,501.8,381.4,682.2,371.3,660.3,320.4,797.1,379.6,237.3,941.7,681.6,367.6,117.3,182.2,169.1,369.3,313.6,139.1,43.4,991.4,773.6,875.1,923.8,828.1,534.6,1037.9,35.9,354.7,291.0,858.1,681.8,1115.8,0.0,537.5,201.9,277.0,893.8,893.9,583.0,940.5,261.0,713.0,573.8,303.8,748.2,862.2,234.9,797.2,917.8,827.1,230.7,644.3,846.6,274.6,437.2,423.9,319.1,887.5,336.7,913.6,182.8,872.9,208.4,693.1,611.6,246.3,452.0,2378.5,857.3,551.2,90.1,329.2,743.7,391.2,188.6,328.6,329.6,367.6,330.8,849.7,681.3,923.7,345.5,253.1,703.3,637.2,330.3,503.5,658.0,186.6,568.3,488.1,717.1,346.4,275.8,165.3,551.7,180.3,239.5,1042.0,257.0,402.4,106.5,199.9,394.0,580.0,955.7,227.9,86.5,247.5,101.6,775.3,666.2,283.9,694.0,214.9,242.9
IK,558.7,606.1,653.2,407.2,386.3,40.0,432.5,483.0,531.9,231.0,543.5,392.9,122.7,458.1,569.6,335.2,472.0,714.2,454.1,373.6,495.3,496.8,539.8,610.6,495.8,556.1,510.5,763.9,546.1,647.6,696.3,600.6,394.5,810.4,518.0,355.2,418.9,630.6,454.3,888.3,566.1,0.0,527.9,501.5,666.3,666.4,444.3,713.0,381.3,485.5,435.1,406.1,520.7,634.7,595.4,569.7,690.3,599.6,633.3,231.9,619.1,720.6,458.8,506.1,217.8,660.0,442.6,686.1,629.7,645.4,527.3,280.7,74.0,618.9,649.2,2049.6,629.8,377.0,540.3,701.8,516.2,539.0,591.2,334.6,511.8,347.2,379.1,622.2,453.8,696.2,527.7,283.6,475.8,457.0,702.9,502.8,245.6,624.4,340.8,337.7,489.6,190.5,630.4,600.2,413.0,582.9,658.8,814.5,490.5,757.0,523.5,560.4,315.9,352.5,728.2,542.5,467.4,620.1,586.2,547.8,438.7,425.2,466.5,575.4,440.1
IN,85.4,84.7,709.3,123.9,241.0,500.4,488.6,539.1,509.0,388.6,599.6,199.9,541.2,140.9,625.7,200.1,65.9,770.3,510.2,374.8,95.4,168.2,66.5,376.5,134.1,204.9,159.3,820.0,602.2,703.7,752.4,656.7,450.6,866.5,166.8,183.3,119.6,686.7,510.4,944.4,214.9,544.7,0.0,97.5,722.4,722.5,500.4,769.1,268.2,541.6,491.2,132.4,576.8,690.8,122.1,625.8,746.4,655.7,192.3,472.9,675.2,279.6,265.8,431.1,326.3,716.1,157.2,742.2,188.7,701.5,54.0,521.7,467.2,97.5,459.2,2207.1,685.9,433.1,138.6,180.4,572.3,398.4,150.2,335.8,150.1,188.1,159.4,678.3,509.9,752.3,166.0,260.3,531.9,513.1,181.5,510.7,486.6,103.0,396.9,495.3,545.7,353.6,109.0,78.8,469.1,141.9,217.8,870.6,85.6,235.6,172.3,87.1,222.6,408.6,784.3,162.7,133.3,98.7,235.0,603.9,494.8,112.5,522.6,102.1,250.1
IO,151.3,175.8,671.9,161.4,306.9,463.0,451.2,501.7,550.6,454.5,562.2,162.5,503.8,43.3,588.3,192.8,83.4,732.9,472.8,440.7,168.5,234.1,132.4,442.4,36.5,278.0,232.4,782.6,564.8,666.3,715.0,619.3,413.2,829.1,239.9,145.9,137.1,649.3,473.0,907.0,288.0,502.9,115.5,0.0,685.0,685.1,463.0,731.7,334.1,504.2,453.8,132.1,539.4,653.4,188.0,588.4,709.0,618.3,275.0,435.5,637.8,362.3,228.4,497.0,392.2,678.7,59.6,704.8,271.4,664.1,119.9,484.3,429.8,188.6,525.1,2169.7,648.5,395.7,211.7,271.5,534.9,464.3,232.9,401.7,52.5,204.8,122.0,640.9,472.5,714.9,68.4,326.2,494.5,475.7,272.6,521.5,449.2,194.1,359.5,561.2,508.3,419.5,200.1,169.9,431.7,224.6,300.5,833.2,54.8,326.7,245.4,153.0,185.2,371.2,746.9,228.6,205.9,189.8,308.1,566.5,457.4,130.0,485.2,168.0,316.0
IP,730.3,777.7,353.7,578.8,796.7,595.9,403.7,293.3,503.1,866.9,514.7,564.5,636.7,629.7,378.0,506.8,643.6,524.5,560.7,930.5,770.4,813.1,711.4,581.8,667.4,873.6,828.0,574.2,209.5,457.9,506.6,264.0,365.7,620.7,835.5,526.8,590.5,284.3,187.7,698.6,883.6,635.8,699.5,673.1,0.0,476.7,415.5,326.7,823.9,295.8,400.3,577.7,221.2,193.0,767.0,380.0,353.7,85.6,876.9,568.4,429.4,964.2,630.4,477.3,853.7,146.0,614.2,496.4,873.3,308.8,698.9,617.2,562.7,790.5,1004.3,1744.0,440.1,348.2,813.6,873.4,236.7,510.2,834.8,891.5,683.4,518.8,550.7,432.5,264.1,506.5,699.3,816.0,286.1,428.2,874.5,474.0,582.1,796.0,355.8,973.6,152.6,826.4,802.0,771.8,384.2,826.5,902.4,624.8,662.1,928.6,841.0,732.0,487.5,285.4,538.5,807.6,784.9,791.7,903.7,98.3,545.3,596.8,276.8,747.0,659.9
IQ,780.4,827.8,493.6,628.9,846.8,646.0,453.8,201.4,553.2,917.0,564.8,614.6,686.8,679.8,387.4,556.9,693.7,143.9,610.8,980.6,820.5,863.2,761.5,631.9,717.5,923.7,878.1,581.7,386.5,19.4,514.1,441.0,415.8,143.9,885.6,576.9,640.6,471.0,294.7,706.1,933.7,685.9,749.6,723.2,506.7,0.0,465.6,553.4,874.0,258.7,456.4,627.8,361.1,475.1,817.1,387.5,530.7,440.0,927.0,618.5,269.4,1014.3,680.5,527.4,903.8,500.4,664.3,503.9,923.4,485.8,749.0,667.3,612.8,840.6,1054.4,2182.9,447.6,398.3,863.7,923.5,356.6,560.3,884.9,941.6,733.5,568.9,600.8,440.0,231.1,471.4,749.4,866.1,208.3,478.3,924.6,524.1,632.2,846.1,405.9,1023.7,330.0,876.5,852.1,821.9,434.3,876.6,952.5,632.3,712.2,978.7,891.1,782.1,537.6,335.5,61.7,857.7,835.0,841.8,953.8,388.2,595.4,646.9,217.7,797.1,710.0
IX,592.2,673.9,426.1,400.5,488.8,417.6,117.3,255.9,195.2,636.4,99.1,386.2,458.4,451.4,342.5,328.5,465.3,487.1,382.4,622.6,533.1,534.6,521.5,273.9,489.1,593.9,548.3,536.8,319.0,420.5,469.2,373.5,57.8,583.3,555.8,348.5,412.2,403.5,227.2,661.2,603.9,457.5,598.4,494.8,439.2,439.3,0.0,485.9,516.0,258.4,9.7,399.4,293.6,407.6,587.3,342.6,463.2,372.5,671.1,390.1,392.0,758.4,452.1,169.4,574.1,432.9,435.9,459.0,667.5,418.3,560.8,438.9,384.4,686.7,696.4,1987.9,402.7,55.8,578.1,769.6,289.1,202.3,629.0,583.6,505.1,340.5,372.4,395.1,226.7,469.1,521.0,508.1,248.7,141.8,770.7,166.1,403.8,627.0,177.5,743.1,262.5,601.4,707.5,605.7,30.6,620.7,696.6,587.4,483.8,834.1,561.3,552.3,309.2,125.4,501.1,580.3,505.2,687.9,624.0,320.7,367.0,418.5,239.4,567.3,352.0
JA,807.6,855.0,431.0,656.1,874.0,673.2,481.0,370.6,580.4,944.2,592.0,641.8,714.0,707.0,457.2,584.1,720.9,601.8,638.0,1007.8,847.7,890.4,788.7,659.1,744.7,950.9,905.3,651.5,286.8,535.2,583.9,341.3,443.0,698.0,912.8,604.1,667.8,361.6,265.0,775.9,960.9,713.1,776.8,750.4,373.0,554.0,492.8,0.0,901.2,373.1,483.6,655.0,298.5,345.7,844.3,457.3,431.0,310.6,954.2,645.7,506.7,1041.5,707.7,554.6,931.0,371.0,691.5,573.7,950.6,386.1,776.2,694.5,640.0,867.8,1081.6,2032.5,517.4,425.5,890.9,950.7,314.0,587.5,912.1,968.8,760.7,596.1,628.0,509.8,341.4,583.8,776.6,893.3,363.4,505.5,951.8,551.3,659.4,873.3,433.1,1050.9,229.9,903.7,879.3,849.1,461.5,903.8,979.7,702.1,739.4,1005.9,918.3,809.3,564.8,362.7,615.8,884.9,862.2,869.0,981.0,258.8,622.6,674.1,354.1,824.3,737.2
JC,265.4,347.1,829.7,386.0,97.3,428.9,520.9,659.5,410.0,232.7,590.4,396.9,511.6,370.9,746.1,427.2,262.9,890.7,707.2,218.9,206.3,207.8,194.7,277.5,364.1,267.1,221.5,940.4,722.6,824.1,872.8,777.1,442.8,986.9,229.0,380.3,316.6,807.1,630.8,1064.8,277.1,388.8,271.6,327.5,842.8,842.9,491.2,889.5,0.0,662.0,482.0,329.4,697.2,811.2,260.5,746.2,866.8,776.1,344.3,620.8,795.6,431.6,462.8,332.1,170.4,836.5,387.2,862.6,340.7,821.9,234.0,669.6,462.9,359.9,360.2,2391.5,806.3,459.4,251.3,442.8,692.7,299.4,302.2,179.9,380.1,439.2,356.4,798.7,630.3,872.7,396.0,104.4,652.3,545.4,443.9,411.7,634.5,300.2,581.1,339.4,666.1,197.7,380.7,278.9,459.9,293.9,369.8,991.0,282.6,507.3,234.5,225.5,419.6,529.0,904.7,253.5,178.4,361.1,297.2,724.3,691.8,309.5,643.0,240.5,151.1
JD,578.5,625.9,291.7,427.0,644.9,444.1,251.9,74.3,351.3,715.1,362.9,412.7,484.9,477.9,185.5,355.0,491.8,305.5,408.9,778.7,618.6,661.3,559.6,430.0,515.6,721.8,676.2,379.8,184.6,238.9,312.2,239.1,213.9,401.7,683.7,375.0,438.7,269.1,92.8,504.2,731.8,484.0,547.7,521.3,304.8,257.7,263.7,351.5,672.1,0.0,254.5,425.9,159.2,273.2,615.2,185.6,328.8,238.1,725.1,416.6,210.4,812.4,478.6,325.5,701.9,298.5,462.4,302.0,721.5,283.9,547.1,465.4,410.9,638.7,852.5,1960.0,245.7,196.4,661.8,721.6,154.7,358.4,683.0,739.7,531.6,367.0,398.9,238.1,45.1,287.5,547.5,664.2,67.1,276.4,722.7,322.2,430.3,644.2,204.0,821.8,128.1,674.6,650.2,620.0,232.4,674.7,750.6,430.4,510.3,776.8,689.2,580.2,335.7,133.6,319.5,655.8,633.1,639.9,751.9,186.3,393.5,445.0,57.8,595.2,508.1
JE,582.4,664.1,416.3,390.7,473.9,407.8,107.5,241.0,185.4,626.6,108.3,376.4,448.6,441.6,330.8,305.3,455.5,472.2,372.6,612.8,523.3,524.8,511.7,264.1,479.3,584.1,538.5,527.0,309.2,410.7,459.4,363.7,48.0,573.5,546.0,338.7,402.4,393.7,217.4,651.4,594.1,447.7,588.6,485.0,425.1,429.5,9.1,476.1,506.2,248.6,0.0,384.5,284.0,392.7,577.5,332.8,448.3,362.7,661.3,380.3,382.2,748.6,442.3,159.6,564.3,418.0,426.1,449.2,657.7,408.5,551.0,429.1,374.6,676.9,686.6,1978.1,392.9,46.0,568.3,759.8,279.3,192.5,619.2,573.8,490.2,330.7,362.6,385.3,216.9,459.3,511.2,498.3,238.9,132.0,760.9,156.3,394.0,617.2,167.7,733.3,252.7,591.6,697.7,595.9,20.8,610.9,681.7,577.6,474.0,824.3,551.5,542.5,299.4,115.6,491.3,570.5,495.4,678.1,609.1,305.8,357.2,408.7,229.6,557.5,337.1
JI,152.5,206.5,576.8,169.7,308.1,367.9,356.1,406.6,455.5,455.7,467.1,67.4,408.7,109.0,491.3,97.7,65.8,637.8,377.7,441.9,212.1,235.3,133.6,443.6,146.7,295.8,250.2,687.5,469.7,571.2,619.9,524.2,318.1,734.0,257.7,50.8,12.7,554.2,377.9,811.9,305.8,407.8,121.7,129.2,585.6,590.0,367.9,636.6,335.3,409.1,352.7,0.0,444.5,558.3,189.2,493.3,613.9,523.2,300.6,340.4,542.7,387.9,133.3,429.7,393.4,583.6,93.5,609.7,297.0,569.0,121.1,389.2,334.7,219.3,526.3,2074.6,553.4,300.6,237.3,302.2,439.8,462.6,258.5,402.9,162.7,109.7,26.9,545.8,377.4,619.8,178.6,327.4,399.4,380.6,303.3,426.4,354.1,224.8,264.4,562.4,413.2,420.7,230.8,200.6,336.6,250.2,326.1,738.1,84.3,357.4,263.2,154.2,90.1,276.1,651.8,229.8,207.1,220.5,325.9,471.4,362.3,19.0,390.1,169.2,317.2
