from_stop,AM,AO,BE,BS,BW,CB,CI,CQ,DB,DM,DZ,EL,ER,EU,FE,FR,GD,GH,GZ,HK,HU,HZ,IH,IM,IY,IZ,JH,JK,JL,JO,KB,KI,KQ,KS,LN,LP,MA,MR,MU,MZ,NH,NM,OD,OF,OH,OQ,OS,OV,PA,PL,PM,QG,QM,QV,RC,RH,RM,RS,SC,SD,SM,SR,TR,TW,UK,UL,UR,VL,VP,VZ,XC,XH,XN,XO,XS,XT,XU,XZ,YI,YN,YO,YU,ZA,ZB,ZK,ZQ,ZX
MU,412.2,280.4,100.4,305.8,327.3,276.7,282.0,394.1,294.2,273.5,395.6,322.6,291.7,324.5,430.7,131.1,121.6,375.3,378.0,306.9,347.0,242.4,329.6,286.6,357.2,386.9,277.6,285.8,43.7,213.5,296.8,259.8,328.5,443.2,18.1,268.2,344.0,367.5,0.0,89.5,281.9,166.5,252.6,94.5,463.5,367.5,98.0,24.2,105.5,156.1,268.4,344.5,168.7,133.4,318.9,293.8,214.6,278.5,40.5,113.5,285.6,435.3,334.8,105.2,396.5,90.8,353.2,318.8,197.8,282.8,34.0,340.8,314.3,434.3,229.2,310.9,201.9,456.0,1561.2,187.8,335.9,86.6,39.8,361.3,248.7,304.5,305.7
MZ,351.4,191.7,131.3,238.9,261.5,204.9,243.5,328.5,228.4,184.8,330.0,255.7,253.2,257.6,365.1,162.0,32.0,308.4,310.1,218.2,280.1,175.5,262.7,219.7,292.8,321.3,239.1,197.1,34.5,240.4,229.9,192.9,261.6,377.6,85.2,179.5,277.1,300.6,68.7,0.0,193.2,197.4,185.7,59.2,397.9,300.6,64.1,54.6,15.9,186.8,201.5,281.5,199.6,166.5,230.1,205.1,241.5,189.8,37.7,23.9,196.9,369.7,267.7,75.2,330.9,58.1,286.3,196.9,98.9,194.1,44.3,273.9,225.6,368.5,140.3,272.2,113.2,390.4,1494.3,99.1,269.0,117.5,108.6,294.4,181.8,233.0,234.6
NH,178.4,73.3,230.5,197.3,88.5,11.6,112.0,155.5,55.4,8.7,157.0,180.3,121.7,148.6,192.1,261.2,153.1,223.0,258.9,86.7,194.7,90.2,224.8,97.2,118.6,148.3,107.6,47.6,219.8,367.4,207.6,93.3,174.8,204.6,256.2,13.9,168.1,225.6,254.2,185.2,0.0,296.6,100.5,217.5,224.9,191.6,162.6,239.9,169.2,286.0,84.7,233.6,298.8,265.7,80.5,73.6,380.6,58.3,223.0,161.2,65.4,196.7,283.8,204.4,157.9,224.1,200.9,80.6,88.7,44.6,229.6,188.5,76.1,195.5,42.8,140.7,80.0,217.4,1537.9,90.2,232.7,216.6,231.1,195.3,197.9,65.9,41.3
NM,475.6,321.0,67.1,354.4,385.7,313.9,372.8,452.7,352.6,314.1,454.2,371.2,382.5,373.1,489.3,44.7,163.2,423.9,425.6,347.5,395.6,291.0,378.2,335.2,417.0,445.5,368.4,326.4,207.4,70.7,345.7,309.7,377.1,501.8,146.7,309.1,398.9,416.6,163.6,207.3,322.5,0.0,301.2,171.2,430.1,416.1,138.0,187.9,179.3,10.6,317.0,397.0,2.2,38.0,359.4,334.4,81.6,319.1,204.2,171.3,326.2,493.9,383.2,145.6,455.1,175.2,401.7,339.0,234.2,323.4,197.7,389.4,354.9,492.7,269.6,401.5,242.5,514.6,1547.8,232.7,384.5,86.8,121.6,419.8,297.3,362.3,363.9
OD,133.1,107.7,269.5,152.0,43.2,175.5,49.4,110.2,83.0,67.7,111.7,135.0,59.1,71.8,146.8,246.8,187.5,177.7,213.6,77.2,184.1,9.6,179.5,33.9,74.5,103.0,45.0,100.0,254.2,352.1,161.9,8.5,129.5,159.3,290.6,62.7,97.6,161.9,282.0,231.6,76.1,282.2,0.0,251.9,179.6,114.8,197.7,274.3,203.6,271.6,15.8,188.3,288.3,251.3,84.9,15.4,350.1,28.6,257.4,195.6,21.0,151.4,203.2,226.3,112.6,255.9,178.3,37.7,123.1,92.5,264.0,143.2,80.5,150.2,77.2,78.1,114.4,172.1,1457.3,124.6,187.4,251.4,265.5,118.5,117.3,72.0,117.5
OF,381.5,226.6,109.8,273.8,296.4,239.8,281.3,363.4,266.2,219.7,364.9,290.6,288.1,292.5,400.0,140.5,68.8,343.3,346.0,256.0,315.0,210.4,297.6,254.6,326.5,356.2,274.0,232.0,43.6,246.7,264.8,227.8,296.5,412.5,96.2,214.4,312.0,338.4,77.8,80.4,228.1,175.9,220.6,0.0,432.8,335.5,44.2,63.7,84.9,168.2,236.4,312.5,178.1,142.8,264.9,240.0,259.9,224.7,43.9,76.9,231.8,404.6,305.5,13.1,365.8,6.6,321.2,265.0,142.7,229.0,50.5,308.8,260.5,403.4,178.1,307.1,148.1,425.3,1529.2,134.0,303.9,96.0,113.3,329.3,216.7,267.9,269.5
OH,111.9,275.2,323.3,83.9,154.7,304.9,189.8,82.3,213.9,217.2,76.7,131.8,220.2,226.5,150.5,333.7,241.3,153.5,192.4,166.8,125.2,170.9,59.1,188.6,123.7,154.2,206.1,219.0,308.0,439.0,83.1,189.6,126.3,138.1,344.4,212.2,252.3,146.2,342.4,285.4,225.6,369.1,181.1,305.7,0.0,269.5,251.5,328.1,257.4,358.5,196.9,51.1,371.3,338.2,171.8,196.5,437.0,201.9,311.2,249.4,209.0,103.2,189.6,280.1,109.4,309.7,131.3,192.4,238.8,179.4,317.8,119.0,167.4,92.5,244.7,205.0,247.1,83.9,1397.1,237.3,114.1,305.2,319.3,273.2,243.6,224.4,267.0
OQ,222.3,234.2,396.0,249.2,132.4,237.4,175.0,199.4,146.4,194.2,200.9,232.2,185.6,42.6,263.9,373.3,314.0,255.6,225.5,203.7,207.9,136.1,276.7,92.4,163.7,192.2,171.5,226.5,380.7,478.6,259.1,117.9,226.7,242.5,407.6,189.2,13.3,185.7,408.5,358.1,189.7,408.7,126.4,378.4,268.8,0.0,324.2,400.8,330.1,398.1,110.6,295.5,410.9,377.8,211.4,141.9,476.6,155.1,383.9,322.1,147.5,240.6,329.7,352.8,201.8,382.4,202.1,88.6,249.6,219.0,390.5,213.2,207.0,239.4,203.7,190.2,240.9,261.3,1583.8,251.1,276.6,377.9,382.5,76.6,243.8,156.9,206.7
OS,337.8,182.3,67.1,229.5,252.7,196.1,234.7,319.7,219.6,176.0,321.2,246.9,244.4,248.8,355.7,97.8,24.5,299.6,302.3,208.8,271.3,166.7,253.9,210.9,282.8,312.5,230.3,187.7,91.8,204.0,221.1,183.5,252.8,368.8,90.9,170.7,267.7,291.8,109.8,56.6,184.4,133.2,176.9,57.0,389.1,291.8,0.0,111.9,41.2,122.6,192.7,268.8,135.4,100.1,221.3,195.7,217.9,180.4,95.0,33.2,188.1,360.9,258.9,41.0,322.1,60.7,277.5,221.3,100.3,185.3,101.0,265.1,216.8,359.1,130.9,262.8,104.4,381.6,1485.5,90.3,260.2,53.3,67.7,294.9,173.0,224.2,225.8
OV,416.7,257.0,109.1,304.2,326.8,255.0,308.8,393.8,293.7,250.1,395.3,321.0,318.5,322.9,430.4,145.4,97.3,373.7,375.4,283.5,345.4,240.8,328.0,285.0,358.1,386.6,304.4,262.4,19.4,226.9,295.5,259.5,326.9,442.9,30.5,245.1,348.7,366.4,14.2,40.9,258.5,180.8,251.0,73.1,463.2,365.9,111.7,0.0,81.2,170.2,266.8,346.8,183.0,149.9,295.4,270.4,230.2,255.1,16.2,89.2,262.2,435.0,333.0,98.7,396.2,69.1,351.5,288.8,170.2,259.4,9.7,339.2,290.9,433.8,205.6,337.5,178.5,455.7,1559.6,168.7,334.3,101.2,53.9,369.6,247.1,298.3,299.9
PA,335.4,175.7,119.9,222.9,245.5,173.7,227.5,312.5,212.4,168.8,314.0,239.7,237.2,241.6,349.1,146.0,16.0,292.4,294.1,202.2,264.1,159.5,246.7,203.7,276.8,305.3,223.1,181.1,50.5,252.2,214.2,178.2,245.6,361.6,101.2,163.8,267.4,285.1,84.9,27.9,177.2,181.4,169.7,78.1,381.9,284.6,48.1,70.6,0.0,170.8,185.5,265.5,183.6,150.5,214.1,189.1,259.7,173.8,53.7,7.9,180.9,353.7,251.7,76.7,314.9,74.1,270.2,207.5,88.9,178.1,60.3,257.9,209.6,352.5,124.3,256.2,97.2,374.4,1478.3,87.4,253.0,101.8,115.9,288.3,165.8,217.0,218.6
PL,465.0,310.4,61.6,343.8,375.1,323.6,362.2,442.1,342.0,303.5,443.6,360.6,371.9,362.5,478.7,34.1,152.6,413.3,416.0,336.9,385.0,280.4,367.6,324.6,405.2,434.9,357.8,315.8,196.8,81.3,334.8,297.8,366.5,491.2,136.1,298.5,382.0,405.5,153.0,184.7,311.9,10.5,290.6,160.6,419.5,405.5,128.0,177.3,168.7,0.0,306.4,386.4,12.8,27.4,349.1,323.8,94.5,308.5,193.6,160.7,315.6,483.3,372.6,135.0,444.5,164.6,391.2,328.4,226.5,312.8,187.1,378.8,344.3,482.1,259.0,390.9,231.9,504.0,1537.2,217.8,373.9,76.5,111.0,399.3,286.7,351.7,353.3
PM,117.3,123.5,285.3,136.2,27.4,152.4,70.0,94.4,61.4,83.5,95.9,119.2,74.9,56.0,131.0,262.6,203.3,161.9,197.8,93.0,168.3,25.4,163.7,18.1,58.7,87.2,60.8,115.8,270.0,367.9,146.1,7.2,113.7,143.5,306.4,78.5,81.8,146.1,297.8,247.4,91.9,298.0,15.8,267.7,163.8,99.0,213.5,290.1,219.4,287.4,0.0,172.5,304.1,267.1,100.8,31.2,365.9,44.4,273.2,211.4,36.8,135.6,219.0,242.1,96.8,271.7,162.5,21.9,138.9,108.3,279.8,127.4,96.3,134.4,93.0,85.2,130.2,156.3,1473.1,140.4,171.6,267.2,281.3,102.7,133.1,71.9,133.3
QG,115.8,251.6,291.2,99.3,162.8,209.8,186.9,91.0,210.6,189.7,94.5,72.2,192.7,225.5,161.5,306.2,217.7,124.9,127.6,139.3,96.6,143.4,17.6,187.6,136.7,166.2,178.6,195.4,280.5,411.5,42.0,160.8,78.1,146.8,315.0,184.4,248.9,113.2,356.3,249.8,202.0,341.6,153.6,281.1,33.0,268.5,223.3,300.6,229.9,331.0,169.4,0.0,347.7,308.5,144.3,169.0,407.3,178.3,287.6,225.8,181.5,113.0,144.2,256.5,118.1,284.8,98.9,144.4,215.5,151.9,290.3,90.4,139.9,114.2,217.2,211.7,219.6,93.7,1355.6,205.5,85.5,277.4,291.8,262.3,202.1,199.6,239.5
QM,430.5,323.2,74.4,355.3,345.4,320.0,331.5,412.4,354.8,320.2,456.4,372.1,384.7,374.0,449.0,50.8,165.4,424.8,426.5,353.6,396.5,291.9,379.1,336.1,418.0,405.2,370.6,328.6,209.6,64.6,346.3,310.6,378.0,504.0,147.0,311.3,393.5,417.0,165.8,201.4,328.6,2.2,302.1,173.4,432.3,417.0,140.2,194.0,185.4,12.8,317.9,394.0,0.0,40.2,361.5,336.6,77.8,321.3,206.4,173.5,328.4,496.1,384.1,147.8,457.3,177.4,402.7,328.4,240.6,329.5,199.9,390.3,357.1,452.4,271.8,360.2,244.7,474.3,1553.9,238.8,385.4,89.0,123.8,409.9,298.2,368.4,366.1
QV,432.7,282.9,34.1,323.0,344.3,296.1,331.4,414.6,314.5,276.0,416.1,343.1,344.4,345.0,451.2,6.6,121.8,395.8,398.5,306.1,367.5,262.9,350.1,307.1,377.7,407.4,330.3,288.3,169.3,101.6,317.3,280.3,349.0,463.7,106.7,270.7,361.2,384.7,125.6,153.9,281.1,30.8,273.1,136.0,484.0,388.0,100.5,149.8,141.2,20.2,288.9,365.0,33.0,0.0,321.3,296.3,114.8,281.0,162.8,129.9,288.1,455.8,355.1,104.2,417.0,139.7,370.4,321.3,200.3,285.3,156.3,361.3,316.8,451.3,228.2,360.1,201.1,476.5,1509.7,190.3,356.4,49.0,80.2,388.4,269.2,324.2,325.8
RC,313.3,153.7,146.8,332.3,223.4,166.8,205.4,290.5,190.3,146.8,291.9,315.2,215.1,265.9,327.1,161.8,69.3,357.9,393.9,180.1,355.3,183.6,359.7,228.1,254.7,283.2,201.1,159.1,136.1,267.0,342.6,201.2,309.7,339.5,170.5,141.4,285.5,332.9,170.3,101.5,155.2,197.1,194.0,133.8,359.8,308.9,78.9,156.1,85.4,186.5,219.7,364.6,199.4,164.0,0.0,167.0,262.9,151.7,139.3,77.5,158.8,331.6,377.2,120.7,292.9,137.8,349.5,0.1,66.2,156.0,145.9,360.7,187.6,330.5,102.2,234.2,73.2,352.4,1631.3,65.3,367.6,132.9,147.4,302.8,291.3,194.9,196.5
RH,153.3,92.2,249.4,172.2,70.2,160.0,38.3,130.4,67.5,52.2,131.9,155.2,48.0,98.8,167.0,280.1,172.0,197.9,233.8,61.7,169.6,16.5,199.7,60.9,93.5,123.2,33.9,84.5,238.7,386.3,182.5,34.1,149.7,179.5,273.2,46.9,118.3,189.3,272.9,204.1,60.6,315.5,26.9,236.4,199.8,141.8,181.5,258.8,188.1,304.9,42.7,208.5,321.6,282.4,91.9,0.0,399.5,13.1,241.9,180.1,5.5,171.6,210.1,210.8,132.8,240.4,205.2,64.7,104.5,81.5,248.5,163.4,87.4,170.4,61.7,67.0,98.9,192.3,1464.2,113.6,207.6,235.9,250.0,135.6,124.2,56.5,102.0
RM,469.4,401.8,153.0,394.2,384.3,415.0,370.4,451.3,433.4,394.9,452.8,411.0,380.1,412.9,487.9,125.5,244.0,463.7,465.4,428.3,435.4,330.8,418.0,375.0,414.4,444.1,366.0,407.2,237.6,12.3,385.2,348.2,416.9,500.4,225.6,389.9,432.4,455.9,244.4,276.1,403.3,80.7,341.0,252.0,469.9,455.9,219.4,218.1,260.1,91.3,356.8,432.9,78.5,122.1,349.8,415.2,0.0,399.9,234.4,252.1,407.0,492.5,423.0,226.4,453.7,256.0,441.6,2.1,319.2,404.2,227.9,429.2,345.3,491.3,350.4,399.1,323.3,513.2,1603.6,309.2,424.3,168.1,202.4,459.6,337.1,443.1,444.7
RS,168.6,79.0,236.2,187.5,85.5,146.8,53.6,145.7,54.3,39.0,147.2,170.5,63.3,114.1,182.3,266.9,158.8,213.2,249.1,48.5,184.9,31.8,215.0,76.2,108.8,138.5,49.2,71.3,225.5,373.1,197.8,49.4,165.0,194.8,260.0,33.7,133.6,204.6,259.7,190.9,47.4,302.3,42.2,226.1,215.1,157.1,168.3,245.6,174.9,291.7,58.0,219.9,304.5,269.2,98.2,15.2,386.3,0.0,228.7,166.9,7.0,186.9,225.4,197.6,148.1,232.6,220.5,384.0,89.9,68.3,235.3,178.7,93.8,185.7,48.5,82.3,85.7,207.6,1479.5,100.4,222.9,222.4,236.8,160.8,139.5,43.3,88.8
SC,395.6,240.7,131.1,287.9,310.5,238.7,292.5,377.5,277.4,233.8,379.0,304.7,302.2,306.6,414.1,162.3,81.0,357.4,360.1,267.2,329.1,224.5,311.7,268.7,340.6,370.3,288.1,246.1,3.2,243.8,278.9,241.9,310.6,426.6,47.4,228.8,326.1,349.6,30.9,48.9,242.2,197.7,234.7,53.9,446.9,349.6,100.5,16.8,64.9,187.1,250.5,326.6,199.9,164.6,279.7,254.1,244.9,238.8,0.0,72.9,245.9,418.7,316.7,69.9,379.9,47.4,335.3,272.5,153.9,243.1,6.5,322.9,274.6,417.5,189.3,321.2,162.2,439.4,1543.3,148.1,318.0,117.8,70.8,353.3,230.8,282.0,283.6
SD,322.6,167.7,107.3,214.9,237.5,165.7,219.5,304.5,204.4,160.8,306.0,231.7,229.2,233.6,341.1,138.0,8.0,284.4,286.1,194.2,256.1,151.5,238.7,195.7,267.6,297.3,215.1,173.1,58.5,244.2,205.9,168.9,237.6,353.6,109.2,155.5,253.1,276.6,92.7,23.9,169.2,173.4,161.7,83.2,373.9,276.6,39.4,78.6,7.9,162.8,177.5,257.5,175.6,140.3,206.0,181.1,257.4,165.8,61.7,0.0,172.9,345.7,243.7,68.7,306.9,76.7,262.3,199.5,80.2,170.1,68.3,249.9,201.6,344.5,116.3,248.2,89.2,366.4,1470.3,75.1,245.0,93.8,107.9,270.4,157.8,209.0,210.6
SM,160.2,85.4,247.2,179.1,77.1,153.2,45.2,137.3,60.7,45.4,138.8,162.1,54.9,105.7,173.9,273.3,165.2,204.8,240.7,54.9,176.5,23.4,206.6,67.8,101.6,130.1,40.8,77.7,231.9,379.5,189.0,42.3,156.6,186.4,268.3,40.4,131.5,195.8,266.3,209.3,53.8,308.7,33.8,229.6,206.7,148.7,175.4,252.0,181.3,298.1,49.6,215.4,314.8,277.8,98.7,6.8,390.4,6.3,235.1,173.3,0.0,178.5,217.0,204.0,139.7,233.6,212.2,71.6,100.8,74.7,241.7,170.3,94.3,177.3,54.9,73.9,92.1,199.2,1471.1,102.3,214.5,229.1,243.2,152.4,131.1,49.7,95.2
SR,117.7,287.0,335.1,129.4,117.6,267.8,152.7,94.8,176.8,228.9,49.5,119.6,203.7,189.4,113.4,345.5,253.1,162.3,190.4,178.6,134.0,182.7,140.1,151.5,86.6,117.1,189.6,230.8,319.8,450.8,139.3,166.3,114.1,143.9,356.2,224.0,215.2,155.0,354.2,297.2,220.1,380.9,174.8,317.5,117.1,232.4,263.3,339.9,269.2,370.3,159.0,122.4,387.0,350.0,183.7,195.0,448.8,208.2,323.0,261.2,200.6,0.0,245.8,291.9,97.2,321.5,185.0,155.3,250.6,191.2,329.6,127.8,179.2,88.0,256.5,167.9,258.9,20.6,1453.3,249.1,172.0,317.0,331.1,236.1,299.8,187.3,237.1
TR,379.7,506.3,580.4,400.1,541.1,522.1,527.2,381.6,445.5,448.3,432.9,416.9,536.9,414.7,376.4,618.7,488.7,469.6,472.3,397.9,441.3,487.6,423.9,391.5,381.6,412.1,522.8,450.1,493.1,634.4,391.1,505.0,422.8,355.0,504.6,443.3,434.2,298.6,488.3,456.6,456.7,628.8,497.8,520.7,411.2,457.7,520.8,491.7,472.6,618.2,513.6,384.1,631.0,621.0,402.9,513.2,635.5,433.0,496.3,480.6,440.1,434.0,0.0,546.3,344.6,514.1,447.5,387.7,474.1,410.5,501.5,435.1,398.5,448.7,475.8,555.9,478.2,414.7,1580.1,464.1,430.2,574.2,528.0,451.5,419.6,458.2,498.1
TW,355.9,201.0,84.2,260.7,270.8,226.7,265.3,337.8,237.7,194.1,339.3,265.0,262.5,266.9,374.4,114.9,43.2,330.2,320.4,227.5,289.4,197.3,272.0,229.0,300.9,330.6,260.9,206.4,69.2,233.6,239.2,202.2,270.9,386.9,107.4,201.6,298.9,309.9,103.4,75.3,202.5,162.8,195.0,13.1,419.7,322.4,18.0,76.8,71.8,139.7,210.8,290.8,152.5,129.7,239.4,226.9,234.3,199.1,72.4,51.3,206.2,391.5,289.5,0.0,352.7,32.2,295.6,206.2,118.4,203.4,66.5,295.7,234.9,390.3,162.1,294.0,135.0,399.7,1516.1,108.4,290.8,70.3,97.3,303.7,203.6,242.3,256.4
UK,39.8,237.6,328.2,39.3,67.9,218.1,103.0,36.9,127.1,179.2,66.6,22.3,154.0,139.7,81.7,338.6,246.2,65.0,66.7,171.7,36.7,134.8,66.8,101.8,36.9,67.4,139.9,218.1,312.9,443.9,49.2,116.6,16.8,66.0,380.4,184.4,165.5,57.7,364.1,290.3,170.4,374.0,125.1,310.6,106.3,182.7,256.4,367.5,262.3,363.4,109.3,85.6,376.2,343.1,176.7,145.3,441.9,158.5,316.1,254.3,150.9,106.3,155.7,285.0,0.0,314.6,42.8,105.6,235.2,184.3,322.7,30.5,172.3,105.1,207.1,118.2,226.5,118.4,1363.2,236.7,74.7,310.1,363.2,186.4,209.7,137.6,187.4
UL,395.7,233.2,113.8,277.8,305.8,234.0,282.4,370.0,272.7,226.3,371.5,297.2,294.7,296.5,404.0,147.1,72.8,349.9,354.4,257.1,321.6,217.0,304.2,261.2,337.1,362.8,280.6,236.0,37.0,253.3,268.8,231.8,303.1,419.1,84.9,224.1,321.4,342.1,68.6,73.9,232.1,182.5,227.2,9.4,439.4,342.1,53.0,57.1,89.9,169.3,243.0,325.8,182.1,154.4,268.9,249.4,263.9,234.1,37.4,80.9,238.4,411.2,306.6,32.2,372.4,0.0,325.2,267.8,149.2,235.6,44.0,315.4,267.1,410.0,179.2,313.7,152.1,431.9,1535.8,147.7,310.5,102.6,113.7,333.3,223.3,274.5,276.1
UR,65.1,267.7,331.4,47.1,98.0,248.2,133.1,67.0,157.2,209.3,96.7,30.1,184.1,169.8,111.8,346.4,254.0,53.5,23.7,179.5,5.8,164.9,74.6,131.9,67.0,97.5,170.0,231.7,320.7,451.7,57.4,148.0,24.6,96.1,388.2,214.5,189.3,14.2,371.7,286.1,200.5,381.8,155.2,321.3,118.2,212.8,263.5,375.3,270.1,371.2,139.4,89.5,384.0,348.7,184.5,175.4,447.5,188.6,323.9,262.1,181.0,136.4,163.5,292.8,30.0,322.4,0.0,135.7,254.4,192.1,330.5,11.1,180.1,134.8,237.2,148.3,256.6,126.2,1371.0,245.7,67.9,317.6,332.0,206.6,217.5,167.7,217.5
VL,128.8,145.5,146.7,396.5,386.6,89.0,46.5,110.7,57.7,105.5,112.2,135.5,96.9,265.9,147.3,284.6,225.3,178.2,164.9,115.0,146.3,47.4,180.0,3.8,73.8,103.5,82.8,137.8,292.0,389.9,162.8,42.3,130.0,159.8,317.0,100.2,434.7,197.5,319.6,257.4,155.1,320.0,37.7,292.6,180.1,77.0,234.8,312.1,241.4,298.0,21.9,184.9,322.2,286.9,100.0,416.4,2.3,401.1,295.2,233.4,58.8,151.9,425.3,264.1,113.1,296.3,140.4,0.0,156.4,130.3,225.7,151.6,118.3,178.6,102.2,401.4,324.5,172.6,1495.1,166.9,187.9,288.9,203.6,143.8,155.1,68.2,118.0
VP,241.6,82.5,141.7,261.1,152.3,99.9,138.5,223.5,120.5,79.8,225.0,248.3,148.2,194.8,257.2,172.4,64.3,291.0,327.9,113.9,288.4,116.7,292.8,161.1,186.6,216.3,134.1,92.1,131.0,278.6,272.7,131.4,242.8,272.6,165.5,74.5,214.3,266.6,165.2,96.4,88.9,207.8,127.1,131.6,292.9,242.0,73.8,151.1,80.4,196.6,152.7,297.7,217.0,174.7,125.7,100.1,291.8,80.6,133.6,71.8,91.9,264.7,250.8,102.5,225.9,135.3,279.6,125.1,0.0,89.1,140.2,293.7,120.6,264.2,32.4,167.2,3.4,285.4,1478.0,6.0,300.7,127.9,145.4,231.6,165.5,128.0,129.6
VZ,224.6,95.7,187.3,243.5,134.7,163.5,114.4,201.7,101.6,37.7,203.2,226.5,124.1,174.9,238.3,197.7,105.3,269.2,305.1,89.1,240.9,92.6,271.0,137.0,166.0,194.5,110.0,39.5,172.0,303.0,253.4,111.5,221.0,250.8,208.4,32.7,200.7,265.0,206.4,149.4,46.1,233.1,103.0,169.7,271.1,217.9,115.5,192.1,121.4,222.5,130.9,279.8,235.3,202.2,35.9,76.0,301.0,60.7,175.2,113.4,67.8,242.9,286.2,144.1,204.1,173.7,247.0,140.8,102.8,0.0,181.8,234.7,31.4,241.7,65.2,143.1,102.4,263.6,1540.3,101.3,278.9,169.2,183.3,221.6,200.3,103.9,87.5
XC,402.1,247.2,124.5,294.4,317.0,260.4,299.0,384.0,283.9,240.3,385.5,311.2,308.7,313.1,420.6,155.7,87.5,363.9,365.6,273.7,335.6,231.0,318.2,275.2,347.1,376.8,294.6,252.6,9.6,237.2,285.4,248.4,317.1,433.1,40.8,235.3,332.6,356.1,24.5,55.4,248.7,191.1,241.2,60.4,453.4,356.1,107.6,10.2,71.4,180.5,257.0,337.0,193.3,160.2,285.5,260.6,238.3,245.3,6.4,79.4,252.4,425.2,323.2,76.4,386.4,59.3,341.8,240.5,160.4,249.6,0.0,329.4,281.1,424.0,195.8,327.7,168.7,445.9,1549.8,154.6,324.5,111.2,64.2,359.8,237.3,288.5,290.1
XH,58.7,256.5,324.8,35.9,86.8,237.0,121.9,55.8,146.0,198.1,85.5,18.9,172.9,158.6,100.6,335.2,242.8,34.4,36.1,168.3,6.1,153.7,63.4,120.7,55.8,86.3,158.8,220.5,309.5,440.5,45.8,135.5,13.4,84.9,377.0,203.3,184.4,27.1,360.7,286.9,189.3,370.6,144.0,307.2,107.0,201.6,253.0,364.1,258.9,360.0,128.2,82.2,376.7,339.7,173.3,164.2,438.5,177.4,312.7,250.9,169.8,125.2,152.3,281.6,18.8,311.2,12.2,124.5,240.3,180.9,319.3,0.0,168.9,123.6,226.0,137.1,245.4,115.0,1359.8,238.8,56.7,306.7,320.8,205.3,206.3,156.5,206.3
XN,317.8,158.1,155.8,336.7,227.9,156.1,209.9,294.9,194.8,151.2,296.4,319.7,219.6,270.4,331.5,166.2,73.8,362.4,398.3,184.6,359.8,188.1,364.2,232.5,259.2,287.7,205.5,163.5,140.5,271.5,346.6,207.0,314.2,344.0,176.9,146.2,296.2,337.6,174.9,117.9,159.6,201.6,198.5,138.2,364.3,313.4,84.0,160.6,89.9,191.0,224.1,373.0,203.8,170.7,4.3,171.5,269.5,156.2,143.7,81.9,163.3,336.1,381.7,112.6,297.3,142.2,354.0,236.3,71.3,160.5,150.3,365.1,0.0,334.9,106.7,238.6,79.6,356.8,1635.8,69.8,372.1,137.7,151.8,317.1,295.8,199.4,201.0
XO,104.7,279.1,355.9,128.4,109.4,259.6,144.5,86.6,168.6,220.7,31.4,111.4,195.5,181.2,105.2,370.9,278.5,154.1,182.2,204.0,125.8,176.3,143.7,143.3,78.4,108.9,181.4,256.2,345.2,476.2,138.7,159.4,105.9,135.7,379.7,225.9,200.7,146.3,379.4,310.6,211.9,406.3,166.6,345.8,117.1,224.2,288.7,365.3,294.6,395.7,150.8,136.9,408.5,373.2,209.0,186.8,472.0,200.0,348.4,286.6,192.4,101.0,244.8,329.8,89.0,352.3,176.7,193.7,272.2,216.6,355.0,119.6,204.6,0.0,248.6,159.7,268.0,92.4,1452.3,274.5,163.8,342.0,356.5,227.9,298.8,179.1,228.9
XS,218.1,51.3,187.6,237.0,141.4,64.5,103.1,195.2,103.6,44.4,196.7,220.0,112.8,163.6,231.8,218.3,110.2,262.7,298.6,77.8,234.4,81.3,264.5,125.7,158.3,188.0,98.7,56.7,176.9,324.5,247.3,98.9,214.5,244.3,211.4,39.1,183.1,254.1,211.3,142.3,52.8,253.7,91.7,177.5,264.6,206.6,120.4,197.0,126.3,243.1,107.5,273.3,259.8,220.6,89.6,64.7,337.7,49.4,180.1,118.3,56.5,236.4,274.9,161.5,197.6,178.6,270.0,129.5,41.3,53.7,186.7,228.2,85.2,235.2,0.0,131.8,37.1,257.1,1529.0,51.8,272.4,173.7,188.2,200.4,189.0,92.6,94.2
XT,138.8,156.7,313.9,162.5,81.2,224.5,22.1,120.7,132.0,116.7,122.2,145.5,73.1,138.9,157.3,344.6,236.5,188.2,224.1,126.2,159.9,76.6,190.0,101.0,83.8,113.5,59.0,149.0,303.2,450.8,172.8,74.2,140.0,169.8,337.7,111.4,158.4,180.4,337.4,268.6,125.1,380.0,67.0,300.9,190.1,181.9,246.7,323.3,252.6,369.4,82.8,194.9,382.2,346.9,152.0,64.4,464.0,77.6,306.4,244.6,70.0,161.9,278.9,275.3,123.1,304.9,166.1,104.8,169.0,146.0,313.0,153.7,147.5,160.7,126.2,0.0,163.4,182.6,1486.4,178.1,197.9,300.4,314.5,175.7,184.3,121.0,166.5
