from_stop,AA,AN,AT,AZ,BD,BE,BG,BK,BT,BW,CC,CE,CI,CO,CR,CV,CX,DG,DN,DQ,DR,DU,DY,EB,ED,EG,EI,EL,EM,EN,ES,EU,FJ,FO,GE,GF,GO,GR,GY,HL,HN,HS,HU,IA,IC,ID,IV,JF,JG,JO,KF,KO,KR,KX,KY,LA,LD,LG,LJ,LN,LO,LT,MD,MM,MO,MS,MT,NE,NT,NX,OB,OI,OL,OR,PB,PD,PP,PS,PV,PW,PZ,QK,QV,QX,SD,SO,SS,ST,SY,TA,TF,TM,UD,UE,UL,VI,VK,WB,WF,WH,WJ,WR,WW,XG,XH,XT,XY,YA,YF,YG,YI,YZ,ZC,ZD,ZG,ZJ
EM,157.4,159.5,315.5,188.8,144.7,34.0,350.4,207.4,417.0,270.2,156.4,236.0,381.5,107.2,473.0,112.0,130.2,161.9,331.3,185.9,334.8,484.3,112.8,77.2,101.2,94.2,480.9,358.8,0.0,170.6,125.9,102.6,108.6,139.8,114.4,129.6,493.4,412.3,99.2,126.8,358.4,120.7,165.2,385.6,97.1,114.3,442.5,112.4,181.2,212.2,151.1,344.2,65.5,346.2,367.1,458.6,174.7,393.3,83.7,452.5,165.3,110.6,165.5,300.5,338.1,200.7,390.2,314.1,152.9,120.1,315.1,115.6,92.5,196.2,488.8,374.6,86.8,178.1,160.8,131.3,270.6,141.0,343.2,378.3,145.3,172.1,300.6,178.0,105.7,143.3,323.3,184.3,139.7,147.6,288.0,471.8,285.6,106.4,335.8,112.2,137.4,474.7,132.8,355.3,106.7,96.2,138.4,341.9,467.1,198.9,144.2,173.5,2014.3,337.3,89.4,52.1
EN,128.6,324.8,143.4,14.4,316.1,221.0,196.2,35.3,203.6,98.1,99.9,128.9,227.3,72.4,298.6,216.9,111.9,139.5,179.4,13.9,184.3,300.7,259.0,182.1,171.3,233.2,290.4,206.9,185.6,0.0,64.5,273.5,221.3,273.8,289.5,128.0,309.8,258.1,116.4,132.6,170.8,140.5,336.6,231.1,202.0,184.3,270.4,129.7,98.1,37.8,86.7,193.7,222.6,194.3,215.2,258.2,68.7,179.9,96.3,231.0,80.0,160.6,297.0,128.4,186.2,26.3,238.3,139.7,116.7,239.7,143.0,136.3,197.4,89.1,307.5,222.7,259.7,3.7,99.6,121.4,96.2,313.7,191.3,226.3,312.8,132.1,128.7,66.9,280.8,320.0,151.2,361.0,144.1,112.8,115.9,288.2,111.2,154.8,185.3,288.9,242.3,293.4,275.4,203.4,255.1,199.8,317.2,190.0,296.4,90.0,76.2,338.8,2119.2,162.9,127.9,229.7
ES,124.8,262.4,198.0,71.4,255.0,158.6,224.4,90.0,299.6,152.8,112.5,144.7,264.1,10.1,347.0,154.5,94.9,156.6,213.9,68.5,208.8,358.3,196.6,119.7,103.7,180.7,363.5,241.4,133.1,54.6,0.0,211.1,158.9,209.2,224.9,85.7,380.8,294.9,63.9,149.9,241.0,143.8,275.5,268.2,139.6,128.0,325.1,68.5,120.3,86.2,33.7,226.8,160.2,228.8,249.7,341.2,93.1,275.9,33.9,335.1,104.4,101.6,235.9,183.1,212.1,74.7,272.8,196.7,87.3,170.4,197.7,80.3,135.0,113.5,371.4,257.2,197.3,60.7,48.9,69.8,153.2,251.3,225.8,260.9,248.2,156.5,200.5,91.3,216.2,257.6,205.9,298.6,105.2,53.5,170.6,354.4,159.6,129.5,209.8,226.5,179.9,357.3,213.0,237.9,192.7,138.7,248.9,224.5,341.1,112.2,26.8,276.4,2056.8,219.9,65.5,167.3
EU,191.6,144.5,395.0,267.6,156.5,89.8,444.1,286.2,454.5,349.0,213.8,265.6,475.2,200.9,518.3,71.0,215.4,202.1,425.0,264.7,428.5,553.9,10.1,105.2,135.4,71.0,539.9,452.5,155.5,249.4,211.0,0.0,71.1,182.5,96.0,187.0,563.0,506.0,183.3,164.4,424.0,154.9,128.8,472.4,85.9,146.7,521.3,197.6,215.4,291.0,244.8,441.6,69.2,439.9,460.8,552.3,238.1,430.8,177.4,484.2,199.5,144.8,171.0,379.3,431.8,279.5,483.9,399.9,246.1,57.2,393.9,165.7,81.7,230.4,558.4,468.3,66.6,256.9,254.5,212.0,349.4,155.7,436.9,474.2,158.7,206.3,379.6,212.2,104.7,46.4,402.1,87.4,173.9,241.3,366.8,529.7,364.4,140.6,429.5,15.3,50.3,544.3,30.1,449.0,58.5,91.0,68.3,435.6,545.9,233.1,237.9,130.5,1925.1,416.1,183.1,62.3
FJ,143.1,128.1,346.5,219.1,113.3,141.3,395.6,237.7,406.0,300.5,165.3,217.1,426.7,152.4,469.8,115.7,166.9,153.6,376.5,216.2,380.0,505.4,75.0,80.9,86.9,30.2,491.4,404.0,107.0,200.9,162.5,89.2,0.0,136.4,83.0,138.5,514.5,457.5,134.8,115.9,375.5,106.4,133.8,423.9,100.8,98.2,472.8,149.1,166.9,242.5,196.3,393.1,76.0,391.4,412.3,503.8,189.6,382.3,128.9,435.7,151.0,96.3,134.1,330.8,383.3,231.0,435.4,351.4,197.6,16.2,345.4,117.2,33.2,181.9,509.9,419.8,55.4,208.4,206.0,163.5,300.9,109.6,388.4,425.7,113.9,157.8,331.1,163.7,74.3,136.0,353.6,161.4,125.4,192.8,318.3,481.2,315.9,92.1,381.0,104.9,74.5,495.8,71.1,400.5,42.7,95.7,110.7,387.1,497.4,184.6,189.4,142.1,2010.1,367.6,134.6,69.1
FO,242.5,72.2,408.8,281.4,45.7,118.9,443.0,300.0,509.6,362.8,249.0,321.1,474.1,199.8,565.6,215.1,222.8,247.0,423.9,278.5,427.4,576.9,178.3,180.3,186.3,122.0,562.9,451.4,151.1,264.6,209.9,168.1,136.4,0.0,83.8,222.2,586.0,504.9,191.8,211.9,451.0,205.8,66.2,475.6,200.2,199.4,535.1,205.0,266.3,304.8,243.7,440.5,115.2,438.8,459.7,551.2,267.3,485.9,176.3,545.1,250.4,195.7,45.7,393.1,430.7,293.3,482.8,406.7,245.5,152.6,407.7,216.6,132.6,281.3,581.4,467.2,76.3,270.7,253.4,210.9,363.2,42.0,435.8,473.1,58.0,257.2,393.4,263.1,75.1,138.9,415.9,93.8,224.8,240.2,380.6,564.4,378.2,191.5,428.4,153.1,185.6,567.3,162.9,447.9,138.2,199.3,107.8,434.5,559.7,284.0,236.8,86.2,1927.3,429.9,182.0,108.3
GE,211.7,78.1,420.0,287.7,63.3,105.0,464.2,306.3,474.6,369.1,233.9,290.3,495.3,221.0,571.9,141.8,235.5,216.2,445.1,284.8,448.6,574.0,96.9,149.5,155.5,91.2,560.0,472.6,175.8,269.5,231.1,86.7,105.6,86.4,0.0,207.1,583.1,526.1,203.4,181.1,444.1,175.0,83.8,492.5,156.7,168.6,541.4,217.7,235.5,311.1,264.9,458.0,84.4,460.0,480.9,572.4,258.2,450.9,197.5,510.1,219.6,164.9,84.1,399.4,451.9,299.6,504.0,413.0,266.2,117.1,414.0,185.8,101.8,250.5,578.5,488.4,45.5,277.0,274.6,232.1,369.5,59.6,457.0,492.1,63.9,226.4,416.8,232.3,8.7,55.0,422.2,111.4,194.0,261.4,386.9,561.5,384.5,160.7,449.6,71.7,137.1,564.4,116.9,469.1,113.1,168.5,23.9,455.7,566.0,253.2,258.0,92.1,1933.7,436.2,203.2,77.5
GF,64.3,242.3,262.7,136.1,227.5,174.7,315.7,154.7,323.0,217.5,26.8,167.9,346.8,99.4,420.3,144.8,73.6,106.5,296.6,133.2,300.1,422.4,168.9,110.0,43.2,144.4,419.0,324.1,140.6,117.9,122.8,183.4,131.2,225.3,197.2,0.0,436.3,377.6,41.5,89.4,292.5,83.3,248.0,344.0,129.9,58.9,389.8,55.8,92.9,159.5,153.5,313.2,176.3,311.5,332.4,377.6,106.6,299.3,75.9,352.7,108.8,32.5,248.3,247.8,303.4,148.0,355.5,261.4,144.3,147.4,262.4,23.9,107.3,128.1,426.9,339.9,169.6,125.4,168.7,121.8,217.9,223.8,308.5,345.8,228.1,116.7,265.2,105.9,188.5,229.9,270.6,270.9,44.7,139.0,235.3,409.9,232.9,69.0,301.1,198.8,152.2,412.8,185.3,320.6,160.6,129.0,224.9,307.2,414.4,126.8,146.6,256.3,2047.1,284.6,63.6,183.4
GO,389.3,589.6,116.8,249.2,577.4,485.8,114.9,225.1,161.5,161.8,361.2,393.7,104.9,332.4,98.4,481.7,378.0,400.8,134.0,251.8,184.9,9.1,523.8,446.9,436.1,499.3,97.1,123.7,451.7,264.7,318.5,538.3,486.1,536.4,547.3,392.8,0.0,74.9,377.7,393.9,148.2,405.3,602.7,96.8,466.8,450.4,66.6,395.8,360.7,220.3,312.7,145.1,487.4,134.5,123.8,106.3,333.5,185.2,361.1,126.0,344.8,425.4,563.1,131.7,144.8,233.9,99.8,193.9,344.3,497.6,201.7,394.1,462.2,353.9,105.0,107.9,524.5,259.0,340.8,371.2,161.4,578.5,139.4,112.1,570.6,396.9,225.0,331.7,538.6,584.8,158.2,625.8,408.9,354.0,212.4,26.1,141.5,416.1,129.5,553.7,507.1,90.9,540.2,134.6,519.9,465.9,576.1,123.4,131.3,352.6,314.8,603.6,2126.7,172.2,392.7,494.5
GR,366.0,566.3,93.4,225.8,558.9,462.5,91.6,201.8,112.5,138.5,342.7,370.4,29.9,313.9,162.3,458.4,354.7,382.3,110.7,228.5,147.7,117.8,500.5,423.6,412.8,476.0,133.7,73.9,428.4,239.2,295.2,515.0,462.8,513.1,528.8,369.5,131.7,0.0,359.2,375.4,124.9,382.0,579.4,64.6,443.5,427.1,90.5,372.5,337.4,197.0,289.4,65.3,464.1,84.7,93.7,57.3,310.2,136.2,337.8,82.8,321.5,402.1,539.8,108.4,95.0,210.6,76.5,170.6,321.0,474.3,178.4,375.6,438.9,330.6,152.2,58.1,501.2,235.7,317.5,347.9,138.1,555.2,89.6,88.8,552.1,373.6,183.0,308.4,520.1,561.5,134.9,602.5,385.6,330.7,189.1,105.3,123.0,397.6,106.2,530.4,483.8,138.1,516.9,54.8,488.5,442.6,552.8,100.1,115.1,329.3,296.3,580.3,2128.0,148.9,369.4,471.2
GY,67.5,236.9,280.3,153.6,229.5,133.1,301.0,172.2,367.6,235.0,57.1,198.3,332.1,57.8,437.8,129.0,30.9,111.6,281.9,150.7,285.4,434.9,171.1,94.2,48.3,146.6,420.9,309.4,99.0,136.8,67.9,185.6,133.4,183.7,199.4,30.3,448.8,362.9,0.0,94.5,309.0,88.4,250.0,336.2,114.1,64.0,407.3,13.1,98.0,177.0,101.7,298.5,134.7,296.8,317.7,409.2,75.4,343.9,34.3,403.1,113.9,37.6,210.4,265.3,288.7,165.5,340.8,278.9,102.7,144.9,279.9,16.3,109.5,158.5,439.4,325.2,171.8,142.9,110.6,80.2,235.4,225.8,293.8,328.9,222.7,121.8,265.6,129.7,190.7,232.1,288.1,273.1,49.8,97.4,252.8,422.6,250.4,74.1,286.4,201.0,154.4,425.3,187.5,305.9,168.5,113.2,227.1,292.5,431.9,150.6,94.8,250.9,2031.3,302.1,22.0,141.8
HL,82.9,217.0,233.9,106.5,202.2,165.1,286.1,125.1,293.4,187.9,84.6,109.1,317.2,111.9,390.7,119.5,121.5,99.2,267.0,103.6,270.5,392.8,143.6,84.7,58.5,119.1,389.4,294.5,131.0,89.7,93.2,158.1,105.9,225.3,171.9,111.4,406.7,348.0,106.4,0.0,266.0,6.5,222.7,321.3,104.6,51.6,360.2,139.3,54.3,129.9,123.9,283.6,164.9,281.9,302.8,348.0,77.0,269.7,135.8,328.9,38.4,67.9,223.0,218.2,273.8,118.4,325.9,231.8,177.0,122.1,232.8,88.8,82.0,69.3,397.3,310.3,144.3,95.8,139.1,158.7,188.3,198.5,278.9,314.0,202.8,109.4,218.5,51.1,163.2,204.6,241.0,245.6,102.5,152.3,205.7,380.3,203.3,22.1,271.5,173.5,126.9,383.2,160.0,291.0,135.3,103.7,199.6,277.6,384.8,72.0,117.0,231.0,2021.8,255.0,128.5,183.2
HN,311.1,511.4,77.5,171.0,504.0,407.6,28.7,146.9,157.5,83.6,290.2,315.5,144.0,259.0,185.6,403.5,302.2,329.8,44.6,173.6,60.0,249.4,445.6,368.7,357.9,421.1,243.6,84.0,373.5,186.5,240.3,460.1,407.9,458.2,473.9,314.6,162.4,154.4,304.3,320.5,0.0,327.1,524.5,110.8,388.6,372.2,157.2,320.0,282.5,144.5,234.5,108.8,409.2,71.4,92.3,184.8,255.3,133.8,282.9,193.0,266.6,347.2,484.9,77.2,61.2,155.7,115.4,34.7,266.1,419.4,46.5,320.7,384.0,275.7,251.5,99.8,446.3,180.8,262.6,293.0,83.2,500.3,68.4,103.5,497.2,318.7,67.0,253.5,465.2,506.6,35.7,547.6,330.7,275.8,63.4,234.5,68.1,345.1,40.1,475.5,428.9,237.4,462.0,119.9,441.7,387.7,497.9,34.0,179.7,274.4,241.4,525.4,2124.9,10.6,314.5,416.3
HS,90.9,210.4,240.0,112.6,195.6,158.5,292.2,131.2,299.5,194.0,90.7,110.6,323.3,118.0,363.3,112.9,127.6,98.6,273.1,109.7,276.6,398.9,137.0,78.1,51.9,112.5,384.9,300.6,124.2,94.4,107.9,151.5,99.3,218.7,165.3,117.5,408.0,354.1,99.8,9.4,269.0,0.0,216.1,320.5,98.0,43.2,366.3,114.1,60.4,136.0,130.0,289.7,158.3,288.0,308.9,354.1,83.1,275.8,141.9,329.2,44.5,61.3,216.4,224.3,279.9,124.5,332.0,244.9,183.1,115.5,238.9,82.2,75.4,75.4,403.4,316.4,137.7,101.9,145.2,164.8,194.4,191.9,285.0,322.3,196.2,102.8,224.6,57.2,156.6,198.0,247.1,239.0,108.6,158.4,211.8,374.7,209.4,15.6,277.6,166.9,120.3,389.3,153.4,297.1,125.0,92.9,193.0,283.7,390.9,78.1,123.1,224.4,2015.2,261.1,121.9,176.6
HU,266.0,82.0,468.6,342.0,27.6,159.3,515.4,360.6,528.9,423.4,288.2,344.6,546.5,272.2,626.2,152.2,289.8,270.5,496.3,339.1,499.8,628.3,112.0,186.4,209.8,145.5,624.9,523.8,230.1,323.8,282.3,101.8,159.9,72.3,107.3,261.4,642.2,577.3,257.7,235.4,498.4,229.3,0.0,548.0,167.1,222.9,595.7,272.0,289.8,365.4,316.1,512.9,138.7,511.2,532.1,623.6,312.5,505.2,248.7,564.4,273.9,219.2,88.0,453.7,503.1,353.9,555.2,467.3,317.9,163.1,468.3,240.1,156.1,304.8,632.8,539.6,99.8,331.3,325.8,296.3,423.8,31.2,508.2,545.5,67.8,280.7,454.0,286.6,98.6,88.1,476.5,27.5,248.3,312.6,441.2,616.0,438.8,215.0,500.8,86.8,152.2,618.7,132.0,520.3,152.3,197.5,90.0,506.9,620.3,307.5,309.2,96.0,1914.7,490.5,254.4,131.8
IA,354.8,535.2,80.9,213.0,523.4,431.4,83.4,189.3,129.3,126.0,325.2,352.9,64.7,278.4,132.9,427.3,331.7,364.8,74.2,216.0,98.0,132.0,469.4,392.5,376.5,440.5,157.2,24.2,392.9,227.6,272.7,483.9,431.7,482.0,493.3,352.0,141.1,43.2,328.1,357.9,102.7,366.9,548.3,0.0,412.4,387.8,105.0,336.9,322.3,188.8,264.1,94.0,433.0,35.0,44.0,74.1,291.6,124.3,302.3,97.0,304.0,368.4,504.3,95.9,40.9,195.5,62.7,134.1,296.4,447.9,150.3,344.5,407.8,315.5,169.0,8.4,470.1,224.0,292.2,324.7,129.9,524.1,39.9,57.4,521.0,358.5,128.9,293.3,489.0,530.4,122.4,571.4,370.5,305.4,174.0,128.8,107.9,384.5,74.3,499.3,452.7,154.9,485.8,89.6,461.1,407.1,525.4,87.6,129.6,298.7,266.6,549.2,2115.4,114.3,338.3,440.1
IC,139.3,189.4,339.6,212.2,174.6,119.5,373.8,230.8,440.4,293.6,161.5,213.3,404.9,130.6,462.9,14.9,153.6,149.8,354.7,209.3,358.2,507.7,116.0,19.2,83.1,91.5,493.7,382.2,85.2,194.0,140.7,130.5,78.3,197.7,144.3,134.7,516.8,435.7,131.0,112.1,383.2,102.6,195.1,402.1,0.0,94.4,465.9,135.8,163.1,235.6,174.5,371.3,168.7,369.6,390.5,482.0,185.8,416.7,107.1,470.1,147.2,92.5,195.4,323.9,361.5,224.1,413.6,344.5,175.8,94.5,338.5,113.4,54.4,178.1,512.2,398.0,116.7,201.5,184.2,141.7,294.0,170.9,366.6,403.9,175.2,154.0,324.2,159.9,135.6,117.3,346.7,155.9,121.6,171.0,311.4,483.5,309.0,88.3,359.2,100.3,99.3,498.1,132.4,378.7,104.0,5.0,144.7,365.3,490.5,180.8,167.6,187.4,1917.1,360.7,112.8,137.6
ID,74.4,192.8,293.2,166.5,178.0,140.9,346.1,185.1,353.4,247.9,94.7,169.1,377.2,122.1,450.7,95.3,96.3,47.5,327.0,163.6,330.5,452.8,119.4,60.5,16.3,94.9,449.4,354.5,106.8,148.3,153.2,133.9,81.7,201.1,147.7,67.9,466.7,408.0,64.2,59.9,322.9,53.8,198.5,374.4,80.4,0.0,420.2,78.5,114.3,189.9,166.0,339.9,140.7,341.9,362.8,408.0,137.0,329.7,98.6,388.9,98.4,25.7,198.8,278.2,333.8,178.4,385.9,291.8,166.5,97.9,292.8,46.6,57.8,129.3,457.3,370.3,120.1,155.8,174.9,144.5,248.3,174.3,338.9,374.0,178.6,57.7,295.6,111.1,139.0,180.4,301.0,221.4,54.8,161.7,265.7,440.5,263.3,39.5,331.5,149.3,102.7,443.2,135.8,351.0,107.4,79.5,171.7,337.6,444.8,132.0,159.1,206.8,1997.6,315.0,86.3,159.0
IV,396.9,655.2,121.7,254.5,647.8,551.4,120.6,230.8,205.9,167.5,371.7,394.8,115.4,402.8,20.5,547.3,383.7,406.2,139.7,257.5,195.4,71.4,589.4,512.5,441.8,564.9,47.1,129.4,517.1,271.7,392.7,603.9,551.7,602.0,617.7,398.5,62.3,85.4,448.1,400.7,155.3,411.0,668.3,109.5,532.4,454.3,0.0,401.5,366.4,226.0,366.1,147.3,553.0,140.2,129.5,150.7,339.2,229.6,426.7,176.2,350.5,431.1,628.7,137.4,150.5,239.6,105.5,192.6,398.4,567.9,207.4,464.5,527.8,359.6,28.6,113.6,590.1,264.7,394.2,426.7,167.1,644.1,145.1,115.6,641.0,402.6,212.9,337.4,609.0,650.4,163.9,691.4,414.6,407.4,218.1,109.3,152.0,426.6,135.2,619.3,572.7,42.7,605.8,140.3,577.4,527.3,645.4,129.1,24.5,358.3,373.0,669.2,2106.5,177.9,458.3,560.1
JF,73.0,252.9,267.1,140.4,238.1,157.5,316.8,159.0,327.3,221.8,62.6,196.9,347.9,82.2,424.6,153.4,17.8,117.1,297.7,137.5,301.2,426.7,179.5,118.6,53.8,155.0,412.7,325.2,123.4,122.2,92.3,194.0,141.8,208.1,207.8,35.8,440.6,378.7,24.3,100.0,296.8,93.9,258.6,352.0,138.5,69.5,394.1,0.0,103.5,163.8,126.1,314.3,159.1,312.6,333.5,425.0,62.3,303.6,58.7,362.8,119.4,43.1,234.8,252.1,304.5,152.3,356.6,265.7,126.6,153.3,266.7,21.8,117.9,157.1,431.2,341.0,180.2,129.7,135.0,104.6,222.2,234.4,309.6,344.7,238.7,127.3,269.5,134.9,199.1,240.5,274.9,281.5,55.3,121.8,239.6,414.2,237.2,79.6,302.2,209.4,162.8,417.1,195.9,321.7,176.9,137.6,235.5,308.3,418.7,155.8,119.2,266.9,2055.7,288.9,46.4,166.2
JG,28.5,277.4,232.4,105.0,262.6,225.5,284.6,123.6,291.9,186.4,83.1,111.6,315.7,110.4,389.2,179.9,120.0,123.5,265.5,102.1,269.0,391.3,204.0,145.1,78.3,179.5,377.3,293.0,191.4,88.2,91.7,218.5,166.3,285.7,232.3,109.9,400.4,346.5,109.2,116.6,264.5,118.4,283.1,312.9,165.0,94.0,358.7,137.8,0.0,128.4,122.4,282.1,244.0,280.4,301.3,346.5,75.5,268.2,134.3,321.6,15.8,67.6,283.4,216.7,272.3,116.9,324.4,230.3,176.0,177.8,231.3,91.6,142.4,71.8,395.8,308.8,204.7,94.3,137.6,168.0,186.8,258.9,277.4,312.5,263.2,114.8,217.0,31.6,223.6,265.0,239.5,306.0,48.1,150.8,204.2,378.8,201.8,104.1,270.0,233.9,187.3,381.7,220.4,289.5,192.0,164.1,256.3,276.1,383.3,52.5,115.5,291.4,2082.2,253.5,131.3,243.6
JO,168.9,369.2,103.1,28.6,361.8,265.4,164.8,4.7,163.4,57.9,145.6,173.3,168.3,116.8,260.7,261.3,157.6,185.2,165.0,31.4,129.3,288.6,303.4,226.5,215.7,278.9,274.6,192.5,231.3,42.1,106.7,317.9,265.7,316.0,331.7,172.4,297.7,199.1,162.1,178.3,136.0,184.9,382.3,212.4,246.4,230.0,230.2,175.4,140.3,0.0,92.3,131.0,267.0,179.9,200.8,218.0,113.1,139.7,140.7,193.1,124.4,205.0,342.7,88.2,171.8,13.5,223.9,101.8,123.9,281.9,102.8,178.5,241.8,133.5,293.1,208.3,304.1,38.6,120.4,152.9,58.3,358.1,176.9,212.0,355.0,176.5,88.3,111.3,323.0,364.4,111.0,405.4,188.5,133.6,75.7,276.3,73.3,200.5,169.5,333.3,286.7,279.0,319.8,142.1,291.4,245.5,355.7,175.6,254.8,132.2,99.2,383.2,2163.6,125.0,172.3,274.1
KF,162.9,306.2,201.1,83.5,298.8,202.4,237.5,92.3,245.7,155.1,137.7,160.8,268.6,53.8,324.4,198.3,130.1,172.2,218.4,80.6,221.9,342.0,240.4,163.5,147.5,215.9,328.0,245.9,168.1,65.3,43.7,254.4,202.7,253.0,268.7,129.5,351.1,299.4,99.1,166.7,230.1,177.0,319.3,265.8,183.4,161.4,327.4,112.3,132.4,97.1,0.0,235.0,196.8,233.3,254.2,330.0,105.2,222.0,77.7,275.4,116.5,136.8,279.7,185.4,225.2,85.6,277.3,191.1,65.9,218.9,185.1,115.5,178.8,125.6,346.5,261.7,241.1,72.8,28.0,60.5,155.5,295.1,230.3,267.6,292.0,168.6,170.8,103.4,260.0,301.4,208.2,342.4,149.0,41.2,158.0,317.8,170.5,173.3,222.9,270.3,223.7,332.4,256.8,242.4,228.4,178.3,296.4,229.0,352.0,124.3,6.8,320.2,2100.6,222.2,109.2,203.9
KO,309.4,515.3,157.9,169.3,504.4,411.5,156.0,145.2,98.7,202.9,282.6,313.8,33.5,259.4,226.7,407.4,298.1,322.2,157.2,171.9,184.7,171.1,449.5,372.6,356.2,425.0,184.8,107.2,377.4,182.6,244.2,464.0,411.8,458.6,474.3,312.9,185.0,64.3,304.7,315.3,184.3,325.4,528.4,100.5,392.5,370.5,154.9,312.4,280.8,136.9,218.4,0.0,412.1,118.0,127.0,110.6,253.6,75.0,283.3,130.3,264.9,345.5,488.8,172.8,128.3,154.0,140.9,122.3,253.0,423.3,100.4,321.1,387.9,274.0,192.7,91.4,450.2,179.1,246.5,276.9,202.5,504.2,122.9,138.2,497.6,317.0,109.0,251.8,465.6,507.0,199.3,551.5,329.0,256.2,99.7,162.3,191.1,337.5,170.6,479.4,432.8,178.6,465.9,7.3,445.6,388.1,501.8,164.5,179.5,272.7,225.3,529.3,2066.1,201.0,324.5,419.2
KR,168.6,126.4,368.5,241.1,119.0,20.0,402.7,259.7,469.3,322.5,190.8,242.6,433.8,159.5,491.8,103.8,182.5,179.1,383.6,238.2,387.1,536.6,66.7,106.4,112.4,48.1,522.6,411.1,52.4,222.9,169.6,56.5,62.5,73.2,99.4,164.0,545.7,464.6,160.3,141.4,412.1,131.9,139.5,431.0,118.7,123.7,494.8,164.7,192.4,264.5,203.4,400.2,0.0,398.5,419.4,510.9,215.1,445.6,136.0,499.0,176.5,121.8,99.9,352.8,390.4,253.0,442.5,373.4,204.7,78.7,367.4,142.7,58.7,207.4,541.1,426.9,40.7,230.4,213.1,170.6,322.9,115.3,395.5,432.8,112.2,183.3,353.1,189.2,90.7,97.2,375.6,167.1,150.9,199.9,340.3,512.4,337.9,117.6,388.1,66.1,106.9,527.0,86.7,407.6,60.6,121.2,127.1,394.2,519.4,210.1,196.5,140.4,1981.5,389.6,141.7,6.0
KX,317.9,498.3,107.3,181.3,490.9,394.5,56.4,146.2,111.1,153.1,292.7,315.8,102.1,245.9,137.0,390.4,299.2,327.2,37.3,184.3,61.1,172.0,432.5,355.6,339.6,408.0,186.6,10.7,360.2,198.5,235.8,447.0,394.8,445.1,460.8,319.5,181.1,83.2,291.2,321.7,65.8,332.0,511.4,30.6,375.5,353.5,140.0,304.4,287.4,141.4,227.2,73.3,396.1,0.0,19.0,111.5,254.7,87.4,269.8,137.0,271.5,328.9,471.8,123.0,8.4,155.0,42.1,94.6,259.5,411.0,113.4,307.6,370.9,280.6,205.1,26.5,433.2,191.5,255.3,287.8,152.7,487.2,3.0,32.4,484.1,323.6,96.4,258.4,452.1,493.5,102.6,534.5,335.6,268.5,130.3,147.8,137.6,347.6,41.8,462.4,415.8,191.0,448.9,80.7,420.5,370.4,488.5,47.9,164.6,261.8,234.1,512.3,2078.5,77.4,301.4,403.2
KY,349.0,529.4,88.2,212.4,522.0,425.6,87.1,197.3,142.2,134.0,323.8,346.9,101.3,277.0,134.5,421.5,330.3,358.3,68.4,215.4,92.2,171.2,463.6,386.7,370.7,439.1,187.1,9.9,391.3,229.6,266.9,478.1,425.9,476.2,491.9,350.6,180.3,82.4,322.3,352.8,96.9,363.1,542.5,29.8,406.6,384.6,137.5,335.5,318.5,192.5,258.3,104.4,427.2,29.2,0.0,110.7,285.8,118.5,300.9,136.2,302.6,360.0,502.9,103.9,39.5,206.1,23.0,125.7,290.6,442.1,144.5,338.7,402.0,311.7,205.6,25.7,464.3,222.6,286.4,318.9,133.6,518.3,34.1,13.3,515.2,354.7,146.0,289.5,483.2,524.6,130.4,565.6,366.7,299.6,161.4,147.0,118.5,378.7,72.9,493.5,446.9,191.5,480.0,111.8,451.6,401.5,519.6,79.0,162.1,292.9,265.2,543.4,2109.6,108.5,332.5,434.3
LA,411.7,594.1,136.5,269.3,586.7,490.3,135.4,245.6,55.2,182.3,386.5,409.6,57.1,341.7,105.5,486.2,395.0,421.0,133.1,272.3,156.9,87.9,528.3,451.4,435.4,503.8,103.8,83.1,456.0,286.5,331.6,542.8,490.6,540.9,556.6,413.3,97.0,58.2,387.0,415.5,161.6,425.8,607.2,63.2,471.3,449.3,152.9,400.2,381.2,240.8,323.0,89.0,491.9,93.9,102.9,0.0,350.5,78.9,365.6,25.5,365.3,424.7,567.6,152.2,104.2,254.4,120.3,190.4,355.3,506.8,222.2,403.4,466.7,374.4,122.3,67.3,529.0,279.5,351.1,383.6,181.9,583.0,98.8,116.3,579.9,417.4,192.2,352.2,547.9,589.3,178.7,630.3,429.4,364.3,232.9,63.7,166.8,441.4,150.0,558.2,511.6,108.2,544.7,82.0,516.3,466.2,584.3,143.9,173.3,357.6,329.9,608.1,2114.8,173.2,397.2,499.0
LD,132.1,315.2,205.5,78.1,300.4,232.1,254.5,96.7,265.0,159.5,106.9,130.0,285.6,83.5,328.8,228.0,44.4,141.4,235.4,75.2,238.9,364.4,241.8,193.2,116.1,217.3,350.4,262.9,197.8,59.9,73.4,256.3,204.1,282.7,270.1,98.1,373.5,316.4,86.6,135.9,234.5,146.2,320.9,282.8,213.1,130.0,331.8,62.3,101.6,101.5,95.5,252.0,233.7,250.3,271.2,362.7,0.0,241.3,107.4,294.7,85.7,105.4,309.4,189.8,242.2,90.0,294.3,210.4,148.6,220.3,204.4,84.1,180.2,94.8,368.9,278.7,242.5,67.4,110.7,130.3,159.9,296.7,247.3,284.6,301.0,137.8,190.1,72.6,261.4,302.8,212.6,343.8,117.6,123.9,177.3,340.2,174.9,141.9,239.9,271.7,225.1,354.8,258.2,259.4,229.8,208.0,297.8,246.0,356.4,93.5,88.6,329.2,2130.3,226.6,108.7,240.8
