from_stop,AK,AM,AS,AU,AV,AX,AY,AZ,BF,BJ,BY,CB,DG,DN,DS,DW,EH,EP,ER,FB,FD,FS,FT,GA,GN,GT,HD,HE,HI,HL,HV,HX,IF,IG,II,IN,IZ,JH,JL,JT,KS,KT,LH,LQ,MC,MF,MS,MT,NA,ND,NF,NI,NM,NT,NV,NZ,OJ,OK,OQ,OX,QL,QW,RN,RR,RU,SC,SE,SJ,SK,SO,SW,TG,TW,TY,VC,VE,VF,VN,VP,VS,VZ,WA,WD,WH,WK,WL,WS,WU,XG,XJ,XQ,XR,XS,XW,YF,YO,YP,YQ,YR,YW,ZJ,ZL,ZM,ZQ,ZT,ZY
HV,866.5,595.1,629.9,63.6,539.4,672.2,684.1,754.9,771.3,485.1,510.8,553.9,556.9,565.6,577.4,571.4,661.2,547.0,508.4,558.8,665.2,75.0,627.4,604.1,540.4,608.4,753.0,562.8,2263.7,390.0,0.0,562.1,556.6,170.6,684.0,801.8,902.5,487.1,121.8,893.4,380.7,59.0,110.4,789.2,554.1,580.7,606.7,307.1,88.0,70.6,566.8,508.8,597.5,766.0,577.0,537.5,518.4,430.3,454.7,550.9,641.2,26.6,498.7,600.0,459.5,373.8,680.8,757.2,698.5,581.9,662.5,28.1,517.5,590.1,764.4,725.4,559.2,654.2,577.4,213.0,588.8,251.0,462.1,133.4,631.5,576.4,487.3,521.2,716.3,585.0,657.8,597.3,453.8,577.7,562.3,661.6,613.5,151.9,116.8,588.9,213.9,703.1,517.9,493.6,622.7,469.9
HX,571.1,215.5,334.5,461.8,163.3,216.3,407.1,477.5,475.9,156.2,306.8,276.5,231.1,660.6,201.3,294.0,197.3,78.9,278.8,349.2,209.3,605.0,159.3,308.7,245.0,59.2,475.6,64.1,1887.6,241.3,529.9,0.0,279.2,700.6,406.6,522.0,607.1,476.1,400.5,598.0,487.8,467.3,410.9,493.8,178.0,112.6,311.3,312.8,616.1,600.6,60.2,602.5,232.2,488.6,670.7,161.4,308.8,337.7,186.6,255.5,345.8,503.1,224.6,50.8,181.8,257.5,212.7,461.8,421.1,304.5,194.4,558.1,197.0,214.0,469.0,448.0,91.1,358.8,282.0,743.0,26.6,781.0,502.8,390.0,354.1,200.3,498.3,207.5,420.9,39.9,380.4,301.9,406.2,201.6,105.2,193.5,318.1,373.2,646.8,120.8,405.7,425.7,171.9,419.9,154.6,93.8
IF,365.3,133.2,128.7,507.5,308.4,223.8,127.4,198.2,270.1,349.8,375.5,2.6,56.3,438.0,144.9,14.8,163.0,279.1,373.1,423.5,216.8,650.7,195.9,102.9,39.2,362.1,196.3,322.7,1871.4,254.7,575.6,374.5,0.0,746.3,127.3,245.1,401.3,254.8,446.2,392.2,364.1,513.0,456.6,288.0,323.1,269.0,105.5,245.1,661.8,646.3,381.1,381.2,96.9,209.3,449.4,306.5,383.1,116.4,319.4,49.7,140.0,548.9,363.4,353.7,324.2,238.5,230.2,256.0,141.8,25.2,197.9,603.8,382.2,117.9,263.2,168.7,258.7,153.0,76.2,788.7,353.6,826.7,281.5,435.7,74.8,345.4,277.0,416.0,215.1,339.9,101.1,96.1,231.0,346.7,276.4,217.0,112.3,418.9,692.5,260.8,338.0,146.4,403.0,198.6,236.7,279.5
IG,1031.1,759.7,794.5,228.2,704.0,836.8,849.1,919.5,935.9,649.7,675.4,718.5,721.5,731.5,742.0,736.0,825.8,711.6,673.0,723.4,829.8,88.7,792.0,768.7,705.0,773.0,917.6,727.4,2428.3,554.6,166.5,741.3,726.4,0.0,848.6,966.4,1067.1,651.7,286.4,1058.0,545.3,223.6,275.0,953.8,718.7,745.3,771.3,471.7,76.2,92.6,731.4,673.4,762.1,930.6,741.6,706.2,683.0,594.9,619.3,715.5,805.8,191.2,657.9,764.6,624.1,538.4,845.4,921.8,858.4,746.5,827.1,136.3,677.0,754.7,929.0,890.0,723.8,818.8,742.0,42.3,753.4,80.3,626.7,298.0,796.1,741.0,651.9,685.8,880.9,751.6,822.4,761.9,618.4,742.3,730.1,817.2,778.1,316.5,49.5,753.5,378.5,867.7,682.5,658.2,764.7,634.5
II,467.0,234.9,230.4,609.2,410.1,304.1,112.3,70.8,371.8,451.5,477.2,104.3,158.0,541.0,246.6,86.8,243.3,359.4,474.8,525.2,297.1,752.4,276.2,204.6,140.9,412.9,180.8,403.0,1973.1,356.4,675.3,416.5,96.4,848.0,0.0,229.6,503.0,356.5,547.9,493.9,465.8,614.7,558.3,389.7,424.8,349.3,207.2,346.8,766.8,748.0,431.9,482.9,198.6,193.8,551.1,412.3,484.8,218.1,421.1,151.4,241.7,650.6,459.7,404.5,425.9,340.2,310.5,357.7,9.8,76.6,278.2,705.5,478.8,154.9,364.9,153.2,339.0,254.7,177.9,890.4,404.4,928.4,383.2,537.4,59.3,447.1,378.7,466.8,316.8,427.2,85.6,197.8,332.7,448.4,356.7,288.3,214.0,520.6,794.2,341.1,439.7,130.9,504.7,300.3,329.9,330.3
IN,598.6,364.1,362.0,740.8,541.7,435.7,117.6,294.3,501.0,580.7,608.8,233.5,289.6,671.3,378.2,218.4,374.9,488.6,606.4,656.8,428.7,884.0,407.8,336.2,272.5,544.5,48.7,534.6,2104.7,488.0,808.9,554.5,233.2,979.6,223.4,0.0,632.2,488.1,677.1,625.5,597.4,746.3,689.9,521.3,554.0,480.9,336.4,478.4,895.1,877.2,561.1,614.5,330.2,33.3,682.7,539.8,616.4,349.7,552.7,280.6,374.1,782.1,596.7,536.1,557.5,471.8,442.1,489.3,235.5,208.2,409.8,834.7,613.1,286.5,496.5,76.3,468.2,386.3,309.5,1022.0,536.0,1060.0,514.8,666.6,156.8,578.7,510.3,598.4,448.4,551.8,133.9,329.4,464.3,577.6,485.1,426.5,345.6,652.2,923.4,472.7,568.9,96.2,636.9,431.9,448.6,461.9
IZ,325.8,508.9,285.6,883.2,684.1,581.5,528.6,599.0,230.6,725.5,751.2,398.0,432.0,813.7,520.6,415.5,520.7,636.8,748.8,799.2,574.5,1026.4,553.6,311.0,414.9,690.3,597.1,680.4,2247.1,630.4,951.3,702.7,400.7,1122.0,528.1,643.5,0.0,630.5,821.9,352.7,739.8,888.7,832.3,248.5,698.8,626.7,308.6,620.8,1040.8,1022.0,709.3,756.9,472.6,610.1,825.1,682.2,758.8,492.1,695.1,425.4,273.5,924.5,739.1,681.9,699.9,614.2,587.9,216.5,542.6,426.0,555.6,979.5,757.9,432.3,223.7,569.5,616.4,261.3,335.9,1164.4,681.8,1202.4,657.2,811.4,475.6,721.1,652.7,744.2,243.3,704.6,501.9,362.1,606.7,722.4,634.1,574.7,302.0,794.6,1068.2,618.5,713.7,547.2,778.7,574.3,594.4,607.7
JH,564.5,331.8,327.9,445.4,505.9,432.6,382.5,452.9,469.3,362.8,388.5,251.9,254.9,184.4,343.5,269.4,371.8,513.5,386.1,436.5,425.6,588.6,404.7,302.1,238.4,486.1,451.0,529.3,2070.0,267.7,511.5,489.7,259.8,684.2,382.0,499.8,600.5,0.0,384.1,591.4,109.2,450.9,394.5,487.2,520.6,477.8,304.7,258.1,603.0,584.2,505.1,126.3,295.5,464.0,194.5,508.1,396.1,128.3,332.4,248.9,339.2,486.8,371.0,477.7,337.2,251.5,439.0,455.2,391.8,279.9,406.7,541.7,390.1,316.5,462.4,423.4,525.7,352.2,275.4,726.6,477.6,764.6,26.6,373.6,329.5,542.9,22.1,540.0,414.3,539.2,355.8,295.3,244.0,544.2,532.1,416.8,311.5,356.8,630.4,469.6,275.9,401.1,416.0,56.1,458.4,436.4
JL,744.6,469.7,508.0,61.2,417.5,550.3,562.6,633.0,649.4,363.2,388.9,432.0,435.0,443.7,455.5,449.5,539.3,425.1,386.5,436.9,543.3,204.4,505.5,482.2,418.5,486.5,631.1,440.9,2141.8,268.1,129.3,440.2,434.7,300.0,562.1,677.5,780.6,365.2,0.0,771.5,258.8,66.7,10.3,667.3,432.2,458.8,484.8,185.2,215.5,200.0,444.9,386.9,475.6,644.1,455.1,419.7,396.5,308.4,332.8,429.0,520.1,102.5,376.8,478.1,337.6,251.9,558.9,635.3,576.6,460.0,540.6,157.5,395.6,468.2,642.5,603.5,437.3,532.3,455.5,342.4,466.9,380.4,340.2,11.6,509.6,454.5,365.4,399.3,594.4,458.1,535.9,475.4,331.9,455.8,440.4,539.7,491.6,30.1,246.2,467.0,92.0,581.2,396.8,371.7,500.8,348.0
JT,25.6,477.8,254.5,852.1,653.0,550.4,497.5,567.9,116.2,694.4,720.1,366.9,400.9,783.9,489.5,384.4,489.6,605.7,717.7,768.1,543.4,995.3,522.5,279.9,383.8,659.2,566.0,649.3,2216.0,599.3,918.2,662.8,374.8,1090.9,497.0,614.8,354.7,599.4,790.8,0.0,708.7,857.6,801.2,99.2,667.7,595.6,277.5,589.7,1009.7,990.9,678.2,725.8,441.5,579.0,794.0,655.2,727.7,461.0,664.0,394.3,243.2,893.5,702.6,650.8,668.8,583.1,556.8,129.7,506.8,394.9,524.5,948.4,721.7,401.2,122.9,538.4,585.3,230.2,304.8,1133.3,650.7,1171.3,626.1,780.3,444.5,690.0,621.6,713.1,212.2,673.5,470.8,331.0,575.6,691.3,603.0,534.6,270.9,763.5,1037.1,587.4,682.6,516.1,747.6,543.2,576.2,576.6
KS,670.9,438.2,434.3,336.1,476.9,539.0,488.9,559.3,575.7,333.8,359.5,358.3,361.3,186.1,449.9,375.8,478.2,484.5,357.1,407.5,532.0,479.3,511.1,408.5,344.8,457.1,557.4,500.3,2201.2,238.7,402.2,460.7,366.2,574.9,488.4,606.2,706.9,106.3,274.8,697.8,0.0,341.6,285.2,593.6,491.6,518.2,411.1,155.8,493.7,474.9,476.1,128.0,401.9,570.4,196.2,479.1,367.1,234.7,303.4,355.3,445.6,377.5,342.0,448.7,308.2,222.5,545.4,561.6,498.2,386.3,513.1,432.4,361.1,422.9,568.8,529.8,496.7,458.6,381.8,617.3,448.6,655.3,81.3,264.3,435.9,513.9,106.5,480.9,520.7,510.2,462.2,401.7,302.5,515.2,503.1,523.2,417.9,247.5,521.1,526.4,166.6,507.5,387.0,162.5,537.6,407.4
KT,807.4,536.0,570.8,4.6,480.3,613.1,625.4,695.8,712.2,426.0,451.7,494.8,497.8,507.8,518.3,512.3,602.1,487.9,449.3,499.7,606.1,137.6,568.3,545.0,481.3,549.3,693.9,503.7,2204.6,330.9,60.5,517.6,502.7,233.2,624.9,742.7,843.4,428.0,62.7,834.3,321.6,0.0,51.3,730.1,495.0,521.6,547.6,248.0,152.0,133.2,507.7,449.7,538.4,706.9,517.9,482.5,459.3,371.2,395.6,491.8,582.1,35.8,434.2,540.9,400.4,314.7,621.7,698.1,634.7,522.8,603.4,90.7,453.3,531.0,705.3,666.3,500.1,595.1,518.3,275.6,529.7,313.6,403.0,74.3,572.4,517.3,428.2,462.1,657.2,527.9,598.7,538.2,394.7,518.6,506.4,593.5,554.4,92.8,179.4,529.8,154.8,644.0,458.8,434.5,541.0,410.8
LH,756.0,484.6,519.4,50.8,428.9,561.7,574.0,644.4,660.8,374.6,400.3,443.4,446.4,456.4,466.9,460.9,550.7,436.5,397.9,448.3,554.7,194.0,516.9,493.6,429.9,497.9,642.5,452.3,2153.2,279.5,116.9,466.2,451.3,289.6,573.5,691.3,792.0,376.6,11.4,782.9,270.2,56.3,0.0,678.7,443.6,470.2,496.2,196.6,208.4,189.6,456.3,398.3,487.0,655.5,466.5,431.1,407.9,319.8,344.2,440.4,530.7,92.2,382.8,489.5,349.0,263.3,570.3,646.7,583.3,471.4,552.0,147.1,401.9,479.6,653.9,614.9,448.7,543.7,466.9,332.0,478.3,370.0,351.6,23.0,521.0,465.9,376.8,410.7,605.8,476.5,547.3,486.8,343.3,467.2,455.0,542.1,503.0,41.5,235.8,478.4,103.4,592.6,408.2,383.1,489.6,359.4
LQ,77.2,378.6,155.3,752.9,553.8,451.2,397.9,468.7,17.0,595.2,620.9,267.7,301.7,683.4,390.3,285.2,390.4,506.5,618.5,668.9,444.2,896.1,423.3,180.7,284.6,560.0,466.8,550.1,2116.8,500.1,821.0,572.4,270.4,991.7,397.8,513.2,255.5,500.2,691.6,104.1,609.5,758.4,702.0,0.0,568.5,496.4,178.3,490.5,907.2,891.7,579.0,626.6,342.3,479.8,694.8,556.0,628.5,361.8,564.8,295.1,144.0,794.3,608.8,551.6,569.6,483.9,457.6,30.5,412.3,295.7,425.3,849.2,627.6,302.0,23.6,439.2,486.1,131.0,205.6,1034.1,551.5,1072.1,526.9,681.1,345.3,590.8,522.4,613.9,113.0,570.2,371.6,231.8,476.4,592.1,500.6,444.4,171.7,664.3,937.9,488.2,583.4,416.9,648.4,444.0,464.1,477.4
MC,518.0,162.4,281.4,526.2,43.1,206.1,353.6,424.4,422.8,186.5,337.1,223.4,178.0,606.2,148.2,240.9,156.3,181.2,309.1,379.5,214.3,669.4,151.4,255.6,191.9,183.9,422.5,197.0,1834.5,271.6,594.3,196.3,226.1,765.0,353.5,468.9,554.0,423.0,464.9,544.9,532.3,531.7,475.3,440.7,0.0,214.9,258.2,413.3,680.5,665.0,202.9,549.4,179.1,435.5,617.6,56.1,339.1,284.6,216.9,202.4,292.7,567.5,248.7,175.5,212.1,287.8,167.7,408.7,368.0,251.4,135.4,622.5,227.3,160.9,415.9,394.9,193.4,305.7,228.9,807.4,175.4,845.4,449.7,454.4,301.0,80.1,445.2,237.8,367.8,217.1,327.3,248.8,399.2,33.1,233.1,110.1,265.0,437.6,711.2,223.1,506.2,372.6,202.2,366.8,227.7,101.3
MF,546.3,249.0,309.7,534.5,201.9,103.6,382.3,452.7,451.1,194.8,345.4,251.7,206.3,635.8,231.3,269.2,126.7,43.6,317.4,387.8,96.6,677.7,126.1,283.9,220.2,124.2,450.8,82.9,1828.8,279.9,600.6,127.2,259.6,773.3,381.8,499.6,582.3,451.3,473.2,573.2,560.6,540.0,483.6,469.0,216.6,0.0,286.5,351.4,692.1,673.3,172.9,577.7,207.4,463.8,645.9,204.1,347.4,312.9,225.2,230.7,321.0,575.9,263.2,132.6,220.4,296.1,100.0,437.0,391.6,279.7,133.2,630.8,241.4,189.2,444.2,423.2,31.4,334.0,257.2,815.7,139.3,853.7,478.0,462.7,329.3,238.9,473.5,246.1,396.1,107.1,355.6,277.1,427.5,240.2,78.2,151.3,293.3,445.9,719.5,8.1,444.3,400.9,210.5,395.1,19.4,132.4
MS,259.7,200.2,23.1,574.5,375.4,272.8,219.9,290.3,164.5,416.8,442.5,89.3,123.3,505.0,211.9,106.8,212.0,328.1,440.1,490.5,265.8,717.7,244.9,2.4,106.2,381.6,288.4,371.7,1938.4,321.7,642.6,394.0,92.0,813.3,219.4,337.2,295.7,321.8,513.2,286.6,431.1,580.0,523.6,182.4,390.1,318.0,0.0,312.1,728.8,713.3,400.6,448.2,163.9,301.4,516.4,377.6,450.1,183.4,386.4,116.7,34.4,615.8,425.0,373.2,391.2,305.5,279.2,150.4,233.9,117.3,246.9,670.8,449.2,123.6,157.6,260.8,307.7,47.4,27.3,855.7,373.1,893.7,348.5,502.7,166.9,412.4,344.0,435.5,109.5,393.9,193.2,53.4,298.0,413.7,322.2,266.0,6.7,485.9,759.5,309.8,405.0,238.5,470.6,265.6,285.7,299.0
MT,559.3,326.6,322.7,262.3,321.0,466.0,377.3,447.7,464.1,177.9,203.6,246.7,249.7,361.8,338.3,264.2,366.6,328.6,201.2,251.6,459.0,405.5,409.0,296.9,233.2,301.2,445.8,344.4,2045.3,82.8,328.4,304.8,254.6,501.1,376.8,494.6,595.3,242.6,201.0,586.2,175.6,267.8,211.4,482.0,335.7,362.3,299.5,0.0,419.9,401.1,320.2,303.7,290.3,458.8,371.9,323.2,211.2,123.1,147.5,243.7,334.0,303.7,186.1,292.8,152.3,66.6,462.4,450.0,386.6,274.7,444.1,358.6,205.2,311.3,457.2,418.2,340.8,347.0,270.2,543.5,292.7,581.5,257.0,190.5,324.3,358.0,264.8,355.1,409.1,354.3,350.6,290.1,146.6,359.3,347.2,434.2,306.3,173.7,447.3,370.5,92.8,395.9,231.7,186.4,381.7,251.5
NA,953.6,679.9,717.0,150.7,626.5,759.3,771.6,842.0,856.7,570.5,597.9,641.0,644.0,654.0,664.5,658.5,748.3,632.4,595.5,644.2,752.3,11.2,714.5,689.5,627.5,696.7,840.1,649.9,2350.8,477.1,85.3,647.5,642.0,82.5,771.1,888.9,987.9,574.2,207.2,980.5,467.8,146.1,197.5,874.6,641.2,667.8,692.1,394.2,0.0,13.4,652.2,595.9,684.6,851.4,664.1,628.7,605.5,517.4,541.8,636.3,728.3,113.7,580.4,687.1,546.6,460.9,767.9,844.3,783.9,669.0,747.9,57.1,602.9,677.2,849.8,812.5,644.6,739.6,664.5,124.9,675.9,162.9,549.2,220.5,716.9,663.5,574.4,608.3,803.4,668.3,744.9,682.7,539.2,664.8,652.6,747.0,700.6,239.0,27.3,674.3,301.0,788.5,605.0,580.7,708.1,557.0
ND,938.4,663.5,701.8,135.5,611.3,744.1,756.4,826.8,843.2,557.0,582.7,625.8,628.8,637.5,649.3,643.3,733.1,618.9,580.3,630.7,737.1,4.4,699.3,676.0,612.3,680.3,824.9,634.7,2335.6,461.9,71.8,634.0,628.5,99.9,755.9,871.3,974.4,559.0,193.7,965.3,452.6,130.9,182.3,861.1,626.0,652.6,678.6,379.0,15.4,0.0,638.7,580.7,669.4,837.9,648.9,609.4,590.3,502.2,526.6,622.8,713.1,98.5,565.2,671.9,531.4,445.7,752.7,829.1,770.4,653.8,734.4,43.6,589.4,662.0,836.3,797.3,631.1,726.1,649.3,142.3,660.7,180.3,534.0,205.3,703.4,648.3,559.2,593.1,788.2,649.2,729.7,669.2,525.7,649.6,634.2,733.5,685.4,223.8,46.1,660.8,285.8,775.0,589.8,565.5,694.6,541.8
NF,591.1,235.5,354.5,443.7,183.3,251.2,426.7,497.5,495.9,146.1,296.7,296.5,251.1,654.6,221.3,314.0,240.2,140.3,268.7,339.1,244.2,586.9,220.7,328.7,265.0,61.1,495.6,120.4,1907.6,231.2,511.8,61.3,299.2,682.5,426.6,544.4,627.1,492.1,382.4,618.0,469.7,449.2,392.8,513.8,198.0,171.4,331.3,302.7,601.3,582.5,0.0,597.8,252.2,508.6,666.0,185.5,298.7,357.7,176.5,275.5,365.8,485.0,208.3,52.7,171.7,247.4,265.6,481.8,441.1,324.5,255.8,540.0,186.9,234.0,489.0,468.0,152.5,378.8,302.0,724.9,34.6,762.9,518.8,371.9,374.1,220.3,514.3,165.1,440.9,96.2,400.4,321.9,396.1,221.6,107.1,254.9,338.1,355.1,628.7,179.6,395.6,445.7,161.8,435.9,213.4,113.8
NI,669.1,436.4,432.5,465.3,606.1,537.2,487.1,557.5,573.9,463.0,488.7,356.5,359.5,58.0,448.1,374.0,476.4,613.7,486.3,536.7,530.2,608.5,509.3,406.7,343.0,586.3,555.6,629.5,2174.6,367.9,531.4,589.9,364.4,704.1,486.6,604.4,705.1,104.5,404.0,696.0,129.1,470.8,414.4,591.8,620.8,582.4,409.3,285.0,622.9,604.1,605.3,0.0,400.1,568.6,101.0,608.3,496.3,232.9,432.6,353.5,443.8,506.7,471.2,577.9,437.4,351.7,543.6,559.8,496.4,384.5,511.3,561.6,490.3,421.1,567.0,528.0,625.9,456.8,380.0,746.5,577.8,784.5,79.5,393.5,434.1,643.1,104.7,610.1,518.9,639.4,460.4,399.9,348.6,644.4,632.3,521.4,416.1,376.7,650.3,574.2,295.8,505.7,516.2,160.7,563.0,536.6
NM,396.6,87.9,160.0,528.2,263.1,188.7,214.6,285.0,301.4,370.5,396.2,84.0,30.5,460.0,99.6,101.5,127.9,244.0,393.8,444.2,181.7,671.4,160.8,134.2,70.5,316.8,283.1,329.9,1826.1,275.4,594.3,320.4,91.9,767.0,214.1,331.9,432.6,275.5,466.9,423.5,384.8,533.7,477.3,319.3,277.8,233.9,136.8,265.8,685.8,667.0,335.8,401.9,0.0,296.1,470.1,265.3,403.8,137.1,340.1,81.0,171.3,569.6,378.7,308.4,344.9,259.2,195.1,287.3,223.9,112.0,162.8,624.5,397.8,72.6,294.5,255.5,223.6,184.3,107.5,809.4,308.3,847.4,302.2,456.4,161.6,300.1,297.7,370.7,246.4,354.1,187.9,127.4,251.7,301.4,241.3,172.9,143.6,439.6,713.2,225.7,358.7,233.2,424.3,219.3,214.5,234.2
NT,562.8,330.7,326.2,705.0,505.9,399.9,81.8,258.5,467.6,547.3,573.0,200.1,253.8,635.5,342.4,182.6,339.1,455.2,570.6,621.0,392.9,848.2,372.0,300.4,236.7,508.7,12.9,498.8,2068.9,452.2,773.1,521.1,197.4,943.8,187.6,33.3,598.8,452.3,643.7,589.7,561.6,710.5,654.1,485.5,520.6,445.1,303.0,442.6,862.6,843.8,527.7,578.7,294.4,0.0,646.9,504.0,580.6,313.9,516.9,247.2,337.5,746.4,560.9,500.3,521.7,436.0,406.3,453.5,202.1,172.4,374.0,801.3,579.7,250.7,460.7,40.5,434.8,350.5,273.7,986.2,500.2,1024.2,479.0,633.2,123.4,542.9,474.5,562.6,412.6,516.0,98.1,293.6,428.5,544.2,449.3,393.1,309.8,616.4,890.0,436.9,535.5,62.8,600.5,396.1,412.8,426.1
NV,739.8,507.1,503.2,536.0,676.8,607.9,557.8,628.2,644.6,533.7,559.4,427.2,430.2,131.6,518.8,444.7,547.1,684.4,557.0,607.4,600.9,679.2,580.0,477.4,413.7,657.0,626.3,700.2,2245.3,438.6,602.1,660.6,435.1,774.8,557.3,675.1,775.8,175.2,474.7,766.7,199.8,541.5,485.1,662.5,691.5,653.1,480.0,355.7,693.6,674.8,676.0,73.5,470.8,639.3,0.0,679.0,567.0,303.6,503.3,424.2,514.5,577.4,541.9,648.6,508.1,422.4,614.3,630.5,567.1,455.2,582.0,632.3,561.0,491.8,637.7,598.7,696.6,527.5,450.7,817.2,648.5,855.2,150.2,464.2,504.8,713.8,175.4,680.8,589.6,710.1,531.1,470.6,419.3,715.1,703.0,592.1,486.8,447.4,721.0,644.9,366.5,576.4,586.9,231.4,633.7,607.3
NZ,505.5,145.8,268.9,513.7,61.4,193.6,341.1,411.9,410.3,169.9,324.6,210.9,165.5,593.7,131.6,228.4,143.8,168.7,296.6,362.9,201.8,656.9,138.9,243.1,179.4,171.4,410.0,184.5,1822.0,259.1,577.7,183.8,209.5,752.5,341.0,456.4,537.4,410.5,448.3,532.4,519.8,519.2,462.8,424.1,72.0,202.4,241.6,400.8,668.0,648.4,186.3,536.9,166.6,418.9,605.1,0.0,326.6,272.1,204.4,185.8,281.0,555.0,236.2,163.0,199.6,275.3,155.2,396.2,355.5,238.9,122.9,610.0,210.7,148.4,403.4,382.4,176.8,289.1,216.4,794.9,162.9,832.9,437.2,437.8,288.5,98.4,432.7,225.3,355.3,204.6,314.8,232.2,386.7,40.1,220.6,93.5,252.5,425.1,698.7,210.6,489.6,360.1,185.6,354.3,211.1,88.8
OJ,657.6,305.5,421.0,467.7,249.8,394.8,493.6,564.0,562.4,153.6,130.5,363.0,317.6,567.2,287.8,380.5,375.8,257.4,54.8,40.3,387.8,610.9,337.8,395.2,331.5,230.0,562.1,273.2,1974.1,133.8,533.8,233.6,370.9,706.5,493.1,610.9,693.6,394.7,406.4,684.5,381.0,473.2,416.8,580.3,264.5,291.1,397.8,205.3,625.3,606.5,249.0,509.1,318.7,575.1,577.3,252.0,0.0,275.2,123.2,342.0,432.3,509.1,57.7,221.6,128.0,150.0,391.2,548.3,502.9,391.0,372.9,564.0,76.8,300.5,555.5,534.5,269.6,445.3,368.5,748.9,221.5,786.9,421.4,395.9,440.6,286.8,416.9,283.9,507.4,283.1,466.9,388.4,298.7,288.1,276.0,363.0,404.6,379.1,652.7,299.3,298.2,512.2,104.0,338.5,310.5,180.3
OK,436.1,203.4,199.5,391.0,376.4,304.2,254.1,324.5,340.9,233.3,259.0,123.5,126.5,322.8,215.1,141.0,243.4,384.0,256.6,307.0,297.2,534.2,276.3,173.7,110.0,356.6,322.6,399.8,1941.6,138.2,457.1,360.2,131.4,629.8,253.6,371.4,472.1,138.3,329.7,463.0,247.6,396.5,340.1,358.8,391.1,349.4,176.3,128.6,548.6,529.8,375.6,264.7,167.1,335.6,332.9,378.6,266.6,0.0,202.9,120.5,210.8,432.4,241.5,348.2,207.7,122.0,310.6,326.8,263.4,151.5,278.3,487.3,260.6,188.1,334.0,295.0,396.2,223.8,147.0,672.2,348.1,710.2,165.0,319.2,201.1,413.4,160.5,410.5,285.9,409.7,227.4,166.9,114.5,414.7,402.6,288.4,183.1,302.4,576.0,341.2,221.5,272.7,286.5,82.1,330.0,306.9
OQ,581.2,229.1,344.6,388.5,173.4,318.4,417.2,487.6,486.0,30.4,120.1,286.6,241.2,488.0,211.4,304.1,299.4,181.0,117.7,168.1,311.4,531.7,261.4,318.8,255.1,153.6,485.7,196.8,1897.7,54.6,454.6,157.2,294.5,627.3,416.7,534.5,617.2,315.5,327.2,608.1,301.8,394.0,337.6,503.9,188.1,214.7,321.4,126.1,546.1,527.3,172.6,429.9,242.3,498.7,498.1,175.6,127.7,196.0,0.0,265.6,355.9,429.9,102.6,145.2,4.8,70.8,314.8,471.9,426.5,314.6,296.5,484.8,114.4,224.1,479.1,458.1,193.2,368.9,292.1,669.7,145.1,707.7,342.2,316.7,364.2,210.4,337.7,207.5,431.0,206.7,390.5,312.0,219.5,211.7,199.6,286.6,328.2,299.9,573.5,222.9,219.0,435.8,83.5,259.3,234.1,103.9
OX,315.5,196.1,78.9,567.4,368.3,265.7,212.4,283.2,220.3,409.7,435.4,82.2,116.2,497.9,204.8,99.7,204.9,321.0,433.0,483.4,258.7,710.6,237.8,53.1,99.1,374.5,281.3,364.6,1931.3,314.6,635.5,386.9,84.9,806.2,212.3,330.1,351.5,314.7,506.1,342.4,424.0,572.9,516.5,238.2,383.0,310.9,55.7,305.0,721.7,706.2,393.5,441.1,156.8,294.3,509.3,370.5,443.0,176.3,379.3,0.0,90.2,608.8,417.9,366.1,384.1,298.4,272.1,206.2,226.8,110.2,239.8,663.7,442.1,116.5,213.4,253.7,300.6,103.2,26.4,848.6,366.0,886.6,341.4,495.6,159.8,405.3,336.9,428.4,165.3,384.7,186.1,46.3,290.9,406.6,315.1,258.9,62.5,478.8,752.4,302.7,397.9,231.4,462.9,258.5,278.6,291.9
QL,225.2,235.4,11.2,608.8,409.7,307.1,253.8,324.6,129.2,451.1,476.8,123.6,157.6,539.3,246.2,141.1,246.3,362.4,474.4,524.8,300.1,752.0,279.2,36.6,140.5,416.7,322.7,406.0,1972.7,356.0,676.9,428.3,126.3,847.6,253.7,369.1,260.4,356.1,547.5,252.1,465.4,614.3,557.9,147.9,424.4,352.3,34.2,346.4,763.1,747.6,434.9,482.5,198.2,336.5,550.7,407.8,484.4,217.7,420.7,151.8,0.0,650.1,464.7,407.5,425.5,339.8,313.5,115.9,268.2,151.6,281.2,705.1,483.5,157.9,122.3,295.1,342.8,12.9,61.5,890.0,407.4,928.0,382.8,537.8,201.2,446.7,378.3,469.8,75.0,423.2,227.5,88.5,332.3,448.0,356.5,300.3,27.6,520.2,793.8,344.1,440.1,272.8,504.3,299.9,320.0,333.3
