from_stop,AC,AV,AY,AZ,BC,BG,BH,BJ,BP,BW,CB,CC,CH,CJ,CP,CS,CY,DH,DL,DX,EC,EI,EO,ES,EX,EY,FD,FG,FJ,FQ,FV,FX,FY,GG,GH,GQ,GV,HC,HE,HG,HN,HS,HV,IG,II,IK,IL,IN,IR,JI,KA,KB,KF,KG,KL,KN,KS,KT,KZ,LB,LS,LW,MD,MG,MI,MJ,MN,NJ,NM,NQ,NT,NX,NZ,OE,OK,OQ,OZ,PD,PE,PH,PR,PT,PZ,QD,QI,QL,QR,RE,RH,RJ,RL,RM,RP,RR,RT,RV,RZ,SI,SK,SM,ST,SY,SZ,TI,TP,TQ,TW,UA,UC,UH,UM,UP,UQ,UR,UX,UY,UZ,VL,VO,VQ,VS,VT,VU,WB,WD,XA,XF,XK,XL,XM,XV,YB,YH,YP,YR,ZA,ZB,ZF,ZH,ZP,ZR
EO,662.8,584.4,562.9,685.5,215.5,763.8,720.1,172.3,978.3,542.6,237.2,623.0,771.4,443.7,731.3,168.0,385.8,866.4,635.4,787.0,729.3,75.1,0.0,22.5,168.2,756.3,681.2,26.2,532.6,1184.4,567.1,2522.2,606.3,682.5,615.9,218.6,171.1,618.2,79.4,741.3,125.3,650.0,405.2,704.4,518.2,176.2,510.0,739.4,1154.9,978.5,817.2,515.1,188.8,926.0,200.2,771.4,216.0,342.3,176.5,535.5,600.5,765.3,137.7,777.0,777.1,78.5,969.4,694.6,188.6,203.6,913.8,576.1,136.7,217.9,267.1,105.6,880.1,98.8,164.3,946.1,508.1,505.6,175.0,501.7,980.2,550.0,65.4,392.2,316.0,109.7,188.8,689.0,162.1,851.3,523.1,143.6,230.4,217.8,947.9,612.6,113.7,328.6,197.3,1128.9,473.0,159.4,578.0,211.4,560.6,185.4,111.8,788.5,681.5,557.9,528.2,445.4,338.1,755.6,666.4,550.8,398.5,702.1,346.3,871.8,661.7,596.8,138.9,589.0,581.2,163.2,230.8,801.1,987.5,469.5,642.6,841.7,46.2,725.5,6.5,1045.4,492.9
ES,640.2,561.8,540.3,662.9,237.5,745.0,697.5,149.7,955.7,520.0,259.2,600.4,748.8,421.1,708.7,145.4,363.2,843.8,612.8,764.4,706.7,52.5,21.9,0.0,152.8,832.0,658.6,3.6,510.0,1161.8,544.5,2499.6,583.7,659.9,593.3,240.6,148.5,595.6,101.4,718.7,147.3,627.4,382.6,681.8,495.6,198.2,487.4,716.8,1132.3,955.9,794.6,492.5,210.8,903.4,224.6,748.8,193.4,319.7,153.9,512.9,577.9,742.7,159.7,754.4,754.5,55.9,946.8,672.0,210.6,225.6,891.2,553.5,114.1,239.9,244.5,83.0,857.5,76.2,141.7,923.5,485.5,483.0,197.0,479.1,957.6,527.4,42.8,369.6,293.4,88.8,210.8,666.4,158.9,828.7,500.5,121.0,252.4,195.2,925.3,590.0,133.1,304.4,188.0,1106.3,450.4,136.8,555.4,233.4,538.0,207.4,89.2,765.9,658.9,535.3,505.6,422.8,315.5,733.0,643.8,528.2,375.9,679.5,323.7,849.2,639.1,574.2,116.3,566.4,558.6,185.2,208.2,778.5,964.9,448.1,620.0,819.1,68.2,702.9,28.5,1022.8,470.3
EX,739.6,661.2,639.7,762.3,208.9,840.6,796.9,249.1,1055.1,619.4,170.9,699.8,848.2,520.5,808.1,7.4,462.6,943.2,712.2,863.8,806.1,151.9,157.8,164.1,0.0,931.4,758.0,160.8,609.4,1261.2,643.9,2599.0,683.1,759.3,692.7,212.0,198.3,695.0,78.7,818.1,118.7,726.8,482.0,781.2,595.0,169.6,586.8,816.2,1231.7,1055.3,896.7,591.9,111.8,1002.8,123.2,848.2,259.9,419.1,253.3,612.3,677.3,842.1,131.1,853.8,853.9,96.8,1043.2,771.4,182.0,126.6,990.6,652.9,213.5,140.9,343.9,137.2,956.9,175.6,204.1,1022.9,584.9,582.4,168.4,578.5,1057.0,626.8,160.2,469.0,392.8,65.6,111.8,765.8,6.0,928.1,599.9,31.7,223.8,294.6,1024.7,689.4,54.4,405.4,35.1,1205.7,549.8,209.0,654.8,204.8,637.4,178.8,206.6,865.3,758.3,634.7,605.0,522.2,414.9,832.4,743.2,627.6,475.3,778.9,423.1,948.6,738.5,673.6,229.5,665.8,655.7,86.2,307.6,877.9,1064.3,547.5,720.1,914.8,169.8,802.3,152.1,1122.2,569.7
EY,110.2,336.7,257.6,104.2,985.4,616.8,90.3,718.7,748.6,489.6,928.2,378.2,541.7,379.9,580.5,769.6,823.9,715.6,230.0,557.3,1166.3,615.0,769.8,747.8,777.0,0.0,184.2,665.6,267.7,954.7,359.8,2292.5,437.5,1198.4,1131.8,970.4,770.7,489.8,770.4,511.6,816.3,101.8,652.8,111.4,400.5,946.1,252.4,1176.4,925.2,748.8,587.5,346.3,879.8,696.3,893.6,620.6,772.8,413.7,801.8,206.1,304.1,614.5,828.7,547.3,547.4,680.1,818.6,1131.6,879.6,894.6,684.1,425.3,734.8,908.9,425.1,786.1,650.4,638.4,842.8,716.4,260.4,401.4,926.8,351.6,829.4,302.3,665.0,908.1,387.4,713.0,879.8,138.1,862.0,621.6,293.4,745.2,921.4,474.4,797.1,254.2,802.1,356.1,812.2,899.2,910.0,759.0,1015.0,884.3,318.6,876.4,711.4,551.3,139.0,399.9,320.9,882.4,345.0,133.9,123.3,400.7,835.5,1139.1,408.7,642.1,1098.7,367.1,738.5,152.6,290.4,854.2,524.3,571.4,836.7,358.0,1079.6,612.0,737.2,495.8,697.5,815.7,413.6
FD,108.2,303.5,145.5,192.9,722.2,538.2,89.4,534.4,748.9,342.3,743.9,345.0,542.0,232.6,501.9,585.3,638.5,637.0,45.7,557.6,982.0,430.7,506.6,484.6,592.7,219.7,0.0,481.3,234.5,955.0,291.4,2292.8,325.4,935.2,868.6,707.2,586.4,342.5,586.1,511.9,632.0,113.4,468.5,66.4,253.2,682.9,184.0,992.1,925.5,749.1,587.8,234.2,695.5,696.6,706.9,542.0,588.5,229.4,538.6,172.9,135.1,535.9,644.4,547.6,547.7,495.8,740.0,947.3,695.3,710.3,684.4,346.7,471.6,724.6,240.8,522.9,650.7,460.9,579.6,716.7,227.2,333.0,663.6,283.2,750.8,269.1,480.7,644.9,203.1,528.7,695.5,152.4,598.8,621.9,293.7,560.9,737.1,290.1,718.5,69.9,617.8,170.2,627.9,899.5,725.7,574.7,830.7,700.0,206.5,692.1,527.1,551.6,174.7,331.5,252.5,698.1,160.7,124.9,212.0,332.3,651.2,954.8,224.4,642.4,914.4,367.4,554.2,135.7,155.4,669.9,340.0,571.7,758.1,288.5,896.0,608.6,552.9,496.1,513.2,816.0,345.2
FG,636.5,558.1,536.6,659.2,240.8,737.5,693.8,146.0,952.0,516.3,273.2,596.7,745.1,417.4,705.0,141.7,359.5,840.1,609.1,760.7,703.0,48.8,25.2,3.3,149.1,828.3,654.9,0.0,506.3,1158.1,540.8,2495.9,580.0,656.2,589.6,243.9,144.8,591.9,104.7,715.0,150.6,623.7,378.9,678.1,491.9,201.5,483.7,713.1,1128.6,952.2,793.6,488.8,214.1,899.7,225.5,745.1,189.7,316.0,150.2,509.2,574.2,739.0,163.0,750.7,750.8,52.2,940.1,668.3,213.9,228.9,887.5,549.8,110.4,243.2,240.8,79.3,853.8,72.5,138.0,919.8,481.8,479.3,200.3,475.4,953.9,523.7,39.1,365.9,289.7,83.4,214.1,662.7,155.2,825.0,496.8,117.3,255.7,191.5,921.6,586.3,139.0,302.3,184.3,1102.6,446.7,133.1,551.7,236.7,534.3,210.7,85.5,762.2,655.2,531.6,501.9,419.1,311.8,729.3,640.1,524.5,372.2,675.8,320.0,845.5,635.4,570.5,112.6,562.7,552.6,188.5,204.5,774.8,961.2,444.4,617.0,811.7,71.5,699.2,31.8,1019.1,466.6
FJ,167.4,147.5,83.2,220.0,736.1,298.4,258.1,548.3,512.9,267.3,768.5,189.0,306.0,119.1,265.9,599.2,652.4,401.0,155.1,321.6,995.9,444.6,520.5,498.5,606.6,358.3,200.9,495.2,0.0,719.0,216.4,2056.8,169.4,949.1,882.5,721.1,600.3,267.5,600.0,275.9,645.9,208.2,482.4,253.3,178.2,696.8,68.2,1006.0,689.5,513.1,354.5,78.2,709.4,460.6,720.8,306.0,602.4,243.3,552.5,78.6,140.9,299.9,658.3,311.6,311.7,509.7,501.0,961.2,709.2,724.2,448.4,121.3,485.5,738.5,254.7,536.8,414.7,474.8,593.5,480.7,71.2,258.0,677.5,208.2,514.8,113.1,494.6,658.8,217.0,540.9,709.4,245.0,612.7,385.9,68.3,574.8,751.0,304.0,482.5,132.3,634.3,184.1,641.8,663.5,739.6,588.6,844.6,713.9,28.0,706.0,541.0,323.1,201.8,256.5,177.5,712.0,174.6,293.6,239.1,257.3,665.1,968.7,238.3,406.4,928.3,142.0,568.1,109.3,93.4,683.8,353.9,335.7,522.1,146.1,909.9,372.6,566.8,260.1,527.1,580.0,270.2
FQ,674.4,789.3,735.3,660.8,1377.9,504.9,646.9,1190.1,319.5,909.1,1410.3,864.1,512.5,760.9,472.4,1241.0,1294.2,299.3,786.6,480.3,1637.7,1086.4,1162.3,1140.3,1248.4,575.9,740.8,1137.0,689.0,0.0,858.2,2567.0,818.7,1590.9,1524.3,1362.9,1242.1,833.1,1241.8,482.4,1287.7,658.4,1124.2,668.0,820.0,1338.6,710.0,1647.8,59.4,373.1,561.0,720.0,1351.2,267.2,1362.6,512.5,1244.2,885.1,1194.3,720.4,781.8,486.4,1300.1,518.1,490.2,1151.5,337.6,1603.0,1351.0,1366.0,251.9,763.1,1127.3,1380.3,896.5,1178.6,285.6,1116.6,1235.3,506.3,713.0,899.8,1319.3,850.0,195.5,754.9,1136.4,1300.6,858.8,1182.7,1351.2,615.8,1254.5,495.5,710.1,1216.6,1392.8,945.8,217.8,774.1,1276.1,825.9,1283.6,67.4,1381.4,1230.4,1486.4,1355.7,717.0,1347.8,1182.8,389.1,616.7,898.3,819.3,1353.8,816.4,611.6,679.9,899.1,1306.9,1610.5,880.1,474.5,1570.1,783.8,1209.9,709.2,770.4,1325.6,995.7,466.2,310.1,787.9,1551.7,327.7,1208.6,546.2,1168.9,130.3,912.0
FV,259.7,96.6,210.9,343.8,813.3,410.8,317.0,625.5,621.5,164.5,845.7,90.1,414.6,137.3,374.5,676.4,729.6,509.6,232.3,430.2,1073.1,521.8,597.7,575.7,683.8,451.5,278.1,572.4,175.8,827.6,0.0,2165.4,118.5,1026.3,959.7,798.3,677.5,85.3,677.2,384.5,723.1,246.9,559.6,301.3,75.4,774.0,106.9,1083.2,798.1,621.7,463.1,115.2,786.6,569.2,798.0,414.6,679.6,320.5,629.7,183.5,197.4,408.5,735.5,420.2,420.3,586.9,609.6,1038.4,786.4,801.4,557.0,219.3,562.7,815.7,331.9,614.0,523.3,552.0,670.7,589.3,124.2,155.2,754.7,105.4,623.4,102.9,571.8,736.0,294.2,618.1,786.6,285.9,689.9,494.5,166.3,652.0,828.2,381.2,591.1,209.5,711.5,261.3,719.0,772.1,816.8,665.8,921.8,791.1,237.0,783.2,618.2,431.7,325.3,74.3,46.5,789.2,251.8,352.5,309.6,116.3,742.3,1045.9,315.5,515.0,1005.5,240.0,645.3,237.0,175.8,761.0,431.1,444.3,630.7,110.7,987.1,481.2,644.0,368.7,604.3,688.6,167.4
FX,2018.4,1893.9,1934.2,2003.8,2564.3,1978.8,2106.5,2376.5,2189.5,2023.1,2596.7,1921.3,1982.6,2032.0,1942.5,2427.4,2480.6,2077.6,1983.3,1998.2,2824.1,2272.8,2348.7,2326.7,2434.8,2194.4,2029.1,2323.4,1875.4,2395.6,1960.9,0.0,1875.9,2777.3,2710.7,2549.3,2428.5,1890.3,2428.2,1952.5,2474.1,2036.4,2310.6,2090.8,2014.6,2525.0,1896.4,2834.2,2366.1,2189.7,2031.1,1967.1,2537.6,2137.2,2549.0,1982.6,2430.6,2071.5,2380.7,1906.8,1986.9,1976.5,2486.5,1988.2,1988.3,2337.9,2177.6,2789.4,2537.4,2552.4,2125.0,1911.6,2313.7,2566.7,2082.9,2365.0,2091.3,2303.0,2421.7,2157.3,1976.1,2031.9,2505.7,2018.1,2191.4,1928.3,2322.8,2487.0,2045.2,2369.1,2537.6,2075.4,2440.9,2062.5,1964.6,2403.0,2579.2,2132.2,2159.1,1960.5,2462.5,2012.3,2470.0,2340.1,2567.8,2416.8,2672.8,2542.1,1903.4,2534.2,2369.2,1999.7,2037.9,1984.7,2007.5,2540.2,2002.8,2142.0,1984.7,2012.2,2493.3,2796.9,2066.5,2083.0,2756.5,1889.2,2396.3,1960.3,1962.4,2512.0,2182.1,2012.3,2198.7,2005.4,2738.1,2049.2,2395.0,1936.7,2355.3,2256.6,2044.1
FY,255.3,17.9,186.8,323.6,834.9,409.5,361.7,647.1,620.2,206.5,856.6,45.3,413.3,215.4,373.2,698.0,752.3,508.3,253.9,428.9,1094.7,543.4,619.3,597.3,705.4,363.6,344.6,594.0,174.5,826.3,94.3,2164.1,0.0,1047.9,981.3,819.9,699.1,73.7,698.8,383.2,744.7,320.5,581.2,356.9,163.2,795.6,194.7,1104.8,796.8,620.4,459.1,91.1,808.2,567.9,819.6,413.3,701.2,342.1,651.3,159.4,262.5,407.2,757.1,418.9,419.0,608.5,611.3,1060.0,808.0,823.0,555.7,218.0,584.3,837.3,353.5,635.6,522.0,573.6,692.3,588.0,100.1,215.3,776.3,193.2,622.1,52.3,593.4,757.6,315.8,641.4,808.2,348.6,711.5,493.2,165.0,673.6,849.8,402.8,589.8,231.1,730.5,282.9,740.6,770.8,838.4,687.4,943.4,812.7,220.9,804.8,639.8,422.9,305.4,168.1,140.9,810.8,273.4,397.2,342.7,191.1,763.9,1067.5,337.1,513.7,1027.1,125.3,666.9,212.9,212.7,782.6,452.7,443.0,629.4,188.8,1008.7,483.6,665.6,367.4,625.9,687.3,227.5
GG,1100.1,1021.7,1000.2,1122.8,699.1,1201.1,1157.4,495.6,1415.6,979.9,813.7,1060.3,1208.7,881.0,1168.6,737.4,285.6,1303.7,1072.7,1224.3,46.7,609.3,658.7,636.7,744.7,1193.6,1118.5,633.4,969.9,1621.7,1004.4,2959.5,1043.6,0.0,64.2,649.1,528.3,1055.5,681.8,1178.6,635.9,1087.3,565.1,1141.7,955.5,665.9,947.3,56.8,1592.2,1415.8,1257.2,952.4,765.3,1363.3,776.7,1208.7,475.7,745.0,491.4,972.8,1037.8,1202.6,627.4,1214.3,1214.4,647.9,1406.7,12.0,678.3,780.1,1351.1,1013.4,670.9,794.4,771.0,675.0,1317.4,569.1,537.4,1383.4,945.4,942.9,605.5,939.0,1417.5,987.3,632.8,280.3,733.0,680.8,765.3,1126.3,738.6,1288.6,960.4,713.0,684.2,752.0,1385.2,1049.9,690.2,764.3,773.8,1566.2,199.5,542.3,98.4,641.9,997.9,675.1,589.9,1225.8,1118.8,995.2,965.5,227.1,775.4,1192.9,1103.7,988.1,274.0,19.6,783.6,1309.1,74.5,1034.1,562.8,1026.3,1018.5,739.7,765.0,1238.4,1424.8,906.8,37.5,1281.8,705.0,1162.8,665.3,1482.7,930.2
GH,1035.8,957.4,935.9,1058.5,634.8,1136.8,1093.1,431.3,1351.3,915.6,749.4,996.0,1144.4,816.7,1104.3,673.1,221.3,1239.4,1008.4,1160.0,113.3,545.0,594.4,572.4,680.4,1129.3,1054.2,569.1,905.6,1557.4,940.1,2895.2,979.3,66.5,0.0,584.8,464.0,991.2,617.5,1114.3,571.6,1023.0,500.8,1077.4,891.2,601.6,883.0,123.4,1527.9,1351.5,1192.9,888.1,701.0,1299.0,712.4,1144.4,411.4,680.7,427.1,908.5,973.5,1138.3,563.1,1150.0,1150.1,583.6,1342.4,78.6,614.0,715.8,1286.8,949.1,606.6,730.1,706.7,610.7,1253.1,504.8,473.1,1319.1,881.1,878.6,541.2,874.7,1353.2,923.0,568.5,216.0,668.7,616.5,701.0,1062.0,674.3,1224.3,896.1,648.7,619.9,687.7,1320.9,985.6,625.9,700.0,709.5,1501.9,135.2,478.0,34.1,577.6,933.6,610.8,525.6,1161.5,1054.5,930.9,901.2,162.8,711.1,1128.6,1039.4,923.8,209.7,86.1,719.3,1244.8,45.7,969.8,498.5,962.0,954.2,675.4,700.7,1174.1,1360.5,842.5,26.6,1217.5,640.7,1098.5,601.0,1418.4,865.9
GQ,856.9,778.5,757.0,879.6,49.9,961.7,914.2,245.9,1172.4,736.7,262.8,817.1,965.5,637.8,925.4,201.2,369.7,1060.5,829.5,981.1,713.2,269.2,210.0,232.6,193.8,1048.7,875.3,236.3,726.7,1378.5,761.2,2716.3,800.4,666.4,599.8,0.0,104.5,812.3,130.9,935.4,85.0,844.1,389.1,898.5,712.3,105.5,704.1,723.3,1349.0,1172.6,1011.3,709.2,214.4,1120.1,225.8,965.5,166.1,536.4,241.7,729.6,794.6,959.4,76.5,971.1,971.2,272.6,1163.5,678.5,76.8,229.2,1107.9,770.2,330.8,243.5,461.2,299.7,1074.2,292.9,110.3,1140.2,702.2,699.7,35.3,695.8,1174.3,744.1,209.2,376.1,510.1,256.8,214.4,883.1,187.7,1045.4,717.2,225.6,35.0,411.9,1142.0,806.7,136.7,521.1,222.9,1323.0,456.9,115.2,561.9,6.5,754.7,80.0,162.8,982.6,875.6,752.0,722.3,429.3,532.2,949.7,860.5,744.9,382.4,686.0,540.4,1065.9,645.6,790.9,135.7,783.1,775.3,188.8,424.9,995.2,1181.6,664.8,626.5,1032.1,222.0,919.6,204.3,1239.5,687.0
GV,752.3,673.9,652.4,775.0,170.7,857.1,809.6,141.3,1067.8,632.1,296.0,712.5,860.9,533.2,820.8,223.7,265.1,955.9,724.9,876.5,608.6,164.6,160.8,138.8,216.3,944.1,770.7,135.5,622.1,1273.9,656.6,2611.7,695.8,561.8,495.2,120.7,0.0,707.7,153.4,830.8,107.5,739.5,284.5,793.9,607.7,137.5,599.5,618.7,1244.4,1068.0,909.4,604.6,236.9,1015.5,248.3,860.9,61.5,431.8,137.1,625.0,690.0,854.8,99.0,866.5,866.6,168.0,1055.9,573.9,149.9,251.7,1003.3,665.6,226.2,266.0,356.6,195.1,969.6,188.3,5.7,1035.6,597.6,595.1,77.1,591.2,1069.7,639.5,104.6,271.5,405.5,199.2,236.9,778.5,210.2,940.8,612.6,233.1,155.8,307.3,1037.4,702.1,161.8,418.1,245.4,1218.4,352.3,10.6,457.3,113.5,650.1,146.7,58.2,878.0,771.0,647.4,617.7,324.7,427.6,845.1,755.9,640.3,277.8,581.4,435.8,961.3,541.0,686.3,31.1,678.5,668.4,211.3,320.3,890.6,1077.0,560.2,522.6,927.5,207.1,815.0,167.4,1134.9,582.4
HC,330.3,82.4,251.3,388.1,883.9,474.0,387.6,696.1,684.7,178.4,905.6,35.0,477.8,183.2,437.7,747.0,800.2,572.8,302.9,493.4,1143.7,592.4,668.3,646.3,754.4,522.1,348.7,643.0,239.0,890.8,70.5,2096.2,70.2,1096.9,1030.3,868.9,748.1,0.0,747.8,447.7,793.7,317.5,630.2,371.9,146.0,844.6,177.5,1153.8,861.3,684.9,523.6,155.6,857.2,632.4,868.6,477.8,750.2,391.1,700.3,223.9,268.0,471.7,806.1,483.4,483.5,657.5,675.8,1109.0,857.0,872.0,620.2,148.7,633.3,886.3,402.5,684.6,586.5,622.6,741.3,652.5,164.6,187.2,825.3,169.3,686.6,116.8,642.4,806.6,364.8,688.7,857.2,356.5,760.5,557.7,229.5,722.6,898.8,451.8,654.3,280.1,779.5,331.9,789.6,835.3,887.4,736.4,992.4,861.7,285.4,853.8,688.8,494.9,369.9,135.9,117.1,859.8,322.4,423.1,407.2,151.2,812.9,1116.5,386.1,578.2,1076.1,126.3,715.9,277.4,248.7,831.6,501.7,507.5,693.9,156.6,1057.7,544.4,714.6,431.9,674.9,751.8,199.4
HE,741.9,663.5,642.0,764.6,136.0,842.9,799.2,251.4,1057.4,621.7,168.4,702.1,850.5,522.8,810.4,96.1,390.6,945.5,714.5,866.1,734.1,154.2,79.0,101.6,88.7,933.7,760.3,105.3,611.7,1263.5,646.2,2601.3,685.4,687.3,620.7,139.1,125.4,697.3,0.0,820.4,45.8,729.1,410.0,783.5,597.3,96.7,589.1,744.2,1234.0,1057.6,899.0,594.2,109.3,1005.1,120.7,850.5,187.0,421.4,255.6,614.6,679.6,844.4,58.2,856.1,856.2,157.6,1045.5,699.4,109.1,124.1,992.9,655.2,215.8,138.4,346.2,184.7,959.2,177.9,131.2,1025.2,587.2,584.7,95.5,580.8,1059.3,629.1,144.5,397.0,395.1,154.4,109.3,768.1,82.6,930.4,602.2,120.5,150.9,296.9,1027.0,691.7,34.2,407.7,117.8,1208.0,477.8,136.1,582.8,131.9,639.7,105.9,183.7,867.6,760.6,637.0,607.3,450.2,417.2,834.7,745.5,629.9,403.3,706.9,425.4,950.9,666.5,675.9,156.6,668.1,658.0,83.7,309.9,880.2,1066.6,549.8,648.1,917.1,91.0,804.6,73.3,1124.5,572.0
HG,407.9,365.2,323.7,393.3,953.8,26.2,383.7,766.0,275.3,485.0,986.2,440.0,30.0,336.8,11.5,816.9,870.1,163.4,372.8,70.0,1213.6,662.3,738.2,716.2,824.3,312.7,418.6,712.9,264.9,481.4,434.1,2142.9,394.6,1166.8,1100.2,938.8,818.0,409.0,817.7,0.0,863.6,395.2,700.1,404.8,395.9,914.5,285.9,1223.7,451.9,275.5,78.5,295.9,927.1,223.0,938.5,30.0,820.1,461.0,770.2,296.3,376.4,48.3,876.0,35.6,60.1,727.4,263.4,1178.9,926.9,941.9,210.8,339.0,703.2,956.2,472.4,754.5,177.1,692.5,811.2,243.1,288.9,475.7,895.2,425.9,277.2,330.8,712.3,876.5,434.7,758.6,927.1,352.6,830.4,134.3,286.0,792.5,968.7,521.7,244.9,350.0,852.0,401.8,859.5,425.9,957.3,806.3,1062.3,931.6,292.9,923.7,758.7,85.5,353.5,474.2,395.2,929.7,392.3,348.4,374.2,475.0,882.8,1186.4,456.0,168.8,1146.0,359.7,785.8,349.8,351.9,901.5,571.6,84.1,284.5,363.8,1127.6,135.0,784.5,114.9,744.8,342.4,487.9
HN,787.8,709.4,687.9,810.5,90.1,888.8,845.1,220.9,1103.3,667.6,188.4,748.0,896.4,568.7,856.3,116.1,344.7,991.4,760.4,912.0,688.2,200.1,124.9,147.5,108.7,979.6,806.2,151.2,657.6,1309.4,692.1,2647.2,731.3,641.4,574.8,93.2,79.5,743.2,45.8,866.3,0.0,775.0,364.1,829.4,643.2,50.8,635.0,698.3,1279.9,1103.5,944.9,640.1,129.3,1051.0,140.7,896.4,141.1,467.3,216.7,660.5,725.5,890.3,12.3,902.0,902.1,203.5,1091.4,653.5,63.2,144.1,1038.8,701.1,261.7,158.4,392.1,230.6,1005.1,223.8,85.3,1071.1,633.1,630.6,49.6,626.7,1105.2,675.0,184.2,351.1,441.0,174.4,129.3,814.0,102.6,976.3,648.1,140.5,105.0,342.8,1072.9,737.6,54.2,453.6,137.8,1253.9,431.9,90.2,536.9,86.0,685.6,60.0,137.8,913.5,806.5,682.9,653.2,404.3,463.1,880.6,791.4,675.8,357.4,661.0,471.3,996.8,620.6,721.8,110.7,714.0,703.9,103.7,355.8,926.1,1112.5,595.7,602.2,963.0,136.9,850.5,119.2,1170.4,617.9
HS,59.4,288.0,130.0,96.8,816.1,504.7,70.0,628.3,715.4,308.8,848.5,313.8,508.5,199.1,468.4,679.2,732.4,603.5,149.1,524.1,1075.9,524.6,600.5,578.5,686.6,204.5,112.0,575.2,210.9,921.5,257.9,2259.3,309.9,1029.1,962.5,801.1,680.3,309.0,680.0,478.4,725.9,0.0,562.4,81.0,219.7,776.8,150.5,1086.0,892.0,715.6,557.0,218.7,789.4,663.1,800.8,508.5,682.4,323.3,632.5,157.4,123.3,502.4,738.3,514.1,514.2,589.7,703.5,1041.2,789.2,804.2,650.9,313.2,565.5,818.5,334.7,616.8,617.2,554.8,673.5,683.2,211.7,299.5,757.5,249.7,717.3,253.6,574.6,738.8,297.0,620.9,789.4,38.9,692.7,588.4,260.2,654.8,831.0,384.0,685.0,172.9,714.3,264.1,721.8,866.0,819.6,668.6,924.6,793.9,182.9,786.0,621.0,525.6,78.3,298.0,219.0,792.0,254.6,105.5,115.9,298.8,745.1,1048.7,318.3,608.9,1008.3,333.9,648.1,107.5,121.7,763.8,433.9,538.2,724.6,255.0,989.9,575.1,646.8,462.6,607.1,782.5,311.7
HV,617.6,539.2,517.7,640.3,446.0,722.4,674.9,242.5,933.1,497.4,571.3,577.8,726.2,398.5,686.1,484.3,272.6,821.2,590.2,741.8,616.1,356.2,405.6,383.6,491.6,809.4,636.0,380.3,487.4,1139.2,521.9,2477.0,561.1,569.3,502.7,396.0,275.2,573.0,428.7,696.1,382.8,604.8,0.0,659.2,473.0,412.8,464.8,626.2,1109.7,933.3,774.7,469.9,512.2,880.8,523.6,726.2,222.6,262.5,238.3,490.3,555.3,720.1,374.3,731.8,731.9,394.8,921.2,581.4,425.2,527.0,868.6,530.9,417.8,541.3,288.5,421.9,834.9,316.0,284.3,900.9,462.9,460.4,352.4,456.5,935.0,504.8,379.7,279.0,250.5,426.0,512.2,643.8,485.5,806.1,477.9,459.9,431.1,337.8,902.7,567.4,437.1,283.4,520.7,1083.7,359.8,289.2,464.8,388.8,515.4,422.0,336.8,743.3,636.3,512.7,483.0,332.2,292.9,710.4,621.2,505.6,285.3,588.9,301.1,826.6,548.5,551.6,309.7,543.8,533.7,486.6,387.7,755.9,942.3,425.5,530.1,792.8,451.9,680.3,412.2,1000.2,447.7
IG,102.5,333.3,175.3,125.4,794.0,562.0,21.9,606.2,776.5,369.9,826.4,374.8,569.6,260.2,529.5,657.1,710.3,664.6,117.5,585.2,1053.8,502.5,578.4,556.4,664.5,251.1,71.7,553.1,264.3,982.6,319.0,2320.4,355.2,1007.0,940.4,779.0,658.2,370.1,657.9,539.5,703.8,71.6,540.3,0.0,280.8,754.7,211.6,1063.9,953.1,776.7,618.1,264.0,767.3,724.2,778.7,569.6,660.3,301.2,610.4,202.7,184.4,563.5,716.2,575.2,575.3,567.6,764.6,1019.1,767.1,782.1,712.0,374.3,543.4,796.4,312.6,594.7,678.3,532.7,651.4,744.3,257.0,360.6,735.4,310.8,778.4,298.9,552.5,716.7,274.9,598.8,767.3,85.5,670.6,649.5,321.3,632.7,808.9,361.9,746.1,141.7,692.2,242.0,699.7,927.1,797.5,646.5,902.5,771.8,236.3,763.9,598.9,586.7,107.2,359.1,280.1,769.9,232.5,57.4,144.5,359.9,723.0,1026.6,296.2,670.0,986.2,395.0,626.0,149.2,182.8,741.7,411.8,599.3,785.7,316.1,967.8,636.2,624.7,523.7,585.0,843.6,372.8
II,249.5,131.1,200.7,333.6,736.4,400.6,306.8,548.6,611.3,89.0,758.1,138.1,404.4,61.8,364.3,599.5,652.7,499.4,155.4,420.0,996.2,444.9,520.8,498.8,606.9,441.3,201.2,495.5,165.6,817.4,82.2,2155.2,153.0,949.4,882.8,721.4,600.6,133.3,600.3,374.3,646.2,236.7,482.7,291.1,0.0,697.1,96.7,1006.3,787.9,611.5,450.2,105.0,709.7,559.0,721.1,404.4,602.7,243.6,552.8,173.3,187.2,398.3,658.6,410.0,410.1,510.0,602.4,961.5,709.5,724.5,546.8,209.1,485.8,738.8,255.0,537.1,513.1,475.1,593.8,579.1,114.0,79.7,677.8,29.9,613.2,96.7,494.9,659.1,217.3,541.2,709.7,275.7,613.0,484.3,156.1,575.1,751.3,304.3,580.9,132.6,632.0,184.4,642.1,761.9,739.9,588.9,844.9,714.2,226.8,706.3,541.3,421.5,315.1,104.1,43.3,712.3,174.9,342.3,299.4,79.0,665.4,969.0,238.6,504.8,928.6,229.8,568.4,226.8,167.9,684.1,354.2,434.1,620.5,35.2,909.5,474.7,567.1,358.5,527.4,678.4,91.9
