from_stop,AG,AL,AQ,AS,BC,BF,BG,BH,BO,BW,CJ,CK,CM,CO,CW,DS,DT,DY,EB,EI,EP,ES,ET,FE,FH,FI,FL,FU,FZ,GC,GJ,GL,GO,GZ,HA,HJ,HL,HV,IB,IM,IU,JH,JQ,JU,JV,JW,KA,KE,KJ,KK,LO,LP,LR,LT,LU,MD,MK,MN,MR,NG,NI,NN,NY,NZ,OC,OM,OO,OP,OX,PD,PI,PM,PX,QB,QD,QH,QJ,QN,RD,RF,RG,RL,RQ,RV,SC,SE,SI,SK,SP,SV,TC,TI,TM,TQ,TU,TW,UC,UE,UF,UI,US,UW,UZ,VI,VM,VP,VS,VY,WD,WG,WP,XE,YI,YT,YU,YY,ZC,ZG,ZQ,ZR,ZT
FU,215.4,194.5,106.3,114.8,147.3,198.7,210.0,161.4,135.6,98.2,124.0,158.4,370.8,248.5,198.9,109.2,156.8,367.7,214.6,78.1,232.5,74.7,88.4,73.5,379.2,303.2,135.2,0.0,11.1,217.8,129.3,141.4,307.8,170.6,141.9,202.6,16.4,66.7,96.0,97.9,187.2,120.4,198.8,293.3,111.4,163.6,116.9,161.1,135.2,337.3,391.3,176.5,132.1,158.3,192.7,219.1,219.4,81.3,181.1,54.7,265.8,231.2,213.0,87.0,257.8,1439.7,103.5,281.0,222.3,271.2,74.9,209.0,131.0,119.7,359.9,214.7,18.8,87.9,167.2,255.4,124.6,74.8,104.8,142.8,339.4,134.0,110.1,243.5,265.8,110.9,138.5,113.2,356.2,147.9,134.0,103.9,108.9,224.1,114.3,191.0,229.0,247.6,184.1,93.4,168.7,145.4,170.8,277.8,128.1,211.9,195.2,69.4,56.4,333.3,203.4,352.0,100.9,213.2,70.6,305.3,87.4
FZ,201.9,206.3,92.8,126.6,159.1,211.5,196.5,173.2,145.3,84.7,111.6,144.9,357.3,260.3,185.4,121.0,168.6,354.2,226.4,89.9,244.3,86.5,100.2,74.1,365.7,289.7,144.9,9.7,0.0,204.3,115.8,156.2,317.5,182.4,153.7,189.1,28.2,55.6,107.8,107.6,199.0,139.0,185.3,282.2,103.9,175.4,128.9,172.9,121.7,323.8,386.2,200.9,143.9,144.8,179.2,205.6,205.9,93.1,192.9,41.2,277.6,217.7,224.8,96.7,244.3,1426.2,90.0,267.9,208.8,257.7,84.6,195.5,137.0,131.5,346.4,201.2,30.6,99.7,153.7,241.9,111.1,63.3,91.3,165.7,325.9,120.5,121.9,230.0,252.3,126.4,150.3,125.0,342.7,159.1,151.8,115.7,118.6,235.9,100.8,177.5,217.9,259.4,193.8,82.3,189.1,131.9,182.6,264.3,144.2,198.4,181.7,88.6,66.1,319.8,215.2,338.5,112.7,225.0,57.1,291.8,105.5
GC,96.4,166.9,161.0,173.4,183.5,172.7,8.0,133.6,165.7,172.7,96.3,142.3,251.8,229.0,62.1,229.6,121.9,230.7,279.5,179.5,263.7,157.2,208.8,194.5,260.2,184.2,142.1,217.4,221.0,0.0,162.5,195.6,372.7,188.5,156.4,69.3,234.4,161.7,238.0,132.7,205.1,166.1,94.8,156.3,153.5,230.1,115.8,150.1,123.7,200.3,285.3,108.0,151.8,104.6,88.7,95.1,99.3,201.7,152.7,227.3,359.3,129.6,226.5,256.1,134.5,1351.2,114.7,162.0,87.2,67.6,167.0,90.0,221.0,208.2,240.9,77.7,198.8,208.7,154.5,118.4,134.2,185.2,138.0,125.5,202.4,151.5,174.4,148.8,146.8,229.1,205.0,147.0,237.2,118.9,170.2,192.4,123.2,271.5,104.3,125.7,113.3,248.6,137.8,181.8,165.1,75.0,225.0,74.2,144.4,107.9,76.2,226.9,176.8,214.3,221.3,233.0,221.3,258.1,201.0,168.3,188.7
GJ,158.7,214.2,134.4,198.6,231.1,218.4,176.4,197.9,219.4,109.5,92.5,29.1,314.1,289.9,142.2,232.1,140.8,311.0,334.0,178.3,314.7,159.7,211.3,137.0,322.5,246.5,171.7,150.5,138.7,168.3,0.0,225.2,427.2,252.8,220.7,145.9,167.0,79.0,206.9,170.1,269.4,195.7,142.1,236.6,128.7,277.7,112.8,214.4,59.4,280.6,334.6,155.3,184.0,83.6,136.0,162.4,110.8,204.2,238.3,133.2,388.7,122.6,296.8,187.4,243.4,1383.0,111.4,224.3,165.6,236.0,162.2,152.3,237.8,187.2,303.2,158.0,169.4,204.4,88.4,198.7,69.9,104.9,33.9,104.5,282.7,104.9,153.4,257.7,209.1,208.1,252.6,149.7,299.5,97.9,217.8,194.9,120.3,313.5,101.3,71.5,172.3,329.8,185.1,121.5,250.7,88.7,254.6,268.4,123.4,155.2,138.5,193.3,179.3,276.6,285.6,295.3,223.6,297.0,118.7,248.6,133.8
GL,174.9,92.8,209.2,56.1,45.2,87.6,169.5,78.7,36.7,139.4,156.4,192.0,330.3,140.6,158.4,153.2,84.0,330.4,108.7,66.0,92.6,79.7,132.4,121.4,338.7,262.7,65.7,143.8,154.9,177.3,227.0,0.0,201.9,63.7,29.0,162.1,151.5,184.0,161.6,106.1,49.8,48.5,89.7,256.0,120.2,81.5,121.9,62.2,184.6,296.8,352.5,73.3,53.4,121.1,138.7,177.8,158.1,125.3,82.2,201.8,191.7,188.4,74.9,179.7,217.3,1399.2,196.2,240.5,185.0,233.9,107.7,168.5,94.1,92.9,319.4,177.4,124.5,148.3,201.5,214.9,195.1,179.7,197.5,104.8,298.9,143.9,64.8,203.0,225.3,112.8,56.4,93.2,315.7,109.9,47.1,132.3,113.9,86.0,190.3,183.2,191.7,107.7,88.4,196.3,78.4,147.2,29.3,237.3,94.4,116.6,154.7,159.4,115.2,292.8,66.0,311.5,144.9,68.7,155.5,264.8,148.3
GO,367.4,251.7,401.7,248.6,224.1,245.9,362.0,271.2,229.2,331.9,348.9,384.5,380.2,163.3,350.9,251.4,276.5,349.7,85.3,258.5,176.7,272.2,210.7,321.3,405.8,373.7,258.2,307.5,321.0,369.8,416.3,192.4,0.0,222.6,221.5,308.0,315.2,372.9,285.4,295.4,208.7,241.0,279.0,275.3,312.7,178.9,314.4,254.7,377.1,270.2,396.1,265.8,248.5,313.6,331.2,367.1,350.6,216.9,274.7,362.3,130.9,380.9,219.7,303.5,409.8,1420.2,388.7,320.2,289.6,423.2,300.2,361.0,218.7,245.6,404.6,296.9,288.2,273.6,394.0,259.1,387.6,370.2,390.0,297.3,321.4,336.4,254.1,395.5,348.3,224.7,204.0,285.7,400.9,302.4,233.6,257.3,306.4,208.6,382.8,375.7,381.0,149.1,277.7,388.8,262.3,339.7,162.5,429.8,282.6,309.1,347.2,314.0,243.2,403.8,197.9,396.7,268.7,119.9,348.0,287.3,347.9
GZ,181.7,77.5,249.2,96.1,57.9,71.7,176.3,54.8,45.0,179.4,186.6,234.1,337.1,125.3,165.4,171.0,115.6,334.0,139.4,106.0,61.8,119.7,150.2,175.2,345.5,269.5,105.7,192.4,208.7,184.1,258.1,44.2,232.6,0.0,69.0,172.6,202.9,220.4,179.4,144.0,16.5,81.7,93.3,259.6,160.2,94.2,161.9,38.3,214.0,303.6,384.5,80.1,96.0,155.4,132.8,181.4,189.7,143.1,76.3,250.0,222.4,220.0,59.6,197.5,224.1,1406.0,205.0,247.3,190.5,237.5,147.7,175.3,115.2,110.6,326.2,181.0,173.8,161.3,241.5,221.7,224.5,217.7,237.5,139.1,305.7,183.9,101.6,209.8,232.1,121.8,69.1,100.9,322.5,144.2,71.9,145.0,154.1,76.3,194.6,217.5,198.6,76.9,79.3,236.3,63.9,181.5,60.0,244.1,124.4,110.7,161.5,179.5,130.9,299.6,32.7,318.3,162.7,114.2,195.5,271.6,195.4
HA,145.8,92.2,199.8,46.7,27.0,98.0,140.4,75.3,33.3,130.0,147.8,190.4,301.2,167.9,129.5,143.8,74.6,298.1,147.9,56.6,130.2,70.3,123.0,125.8,309.6,233.6,56.3,131.6,147.9,148.2,214.4,39.1,241.1,68.3,0.0,136.7,142.1,171.4,152.2,94.6,84.9,32.3,57.4,223.7,110.8,73.6,112.5,58.8,175.2,267.7,348.6,44.2,46.6,111.7,111.4,145.5,148.7,115.9,62.4,189.2,230.9,179.0,110.7,170.3,188.2,1370.1,186.5,211.4,154.6,201.6,98.3,139.4,94.3,83.5,290.3,145.1,113.0,140.7,192.1,185.8,185.7,168.3,188.1,95.4,269.8,134.5,52.2,173.9,196.2,101.2,48.5,65.0,286.6,100.5,13.7,124.4,104.7,127.4,180.9,173.8,162.7,145.3,81.8,186.9,66.4,137.8,68.5,208.2,80.7,89.3,125.6,158.9,91.0,263.7,101.1,282.4,135.5,122.7,146.1,235.7,146.0
HJ,79.2,239.0,163.8,176.2,186.3,233.2,55.8,136.4,168.5,175.5,98.3,137.3,234.6,163.3,3.0,232.4,124.7,165.0,213.8,182.3,198.0,160.0,275.1,197.3,243.0,167.0,144.9,223.0,225.9,63.6,165.3,271.6,307.0,259.9,159.2,0.0,237.2,164.5,240.8,136.6,243.3,162.1,97.6,90.6,156.3,243.3,118.6,152.9,126.5,134.6,207.1,110.8,154.6,107.4,91.5,97.9,102.1,281.3,155.5,230.1,293.6,132.4,222.5,258.9,152.9,1303.5,117.5,144.8,19.6,117.0,169.8,72.8,274.7,211.0,223.7,12.0,201.6,211.5,157.3,52.7,137.0,188.0,140.8,128.3,136.7,154.3,177.2,107.3,129.6,285.4,268.4,149.8,220.0,121.7,173.0,195.2,126.1,205.8,107.1,128.5,92.8,182.9,140.6,184.6,167.9,77.8,244.9,123.6,141.6,110.7,59.0,224.8,179.6,197.1,227.1,215.8,224.1,202.3,203.8,102.6,184.4
HL,223.7,193.5,134.1,113.8,146.3,199.3,218.3,160.4,134.6,101.5,151.8,179.1,379.1,247.5,207.4,108.2,155.8,376.0,213.6,77.1,231.5,73.6,87.4,60.9,387.5,311.5,134.2,24.9,41.2,226.1,157.1,140.4,306.8,169.6,140.9,214.6,0.0,94.5,79.5,98.0,186.2,119.4,188.7,301.6,92.4,162.6,115.9,160.1,163.0,345.6,426.5,175.5,133.7,158.1,201.0,227.4,229.9,80.3,180.1,82.5,264.8,259.0,212.0,70.5,266.1,1448.0,131.0,289.3,232.5,279.5,55.9,217.3,132.6,118.7,368.2,223.0,20.1,71.1,195.0,263.7,152.4,102.6,132.6,141.8,347.7,161.8,109.1,251.8,274.1,109.9,137.5,122.0,364.5,146.9,133.0,87.4,108.1,228.7,142.1,218.8,240.6,246.6,183.1,121.2,167.7,153.7,169.8,286.1,127.1,214.5,203.5,52.9,55.4,341.6,202.4,360.3,96.2,224.0,81.2,313.6,68.4
HV,148.6,204.1,54.9,140.6,173.5,208.7,143.2,153.7,161.8,31.4,57.6,91.6,304.4,280.2,132.5,154.4,130.7,300.9,259.4,104.3,258.7,81.6,133.6,70.1,312.8,236.8,127.1,71.4,61.7,151.0,62.5,170.2,352.6,196.4,168.1,135.8,87.9,0.0,127.8,93.6,213.0,144.7,132.0,224.6,50.6,208.8,75.6,169.8,83.8,270.9,324.9,145.6,136.8,91.5,125.9,152.3,152.6,126.1,189.9,53.7,310.6,164.4,238.8,107.9,191.0,1372.9,36.8,214.6,155.5,204.4,82.7,142.2,170.4,147.6,293.1,147.9,89.9,124.9,24.9,188.6,73.6,25.4,38.0,112.8,272.6,67.2,126.8,176.7,199.0,159.4,183.3,105.5,289.8,105.8,160.2,116.8,83.5,249.9,47.5,124.2,162.2,273.8,175.0,42.0,194.1,78.6,196.6,211.4,131.7,145.5,128.8,105.9,101.2,266.9,229.2,285.2,144.1,239.0,39.6,238.9,56.1
IB,261.5,224.5,152.4,144.8,153.7,224.3,256.1,191.4,165.6,144.3,170.1,197.4,416.9,238.6,245.2,99.3,186.8,413.8,204.7,108.1,232.4,104.7,78.5,135.0,425.3,349.3,165.2,98.1,104.3,263.9,175.4,171.4,297.9,200.6,171.9,252.4,73.1,112.4,0.0,129.0,187.1,150.4,219.7,339.4,163.5,160.0,146.9,191.1,181.3,383.4,464.3,206.5,164.7,189.1,238.8,265.2,265.5,71.4,211.1,118.8,255.9,277.3,212.2,18.0,303.9,1485.8,149.3,327.1,270.3,317.3,160.2,255.1,130.0,116.1,406.0,260.8,93.3,69.0,137.4,301.5,170.7,120.9,150.9,172.8,385.5,180.1,140.1,289.6,311.9,107.3,134.9,153.0,402.3,177.9,164.0,85.3,139.1,228.9,160.4,237.1,278.4,224.4,214.1,139.5,198.7,191.5,184.6,323.9,158.1,258.0,241.3,50.8,85.5,379.4,203.3,398.1,16.6,203.3,116.7,351.4,141.6
IM,126.7,162.0,134.6,82.3,114.8,166.2,121.3,95.0,103.1,38.8,53.4,150.5,282.1,237.7,110.2,95.7,90.4,279.0,201.1,45.6,200.0,23.3,74.9,46.8,290.5,214.5,68.8,86.3,97.4,129.1,121.4,108.9,294.3,138.1,109.4,113.9,100.5,80.2,104.1,0.0,154.7,86.0,110.1,204.6,19.6,150.1,18.9,111.5,81.6,248.6,302.6,123.3,81.1,69.6,104.0,130.4,106.2,67.8,135.4,134.0,252.3,136.5,180.5,122.2,169.1,1351.0,95.6,192.3,133.6,182.5,33.1,120.3,111.7,88.9,271.2,126.0,64.9,74.5,83.4,166.7,92.1,105.1,96.9,90.5,250.7,40.9,68.5,154.8,177.1,97.4,125.0,56.6,267.5,83.9,107.5,58.5,10.9,197.2,87.3,110.7,140.3,215.1,153.1,121.7,136.2,56.7,138.3,189.1,66.0,123.2,106.5,115.2,42.9,244.6,170.9,263.3,87.4,180.7,80.9,216.6,47.7
IU,198.3,63.6,259.6,106.5,64.0,57.8,192.9,71.4,61.6,189.8,203.2,250.2,353.7,111.4,182.0,177.1,132.2,322.8,130.9,116.4,45.2,130.1,156.3,185.6,362.1,286.1,116.1,198.5,214.8,200.7,274.2,50.3,224.1,16.5,79.4,189.2,209.0,230.8,185.5,154.4,0.0,92.1,109.9,248.4,170.6,100.3,172.3,54.9,230.6,243.3,401.1,96.7,106.4,171.5,146.2,198.0,206.3,149.2,92.9,256.1,213.9,236.6,45.7,203.6,240.7,1393.3,246.3,263.9,207.1,254.1,158.1,191.9,121.3,116.7,342.8,197.6,179.9,167.4,251.9,238.3,241.1,228.1,247.9,155.2,294.5,194.3,112.0,226.4,248.7,127.9,75.2,117.5,339.1,160.3,78.0,151.1,164.5,62.4,240.7,233.6,215.2,60.3,92.7,246.7,80.5,197.6,66.1,260.7,140.5,124.1,178.1,185.6,137.0,316.2,16.1,334.9,168.8,105.7,205.9,260.4,205.8
JH,154.8,104.9,178.3,7.2,57.7,110.1,149.4,64.8,46.0,115.3,125.5,161.1,310.2,180.6,138.3,129.1,42.2,307.1,160.6,41.9,142.9,48.8,101.5,90.5,318.6,242.6,17.2,112.9,124.0,157.2,192.9,54.8,260.6,81.0,52.3,135.2,120.6,156.3,130.7,72.0,97.6,0.0,93.1,225.9,89.3,102.8,97.8,71.5,151.9,269.9,323.9,73.1,11.6,90.2,132.1,174.4,116.3,94.4,91.5,174.5,243.6,146.6,123.4,155.6,197.2,1379.1,165.3,213.6,161.7,210.6,76.8,148.4,46.4,62.0,299.3,154.1,93.6,118.6,177.4,194.8,164.2,148.8,166.6,73.9,278.8,113.0,37.5,182.9,205.2,83.1,77.7,54.5,295.6,79.0,50.4,102.6,89.8,134.5,159.4,152.3,168.4,158.0,101.3,172.2,87.7,116.3,81.2,217.2,63.5,125.9,134.6,129.7,76.3,272.7,113.8,291.4,114.0,130.4,131.4,237.9,117.4
JQ,88.3,129.1,226.7,99.0,88.6,134.3,82.9,38.7,70.8,140.1,92.4,131.4,243.7,204.8,72.0,187.8,69.3,240.6,209.5,118.2,155.5,115.4,167.0,152.7,252.1,176.1,67.7,178.4,189.5,90.7,159.4,100.7,302.7,93.6,61.5,75.5,192.6,181.5,196.2,103.6,110.2,91.7,0.0,166.2,120.9,135.2,122.6,55.2,120.6,210.2,264.2,13.1,80.0,109.1,61.6,88.0,96.2,159.9,57.8,233.2,292.5,126.5,131.8,214.3,130.7,1312.6,111.3,153.9,95.2,144.1,125.2,81.9,144.0,138.7,232.8,87.6,157.0,166.6,177.6,128.3,131.1,195.2,134.9,92.8,212.3,144.6,104.9,116.4,138.7,163.3,110.1,54.6,229.1,97.9,81.3,150.6,114.6,148.5,101.2,122.6,101.9,170.6,100.0,213.8,61.6,71.9,130.1,150.7,82.4,80.8,68.1,185.1,135.0,206.2,126.4,224.9,179.5,172.5,173.0,178.2,156.1
JU,161.6,218.0,246.2,301.3,269.3,212.8,138.2,218.8,284.0,257.9,180.7,219.7,104.8,142.3,85.3,294.8,207.1,74.3,192.8,309.2,177.0,242.4,254.1,265.9,130.4,148.0,227.3,350.9,306.2,146.0,247.7,250.6,286.0,238.9,282.9,82.3,358.6,244.6,328.8,219.0,222.3,295.6,180.0,0.0,238.7,222.3,201.0,277.3,208.9,113.6,122.4,193.2,237.0,189.8,173.9,180.3,184.5,260.3,275.5,312.5,272.6,214.8,201.5,346.9,235.3,1320.1,199.6,94.5,63.9,199.4,252.2,155.2,256.3,289.0,178.9,71.2,329.5,316.7,239.7,33.4,219.4,270.4,223.2,210.7,46.0,236.7,259.6,189.7,122.6,264.4,247.4,232.2,175.2,204.1,277.0,300.7,208.5,184.8,189.5,210.9,154.2,161.9,247.1,267.0,263.1,160.2,223.9,206.0,224.0,193.1,141.4,327.8,286.6,178.1,206.1,151.7,312.1,181.3,286.2,11.9,266.8
JV,156.7,169.6,115.5,89.9,122.4,175.4,151.3,102.6,110.7,19.1,96.4,123.7,312.1,245.3,140.4,103.3,98.0,309.0,208.7,53.2,207.6,30.9,82.5,68.2,320.5,244.5,76.4,91.1,107.4,159.1,101.7,116.5,301.9,145.7,117.0,147.6,107.5,60.5,111.7,31.0,162.3,95.5,130.9,234.6,0.0,157.7,48.9,119.1,80.9,278.6,359.5,117.7,86.1,99.6,134.0,160.4,172.1,75.4,143.0,114.3,259.9,203.6,188.1,129.8,199.1,1381.0,75.6,222.3,165.5,212.5,40.7,150.3,127.7,96.5,301.2,156.0,72.5,82.4,63.7,196.7,133.8,84.0,77.2,84.0,280.7,70.9,76.1,184.8,207.1,105.0,132.6,64.2,297.5,89.1,109.1,66.1,41.1,204.8,86.7,163.4,173.6,222.7,159.2,102.6,143.8,86.7,145.9,219.1,69.3,153.2,136.5,100.6,50.5,274.6,178.5,293.3,95.0,200.1,88.5,246.6,35.1
JW,220.1,123.3,258.6,93.5,46.9,117.5,214.7,127.9,85.9,188.8,206.6,261.6,375.5,132.1,203.8,150.0,143.1,318.5,98.2,129.2,125.6,129.1,127.3,184.6,383.9,307.9,124.8,171.4,187.7,222.5,285.6,82.0,191.4,94.2,74.2,211.0,181.9,229.8,158.4,153.4,80.3,100.8,131.7,244.1,169.6,0.0,171.3,111.4,234.0,239.0,422.9,118.5,115.1,182.9,185.7,219.8,217.2,133.5,131.4,229.0,181.2,247.5,105.4,176.5,262.5,1389.0,245.3,285.7,228.9,275.9,157.1,213.7,94.2,89.6,364.6,219.4,152.8,140.3,250.9,260.1,244.5,227.1,246.9,166.6,290.2,193.3,123.4,248.2,270.5,100.8,25.0,139.3,360.9,171.7,60.9,124.0,163.5,122.1,239.7,245.0,237.0,140.7,134.4,245.7,119.0,209.0,77.8,282.5,151.9,163.6,199.9,158.5,109.9,338.0,96.5,356.7,141.7,96.8,204.9,256.1,204.8
KA,107.7,163.2,152.6,100.3,132.8,168.4,102.3,113.0,121.1,56.8,34.4,100.5,263.1,238.9,91.2,113.7,89.8,260.0,219.1,63.6,218.0,41.3,92.9,72.2,271.5,195.5,86.8,104.3,115.4,110.1,139.4,129.9,312.3,156.1,127.4,94.9,118.5,97.8,122.1,17.9,172.7,104.0,91.1,185.6,37.6,168.1,0.0,129.5,62.6,229.6,289.6,104.3,96.5,50.6,85.0,111.4,87.2,85.8,149.0,152.0,270.3,117.5,198.5,140.2,150.1,1332.0,53.3,173.3,114.6,163.5,51.1,101.3,129.7,106.9,252.2,107.0,82.9,92.8,79.5,147.7,73.1,121.1,114.9,71.5,231.7,41.0,86.5,135.8,158.1,115.4,143.0,64.8,248.5,64.9,125.5,76.5,7.5,209.6,87.4,91.7,121.3,233.1,134.1,139.7,152.8,37.7,156.3,170.1,90.4,104.2,87.5,106.1,60.9,225.6,188.9,244.3,105.4,198.7,98.9,197.6,72.8
KE,143.3,80.2,219.7,66.6,64.9,86.0,137.9,16.5,15.5,148.0,148.2,195.7,298.7,155.9,127.0,163.7,77.2,295.6,171.8,76.5,100.2,90.2,142.9,145.7,307.1,231.1,75.6,151.5,167.8,145.7,219.7,63.0,265.0,38.3,39.5,134.2,162.0,189.4,172.1,112.6,54.9,52.2,54.9,221.2,128.8,111.5,130.5,0.0,175.6,265.2,346.1,41.7,66.5,117.0,108.9,143.0,151.3,135.8,59.9,209.1,254.8,181.6,98.0,190.2,185.7,1367.6,166.6,208.9,152.1,199.1,118.2,136.9,114.2,103.4,287.8,142.6,132.9,142.8,210.1,183.3,186.1,188.2,206.1,100.7,267.3,152.5,72.1,171.4,193.7,124.3,86.4,62.5,284.1,105.8,51.6,126.5,122.7,114.7,156.2,179.1,160.2,115.3,69.8,206.8,54.4,143.1,92.4,205.7,86.0,86.8,123.1,161.0,110.9,261.2,71.1,279.9,155.4,146.6,166.0,233.2,164.0
KJ,120.7,176.2,37.2,154.3,192.8,180.4,115.3,142.9,175.0,61.9,29.3,81.7,276.1,251.9,104.4,161.5,102.8,273.0,266.9,111.4,259.7,89.1,140.7,102.0,284.5,208.5,123.0,102.9,91.1,123.1,52.6,174.7,360.1,197.8,165.7,107.9,119.4,31.8,159.3,65.7,214.4,140.2,104.1,198.6,81.1,215.9,47.7,159.4,0.0,242.6,302.6,117.3,132.7,63.6,98.0,124.4,100.2,133.6,162.0,85.6,318.1,130.5,235.8,139.8,163.1,1345.0,8.5,186.3,127.6,176.5,98.9,114.3,177.5,167.2,265.2,120.0,121.8,140.3,40.8,160.7,10.4,55.3,28.1,84.5,244.7,39.3,133.4,148.8,171.1,163.2,190.8,112.6,261.5,77.9,179.5,124.3,55.2,246.9,19.6,104.7,134.3,274.8,147.1,73.9,165.8,50.7,204.1,183.1,97.8,117.2,100.5,137.8,108.7,238.6,230.6,257.3,153.2,246.5,71.1,210.6,79.1
KK,192.7,200.0,277.3,283.3,251.3,194.2,169.3,275.8,266.0,289.0,211.8,250.8,185.6,124.3,116.3,276.8,238.2,155.1,174.8,291.2,159.0,287.8,236.1,297.0,211.2,179.1,301.6,332.9,344.0,177.1,278.8,232.6,268.0,220.9,264.9,113.4,340.6,277.6,310.8,250.1,204.3,277.6,211.1,80.7,269.8,204.3,232.1,259.3,240.0,0.0,197.2,224.3,291.9,220.9,205.0,211.4,215.6,242.3,257.5,343.6,254.6,245.9,183.5,328.9,266.4,1302.1,230.7,125.6,95.0,230.5,283.3,186.3,235.7,271.0,210.0,102.3,311.5,299.0,270.8,64.5,250.5,301.5,254.3,241.8,126.8,267.8,297.5,220.8,153.7,246.4,229.4,263.3,206.3,235.2,259.0,282.7,239.6,166.8,220.6,242.0,185.3,143.9,229.1,298.1,245.1,191.3,205.9,237.1,260.7,260.5,172.5,309.8,268.6,209.2,188.1,202.1,294.1,163.3,317.3,104.9,297.9
LO,160.7,320.4,339.9,352.3,370.0,314.5,240.6,312.5,384.7,345.6,268.4,307.4,49.1,243.0,187.7,391.2,294.8,80.6,293.5,409.9,273.4,336.1,354.8,353.6,9.6,161.2,321.0,393.1,393.9,248.4,335.4,353.0,386.7,339.6,329.3,178.7,407.3,334.6,425.2,306.7,323.0,332.2,267.7,96.3,328.1,323.0,288.7,323.0,296.6,210.0,0.0,280.9,324.7,277.5,261.6,268.0,272.2,361.0,371.9,400.2,373.3,302.5,297.9,449.3,291.0,1393.7,289.3,128.9,160.3,300.1,339.9,170.5,352.7,385.4,136.4,167.6,425.9,417.7,329.1,129.8,313.1,358.1,310.9,304.4,56.1,330.4,353.3,234.6,115.8,360.8,348.1,321.6,82.4,297.8,384.0,401.4,296.2,291.1,283.2,304.6,147.4,264.3,347.8,360.7,359.5,249.6,320.3,306.7,323.3,280.8,185.6,453.8,387.3,185.3,306.8,35.2,408.5,277.7,373.9,90.3,354.5
LP,101.5,119.2,213.5,85.8,75.4,123.4,96.1,25.5,57.6,126.9,105.6,166.8,256.9,194.9,85.0,174.6,56.1,253.8,196.3,105.0,142.3,102.2,153.8,133.1,265.3,189.3,54.5,165.2,176.3,103.9,198.6,90.5,289.5,80.4,48.3,88.7,179.4,168.3,183.0,90.4,97.0,78.5,13.1,179.4,107.7,122.0,109.4,42.0,133.8,223.4,277.4,0.0,64.2,95.9,74.8,101.2,130.2,146.7,52.1,220.0,279.3,160.5,126.1,201.1,143.9,1325.8,124.5,167.1,108.4,157.3,112.0,95.1,130.8,125.5,246.0,100.8,145.9,153.7,189.0,141.5,144.3,184.0,148.1,79.6,225.5,131.4,91.7,129.6,151.9,146.4,96.9,41.4,242.3,84.7,68.1,137.4,101.4,137.2,114.4,158.0,115.1,157.4,90.1,200.6,64.5,122.0,116.9,163.9,64.9,92.8,81.3,194.1,121.8,219.4,113.2,238.1,166.3,159.3,159.8,191.4,142.9
LR,140.5,119.2,192.6,21.5,72.0,124.4,135.1,50.5,57.7,116.7,116.2,159.2,295.9,194.9,124.0,136.6,27.9,292.8,174.9,49.4,157.2,63.1,115.8,104.8,304.3,228.3,9.7,124.6,138.3,142.9,188.4,69.1,265.5,95.3,66.6,130.3,134.9,160.7,145.0,80.2,111.9,7.5,81.4,218.4,97.5,117.1,99.2,67.0,144.4,262.4,320.7,65.6,0.0,88.3,117.8,168.9,102.0,108.7,90.9,179.4,257.9,132.3,137.7,160.5,185.5,1364.8,135.1,206.1,147.4,196.3,91.1,136.7,66.5,76.3,285.0,139.8,107.9,132.9,178.8,180.5,154.9,163.1,174.8,69.4,264.5,121.2,42.4,168.6,190.9,97.4,92.0,40.2,281.3,74.5,64.7,116.9,91.2,148.8,125.0,147.8,154.1,172.3,106.2,177.1,94.7,111.8,95.5,202.9,59.0,117.8,120.3,144.0,81.2,258.4,128.1,277.1,128.3,135.3,136.3,230.4,125.6
LT,96.0,151.5,115.3,114.9,147.4,155.7,90.6,114.2,135.7,122.9,49.8,70.8,251.4,227.2,79.5,170.6,78.1,248.3,250.3,94.6,231.0,108.3,149.8,129.1,259.8,183.8,88.0,161.2,172.3,98.4,102.6,144.5,343.5,169.1,137.0,83.2,175.4,163.9,179.0,86.4,185.7,112.0,79.4,173.9,103.7,194.0,105.4,130.7,78.0,217.9,273.6,92.6,97.7,0.0,73.3,99.7,101.3,142.7,137.3,181.6,333.3,113.1,211.1,197.1,138.4,1320.3,68.7,161.6,102.9,151.8,108.0,89.6,162.5,103.5,240.5,95.3,139.8,149.7,109.1,136.0,88.5,178.0,136.6,20.8,220.0,127.4,69.7,124.1,146.4,128.1,168.9,66.0,236.8,14.2,140.1,133.4,97.4,227.8,58.6,62.0,109.6,246.1,122.4,196.6,149.7,26.0,170.9,158.4,34.1,92.5,75.8,160.5,117.8,213.9,201.9,232.6,162.3,213.3,155.8,185.9,138.9
