from_stop,AC,AZ,BB,BP,CP,CR,CT,CU,DL,EB,EI,EJ,EP,ET,FC,FJ,GB,GE,GG,GN,HJ,HV,II,IL,IW,JC,JG,KE,KQ,KX,LB,LG,MS,MT,NF,NZ,OA,OD,ON,PN,PQ,PR,PU,QD,QP,RA,RF,RO,RQ,SI,SL,SM,TA,TC,TL,UE,UF,UL,UZ,WD,WE,XA,XL,YA,YL,YT,YW,YZ,ZE,ZF,ZI
RF,352.0,375.9,291.8,260.4,455.7,285.3,86.0,198.8,242.8,542.5,698.4,209.3,416.1,164.0,579.1,169.1,178.9,539.5,142.9,296.3,279.8,501.3,418.6,309.1,565.8,230.3,61.9,400.2,203.7,104.1,382.4,48.5,540.9,126.5,493.3,198.1,366.1,447.5,416.8,107.6,328.9,456.6,490.0,368.4,219.7,69.8,0.0,193.4,212.5,204.0,2703.1,461.5,395.7,528.9,182.0,418.5,478.6,597.1,495.5,200.7,89.3,381.9,499.9,298.4,170.0,251.7,634.2,567.9,216.8,505.9,181.2
RO,235.4,261.8,67.7,42.8,162.3,436.3,193.3,119.9,118.6,249.1,405.0,94.5,406.0,231.6,285.7,34.2,114.9,346.0,193.6,161.6,188.1,198.8,125.2,217.4,395.3,249.7,132.0,289.4,311.0,211.4,439.9,176.1,247.5,171.8,199.9,112.4,437.4,154.1,223.3,184.1,176.1,263.1,391.2,174.9,84.1,177.1,189.3,0.0,120.8,99.8,2762.2,168.1,281.6,235.5,200.2,125.1,185.2,303.7,202.1,218.9,198.5,88.5,314.4,206.7,178.4,160.0,340.8,274.5,64.0,305.3,161.2
RQ,136.9,156.9,108.7,77.3,272.6,289.7,72.4,115.1,159.6,359.4,515.3,26.2,298.9,208.7,396.0,85.9,43.5,456.3,72.7,113.2,67.2,309.1,235.5,96.5,505.6,128.8,45.4,399.7,190.2,90.5,266.1,155.6,357.8,95.2,310.2,8.4,370.5,264.4,333.6,63.2,247.1,373.4,372.8,285.2,36.6,56.2,102.7,110.2,0.0,20.9,2641.3,278.4,183.1,345.8,107.6,228.6,295.5,414.0,312.4,126.3,122.5,198.8,424.7,85.8,57.5,50.7,451.1,384.8,133.6,415.6,156.4
SI,157.9,177.9,87.7,56.3,251.6,310.7,93.4,94.1,138.6,338.4,494.3,5.2,319.9,184.8,375.0,64.9,15.0,435.3,93.7,92.2,88.2,288.1,214.5,117.5,484.6,149.8,32.1,378.7,211.2,111.5,287.1,127.1,336.8,81.9,289.2,12.5,391.5,243.4,312.6,84.2,226.1,352.4,480.5,264.2,15.6,84.2,89.4,89.2,20.9,0.0,2662.3,257.4,204.1,324.8,100.3,207.6,274.5,393.0,291.4,119.0,98.6,177.8,403.7,106.8,78.5,60.1,430.1,363.8,112.6,394.6,135.4
SL,2530.2,2550.2,2549.2,2517.8,2713.1,2622.0,2375.3,2555.6,2600.1,2799.9,2894.0,2466.7,2631.2,2530.1,2836.5,2526.4,2484.0,2896.8,2442.1,2551.7,2460.5,2749.6,2676.0,2489.8,2780.9,2427.8,2485.9,2736.9,2411.3,2356.6,2598.4,2552.7,2798.3,2470.1,2750.7,2448.8,2662.9,2704.9,2774.1,2456.5,2687.6,2813.9,2705.1,2725.7,2477.1,2397.7,2477.9,2550.7,2440.4,2461.4,0.0,2718.9,2576.4,2786.3,2459.6,2669.1,2736.0,2854.5,2752.9,2478.2,2455.4,2639.3,2711.9,2479.1,2426.5,2464.0,2891.6,2763.5,2574.1,2721.0,2547.3
SM,375.2,395.2,207.5,182.6,150.5,396.7,333.1,259.7,258.4,237.3,365.4,234.3,366.4,371.4,273.9,174.0,254.7,306.4,333.4,301.4,327.9,219.9,35.7,357.2,355.7,389.5,271.8,249.8,450.9,351.2,399.2,366.8,235.7,321.6,160.3,252.2,397.8,142.3,211.5,323.9,272.7,251.3,351.6,163.1,223.9,323.9,329.1,148.5,260.6,239.6,2902.0,0.0,421.4,195.9,340.0,139.4,173.4,291.9,162.5,358.7,338.3,76.7,274.8,346.5,318.2,299.8,329.0,234.9,159.2,265.7,301.0
TA,36.2,86.9,237.2,205.8,401.1,395.5,215.6,243.6,288.1,487.9,643.8,194.6,404.7,355.3,524.5,214.4,213.9,584.8,215.9,97.6,113.5,437.6,364.0,84.2,634.1,272.0,208.0,528.2,333.4,233.7,371.9,326.0,486.3,244.6,438.7,178.7,476.3,392.9,462.1,144.4,375.6,501.9,478.6,413.7,184.2,206.4,252.1,238.7,170.3,191.3,2784.5,406.9,0.0,474.3,250.8,357.1,424.0,542.5,440.9,269.5,271.9,327.3,553.2,94.9,200.7,175.9,579.6,513.3,262.1,544.1,284.9
TC,451.7,471.7,284.0,259.1,227.0,394.4,409.6,336.2,334.9,313.8,363.1,310.8,364.1,447.9,350.4,250.5,331.2,304.1,409.9,377.9,404.4,296.4,142.1,433.7,353.4,466.0,348.3,247.5,527.4,427.7,396.9,443.3,312.2,398.1,158.0,328.7,395.5,218.8,288.0,400.4,349.2,327.8,349.3,239.6,300.4,393.4,405.6,225.0,337.1,316.1,2978.5,185.0,497.9,0.0,416.5,215.9,249.9,368.4,206.6,435.2,414.8,153.2,272.5,423.0,394.7,376.3,405.5,232.6,235.7,263.4,377.5
TL,196.7,216.7,206.0,174.6,369.9,287.2,87.9,212.4,256.9,456.7,559.2,123.5,296.4,228.4,493.3,183.2,140.8,553.6,47.4,210.5,127.0,406.4,332.8,156.3,446.1,28.2,76.0,402.1,205.7,106.0,263.6,197.5,455.1,114.9,407.5,103.1,368.0,361.7,430.9,109.5,344.4,470.7,370.3,382.5,133.9,78.7,83.6,207.5,106.9,118.2,2656.8,375.7,242.9,443.1,0.0,325.9,392.8,511.3,409.7,33.1,142.2,296.1,377.1,145.6,50.3,99.3,548.4,428.7,230.9,386.2,245.6
UE,319.4,343.3,149.2,124.3,145.1,424.4,280.1,201.4,200.1,231.9,387.8,176.0,388.8,313.1,268.5,121.0,196.4,328.8,244.0,243.1,269.6,89.6,113.3,298.9,378.1,331.2,218.8,272.2,392.5,298.2,422.5,257.6,230.3,264.0,182.7,187.9,425.5,136.9,211.4,265.6,218.3,251.2,374.0,163.0,165.6,258.6,393.2,90.2,202.3,181.3,2843.7,150.9,363.1,218.3,281.7,0.0,168.0,286.5,184.9,300.4,280.0,71.3,294.1,288.2,259.9,241.5,328.9,257.3,106.2,288.1,242.7
UF,395.5,415.5,227.8,202.9,24.3,464.8,353.4,280.0,278.7,162.2,433.5,254.6,434.5,391.7,198.8,194.3,275.0,374.5,353.7,321.7,348.2,240.2,153.7,377.5,423.8,409.8,292.1,317.9,471.2,371.5,467.3,387.1,160.6,341.9,228.4,272.5,465.9,85.6,154.8,344.2,293.0,176.2,419.7,88.0,244.2,344.2,349.4,168.8,280.9,259.9,2922.3,196.6,441.7,264.0,360.3,159.7,0.0,216.8,230.6,379.0,358.6,91.5,342.9,366.8,338.5,320.1,253.9,303.0,179.5,333.8,321.3
UL,514.1,534.1,346.4,321.5,164.0,583.4,472.0,398.6,397.3,80.2,552.1,373.2,553.1,510.3,160.0,312.9,393.6,493.1,472.3,440.3,466.8,358.8,272.3,496.1,542.4,528.4,410.7,436.5,589.8,490.1,585.9,505.7,121.8,460.5,347.0,391.1,584.5,204.2,273.4,462.8,411.6,94.2,538.3,110.9,362.8,462.8,468.0,287.4,399.5,378.5,3040.9,315.2,560.3,382.6,478.9,278.3,186.9,0.0,349.2,497.6,477.2,210.1,461.5,485.4,457.1,438.7,177.9,421.6,298.1,452.4,439.9
UZ,414.9,434.9,247.2,222.3,190.2,384.0,372.8,299.4,298.1,277.0,352.7,274.0,353.7,411.1,313.6,213.7,294.4,293.7,373.1,341.1,367.6,259.6,105.3,396.9,343.0,429.2,311.5,237.1,490.6,390.9,386.5,406.5,275.4,361.3,147.6,291.9,385.1,182.0,251.2,363.6,312.4,291.0,338.9,202.8,263.6,363.6,368.8,188.2,300.3,279.3,2941.7,148.2,461.1,183.2,379.7,179.1,213.1,331.6,0.0,398.4,378.0,116.4,262.1,386.2,357.9,339.5,368.7,222.2,198.9,253.0,340.7
WD,198.0,224.4,207.3,175.9,371.2,288.5,89.2,213.7,258.2,458.0,560.5,124.8,297.7,190.9,494.6,184.5,142.1,554.9,48.7,211.8,128.3,416.8,334.1,157.6,447.4,64.0,77.3,403.4,206.9,107.3,263.8,95.8,456.4,67.4,408.8,104.4,369.3,363.0,432.2,110.8,344.3,472.0,371.6,383.8,135.2,73.0,207.6,208.8,108.2,119.5,2658.1,377.0,244.2,444.4,35.7,327.2,394.1,512.6,411.0,0.0,104.7,297.4,378.4,146.9,51.6,100.6,549.7,430.0,232.2,387.5,208.1
WE,260.1,280.1,202.4,171.0,366.3,331.2,160.1,120.9,253.3,453.1,609.0,119.9,340.4,86.1,489.7,179.6,89.5,550.0,67.2,206.9,190.4,402.8,329.2,219.7,490.1,140.9,134.3,493.4,135.3,154.3,307.6,32.0,451.5,33.4,403.9,108.7,412.0,358.1,427.3,186.4,339.4,467.1,414.3,378.9,130.3,115.7,136.0,203.9,123.1,114.6,2677.7,372.1,306.3,439.5,106.3,322.3,389.2,507.7,406.1,125.0,0.0,292.5,421.1,209.0,94.3,162.3,544.8,478.5,227.3,509.3,103.3
XA,303.9,323.9,136.2,111.3,73.7,373.2,261.8,188.4,187.1,160.5,341.9,163.0,342.9,300.1,197.1,102.7,183.4,282.9,262.1,230.1,256.6,148.6,62.1,285.9,332.2,318.2,200.5,226.3,379.6,279.9,375.7,295.5,158.9,250.3,136.8,180.9,374.3,65.5,134.7,252.6,201.4,174.5,328.1,86.3,152.6,252.6,257.8,77.2,189.3,168.3,2830.7,105.0,350.1,172.4,268.7,68.1,96.6,215.1,139.0,287.4,267.0,0.0,251.3,275.2,246.9,228.5,252.2,211.4,87.9,242.2,229.7
XL,406.3,430.2,362.9,338.0,305.9,121.8,353.6,415.1,410.7,392.7,182.0,378.9,91.5,481.2,429.3,329.4,396.2,316.5,345.3,425.3,334.1,384.4,217.9,363.4,80.8,399.1,364.5,24.9,471.3,371.7,125.2,383.0,391.1,365.3,165.3,367.0,122.9,297.7,363.8,313.0,426.7,403.6,76.7,315.4,379.3,344.4,472.0,300.8,352.6,373.6,2931.8,263.9,450.0,252.5,370.8,301.6,328.8,447.3,285.5,389.5,391.9,232.1,0.0,352.7,320.7,376.2,481.3,51.5,314.6,9.1,456.4
YA,51.0,71.0,184.1,152.7,348.0,300.5,120.6,190.5,235.0,434.8,590.7,101.6,309.7,263.1,471.4,161.3,118.9,531.7,120.9,72.5,18.6,384.5,310.9,10.6,459.4,177.0,113.0,475.1,238.4,138.7,276.9,231.0,433.2,149.6,385.6,83.7,381.3,339.8,409.0,49.4,322.5,448.8,383.6,360.6,112.0,104.4,157.1,185.6,75.3,96.3,2689.5,353.8,97.2,421.2,155.8,304.0,370.9,489.4,387.8,174.5,176.9,274.2,390.4,0.0,105.7,80.9,526.5,460.2,209.0,399.5,231.8
YL,146.3,166.3,173.7,142.3,337.6,236.8,37.5,180.1,224.6,424.4,508.8,91.2,246.0,157.3,461.0,150.9,108.5,521.3,15.1,178.2,76.6,374.1,300.5,105.9,395.7,93.9,43.7,351.7,155.3,55.6,213.2,126.4,422.8,43.8,375.2,70.8,317.6,329.4,398.6,59.1,312.1,438.4,319.9,350.2,101.6,28.3,51.3,175.2,79.2,85.9,2606.4,343.4,192.5,410.8,50.0,293.6,360.5,479.0,377.4,68.7,71.1,263.8,326.7,95.2,0.0,67.0,516.1,378.3,198.6,335.8,174.5
YT,129.7,149.7,146.7,115.3,310.6,300.5,83.2,153.1,197.6,397.4,553.3,64.2,309.7,195.3,434.0,123.9,81.5,494.3,83.5,151.2,60.0,347.1,273.5,89.3,543.6,139.6,32.0,437.7,201.0,101.3,276.9,164.4,395.8,81.8,348.2,43.8,381.3,302.4,371.6,56.0,285.1,411.4,383.6,323.2,74.6,74.0,89.3,148.2,52.2,58.9,2652.1,316.4,175.9,383.8,100.2,266.6,333.5,452.0,350.4,118.9,109.1,236.8,462.7,78.6,68.3,0.0,489.1,422.8,171.6,453.6,194.4
YW,537.7,561.6,367.5,342.6,185.1,604.5,493.1,419.7,418.4,127.3,573.2,394.3,574.2,531.4,181.1,334.0,414.7,514.2,493.4,461.4,487.9,379.9,293.4,517.2,563.5,549.5,431.8,457.6,610.8,511.2,608.1,475.9,142.9,481.6,368.1,412.2,605.6,225.3,294.5,483.9,431.3,141.3,559.4,132.0,383.9,476.9,489.1,308.5,420.6,399.6,3062.0,336.3,581.4,403.7,500.0,306.2,208.0,181.9,370.3,518.7,498.3,231.2,482.6,506.5,478.2,459.8,0.0,442.7,319.2,473.5,461.0
YZ,455.4,475.4,303.0,278.1,246.0,173.4,428.6,355.2,353.9,332.8,130.4,329.8,143.1,466.9,369.4,269.5,350.2,259.7,387.5,396.9,385.7,315.4,161.1,415.0,132.4,485.0,367.3,26.5,546.4,446.7,175.9,462.3,331.2,416.2,105.4,347.7,174.5,237.8,307.0,364.6,368.2,346.8,128.3,258.6,319.4,412.4,423.7,244.0,356.1,335.1,2983.4,204.0,501.6,192.6,422.4,234.9,268.9,387.4,225.6,441.1,433.8,172.2,51.5,404.3,372.3,395.3,424.5,0.0,254.7,42.4,396.5
ZE,241.3,265.2,71.1,46.2,183.0,457.0,196.7,123.3,122.0,269.8,425.7,97.9,426.7,235.0,306.4,37.6,118.3,366.7,197.0,165.0,191.5,219.5,145.9,220.8,416.0,253.1,135.4,310.1,314.4,214.8,460.4,179.5,268.2,185.9,220.6,115.8,458.1,174.8,244.0,187.5,112.0,283.8,411.9,195.6,87.5,180.5,192.7,64.0,124.2,103.2,2765.6,188.8,285.0,256.2,203.6,145.8,205.9,324.4,222.8,222.3,201.9,109.2,332.0,210.1,181.8,163.4,361.5,295.2,0.0,326.0,164.6
ZF,412.9,432.9,353.8,328.9,296.8,130.9,362.7,406.0,404.7,383.6,172.9,380.6,100.6,487.2,420.2,320.3,401.0,310.5,345.0,434.4,343.2,366.2,211.9,372.5,89.9,408.2,373.6,15.8,480.5,380.8,133.4,456.3,382.0,373.7,156.2,370.1,132.0,288.6,357.8,322.1,419.0,397.6,85.8,309.4,370.2,346.5,381.2,294.8,361.7,382.7,2940.9,254.8,459.1,243.4,379.9,285.7,319.7,438.2,276.4,398.6,401.0,223.0,9.1,361.8,329.8,385.3,475.3,42.4,305.5,0.0,447.3
ZI,269.9,289.9,168.0,136.6,331.9,442.7,227.8,49.5,218.9,418.7,574.6,129.0,451.9,82.3,455.3,145.2,149.4,515.6,228.1,196.1,222.6,368.4,294.8,251.9,564.9,252.4,166.5,459.0,215.4,245.9,419.1,166.6,417.1,150.4,369.5,146.9,607.0,323.7,392.9,218.6,306.4,432.7,560.8,344.5,118.6,218.6,175.0,169.5,155.3,134.3,2757.7,337.7,316.1,405.1,217.8,287.9,354.8,473.3,371.7,236.5,111.4,258.1,484.0,241.2,212.9,194.5,510.4,444.1,192.9,474.9,0.0
