from_stop,AA,AL,AO,AY,BD,BF,BN,BQ,BU,CI,CP,CY,DA,DB,DI,DS,DV,DW,DY,EH,FD,FG,FL,FV,FY,GK,GO,GT,HD,HF,HH,HI,HT,HZ,IE,IL,IP,IV,JR,JW,KF,KJ,KN,KZ,LA,LC,LG,LH,LW,MD,ME,MI,MP,MS,MY,ND,NH,NM,NS,NT,NV,OA,OT,PB,PS,PT,QA,QE,QN,QO,QQ,QY,RB,RE,RF,RN,RS,SB,SD,SP,SR,TM,TN,TX,UB,UC,UK,UR,VJ,VM,VO,VP,VV,WI,WM,WN,WW,WX,XD,XJ,XM,XO,YJ,YP,YT,YZ,ZJ,ZV
HH,278.9,128.3,207.4,183.9,50.0,84.4,194.6,176.9,150.0,67.3,105.6,62.9,127.7,80.1,171.7,114.8,76.8,169.1,83.7,47.2,9.8,83.7,201.4,227.2,40.9,125.5,113.7,18.7,119.7,120.9,0.0,46.8,86.7,51.8,105.8,173.3,96.2,130.2,168.7,66.4,155.5,149.4,99.9,99.2,60.3,138.2,42.6,155.7,105.5,102.2,170.6,177.3,110.1,198.1,88.2,141.1,185.3,220.4,118.9,196.7,148.0,118.1,70.6,228.1,205.2,117.5,9.8,104.5,192.6,27.5,2338.3,159.9,70.6,112.3,105.2,106.4,146.9,67.9,104.2,115.2,88.9,16.6,94.0,126.4,106.8,130.8,191.9,114.0,51.5,208.4,225.1,151.3,246.9,145.6,94.6,109.4,140.4,141.5,83.5,56.6,185.8,57.2,187.3,189.0,101.7,58.8,88.3,148.9
HI,242.9,106.7,158.6,187.3,70.8,63.5,192.0,155.3,145.5,71.5,130.7,109.2,106.1,79.2,150.1,74.5,55.2,147.5,98.0,68.0,57.4,70.7,200.3,178.4,61.5,124.6,137.8,66.3,98.1,173.4,47.6,0.0,65.1,4.9,104.9,172.4,80.9,103.4,147.1,19.5,136.6,192.8,81.0,77.6,81.1,137.3,89.8,154.8,83.9,72.9,169.7,176.4,91.2,194.5,35.8,120.6,184.4,219.5,61.8,208.0,168.0,96.5,91.4,249.6,194.0,152.3,57.4,23.0,194.5,72.8,2323.0,141.0,49.0,158.6,104.3,152.7,145.1,88.7,82.6,113.5,135.2,52.9,74.0,90.9,81.4,159.1,191.0,15.6,72.3,205.8,176.3,129.7,225.3,124.0,136.1,62.5,186.7,140.6,73.5,102.9,184.9,80.5,165.7,188.1,80.1,79.6,116.6,130.0
HT,231.9,133.0,147.4,139.1,124.7,122.1,165.5,144.1,127.5,96.9,172.5,147.8,94.9,99.8,111.0,45.3,81.5,136.3,173.0,148.9,111.3,3.0,178.9,167.2,115.6,103.0,176.4,120.2,59.0,205.8,101.5,133.0,0.0,125.2,114.1,150.8,106.9,43.4,135.9,102.4,193.2,232.3,137.6,38.5,135.0,97.7,115.8,115.2,72.7,53.5,130.1,136.8,147.8,169.0,107.7,108.3,162.8,197.9,64.3,195.0,125.5,122.8,155.7,205.6,182.7,184.4,111.3,94.9,152.1,129.0,2349.0,197.6,37.8,197.2,64.7,191.3,106.4,152.6,17.4,74.7,173.8,109.3,89.4,83.1,52.2,197.7,151.4,87.5,126.2,179.3,165.1,156.0,186.2,112.8,162.1,77.9,225.3,119.0,50.7,141.5,163.3,131.9,154.5,166.5,68.9,133.5,155.2,186.6
HZ,250.9,114.5,166.4,195.1,78.6,73.3,199.8,163.1,156.9,65.9,141.7,117.0,113.9,87.0,157.9,82.3,63.0,155.3,142.0,75.8,65.2,69.9,208.3,186.2,69.5,132.4,145.6,74.1,105.9,175.0,55.4,7.7,72.9,0.0,112.7,180.2,75.9,98.4,154.9,14.5,144.4,200.6,88.8,85.4,88.9,145.1,84.8,162.6,91.7,88.4,177.5,184.2,99.0,203.3,43.6,127.3,192.2,227.3,56.8,214.0,154.9,104.3,99.2,257.4,212.1,153.6,65.2,30.8,199.5,82.9,2318.0,148.8,56.8,166.4,112.1,160.5,152.9,121.6,90.4,122.1,143.0,63.2,81.8,102.1,89.2,166.9,198.8,23.4,80.1,213.6,184.1,137.5,233.1,131.8,131.1,70.3,194.5,148.4,69.7,110.7,192.7,85.8,173.5,195.9,87.9,87.4,124.4,137.8
IE,182.7,143.6,164.0,140.5,137.9,50.4,103.6,206.4,81.3,165.4,100.8,76.1,157.2,18.7,205.0,71.4,92.1,198.6,171.6,139.3,96.0,111.6,120.6,183.8,113.7,82.1,104.7,87.1,153.0,104.1,105.8,113.4,114.6,118.4,0.0,92.5,175.4,155.3,198.2,133.0,94.4,137.8,65.9,132.5,148.2,65.0,148.5,71.3,95.2,131.7,86.2,92.9,76.1,107.1,74.2,170.6,180.4,144.2,125.8,169.0,104.6,133.4,84.0,151.9,171.2,112.7,96.0,90.5,107.6,78.3,2417.5,98.8,100.1,95.5,61.8,89.6,56.7,155.8,132.1,71.8,102.1,122.5,32.6,83.0,63.4,126.0,108.3,100.0,135.7,117.4,181.7,166.6,280.2,175.1,182.5,48.0,123.6,89.0,113.0,69.8,109.6,145.1,191.1,108.2,99.7,95.8,83.5,87.8
IL,141.0,225.0,161.2,121.3,186.1,113.8,61.9,229.4,21.6,221.4,120.5,118.5,181.7,100.1,196.6,104.0,173.5,237.2,219.8,183.3,159.4,144.2,28.1,181.0,177.0,43.9,112.4,150.5,198.2,107.2,162.9,176.8,147.2,181.8,90.5,0.0,227.0,190.7,182.5,196.4,97.5,135.7,97.8,177.7,196.4,55.5,196.7,41.8,74.4,171.5,56.7,63.4,87.6,65.4,137.6,208.4,138.7,102.5,207.2,127.3,85.4,214.8,147.4,110.2,108.4,148.4,159.4,153.9,78.7,141.7,2459.7,101.9,101.1,98.6,74.4,92.7,47.2,204.0,164.7,84.4,92.5,170.7,114.0,62.2,96.0,135.1,78.0,148.9,187.6,75.7,178.9,248.0,269.2,204.0,230.7,129.4,126.7,29.3,128.0,133.2,67.9,193.3,188.3,15.7,78.9,159.2,146.9,90.9
IP,308.2,86.9,223.7,252.4,77.5,158.8,252.9,220.4,197.4,127.4,130.4,157.3,171.2,156.5,109.7,139.6,120.3,212.6,86.5,41.9,100.1,135.8,251.7,243.5,68.2,176.0,137.5,109.0,163.2,221.5,90.3,90.3,130.2,95.3,182.2,223.8,0.0,130.9,212.2,109.9,231.9,241.0,176.3,142.7,111.3,192.0,104.1,209.5,149.0,138.0,224.4,236.3,186.5,256.4,164.6,185.7,282.7,322.4,89.3,273.1,224.4,76.7,98.1,314.7,281.6,170.0,100.1,180.9,246.4,115.5,2256.0,236.3,114.1,206.7,159.0,200.8,200.7,59.6,147.7,168.2,178.1,75.6,139.1,156.0,146.5,176.8,245.7,190.4,98.3,267.2,241.4,109.9,180.4,189.1,69.1,127.6,234.8,192.0,138.6,151.0,265.8,67.8,230.8,239.5,145.2,86.3,116.3,225.3
IV,264.8,76.7,180.3,161.5,165.1,155.0,198.4,177.0,160.4,91.5,205.4,180.7,127.8,124.2,82.2,78.2,56.5,169.2,167.6,143.5,157.5,35.8,211.8,200.1,148.5,135.9,209.3,166.4,40.5,238.7,147.7,108.1,32.8,100.3,142.8,183.7,101.5,0.0,168.8,77.5,226.1,265.2,170.5,59.4,167.9,130.6,105.0,148.1,105.6,74.5,163.0,169.7,180.7,201.9,144.0,141.2,190.6,225.7,40.9,227.9,158.4,66.5,188.6,233.4,210.5,217.3,157.5,131.2,185.0,175.2,2343.6,230.5,70.7,230.1,97.6,224.2,139.3,147.2,15.3,107.6,206.7,131.0,113.8,116.0,85.1,230.6,184.3,123.8,159.1,212.2,198.0,99.7,147.4,145.7,156.7,102.3,258.2,151.9,83.6,174.4,191.1,157.9,187.4,199.4,101.8,166.4,188.1,219.5
JR,176.5,232.4,126.8,98.1,239.6,190.6,115.6,22.2,159.5,236.7,243.0,218.3,54.6,199.2,160.0,162.7,180.9,14.4,266.8,236.8,226.2,142.4,213.8,107.0,230.3,138.1,251.1,235.1,145.8,282.5,216.4,272.2,145.4,264.4,217.8,185.9,246.1,174.0,0.0,241.6,263.7,349.7,208.1,125.3,251.5,215.1,255.0,232.6,190.1,128.3,247.5,259.8,218.3,142.2,222.6,63.5,127.2,162.3,209.8,136.8,69.0,222.2,226.2,170.0,136.8,257.7,226.2,209.8,269.5,241.6,2488.2,268.1,155.2,267.7,182.1,261.8,223.8,257.5,162.9,197.5,244.3,221.7,188.8,163.1,169.6,268.2,268.8,202.4,241.1,153.1,109.1,255.4,192.0,66.9,301.3,177.3,295.8,154.1,145.7,212.0,131.3,249.3,147.8,201.6,186.3,248.4,225.7,257.1
JW,273.7,80.6,189.2,217.9,124.9,96.1,222.6,185.9,179.7,51.3,164.5,139.8,136.7,109.8,103.4,105.1,85.8,178.1,127.4,103.3,88.0,92.7,231.1,209.0,92.3,155.2,168.4,96.9,128.7,197.8,78.2,30.6,95.7,22.8,135.5,203.0,61.3,83.8,177.7,0.0,167.2,223.4,111.6,108.2,111.7,167.9,70.2,185.4,114.5,111.2,200.3,207.0,121.8,226.1,66.4,150.1,215.0,250.1,42.2,236.8,177.7,70.4,122.0,280.2,234.9,176.4,88.0,53.6,222.3,105.7,2303.4,171.6,79.6,189.2,134.9,183.3,175.7,107.0,113.2,144.9,165.8,96.2,104.6,124.9,112.0,189.7,221.6,46.2,102.9,236.4,206.9,103.6,174.1,154.6,116.5,93.1,217.3,171.2,92.5,133.5,215.5,117.7,196.3,218.7,110.7,110.2,147.2,160.6
KF,187.5,240.7,217.0,190.0,188.7,73.0,130.6,292.7,111.2,216.7,96.2,94.2,249.2,115.8,265.3,150.5,189.2,284.9,210.7,189.0,145.7,190.7,86.3,236.8,163.6,130.6,88.1,136.8,244.7,78.4,155.5,145.1,193.7,150.1,94.4,112.8,226.1,237.2,284.5,164.7,0.0,56.1,55.5,224.2,184.3,92.0,198.2,97.0,174.3,210.3,80.7,73.3,45.3,133.1,105.9,258.0,207.4,155.2,207.0,197.8,161.4,230.5,133.7,194.0,120.1,121.3,145.7,122.2,56.5,128.0,2383.1,4.3,201.0,74.3,123.6,68.4,83.7,206.6,211.2,108.8,68.2,169.7,129.7,162.1,142.5,110.8,57.2,131.7,185.4,144.4,234.7,263.7,337.9,261.4,228.1,145.1,65.1,116.0,196.7,100.5,136.2,195.9,244.1,97.9,178.8,145.5,113.5,6.6
KJ,191.4,261.5,263.1,215.4,199.5,109.2,156.0,314.5,141.5,215.4,115.1,86.4,274.6,136.6,290.7,172.3,210.0,306.7,220.9,200.9,139.6,212.5,90.5,224.3,175.5,160.9,107.0,130.7,266.5,22.2,149.4,181.3,215.5,186.3,117.8,116.9,244.6,259.0,306.3,200.9,36.1,0.0,91.7,246.0,194.5,118.7,192.1,101.1,191.4,232.1,84.8,71.2,81.5,169.3,142.1,279.8,193.9,159.3,243.2,243.9,200.4,251.3,145.6,192.8,124.2,131.5,139.6,158.4,169.3,121.9,2360.0,31.7,218.1,37.1,150.3,42.9,110.4,217.4,233.0,135.5,60.4,163.6,150.5,179.2,164.3,121.0,61.3,167.9,197.3,180.6,226.4,284.5,363.3,283.2,238.3,165.9,9.0,146.3,214.6,92.7,140.3,209.2,286.5,102.0,195.9,157.4,132.4,42.7
KN,190.0,185.1,187.5,164.0,133.1,15.5,110.9,237.1,88.6,160.5,94.9,70.2,187.9,60.2,239.3,94.9,133.6,229.3,166.8,133.4,90.1,135.1,141.8,207.3,107.8,105.6,98.8,81.2,189.1,83.2,99.9,89.5,138.1,94.5,74.7,99.8,170.5,181.6,228.9,109.1,55.5,111.7,0.0,168.6,143.4,72.3,142.6,78.6,118.7,162.4,93.5,100.2,10.2,114.4,50.3,201.3,187.7,151.5,151.4,176.3,128.1,174.9,78.1,159.2,175.7,106.8,90.1,66.6,112.1,72.4,2412.6,59.9,145.4,74.6,85.3,68.7,64.0,151.0,155.6,94.3,96.2,116.6,74.1,106.5,86.9,120.1,112.8,76.1,129.8,124.7,205.2,208.1,316.3,205.8,177.7,89.5,102.7,96.3,143.7,63.9,116.9,140.3,214.6,115.5,123.2,89.9,77.6,48.9
KZ,221.6,145.1,137.1,118.6,152.3,152.2,136.1,128.0,157.6,115.4,202.6,177.9,84.6,111.9,90.5,75.4,93.6,120.2,191.5,167.4,138.9,55.1,209.0,156.9,143.2,133.1,210.7,147.8,20.4,235.9,129.1,151.5,58.1,143.7,130.5,180.9,125.4,48.6,125.6,120.9,223.3,262.4,167.7,0.0,162.6,127.8,134.3,145.3,102.8,15.0,160.2,166.9,177.9,199.1,135.3,98.0,147.7,182.8,89.6,184.7,155.6,134.9,185.8,190.5,167.6,214.5,138.9,122.5,182.2,156.6,2367.5,227.7,67.9,227.3,94.8,221.4,136.5,171.1,75.6,104.8,203.9,160.3,101.5,113.2,82.3,227.8,181.5,115.1,153.8,209.4,154.8,168.1,147.6,102.5,180.6,90.0,255.4,149.1,40.4,171.6,148.2,181.8,144.2,196.6,99.0,161.1,185.3,216.7
LA,298.4,161.8,215.6,224.1,48.1,121.0,217.7,210.4,185.0,119.3,110.6,121.1,161.2,118.7,207.1,153.4,112.2,202.6,26.3,64.5,90.1,119.1,241.4,233.5,76.2,165.7,119.6,112.1,155.1,169.8,80.3,80.3,120.2,85.3,146.0,211.9,108.3,163.7,202.2,101.8,194.1,172.8,140.1,134.6,0.0,178.4,96.0,194.3,140.9,128.0,210.8,221.1,148.7,220.2,128.4,175.7,225.5,258.4,144.1,233.5,193.9,153.5,77.0,266.0,232.8,96.3,90.1,144.7,220.4,101.7,2290.7,189.9,104.1,153.4,143.8,147.5,170.8,64.1,137.7,160.8,128.9,65.6,132.6,166.6,145.4,109.6,221.1,154.2,67.7,231.5,233.3,184.8,280.4,179.1,41.8,148.0,180.2,180.1,128.6,114.8,225.3,53.4,220.8,229.2,132.6,90.4,96.5,187.5
LC,146.8,192.5,154.1,127.1,156.3,79.3,67.7,195.7,48.3,194.3,128.5,107.0,146.5,67.6,199.7,53.5,141.0,187.9,183.5,153.5,126.9,102.3,84.5,173.9,144.8,67.7,135.6,118.0,147.7,107.0,133.1,144.3,96.7,149.3,73.3,56.6,203.7,140.2,187.5,163.9,91.1,134.5,96.8,127.2,166.6,0.0,179.4,17.4,95.3,113.3,32.3,39.0,107.0,70.2,105.1,161.0,144.5,108.3,161.1,134.9,98.5,182.3,114.9,116.0,136.9,143.6,126.9,121.4,70.2,109.2,2436.8,95.5,89.4,92.2,31.5,86.3,8.7,174.2,114.2,16.8,86.1,150.9,81.5,83.1,45.5,156.9,53.6,119.1,157.8,81.1,171.8,215.5,274.9,164.4,200.9,96.9,120.3,53.1,102.3,100.7,73.7,163.5,181.2,72.3,99.8,126.7,114.4,84.5
LG,278.5,142.1,194.0,222.7,83.8,127.1,237.3,190.7,170.8,24.6,148.3,105.6,141.5,122.8,125.4,109.9,90.6,182.9,119.6,95.5,52.4,97.5,222.2,213.8,74.7,146.3,152.2,61.3,133.5,163.6,42.6,60.6,100.5,65.6,148.5,194.1,53.5,117.8,182.5,80.2,198.2,192.1,142.6,113.0,94.1,162.3,0.0,179.8,119.3,116.0,194.7,201.4,152.8,240.8,130.9,154.9,253.0,292.7,76.2,241.6,190.7,131.9,104.4,285.0,247.9,160.2,52.4,147.2,216.7,70.1,2295.6,202.6,84.4,155.0,129.3,149.1,171.0,99.2,118.0,139.3,131.6,26.0,109.4,129.7,116.8,173.5,216.0,156.7,85.3,251.1,211.7,165.1,196.1,159.4,108.7,97.9,183.1,162.3,97.3,99.3,228.5,109.9,201.1,209.8,115.5,92.6,131.0,191.6
LH,153.2,210.1,160.5,133.5,173.9,96.9,74.1,213.3,54.7,211.9,100.5,98.5,132.9,85.2,217.3,71.1,158.6,205.5,201.1,171.1,144.5,119.9,85.6,180.3,162.4,74.1,96.6,135.6,165.3,93.4,150.7,161.9,114.3,166.9,70.5,63.0,221.3,157.8,205.1,181.5,77.5,115.7,77.8,144.8,184.2,17.5,197.0,0.0,112.9,130.9,14.8,26.8,67.6,76.6,122.7,178.6,150.9,114.7,178.7,141.3,104.9,199.9,132.5,122.4,130.0,128.4,144.5,139.0,36.9,129.1,2419.3,81.9,107.0,78.6,49.1,72.7,9.2,191.8,131.8,40.2,72.5,168.5,99.1,104.8,63.1,115.1,36.2,136.7,175.4,88.4,178.2,233.1,292.5,182.0,218.5,114.5,106.7,59.5,131.5,118.3,139.1,181.1,187.6,97.2,120.5,144.3,132.0,70.9
LW,182.9,157.9,126.8,103.3,111.6,99.4,103.8,210.5,51.4,146.9,149.8,125.1,147.3,85.7,178.6,50.2,106.4,202.7,145.3,108.8,98.2,67.0,102.8,146.6,102.5,26.9,153.7,107.1,121.0,183.1,88.4,162.4,70.0,167.4,91.4,74.7,152.5,113.5,164.5,182.0,170.5,211.6,114.9,100.5,121.9,93.0,122.2,110.5,0.0,115.5,125.4,132.1,125.1,107.3,94.6,208.9,104.7,139.8,134.4,116.1,67.4,147.7,132.2,147.5,124.6,161.7,98.2,81.8,147.4,115.9,2413.4,174.9,26.6,174.5,60.0,168.6,101.7,129.5,87.5,70.0,151.1,96.2,78.8,10.4,57.1,175.0,146.7,74.4,113.1,117.6,144.5,180.9,251.2,204.5,156.2,67.3,202.6,42.9,110.0,118.8,105.2,118.8,153.9,90.4,4.4,120.4,132.5,163.9
MD,198.5,147.8,114.0,142.7,155.0,152.9,198.3,110.7,156.7,138.8,202.1,180.6,49.1,114.6,113.2,78.1,96.3,102.9,182.2,152.2,141.6,66.4,211.5,133.8,145.7,135.8,209.2,150.5,43.2,244.8,131.8,174.3,60.8,166.5,133.2,183.6,148.2,71.4,102.5,143.7,226.0,265.1,170.4,22.7,165.3,130.5,157.1,148.0,105.5,0.0,162.9,169.6,180.6,200.8,138.0,76.0,173.0,212.7,112.4,163.4,162.8,137.6,188.5,199.7,180.0,217.2,141.6,125.2,200.8,157.0,2390.3,230.4,70.6,230.0,97.5,224.1,139.2,193.9,78.3,106.7,206.6,137.1,104.2,112.5,85.0,230.5,184.2,117.8,156.5,174.5,131.7,170.8,170.4,79.4,203.4,92.7,258.1,151.8,17.3,174.3,170.9,162.2,121.1,199.3,99.1,163.8,188.0,219.4
ME,171.9,226.4,176.8,149.8,190.2,113.2,90.4,229.6,71.0,228.2,120.0,114.8,180.4,101.5,233.6,87.4,174.9,221.8,217.4,187.4,160.8,136.2,70.7,196.6,178.7,90.4,112.9,151.9,181.6,109.7,167.0,178.2,130.6,183.2,86.8,97.2,237.6,174.1,221.4,197.8,93.8,102.1,94.1,161.1,200.5,33.8,213.3,16.3,129.2,147.2,0.0,11.9,83.9,92.9,139.0,194.9,167.2,139.6,195.0,157.6,113.9,216.2,148.8,178.4,104.5,144.7,160.8,155.3,92.9,145.4,2404.4,93.6,123.3,94.9,65.4,89.0,25.5,208.1,148.1,56.5,88.8,184.8,115.4,121.1,79.4,131.4,21.3,153.0,191.7,104.2,194.5,249.4,308.8,198.3,234.8,130.8,111.1,75.8,136.2,134.6,120.6,197.4,203.9,82.3,136.8,160.6,148.3,87.2
MI,160.0,239.6,190.0,163.4,203.4,126.8,97.8,242.8,84.6,235.6,130.0,128.0,193.6,108.9,241.0,100.6,188.1,235.0,224.8,200.6,174.0,135.0,58.8,209.8,192.3,97.8,126.5,165.1,194.8,117.1,180.2,185.6,143.8,196.4,100.0,85.3,250.8,187.3,228.8,211.0,91.3,89.8,107.3,174.3,215.7,41.2,226.5,29.9,142.4,160.4,13.6,0.0,97.1,107.1,152.2,202.3,180.4,127.3,208.2,165.0,134.4,229.4,162.0,166.5,92.6,152.1,168.2,168.5,10.0,156.3,2392.5,81.7,136.5,108.1,72.8,102.2,38.7,221.3,161.3,64.2,96.2,192.2,128.6,130.2,86.8,138.8,9.3,160.4,204.9,117.4,207.7,262.6,322.0,211.5,248.0,144.0,99.2,89.0,149.4,147.8,112.3,210.6,217.1,70.4,146.9,173.8,161.5,92.7
MP,179.8,195.3,187.1,160.1,143.3,25.7,100.7,247.3,78.4,170.7,105.1,80.4,219.3,70.4,235.4,105.1,143.8,239.5,177.0,143.6,100.3,145.3,131.6,206.9,118.0,100.7,109.0,91.4,199.3,73.0,110.1,99.7,148.3,104.7,64.5,89.6,180.7,191.8,239.1,119.3,45.3,101.5,10.2,178.8,153.6,62.1,152.8,68.4,128.9,172.6,83.3,90.0,0.0,104.2,60.5,211.5,177.5,141.3,161.6,166.1,124.2,185.1,88.3,149.0,165.5,117.0,100.3,76.8,101.9,82.6,2422.8,49.7,155.6,64.4,93.7,58.5,53.8,161.2,165.8,84.1,58.3,126.8,84.3,116.7,97.1,130.3,102.6,86.3,140.0,114.5,204.8,218.3,308.0,216.0,187.9,99.7,92.5,86.1,166.8,74.1,106.7,150.5,214.2,105.3,133.4,100.1,87.8,38.7
MS,80.3,262.1,82.8,112.5,232.0,142.1,44.2,163.9,69.7,274.3,151.6,146.4,104.1,136.1,178.9,137.0,210.6,171.7,261.8,241.0,199.6,176.1,86.6,102.6,213.8,88.7,144.5,190.7,190.2,140.2,208.8,214.2,180.2,220.3,118.4,58.7,281.8,223.7,186.2,234.9,124.3,162.5,125.7,170.8,237.3,82.3,252.1,68.6,120.3,179.3,83.5,96.9,115.5,0.0,176.1,142.8,73.2,65.9,243.2,64.6,76.1,251.9,183.9,78.9,40.4,169.8,198.5,192.4,1.0,184.2,2479.0,129.8,145.9,126.5,113.9,120.6,75.1,249.9,200.3,99.1,120.4,222.5,151.1,112.2,129.0,161.9,105.9,194.8,233.5,10.7,100.5,285.1,251.5,138.5,280.3,165.4,154.6,75.2,144.9,152.7,34.9,241.7,109.9,74.4,127.9,195.7,164.6,117.7
MY,242.1,138.6,170.6,147.1,82.7,29.6,156.1,187.2,113.2,110.1,98.0,73.3,138.0,43.3,182.0,78.0,87.1,179.4,116.4,79.9,69.3,94.0,164.6,190.4,73.6,88.7,106.1,78.2,130.0,131.3,59.5,39.1,97.0,44.1,69.0,136.5,120.1,142.6,179.0,58.7,100.7,156.9,45.1,109.5,93.0,101.4,93.3,118.9,101.8,112.5,133.8,140.5,55.3,159.6,0.0,151.4,148.5,183.6,101.0,159.9,111.2,128.4,81.2,191.3,168.4,109.9,69.3,16.2,155.8,75.5,2362.2,105.1,80.9,122.7,68.4,116.8,109.2,100.6,114.5,78.4,99.3,67.3,57.2,89.6,70.0,123.2,155.1,25.8,84.2,169.9,188.3,161.6,257.2,155.9,127.3,72.6,150.8,104.7,93.8,67.0,149.0,89.9,197.7,152.2,106.3,91.5,80.7,94.1
ND,132.0,202.7,47.7,76.4,156.4,167.1,104.5,67.3,124.8,190.3,209.3,196.2,57.8,134.0,184.2,95.0,151.2,56.6,183.6,153.6,143.0,111.8,179.1,67.5,147.1,103.4,216.4,151.9,128.7,260.4,133.2,234.8,114.8,239.8,152.6,151.2,197.3,158.3,56.2,217.3,240.2,282.0,184.6,108.2,166.7,147.4,167.0,164.9,76.4,85.4,179.8,192.1,194.8,132.1,139.4,0.0,106.7,146.4,179.2,97.1,71.5,192.5,177.0,138.7,136.0,226.0,143.0,126.6,201.8,160.7,2458.2,244.6,71.4,245.6,114.4,239.7,156.1,174.3,132.3,129.8,222.2,138.5,123.6,83.4,101.9,239.3,201.1,119.2,157.9,108.7,65.4,225.7,255.9,3.4,201.0,112.1,273.7,119.4,58.5,189.9,120.2,163.6,54.8,166.9,72.6,165.2,195.2,233.6
NH,96.0,286.7,70.8,99.5,192.8,175.5,35.1,166.9,145.5,239.6,225.9,201.2,108.5,161.8,163.5,165.7,235.2,174.7,226.5,190.0,221.1,205.9,180.8,90.6,183.7,121.0,234.0,212.2,174.8,229.1,169.6,238.5,208.9,243.5,167.5,152.7,233.7,191.6,189.2,258.1,219.4,257.6,191.0,154.3,203.1,169.1,203.4,163.7,154.1,129.5,178.6,185.3,201.2,62.7,199.3,145.9,0.0,81.8,268.9,11.4,52.3,276.5,209.1,89.5,66.6,237.8,221.1,163.0,200.6,203.4,2494.9,223.8,107.8,220.5,136.1,214.6,177.8,210.7,226.4,146.1,227.2,177.4,175.7,141.9,157.7,251.1,199.9,155.6,194.3,73.0,88.5,260.6,236.1,141.5,237.4,191.1,248.6,137.0,94.9,194.9,47.2,200.0,97.9,168.4,109.0,220.9,208.6,212.8
NM,14.2,277.1,110.5,139.2,223.7,163.9,59.7,192.6,141.2,271.1,218.9,216.9,171.5,152.2,194.4,156.1,225.6,200.4,250.9,222.7,210.3,179.1,157.1,130.3,214.4,111.4,210.8,202.6,205.7,211.8,200.5,228.9,182.1,233.9,157.9,129.2,264.6,222.5,214.9,248.5,195.9,234.1,196.2,185.2,235.6,153.9,234.3,140.2,143.7,152.7,155.1,161.8,186.0,70.4,189.7,170.5,100.9,0.0,259.3,91.3,104.1,266.9,199.5,7.7,38.5,240.3,210.3,193.9,71.5,193.8,2456.1,200.3,138.7,197.0,126.5,191.1,145.6,241.6,199.6,170.7,190.9,205.8,166.1,132.3,148.1,233.5,176.4,186.5,225.2,59.7,128.2,291.5,267.0,167.2,268.3,179.4,225.1,145.7,125.8,185.3,44.0,230.9,137.6,144.9,137.3,211.3,199.0,189.3
NS,291.8,47.8,207.5,203.1,143.2,130.7,237.6,204.2,192.5,68.8,194.0,169.7,155.0,115.3,123.8,119.7,47.6,196.4,152.2,105.5,116.5,68.7,247.3,227.3,131.8,171.6,201.1,125.4,82.1,233.9,106.7,67.1,74.3,59.3,133.9,219.4,79.6,41.5,196.0,36.5,203.8,256.2,148.2,101.0,148.3,172.1,64.0,189.6,132.8,121.8,204.5,216.4,158.4,240.1,103.0,169.5,231.4,266.5,0.0,256.9,201.4,37.6,161.7,298.5,241.0,219.5,116.5,90.2,240.1,131.9,2321.7,208.2,97.9,219.1,139.1,213.2,180.8,125.3,56.8,154.5,195.7,92.5,104.9,139.8,126.6,226.3,225.8,82.8,139.5,251.4,225.2,70.8,189.0,172.9,134.8,93.4,247.2,187.6,122.4,163.4,235.5,136.0,214.6,235.1,129.0,149.9,179.9,197.2
NT,96.9,277.1,61.2,89.9,228.7,163.9,44.7,157.3,132.3,262.6,216.3,191.6,97.2,152.2,173.1,156.1,225.6,165.1,255.9,225.9,211.5,196.3,171.0,81.0,219.4,111.4,224.4,202.6,201.0,225.7,205.5,228.9,199.3,233.9,157.9,143.1,269.6,242.8,179.6,248.5,209.8,248.0,181.4,180.5,239.0,159.5,239.3,154.1,144.5,157.7,169.0,175.7,191.6,72.3,189.7,135.2,9.6,91.4,259.3,0.0,112.3,266.9,199.5,98.3,65.9,228.2,211.5,198.9,71.3,193.8,2504.5,214.2,143.7,210.9,126.5,205.0,168.2,246.6,216.8,135.7,217.6,210.8,166.1,136.4,148.1,241.5,190.3,191.5,230.2,82.6,78.9,300.1,245.7,131.9,273.3,181.5,239.0,127.4,130.8,185.3,56.8,235.9,88.3,158.8,144.9,211.3,199.0,203.2
NV,107.4,179.4,76.0,35.8,133.1,130.2,32.9,112.0,101.0,166.9,175.6,159.3,74.1,97.1,90.2,71.7,127.9,104.2,160.3,116.7,119.7,97.1,163.1,37.9,131.1,66.5,193.1,128.6,101.5,191.2,109.9,211.5,91.5,194.6,129.3,127.9,160.4,131.9,97.0,185.4,216.9,258.7,147.7,94.6,129.8,131.4,143.7,128.0,53.1,64.9,163.8,168.4,157.9,74.1,116.1,165.6,44.5,71.0,163.2,67.7,0.0,169.2,153.7,100.9,78.0,191.9,106.1,103.3,164.9,123.8,2432.0,207.7,48.1,208.7,98.4,202.8,132.8,151.0,95.4,100.3,153.0,101.6,100.3,49.9,65.0,202.4,177.8,103.2,134.6,70.8,40.0,200.9,176.4,153.7,185.0,96.1,236.8,96.1,21.6,153.0,58.6,126.7,103.1,143.6,35.7,141.9,171.9,210.3
