from_stop,AE,AO,AV,BB,BD,BG,BU,BW,CH,CX,CY,DE,DI,DM,DN,DR,DU,EA,EH,EK,EM,EQ,EV,EZ,FB,FF,FG,FK,FP,FT,GO,GP,GQ,GR,GW,HC,HL,HO,HR,HS,HW,HX,IC,IF,II,IN,IV,JD,JE,JJ,JW,KI,KK,KM,KO,KP,KQ,KR,KS,KW,KX,KZ,LE,LO,LV,MB,ML,MN,MY,NF,NK,NO,OD,OJ,OK,OO,PG,PJ,PK,PP,PU,PV,PW,PY,QA,QD,QR,QS,QZ,RE,RR,SC,SD,SJ,SK,SY,TB,TK,TQ,TV,UB,UD,VH,VP,VV,VW,VX,VZ,WB,WM,WQ,XE,XI,XL,XY,XZ,YB,YZ,ZF,ZN,ZP,ZQ
FG,222.7,230.7,179.1,159.1,186.0,183.2,202.5,177.3,187.2,183.6,52.5,109.6,239.3,232.4,37.2,168.8,86.1,64.4,98.1,301.5,66.9,142.9,248.1,133.8,136.9,73.7,0.0,213.2,160.5,80.0,131.0,165.7,150.4,172.2,197.1,181.6,194.8,198.7,275.5,228.6,258.6,176.9,201.9,100.5,176.7,48.8,145.0,239.3,93.0,96.9,98.8,95.2,268.3,2204.1,70.6,167.4,152.5,113.5,235.8,183.2,13.1,144.1,88.2,281.1,168.4,166.7,158.4,159.4,160.2,153.4,218.2,161.8,135.9,180.1,45.6,150.8,72.1,167.7,134.9,110.6,127.1,226.5,73.8,92.9,209.1,133.1,157.1,60.1,73.6,105.7,183.1,241.7,151.2,120.5,155.6,136.4,207.0,121.1,249.4,188.8,188.2,144.2,224.4,174.0,143.4,123.6,196.3,195.6,105.9,160.0,135.6,120.3,186.3,172.9,123.6,206.2,177.2,176.4,119.6,85.1,125.0,199.8
FK,156.5,40.7,163.3,171.0,119.8,287.8,89.0,193.6,77.9,71.3,222.1,83.3,26.0,350.1,245.1,154.0,131.6,149.9,273.9,313.4,240.4,71.3,359.0,104.2,247.8,160.4,220.4,0.0,298.4,257.0,320.4,170.7,97.5,156.4,330.4,165.8,179.0,309.6,372.5,331.2,313.7,188.8,213.8,92.4,87.6,161.6,180.2,55.5,124.7,240.3,209.7,131.2,354.5,2268.1,204.0,338.3,263.4,258.5,324.0,316.5,233.6,124.5,284.2,293.0,279.3,83.9,116.7,308.4,242.1,235.3,4.9,295.1,120.1,209.2,266.1,299.8,118.6,51.3,243.1,331.1,180.3,260.1,117.3,203.8,65.9,353.6,116.5,234.8,294.1,165.1,82.2,253.6,262.1,341.0,72.1,272.7,275.2,117.5,366.5,61.4,268.4,106.0,40.6,307.3,254.3,159.9,307.2,230.8,297.2,140.9,217.4,173.5,301.4,217.4,234.5,280.9,326.2,110.2,116.4,258.6,89.2,69.4
FP,290.0,323.5,270.3,231.6,269.4,10.2,309.8,226.9,286.5,272.7,125.0,213.4,334.1,51.6,101.0,241.3,195.0,173.3,69.9,170.3,139.4,242.2,143.1,237.6,121.4,190.6,144.3,308.0,0.0,89.8,37.0,282.6,253.1,217.5,96.3,205.1,286.0,171.0,170.5,123.6,153.6,221.5,225.8,204.3,276.0,157.7,194.6,318.7,201.9,106.7,151.3,212.1,163.3,2164.5,143.1,45.9,124.8,85.3,130.8,99.7,136.6,253.0,81.7,205.4,140.7,246.1,267.3,105.7,170.0,163.2,313.0,37.9,233.3,189.9,119.0,97.1,175.9,256.8,54.5,73.4,199.6,198.8,177.6,165.4,316.4,67.8,246.1,153.8,89.2,178.2,282.4,205.1,123.5,55.2,264.5,82.7,191.5,230.0,144.4,277.9,172.7,223.6,303.8,50.1,115.7,205.4,109.3,210.2,47.0,254.1,145.4,192.8,158.6,182.7,125.6,178.5,123.5,259.8,223.4,128.3,224.3,288.9
FT,301.2,287.1,250.8,149.7,261.8,101.2,249.3,138.1,232.4,227.3,64.2,181.3,281.6,189.3,68.9,177.8,136.3,136.1,60.1,227.0,54.1,188.1,179.4,205.5,69.1,122.4,71.6,256.8,111.8,0.0,87.9,208.5,183.9,236.8,140.9,224.4,266.5,130.0,208.1,162.2,189.9,131.6,135.9,172.2,221.9,127.5,104.7,258.0,144.5,16.8,63.8,140.5,200.9,2291.6,82.3,124.3,85.1,82.1,167.1,140.1,59.4,196.3,19.4,203.5,101.0,238.4,218.9,133.4,82.1,73.3,261.8,118.7,207.6,100.0,24.2,120.2,143.8,205.6,73.8,67.5,138.8,157.8,148.6,71.2,265.2,90.0,228.8,80.4,28.3,117.4,228.3,175.7,84.1,80.2,221.7,93.1,160.0,187.9,169.6,225.4,122.5,215.9,243.1,130.9,75.5,122.7,128.9,122.5,61.8,184.4,54.2,132.0,115.2,92.8,56.2,138.7,147.9,248.1,190.7,37.3,177.8,242.8
GO,300.8,334.3,281.1,242.4,280.2,41.4,320.6,202.8,297.3,283.5,135.8,224.2,344.9,122.5,111.8,252.1,205.8,184.1,64.8,207.2,150.2,253.0,180.0,248.4,88.2,201.4,143.3,318.8,52.0,88.6,0.0,293.4,247.3,228.3,66.0,217.0,296.8,133.9,207.4,160.5,190.5,220.3,204.5,215.1,286.8,168.5,188.5,329.5,212.7,105.5,127.2,222.9,200.2,2229.9,153.9,94.6,87.7,80.2,167.7,52.1,129.5,263.8,92.5,239.1,103.6,256.9,278.1,68.6,145.2,162.0,323.8,30.7,244.1,188.7,95.9,60.0,186.7,267.6,65.3,37.8,210.4,161.7,188.4,132.9,327.2,60.3,256.9,164.6,66.1,189.0,293.2,168.0,86.4,47.7,275.3,45.6,154.6,240.8,181.3,288.7,135.8,234.4,314.6,42.9,78.6,187.4,131.5,209.0,57.8,264.9,144.2,203.6,121.5,181.5,101.5,141.4,86.4,270.6,234.2,127.1,235.1,299.7
GP,297.9,158.5,304.8,90.8,273.3,316.3,120.2,110.1,147.2,218.9,187.4,148.6,183.0,394.8,210.4,70.8,151.2,169.5,250.5,224.7,207.7,179.9,322.5,154.8,229.1,125.6,193.2,194.7,371.4,224.3,302.1,0.0,207.5,309.9,366.9,320.3,320.5,291.3,292.3,250.6,233.5,108.6,133.6,191.8,158.2,175.9,161.4,197.8,144.3,209.2,191.4,96.4,274.3,2333.4,169.3,329.8,245.1,240.2,243.8,354.3,217.3,96.8,245.4,201.2,238.9,237.4,73.2,294.7,194.9,188.1,199.7,332.9,273.6,129.0,236.8,281.5,183.9,192.5,299.8,301.8,108.8,179.9,179.8,187.5,136.9,324.3,274.5,200.1,264.8,130.4,151.5,173.4,244.1,314.5,133.6,254.4,168.8,104.7,273.9,182.6,188.2,259.5,218.5,345.1,235.5,143.1,288.9,152.5,277.9,66.8,170.2,116.4,224.8,137.2,216.2,200.7,307.9,263.7,140.0,224.9,190.2,169.5
GQ,95.6,102.9,97.0,205.4,65.5,236.1,124.9,202.6,101.6,59.2,137.9,104.8,104.7,320.7,160.9,189.9,88.3,81.3,191.3,303.6,156.2,57.3,276.4,140.1,165.2,103.0,151.8,85.0,246.7,174.4,237.8,195.0,0.0,102.1,303.9,112.5,112.7,227.0,303.8,256.9,286.9,223.2,248.2,80.0,91.1,93.0,188.3,73.8,95.2,157.7,127.1,124.5,296.6,2216.4,119.8,255.7,180.8,175.9,264.1,290.0,165.0,146.3,201.6,327.4,196.7,29.6,152.6,225.8,193.8,187.0,90.0,268.6,65.8,213.7,187.3,217.2,66.9,52.3,191.4,235.4,173.4,254.8,65.6,121.2,111.9,257.9,64.4,150.6,206.1,152.0,97.5,261.1,179.5,245.3,93.6,190.1,235.3,123.3,277.7,73.4,216.5,51.7,58.9,280.8,171.7,134.9,224.6,234.0,214.6,176.8,169.2,166.6,214.6,206.5,151.9,234.5,243.6,55.9,99.1,174.4,39.4,84.4
GR,98.3,176.9,52.7,307.2,89.4,225.5,225.2,304.1,205.8,127.9,219.0,205.5,178.7,287.8,203.7,290.2,189.8,182.8,264.6,441.1,235.4,161.5,377.9,240.4,266.7,204.5,166.4,159.0,236.1,246.5,297.5,306.9,100.6,0.0,268.1,9.4,68.4,328.5,405.3,358.8,388.4,325.0,350.0,214.6,195.3,168.6,302.4,147.8,196.7,259.2,228.6,226.0,398.1,2234.7,221.3,333.9,282.3,277.4,365.6,254.2,179.6,260.7,254.7,417.6,298.2,75.2,252.9,330.5,297.3,288.5,164.0,232.8,29.6,315.2,212.1,317.3,168.4,150.1,180.8,277.1,274.9,356.3,164.8,221.0,202.1,299.6,75.2,217.1,240.1,253.5,201.7,362.6,281.3,289.8,194.3,291.6,354.2,255.0,379.2,171.2,318.0,52.7,132.9,245.0,272.7,236.4,326.1,337.7,272.4,272.6,270.7,268.1,312.4,308.0,253.4,336.0,343.7,88.9,192.0,251.6,151.2,187.3
GW,337.9,404.5,318.2,288.5,317.3,74.6,377.2,256.8,349.8,338.9,181.9,306.0,400.3,57.9,157.9,298.2,255.0,260.8,99.8,249.2,196.3,305.5,222.0,330.2,151.3,241.1,196.3,374.2,85.2,126.4,83.0,340.9,301.3,265.4,0.0,253.0,333.9,213.1,249.4,202.5,232.5,258.1,262.4,296.9,339.3,245.2,231.2,375.4,261.9,143.3,181.2,262.6,242.2,2183.3,200.0,124.8,166.9,115.2,209.7,24.8,182.5,313.0,118.3,284.3,182.8,294.0,336.6,151.7,206.6,199.8,379.2,48.8,281.2,226.5,148.9,143.1,268.5,323.0,105.5,120.9,256.5,240.9,270.2,186.9,382.6,143.4,294.0,210.7,119.1,235.1,345.7,247.2,165.6,130.8,339.4,128.7,221.4,290.0,223.3,344.1,202.6,271.5,360.5,34.0,157.8,241.4,188.2,246.8,76.9,311.0,182.0,249.7,200.7,219.3,155.5,220.6,169.5,307.7,316.0,164.9,287.6,355.1
HC,129.4,188.2,64.0,318.5,96.6,216.1,236.5,320.3,217.1,138.8,230.3,216.8,191.1,277.4,216.1,298.5,201.1,194.1,281.0,416.4,246.7,172.8,389.2,251.7,278.7,215.8,177.7,170.3,225.7,257.8,308.8,318.2,113.0,11.2,257.7,0.0,80.8,339.8,416.6,369.7,400.8,336.3,361.3,225.9,206.6,177.8,313.7,160.2,208.0,270.5,241.0,232.6,409.4,2224.3,232.6,345.2,293.6,288.7,376.9,243.8,192.0,272.0,267.1,440.5,309.5,86.5,264.2,341.8,306.6,299.8,176.4,222.4,40.9,326.5,224.5,328.6,179.7,161.4,170.4,288.4,286.2,367.6,175.6,232.3,213.4,312.0,86.5,224.7,249.2,264.8,213.0,373.9,292.6,298.3,205.6,304.0,358.6,259.3,385.2,182.5,329.3,64.0,144.2,234.6,285.6,248.8,337.4,346.8,283.8,288.4,282.0,279.4,328.5,320.4,264.7,347.2,355.0,100.2,202.7,264.0,162.5,193.5
HL,56.2,202.5,15.7,332.8,72.0,262.8,250.8,329.7,231.4,153.1,244.6,231.1,204.3,325.1,229.3,316.6,215.4,208.4,290.2,466.7,261.0,187.1,403.5,266.0,291.9,230.1,192.0,184.6,273.4,272.1,323.1,332.5,126.2,51.4,305.4,60.8,0.0,354.1,430.9,384.0,414.0,350.6,375.6,240.2,220.9,192.5,328.0,173.4,222.3,284.8,254.2,251.6,423.7,2219.4,246.9,359.5,307.9,303.7,391.2,291.5,205.2,285.6,280.3,443.2,323.8,100.8,278.5,356.1,320.9,314.1,189.6,270.1,55.2,340.8,237.7,342.9,194.0,175.7,218.1,302.7,300.5,381.9,189.9,248.3,227.7,325.2,100.8,240.2,265.7,279.1,227.3,388.2,306.9,312.6,219.9,317.2,362.9,265.3,392.4,196.8,343.6,78.3,158.5,282.3,298.8,262.0,351.7,361.1,297.0,298.2,296.3,293.7,338.0,333.6,279.0,361.6,369.3,81.6,217.6,277.2,176.8,212.9
HO,325.2,325.7,319.8,206.8,288.3,168.1,292.6,178.0,271.0,260.1,159.3,215.9,321.5,181.2,182.3,215.8,176.2,189.2,113.4,164.1,156.7,226.7,136.9,240.1,63.4,162.3,203.0,295.4,157.8,135.7,139.9,254.3,222.5,324.9,206.0,334.3,335.5,0.0,164.3,117.8,147.4,188.2,179.7,206.8,260.5,195.6,163.7,296.6,183.1,120.6,102.4,179.1,157.1,2277.1,141.2,116.2,47.6,103.2,124.6,192.1,189.2,234.2,164.5,200.9,65.4,252.4,248.5,124.4,118.4,127.2,300.4,170.7,288.6,156.6,161.6,119.3,213.7,244.2,198.0,137.5,174.8,123.5,209.6,108.1,303.8,123.1,276.3,172.0,133.4,153.4,266.9,129.8,48.6,133.2,245.7,92.2,130.3,226.5,132.9,265.3,111.0,274.5,281.7,182.9,56.8,162.6,85.1,176.9,140.9,229.3,112.1,168.0,79.6,149.4,76.7,103.1,111.2,278.7,225.9,138.6,216.4,276.3
HR,388.2,349.8,389.6,208.7,358.1,178.8,305.1,226.5,340.8,329.9,229.1,285.7,374.3,191.9,252.1,226.1,246.0,259.0,192.2,60.9,228.7,296.5,108.1,309.9,133.2,232.1,270.7,365.2,168.5,216.0,205.6,268.8,292.3,386.1,236.6,373.7,405.3,137.3,0.0,76.1,96.4,190.6,162.7,276.6,330.3,270.7,233.5,366.4,252.9,190.4,172.2,253.6,17.9,2305.8,211.0,126.9,117.4,173.0,68.9,240.0,256.9,288.8,234.3,73.7,135.2,322.2,264.5,139.7,190.2,197.0,370.2,236.4,358.4,210.3,223.3,148.3,283.5,314.0,223.1,156.7,244.6,168.5,282.2,177.9,328.2,133.8,346.1,241.8,193.5,223.2,336.7,162.0,118.7,146.7,315.5,165.4,199.6,281.0,99.2,335.1,180.8,344.3,351.5,248.6,126.6,232.4,113.8,208.7,215.6,238.9,181.9,237.8,153.1,219.2,146.5,173.0,121.9,348.5,295.7,209.5,278.6,346.1
HS,340.4,311.2,341.8,170.1,310.3,131.0,266.5,199.6,293.0,288.5,180.9,237.9,343.5,144.1,204.3,186.9,198.8,211.2,149.2,46.2,178.7,248.7,59.9,262.1,85.4,184.9,222.9,317.4,120.7,168.2,157.8,229.6,244.5,337.9,188.8,325.9,357.5,89.1,57.5,0.0,29.9,152.0,124.1,229.4,282.5,222.9,185.7,318.6,205.7,142.6,124.4,205.8,50.3,2265.5,162.8,79.7,69.6,125.2,7.1,192.2,208.7,256.2,187.1,92.4,87.4,274.4,225.9,86.9,142.4,149.2,322.4,188.6,310.6,178.6,175.1,100.1,235.7,266.2,175.3,108.9,196.8,129.9,231.6,130.1,289.6,86.0,297.9,196.2,145.7,175.4,288.9,123.4,70.2,98.9,267.7,117.6,151.9,241.5,30.3,287.9,132.6,296.5,303.7,200.8,78.8,184.2,66.0,170.1,167.8,200.3,133.7,190.6,105.3,171.4,98.3,125.2,74.1,300.7,247.9,161.7,238.4,298.3
HW,384.5,284.0,391.4,142.9,364.0,180.6,245.7,160.7,272.7,331.7,230.9,287.5,308.5,193.7,253.9,160.3,247.8,260.8,194.0,69.4,228.3,298.3,88.9,252.2,135.4,233.9,272.5,342.5,170.3,217.8,207.4,203.0,294.1,387.9,238.4,376.6,407.1,139.1,107.1,48.9,0.0,124.8,96.9,278.4,283.7,267.2,185.1,323.3,254.7,192.2,174.0,250.7,98.4,2235.8,212.8,128.7,119.2,176.7,42.7,241.8,258.7,222.3,236.1,83.6,137.0,324.0,198.7,136.9,178.2,187.0,329.1,238.2,360.2,144.5,225.1,150.1,285.3,315.8,224.9,158.5,188.6,102.7,281.7,179.7,262.4,135.6,347.9,243.6,195.3,210.2,277.0,96.2,120.2,145.7,281.4,167.2,144.5,230.7,96.1,311.9,147.3,346.1,338.2,250.4,128.4,234.2,122.4,140.7,217.4,164.2,183.7,196.2,144.0,152.7,148.3,123.6,123.7,350.3,288.4,210.2,288.0,300.4
HX,316.3,159.1,317.7,18.0,286.2,218.5,114.4,32.5,147.8,235.4,142.3,149.2,183.6,286.1,165.3,35.4,156.1,174.4,152.1,124.5,138.8,202.8,213.8,127.3,126.0,160.2,186.0,217.6,262.7,117.2,198.6,78.1,220.4,322.8,258.2,341.7,333.4,187.8,183.6,142.3,124.8,0.0,24.9,158.3,158.8,186.1,57.3,198.4,149.2,100.5,100.3,137.9,165.6,2360.7,124.2,221.1,141.6,136.7,135.1,250.8,172.2,98.1,144.4,104.1,130.2,250.3,73.8,186.6,86.2,79.4,204.2,229.4,286.5,20.3,141.5,178.0,184.5,215.4,191.1,184.8,63.7,71.2,183.2,106.0,137.5,207.3,274.2,155.0,147.8,85.3,152.1,64.7,140.3,194.7,156.5,150.9,86.3,121.1,177.6,187.0,79.5,272.4,213.3,241.6,145.3,134.4,185.4,46.0,175.4,48.2,61.5,71.3,112.5,28.5,112.7,92.0,216.1,276.6,163.5,119.6,206.7,175.5
IC,347.3,187.0,348.7,45.9,317.2,248.0,142.3,60.4,175.7,263.3,170.2,177.1,211.5,261.1,193.2,63.3,184.0,202.3,155.6,99.5,166.0,230.7,188.8,155.2,126.9,191.2,213.9,245.5,237.7,144.4,189.3,106.0,251.4,353.8,255.4,376.9,364.4,206.5,158.6,117.3,99.8,27.8,0.0,186.2,186.7,214.0,88.1,226.3,177.1,127.7,139.4,165.8,140.6,2335.7,152.1,196.1,132.3,140.2,110.1,241.5,200.1,126.0,171.6,79.1,105.2,281.3,101.7,177.3,87.4,94.2,232.1,220.1,317.5,47.5,168.7,168.7,212.4,243.3,218.3,186.9,91.6,46.2,211.1,137.8,165.4,203.0,305.2,182.9,170.4,113.2,180.0,39.7,131.0,196.8,184.4,141.6,61.3,149.0,152.6,214.9,54.5,303.4,241.2,232.3,120.3,162.3,176.1,45.9,178.9,76.1,88.7,99.2,87.5,55.7,113.7,67.0,191.1,307.6,191.4,146.8,237.7,203.4
IF,143.3,108.2,150.2,123.2,118.7,195.3,69.9,142.5,101.4,96.9,115.1,9.0,151.9,257.6,138.1,103.2,75.4,93.7,163.4,257.1,135.4,57.1,253.6,33.2,142.0,104.2,103.5,125.8,205.9,151.6,215.0,122.9,52.9,161.7,237.9,159.1,165.9,204.2,324.7,282.4,265.9,141.0,166.0,0.0,90.9,100.1,124.0,127.0,68.5,134.9,104.3,75.0,306.7,2175.6,97.0,232.9,158.0,153.1,276.2,224.0,116.7,76.7,171.1,233.6,173.9,82.8,68.9,207.6,185.9,179.1,130.8,202.6,125.4,161.4,149.2,194.4,26.1,74.6,150.6,212.6,124.1,212.3,22.0,96.7,86.6,235.1,106.7,130.0,175.0,108.9,97.3,205.8,157.0,225.3,30.0,167.3,201.2,69.6,242.5,95.7,220.6,104.9,112.1,214.8,148.4,103.7,201.8,176.8,191.8,99.2,161.2,117.3,191.8,169.6,129.1,233.1,220.8,109.1,18.4,152.6,46.8,106.7
II,177.4,53.9,178.8,115.7,147.3,269.1,33.7,138.3,10.4,85.2,183.8,64.6,93.5,331.4,206.8,98.7,112.9,131.2,237.2,258.1,202.1,34.6,347.4,48.9,211.1,141.7,187.4,67.4,279.7,220.3,283.7,115.4,81.5,191.8,311.7,201.2,194.5,272.9,317.2,275.9,258.4,133.5,158.5,73.7,0.0,142.9,161.5,106.1,106.0,203.6,173.0,112.5,299.2,2249.4,165.7,301.6,226.7,221.8,268.7,297.8,200.6,69.2,247.5,237.7,263.8,111.4,61.4,271.7,219.8,213.0,72.4,276.4,155.5,153.9,233.1,263.1,99.9,65.2,224.4,281.3,133.7,204.8,98.6,167.1,32.3,303.8,147.2,196.5,261.1,146.4,6.4,198.3,225.4,291.2,53.4,236.0,219.9,92.2,311.2,55.3,213.1,133.5,91.2,288.6,217.6,141.2,270.5,179.6,260.5,85.6,195.1,141.3,246.1,162.1,197.8,225.6,289.5,137.7,61.1,220.3,52.5,66.3
IN,221.6,198.3,169.6,163.8,182.2,163.5,160.0,162.5,159.8,144.9,104.8,101.7,193.9,224.5,96.0,149.9,30.2,15.5,153.1,297.7,118.1,105.7,245.4,125.9,133.8,71.6,58.7,167.8,174.1,139.7,189.8,161.9,101.5,169.6,206.1,160.5,192.2,186.9,270.7,225.9,255.5,181.6,206.6,91.3,149.3,0.0,152.9,175.6,37.1,124.6,94.0,86.7,263.5,2196.2,88.4,224.3,147.7,144.7,224.0,192.2,70.6,95.9,139.3,274.2,163.6,158.8,109.5,197.3,162.7,153.9,172.8,170.8,128.0,180.6,109.7,185.8,64.2,123.2,118.8,169.4,153.0,223.8,67.7,88.1,176.7,191.9,147.9,105.7,130.2,118.9,155.7,228.0,148.8,182.1,106.7,150.0,195.7,80.5,232.2,155.7,176.4,136.3,160.7,183.0,138.1,101.8,191.5,205.7,163.7,142.5,129.1,139.2,177.8,173.4,120.5,201.3,210.5,168.5,111.1,142.3,97.1,171.8
IV,280.0,209.8,281.4,74.0,249.9,194.1,165.1,41.7,162.4,188.2,106.2,126.4,196.5,257.1,129.2,86.1,126.9,145.2,127.7,185.9,114.4,155.6,212.8,130.5,101.6,119.3,149.9,170.4,233.7,92.8,174.2,128.1,184.1,286.5,233.8,311.8,297.1,163.4,245.0,203.7,186.2,67.0,86.3,168.4,151.9,156.9,0.0,209.1,120.0,76.1,75.9,90.1,227.0,2353.0,88.1,192.1,117.2,112.3,196.5,226.4,136.1,115.8,120.0,165.5,133.1,214.0,124.5,162.2,61.8,55.0,175.4,205.0,250.2,48.2,117.1,153.6,161.7,168.2,166.7,160.4,44.4,132.6,160.4,69.7,188.2,182.9,250.2,118.9,123.4,49.2,158.3,126.1,115.9,170.3,109.3,126.5,147.7,92.8,214.1,158.3,105.5,236.1,194.2,217.2,108.1,80.3,161.0,50.5,151.0,98.9,37.1,37.6,173.9,41.0,88.3,153.4,180.0,240.3,116.3,95.2,170.4,169.3
JD,143.8,29.0,150.6,159.3,107.1,317.0,77.3,178.6,66.2,81.6,227.0,114.4,30.8,379.3,250.0,142.3,168.8,170.4,280.4,301.7,245.3,108.5,391.0,92.5,254.3,197.6,249.4,56.6,327.6,263.5,326.9,159.0,88.2,143.7,359.6,153.1,166.3,316.1,360.8,319.5,302.0,177.1,202.1,123.5,77.2,182.1,217.4,0.0,161.9,246.8,216.2,168.4,342.8,2299.2,208.9,344.8,269.9,265.0,312.3,345.7,262.6,112.8,290.7,281.3,307.4,71.2,105.0,314.9,263.4,256.6,51.4,324.3,107.4,197.5,276.4,306.3,149.7,88.5,272.3,324.5,177.3,248.4,148.4,210.3,54.2,347.0,103.8,239.7,295.2,198.9,70.5,241.9,268.6,334.4,109.3,279.2,263.5,135.8,354.8,69.2,256.7,93.3,14.9,336.5,260.8,197.1,313.7,223.2,303.7,129.2,238.7,184.9,289.7,205.7,241.0,269.2,332.7,97.5,104.7,263.5,126.4,57.7
JE,170.6,154.1,173.7,119.6,146.3,200.4,115.8,138.9,115.6,120.4,99.7,69.8,149.7,282.5,132.9,99.6,6.8,25.1,153.1,253.5,120.0,80.6,238.2,83.7,126.6,88.9,95.6,123.6,211.0,136.2,199.6,117.7,76.4,178.8,265.7,198.7,189.4,188.8,265.6,218.7,262.3,137.4,162.4,60.7,105.1,38.4,108.7,150.5,0.0,119.5,88.9,64.4,303.1,2217.1,81.6,217.5,142.6,137.7,225.9,251.8,108.8,51.7,163.4,241.6,158.5,106.3,65.3,192.2,155.6,148.8,128.6,230.4,142.5,157.8,141.3,179.0,101.1,98.1,155.7,206.3,108.8,208.7,105.9,81.3,132.5,228.8,130.2,112.4,169.3,93.6,111.5,202.2,141.6,216.2,62.5,151.9,197.6,36.3,234.2,111.5,178.3,128.4,135.6,242.6,133.5,88.4,186.4,161.5,176.4,89.5,145.9,102.0,176.4,149.8,113.7,196.2,205.4,132.6,68.9,136.2,70.3,122.5
JJ,262.9,270.2,267.5,132.8,232.8,117.9,242.1,122.5,215.5,204.6,62.9,160.4,266.0,208.1,85.6,163.1,120.7,152.8,78.7,218.6,38.2,171.2,163.8,184.6,52.6,106.8,88.3,239.9,128.5,16.6,104.6,205.8,167.0,253.5,157.6,241.1,283.2,114.4,191.2,144.3,174.3,114.7,119.0,151.3,205.0,137.2,87.8,241.1,127.6,0.0,46.9,128.3,184.0,2304.0,64.9,143.1,68.2,63.3,151.5,156.8,74.5,178.7,43.8,198.2,84.1,196.9,201.5,113.2,63.2,56.4,244.9,135.4,224.3,83.1,40.9,104.6,160.5,188.7,90.5,84.2,121.4,142.2,162.2,52.6,248.3,106.7,245.5,57.6,47.2,100.0,211.4,158.8,66.9,94.1,204.3,77.5,125.7,155.7,165.1,209.8,106.9,232.6,226.2,147.6,59.1,107.1,112.0,103.4,79.5,175.9,38.6,114.6,102.0,75.9,39.3,121.9,131.0,223.2,170.4,19.0,153.3,220.8
JW,215.9,223.2,217.3,104.3,185.8,180.4,190.1,75.5,168.5,157.6,56.8,113.4,219.0,193.5,79.8,114.0,73.7,86.7,64.1,176.4,68.8,124.2,149.2,137.6,38.0,59.8,100.5,192.9,170.1,47.2,110.6,151.8,120.0,222.4,176.7,232.8,233.0,99.8,176.6,129.7,159.7,104.6,129.6,104.3,158.0,98.4,61.2,194.1,80.6,30.5,0.0,81.3,169.4,2289.4,38.7,128.5,53.6,48.7,136.9,162.8,86.7,131.7,74.4,208.8,69.5,149.9,146.0,98.6,66.6,59.8,197.9,141.4,186.1,86.5,71.5,90.0,111.2,141.7,121.1,108.2,72.3,127.6,109.9,5.6,201.3,130.7,173.8,69.5,78.9,50.9,164.4,133.9,52.3,118.1,143.2,62.9,108.1,108.7,150.5,162.8,89.3,172.0,179.2,153.6,44.5,60.1,97.4,111.8,87.4,126.8,42.0,65.5,87.4,79.3,24.7,107.3,116.4,176.2,123.4,49.6,106.3,173.8
KI,213.7,162.5,208.3,94.8,180.9,219.8,124.2,111.7,122.7,154.3,105.7,104.4,161.5,288.5,128.7,80.9,64.7,77.7,154.0,228.7,115.7,115.2,244.2,90.8,132.6,24.4,96.7,130.7,230.4,140.6,205.6,75.1,111.0,208.7,271.7,218.1,224.0,194.8,296.3,254.0,242.2,112.6,137.6,95.3,112.2,84.1,79.4,169.4,66.9,125.5,94.9,0.0,278.3,2296.3,82.9,218.8,148.6,145.6,247.8,257.8,105.2,76.8,161.7,205.2,164.5,140.9,77.2,193.5,143.3,134.5,135.7,236.4,177.1,133.0,137.7,180.3,139.4,128.5,175.1,203.2,79.5,183.9,98.1,87.3,140.9,225.7,160.1,89.8,168.2,64.3,118.6,177.4,142.9,215.9,69.6,153.2,194.1,68.4,233.1,123.3,192.2,163.0,154.5,248.6,139.0,59.1,192.4,132.2,181.4,73.5,121.3,72.7,178.7,120.5,115.0,204.8,211.4,167.2,76.0,132.9,104.9,134.7
KK,371.0,334.9,372.4,193.8,340.9,161.6,290.2,208.3,323.6,312.7,211.9,268.5,374.1,174.7,234.9,211.2,228.8,241.8,175.0,42.9,211.5,279.3,90.9,292.7,116.0,214.9,253.5,348.0,151.3,198.8,188.4,253.9,275.1,368.9,219.4,356.5,388.1,120.1,17.9,58.1,78.4,175.7,147.8,259.4,313.1,253.5,216.3,349.2,235.7,173.2,155.0,236.4,0.0,2288.6,193.8,109.7,100.2,155.8,50.9,222.8,239.7,273.9,217.1,76.5,118.0,305.0,249.6,122.5,173.0,179.8,353.0,219.2,341.2,209.2,206.1,131.1,266.3,296.8,205.9,139.5,227.4,153.6,265.0,160.7,313.3,116.6,328.9,224.6,176.3,206.0,319.5,147.1,101.5,129.5,298.3,148.2,182.4,263.8,82.0,317.9,163.6,327.1,334.3,231.4,109.4,215.2,96.6,193.8,198.4,224.0,164.7,220.6,135.9,202.0,129.3,155.8,104.7,331.3,278.5,192.3,261.4,328.9
