from_stop,AB,AE,AF,AH,AM,AN,AO,AP,AW,AX,AZ,CF,CG,CH,CJ,CX,DL,DR,DS,DT,DZ,EF,EJ,EN,EQ,EW,FH,FM,FU,FW,FX,FY,GB,GC,GD,GE,GH,GN,GQ,GS,GW,GX,GY,HD,HG,HH,HJ,HK,HS,HT,IE,IJ,IK,IX,JG,JN,JR,JS,JU,JV,JX,JY,KF,KJ,KK,KN,KO,KS,KT,KZ,LA,LQ,LU,LV,LX,LY,MB,MF,MY,NG,NT,NW,NZ,OB,OG,OK,OP,OY,PI,PN,PQ,PT,PW,PX,QC,QD,QH,QI,QM,QO,RC,RN,RU,RV,SF,SN,SW,SX,SY,SZ,TG,TM,TP,TS,UL,UO,US,UT,UX,VB,VF,VU,VY,WK,WN,WS,WX,XN,YA,YI,YJ,YK,YQ,YS,YZ,ZC,ZH,ZQ
EN,175.6,379.5,221.0,168.6,130.3,285.4,119.7,366.7,208.9,145.8,232.0,352.3,290.7,67.3,137.1,218.1,340.6,181.5,197.8,200.6,49.5,336.0,384.9,0.0,217.5,149.4,263.1,193.0,312.2,109.0,113.5,121.6,181.8,176.6,327.5,154.1,221.9,341.7,143.4,129.1,365.5,2185.3,154.8,249.7,192.8,214.5,180.4,310.8,296.8,140.1,163.0,312.2,177.2,120.1,348.2,185.6,115.2,204.6,265.2,318.7,93.6,347.9,82.0,356.0,82.8,213.2,338.0,272.6,313.5,133.6,160.0,220.9,174.8,138.1,165.2,287.0,89.6,175.4,183.8,118.9,78.8,286.6,357.6,278.4,177.9,228.8,135.7,184.0,336.3,294.8,145.8,233.4,150.6,108.5,168.0,156.6,124.1,195.4,301.7,277.1,285.1,200.6,149.3,386.2,182.2,249.6,107.9,148.5,103.5,159.0,94.0,294.6,308.3,171.0,200.2,246.6,198.3,269.7,186.4,55.3,280.3,375.6,170.4,217.5,208.2,122.4,323.4,97.0,342.8,213.1,131.6,239.1,137.0,210.9,290.1,57.3,192.9,258.2
EQ,129.8,210.1,112.8,248.1,201.2,184.1,217.8,240.3,65.3,264.9,137.0,205.6,123.4,239.2,128.1,185.0,169.0,224.2,328.2,299.2,232.6,259.0,193.1,210.2,0.0,267.4,66.7,138.7,193.1,110.4,202.9,277.0,72.9,42.7,144.5,264.3,40.4,176.7,202.2,251.6,210.4,2296.3,240.9,106.0,289.3,120.6,249.2,129.3,74.9,185.2,162.1,194.0,305.4,273.4,168.0,304.3,208.6,120.4,95.5,147.1,258.0,211.0,248.5,225.3,227.2,257.3,129.5,168.2,136.5,215.9,224.8,159.2,199.9,147.3,97.8,115.4,201.9,272.8,130.3,202.0,132.5,105.1,186.0,56.5,145.4,9.1,82.1,281.4,154.8,113.3,137.7,360.1,170.0,97.5,139.1,88.7,170.1,314.1,160.4,153.4,65.4,170.7,152.8,216.7,143.2,57.7,203.8,177.7,256.8,145.5,114.0,176.1,88.6,105.4,273.5,24.7,145.1,160.8,216.4,257.3,204.7,202.4,208.7,272.3,291.1,200.0,181.4,248.0,265.8,298.1,100.1,112.9,219.1,281.8,138.0,146.1,25.7,74.0
EW,182.2,389.9,204.1,132.9,131.4,259.5,86.4,375.7,258.0,39.9,204.0,320.6,297.4,95.8,185.1,239.6,351.0,209.0,164.5,201.7,114.4,337.7,356.9,170.3,269.3,0.0,264.1,219.8,284.2,228.2,112.5,49.1,216.3,234.4,287.2,118.1,264.5,354.2,142.4,27.4,339.6,2102.2,145.7,232.8,191.8,193.9,179.4,270.5,256.9,145.7,184.0,323.0,143.9,78.7,307.9,130.0,63.9,160.8,223.5,329.1,70.5,319.9,72.9,363.5,72.1,238.6,297.7,244.6,273.2,100.3,63.1,232.7,186.6,184.5,262.2,297.4,136.0,174.4,294.7,67.6,218.6,246.3,368.0,273.6,133.1,286.6,220.0,158.6,296.0,254.5,192.2,81.1,156.2,215.3,174.6,230.6,172.6,126.0,290.1,261.1,266.9,208.7,264.8,392.9,165.3,278.6,118.0,131.6,61.0,162.7,169.5,266.6,268.4,217.4,199.2,302.0,305.0,247.9,208.1,114.9,291.1,347.6,182.2,245.0,139.4,71.1,334.2,67.5,350.3,132.4,181.1,222.2,103.7,194.1,272.0,193.4,250.7,262.9
FH,90.4,172.1,85.5,239.8,184.2,159.1,192.8,214.1,60.2,237.6,112.0,180.6,85.4,202.0,122.0,189.2,133.2,226.1,315.4,254.5,220.6,229.8,155.1,264.9,77.4,257.6,0.0,113.7,165.8,165.1,177.9,235.3,80.0,98.1,104.2,253.7,45.7,136.4,177.2,237.3,174.6,2266.8,228.1,65.7,244.6,91.1,232.2,104.3,39.1,145.7,137.1,158.2,294.8,233.9,130.0,303.2,196.5,108.3,61.9,111.3,250.9,186.0,256.7,178.3,216.7,257.0,93.7,155.7,107.0,190.9,217.1,148.6,188.0,166.4,147.1,79.6,216.5,227.2,179.6,192.2,188.3,80.1,150.2,20.7,133.3,88.9,141.4,235.8,129.8,88.3,154.5,330.6,128.3,152.2,99.7,115.5,184.7,313.0,129.7,123.9,27.4,162.4,191.2,180.9,118.2,59.8,166.6,152.7,217.3,126.3,173.3,148.8,50.6,102.3,252.0,48.0,189.9,131.3,218.3,265.6,179.7,166.6,195.9,263.4,274.1,187.9,145.6,210.8,236.6,281.1,161.7,74.9,194.1,264.8,113.0,203.4,85.0,7.3
FM,77.1,186.4,27.9,134.0,70.4,64.5,79.0,184.0,103.0,123.8,25.1,131.4,99.7,123.3,76.2,70.9,147.5,107.8,159.1,185.1,141.9,148.5,169.4,197.8,120.1,145.4,111.0,0.0,89.2,123.0,64.1,138.8,59.0,77.1,89.7,147.9,108.2,150.7,63.4,129.3,144.6,2153.0,122.3,56.8,175.2,23.5,118.4,73.0,98.5,93.1,23.3,140.8,138.5,155.4,110.4,187.9,109.4,69.9,84.2,125.6,154.4,120.4,162.6,160.6,105.4,138.7,100.2,49.6,75.7,76.9,83.7,43.0,82.2,120.6,157.1,93.9,163.5,154.2,189.6,113.1,141.4,48.8,164.5,116.9,63.2,129.3,111.1,162.8,98.5,57.0,108.7,216.8,100.5,106.4,69.5,125.5,109.5,197.7,80.8,56.2,110.2,56.6,161.7,195.2,8.2,122.3,138.8,38.9,144.9,53.8,123.3,71.6,87.0,112.3,138.2,145.3,199.9,48.8,100.0,186.9,96.1,152.6,90.1,158.2,160.3,116.6,152.0,150.1,155.3,167.3,128.3,46.0,80.3,151.0,81.7,124.3,93.4,104.0
FU,138.2,152.1,96.7,165.9,160.3,43.7,174.7,114.5,153.8,219.5,75.9,79.8,116.2,245.7,169.8,74.2,147.5,113.4,195.8,152.7,263.0,120.2,112.7,292.0,170.9,271.6,161.8,97.9,0.0,194.3,177.0,230.4,109.8,127.9,97.4,179.8,163.7,120.5,159.1,248.1,97.3,2248.7,154.2,125.6,146.9,88.2,172.3,87.7,168.4,193.5,119.0,73.6,200.8,281.7,81.7,193.5,205.6,117.4,137.3,125.9,250.1,91.6,258.3,111.8,226.5,136.3,107.9,24.6,72.9,172.8,163.7,74.9,117.7,214.2,178.0,131.3,264.3,157.5,203.9,201.3,212.7,99.8,130.2,182.6,142.4,180.1,160.0,166.1,48.3,91.6,202.3,312.5,176.1,177.7,147.5,163.3,224.4,201.0,64.1,64.0,189.3,90.8,216.9,144.2,100.1,177.8,219.1,134.6,265.1,151.0,191.9,54.9,173.9,150.1,172.3,197.9,214.2,63.0,105.6,308.0,78.9,101.2,122.0,129.9,235.4,197.0,83.6,258.6,127.0,238.3,186.9,114.8,176.0,181.0,79.0,224.0,144.2,154.8
FW,85.1,339.3,201.5,197.6,137.9,193.3,175.0,310.1,114.7,208.1,141.5,260.2,248.9,155.1,46.6,174.9,300.4,176.3,273.2,208.2,137.3,281.0,294.4,98.3,129.1,211.7,171.0,153.6,221.7,0.0,160.1,191.8,91.3,86.1,237.0,211.5,131.4,299.9,159.4,191.4,273.4,2227.0,185.9,232.9,202.0,203.4,189.6,220.3,206.3,105.9,119.3,256.8,252.6,194.1,257.7,256.4,150.6,114.1,173.1,278.5,178.7,252.9,169.2,289.4,171.5,207.2,247.5,178.4,223.0,172.9,199.3,175.5,149.4,70.3,55.4,246.8,120.4,222.7,74.0,146.3,21.7,196.1,317.4,187.9,87.4,138.3,45.2,231.3,245.8,204.3,58.4,297.8,88.5,18.0,77.5,66.1,88.6,266.2,209.6,185.0,194.6,158.2,42.3,344.4,161.8,159.1,126.8,134.9,177.5,68.5,52.7,204.1,217.8,80.5,209.4,156.1,85.5,177.6,168.5,143.1,224.9,285.1,153.7,209.9,231.5,142.0,271.7,171.0,287.8,234.8,41.1,187.9,176.3,218.5,199.6,43.3,102.4,167.7
FX,65.4,297.5,107.4,55.0,18.8,167.1,45.4,289.1,147.0,90.2,111.6,234.0,210.8,89.7,82.5,104.5,258.6,70.0,116.3,89.1,108.3,251.1,280.5,109.8,171.3,116.7,155.0,79.4,185.4,113.4,0.0,105.2,135.8,130.6,194.8,68.9,167.6,261.8,29.8,94.2,247.2,2119.4,43.3,136.3,79.2,103.0,66.8,178.1,164.5,28.9,91.6,198.6,107.8,121.8,215.5,95.5,75.8,68.4,131.1,236.7,120.8,227.5,129.0,271.1,71.8,99.6,205.3,152.2,180.8,43.3,50.1,145.4,112.8,57.2,137.5,205.0,64.4,61.8,156.1,79.5,80.8,153.9,275.6,175.8,40.7,182.8,89.7,70.4,203.6,162.1,64.9,183.2,39.4,103.0,57.8,110.6,45.3,105.3,203.5,158.8,182.5,130.5,152.1,306.3,73.4,181.7,41.3,34.9,111.3,66.8,59.1,174.2,176.0,100.6,86.6,200.6,163.1,151.4,74.9,153.3,166.7,255.2,56.8,106.0,108.7,83.0,208.6,116.5,257.9,115.7,64.1,125.5,46.7,99.4,169.7,60.1,146.9,148.0
FY,142.8,357.8,199.3,128.1,153.2,235.9,99.6,355.4,224.4,14.6,213.5,302.8,308.5,65.0,143.6,238.7,318.9,204.2,164.7,197.1,65.7,353.0,343.0,121.6,261.7,36.7,232.4,171.3,258.3,186.0,134.3,0.0,223.9,218.7,289.7,113.3,245.0,322.1,96.1,40.6,316.0,2108.0,140.9,228.2,203.5,194.9,178.7,275.9,270.1,106.3,141.3,346.1,152.1,18.7,281.8,131.0,77.1,174.0,236.4,297.0,15.5,291.8,23.7,365.1,82.6,233.8,300.2,221.0,247.1,78.9,58.3,227.9,185.5,117.8,201.1,265.3,69.3,160.8,219.7,80.8,169.9,220.2,335.9,253.2,146.3,270.9,177.8,153.8,269.9,228.4,125.5,122.8,116.8,173.1,135.2,198.7,105.9,121.2,269.8,256.3,259.9,209.7,202.3,366.6,160.5,259.1,73.3,126.8,28.2,144.2,137.7,243.0,281.6,178.0,207.4,288.7,230.0,248.9,209.1,59.9,314.2,324.0,177.4,240.2,134.6,84.3,357.3,34.7,359.8,127.6,193.7,217.4,76.2,195.1,267.2,150.5,235.0,225.4
GB,42.8,247.0,110.3,174.5,166.6,105.0,144.4,234.0,50.2,189.2,49.5,171.9,148.9,155.7,74.4,111.4,209.6,148.3,250.1,225.6,173.0,189.0,204.6,182.0,58.6,198.7,86.4,65.3,123.3,84.3,129.5,187.3,0.0,17.9,130.1,188.4,63.2,211.3,128.8,175.2,185.1,2218.4,162.8,142.1,215.7,82.0,183.8,116.3,115.5,98.1,88.7,168.5,229.5,186.3,150.8,228.4,132.7,44.5,82.1,187.7,203.3,160.9,209.1,201.1,153.6,179.2,140.6,90.1,131.8,142.5,63.2,83.3,122.7,118.8,68.0,156.0,168.9,194.7,93.9,128.4,102.7,104.9,225.1,119.7,69.5,70.1,50.0,203.3,154.6,113.1,106.9,279.9,80.7,67.7,52.1,67.9,137.1,238.2,121.3,96.7,126.4,93.3,111.0,251.5,69.8,90.9,123.7,104.3,169.7,78.1,81.9,112.1,127.0,54.7,203.6,87.9,104.2,89.3,140.5,218.0,137.1,193.1,130.6,198.7,260.5,124.1,178.5,163.2,195.8,267.5,76.9,104.5,145.7,216.4,107.6,114.0,34.2,79.4
GC,87.0,253.1,115.3,205.3,158.4,135.8,175.2,257.3,32.2,220.0,80.3,210.4,166.4,197.7,80.8,142.2,214.2,179.1,280.9,256.4,185.3,219.8,236.1,169.0,40.6,229.5,100.9,96.1,154.1,71.3,160.3,229.3,30.1,0.0,150.8,219.2,45.2,217.4,159.6,206.0,221.5,2249.2,193.6,146.7,246.5,120.9,206.4,134.1,120.1,140.1,119.5,201.9,260.3,228.3,171.5,259.2,163.5,75.3,105.1,192.3,212.9,219.6,203.4,242.4,184.4,210.0,161.3,120.9,136.8,173.3,45.2,114.1,153.5,104.5,55.0,160.6,154.6,225.5,87.5,159.2,89.7,109.9,231.2,101.7,100.3,52.1,37.0,234.1,159.6,118.1,92.6,310.7,122.7,54.7,96.3,45.9,122.8,269.0,165.2,153.7,108.4,124.1,110.0,261.9,100.6,72.9,165.7,135.1,211.7,102.7,68.9,142.9,131.6,60.3,226.2,69.9,97.8,120.1,171.3,212.2,167.9,229.5,161.4,229.5,248.3,154.9,211.9,205.2,226.6,255.3,63.9,155.9,176.5,239.0,142.8,101.0,16.2,93.9
GD,139.5,126.3,98.0,149.2,141.3,86.5,200.0,152.6,127.2,251.1,77.2,108.0,18.8,245.6,171.2,116.6,87.4,145.9,224.8,228.5,262.9,161.4,109.3,293.3,126.4,278.9,100.1,88.9,99.6,195.6,160.3,265.7,111.1,129.2,0.0,163.1,94.7,90.6,152.4,255.1,119.1,2242.0,137.5,61.3,218.6,93.6,179.0,13.7,87.9,189.3,112.3,99.5,204.2,294.2,69.1,212.6,212.9,124.7,71.7,65.5,281.7,117.2,289.9,132.5,226.4,176.8,10.4,82.8,34.4,166.1,94.7,58.0,97.4,215.6,179.3,33.8,265.7,192.3,205.2,208.6,214.0,30.8,104.4,106.3,149.7,137.9,161.3,200.9,57.2,22.6,203.7,305.8,177.4,179.0,148.8,164.6,205.7,222.4,57.1,33.3,99.6,68.0,222.3,135.1,132.8,108.8,220.4,162.7,272.2,148.8,193.2,76.2,76.4,151.4,198.8,134.7,215.5,40.7,138.1,307.9,106.3,120.8,105.3,183.2,235.2,204.3,101.1,271.1,168.2,242.2,188.2,50.5,169.3,211.6,22.4,220.5,134.0,93.1
GE,178.6,302.7,172.3,14.7,101.7,169.2,54.5,300.8,260.2,87.9,168.7,236.1,195.1,100.1,177.7,131.0,263.8,104.6,59.3,114.3,117.4,253.2,268.8,174.9,261.4,114.4,266.0,144.3,187.5,224.5,133.5,102.5,202.6,220.7,176.3,0.0,260.6,267.0,69.1,91.9,249.3,2162.3,27.5,201.2,104.4,167.9,91.3,162.5,264.3,148.7,114.3,235.3,38.7,119.5,215.0,47.1,84.9,171.4,234.1,241.9,118.5,225.1,126.7,265.3,80.9,134.2,186.8,154.3,180.3,86.0,260.6,114.8,72.1,187.5,258.6,210.2,139.0,61.2,291.1,88.6,174.2,193.2,280.8,282.7,154.1,272.9,212.6,54.2,203.1,188.5,195.2,210.5,159.2,207.9,171.0,227.0,175.6,56.9,185.5,142.9,276.0,101.5,263.2,311.5,138.3,274.7,115.7,99.8,109.0,155.3,152.5,176.3,252.8,213.8,111.8,290.7,301.4,135.5,109.5,162.4,203.9,257.3,64.0,140.6,69.7,92.1,245.3,115.5,260.0,76.7,157.5,190.4,83.3,124.6,153.8,153.5,237.0,259.0
GH,92.9,226.2,70.0,224.3,168.7,143.6,177.3,212.0,62.7,222.1,96.5,165.1,124.3,205.8,124.5,173.7,187.3,210.6,299.9,239.0,223.1,218.5,195.7,227.6,31.6,247.0,55.6,98.2,156.7,129.9,162.4,236.7,82.5,58.5,105.5,238.2,0.0,190.5,161.7,223.5,176.2,2251.3,212.6,119.8,229.1,75.6,216.7,88.8,93.2,148.2,121.6,156.6,279.3,236.4,126.2,287.7,181.0,92.8,59.8,165.4,252.7,174.3,259.2,205.0,201.9,241.5,116.0,153.9,91.5,175.4,0.0,133.1,172.5,163.1,113.6,133.7,213.2,211.7,146.1,176.7,148.3,64.6,204.3,76.4,117.8,43.1,95.6,220.3,114.3,72.8,151.2,315.1,130.8,113.3,102.2,104.5,181.4,297.5,114.2,108.4,83.1,143.1,168.6,229.5,102.7,27.6,173.8,137.2,219.8,126.4,127.5,133.3,104.7,104.8,236.5,60.9,156.4,115.8,202.8,268.1,163.4,184.2,180.4,247.9,258.6,172.4,166.6,213.3,225.3,265.6,122.5,79.8,178.6,249.3,97.5,159.6,39.2,48.6
GN,237.3,35.6,139.2,252.1,244.1,146.9,246.5,77.6,230.1,291.3,175.0,50.3,84.0,290.8,274.1,183.7,65.6,220.6,253.5,214.5,309.4,93.3,18.6,389.5,193.9,312.9,162.0,167.4,128.1,289.7,263.1,306.3,208.9,227.0,102.8,266.0,197.6,0.0,230.9,296.8,38.1,2374.6,240.4,113.8,204.6,144.8,230.0,116.6,112.3,292.1,190.8,57.9,274.2,322.9,95.4,300.7,315.8,227.6,156.8,25.6,321.9,59.5,330.1,41.8,272.9,194.0,92.3,127.8,113.7,244.6,251.2,160.9,200.3,318.5,277.1,58.9,368.6,267.0,303.0,311.5,312.9,133.7,13.7,130.7,252.6,186.9,259.1,275.6,89.1,125.5,306.6,384.3,275.2,276.8,246.6,262.4,308.5,310.5,129.9,136.2,124.0,174.7,320.1,44.4,171.9,188.0,313.5,206.4,312.4,251.7,291.0,143.3,100.8,249.2,228.7,159.1,313.3,143.6,212.8,354.4,87.7,30.1,208.2,187.6,293.1,307.2,45.3,317.6,100.1,300.1,286.0,153.4,247.8,268.1,125.3,323.3,221.9,169.3
GQ,146.2,261.6,103.1,68.7,32.5,139.7,15.5,271.4,178.2,60.3,100.3,206.6,174.9,61.1,163.3,126.2,222.7,127.6,130.0,102.8,78.4,223.7,244.6,135.9,193.0,86.8,186.2,75.1,158.0,159.7,46.2,74.9,134.2,152.3,164.9,82.6,183.4,225.9,0.0,64.3,219.8,2089.5,57.0,132.0,92.9,98.7,80.5,148.2,173.7,109.7,45.1,216.0,75.0,91.9,185.6,109.2,45.9,142.8,159.4,200.8,90.9,195.6,99.1,235.8,41.9,113.3,175.4,124.8,150.9,13.6,183.4,118.0,97.1,103.5,226.2,169.1,100.0,75.5,258.7,49.6,127.1,124.0,239.7,192.1,115.1,204.5,136.0,84.1,173.7,132.2,111.2,153.3,120.2,193.5,138.6,194.6,91.6,119.0,156.0,131.4,185.4,114.7,198.4,270.4,69.1,197.5,76.7,30.6,81.4,144.7,105.4,146.8,162.2,181.4,100.3,220.5,209.4,124.0,119.8,123.4,171.8,227.8,105.0,119.7,122.4,53.1,226.0,86.6,230.5,129.4,110.4,121.2,16.8,113.1,156.9,106.4,168.6,179.2
GS,150.6,363.9,225.7,111.9,105.4,232.0,60.4,354.0,232.2,14.9,178.0,298.9,275.7,69.8,159.1,213.6,325.0,182.3,138.5,174.2,88.4,316.0,330.9,144.3,249.9,18.5,240.2,192.3,258.2,202.2,85.0,31.6,190.3,208.4,261.2,94.8,238.5,328.2,116.4,0.0,312.1,2107.8,123.2,256.0,165.8,231.3,153.4,244.5,230.9,114.1,158.0,297.0,117.9,46.5,281.9,124.8,37.9,134.8,196.0,303.1,45.5,289.4,53.7,337.5,50.4,213.4,271.7,217.1,247.2,74.3,58.1,211.7,165.6,147.8,230.6,271.4,99.3,148.4,263.1,41.6,192.6,220.3,342.0,261.0,107.1,260.6,194.0,133.4,270.0,228.5,155.5,104.6,124.6,189.3,143.0,199.0,137.6,136.1,268.4,240.1,240.9,192.0,243.1,371.2,155.2,252.6,86.4,121.5,36.0,136.7,143.5,240.6,242.4,185.8,173.2,276.0,273.4,231.2,187.2,89.9,265.1,321.6,161.2,218.3,148.9,45.1,308.2,42.5,324.3,129.1,155.1,212.1,77.7,184.5,251.0,171.7,224.7,233.2
GW,199.1,70.3,157.6,239.2,224.3,108.7,235.6,64.8,199.2,280.4,136.8,12.1,119.2,305.3,230.7,135.1,116.6,172.0,233.7,194.7,323.9,83.5,17.3,352.9,200.7,332.5,172.1,156.5,90.3,251.5,243.3,295.4,170.7,188.8,100.4,253.1,166.7,50.9,220.0,307.3,0.0,2358.4,227.5,133.3,184.8,153.2,210.2,103.7,163.3,254.4,179.9,40.3,254.4,342.6,84.7,252.1,266.5,178.3,143.7,76.6,311.0,17.5,319.2,76.5,287.4,174.2,110.9,89.6,75.9,233.7,240.3,148.7,187.4,275.1,238.9,109.9,325.2,218.4,264.8,262.2,273.6,102.8,48.4,181.7,203.3,209.9,220.9,227.0,51.3,94.6,263.2,373.4,237.0,238.6,208.4,224.2,288.7,261.9,98.4,123.3,175.0,161.8,281.9,79.1,161.0,180.8,280.0,195.5,326.0,211.9,252.8,111.8,151.8,211.0,210.2,210.1,275.1,121.6,164.2,368.9,67.9,7.9,195.3,167.8,273.3,257.9,50.3,319.5,90.3,280.3,241.2,122.5,236.9,258.3,112.4,284.9,205.1,165.1
GX,2200.8,2290.7,2163.9,2097.6,2093.3,2200.5,2064.1,2335.5,2254.6,2098.8,2161.1,2267.4,2235.7,2141.9,2209.9,2187.0,2283.5,2169.5,2124.2,2163.6,2129.3,2306.8,2305.4,2109.9,2263.0,2102.4,2296.6,2135.9,2218.8,2163.2,2162.3,2089.9,2209.5,2222.3,2225.7,2080.5,2272.6,2328.9,2060.7,2067.4,2280.6,0.0,2110.4,2192.8,2153.7,2159.5,2141.3,2209.0,2234.5,2164.3,2105.9,2276.8,2103.6,2070.6,2246.4,2112.0,2094.5,2254.7,2292.3,2261.6,2103.9,2256.4,2112.1,2321.6,2135.3,2199.1,2236.2,2185.6,2211.7,2043.5,2272.6,2178.8,2155.0,2163.8,2180.9,2229.9,2151.0,2136.3,2146.4,2182.7,2183.9,2184.8,2315.5,2317.4,2147.8,2274.5,2208.5,2119.1,2234.5,2193.0,2171.5,2065.8,2174.8,2181.3,2193.2,2213.1,2151.9,2103.8,2216.8,2192.2,2246.2,2175.5,2130.1,2318.0,2129.9,2300.3,2161.4,2091.4,2094.4,2231.8,2142.8,2207.6,2223.0,2227.5,2161.1,2305.5,2137.0,2184.8,2180.6,2135.1,2232.6,2288.6,2146.9,2205.5,2117.2,2178.4,2286.8,2100.9,2300.0,2110.2,2147.8,2182.0,2040.8,2173.9,2217.7,2126.2,2238.6,2289.6
GY,151.0,275.1,145.7,11.7,46.7,141.6,62.4,261.0,232.6,113.5,141.1,208.5,167.5,106.7,150.1,103.4,236.2,104.8,87.2,86.7,125.3,225.6,241.2,181.2,233.8,147.0,238.4,117.7,164.0,193.2,65.7,128.5,175.0,193.1,148.7,25.5,233.0,239.4,77.0,117.5,221.7,2187.9,0.0,174.4,76.8,141.3,64.4,134.9,236.7,94.7,122.2,207.7,66.6,156.6,187.4,75.0,92.8,143.8,206.5,214.3,144.1,202.0,152.3,245.6,88.8,97.2,159.2,126.7,152.7,111.7,104.7,86.9,40.8,123.0,231.0,182.6,146.9,59.4,263.5,96.5,145.3,166.6,253.2,255.1,137.1,245.3,185.0,68.0,175.5,160.9,130.7,233.1,105.2,180.3,143.4,199.4,111.1,84.8,157.9,115.3,248.4,68.7,235.6,283.9,106.9,247.1,128.9,107.7,134.6,127.7,124.9,148.7,225.2,186.2,84.2,263.1,273.8,107.9,97.0,170.3,175.8,229.7,36.4,103.6,97.6,100.0,217.7,133.5,232.4,104.6,136.5,163.8,108.9,97.0,126.2,125.9,209.4,231.4
HD,114.1,129.5,25.3,160.2,124.0,145.6,132.6,171.5,109.8,177.4,51.8,144.2,42.8,176.9,129.8,117.6,90.6,151.9,212.7,194.3,195.5,187.2,114.7,251.4,113.5,203.9,82.7,53.5,154.9,176.6,117.7,192.4,85.7,103.8,61.6,169.0,77.3,93.8,117.0,181.4,132.2,2206.6,148.5,0.0,184.4,30.9,172.0,75.4,41.6,146.7,76.9,115.8,192.1,209.0,87.4,200.5,163.0,107.3,54.3,68.7,208.0,153.6,216.2,144.7,159.0,182.8,51.1,96.3,96.1,130.7,137.3,119.9,162.7,174.2,153.9,37.0,217.1,167.0,179.8,166.7,195.0,37.9,107.6,103.5,116.8,120.5,135.9,175.6,118.9,84.3,162.3,270.4,154.1,160.0,123.1,139.2,163.1,210.3,116.2,95.2,53.3,133.5,196.9,138.3,58.0,91.4,192.4,92.5,198.5,107.4,176.9,135.3,30.1,126.0,191.8,88.4,190.1,102.6,144.1,240.5,145.4,124.0,167.0,245.5,213.9,170.2,103.0,203.7,194.0,220.9,162.8,9.1,133.9,204.6,84.1,177.9,116.6,75.7
HG,210.5,221.0,205.2,113.8,82.6,154.9,135.6,215.9,260.9,193.1,183.0,169.0,239.4,181.2,209.6,125.7,234.8,75.6,48.8,9.8,198.5,181.0,199.6,256.0,275.7,225.1,268.9,177.2,141.6,256.4,101.6,207.7,216.9,235.0,220.6,116.7,286.9,185.3,150.2,197.1,180.1,2258.2,126.6,234.1,0.0,200.8,90.0,194.8,281.5,130.6,118.5,142.5,69.5,229.8,204.9,105.2,166.0,203.3,242.1,194.8,223.7,152.9,231.9,193.1,162.0,79.3,231.1,135.8,196.1,191.2,286.9,164.7,98.4,158.9,239.2,228.1,220.1,99.3,257.8,169.7,182.5,223.0,199.1,299.9,142.4,287.2,191.4,92.3,171.5,214.8,166.6,287.9,141.1,239.8,202.9,212.3,147.0,115.0,176.7,175.2,293.2,151.4,295.1,229.8,171.2,301.0,196.8,104.0,213.2,187.2,160.8,162.0,270.0,245.7,48.5,305.0,264.8,167.8,108.1,243.5,111.1,188.1,90.3,72.9,88.4,173.2,152.5,206.7,187.8,95.4,165.8,223.3,188.5,61.3,186.1,161.8,251.3,261.9
HH,83.1,162.8,4.3,129.2,93.0,104.2,101.6,160.4,98.7,146.4,20.8,125.7,76.1,145.9,98.8,86.6,123.9,120.9,181.7,163.3,164.5,179.1,145.8,220.4,113.5,168.0,106.7,22.5,113.2,141.9,86.7,161.4,54.7,72.8,66.1,138.0,118.1,127.1,86.0,151.9,136.8,2175.6,117.5,33.0,153.4,0.0,141.0,49.4,113.3,115.7,45.9,117.2,161.1,178.0,86.8,169.5,132.0,62.3,79.9,102.0,177.0,134.9,185.2,169.0,128.0,151.8,76.6,65.3,52.1,99.7,180.6,93.7,134.4,143.2,122.9,70.3,186.1,136.0,148.8,135.7,164.0,25.2,140.9,127.5,85.8,125.0,104.9,144.6,74.9,33.4,131.3,239.4,123.1,129.0,92.1,108.2,132.1,179.3,74.8,69.0,86.6,107.5,165.9,171.6,27.0,133.4,162.8,61.5,167.5,76.4,145.9,93.9,63.4,95.0,160.8,142.8,159.1,76.4,113.1,209.5,124.8,144.8,141.0,158.2,182.9,139.2,128.4,172.7,185.9,189.9,131.8,22.4,102.9,173.6,58.1,146.9,89.1,99.7
HJ,153.2,244.9,162.6,85.2,68.7,144.5,107.0,235.2,234.8,153.0,181.1,192.9,207.5,152.6,170.3,96.2,256.1,61.7,49.4,56.9,169.9,190.2,223.5,227.4,259.1,179.5,242.8,134.6,165.5,201.2,87.7,167.6,223.6,218.4,188.7,88.1,255.4,209.2,121.6,157.0,204.0,2188.7,98.0,191.5,47.0,158.2,0.0,174.9,252.3,116.7,104.6,166.4,40.9,184.6,190.3,76.6,137.4,156.2,218.9,218.7,183.6,176.8,191.8,210.2,133.4,91.3,199.2,147.6,192.7,151.1,255.4,127.2,84.5,145.0,225.3,222.6,191.5,70.7,243.9,141.1,168.6,183.5,223.0,263.6,128.5,270.6,177.5,63.7,195.4,191.7,152.7,246.0,127.2,190.8,145.6,198.4,133.1,86.4,160.8,155.3,270.3,113.9,239.9,252.7,128.6,269.5,168.2,90.1,174.1,154.6,146.9,151.6,263.8,188.4,54.4,288.4,250.9,147.9,66.6,214.9,135.0,212.0,76.4,96.8,41.8,144.6,176.4,178.1,197.0,48.8,151.9,180.7,148.4,67.2,166.2,147.9,234.7,235.8
