from_stop,AC,AE,AK,AO,AV,BH,BI,BK,CB,CH,CO,CT,CX,EF,EI,EX,FG,FI,FN,FU,GD,GH,GI,GQ,GW,GZ,HH,HI,HQ,HR,HT,HV,HX,IP,JB,JQ,JS,KE,KK,KO,LE,MB,MX,NA,NH,NJ,NP,NS,NT,NV,NX,OA,OE,OF,OL,OO,OV,OW,PM,QN,QQ,QT,RY,SH,SU,SW,SY,TJ,TK,TQ,TS,TX,UB,UE,UI,UL,UQ,UX,VA,WW,XF,XY,YC,YT,YY,ZA,ZN,ZW
KE,561.9,478.1,284.7,539.1,506.9,359.6,310.2,315.5,535.0,436.8,125.3,3215.0,605.6,576.0,349.2,298.9,402.7,769.9,18.7,705.0,724.3,105.6,553.3,450.0,369.6,258.1,481.8,473.3,459.9,587.2,328.8,514.8,609.0,689.1,282.8,142.8,274.2,0.0,218.0,657.0,189.5,468.1,500.8,506.7,491.3,277.9,10.3,507.6,643.0,707.2,476.7,471.4,660.8,403.3,485.2,373.5,403.5,504.2,761.9,518.9,115.1,213.9,535.9,362.7,530.6,646.2,459.3,744.8,800.5,313.8,187.5,526.3,428.2,544.6,491.6,510.6,544.2,96.9,492.6,373.4,233.4,488.6,425.7,151.9,522.4,440.7,475.7,663.4
KK,516.5,432.7,512.8,483.0,295.5,314.2,92.1,104.1,425.5,391.4,353.4,3105.5,394.2,530.6,303.8,253.5,191.3,558.5,246.7,493.6,512.9,333.7,507.9,238.6,324.2,40.0,436.4,427.9,414.5,541.8,117.4,384.5,552.5,477.7,71.4,370.9,62.8,228.0,0.0,445.6,417.6,422.7,455.4,461.3,279.9,232.5,217.6,451.5,431.6,652.7,265.3,260.0,449.4,357.9,273.8,162.1,358.1,458.8,550.5,473.5,343.2,442.0,490.5,317.3,485.2,434.8,413.9,533.4,589.1,268.4,79.9,480.9,382.8,499.2,435.5,299.2,488.1,325.0,447.2,162.0,22.0,443.2,380.3,380.0,323.8,395.3,430.3,452.0
KO,791.4,482.3,940.6,540.0,352.5,639.0,556.6,381.7,482.5,524.6,781.2,2980.0,131.2,773.9,609.5,681.3,253.0,267.3,674.5,202.4,221.7,761.5,550.6,295.6,649.0,504.5,628.2,671.2,630.3,785.1,335.9,441.5,795.8,186.5,437.6,798.7,391.5,655.8,464.4,0.0,845.4,729.5,702.0,562.2,308.7,660.3,645.4,508.5,357.0,653.5,190.7,317.0,158.2,604.5,330.8,369.5,555.8,702.1,259.3,716.8,771.0,869.8,523.0,596.0,760.1,143.6,720.7,142.0,297.9,696.2,507.7,724.2,689.6,583.9,492.5,356.2,545.1,752.8,754.0,439.6,432.3,608.2,626.9,807.8,368.0,628.2,567.9,160.8
LE,757.2,673.4,410.7,734.4,702.2,554.9,505.5,510.8,730.3,632.1,251.3,3410.3,800.9,771.3,544.5,494.2,598.0,965.2,176.5,900.3,919.6,231.6,748.6,645.3,564.9,453.4,677.1,668.6,655.2,782.5,524.1,710.1,793.2,884.4,478.1,268.8,469.5,195.2,413.3,852.3,0.0,663.4,696.1,702.0,686.6,473.2,205.6,702.9,838.3,902.5,672.0,666.7,856.1,598.6,680.5,568.8,598.8,699.5,957.2,714.2,70.0,339.9,731.2,558.0,725.9,841.5,654.6,940.1,995.8,509.1,382.8,721.6,623.5,739.9,686.9,705.9,739.5,222.9,687.9,568.7,428.7,683.9,621.0,277.9,730.5,636.0,671.0,858.7
MB,127.1,279.2,753.3,345.4,412.2,178.7,535.3,540.6,336.1,237.9,593.9,3016.1,682.6,304.3,150.3,187.4,479.7,833.3,487.2,753.8,801.3,574.2,281.6,463.5,188.7,483.2,235.4,201.6,257.3,315.5,547.3,315.9,337.3,766.1,507.9,611.4,499.3,468.5,443.1,734.0,658.1,0.0,301.9,307.8,568.3,207.4,458.1,313.3,720.0,508.3,553.7,426.6,737.8,204.4,518.7,580.9,204.6,232.5,838.9,247.2,583.7,682.5,337.0,163.8,80.7,723.2,128.6,821.8,863.9,173.4,412.6,254.6,97.5,272.9,328.5,387.4,345.3,565.5,24.5,598.5,458.5,216.9,226.8,620.5,480.3,241.8,276.8,740.4
MX,407.2,225.2,799.5,286.2,350.6,204.9,581.5,531.5,256.5,183.9,640.1,2936.5,621.0,407.7,175.4,230.1,418.1,771.7,533.4,692.2,739.7,620.4,303.6,401.9,214.9,529.4,228.9,305.0,207.0,418.9,485.7,253.5,440.7,704.5,554.1,657.6,541.3,514.7,489.3,672.4,704.3,295.4,0.0,138.6,506.7,253.6,504.3,254.7,658.4,344.6,492.1,365.0,676.2,111.9,457.1,519.3,150.6,335.9,777.3,350.6,629.9,728.7,175.1,161.9,375.9,661.6,286.6,760.2,802.3,219.6,458.8,358.0,255.5,269.9,238.7,325.9,291.3,611.7,319.9,589.4,504.7,257.4,89.5,666.7,418.7,72.6,222.8,678.8
NA,398.6,135.6,790.9,193.3,211.9,195.7,567.7,392.8,117.8,174.7,631.5,2797.8,482.3,399.1,166.8,220.9,279.4,633.0,524.8,553.5,601.6,611.2,203.9,263.2,205.7,515.6,220.3,296.4,198.4,410.3,347.6,114.8,432.1,565.8,448.7,648.4,402.6,506.1,475.5,533.7,695.7,286.8,144.1,0.0,368.0,244.4,495.7,161.8,519.7,205.9,353.4,226.3,537.5,103.3,318.4,380.6,142.0,327.3,646.8,341.4,621.3,720.1,36.4,153.3,367.3,522.9,278.0,621.5,663.6,211.0,449.6,349.4,246.9,260.7,145.8,188.3,198.4,603.1,310.7,450.7,443.4,248.8,80.9,657.5,280.0,66.0,213.6,540.1
NH,610.4,301.3,759.6,359.0,171.5,458.0,375.6,200.7,301.5,343.6,600.2,2981.5,262.0,592.9,428.5,500.3,72.0,426.3,493.5,361.4,380.7,580.5,369.6,114.6,468.0,323.5,447.2,490.2,449.3,604.1,154.9,260.5,625.9,345.5,256.6,617.7,210.5,474.8,283.4,313.4,664.4,548.5,521.0,381.2,0.0,479.3,464.4,327.5,299.4,528.7,133.1,136.0,317.2,423.5,149.8,188.5,374.8,521.1,418.3,535.8,590.0,688.8,342.0,415.0,579.1,302.6,539.7,401.2,456.9,515.2,326.7,543.2,508.6,402.9,311.5,175.2,364.1,571.8,573.0,258.6,251.3,427.2,445.9,626.8,187.0,447.2,386.9,319.8
NJ,283.9,200.1,545.8,261.1,333.1,81.6,327.8,333.1,257.0,158.8,386.4,2937.0,603.5,298.0,71.2,24.7,400.6,754.2,279.7,674.7,722.2,366.7,275.3,384.4,91.6,275.7,203.8,195.3,181.9,309.2,346.4,237.5,331.0,687.0,300.4,403.9,291.8,261.0,235.6,654.9,450.6,190.1,222.8,228.7,489.2,0.0,250.6,229.6,640.9,429.2,474.6,347.5,658.7,125.3,439.6,391.1,125.5,226.2,768.0,240.9,376.2,475.0,265.2,84.7,252.6,644.1,181.3,742.7,784.8,35.8,205.1,248.3,150.2,241.6,213.6,308.3,266.2,358.0,214.6,391.0,251.0,210.6,147.7,413.0,401.2,162.7,197.7,661.3
NP,551.5,467.7,295.1,528.7,496.5,349.2,299.8,305.1,524.6,426.4,135.7,3204.6,595.2,565.6,338.8,288.5,392.3,759.5,29.1,694.6,713.9,116.0,542.9,439.6,359.2,247.7,471.4,462.9,449.5,576.8,318.4,504.4,587.5,678.7,272.4,153.2,263.8,10.3,207.6,646.6,199.9,457.7,490.4,496.3,480.9,267.5,0.0,497.2,632.6,696.8,466.3,461.0,650.4,392.9,474.8,363.1,393.1,493.8,751.5,508.5,125.5,224.3,525.5,352.3,520.2,635.8,448.9,734.4,790.1,303.4,177.1,515.9,417.8,534.2,481.2,500.2,533.8,107.3,482.2,363.0,223.0,478.2,415.3,162.3,512.0,430.3,465.3,653.0
NS,282.8,24.9,759.5,32.0,157.9,164.9,513.7,338.8,81.8,50.5,600.1,2761.8,428.3,265.3,135.4,190.1,225.4,579.0,493.4,499.5,547.0,580.4,42.0,209.2,174.9,461.6,119.6,162.6,156.2,276.5,293.0,60.8,298.3,511.8,394.7,617.6,348.6,474.7,421.5,479.7,664.3,255.4,227.9,141.5,314.0,213.6,464.3,0.0,465.7,233.4,299.4,172.3,483.5,130.4,264.4,326.6,81.7,193.5,584.6,208.2,589.9,688.7,95.0,121.9,251.5,468.9,246.6,567.5,609.6,179.6,418.8,215.6,215.5,68.6,15.1,134.3,88.0,571.7,279.9,396.7,389.4,99.6,152.8,626.7,226.0,167.8,93.8,486.1
NT,744.8,435.7,894.0,493.4,305.9,592.4,510.0,335.1,435.9,478.0,734.6,3115.9,253.0,727.3,562.9,634.7,206.4,417.3,627.9,352.4,371.7,714.9,504.0,249.0,602.4,457.9,581.6,624.6,583.7,738.5,289.3,394.9,760.3,336.5,391.0,752.1,344.9,609.2,417.8,304.4,798.8,682.9,655.4,515.6,262.1,613.7,598.8,461.9,0.0,663.1,132.4,270.4,308.2,557.9,284.2,322.9,509.2,655.5,409.3,670.2,724.4,823.2,476.4,549.4,713.5,293.6,674.1,392.2,447.9,649.6,461.1,677.6,643.0,537.3,445.9,309.6,498.5,706.2,707.4,393.0,385.7,561.6,580.3,761.2,321.4,581.6,521.3,310.8
NV,470.0,203.6,913.2,261.3,299.9,360.3,655.7,480.8,148.1,245.9,795.5,2748.2,570.3,349.1,330.8,385.5,367.4,631.5,688.8,552.0,679.0,775.8,229.2,351.2,370.3,603.6,306.8,349.8,328.7,384.5,435.0,202.8,421.8,631.4,536.7,813.0,490.6,670.1,563.5,621.7,859.7,450.8,409.7,266.1,456.0,409.0,659.7,229.8,607.7,0.0,441.4,314.3,603.1,368.9,406.4,468.6,277.1,380.7,716.6,395.4,785.3,884.1,219.6,317.3,438.7,588.5,442.0,709.5,662.1,375.0,606.8,402.8,410.9,255.8,213.8,275.2,266.4,767.1,475.3,538.7,531.4,286.8,346.5,822.1,355.2,331.5,289.2,539.4
NX,612.3,303.2,761.5,360.9,173.4,459.9,377.5,202.6,303.4,345.5,602.1,2983.4,120.5,594.8,430.4,502.2,73.9,284.8,495.4,219.9,239.2,582.4,371.5,116.5,469.9,325.4,449.1,492.1,451.2,606.0,156.8,262.4,616.7,204.0,258.5,619.6,212.4,476.7,285.3,171.9,666.3,550.4,522.9,383.1,129.6,481.2,466.3,329.4,166.2,530.6,0.0,137.9,175.7,425.4,151.7,190.4,376.7,523.0,276.8,537.7,591.9,690.7,343.9,416.9,581.0,161.1,541.6,259.7,315.4,517.1,328.6,545.1,510.5,404.8,313.4,177.1,366.0,573.7,574.9,260.5,253.2,429.1,447.8,628.7,201.7,449.1,388.8,178.3
OA,474.3,165.2,725.3,222.9,35.4,321.9,341.3,166.4,165.4,207.5,565.9,2845.4,255.9,456.8,292.4,350.6,53.0,420.2,459.2,355.3,374.6,546.2,233.5,36.8,331.9,289.2,311.1,354.1,313.2,468.0,120.6,124.4,489.8,339.4,222.3,583.4,176.2,440.5,249.1,307.3,630.1,412.4,384.9,245.1,141.6,445.0,430.1,191.4,293.3,392.6,127.0,0.0,311.1,287.4,92.0,154.2,238.7,385.0,412.2,399.7,555.7,654.5,205.9,278.9,443.0,296.5,403.6,395.1,450.8,336.6,292.4,407.1,372.5,266.8,175.4,39.1,228.0,537.5,436.9,224.3,217.0,291.1,309.8,592.5,122.0,311.1,250.8,313.7
OE,812.0,502.9,961.2,560.6,373.1,659.6,577.2,402.3,503.1,545.2,801.8,2878.4,151.8,794.5,630.1,701.9,273.6,165.7,695.1,100.8,152.5,782.1,571.2,316.2,669.6,525.1,648.8,691.8,650.9,805.7,356.5,462.1,816.4,28.3,458.2,819.3,412.1,676.4,485.0,195.0,866.0,750.1,722.6,582.8,329.3,680.9,666.0,529.1,377.6,551.9,211.3,337.6,0.0,625.1,351.4,390.1,576.4,722.7,190.1,737.4,791.6,890.4,543.6,616.6,780.7,12.1,741.3,282.8,196.3,716.8,528.3,744.8,710.2,604.5,513.1,376.8,565.7,773.4,774.6,460.2,452.9,628.8,647.5,828.4,401.4,648.8,588.5,59.2
OF,295.2,113.2,687.5,174.2,246.2,92.9,469.5,427.1,170.1,71.9,528.1,2850.1,516.6,295.7,63.4,121.6,313.7,667.3,421.4,587.8,635.3,508.4,191.6,297.5,102.9,417.4,116.9,193.0,95.0,306.9,381.3,149.9,328.7,600.1,442.1,545.6,433.5,402.7,377.3,568.0,592.3,183.4,97.4,103.3,402.3,141.6,392.3,142.7,554.0,342.3,387.7,260.6,571.8,0.0,352.7,414.9,38.6,223.9,672.9,238.6,517.9,616.7,132.5,49.9,263.9,557.2,174.6,655.8,697.9,107.6,346.8,246.0,143.5,182.9,126.7,221.4,179.3,499.7,207.9,485.0,392.7,145.4,22.3,554.7,314.3,37.3,110.8,574.4
OL,562.6,253.5,765.3,311.2,123.7,410.2,381.3,206.4,253.7,295.8,605.9,2933.7,295.9,545.1,380.7,509.8,93.0,460.2,499.2,395.3,414.6,586.2,321.8,62.8,420.2,329.2,399.4,442.4,401.5,556.3,160.6,212.2,578.1,379.4,262.3,623.4,216.2,480.5,289.1,347.3,670.1,500.7,473.2,333.4,181.6,485.0,470.1,279.7,333.3,480.9,167.0,88.2,351.1,375.7,0.0,194.2,327.0,473.3,460.4,488.0,595.7,694.5,286.9,367.2,531.3,336.5,491.9,435.1,490.8,424.9,332.4,495.4,460.8,348.4,263.7,127.3,316.3,577.5,525.2,264.3,257.0,379.4,398.1,632.5,148.0,399.4,339.1,353.7
OO,662.0,330.4,658.3,388.1,200.6,459.7,274.3,99.4,330.6,372.7,498.9,3010.6,299.3,676.1,449.3,399.0,96.4,463.6,392.2,398.7,418.0,479.2,398.7,143.7,469.7,222.2,476.3,573.4,560.0,687.3,53.6,289.6,698.0,382.8,155.3,516.4,109.2,373.5,182.1,350.7,563.1,568.2,600.9,410.3,185.0,378.0,363.1,356.6,336.7,557.8,170.4,165.1,354.5,503.4,178.9,0.0,403.9,604.3,455.6,619.0,488.7,587.5,371.1,462.8,630.7,339.9,559.4,438.5,494.2,413.9,225.4,626.4,528.3,432.0,340.6,204.3,393.2,470.5,592.7,157.3,150.0,456.3,525.8,525.5,216.1,540.8,416.0,357.1
OV,285.4,74.5,677.7,135.5,207.5,83.1,459.7,388.4,131.4,33.2,518.3,2811.4,477.9,285.9,53.6,111.8,275.0,628.6,411.6,549.1,596.6,498.6,171.0,258.8,93.1,407.6,96.3,183.2,74.4,297.1,342.6,111.2,307.8,561.4,432.3,535.8,398.2,392.9,367.5,529.3,582.5,173.6,146.1,152.0,363.6,131.8,382.5,104.0,515.3,303.6,349.0,221.9,533.1,48.6,314.0,376.2,0.0,214.1,634.2,228.8,508.1,606.9,151.9,40.1,254.1,518.5,164.8,617.1,659.2,97.8,337.0,236.2,133.7,162.3,88.0,182.7,140.6,489.9,198.1,446.3,382.9,124.8,71.0,544.9,275.6,86.0,72.1,535.7
OW,188.7,225.2,779.0,232.3,358.2,154.5,561.0,539.1,282.1,250.8,619.6,2962.1,628.6,71.7,194.0,213.1,425.7,779.3,512.9,699.8,747.3,599.9,168.5,409.5,144.5,508.9,122.3,30.9,144.2,82.9,493.3,261.9,104.7,712.1,533.6,637.1,525.0,494.2,468.8,680.0,683.8,248.2,321.4,327.3,514.3,233.1,483.8,200.2,666.0,433.7,499.7,372.6,683.8,223.9,464.7,526.9,224.1,0.0,784.9,14.7,609.4,708.2,302.6,195.6,157.4,669.2,284.1,767.8,809.9,199.1,438.3,22.0,253.0,159.8,215.4,333.4,288.3,591.2,223.7,597.0,484.2,103.8,246.3,646.2,426.3,261.3,294.1,686.4
PM,857.1,548.0,1006.3,611.1,418.2,704.7,622.3,447.4,548.2,595.7,846.9,2975.9,196.9,839.6,675.2,756.2,318.7,263.2,740.2,198.3,178.8,832.6,616.3,361.3,720.1,570.2,693.9,736.9,696.0,850.8,401.6,513.3,872.6,187.8,503.3,864.4,457.2,721.5,530.1,240.1,911.1,795.2,773.1,628.5,374.4,731.4,711.1,579.6,422.7,649.4,256.4,382.7,154.1,670.2,401.9,435.2,621.5,767.8,0.0,787.9,836.7,935.5,581.4,661.7,825.8,144.9,786.4,327.9,293.8,761.9,578.8,789.9,755.3,648.3,563.6,420.7,616.2,818.5,825.1,505.3,498.0,673.9,692.6,873.5,433.7,693.9,633.6,162.1
QN,203.4,239.9,793.7,247.0,372.9,169.2,575.7,553.8,296.8,265.5,634.3,2976.8,643.3,57.0,208.7,224.3,440.4,794.0,527.6,714.5,762.0,614.6,183.2,424.2,159.2,523.6,137.0,45.6,158.9,68.2,508.0,275.8,90.0,726.8,548.3,651.8,539.7,508.9,483.5,694.7,698.5,262.9,336.1,341.4,529.0,247.8,498.5,214.9,680.7,448.4,514.4,387.3,698.5,238.6,479.4,541.6,238.8,14.7,807.8,0.0,624.1,722.9,310.0,210.3,172.1,683.9,298.8,782.5,824.6,213.8,453.0,7.3,267.7,149.5,230.1,348.1,303.0,605.9,238.4,611.7,498.9,118.5,261.0,660.9,441.0,276.0,308.8,701.1
QQ,687.1,603.3,340.6,664.3,632.1,484.8,435.4,440.7,660.2,562.0,181.2,3340.2,730.8,701.2,474.4,424.1,527.9,895.1,106.4,830.2,849.5,161.5,678.5,575.2,494.8,383.3,607.0,598.5,585.1,712.4,454.0,640.0,723.1,814.3,408.0,198.7,399.4,125.1,343.2,782.2,74.3,593.3,626.0,631.9,616.5,403.1,135.5,632.8,768.2,832.4,601.9,596.6,786.0,528.5,610.4,498.7,528.7,629.4,887.1,644.1,0.0,269.8,661.1,487.9,655.8,771.4,584.5,870.0,925.7,439.0,312.7,651.5,553.4,669.8,616.8,635.8,669.4,152.8,617.8,498.6,358.6,613.8,550.9,207.8,660.4,565.9,600.9,788.6
QT,780.5,696.7,70.7,757.7,725.5,578.2,528.8,534.1,753.6,655.4,93.1,3433.6,824.2,794.6,567.8,517.5,621.3,988.5,199.8,923.6,942.9,112.8,771.9,668.6,588.2,476.7,700.4,691.9,678.5,796.9,547.4,733.4,816.5,907.7,501.4,75.6,492.8,218.5,436.6,875.6,358.8,686.7,719.4,725.3,709.9,496.5,228.9,726.2,861.6,925.8,695.3,690.0,879.4,621.9,703.8,592.1,622.1,722.8,980.5,737.5,284.4,0.0,754.5,581.3,749.2,864.8,677.9,963.4,1019.1,532.4,406.1,744.9,646.8,763.2,710.2,729.2,762.8,121.5,711.2,592.0,452.0,707.2,644.3,66.5,753.8,659.3,694.3,882.0
RY,445.1,99.1,837.4,156.8,175.4,242.8,531.2,356.3,81.3,221.8,678.0,2761.3,445.8,445.6,213.3,268.0,242.9,596.5,571.3,517.0,564.5,658.3,167.4,226.7,252.8,479.1,266.8,342.9,244.9,456.8,310.5,78.3,467.5,529.3,412.2,695.5,366.1,552.6,439.0,497.2,742.2,333.3,190.6,46.4,331.5,291.5,542.2,125.3,483.2,169.4,316.9,189.8,501.0,149.8,281.9,344.1,188.5,373.8,610.3,388.5,667.8,766.6,0.0,199.8,413.8,486.4,324.5,585.0,627.1,257.5,482.3,395.9,293.4,194.0,109.3,150.7,161.9,649.6,357.8,414.2,406.9,295.3,127.4,704.6,230.7,112.4,260.7,503.6
SH,245.2,115.3,637.5,176.3,248.3,42.9,419.5,424.8,172.2,74.0,478.1,2852.2,518.7,259.3,13.5,71.6,315.8,669.4,371.4,589.9,637.4,458.4,193.7,299.6,52.9,367.4,119.0,156.6,97.1,270.5,383.4,152.0,281.2,602.2,392.1,495.6,383.5,352.7,327.3,570.1,542.3,133.4,138.0,143.9,404.4,91.6,342.3,144.8,556.1,344.4,389.8,262.7,573.9,40.5,354.8,417.0,40.7,187.5,675.0,202.2,467.9,566.7,173.1,0.0,213.9,559.3,124.6,657.9,700.0,57.6,296.8,209.6,93.5,185.0,128.8,223.5,181.4,449.7,157.9,482.7,342.7,143.2,62.9,504.7,316.4,77.9,112.9,576.5
SU,46.3,257.5,769.7,264.6,390.5,145.2,551.7,557.0,314.4,272.3,610.3,2994.4,660.9,223.5,184.7,203.8,458.0,811.6,503.6,732.1,779.6,590.6,200.8,441.8,135.2,499.6,154.6,120.8,176.5,234.7,525.6,294.2,256.5,744.4,524.3,627.8,515.7,484.9,459.5,712.3,674.5,90.7,336.3,342.2,546.6,223.8,474.5,232.5,698.3,466.0,532.0,404.9,716.1,238.8,497.0,559.2,239.0,151.7,817.2,166.4,600.1,698.9,334.9,198.2,0.0,701.5,219.4,800.1,842.2,189.8,429.0,173.8,188.3,192.1,247.7,365.7,320.6,581.9,66.2,614.9,474.9,136.1,261.2,636.9,458.6,276.2,311.2,718.7
SW,799.9,490.8,949.1,548.5,361.0,647.5,565.1,390.2,491.0,533.1,789.7,2866.3,139.7,782.4,618.0,693.6,261.5,153.6,683.0,88.7,140.4,770.0,559.1,304.1,657.5,513.0,636.7,679.7,638.8,793.6,344.4,450.7,804.3,42.8,446.1,807.2,400.0,664.3,472.9,182.9,853.9,738.0,710.5,570.7,317.2,668.8,653.9,517.0,365.5,539.8,199.2,325.5,14.5,613.0,339.3,378.0,564.3,710.6,186.2,725.3,779.5,878.3,524.2,604.5,768.6,0.0,729.2,270.7,184.2,704.7,516.2,732.7,698.1,585.7,501.0,364.6,553.6,761.3,762.5,448.1,440.8,616.7,635.4,816.3,376.5,636.7,576.4,47.1
SY,235.4,230.0,704.1,291.0,363.0,129.5,486.1,491.4,286.9,188.7,544.7,2966.9,633.4,345.9,101.1,138.2,430.5,784.1,438.0,704.6,752.1,525.0,308.4,414.3,139.5,434.0,233.7,243.2,211.8,357.1,498.1,266.7,378.9,716.9,458.7,562.2,450.1,419.3,393.9,684.8,608.9,108.2,252.7,258.6,519.1,158.2,408.9,259.5,670.8,459.1,504.5,377.4,688.6,155.2,469.5,531.7,155.4,274.1,789.7,288.8,534.5,633.3,287.8,114.6,189.0,674.0,0.0,772.6,814.7,124.2,363.4,296.2,31.0,299.7,243.5,338.2,296.1,516.3,132.7,549.3,409.3,257.9,177.6,571.3,418.3,192.6,227.6,691.2
TJ,903.0,593.9,1052.2,651.6,464.1,750.6,668.2,493.3,594.1,636.2,892.8,3091.6,242.8,885.5,721.1,792.9,364.6,378.9,786.1,314.0,333.3,873.1,662.2,407.2,760.6,616.1,739.8,782.8,741.9,896.7,447.5,553.1,907.4,298.1,549.2,910.3,503.1,767.4,576.0,145.8,957.0,841.1,813.6,673.8,420.3,771.9,757.0,620.1,468.6,765.1,302.3,428.6,269.8,716.1,442.4,481.1,667.4,813.7,370.9,828.4,882.6,981.4,634.6,707.6,871.7,255.2,832.3,0.0,409.5,807.8,619.3,835.8,801.2,695.5,604.1,467.8,656.7,864.4,865.6,551.2,543.9,719.8,738.5,919.4,492.4,739.8,679.5,272.4
TK,878.6,569.5,1069.2,627.2,481.1,726.2,685.2,510.3,569.7,611.8,909.8,2905.7,259.8,861.1,696.7,809.9,381.6,23.5,803.1,133.5,260.5,890.1,637.8,424.2,736.2,633.1,715.4,758.4,717.5,872.3,464.5,528.7,883.0,212.9,566.2,927.3,520.1,784.4,593.0,303.0,974.0,816.7,789.2,649.4,437.3,788.9,774.0,595.7,485.6,579.2,319.3,445.6,184.6,691.7,459.4,498.1,643.0,789.3,298.1,804.0,899.6,998.4,610.2,683.2,847.3,170.0,807.9,390.8,0.0,824.8,636.3,811.4,776.8,671.1,579.7,484.8,632.3,881.4,841.2,568.2,560.9,695.4,714.1,936.4,496.6,715.4,655.1,120.9
TQ,248.0,164.2,579.8,225.2,297.2,45.7,361.8,367.1,221.1,122.9,420.4,2901.1,567.6,262.1,35.3,14.0,364.7,718.3,313.7,638.8,686.3,400.7,239.4,348.5,55.7,309.7,167.9,159.4,146.0,273.3,380.4,200.9,284.0,651.1,334.4,437.9,325.8,295.0,269.6,619.0,484.6,154.2,186.9,192.8,453.3,34.0,284.6,193.7,605.0,393.3,438.7,311.6,622.8,89.4,403.7,425.1,89.6,190.3,723.9,205.0,410.2,509.0,222.0,48.8,216.7,608.2,145.4,706.8,748.9,0.0,239.1,212.4,114.3,230.7,177.7,272.4,230.3,392.0,178.7,425.0,285.0,174.7,111.8,447.0,352.5,126.8,161.8,625.4
TS,496.0,412.2,492.3,473.2,348.8,293.7,152.1,157.4,469.1,370.9,332.9,3149.1,447.5,510.1,283.3,236.8,244.6,611.8,226.2,546.9,566.2,313.2,487.4,291.9,303.7,100.0,415.9,407.4,394.0,521.3,170.7,449.6,532.0,531.0,124.7,350.4,116.1,207.5,59.9,498.9,397.1,402.2,434.9,440.8,333.2,212.0,197.1,441.7,484.9,641.3,318.6,313.3,502.7,337.4,327.1,215.4,337.6,438.3,603.8,453.0,322.7,421.5,477.3,296.8,464.7,488.1,393.4,586.7,642.4,247.9,0.0,460.4,362.3,453.7,425.7,352.5,478.3,304.5,426.7,215.3,75.3,422.7,359.8,359.5,377.1,374.8,409.8,505.3
TX,210.8,247.3,801.1,254.4,380.3,176.6,583.1,561.2,304.2,272.9,641.7,2984.2,650.7,49.6,216.1,235.2,447.8,801.4,535.0,721.9,769.4,622.0,190.6,431.6,166.6,531.0,144.4,52.9,166.3,60.8,515.4,284.0,82.6,734.2,555.7,659.2,547.1,516.3,490.9,702.1,705.9,270.3,343.5,349.4,536.4,255.2,505.9,222.3,688.1,455.8,521.8,394.7,705.9,246.0,486.8,549.0,246.2,22.0,807.0,7.3,631.5,730.3,324.7,217.7,179.5,691.3,306.2,789.9,832.0,221.2,460.4,0.0,275.1,181.9,237.5,355.5,310.4,613.3,245.8,619.1,506.3,125.9,268.4,668.3,448.4,283.4,316.2,708.5
UB,204.3,198.9,673.0,259.9,331.9,98.4,455.0,460.3,255.8,157.6,513.6,2935.8,602.3,314.8,70.0,107.1,399.4,753.0,406.9,673.5,721.0,493.9,277.3,383.2,108.4,402.9,202.6,212.1,180.7,326.0,467.0,235.6,336.7,685.8,427.6,531.1,419.0,388.2,362.8,653.7,577.8,77.1,221.6,227.5,488.0,127.1,377.8,228.4,639.7,428.0,473.4,346.3,657.5,124.1,438.4,500.6,124.3,243.0,758.6,257.7,503.4,602.2,256.7,83.5,157.9,642.9,31.0,741.5,783.6,93.1,332.3,265.1,0.0,268.6,212.4,307.1,265.0,485.2,101.6,518.2,378.2,226.8,146.5,540.2,400.0,161.5,196.5,660.1
UE,214.1,90.3,797.0,97.4,223.3,179.9,579.0,404.2,147.2,115.9,637.6,2827.2,493.7,196.6,172.9,227.6,290.8,644.4,530.9,564.9,612.4,617.9,33.6,274.6,169.9,526.9,50.9,93.9,72.8,207.8,358.4,127.7,218.5,577.2,460.1,655.1,414.0,512.2,486.8,545.1,701.8,273.6,265.4,206.9,379.4,251.1,501.8,65.3,531.1,298.8,364.8,237.7,548.9,167.9,329.8,392.0,147.1,124.8,650.0,139.5,627.4,726.2,160.4,159.4,182.8,534.3,284.1,632.9,675.0,217.1,456.3,146.9,253.0,0.0,80.5,198.6,153.4,609.2,249.1,462.1,454.8,30.9,190.3,664.2,291.4,205.3,159.2,551.5
UI,298.8,9.7,744.3,47.4,142.7,149.7,498.5,323.6,66.6,35.3,584.9,2746.6,413.1,281.3,120.2,174.9,210.2,563.8,478.2,484.3,531.8,565.2,58.0,194.0,159.7,446.4,162.9,178.6,141.0,292.5,277.8,45.6,314.3,496.6,379.5,602.4,333.4,459.5,406.3,464.5,649.1,240.2,212.7,126.9,298.8,198.4,449.1,15.9,450.5,215.5,284.2,157.1,468.3,115.2,249.2,311.4,66.5,209.5,577.6,224.2,574.7,673.5,79.8,106.7,267.5,453.7,231.4,552.3,594.4,164.4,403.6,231.6,200.3,84.6,0.0,117.9,72.8,556.5,264.7,381.5,374.2,115.6,137.6,611.5,210.8,152.6,78.6,470.9
