from_stop,AD,AN,BN,BO,CH,CU,DF,EA,EC,EF,EH,EM,EQ,ER,ES,ET,FL,FO,FQ,FV,GE,GF,GJ,GW,IN,IU,IY,IZ,JC,KD,KH,LR,LW,MI,MS,MU,MY,NK,NV,PH,RF,RH,SE,SS,TQ,TU,TW,VJ,VM,VP,WR,XK,XO,XT,XV,XW,YI,YN,YO,YX,ZE,ZH,ZK,ZL
XO,265.0,366.2,287.2,315.5,175.0,283.9,304.5,202.8,118.7,310.2,100.5,70.8,107.1,127.0,82.5,182.2,74.5,31.5,300.3,325.5,168.0,326.4,300.9,149.9,198.9,289.1,257.8,211.5,206.3,274.7,75.1,62.7,232.5,153.8,166.1,151.4,152.5,259.4,273.2,293.0,151.1,176.1,274.2,336.8,193.4,207.6,110.4,246.5,222.2,203.1,105.8,162.3,0.0,305.1,228.4,245.8,68.7,218.2,275.0,190.7,232.2,2543.2,52.6,302.1
XT,452.8,428.3,200.2,83.2,212.7,31.6,72.2,371.9,161.8,57.9,295.5,259.5,294.7,153.5,262.3,196.3,262.3,295.8,76.2,241.4,170.2,59.9,4.2,197.1,386.5,21.9,214.6,206.4,393.9,253.7,311.7,266.5,420.1,341.5,353.7,339.2,333.6,174.7,168.2,480.6,213.8,363.7,187.2,84.5,188.3,400.3,170.3,200.4,201.4,198.0,290.1,203.0,251.5,0.0,416.0,433.4,280.2,405.8,465.8,378.3,186.1,2485.1,297.6,194.5
XV,67.5,277.7,214.9,341.5,239.4,351.7,330.5,106.0,275.4,378.3,210.1,207.1,205.4,283.7,223.9,257.5,244.8,197.3,346.1,266.7,324.7,360.1,377.6,280.3,185.9,370.6,199.0,255.8,193.3,289.8,144.5,199.0,35.0,182.8,108.4,123.1,158.8,249.1,264.4,95.5,263.3,163.1,227.9,380.0,273.9,161.9,267.1,215.1,237.3,264.2,198.4,252.1,216.4,372.5,0.0,48.3,204.2,205.2,77.5,79.3,241.8,2662.8,176.0,246.4
XW,46.9,317.2,254.4,381.0,278.9,391.2,370.0,85.4,314.9,417.8,244.1,246.6,232.9,323.2,251.4,297.0,223.0,236.8,385.8,306.2,364.2,399.6,417.1,329.3,165.3,408.6,238.5,295.3,172.7,329.3,194.0,238.5,9.0,162.3,87.8,102.5,154.6,288.6,302.4,74.9,302.8,142.5,267.4,419.5,313.4,136.2,306.6,254.6,276.8,303.7,179.6,291.6,255.9,412.9,79.7,0.0,231.7,184.6,56.9,58.7,281.3,2702.3,215.5,285.9
YI,232.7,388.7,296.3,329.8,195.8,307.8,328.4,170.5,133.0,324.5,43.7,56.9,99.1,150.9,27.4,203.8,66.5,152.1,332.4,349.4,182.3,340.7,324.8,164.2,190.9,307.0,281.7,235.4,198.3,289.0,108.3,48.8,200.2,145.7,133.8,141.6,128.4,284.2,298.3,260.7,176.1,168.1,296.7,360.7,217.3,162.4,124.7,270.4,246.1,227.0,94.5,186.1,107.8,328.8,196.1,213.5,0.0,210.2,260.6,158.4,256.1,2567.1,75.8,324.6
YN,215.5,377.7,314.9,380.7,240.2,349.1,369.7,188.8,183.9,375.4,138.1,141.9,128.5,192.2,135.8,247.4,79.1,180.7,365.5,366.7,233.2,391.6,366.1,224.6,149.4,354.3,299.0,276.7,156.8,339.9,216.3,148.9,183.0,32.3,116.6,101.9,156.5,311.9,320.6,243.5,216.3,126.6,326.7,402.0,258.6,158.1,175.6,311.7,287.4,268.3,98.5,227.5,149.1,370.3,178.9,196.3,165.5,0.0,206.2,141.2,297.4,2608.4,180.0,346.4
YO,10.3,331.6,268.8,421.2,321.0,433.3,412.1,87.2,329.6,456.7,239.4,268.8,234.7,337.9,261.0,339.1,224.8,291.6,427.9,320.6,378.9,441.7,459.2,360.8,167.1,444.7,252.9,337.4,174.5,371.4,203.0,260.7,85.6,161.2,89.6,104.3,162.9,294.3,344.5,64.2,344.9,144.3,281.8,461.6,355.5,138.0,321.3,269.0,271.5,345.8,178.2,330.9,298.0,455.2,78.3,98.9,233.5,186.4,0.0,60.5,285.1,2744.4,237.7,300.3
YX,74.2,271.0,208.2,408.2,306.1,418.4,397.2,26.6,269.0,445.0,185.3,208.2,174.6,277.3,192.6,324.2,164.2,235.0,413.0,260.0,318.3,426.8,444.3,300.2,106.5,435.8,192.3,322.5,113.9,356.5,155.6,200.1,41.7,103.5,29.0,43.7,95.8,236.0,329.6,102.2,330.0,83.7,221.2,446.7,340.6,77.4,260.7,208.4,210.9,330.9,120.8,318.8,254.1,440.1,37.6,55.0,172.9,125.8,84.2,0.0,224.5,2700.5,177.1,239.7
ZE,288.8,276.0,72.2,153.5,71.2,163.7,142.5,208.6,126.6,190.3,235.6,207.0,242.7,134.9,217.6,51.5,209.6,230.6,158.3,124.0,135.9,172.1,189.6,74.3,322.5,181.1,28.4,67.8,329.9,70.1,169.4,213.9,256.3,288.9,251.9,259.7,225.2,61.1,74.9,316.8,108.8,299.7,85.2,192.0,85.9,275.4,117.6,14.2,49.1,76.2,240.9,98.3,199.0,185.4,252.2,269.6,237.9,341.8,298.8,214.5,0.0,2554.3,190.9,103.7
ZH,2525.1,2484.3,2342.1,2322.7,2337.2,2260.4,2311.7,2427.2,2280.9,2240.7,2360.6,2332.0,2367.2,2289.2,2342.6,2344.4,2334.6,2355.6,2296.2,2323.0,2330.2,2270.1,2287.9,2312.1,2459.0,2299.7,2304.4,2373.7,2466.4,2288.7,2392.6,2339.0,2492.6,2413.9,2426.2,2411.5,2412.6,2334.6,2327.8,2553.1,2313.3,2436.2,2349.4,2225.9,2355.6,2467.7,2272.6,2362.6,2375.0,2365.3,2365.9,2324.5,2324.0,2283.7,2488.5,2505.9,2372.3,2478.3,2535.1,2450.8,2348.3,0.0,2370.1,2329.3
ZK,247.9,313.5,234.5,299.1,197.0,309.3,288.1,185.7,146.0,335.9,97.2,31.0,119.2,154.3,62.9,215.1,86.6,115.0,303.9,292.4,195.3,317.7,335.2,177.2,211.0,326.7,227.9,213.4,218.4,247.4,22.4,22.9,215.4,165.9,149.0,156.8,122.3,206.7,220.5,275.9,178.4,188.2,221.5,337.6,231.5,172.5,137.7,213.7,194.9,221.8,117.9,209.7,134.1,331.0,211.3,228.7,46.9,230.3,257.9,173.6,199.4,2580.5,0.0,249.4
ZL,314.9,327.4,59.3,163.3,122.6,173.5,152.3,234.7,184.2,200.1,301.7,273.4,308.8,201.1,283.7,120.9,275.7,296.7,168.1,46.8,165.2,181.9,199.4,153.2,373.9,190.9,113.7,98.2,381.3,96.2,220.8,265.3,282.4,355.0,303.3,311.1,276.6,71.5,27.2,342.9,146.5,351.1,72.3,201.8,116.3,326.8,187.0,99.5,100.5,106.6,307.0,135.3,265.1,195.2,278.3,295.7,289.3,393.2,324.9,240.6,85.2,2545.8,242.3,0.0
