from_stop,AA,AU,BA,BD,BI,BQ,BT,CJ,CQ,CZ,DE,DJ,DP,DT,DY,EI,EK,EP,EQ,EU,EV,FJ,FL,FM,FO,FU,GC,GD,GW,GZ,HG,HV,HZ,IC,IJ,IX,JH,JR,JW,KG,KN,KP,KU,LJ,LN,ME,MI,ML,MP,MQ,MW,NJ,NV,OF,PJ,PL,PU,QU,QZ,RD,RI,SP,SQ,TG,TT,TU,TX,UA,WC,WF,WN,WX,YH,YL,YU,ZF,ZM,ZO,ZU
KU,216.8,417.8,108.4,207.2,97.4,423.6,141.8,457.7,68.9,337.4,226.8,412.4,360.2,433.2,380.0,329.4,389.6,392.0,174.0,57.9,389.0,337.7,78.9,375.6,75.6,134.8,146.2,446.3,35.7,80.5,158.3,83.7,411.5,99.8,276.6,95.4,214.8,117.6,158.8,113.4,327.3,379.0,0.0,245.1,424.7,315.7,365.3,139.5,181.9,351.4,240.7,388.0,325.1,140.2,393.0,357.6,308.6,137.1,433.2,371.9,122.4,118.8,1182.2,160.8,179.7,373.7,150.5,129.3,121.7,415.9,449.4,423.8,213.3,385.2,173.2,236.2,364.0,252.5,161.8
LJ,173.6,345.7,93.9,96.1,63.7,353.8,158.9,387.9,151.0,267.6,115.7,343.4,283.6,363.4,310.2,259.6,319.8,322.2,112.8,152.0,319.2,267.9,72.6,305.8,131.6,164.5,16.2,376.5,225.4,130.6,73.2,179.7,341.7,121.7,140.0,103.7,103.7,92.7,146.9,172.0,216.2,309.2,189.6,0.0,351.1,204.6,295.5,10.7,56.2,281.6,129.6,318.1,255.3,164.6,323.2,287.8,238.8,85.4,369.6,302.1,181.3,142.1,1256.9,171.8,116.3,305.1,98.8,159.0,103.7,346.1,379.6,354.0,102.2,336.6,121.5,125.1,297.9,141.4,69.4
LN,396.3,175.0,438.6,336.3,408.4,155.4,505.8,171.7,464.2,322.6,356.4,134.5,69.8,147.2,60.0,101.5,67.2,33.7,335.5,453.2,374.2,322.9,417.3,360.8,468.0,499.6,373.0,160.3,448.1,475.3,383.6,403.1,149.5,466.4,486.9,448.4,344.4,437.4,482.0,507.1,456.9,364.2,412.3,356.7,0.0,452.6,85.1,367.5,409.3,82.0,352.3,150.0,131.6,509.3,158.2,75.8,293.8,430.1,125.2,87.7,398.8,486.8,1479.6,506.9,451.4,93.5,443.5,494.1,326.4,153.9,163.4,163.6,312.5,32.9,466.2,365.8,352.9,382.1,404.5
ME,68.4,356.9,181.5,179.7,151.3,371.6,246.5,401.7,213.0,288.7,66.2,361.1,308.1,381.2,328.0,277.4,337.6,336.0,84.3,198.0,337.0,285.6,160.1,323.6,220.4,252.0,104.6,390.3,196.9,218.1,110.4,151.2,355.5,198.4,227.5,193.0,75.5,176.3,234.5,262.9,13.2,327.0,161.1,83.5,364.9,0.0,313.3,98.2,143.7,295.4,79.1,335.9,273.1,252.2,365.7,305.6,256.6,173.0,387.3,319.9,56.9,230.7,1228.4,259.3,203.9,321.6,186.3,246.6,69.7,363.9,397.4,371.8,186.6,333.2,209.1,57.8,315.6,55.5,157.0
MI,311.1,144.2,353.4,251.1,323.2,165.5,420.6,180.2,379.0,237.4,271.2,98.8,119.0,155.7,78.0,27.4,123.5,90.0,250.3,368.0,289.0,237.7,332.1,275.6,385.7,414.4,288.7,168.8,362.9,390.1,298.4,317.9,205.8,370.4,401.7,363.2,259.2,352.2,396.8,421.9,371.7,279.0,327.1,271.5,122.7,360.1,0.0,282.0,320.7,49.4,267.1,114.4,46.4,424.1,73.0,55.6,208.6,344.9,175.3,144.0,313.6,402.7,1394.4,421.7,366.2,8.3,358.3,408.9,241.2,210.2,171.9,198.2,227.3,83.2,381.0,280.6,264.0,296.9,319.3
ML,168.9,375.3,177.2,135.9,147.0,381.1,148.1,415.2,234.3,294.9,161.0,370.7,318.7,390.7,337.5,286.9,347.1,349.5,158.1,235.3,346.5,295.2,155.9,333.1,214.9,153.7,6.6,403.8,268.8,213.9,110.4,225.7,369.0,194.2,129.2,187.0,149.0,209.6,136.1,161.2,261.5,336.5,234.9,179.3,378.4,253.3,322.8,0.0,42.0,308.9,174.9,345.5,282.8,176.0,350.5,315.1,266.1,116.2,396.9,329.4,226.6,226.5,1302.2,161.0,105.5,331.2,99.4,148.2,149.0,373.4,406.9,381.3,129.5,363.9,129.6,170.4,325.2,186.7,58.6
MP,184.2,398.3,227.3,144.5,188.2,412.4,200.2,446.5,284.4,322.8,211.1,402.0,342.2,422.0,368.8,318.2,378.4,380.8,208.2,282.0,377.8,328.0,202.6,364.4,265.0,204.4,167.6,431.7,307.8,264.0,129.1,272.4,400.3,255.1,177.9,233.7,199.1,256.3,205.6,226.7,316.7,367.8,285.0,226.0,409.7,300.0,354.1,162.1,0.0,336.8,225.0,376.7,310.5,249.2,378.4,346.4,297.4,202.2,424.8,360.7,186.7,265.5,1352.3,234.2,178.5,363.7,178.3,213.7,199.1,404.7,438.2,412.6,158.8,366.9,202.6,220.5,353.1,236.8,77.3
MQ,330.2,97.8,372.5,270.2,342.3,162.2,439.7,130.7,398.1,256.5,290.3,53.2,68.4,106.2,76.1,26.6,74.0,40.5,269.4,387.1,308.1,256.8,351.2,294.7,401.9,433.5,306.9,119.3,382.0,409.2,317.5,336.3,156.3,400.3,420.8,382.3,278.3,371.3,415.9,441.0,394.1,298.1,346.2,290.6,69.4,382.6,91.9,301.4,339.8,0.0,286.2,67.9,65.5,443.2,92.1,6.1,227.7,364.0,132.0,94.5,332.7,420.7,1413.5,440.8,385.3,100.3,377.4,428.0,260.3,160.7,122.4,164.5,246.4,81.3,400.1,299.7,286.8,316.0,338.4
MW,178.0,352.4,98.3,100.5,68.1,358.2,163.3,392.3,155.4,272.0,120.1,347.6,288.0,367.8,314.6,264.0,324.2,326.6,117.2,156.4,323.6,272.3,77.0,310.2,136.0,168.9,20.6,380.9,229.8,135.0,77.6,184.8,346.1,115.3,144.4,108.1,108.1,97.1,151.3,176.4,225.7,313.6,194.0,4.4,355.5,209.0,299.9,15.1,57.2,286.0,0.0,322.5,259.7,169.0,327.6,292.2,243.2,89.8,374.0,306.5,185.7,146.5,1261.3,176.2,120.7,308.3,107.5,163.4,108.1,350.5,384.0,358.4,106.6,312.7,125.9,129.5,302.3,145.8,73.8
NJ,388.6,121.7,430.9,328.6,400.7,237.5,498.1,98.2,456.5,314.9,348.7,88.7,154.9,55.7,178.3,128.8,168.3,134.8,327.8,445.5,366.5,316.7,409.6,353.1,468.6,491.9,366.2,68.8,440.4,467.6,375.9,395.4,250.6,458.7,479.2,440.7,336.7,429.7,474.3,499.4,449.2,356.5,404.6,349.0,151.5,440.9,170.2,359.7,398.2,102.1,344.6,0.0,129.9,501.6,150.5,95.9,286.1,422.4,223.7,182.4,391.1,480.2,1471.9,499.2,443.7,178.6,430.5,486.4,318.7,255.0,71.9,183.1,304.8,137.0,458.5,358.1,345.2,374.4,396.8
NV,361.4,87.7,403.7,301.4,373.5,216.5,470.9,129.2,429.3,287.7,321.5,47.8,130.9,104.7,107.3,57.8,128.3,94.8,300.6,418.3,339.3,288.0,382.4,325.9,433.1,464.7,338.1,117.8,413.2,440.4,348.7,367.5,210.6,420.7,452.0,413.5,309.5,402.5,447.1,472.2,422.0,329.3,377.4,321.8,123.7,413.7,146.2,332.4,371.0,54.2,317.4,62.7,0.0,474.4,123.3,60.4,258.9,395.2,186.3,148.8,363.9,451.9,1444.7,472.0,416.5,154.6,403.3,459.2,291.5,215.0,120.9,151.7,277.6,105.4,431.3,330.9,318.0,347.2,369.6
OF,255.7,496.5,112.2,246.1,149.4,502.3,98.0,536.4,85.1,416.1,265.7,491.1,438.9,511.9,458.7,408.1,468.3,470.7,212.9,96.1,467.7,416.4,143.2,454.3,78.4,91.0,185.1,525.0,94.6,39.7,197.2,214.2,490.2,53.3,194.4,102.0,253.7,81.9,55.4,89.4,366.2,457.7,130.4,284.0,503.4,354.6,444.0,178.4,174.9,430.1,279.6,466.7,403.8,0.0,471.7,436.3,387.3,136.7,511.9,450.6,258.2,15.5,1312.7,20.6,99.4,452.4,119.9,85.5,253.7,494.6,528.1,502.5,250.7,463.9,123.5,275.1,442.7,291.4,154.2
PJ,238.0,0.0,280.3,178.0,250.1,253.8,347.5,212.5,305.9,164.3,198.1,61.4,227.2,188.0,273.1,223.6,250.8,237.6,177.2,294.9,215.9,164.6,259.0,202.5,435.9,341.3,338.9,201.1,289.8,317.0,225.3,244.8,296.0,297.3,328.6,290.1,186.1,279.1,323.7,469.9,424.8,205.9,254.0,198.4,248.0,411.5,250.7,209.2,247.6,198.6,194.0,200.7,208.4,351.0,0.0,192.4,135.5,271.8,240.0,271.3,240.5,328.5,1321.3,348.6,293.1,259.1,279.9,335.8,168.1,300.4,204.2,178.6,154.2,271.2,307.9,207.5,194.6,223.8,246.2
PL,336.4,104.0,378.7,276.4,348.5,156.0,445.9,124.5,404.3,262.7,296.5,58.6,63.3,100.0,82.3,32.8,67.8,34.3,275.6,393.3,314.3,263.0,357.4,300.9,411.0,439.7,314.0,113.1,388.2,415.4,323.7,342.5,150.1,395.7,427.0,388.5,284.5,377.5,422.1,447.2,397.0,304.3,352.4,296.8,67.0,385.4,85.7,307.3,346.0,6.1,292.4,74.2,71.7,449.4,98.3,0.0,233.9,370.2,119.6,88.3,338.9,428.0,1419.7,447.0,391.5,94.1,383.6,434.2,266.5,154.5,116.2,158.3,252.6,87.5,406.3,305.9,289.3,322.2,344.6
PU,228.6,257.7,270.9,168.6,240.7,268.4,338.1,302.5,296.5,69.9,188.7,257.2,205.0,278.0,224.8,174.2,234.4,236.8,167.8,285.5,121.5,29.1,249.6,108.1,303.2,331.9,206.2,291.1,280.4,307.6,215.9,234.7,256.3,287.9,319.2,280.7,176.7,269.7,314.3,339.4,289.2,111.5,244.6,189.0,269.5,277.6,210.1,199.5,238.2,196.2,184.6,232.8,169.9,341.6,237.8,202.4,0.0,262.4,278.0,216.7,231.1,320.2,1311.9,339.2,283.7,218.5,275.8,326.4,158.7,260.7,294.2,268.6,144.8,230.0,298.5,198.1,96.5,214.4,236.8
QU,181.6,417.9,67.0,172.0,70.8,423.7,122.6,457.8,124.1,337.5,191.6,412.5,360.3,433.3,380.1,329.5,389.7,392.1,138.8,135.1,389.1,337.8,69.1,375.7,117.4,115.6,111.0,446.4,158.6,103.7,123.1,205.7,411.6,84.0,163.7,76.8,179.6,65.8,98.0,123.1,292.1,379.1,151.1,209.9,424.8,280.5,365.4,104.3,102.6,351.5,205.5,388.1,325.2,137.7,393.1,357.7,308.7,0.0,433.3,372.0,184.1,116.3,1282.9,122.9,67.4,373.8,13.4,110.1,179.6,416.0,449.5,423.9,172.1,385.3,91.5,201.0,364.1,217.3,75.6
QZ,410.7,226.5,453.0,350.7,422.8,63.2,520.2,225.4,478.6,337.0,370.8,183.4,85.5,200.9,163.1,127.0,46.8,77.9,349.9,467.6,388.6,337.3,431.7,375.2,482.4,514.0,387.4,214.0,462.5,489.7,398.0,416.8,82.1,480.8,501.3,462.8,358.8,451.8,496.4,521.5,471.3,378.6,426.7,371.1,131.5,459.7,99.5,381.9,420.3,130.9,366.7,198.9,146.0,523.7,172.6,124.7,308.2,444.5,0.0,65.4,413.2,501.2,1501.4,521.3,465.8,107.9,452.6,508.5,340.8,86.5,217.1,73.7,326.9,164.5,480.6,380.2,367.3,396.5,418.9
RD,345.2,176.0,387.5,285.2,357.3,97.6,454.7,214.3,413.1,271.5,305.3,132.9,46.9,189.8,112.1,61.5,31.3,62.4,284.4,402.1,323.1,271.8,366.2,309.7,419.8,448.5,322.8,202.9,397.0,424.2,332.5,352.0,91.7,404.5,435.8,397.3,293.3,386.3,430.9,456.0,405.8,313.1,361.2,305.6,119.8,394.2,34.0,316.1,354.8,83.5,301.2,148.5,80.5,458.2,107.1,89.7,242.7,379.0,61.2,0.0,347.7,436.8,1428.5,455.8,400.3,42.4,392.4,443.0,275.3,96.1,206.0,87.8,261.4,117.3,415.1,314.7,298.1,331.0,353.4
RI,51.3,361.3,268.4,219.9,238.2,369.4,262.3,403.5,325.5,283.2,71.4,358.8,299.2,379.0,325.8,275.2,335.4,337.8,107.5,225.2,334.8,283.5,247.1,321.4,321.7,357.6,120.5,392.1,220.1,305.1,130.2,174.4,357.3,296.2,243.4,278.2,83.8,267.2,340.0,354.8,138.8,324.8,184.3,103.3,366.7,131.2,311.1,114.1,156.2,297.2,98.9,333.7,270.9,339.1,338.8,303.4,254.4,259.9,385.2,317.7,0.0,316.6,1300.9,359.7,309.4,320.7,273.3,352.1,67.5,361.7,395.2,369.6,196.1,352.2,296.0,63.0,313.5,60.7,302.6
SP,240.2,480.2,96.7,229.8,138.8,488.3,102.3,522.4,69.6,402.1,249.4,477.1,418.1,497.9,444.7,394.1,454.3,455.9,197.4,80.6,453.7,403.9,126.9,440.3,50.2,94.5,168.7,510.2,79.1,24.2,180.9,197.9,475.4,27.0,216.9,85.7,238.2,65.6,76.8,73.9,355.8,443.7,114.9,267.7,484.8,346.4,430.0,163.2,199.7,416.1,264.1,451.9,389.8,21.3,480.2,422.3,373.3,137.1,503.3,436.6,241.9,0.0,1297.2,42.0,120.8,439.6,134.2,89.8,238.2,480.6,514.1,488.5,236.7,442.8,144.9,259.6,432.4,275.9,175.6
SQ,1102.5,1361.9,1171.0,1197.8,1160.0,1367.7,1221.5,1401.8,1131.5,1281.5,1123.6,1356.5,1304.3,1377.3,1324.1,1273.5,1333.7,1336.1,1177.5,1120.5,1333.1,1281.8,1141.5,1319.7,1138.2,1214.5,1118.8,1390.4,1115.4,1160.2,1128.5,1030.7,1264.8,1163.3,1241.7,1158.0,1111.6,1180.2,1238.5,1193.1,1140.2,1323.1,1079.6,1101.6,1368.8,1128.6,1309.4,1112.1,1154.5,1295.5,1097.2,1332.1,1269.2,1217.0,1337.1,1301.7,1252.7,1199.7,1377.3,1316.0,1066.5,1195.6,0.0,1237.6,1242.3,1317.8,1213.1,1209.0,1065.8,1269.2,1393.5,1367.9,1176.0,1329.3,1235.8,1133.0,1308.1,1149.3,1224.4
TG,243.9,471.0,107.4,236.5,128.8,481.7,77.4,515.8,100.1,395.5,261.6,471.1,418.3,491.3,438.1,387.5,447.7,450.1,201.1,111.1,447.1,395.8,152.1,433.7,96.3,70.4,218.1,504.4,109.6,54.7,185.4,229.2,469.6,57.5,173.8,117.0,249.6,96.9,34.8,77.9,362.1,437.1,145.4,279.9,479.0,352.1,423.4,212.6,154.3,409.5,275.5,446.0,383.2,15.0,451.1,415.7,366.7,116.1,497.5,430.0,246.4,30.5,1327.7,0.0,78.8,433.0,99.3,64.9,249.6,474.0,507.5,481.9,230.1,464.5,102.9,271.0,425.8,287.3,133.6
TT,181.7,408.8,88.5,174.3,66.6,419.5,91.8,453.6,145.6,333.3,199.4,408.3,356.1,429.1,375.9,325.3,385.5,387.9,138.9,156.6,384.9,333.6,89.9,371.5,138.9,84.8,156.8,442.2,170.0,125.2,123.2,205.8,407.4,105.5,114.9,98.3,187.4,120.9,67.2,92.3,299.9,374.9,172.6,217.7,420.6,288.3,361.2,150.1,95.4,347.3,213.3,383.9,321.0,107.1,388.9,353.5,304.5,53.9,429.1,367.8,184.2,122.6,1283.0,92.1,0.0,369.6,37.1,79.3,187.4,411.8,445.3,419.7,167.9,381.1,24.1,208.8,359.9,225.1,71.4
TU,301.5,129.7,345.0,241.5,314.8,157.1,412.2,170.6,370.6,227.8,261.6,91.2,117.7,147.3,69.6,19.0,115.1,80.4,241.9,358.4,280.6,230.8,322.5,267.2,382.7,404.8,279.4,160.4,354.5,380.5,288.8,308.8,196.2,372.8,392.1,353.6,250.8,376.2,388.4,412.3,368.4,270.6,318.7,261.9,109.3,359.0,133.0,273.9,315.7,41.0,257.5,105.9,38.0,415.7,63.4,47.2,200.2,336.5,171.9,135.6,304.0,393.2,1386.0,412.1,357.8,0.0,344.6,400.5,232.8,201.8,163.5,189.8,218.9,67.7,372.6,272.2,258.1,288.5,310.9
TX,172.5,393.9,83.8,165.1,57.4,410.3,109.2,444.4,140.9,324.1,184.5,399.9,340.1,419.9,366.7,316.1,376.3,373.0,129.7,154.4,375.7,325.9,80.7,362.3,121.5,96.5,146.7,427.3,175.4,120.5,114.0,196.6,392.5,111.6,144.6,100.7,178.2,89.7,84.6,104.0,295.8,365.7,166.0,208.5,401.9,280.7,352.0,135.5,92.6,338.1,204.1,368.9,306.1,124.5,374.0,344.3,295.3,16.7,420.4,358.6,169.3,132.0,1273.8,109.5,54.0,361.6,0.0,96.7,178.2,402.6,436.1,410.5,158.7,364.8,78.1,199.6,354.4,215.9,62.2
UA,239.4,473.6,107.4,215.0,128.8,481.7,12.4,515.8,127.0,395.5,261.6,470.5,418.3,491.3,438.1,387.5,447.7,450.1,196.6,138.0,447.1,395.8,152.1,433.7,120.3,5.4,219.0,504.4,94.0,75.9,180.9,213.6,469.6,95.2,150.3,119.7,249.6,123.8,52.8,16.3,362.1,437.1,129.8,279.9,482.8,350.5,423.4,212.3,130.8,409.5,275.5,446.1,383.2,72.7,451.1,415.7,366.7,116.1,491.3,430.0,241.9,88.2,1312.1,57.7,78.8,431.8,99.3,0.0,249.6,474.0,507.5,481.9,229.3,443.3,102.9,271.0,422.1,287.3,129.1
WC,69.8,296.0,124.2,126.4,94.0,301.8,227.7,335.9,137.7,215.6,57.7,290.6,238.4,311.4,258.2,207.6,267.8,270.2,9.0,126.7,267.2,215.9,147.7,253.8,144.4,220.7,47.4,324.5,121.6,166.4,57.1,75.9,289.7,169.5,170.3,164.2,45.7,162.4,177.2,199.3,158.2,257.2,85.8,30.2,302.9,146.6,243.5,40.7,83.1,229.6,25.8,266.2,203.3,223.2,271.2,235.8,186.8,115.7,311.4,250.1,72.3,201.8,1153.1,243.8,146.6,251.9,129.1,215.2,0.0,294.1,327.6,302.0,132.5,263.4,151.8,67.1,242.2,83.4,99.7
WF,348.1,176.3,390.4,288.1,360.2,125.4,457.6,217.2,416.0,274.4,308.2,135.8,49.8,192.7,115.0,64.4,59.1,86.0,287.3,405.0,326.0,274.7,369.1,312.6,422.7,451.4,325.7,205.8,399.9,427.1,335.4,354.9,119.5,407.4,438.7,400.2,296.2,389.2,433.8,458.9,408.7,316.0,364.1,308.5,143.4,397.1,36.9,319.0,357.7,86.4,304.1,151.4,83.4,461.1,110.0,92.6,245.6,381.9,89.0,27.7,350.6,439.7,1431.4,458.7,403.2,45.3,395.3,445.9,278.2,0.0,208.9,115.6,264.3,120.2,418.0,317.6,301.0,333.9,356.3
WN,415.1,96.0,457.4,355.1,427.2,264.0,524.6,67.6,483.0,341.4,375.2,115.2,174.3,100.2,204.8,155.3,194.8,161.3,354.3,472.0,393.0,341.7,436.1,379.6,489.7,518.4,392.7,113.3,466.9,494.1,402.4,421.9,277.1,474.4,505.7,467.2,363.2,456.2,500.8,525.9,475.7,383.0,431.1,375.5,181.8,464.1,196.7,386.0,424.7,128.6,371.1,123.4,156.4,528.1,177.0,122.4,312.6,448.9,246.6,208.9,417.6,506.7,1498.4,525.7,470.2,205.1,462.3,512.9,345.2,281.5,0.0,209.6,331.3,210.0,485.0,384.6,368.0,400.9,423.3
WX,383.2,177.7,425.5,323.2,395.3,157.3,492.7,151.6,451.1,309.5,343.3,124.3,49.6,127.1,144.1,99.5,72.1,58.9,322.4,440.1,361.1,309.8,404.2,347.7,457.8,486.5,360.8,140.2,435.0,462.2,370.5,389.3,154.4,442.5,473.8,435.3,331.3,424.3,468.9,494.0,443.8,351.1,399.2,343.6,116.3,432.2,72.0,354.1,392.8,102.5,339.2,170.6,118.5,496.2,145.1,96.3,280.7,417.0,123.9,92.6,385.7,474.8,1466.5,493.8,438.3,80.4,430.4,481.0,313.3,158.8,143.3,0.0,299.4,145.5,453.1,352.7,336.1,369.0,391.4
YH,193.9,313.7,176.3,23.7,146.1,321.8,243.5,355.9,233.4,235.6,136.7,310.6,258.4,331.4,278.2,227.6,287.8,290.2,133.1,234.4,287.2,235.9,155.0,273.8,226.7,237.3,117.5,344.5,245.7,213.0,181.2,200.7,309.7,193.3,224.6,186.1,124.7,208.7,219.7,244.8,237.2,277.2,209.9,154.3,322.9,225.6,263.5,110.8,143.6,249.6,149.9,286.2,223.3,247.0,291.2,255.8,206.8,167.8,331.4,270.1,202.3,225.6,1277.2,244.6,189.1,271.9,181.2,231.8,124.0,314.1,347.6,322.0,0.0,283.4,203.9,146.1,262.2,162.4,142.2
YL,401.2,161.9,414.4,312.1,384.2,199.0,481.6,193.1,440.0,291.3,361.3,119.4,113.4,168.6,39.4,68.5,110.8,38.6,311.3,458.1,350.0,327.8,393.1,336.6,448.9,504.5,378.8,165.2,423.9,480.2,352.3,408.0,200.2,460.5,491.8,424.2,320.2,406.1,457.8,482.9,436.0,340.0,388.1,361.6,43.5,424.4,128.7,336.2,410.8,62.3,328.1,134.3,100.3,485.1,134.0,75.6,269.6,405.9,130.1,131.3,403.7,492.8,1455.4,482.7,427.2,98.4,448.4,469.9,302.2,197.5,184.8,207.2,288.3,0.0,442.0,341.6,321.6,357.9,380.3
YU,200.4,440.4,64.4,190.8,98.9,448.5,124.1,482.6,121.5,362.3,210.4,437.3,385.1,458.1,404.9,354.3,414.5,416.9,157.6,132.5,413.9,362.6,87.9,400.5,114.8,117.1,129.8,471.2,156.0,101.1,141.9,224.5,436.4,81.4,147.2,74.2,198.4,96.8,99.5,124.6,310.9,403.9,148.5,228.7,449.6,299.3,390.2,123.1,127.7,376.3,224.3,412.9,350.0,135.1,417.9,382.5,333.5,86.2,458.1,396.8,202.9,113.7,1301.7,124.4,32.2,398.6,69.4,111.6,198.4,440.8,474.3,448.7,196.9,410.1,0.0,219.8,388.9,236.1,103.7
ZF,71.6,338.0,205.3,156.8,175.1,348.7,301.5,382.8,262.4,262.5,8.3,337.5,285.3,358.3,305.1,254.5,314.7,317.1,101.5,263.4,314.1,262.8,184.0,300.7,255.7,294.5,121.9,371.4,214.1,242.0,131.6,168.4,336.6,222.3,287.7,215.1,20.7,204.1,276.9,291.7,91.0,304.1,178.3,104.7,349.8,79.4,290.4,115.2,157.6,276.5,100.3,313.1,250.2,276.0,318.1,282.7,233.7,196.8,358.3,297.0,56.1,254.6,1245.6,296.6,246.3,298.8,210.2,289.0,86.9,341.0,374.5,348.9,133.0,310.3,232.9,0.0,289.1,16.2,239.5
ZM,301.3,330.4,343.6,241.3,313.4,341.1,410.8,375.2,369.2,59.5,261.4,329.9,270.9,350.7,297.5,246.9,307.1,309.5,240.5,358.2,21.3,122.9,322.3,7.9,373.0,404.6,278.9,363.8,353.1,380.3,288.6,307.4,329.0,360.6,391.9,353.4,249.4,376.0,387.0,412.1,361.9,19.7,317.3,261.7,338.4,350.3,282.8,272.5,310.9,268.9,257.3,305.4,242.6,414.3,310.5,275.1,93.8,335.1,356.9,289.4,303.8,392.9,1384.6,411.9,356.4,291.2,348.5,399.1,231.4,333.4,366.9,341.3,217.5,323.9,371.2,270.8,0.0,287.1,309.5
ZO,90.2,360.1,222.5,174.0,192.3,365.9,318.7,400.0,279.6,279.7,25.5,354.7,302.5,375.5,322.3,271.7,331.9,334.3,120.1,280.6,331.3,280.0,201.2,317.9,272.9,311.7,140.5,388.6,232.7,259.2,150.2,187.0,353.8,239.5,304.9,232.3,37.9,221.3,294.1,308.9,74.7,321.3,196.9,123.3,367.0,63.1,307.6,133.8,176.2,293.7,118.9,330.3,267.4,293.2,335.3,299.9,250.9,214.0,375.5,314.2,74.7,271.8,1264.2,313.8,263.5,316.0,227.4,306.2,105.5,358.2,391.7,366.1,150.2,327.5,250.1,17.1,306.3,0.0,256.7
ZU,110.2,368.8,90.4,118.6,60.2,379.5,198.3,413.6,147.5,293.3,135.4,368.3,316.1,389.1,335.9,285.3,345.5,347.9,67.4,148.5,344.9,293.6,69.1,331.5,140.8,191.3,57.6,402.2,180.0,127.1,51.7,134.3,367.4,107.4,239.4,100.2,123.4,89.2,173.7,176.8,164.1,334.9,144.2,156.5,380.6,152.5,321.2,50.9,93.3,307.3,152.1,343.9,281.0,161.1,348.9,313.5,264.5,81.9,389.1,327.8,112.7,139.7,1211.5,181.7,143.1,329.6,95.3,185.8,77.6,371.8,405.3,379.7,124.7,341.1,118.0,139.9,319.9,137.6,0.0
