from_stop,AE,AH,AJ,AK,AT,AZ,BK,BO,BX,CF,CG,CM,CO,CW,CY,DC,DD,DM,DP,DS,DV,DX,DZ,EG,EJ,EK,ER,EW,EX,EY,FB,FK,FS,FZ,GA,GC,GF,GK,GL,HC,HL,HT,HU,HZ,IC,IF,IN,JA,JE,JO,JV,JX,KJ,KK,KL,KR,KU,LA,LD,LG,LL,LM,LN,LX,MD,MI,MR,MS,MU,MY,NF,NH,NN,NP,NQ,NR,NX,OI,OQ,OS,OU,OX,PP,PS,QE,QM,QQ,QS,RB,RG,RN,RQ,RV,SQ,TM,TT,TZ,UG,UH,UJ,UM,UV,VJ,VK,VU,WB,WD,WG,WR,WT,WY,XC,XJ,YO,ZB,ZC,ZH,ZV
EW,255.2,148.6,281.4,230.8,298.3,146.7,140.3,248.6,286.6,317.3,264.4,145.8,138.1,228.7,174.7,252.1,234.4,267.9,215.7,177.4,112.2,151.4,279.4,79.5,358.8,170.0,284.0,0.0,273.7,281.3,238.3,225.7,215.9,205.2,128.6,75.5,143.0,211.0,160.0,205.4,187.4,227.5,261.3,335.9,165.9,103.2,186.8,32.1,165.0,161.2,262.3,212.9,266.9,192.9,257.5,258.2,379.7,156.9,167.9,178.4,161.7,117.7,209.0,231.1,143.9,14.0,165.8,95.1,283.6,99.0,255.3,247.2,224.4,283.7,169.5,2144.5,81.8,207.5,165.5,158.5,265.6,215.9,158.6,303.0,107.8,141.9,190.0,229.4,110.9,147.8,232.3,227.5,263.0,235.5,281.9,271.0,149.0,342.2,149.9,78.6,212.4,269.0,190.8,388.3,299.5,171.4,179.2,236.5,172.9,122.2,86.2,205.5,169.2,174.8,331.0,395.9,242.3,296.2
EX,508.2,401.6,536.6,483.8,551.3,399.7,191.2,501.6,268.6,224.4,230.1,280.8,145.1,484.6,208.9,203.3,197.8,520.9,468.7,430.4,313.9,127.4,532.4,248.2,85.0,358.4,537.0,281.2,0.0,534.3,491.3,484.2,472.2,458.2,381.6,203.6,241.9,464.0,368.4,225.7,440.4,258.4,520.0,62.1,418.9,271.9,178.3,249.4,215.9,414.2,515.3,465.9,78.8,445.9,107.0,92.4,105.9,409.9,225.9,431.4,113.6,370.7,57.4,229.1,396.9,296.1,271.6,185.9,536.6,352.0,275.2,500.2,395.4,536.7,200.4,1921.7,334.8,460.5,418.5,411.5,518.6,468.9,209.5,556.0,360.8,394.9,443.0,260.3,319.4,178.7,485.3,480.5,516.0,31.7,540.8,524.0,391.5,68.4,381.8,287.1,465.4,52.4,443.8,114.5,127.8,202.3,185.0,489.5,264.5,375.2,339.2,458.5,422.1,280.4,126.7,122.1,495.3,87.3
EY,281.9,250.5,179.0,170.9,219.4,195.4,367.5,158.0,513.8,544.5,491.6,373.0,372.8,254.4,405.2,479.3,461.6,226.0,330.8,226.1,317.0,378.6,218.5,306.7,586.0,330.3,205.1,275.4,500.9,0.0,283.0,338.7,128.6,284.6,177.0,308.9,370.2,270.7,320.3,432.6,234.9,454.7,223.4,563.1,236.5,330.4,414.0,259.3,392.2,237.9,282.4,153.0,494.1,142.3,484.7,485.4,606.9,227.5,395.1,227.1,388.9,160.9,436.2,456.6,192.6,289.5,370.6,322.3,82.7,275.3,482.5,233.3,331.9,241.3,396.7,2165.9,247.5,93.7,214.2,207.2,148.1,264.8,385.8,260.6,273.5,307.6,118.2,456.6,338.1,375.0,190.4,305.7,221.1,462.7,186.4,291.1,297.0,569.4,325.4,305.8,290.6,496.2,298.3,615.5,526.7,398.6,406.4,351.6,377.7,287.9,291.0,313.0,217.9,379.6,558.2,623.1,151.7,523.4
FB,62.7,121.1,202.2,185.0,139.3,91.1,343.2,169.4,313.9,350.7,354.6,270.6,341.0,147.4,374.5,364.5,379.1,91.1,111.6,59.8,243.4,354.3,120.4,252.0,516.1,200.9,125.0,251.1,476.6,285.0,0.0,114.0,242.1,155.2,109.2,278.4,292.6,51.5,190.9,350.1,50.9,266.6,136.1,510.3,132.4,226.6,389.7,235.0,367.9,108.5,103.3,185.1,469.8,219.1,460.4,461.1,473.7,141.9,347.0,97.1,364.6,143.9,411.9,343.5,93.9,265.2,297.0,298.0,247.5,201.7,321.6,109.7,112.7,69.3,369.3,2104.1,170.8,233.7,72.7,79.7,184.3,27.6,361.5,88.6,144.7,204.2,216.2,295.7,229.9,345.2,115.8,68.5,86.2,438.4,200.6,112.0,167.6,521.3,196.9,264.2,53.4,471.9,79.1,493.4,424.0,356.6,382.1,132.4,304.1,184.5,217.4,93.8,68.4,306.0,427.9,530.4,163.1,442.2
FK,93.4,142.1,288.8,269.1,227.5,175.2,304.5,257.6,241.4,272.9,282.1,198.1,295.3,234.4,310.1,292.0,306.6,157.3,146.4,148.0,190.9,301.1,204.5,183.6,515.3,168.7,209.1,242.2,427.5,355.2,109.9,0.0,329.8,200.8,193.3,231.4,224.2,67.9,178.7,277.6,136.0,194.1,219.1,492.4,196.8,154.1,351.0,212.8,329.2,156.8,176.5,269.2,416.9,307.3,425.8,440.4,431.4,210.4,274.5,181.2,311.4,228.0,358.7,269.9,178.0,257.1,200.4,242.0,331.6,234.8,249.1,193.8,40.2,139.5,296.8,2118.7,159.4,317.8,156.8,163.8,272.5,111.0,322.8,154.7,133.3,193.4,300.3,223.2,192.8,272.7,181.9,152.6,152.3,385.2,290.6,185.2,201.8,529.7,197.9,214.6,137.5,451.8,48.1,501.0,371.7,284.1,343.4,163.1,204.5,173.1,219.1,21.3,152.6,205.3,389.4,538.8,247.2,418.4
FS,208.2,186.5,64.3,187.6,105.5,156.5,408.6,28.8,459.4,490.8,458.6,383.7,406.4,154.9,446.3,446.3,482.9,143.1,256.8,139.9,323.9,419.7,101.3,360.3,627.1,266.3,87.9,316.5,545.3,163.7,201.1,259.5,0.0,220.6,174.3,343.8,411.3,197.0,256.3,454.2,150.2,411.8,123.9,604.2,197.8,334.6,455.1,306.9,433.3,173.9,208.7,187.7,535.2,189.2,529.1,529.8,585.7,210.6,422.2,162.5,430.0,209.3,477.3,425.0,159.3,330.6,384.5,363.4,125.4,276.7,467.1,159.6,258.2,167.3,437.8,2195.0,245.8,161.4,138.1,145.1,65.5,191.1,426.9,186.9,219.7,279.2,145.4,441.2,295.3,416.1,107.5,190.3,137.9,503.8,78.5,217.4,233.0,610.5,261.4,329.6,175.2,537.3,224.6,648.9,548.3,439.7,447.5,277.9,391.6,259.5,292.4,239.3,133.8,393.5,571.4,664.2,23.0,576.0
FZ,197.5,118.4,225.8,208.6,240.6,89.0,244.0,193.0,390.3,421.0,390.5,276.5,241.8,171.0,278.4,378.2,338.1,231.7,246.4,119.7,153.2,255.1,221.7,208.0,462.5,198.2,226.3,151.9,377.4,276.2,180.6,227.6,210.8,0.0,90.6,179.2,261.1,186.3,188.2,309.1,129.7,331.2,228.1,439.6,72.9,266.8,290.5,135.8,268.7,105.8,204.6,207.8,370.6,187.8,361.2,361.9,483.4,63.9,244.5,120.7,265.4,112.6,312.7,357.2,86.2,166.0,206.8,198.8,278.5,111.5,359.0,211.0,226.3,224.1,273.2,2248.2,83.7,202.4,107.8,100.8,207.9,158.2,262.3,243.4,109.7,143.8,184.9,333.1,189.7,251.5,199.1,169.8,226.8,339.2,224.2,213.3,164.9,445.9,194.2,169.9,154.7,372.7,192.7,492.0,403.2,275.1,282.9,267.2,213.9,124.1,127.2,207.4,111.5,215.8,434.7,499.6,186.7,399.9
GA,126.5,73.1,154.8,147.7,169.6,18.0,233.9,122.0,377.7,409.1,345.2,270.3,239.2,102.9,268.3,332.9,328.0,160.7,175.4,48.7,157.6,245.0,150.7,212.4,452.4,152.9,155.3,141.8,367.3,198.2,109.6,177.8,132.8,107.2,0.0,169.1,236.6,115.3,142.9,299.0,57.5,330.4,162.8,429.5,77.1,221.5,280.4,132.2,258.6,60.5,133.6,129.8,360.5,109.8,351.1,351.8,472.3,68.1,248.9,49.7,255.3,34.6,302.6,310.8,15.2,155.9,211.2,185.9,200.5,115.9,354.1,140.0,176.5,153.1,263.1,2213.8,88.1,124.4,36.8,29.8,136.9,88.4,252.2,172.4,106.3,148.8,106.9,328.2,181.9,241.4,128.1,98.8,155.8,329.1,153.2,142.3,119.6,435.8,138.2,174.3,83.7,362.6,142.9,481.9,393.1,265.0,272.8,196.2,218.3,128.5,131.6,157.6,40.5,220.2,458.0,489.5,115.7,389.8
GC,304.5,195.8,333.2,280.1,354.5,196.0,64.7,297.9,211.0,241.8,188.8,110.8,70.0,290.1,107.2,176.5,152.6,317.3,265.0,233.6,110.2,75.8,328.7,51.4,283.2,154.7,333.3,77.5,198.1,337.5,287.6,280.5,268.8,254.5,177.9,0.0,67.4,260.3,164.7,129.8,235.5,145.7,323.2,260.3,215.2,75.1,111.2,48.1,89.4,210.5,311.6,262.2,191.3,242.2,181.9,176.4,304.1,213.1,92.3,227.7,86.1,167.0,133.4,154.4,193.2,92.4,92.3,16.7,332.9,155.2,179.7,296.5,191.3,339.9,93.9,2068.9,131.1,256.8,214.8,207.8,321.8,266.4,83.0,352.3,157.1,191.8,239.3,153.8,115.7,72.2,281.6,276.8,312.3,159.9,337.1,320.3,187.8,266.6,178.1,83.4,261.7,193.4,240.1,312.7,223.9,95.8,103.6,285.8,93.6,171.5,142.4,254.8,218.4,100.2,255.4,320.3,291.6,220.6
GF,266.0,187.4,387.5,336.9,404.4,252.8,90.0,354.7,199.4,230.1,181.2,83.3,105.8,340.0,69.5,164.9,147.2,374.1,271.8,283.5,130.4,119.1,385.5,51.6,309.0,118.8,390.1,134.3,241.4,387.4,282.5,234.1,325.6,246.1,234.7,56.7,0.0,240.5,128.8,118.2,292.3,140.3,373.1,286.1,272.0,55.8,136.5,102.5,114.7,202.1,368.4,319.0,234.0,299.0,207.2,221.8,304.3,263.0,69.3,284.5,129.4,223.8,176.7,142.8,250.0,148.4,73.0,64.3,389.7,174.3,168.1,353.3,178.9,308.0,64.3,2112.2,187.9,313.6,271.6,264.6,371.7,322.0,108.3,327.3,213.9,248.0,296.1,142.2,153.9,58.2,338.4,333.6,369.1,203.2,393.9,377.1,151.9,309.9,133.4,140.2,318.5,236.7,220.7,330.0,212.3,84.2,128.9,292.6,65.9,228.3,158.6,198.0,275.2,38.4,290.0,363.6,348.4,215.7
GK,25.4,104.0,218.3,201.1,155.4,107.2,325.4,185.5,262.3,293.7,303.0,219.0,311.9,163.5,322.9,312.9,327.5,89.2,74.3,75.9,191.8,325.2,136.5,200.4,536.2,157.7,141.1,222.0,447.5,283.1,41.9,62.4,258.2,143.4,125.3,249.3,241.0,0.0,147.7,298.5,67.0,215.0,141.3,513.3,156.6,175.0,371.9,205.9,350.1,116.6,108.5,201.2,437.8,235.2,442.6,432.0,452.3,166.1,295.4,113.2,335.5,160.0,382.8,291.9,110.0,236.1,245.4,268.9,263.6,150.1,270.0,125.8,61.1,67.4,317.7,2146.1,119.2,249.8,88.8,95.8,200.4,43.7,343.7,86.7,93.1,152.6,232.3,244.1,186.7,293.6,113.9,84.6,84.3,409.3,216.7,117.2,124.4,516.0,153.7,208.5,69.5,442.8,27.5,521.9,392.6,305.0,364.3,95.1,252.5,132.9,165.8,42.2,84.5,254.4,410.3,569.7,179.2,439.3
GL,188.7,60.6,236.4,219.2,231.8,125.3,220.4,203.6,240.7,271.4,202.2,127.3,228.5,181.6,217.9,189.9,226.8,222.9,145.7,110.9,67.5,241.8,212.9,103.9,406.8,9.9,217.5,143.1,385.2,320.0,171.8,155.7,276.3,117.2,143.4,165.9,177.3,141.0,0.0,197.8,120.9,183.3,228.6,383.9,113.2,78.5,266.9,120.4,245.1,73.2,195.8,219.3,314.8,253.3,337.6,352.2,329.3,122.7,165.8,131.3,252.1,178.1,299.4,168.9,128.1,157.2,128.1,185.5,281.7,91.2,211.1,202.2,154.4,208.5,212.7,2148.9,93.8,267.9,99.0,113.9,218.5,149.4,238.7,227.8,67.7,127.2,250.4,185.2,38.9,188.6,209.7,161.0,218.0,325.9,234.8,204.5,23.0,427.4,20.0,73.2,145.9,349.7,120.8,392.5,291.9,200.0,259.3,166.5,135.2,107.5,75.5,135.5,102.7,137.1,315.0,481.1,197.3,316.3
HC,337.3,257.9,433.7,416.4,429.1,322.6,105.8,400.9,102.1,132.8,63.6,73.0,121.6,378.9,92.7,69.3,28.9,401.1,343.0,308.2,183.5,162.0,410.2,180.8,234.1,187.2,414.8,213.8,222.4,466.9,353.8,305.4,401.5,314.5,314.2,136.2,120.0,311.8,197.2,0.0,318.2,81.0,425.9,211.2,310.5,169.7,152.3,191.1,130.5,270.5,393.1,398.5,143.2,378.5,167.7,218.1,203.1,320.0,75.8,328.6,148.2,303.3,154.7,76.9,325.4,227.9,127.2,115.7,469.2,227.4,108.7,399.5,250.6,379.3,98.9,2090.2,267.4,393.1,296.3,311.2,415.8,346.7,124.1,398.6,265.0,315.0,375.6,82.9,207.0,74.0,407.0,358.3,396.2,181.2,432.1,401.8,220.3,255.8,217.3,207.2,343.2,178.1,292.0,211.7,94.0,86.2,144.7,363.8,120.1,295.3,211.7,269.3,300.0,160.2,186.4,309.5,394.6,140.8
HL,67.7,71.2,153.7,134.0,112.0,40.1,292.2,118.4,318.9,350.4,342.2,267.3,297.5,98.3,334.7,329.9,365.8,102.0,116.6,8.8,207.5,303.3,91.9,257.0,510.7,149.9,96.5,200.1,424.6,233.8,50.8,124.5,194.7,104.2,57.2,233.6,293.9,56.5,139.9,337.8,0.0,272.8,113.3,487.8,81.4,217.5,338.7,190.5,316.9,57.5,74.8,134.1,418.8,168.1,408.4,409.1,469.3,89.9,305.8,45.1,313.6,92.9,360.9,307.8,42.9,215.0,267.1,244.2,196.5,160.3,326.6,81.2,118.9,94.3,321.4,2155.0,129.4,182.7,21.7,28.7,132.3,29.6,310.5,113.6,103.3,163.4,165.2,300.7,178.9,299.7,124.5,40.0,97.0,387.4,155.5,83.5,116.6,493.1,145.0,213.2,24.9,419.9,84.1,544.3,431.9,323.3,331.1,137.4,276.3,143.1,176.0,98.8,17.5,277.1,466.9,547.8,112.1,456.3
HT,256.2,218.1,398.5,378.8,391.4,284.9,110.3,363.2,59.0,89.8,86.0,95.5,133.6,346.4,115.9,97.8,112.4,320.0,305.3,270.5,175.3,139.4,372.5,185.3,314.7,149.5,377.1,218.3,261.7,471.4,272.7,224.3,409.3,276.8,303.0,140.7,124.5,230.7,159.5,83.4,280.5,0.0,377.8,291.8,272.8,161.5,156.8,186.5,135.0,232.8,339.3,378.9,222.7,383.0,227.5,242.1,237.2,282.3,80.3,290.9,149.7,307.8,197.0,75.7,287.7,232.4,119.0,120.2,441.3,219.2,54.9,361.8,169.1,298.2,102.6,2107.0,253.4,397.6,258.6,273.5,378.1,273.8,128.6,317.5,227.3,306.8,380.1,29.0,173.6,78.5,369.3,320.6,315.1,223.5,400.3,348.0,182.6,335.3,178.7,199.0,305.5,257.6,210.9,295.2,177.5,89.9,149.2,326.1,110.8,287.1,203.5,188.2,262.3,155.9,222.9,389.0,356.9,224.2
HU,163.8,160.9,98.2,63.3,138.6,105.8,309.3,65.7,415.0,446.5,433.0,350.7,307.1,30.9,343.7,420.7,403.4,107.5,212.7,122.5,227.4,320.4,137.7,282.2,527.8,240.7,124.3,217.2,442.7,182.1,164.9,220.6,160.8,195.0,87.4,250.7,312.0,152.6,230.7,374.4,131.3,367.7,0.0,504.9,146.9,309.3,355.8,201.1,334.0,148.3,164.3,63.4,435.9,134.5,426.5,427.2,560.1,137.9,318.7,144.8,330.7,102.7,378.0,398.0,103.0,232.1,281.0,264.1,143.8,185.7,422.7,86.7,213.8,123.2,338.5,2213.4,157.9,149.1,120.4,127.4,80.6,146.7,327.6,142.5,183.9,218.6,131.6,396.8,263.9,316.8,71.8,187.6,102.5,404.5,96.9,173.0,207.4,511.2,226.0,244.1,172.5,438.0,180.2,557.3,468.5,340.4,348.2,233.5,288.1,198.3,201.4,194.9,116.2,290.0,500.0,564.9,59.4,465.2
HZ,547.4,442.2,612.5,561.9,613.4,477.8,283.5,579.7,245.2,211.2,206.7,278.4,223.2,559.8,213.1,194.9,182.7,599.0,527.3,492.5,351.4,205.5,594.5,326.3,22.8,371.5,599.1,359.3,78.0,612.4,553.4,515.5,547.0,498.8,459.7,281.7,281.6,521.9,381.5,205.3,502.5,286.4,592.4,0.0,494.8,337.5,241.2,336.6,293.4,454.8,577.4,544.0,80.4,524.0,169.9,155.3,100.5,488.0,256.4,509.5,191.7,448.8,135.5,219.7,475.0,373.4,295.1,261.2,614.7,395.3,251.8,578.3,460.3,589.4,219.3,1935.7,412.9,538.6,480.6,489.6,596.7,531.0,287.0,608.7,438.9,473.0,521.1,277.6,374.9,241.4,563.4,542.6,594.1,109.8,613.0,586.1,404.6,83.8,401.6,365.2,527.5,85.4,502.1,109.1,112.8,206.6,247.9,548.1,288.0,453.3,379.6,479.4,484.3,320.1,121.3,137.5,573.4,63.9
IC,152.2,45.4,199.9,182.7,195.3,78.3,270.8,167.1,356.0,386.7,317.5,242.6,268.6,145.1,305.2,305.2,342.1,186.4,201.1,74.4,162.7,281.9,176.4,219.2,489.3,125.2,181.0,178.7,404.2,278.2,135.3,186.6,212.8,79.5,79.9,206.0,270.6,141.0,115.2,313.1,84.4,298.6,192.1,466.4,0.0,193.8,317.3,162.6,295.5,32.8,159.3,182.8,397.4,189.8,388.0,388.7,444.6,9.4,254.0,94.8,292.2,114.6,339.5,284.2,75.5,192.8,216.3,225.6,245.2,121.0,326.4,165.7,185.3,178.8,300.0,2239.5,104.7,204.4,62.5,90.1,182.0,112.9,289.1,198.1,78.6,138.1,186.9,300.5,154.2,303.9,173.2,124.5,181.5,366.0,198.3,168.0,91.9,472.7,121.2,188.5,109.4,399.5,151.7,507.8,407.2,315.3,309.7,221.9,223.4,118.4,136.7,166.4,66.2,225.3,430.3,526.4,160.8,431.6
IF,210.1,169.9,340.9,290.6,341.1,206.5,153.4,308.4,208.5,239.3,170.0,42.5,133.6,291.4,154.2,157.7,137.5,273.9,242.0,220.2,36.7,146.9,322.2,25.3,342.7,99.2,326.8,88.0,269.2,341.1,226.6,178.2,275.7,226.5,188.4,77.2,106.0,184.6,109.2,108.5,229.0,148.6,326.8,319.8,195.2,0.0,199.9,56.2,130.2,182.5,305.1,272.7,251.8,252.7,270.6,285.2,297.1,186.2,107.4,238.2,157.2,177.5,204.5,136.7,203.7,102.9,42.1,90.6,343.4,80.6,176.4,307.0,123.0,252.1,145.7,2098.7,125.0,267.3,208.3,218.3,325.4,258.7,171.7,271.4,134.1,168.2,249.8,150.5,60.2,121.6,292.1,270.3,269.0,231.0,347.6,313.8,132.3,364.4,104.6,60.4,255.2,286.7,164.8,320.3,202.6,133.0,192.3,262.8,84.0,148.5,64.9,142.1,211.9,72.4,282.8,418.1,302.1,249.4
IN,376.8,321.5,448.5,397.9,465.4,313.8,42.2,415.7,213.6,244.3,191.4,164.5,83.1,395.8,101.7,179.1,161.4,435.0,382.8,344.5,217.0,96.4,446.5,142.9,269.0,250.8,451.1,195.3,193.0,448.4,405.4,344.9,383.0,378.1,295.7,117.7,149.3,351.3,260.8,132.4,354.5,154.5,428.4,246.1,333.0,166.6,0.0,172.6,52.1,334.1,429.4,380.0,168.2,360.0,70.6,85.2,295.9,324.0,122.0,345.5,106.7,284.8,154.0,158.1,311.0,209.4,160.7,97.2,450.7,260.9,182.3,414.3,290.1,450.8,96.5,2063.8,248.9,374.6,332.6,325.6,432.7,383.0,45.7,470.1,274.9,309.0,357.1,156.4,233.5,74.8,399.4,394.6,430.1,154.8,449.0,438.1,283.9,248.0,280.9,201.2,379.5,170.3,357.9,306.9,159.7,98.4,6.6,403.6,153.6,289.3,245.2,308.8,336.3,187.8,214.8,301.7,409.4,151.7
JA,256.3,152.1,284.9,231.9,299.4,147.8,101.6,249.7,247.9,276.2,225.7,107.1,97.0,226.0,141.7,213.4,193.3,271.4,210.1,178.5,64.4,112.7,280.5,38.4,320.1,108.9,285.1,29.3,232.6,275.7,239.4,229.2,219.4,206.3,129.7,34.4,101.9,212.1,118.9,166.7,190.9,186.4,261.4,297.2,167.0,64.5,148.1,0.0,126.3,162.3,263.4,214.0,228.2,194.0,216.4,217.1,341.0,160.4,135.7,172.8,123.0,118.8,170.3,191.3,145.0,45.8,113.8,54.0,284.7,100.1,216.6,248.3,225.5,284.8,130.8,2105.8,82.9,208.6,166.6,159.6,266.7,219.4,119.9,304.1,108.9,145.4,191.1,190.7,69.9,109.1,233.4,228.6,264.1,196.8,285.4,272.1,142.0,301.1,132.3,37.6,213.5,227.9,185.2,349.6,260.8,132.7,140.5,237.6,112.1,123.3,80.6,206.6,172.7,114.0,292.3,357.2,243.4,264.0
JE,324.6,248.1,407.6,357.0,424.5,272.9,41.8,374.8,213.2,243.9,191.0,136.0,82.7,354.9,101.3,178.7,161.0,394.1,341.9,303.6,183.1,96.0,405.6,90.7,303.4,177.4,410.2,154.4,218.3,407.5,364.5,292.7,342.1,304.7,254.8,76.8,97.1,299.1,187.4,132.0,313.6,154.1,387.5,280.5,292.1,114.4,53.5,131.7,0.0,260.7,388.5,339.1,221.8,319.1,124.2,138.8,318.1,283.1,122.0,304.6,106.3,243.9,153.6,157.7,270.1,168.5,126.8,67.2,409.8,227.0,181.9,373.4,237.9,409.9,96.1,2089.1,208.0,333.7,291.7,284.7,391.8,342.1,5.6,429.2,234.0,268.1,316.2,156.0,206.6,74.4,358.5,353.7,389.2,180.1,408.1,397.2,210.5,301.6,250.1,160.3,338.6,223.9,279.3,343.8,226.1,98.0,45.9,362.7,119.7,248.4,211.3,256.6,295.4,135.6,303.8,355.3,368.5,238.6
JO,115.4,12.5,163.1,145.9,158.5,52.0,266.7,130.3,323.1,353.8,284.6,209.7,264.5,108.3,300.3,272.3,309.2,149.6,164.3,37.6,149.9,277.8,139.6,186.3,489.2,92.3,144.2,174.6,400.1,246.7,98.5,166.7,203.0,46.6,70.1,201.9,259.7,104.2,82.3,280.2,47.6,265.7,155.3,466.3,39.9,160.9,313.2,158.5,291.4,0.0,122.5,146.0,397.2,180.0,383.9,384.6,411.7,49.4,248.2,58.0,288.1,104.8,335.4,251.3,54.8,188.7,210.5,221.5,208.4,102.7,293.5,128.9,165.4,142.0,295.1,2202.7,71.8,194.6,25.7,40.6,145.2,76.1,285.0,161.3,45.7,105.2,177.1,267.6,121.3,271.0,136.4,87.7,144.7,361.9,161.5,131.2,59.0,468.6,88.3,155.6,72.6,395.4,131.8,474.9,374.3,282.4,305.6,185.1,217.6,85.5,118.4,146.5,29.4,219.5,397.4,522.3,124.0,398.7
JV,150.2,118.7,137.0,101.8,177.1,88.7,340.8,104.2,401.4,432.8,390.8,315.9,338.6,64.2,375.2,378.5,415.4,145.9,199.1,72.4,256.1,351.9,176.2,292.5,559.3,198.5,162.8,248.7,474.2,220.6,133.3,201.5,196.0,152.8,106.8,276.0,343.5,139.0,188.5,386.4,82.4,354.1,32.7,536.4,130.0,267.1,387.3,232.6,365.5,106.1,0.0,101.9,467.4,173.0,458.0,458.7,517.9,139.5,354.4,94.7,362.2,141.5,409.5,357.5,91.5,262.8,316.7,295.6,182.3,208.9,399.7,125.2,200.2,161.7,370.0,2251.9,178.0,187.6,70.3,77.3,119.1,110.9,359.1,181.0,151.9,211.4,170.1,373.8,227.5,348.3,110.3,122.5,141.0,436.0,135.4,8.7,165.2,542.7,194.5,261.8,107.4,469.5,166.6,581.1,480.5,371.9,379.7,219.9,323.8,191.7,224.6,181.3,66.0,325.7,503.6,596.4,97.9,504.9
JX,150.8,97.4,179.1,171.7,193.9,42.3,257.9,146.3,402.0,433.4,369.5,287.2,255.7,124.3,292.3,357.2,366.7,208.8,199.7,73.0,163.9,269.0,175.0,218.7,476.4,177.2,179.6,165.8,391.3,222.2,133.9,202.1,156.8,131.5,23.9,193.1,271.8,139.6,167.2,337.7,83.0,354.7,202.2,453.5,83.4,245.8,304.4,149.7,282.6,84.8,157.9,0.0,384.5,133.8,375.1,375.8,496.6,74.4,255.2,74.0,279.3,58.6,326.6,336.2,39.5,179.9,217.5,212.7,224.5,122.2,372.9,188.1,200.8,177.4,287.1,2238.1,94.4,148.4,61.1,54.1,161.2,111.5,276.2,196.7,120.4,154.5,130.9,347.0,200.4,265.4,173.2,123.1,203.9,353.1,177.5,166.6,143.9,459.8,173.2,180.6,108.0,386.6,167.2,505.9,431.8,289.0,296.8,220.5,224.6,134.8,137.9,181.9,64.8,226.5,482.3,513.5,140.0,413.8
KJ,508.6,389.5,534.8,484.2,551.7,400.1,203.0,502.0,210.2,176.5,171.7,231.1,145.5,482.1,178.4,142.2,130.0,521.3,469.1,430.8,314.3,127.8,532.8,248.6,100.7,318.8,537.4,281.6,87.1,534.7,491.7,468.3,469.3,446.1,382.0,204.0,242.3,474.7,328.8,158.0,440.8,239.1,514.7,77.8,419.3,272.3,160.7,258.9,212.9,402.1,515.7,466.3,0.0,446.3,89.4,74.8,127.6,410.3,221.7,431.8,114.0,371.1,57.8,167.0,397.3,295.7,272.0,183.5,537.0,352.4,216.8,500.6,413.5,537.1,184.6,1979.1,335.2,460.9,418.9,411.9,519.0,469.3,206.5,556.4,361.2,395.3,443.4,241.0,319.8,179.1,485.7,480.9,516.4,70.1,535.3,524.4,351.9,112.5,348.9,287.5,465.8,34.8,444.2,138.6,60.1,171.9,167.4,489.9,264.9,375.6,339.6,432.2,422.6,280.8,95.3,166.2,495.7,29.2
KK,219.5,166.1,90.9,86.5,128.5,111.0,326.6,55.4,470.7,502.1,438.2,355.9,331.9,181.5,361.0,425.9,435.4,141.6,268.4,141.7,232.6,337.7,127.6,287.4,545.1,245.9,114.2,234.5,460.0,190.0,202.6,276.3,26.5,200.2,92.6,268.0,340.5,208.3,235.9,406.4,150.5,423.4,150.5,522.2,152.1,314.5,373.1,224.9,351.3,153.5,235.0,68.6,453.2,0.0,443.8,444.5,565.3,143.1,323.9,142.7,348.0,127.3,395.3,403.2,108.2,248.6,286.2,281.4,151.7,190.9,441.6,120.9,269.5,193.9,355.8,2221.3,163.1,126.3,129.8,122.8,88.5,180.2,344.9,213.2,189.1,223.8,108.8,415.7,269.1,334.1,106.0,191.8,136.7,421.8,104.8,243.7,212.6,528.5,231.2,249.3,176.7,455.3,235.9,574.6,500.5,357.7,365.5,289.2,293.3,203.5,206.6,250.6,133.5,295.2,551.0,582.2,49.3,482.5
KL,485.2,392.8,513.6,460.8,528.3,376.7,113.5,478.6,207.0,180.7,178.4,235.8,112.1,461.6,176.3,148.9,137.1,497.9,445.7,407.4,288.3,104.4,509.4,214.2,198.3,322.1,514.0,258.2,107.8,511.3,468.3,416.2,449.2,449.4,358.6,180.6,220.6,422.6,332.1,203.7,416.2,225.8,497.0,175.4,395.9,237.9,71.2,226.4,123.4,405.4,492.3,442.9,97.5,422.9,0.0,14.6,221.2,386.9,193.3,408.4,90.6,347.7,43.1,173.7,373.9,272.3,232.0,160.1,513.6,329.0,195.6,477.2,361.4,513.7,167.8,1978.6,311.8,437.5,395.5,388.5,495.6,445.9,117.0,533.0,337.8,371.9,420.0,227.7,296.4,146.1,462.3,457.5,493.0,69.6,517.8,501.0,355.2,177.3,352.2,264.1,442.4,99.6,420.8,236.2,123.4,169.7,77.9,466.5,224.9,352.2,316.2,380.1,399.1,259.1,178.5,231.0,472.3,115.4
