from_stop,AE,AK,AY,BA,BF,BL,CD,CU,DB,DD,DG,DI,DJ,DS,DX,DZ,EF,EJ,EN,EO,EY,FB,FE,FL,FV,GL,GO,GZ,HB,HP,HV,IB,IU,JE,JO,KD,KM,KN,KO,KQ,LD,LI,LK,MI,MK,MO,MP,MR,MV,MY,NC,ND,NH,NI,NY,OD,OM,OQ,OT,OU,PF,PG,PH,PY,QI,QU,QZ,RU,RX,SZ,TI,TS,UB,US,UW,VF,VO,WA,WB,WC,WH,WT,WW,WY,XH,YD,YI,YJ,YW,ZC,ZV,ZY
KD,210.0,494.4,297.1,202.5,195.6,424.3,45.6,450.8,372.3,735.8,109.7,473.2,100.5,372.4,158.6,83.2,281.8,540.1,741.9,182.0,164.6,376.2,374.3,767.1,43.4,747.2,452.9,597.2,418.0,148.7,324.8,595.1,212.1,339.0,319.9,0.0,441.0,117.9,201.7,187.3,521.2,1091.3,685.2,820.3,604.6,681.6,744.4,6.9,780.8,170.0,629.0,612.3,257.3,510.1,705.9,90.8,587.4,606.2,824.6,46.5,309.3,858.5,298.5,800.1,636.3,218.0,473.2,2888.0,803.4,481.8,769.9,352.3,208.9,690.6,141.1,388.2,443.0,181.0,560.3,379.6,425.6,181.0,442.6,179.7,210.2,101.2,422.7,150.4,829.9,452.8,499.5,197.1
KM,375.1,1022.4,825.1,367.6,360.7,16.6,423.7,25.5,432.2,294.7,535.3,71.4,416.1,468.8,448.4,448.4,707.4,296.5,320.1,607.6,329.7,408.1,736.3,345.3,469.0,325.4,11.8,169.9,52.9,405.1,384.7,221.1,377.2,445.8,681.9,478.4,0.0,356.0,313.4,279.1,141.2,1259.1,244.1,398.5,177.3,259.8,322.6,471.8,359.0,409.1,225.2,172.0,642.2,274.2,284.1,425.4,146.3,184.4,402.8,524.9,600.2,436.7,318.5,378.3,581.1,420.7,32.1,2655.7,381.6,426.6,348.1,622.7,360.2,438.8,566.7,521.3,491.2,426.0,119.2,328.6,370.4,546.4,57.5,399.4,399.8,526.8,950.7,469.8,408.1,397.6,58.4,725.1
KN,68.9,616.8,419.5,84.5,77.6,306.3,67.6,320.5,254.3,617.8,179.2,355.2,60.0,254.4,164.8,92.3,351.3,422.1,623.9,251.5,46.6,257.1,496.7,649.1,112.9,629.2,334.9,479.2,300.0,49.0,206.8,477.1,94.1,221.0,442.3,122.3,323.0,0.0,83.7,69.3,403.2,976.0,567.2,702.3,486.6,563.6,626.4,115.7,662.8,162.5,511.0,494.3,379.7,392.1,587.9,69.3,469.4,488.2,706.6,168.8,385.8,740.5,180.5,682.1,518.3,199.7,355.2,2770.0,685.4,363.8,651.9,408.3,110.5,572.6,210.6,306.9,325.0,188.5,442.3,261.6,307.6,190.3,324.6,149.7,191.9,170.7,541.8,128.9,711.9,334.8,381.5,319.5
KO,61.2,703.1,505.8,97.8,90.9,286.2,153.9,300.4,234.2,597.7,265.5,335.1,146.3,234.3,178.6,178.6,437.6,402.0,603.8,337.8,59.9,237.0,501.8,629.0,199.2,609.1,314.8,459.1,279.9,135.3,186.7,457.0,107.4,200.9,447.4,208.6,302.9,86.2,0.0,49.2,383.1,989.3,547.1,682.2,466.5,543.5,606.3,202.0,642.7,138.1,490.9,474.2,407.7,372.0,567.8,155.6,449.3,468.1,686.5,255.1,365.7,720.4,160.4,662.0,491.5,150.9,335.1,2686.2,665.3,343.7,631.8,388.2,72.4,552.5,296.9,286.8,304.9,155.1,422.2,93.7,287.5,263.0,304.5,111.6,130.0,257.0,628.1,200.0,691.8,314.7,361.4,405.8
KQ,51.8,738.6,541.3,88.4,81.5,236.9,144.5,263.4,184.9,548.4,256.1,285.8,136.9,185.0,169.2,169.2,428.2,352.7,554.5,328.4,50.5,187.7,452.5,579.7,189.8,559.8,265.5,409.8,230.6,115.9,137.4,407.7,98.0,151.6,398.1,199.2,253.6,76.8,34.2,0.0,333.8,979.9,497.8,632.9,417.2,494.2,557.0,192.6,593.4,129.9,441.6,424.9,358.4,322.7,518.5,146.2,400.0,418.8,637.2,245.7,316.4,671.1,111.1,612.7,448.9,141.5,285.8,2720.5,616.0,294.4,582.5,338.9,81.0,503.2,287.5,237.5,255.6,145.7,372.9,128.0,238.2,267.2,255.2,120.2,120.6,247.6,663.6,190.6,642.5,265.4,312.1,441.3
LD,423.8,1038.8,841.5,460.4,453.5,124.3,516.5,120.9,525.0,401.7,628.1,47.1,508.9,485.2,541.2,541.2,800.2,403.5,427.1,700.4,422.5,516.2,752.7,452.3,561.8,432.4,118.8,217.9,160.6,497.9,477.5,328.1,470.0,451.8,698.3,571.2,107.6,448.8,406.2,371.9,0.0,1351.9,351.1,505.5,225.3,366.8,429.6,564.6,466.0,501.9,332.2,279.0,658.6,381.2,391.1,518.2,253.3,291.4,509.8,617.7,616.6,543.7,411.3,485.3,688.1,513.5,139.1,2763.4,488.6,533.6,455.1,639.1,453.0,545.8,659.5,537.7,598.2,517.7,226.2,421.4,477.4,639.2,165.2,492.2,492.6,619.6,963.8,562.6,515.1,504.6,165.4,741.5
LI,922.3,669.3,866.6,824.1,831.6,1139.6,953.9,1153.8,1087.6,1451.1,1065.5,1188.5,946.3,1087.7,913.0,978.6,1237.6,1255.4,1457.2,1080.1,856.6,1091.5,1166.5,1482.4,999.2,1462.5,1168.2,1312.5,1133.3,935.3,1040.1,1310.4,873.5,1054.3,1112.1,1008.6,1156.3,886.2,946.1,902.6,1236.5,0.0,1400.5,1535.6,1319.9,1396.9,1459.7,1002.0,1496.1,992.7,1344.3,1327.6,1049.5,1225.4,1421.2,955.6,1302.7,1321.5,1539.9,1055.1,1101.5,1573.8,1013.8,1515.4,1344.9,885.3,1188.5,3490.2,1518.7,1197.1,1485.2,1144.5,943.8,1405.9,1096.9,1140.2,1158.3,890.6,1275.6,1031.5,1140.9,1076.6,1157.9,983.0,864.4,1057.0,922.1,934.4,1545.2,1168.1,1214.8,966.6
LK,599.6,1061.8,864.5,592.1,585.2,241.1,648.2,250.0,620.0,334.1,759.8,275.2,640.6,508.2,672.9,672.9,931.9,335.9,359.5,832.1,554.2,447.5,775.7,384.7,693.5,364.8,212.5,307.1,277.4,629.6,572.5,260.5,601.7,485.2,721.3,702.9,224.4,580.5,537.9,503.6,345.0,1483.6,0.0,437.9,314.5,299.2,362.0,696.3,398.4,633.6,264.6,211.4,681.6,313.6,323.5,649.9,185.7,223.8,442.2,749.4,639.6,476.1,536.1,417.7,620.5,645.2,191.9,2880.2,421.0,466.0,387.5,662.1,584.7,478.2,791.2,560.7,530.6,650.5,114.5,553.1,409.8,770.9,282.0,623.9,624.3,751.3,990.1,694.3,447.5,437.0,165.3,764.5
MI,715.4,1072.8,875.5,752.0,745.1,401.0,808.1,409.9,631.0,358.0,919.7,435.1,800.5,519.2,832.8,832.8,1091.8,346.9,225.1,992.0,714.1,459.6,786.7,79.7,853.4,278.8,372.4,467.0,437.3,779.5,583.5,271.5,761.6,496.2,732.3,939.4,384.3,740.4,697.8,663.5,504.9,1757.6,422.2,0.0,474.4,121.1,100.2,856.2,93.4,793.5,255.6,220.9,692.6,324.6,189.1,809.8,246.7,209.3,87.6,890.4,650.6,177.1,547.1,16.4,624.8,805.1,351.8,3040.1,159.2,477.0,125.7,673.1,744.6,489.2,951.1,571.7,541.6,809.3,297.3,713.0,420.8,930.8,441.9,783.8,784.2,911.2,997.8,854.2,185.7,448.0,325.2,775.5
MK,543.5,1125.9,928.6,536.0,529.1,187.4,592.1,184.0,684.1,398.2,703.7,189.5,584.5,572.3,616.8,616.8,875.8,400.0,423.6,776.0,498.1,511.6,839.8,448.8,637.4,428.9,158.8,6.3,223.7,573.5,636.6,324.6,545.6,549.3,785.4,646.8,170.7,524.4,481.8,447.5,196.4,1427.5,347.6,502.0,0.0,363.3,426.1,640.2,462.5,577.5,328.7,275.5,745.7,377.7,387.6,593.8,249.8,287.9,506.3,693.3,703.7,540.2,486.9,481.8,684.6,589.1,138.2,2787.5,485.1,530.1,451.6,726.2,528.6,542.3,735.1,624.8,594.7,594.4,222.7,497.0,473.9,714.8,228.3,567.8,568.2,695.2,1054.2,638.2,511.6,501.1,161.9,828.6
MO,594.2,951.6,754.3,630.8,623.9,279.8,686.9,288.7,509.8,236.8,798.5,313.9,679.3,398.0,711.6,711.6,970.6,225.7,103.9,870.8,592.9,338.4,665.5,85.4,732.2,157.6,251.2,345.8,316.1,658.3,462.3,150.3,640.4,375.0,611.1,818.2,263.1,619.2,576.6,542.3,383.7,1636.4,301.0,138.6,353.2,0.0,62.7,735.0,99.1,672.3,134.4,99.7,571.4,203.4,67.9,688.6,125.5,88.1,142.9,769.2,529.4,176.8,425.9,118.4,510.3,683.9,230.6,2918.9,121.7,355.8,88.2,551.9,623.4,368.0,829.9,450.5,420.4,688.1,176.1,591.8,299.6,809.6,320.7,662.6,663.0,790.0,876.6,733.0,148.2,326.8,204.0,654.3
MP,647.0,1004.4,807.1,683.6,676.7,332.6,739.7,329.2,562.6,289.6,851.3,366.7,732.1,450.8,764.4,764.4,1023.4,278.5,156.7,923.6,645.7,391.2,718.3,74.5,785.0,210.4,304.0,398.6,368.9,721.1,515.1,203.1,693.2,427.8,663.9,871.0,315.9,672.0,629.4,595.1,436.5,1689.2,353.8,127.7,406.0,52.7,0.0,787.8,88.2,741.9,187.2,152.5,624.2,256.2,120.7,741.4,178.3,140.9,132.0,822.0,582.2,165.9,478.7,107.5,563.1,736.7,283.4,2971.7,58.9,408.6,25.4,604.7,676.2,420.8,882.7,503.3,473.2,740.9,228.9,644.6,352.4,862.4,373.5,715.4,715.8,842.8,929.4,785.8,85.4,379.6,256.8,707.1
MR,203.0,501.0,303.7,195.5,188.6,417.3,38.6,443.8,365.3,728.8,102.7,466.2,93.5,365.4,151.6,76.2,274.8,533.1,734.9,175.0,157.6,369.2,380.9,760.1,36.4,740.2,445.9,590.2,411.0,141.7,317.8,588.1,205.1,332.0,326.5,6.6,434.0,110.9,194.7,180.3,514.2,1084.3,678.2,813.3,597.6,674.6,737.4,0.0,773.8,163.0,622.0,605.3,263.9,503.1,698.9,83.8,580.4,599.2,817.6,53.1,315.9,851.5,291.5,793.1,629.3,211.0,466.2,2881.0,796.4,474.8,762.9,358.9,201.9,683.6,134.1,394.8,436.0,174.0,553.3,372.6,418.6,174.0,435.6,172.7,203.2,94.2,429.3,143.4,822.9,445.8,492.5,203.7
MV,735.7,1049.0,851.7,728.2,721.3,377.2,784.3,386.1,607.2,334.2,895.9,411.3,776.7,495.4,809.0,809.0,1068.0,323.1,201.3,968.2,690.3,434.7,762.9,12.8,829.6,255.0,348.6,443.2,413.5,765.7,559.7,247.7,737.8,472.4,708.5,915.6,360.5,716.6,674.0,639.7,481.1,1733.8,398.4,89.1,450.6,97.3,76.4,832.4,0.0,769.7,231.8,197.1,668.8,300.8,165.3,786.0,222.9,185.5,93.4,866.6,626.8,153.3,523.3,68.9,601.0,781.3,328.0,3016.3,135.4,453.2,101.9,649.3,720.8,465.4,927.3,547.9,517.8,786.6,273.5,689.2,397.0,907.0,418.1,760.0,760.4,887.4,977.3,830.4,161.9,424.2,301.4,751.7
MY,156.8,666.5,486.0,193.4,186.5,361.8,134.1,376.0,309.8,673.3,245.7,410.7,156.3,309.9,242.1,158.8,417.8,477.6,696.2,318.0,155.5,312.6,563.2,704.6,179.4,684.7,390.4,534.7,355.5,194.5,279.1,532.6,203.0,276.5,508.8,188.8,378.5,156.9,138.0,141.6,458.7,1084.9,622.7,757.8,542.1,635.9,681.9,182.2,718.3,0.0,566.5,549.8,446.2,464.4,643.4,146.6,524.9,543.7,762.1,218.5,441.3,796.0,236.0,737.6,583.9,277.0,410.7,2807.5,740.9,419.3,707.4,463.8,38.8,644.9,260.3,362.4,380.5,265.8,497.8,215.0,379.9,124.8,396.9,9.7,252.4,237.2,608.3,189.4,784.2,390.3,437.0,386.0
NC,583.9,888.7,691.4,576.4,569.5,234.9,632.5,243.8,446.9,191.9,744.1,269.0,624.9,335.1,657.2,657.2,916.2,162.8,204.4,816.4,538.5,274.4,602.6,229.6,677.8,209.7,206.3,300.9,271.2,613.9,399.4,87.4,586.0,312.1,548.2,755.3,218.2,564.8,522.2,487.9,338.8,1573.5,256.1,282.8,308.3,144.1,206.9,762.3,243.3,617.9,0.0,54.8,508.5,140.5,168.4,634.2,80.6,68.7,287.1,706.3,466.5,321.0,363.0,262.6,440.7,629.5,185.7,2874.0,265.9,292.9,232.4,489.0,569.0,305.1,775.5,387.6,357.5,634.8,131.2,546.9,236.7,755.2,275.8,608.2,608.6,735.6,817.0,678.6,292.4,263.9,159.1,591.4
ND,538.5,850.3,653.0,531.0,524.1,180.0,587.1,176.6,408.5,137.0,698.7,214.1,579.5,296.7,611.8,611.8,870.8,124.4,148.0,771.0,493.1,236.0,564.2,173.2,632.4,153.3,151.4,246.0,216.3,568.5,361.0,49.0,540.6,273.7,509.8,716.9,163.3,519.4,476.8,442.5,283.9,1535.1,201.2,226.4,253.4,87.7,150.5,723.9,186.9,572.5,53.1,0.0,470.1,102.1,112.0,588.8,25.7,12.3,230.7,667.9,428.1,264.6,324.6,206.2,409.0,584.1,130.8,2819.1,209.5,254.5,176.0,450.6,523.6,266.7,730.1,349.2,319.1,589.4,76.3,492.0,198.3,709.8,220.9,562.8,563.2,690.2,778.6,633.2,236.0,225.5,104.2,553.0
NH,456.8,380.1,182.8,449.3,442.4,542.1,292.4,568.6,362.0,607.2,356.5,591.0,347.3,183.3,405.4,330.0,528.6,397.9,599.7,428.8,411.4,234.0,116.9,624.9,290.2,605.0,570.7,715.0,535.8,395.5,314.5,452.9,458.9,227.2,62.5,246.7,558.8,364.7,437.3,434.1,639.0,1064.9,671.4,678.1,722.4,539.4,602.2,253.7,638.6,416.8,486.8,470.1,0.0,367.9,563.7,337.6,495.9,464.0,682.4,197.7,51.9,716.3,278.1,657.9,494.1,464.8,591.0,3123.6,661.2,339.6,627.7,94.9,455.7,548.4,387.9,130.8,300.8,427.8,546.5,626.4,283.4,427.8,560.4,426.5,457.0,348.0,308.4,397.2,687.7,310.6,574.4,82.8
NI,399.2,748.1,550.8,435.8,428.9,282.2,491.9,291.1,306.3,239.2,603.5,316.3,484.3,194.5,516.6,516.6,775.6,22.2,231.7,675.8,397.9,134.9,462.0,256.9,537.2,237.0,253.6,348.2,318.5,473.3,258.8,84.9,445.4,171.5,407.6,614.7,265.5,424.2,381.6,347.3,386.1,1432.9,303.4,310.1,355.6,171.4,234.2,621.7,270.6,477.3,118.8,102.1,367.9,0.0,195.7,493.6,127.9,96.0,314.4,565.7,325.9,348.3,222.4,289.9,306.8,488.9,233.0,2921.3,293.2,152.3,259.7,348.4,428.4,180.4,634.9,247.0,216.9,493.1,178.5,614.5,96.1,614.6,323.1,467.6,468.0,595.0,673.1,538.0,319.7,123.3,206.4,450.8
NY,644.9,958.2,760.9,637.4,630.5,286.4,693.5,283.0,516.4,243.4,805.1,320.5,685.9,404.6,718.2,718.2,977.2,232.3,36.0,877.4,599.5,343.9,672.1,165.7,738.8,164.2,257.8,352.4,322.7,674.9,468.9,156.9,647.0,381.6,617.7,824.8,269.7,625.8,583.2,548.9,390.3,1643.0,307.6,218.9,359.8,80.2,143.0,741.6,179.4,678.9,141.0,106.3,578.0,210.0,0.0,695.2,132.1,94.7,223.2,775.8,536.0,257.1,432.5,198.7,516.9,690.5,237.2,2925.5,202.0,362.4,168.5,558.5,630.0,374.6,836.5,457.1,427.0,695.8,182.7,598.4,306.2,816.2,327.3,669.2,669.6,796.6,886.5,739.6,228.5,333.4,210.6,660.9
OD,175.8,584.1,386.8,168.3,161.4,390.1,34.9,416.6,338.1,701.6,146.5,439.0,66.3,338.2,95.4,59.6,318.6,505.9,707.7,218.8,130.4,342.0,464.0,732.9,80.2,713.0,418.7,563.0,383.8,114.5,290.6,560.9,202.4,304.8,409.6,89.6,406.8,83.7,167.5,153.1,487.0,1100.4,651.0,786.1,570.4,647.4,710.2,83.0,746.6,146.6,594.8,578.1,347.0,475.9,671.7,0.0,553.2,572.0,790.4,136.1,399.0,824.3,264.3,765.9,602.1,130.3,439.0,2853.8,769.2,447.6,735.7,442.0,185.5,656.4,177.9,390.7,408.8,93.3,526.1,345.4,391.4,157.6,408.4,156.3,122.5,138.0,512.4,59.6,795.7,418.6,465.3,286.8
OM,468.6,876.0,678.7,505.2,498.3,154.2,561.3,163.1,434.2,148.3,672.9,188.3,553.7,322.4,586.0,586.0,845.0,150.1,173.7,745.2,467.3,262.8,589.9,198.9,606.6,179.0,125.6,220.2,190.5,532.7,386.7,74.7,514.8,299.4,535.5,616.0,137.5,493.6,451.0,416.7,258.1,1396.7,175.4,252.1,227.6,113.4,176.2,609.4,212.6,546.7,78.8,25.6,495.8,127.8,137.7,563.0,0.0,38.0,256.4,693.6,453.8,290.3,350.3,231.9,434.7,558.3,105.0,2793.3,235.2,280.2,201.7,476.3,497.8,292.4,704.3,374.9,344.8,562.5,50.5,466.2,224.0,684.0,195.1,537.0,537.4,664.4,801.0,607.4,261.7,251.2,78.4,578.7
OQ,550.1,863.4,666.1,542.6,535.7,191.6,598.7,200.5,421.6,148.6,710.3,225.7,591.1,309.8,623.4,623.4,882.4,137.5,135.6,782.6,504.7,249.1,577.3,160.8,644.0,140.9,163.0,257.6,227.9,580.1,374.1,62.1,552.2,286.8,522.9,730.0,174.9,531.0,488.4,454.1,295.5,1548.2,212.8,214.0,265.0,75.3,138.1,646.8,174.5,584.1,46.2,11.5,483.2,115.2,99.6,600.4,37.3,0.0,218.3,681.0,441.2,252.2,337.7,193.8,422.1,595.7,142.4,2830.7,197.1,267.6,163.6,463.7,535.2,279.8,741.7,362.3,332.2,601.0,87.9,503.6,211.4,721.4,232.5,574.4,574.8,701.8,791.7,644.8,223.6,238.6,115.8,566.1
OT,772.4,1085.7,888.4,764.9,758.0,413.9,821.0,410.5,643.9,370.9,932.6,448.0,813.4,532.1,845.7,845.7,1104.7,359.8,238.0,1004.9,727.0,471.4,799.6,92.6,866.3,291.7,385.3,479.9,450.2,802.4,596.4,284.4,774.5,509.1,745.2,952.3,397.2,753.3,710.7,676.4,517.8,1770.5,435.1,76.2,487.3,134.0,113.1,869.1,106.3,806.4,268.5,233.8,705.5,337.5,202.0,822.7,259.6,222.2,0.0,903.3,663.5,190.0,560.0,56.0,644.4,818.0,364.7,3053.0,172.1,489.9,138.6,686.0,757.5,502.1,964.0,584.6,554.5,823.3,310.2,725.9,433.7,943.7,454.8,796.7,797.1,924.1,1014.0,867.1,198.6,460.9,338.1,788.4
OU,235.9,447.9,250.6,251.5,244.6,473.3,94.6,499.8,421.3,784.8,158.7,522.2,149.5,394.2,207.6,132.2,330.8,589.1,790.9,231.0,213.6,424.1,327.8,816.1,92.4,796.2,501.9,646.2,467.0,187.7,373.8,644.1,261.1,388.0,273.4,48.9,490.0,166.9,250.7,236.3,570.2,1132.7,734.2,869.3,653.6,730.6,793.4,55.9,829.8,202.2,678.0,661.3,210.8,559.1,754.9,139.8,636.4,655.2,873.6,0.0,262.8,907.5,347.5,849.1,685.3,267.0,522.2,2937.0,852.4,530.8,818.9,305.8,257.9,739.6,190.1,341.7,492.0,255.8,609.3,428.6,474.6,230.0,491.6,228.7,259.2,150.2,372.9,199.4,878.9,501.8,548.5,150.6
PF,447.0,422.1,224.8,439.5,432.6,490.1,334.4,504.3,310.0,555.2,398.5,539.0,389.3,131.3,447.4,372.0,570.6,345.9,547.7,470.8,401.6,182.0,136.0,572.9,332.2,553.0,518.7,663.0,483.8,437.5,262.5,400.9,449.1,175.2,81.6,288.7,506.8,406.7,385.3,351.0,587.0,1106.9,619.4,626.1,670.4,487.4,550.2,295.7,586.6,458.8,434.8,418.1,41.9,315.9,511.7,379.6,443.9,412.0,630.4,239.7,0.0,664.3,226.1,605.9,442.1,506.8,539.0,3071.6,609.2,287.6,575.7,42.9,497.7,496.4,429.9,78.8,248.8,469.8,494.5,618.2,231.4,469.8,508.4,468.5,499.0,390.0,350.4,439.2,635.7,258.6,522.4,124.8
PG,737.3,1094.7,897.4,773.9,767.0,422.9,830.0,419.5,652.9,379.9,941.6,457.0,822.4,541.1,854.7,854.7,1113.7,368.8,247.0,1013.9,736.0,481.5,808.6,127.6,875.3,300.7,394.3,488.9,459.2,801.4,605.4,293.4,783.5,518.1,754.2,961.3,406.2,762.3,719.7,685.4,526.8,1779.5,444.1,180.8,496.3,143.0,122.1,878.1,141.3,832.2,277.5,242.8,714.5,346.5,211.0,831.7,268.6,231.2,185.1,912.3,672.5,0.0,569.0,160.6,653.4,827.0,373.7,3062.0,181.1,498.9,147.6,695.0,766.5,511.1,973.0,593.6,563.5,831.2,319.2,734.9,442.7,952.7,463.8,805.7,806.1,933.1,1019.7,876.1,207.6,469.9,347.1,797.4
PH,176.7,627.4,430.1,213.3,206.4,263.9,269.4,290.4,142.1,450.8,381.0,312.8,261.8,73.8,294.1,294.1,553.1,241.5,443.3,453.3,175.4,76.5,341.3,468.5,314.7,448.6,292.5,436.8,257.6,240.8,94.6,296.5,222.9,40.4,286.9,324.1,280.6,201.7,159.1,124.8,360.8,1104.8,515.0,521.7,444.2,383.0,445.8,317.5,482.2,254.8,330.4,313.7,247.2,211.5,407.3,271.1,339.5,307.6,526.0,445.0,205.2,559.9,0.0,501.5,337.7,266.4,312.8,2845.4,504.8,183.2,471.3,227.7,205.9,392.0,412.4,126.3,144.4,270.6,390.1,392.0,127.0,392.1,282.2,245.1,245.5,372.5,552.4,315.5,531.3,154.2,339.1,330.1
PY,743.0,1056.3,859.0,735.5,728.6,384.5,791.6,393.4,614.5,341.5,903.2,418.6,784.0,502.7,816.3,816.3,1075.3,330.4,208.6,975.5,697.6,442.0,770.2,63.2,836.9,262.3,355.9,450.5,420.8,773.0,567.0,255.0,745.1,479.7,715.8,922.9,367.8,723.9,681.3,647.0,488.4,1741.1,405.7,20.2,457.9,104.6,83.7,839.7,76.9,777.0,239.1,204.4,676.1,308.1,172.6,793.3,230.2,192.8,71.1,873.9,634.1,160.6,530.6,0.0,608.3,788.6,335.3,3023.6,142.7,460.5,109.2,656.6,728.1,472.7,934.6,555.2,525.1,793.9,280.8,696.5,404.3,914.3,425.4,767.3,767.7,894.7,984.6,837.7,169.2,431.5,308.7,759.0
QI,469.8,818.7,625.4,506.4,499.5,513.5,562.5,514.1,376.9,474.5,674.1,547.6,554.9,265.1,587.2,587.2,850.2,265.2,467.0,746.4,472.5,209.5,536.6,488.2,611.8,472.3,488.9,579.5,553.8,537.9,329.4,320.2,520.0,242.1,482.2,689.3,496.8,498.8,452.2,417.9,617.4,1507.5,538.7,545.4,586.9,402.7,465.5,696.3,505.9,568.7,354.1,337.4,442.5,235.2,427.0,568.2,363.2,331.3,545.7,640.3,400.5,579.6,297.0,521.2,0.0,563.5,464.3,3138.5,528.5,97.4,491.0,419.0,499.0,411.7,705.5,321.6,291.5,563.7,409.8,689.1,155.0,689.2,554.4,538.2,538.6,665.6,743.7,612.6,555.0,130.5,441.7,521.4
QU,163.7,716.3,519.0,93.6,86.7,381.0,167.1,395.2,329.0,692.5,278.7,429.9,187.7,329.1,51.1,153.9,450.8,496.8,698.6,249.9,98.0,332.9,596.2,723.8,212.4,703.9,409.6,553.9,374.7,176.7,281.5,551.8,114.9,295.7,541.8,221.8,397.7,127.6,158.4,144.0,477.9,1056.1,641.9,777.0,561.3,638.3,701.1,215.2,737.5,234.1,585.7,569.0,479.2,466.8,662.6,132.1,544.1,562.9,781.3,268.3,460.5,815.2,255.2,756.8,593.0,0.0,429.9,2844.7,760.1,438.5,726.6,483.0,185.2,647.3,290.8,381.6,399.7,28.7,517.0,315.7,382.3,289.8,399.3,224.4,35.0,270.2,644.6,72.5,786.6,409.5,456.2,419.0
QZ,407.6,990.2,792.9,400.1,393.2,49.1,456.2,58.0,548.4,262.5,567.8,83.2,448.6,436.6,480.9,480.9,739.9,264.3,287.9,640.1,362.2,375.9,704.1,313.1,501.5,293.2,20.5,137.7,85.4,437.6,500.9,188.9,409.7,413.6,649.7,510.9,32.4,388.5,345.9,311.6,153.0,1291.6,211.9,366.3,145.1,227.6,290.4,504.3,326.8,441.6,193.0,139.8,610.0,242.0,251.9,457.9,114.1,152.2,370.6,557.4,568.0,404.5,351.0,346.1,548.9,453.2,0.0,2688.2,349.4,394.4,315.9,590.5,392.7,406.6,599.2,489.1,459.0,458.5,87.0,361.1,338.2,578.9,90.0,431.9,432.3,559.3,918.5,502.3,375.9,365.4,26.2,692.9
RU,2581.3,3179.1,2981.8,2573.8,2566.9,2438.1,2629.9,2473.6,2710.2,2749.6,2741.5,2504.7,2622.3,2710.3,2654.6,2654.6,2913.6,2751.4,2775.0,2813.8,2535.9,2714.1,2977.8,2800.2,2675.2,2780.3,2466.7,2575.2,2431.8,2611.3,2662.7,2676.0,2583.4,2676.9,2923.4,2684.6,2454.8,2562.2,2475.9,2525.2,2552.7,3377.1,2699.0,2853.4,2582.6,2714.7,2777.5,2678.0,2813.9,2597.3,2680.1,2626.9,2883.7,2729.1,2739.0,2631.6,2601.2,2639.3,2857.7,2731.1,2841.7,2891.6,2636.4,2833.2,2974.2,2626.9,2487.0,0.0,2836.5,2819.7,2803.0,2864.2,2548.4,2893.7,2772.9,2762.8,2780.9,2632.2,2574.1,2459.0,2763.5,2739.0,2456.4,2587.6,2606.0,2733.0,3107.4,2676.0,2863.0,2790.7,2513.3,2881.8
RX,737.1,1050.4,853.1,729.6,722.7,378.6,785.7,387.5,608.6,335.6,897.3,412.7,778.1,496.8,810.4,810.4,1069.4,324.5,202.7,969.6,691.7,436.1,764.3,120.5,831.0,256.4,350.0,444.6,414.9,767.1,561.1,249.1,739.2,473.8,709.9,917.0,361.9,718.0,675.4,641.1,482.5,1735.2,399.8,173.7,452.0,98.7,45.9,833.8,134.2,771.1,233.2,198.5,670.2,302.2,166.7,787.4,224.3,186.9,178.0,868.0,628.2,211.9,524.7,153.5,609.1,782.7,329.4,3017.7,0.0,454.6,20.4,650.7,722.2,466.8,928.7,549.3,519.2,788.0,274.9,690.6,398.4,908.4,419.5,761.4,761.8,888.8,978.7,831.8,26.4,425.6,302.8,753.1
SZ,416.4,721.2,523.9,408.9,402.0,416.0,465.0,424.9,279.4,373.0,576.6,450.1,457.4,167.6,489.7,489.7,748.7,163.7,365.5,648.9,371.0,106.9,435.1,390.7,510.3,370.8,387.4,482.0,452.3,446.4,231.9,218.7,418.5,144.6,380.7,587.8,399.3,397.3,354.7,320.4,519.9,1406.0,437.2,443.9,489.4,305.2,368.0,594.8,404.4,450.4,252.6,235.9,341.0,133.7,329.5,466.7,261.7,229.8,448.2,538.8,299.0,482.1,195.5,423.7,154.4,462.0,366.8,3041.0,427.0,0.0,393.5,321.5,401.5,314.2,608.0,220.1,190.0,467.3,312.3,587.6,57.5,587.7,456.9,440.7,441.1,568.1,649.5,511.1,453.5,29.0,340.2,423.9
TI,716.6,1029.9,832.6,709.1,702.2,358.1,765.2,354.7,588.1,315.1,876.8,392.2,757.6,476.3,789.9,789.9,1048.9,304.0,182.2,949.1,671.2,415.6,743.8,100.0,810.5,235.9,329.5,424.1,394.4,746.6,540.6,228.6,718.7,453.3,689.4,896.5,341.4,697.5,654.9,620.6,462.0,1714.7,379.3,153.2,431.5,78.2,25.4,813.3,113.7,750.6,212.7,178.0,649.7,281.7,146.2,766.9,203.8,166.4,157.5,847.5,607.7,191.4,504.2,133.0,588.6,762.2,308.9,2997.2,33.4,434.1,0.0,630.2,701.7,446.3,908.2,528.8,498.7,767.5,254.4,670.1,377.9,887.9,399.0,740.9,741.3,868.3,958.2,811.3,59.9,405.1,282.3,732.6
