from_stop,AC,AI,AL,AR,AU,AW,BD,BI,BJ,BZ,CD,CH,CO,CV,DG,DI,DJ,DK,DL,DN,DP,DT,DZ,EF,EG,EH,EI,ET,EV,EW,EX,FB,FF,FG,FI,FJ,FO,FZ,GB,GT,GU,HG,HO,HU,HZ,IN,IO,IP,JF,JI,JJ,JK,JQ,JS,KG,KK,KL,KM,KU,KV,LM,LO,LS,LV,MH,MJ,MK,MP,MW,NC,NG,NP,NX,OE,OQ,OR,OX,PH,PJ,PN,PO,PR,QG,QK,QO,QZ,RU,RX,SJ,SQ,SW,TD,TI,UB,UH,UU,UX,VF,VG,VH,VT,VX,WA,WI,WW,XB,XD,XN,XW,XZ,YB,YH,YI,YJ,YN,YO,YT,YZ,ZE,ZO,ZU,ZY
EI,264.1,345.8,492.5,604.6,218.2,196.0,483.6,165.1,185.6,428.3,79.3,133.8,146.4,458.3,375.8,419.3,564.7,84.9,118.3,458.8,247.4,192.8,150.3,315.1,414.3,274.0,0.0,100.3,552.8,87.8,160.2,156.4,210.8,192.3,383.5,113.8,203.5,67.2,634.3,77.2,108.3,1852.3,686.6,413.1,539.1,347.2,104.2,640.2,124.6,337.1,30.1,234.8,163.8,331.3,268.2,156.9,140.6,137.5,43.7,108.4,87.4,81.1,262.3,41.3,40.9,280.3,55.8,548.4,96.6,140.4,600.5,293.6,128.9,301.7,46.8,342.3,91.7,619.2,594.0,367.0,127.8,149.1,534.5,87.5,562.6,161.4,114.2,155.0,266.1,131.2,67.9,516.0,188.7,357.4,260.6,128.4,275.7,261.7,108.0,235.4,502.0,56.5,81.4,146.6,287.5,178.0,314.7,223.9,171.2,584.8,148.8,218.9,542.6,116.4,513.0,125.6,219.8,189.5,173.6,464.7,87.7,357.3
ET,291.5,373.2,519.9,632.0,245.6,223.4,511.0,64.7,213.0,455.7,58.5,114.3,173.8,485.7,403.2,446.7,592.1,112.3,98.8,486.2,274.8,220.2,108.6,342.5,441.7,301.4,157.5,0.0,580.2,11.9,187.6,56.0,238.2,125.7,410.9,97.6,230.9,94.6,661.7,100.6,90.2,1879.7,714.0,440.5,566.5,374.6,105.7,667.6,78.1,364.5,116.9,262.2,191.2,358.7,295.6,56.5,103.7,74.1,106.1,135.8,96.8,18.4,289.7,68.7,84.6,307.7,83.2,575.8,104.7,157.5,627.9,321.0,28.5,329.1,122.4,369.7,119.1,646.6,621.4,394.4,27.4,176.5,561.9,61.3,590.0,188.8,141.6,135.5,293.5,30.8,90.8,543.4,216.1,384.8,288.0,155.8,303.1,289.1,25.7,185.0,529.4,96.1,108.8,120.6,314.9,205.4,342.1,251.3,86.0,612.2,149.9,246.3,570.0,143.8,540.4,141.6,247.2,216.9,166.6,492.1,115.1,384.7
EV,474.3,173.2,83.8,212.9,430.8,446.1,99.5,662.1,417.3,77.3,575.1,649.4,419.5,149.8,143.3,115.7,156.0,436.7,633.9,108.8,541.6,433.9,646.1,212.6,133.6,461.8,633.7,597.3,0.0,584.8,391.9,653.4,423.4,540.0,184.9,510.2,445.1,500.6,225.6,511.6,545.3,2000.1,205.6,121.9,15.0,212.6,500.6,140.7,558.0,182.7,545.7,484.9,428.8,268.4,385.4,587.8,636.4,533.9,559.3,453.3,484.2,578.1,429.8,482.0,536.7,490.5,489.2,139.7,530.0,488.1,176.2,332.4,625.9,289.2,560.6,218.1,474.1,241.2,183.4,192.3,624.8,444.2,92.1,645.4,153.9,419.1,461.9,699.4,260.6,570.3,581.7,109.1,420.4,158.5,470.8,476.1,250.0,378.9,609.8,528.5,105.7,572.1,514.8,518.6,373.5,409.7,279.8,298.9,543.2,119.7,496.5,404.9,84.6,464.1,129.1,497.6,469.9,390.9,495.1,144.4,433.9,202.0
EW,264.9,361.2,513.2,620.0,233.6,211.4,499.0,77.2,201.0,443.7,56.7,113.5,161.8,471.2,388.3,434.7,580.1,113.5,98.0,474.2,262.8,208.2,112.6,330.5,429.7,289.4,156.7,12.4,568.2,0.0,175.6,57.2,226.2,138.2,398.9,110.1,218.9,82.6,649.7,88.6,106.0,1867.7,702.0,428.5,554.5,362.6,119.6,655.6,90.6,352.5,116.1,250.2,179.2,346.7,283.6,69.0,102.9,97.5,105.3,123.8,84.8,6.4,277.7,56.7,83.8,298.2,71.2,563.8,112.0,155.8,615.9,309.0,41.0,317.1,121.6,340.3,107.1,634.6,609.4,382.4,39.9,164.5,549.9,60.5,578.0,176.8,129.6,134.7,281.5,43.3,90.0,531.4,204.0,372.8,276.0,143.8,291.1,277.1,22.1,197.5,517.4,88.7,96.8,133.1,302.9,193.4,330.1,239.3,98.5,600.2,162.4,248.0,602.8,131.8,528.4,141.0,235.2,204.9,179.1,480.1,103.1,372.7
EX,138.3,202.0,348.7,460.8,92.4,70.2,339.8,306.6,25.3,284.5,219.6,328.6,64.0,314.5,232.0,275.5,420.9,81.2,344.1,315.0,121.6,67.0,290.6,171.3,270.5,192.3,334.4,241.8,409.0,229.3,0.0,297.9,85.0,184.5,239.7,154.7,175.6,145.1,490.5,156.1,186.2,1692.0,542.8,269.3,395.3,203.4,145.1,496.4,202.5,193.3,190.2,109.0,153.2,195.3,115.9,232.3,280.9,262.7,203.8,97.8,128.7,222.6,136.5,126.5,181.2,154.5,133.7,404.6,174.5,132.6,456.7,145.3,270.4,153.4,205.1,198.5,118.6,475.4,450.2,223.2,269.3,88.7,390.7,289.9,418.8,35.6,106.4,307.4,122.3,214.8,226.2,372.2,28.4,213.6,134.8,120.6,131.9,109.4,254.3,173.0,358.2,216.6,159.3,163.1,135.2,17.7,206.7,80.1,187.7,400.5,141.0,93.1,398.8,108.6,369.2,142.1,94.0,63.7,139.6,320.9,78.4,213.5
FB,355.6,437.3,589.2,696.1,309.6,287.5,575.0,8.7,277.0,519.8,122.6,94.3,237.9,549.7,464.4,510.8,656.2,188.9,82.7,550.3,338.9,284.3,63.8,406.6,520.8,393.4,208.6,64.0,644.3,75.9,251.7,0.0,302.2,160.6,474.9,132.5,295.0,152.4,725.7,164.7,128.4,1921.4,778.1,504.6,630.5,463.2,140.6,746.7,98.0,428.6,157.3,326.3,255.3,422.8,359.7,80.4,81.0,104.8,146.5,199.9,160.8,97.5,353.8,132.8,148.6,371.8,147.3,639.8,124.6,177.4,707.0,385.1,21.6,393.2,186.5,440.8,183.2,710.6,685.5,483.0,51.3,240.6,626.0,125.4,654.0,252.9,216.5,115.5,357.5,50.7,154.8,607.5,280.1,448.9,352.1,188.5,367.2,353.2,102.0,204.9,593.5,129.9,138.9,140.5,379.0,269.5,406.1,330.4,105.9,676.3,184.8,310.4,634.1,199.4,604.5,161.5,326.3,296.0,186.5,556.2,179.2,473.3
FF,131.6,252.9,402.2,511.7,7.4,78.1,390.7,339.5,112.7,335.4,252.5,326.8,96.9,362.9,280.0,326.4,471.8,147.5,311.3,365.9,129.5,58.8,323.5,222.2,321.4,272.3,311.1,274.7,459.9,262.2,87.3,319.5,0.0,217.4,290.6,187.6,225.8,178.0,488.1,189.0,219.1,1779.4,593.7,320.2,446.2,229.4,178.0,547.3,235.4,244.2,223.1,116.9,186.1,167.0,166.8,265.2,313.8,209.1,236.7,130.7,161.6,255.5,140.9,159.4,214.1,136.4,166.6,455.5,207.4,165.5,507.6,129.3,303.3,137.4,238.0,207.1,151.5,526.3,501.1,249.2,302.2,121.6,441.6,322.8,469.7,40.1,139.3,348.0,173.2,247.7,259.1,423.1,115.7,264.5,114.2,153.5,184.3,160.3,284.4,205.9,409.1,249.5,192.2,196.0,186.1,105.1,150.4,131.0,220.6,438.0,173.9,72.5,449.7,144.3,420.1,175.0,101.9,76.1,172.5,371.8,111.3,239.5
FG,293.0,374.7,521.4,633.5,247.1,224.9,512.5,176.4,214.5,457.2,203.4,250.8,175.3,483.9,401.8,448.2,593.6,133.2,239.2,487.7,276.3,225.6,220.3,344.0,443.2,315.8,303.4,145.8,581.7,157.8,189.1,156.4,239.7,0.0,412.4,109.3,249.6,182.2,663.2,212.8,139.9,1881.2,715.5,442.0,568.0,376.1,117.4,669.1,127.8,366.0,262.8,263.7,209.9,360.2,314.1,659.9,237.5,96.7,252.0,154.5,185.4,164.3,291.2,214.6,230.5,309.2,193.0,577.3,154.4,68.0,629.4,322.5,140.2,330.6,268.3,353.8,175.3,648.1,622.9,395.9,153.1,178.0,563.4,207.2,591.5,190.3,92.1,272.0,295.0,124.2,236.7,544.9,217.5,386.3,289.5,79.1,304.6,307.6,168.8,113.5,530.9,242.0,168.7,84.7,333.4,206.9,343.6,252.8,69.0,613.7,60.4,261.5,616.3,90.0,541.9,105.7,248.7,218.4,95.1,493.6,159.1,386.2
FI,394.3,57.0,146.4,253.2,288.0,317.5,129.0,540.8,301.1,76.9,458.9,533.2,303.3,104.4,35.7,35.7,213.3,353.9,517.7,75.2,368.9,272.3,529.9,96.4,77.1,345.6,517.5,481.1,193.4,468.6,275.7,520.8,295.4,423.8,0.0,428.5,328.9,384.4,282.9,395.4,425.5,2000.4,302.4,29.5,184.5,80.9,418.9,292.5,441.8,66.5,429.5,356.3,312.6,139.8,288.6,506.1,520.2,450.0,443.1,337.7,368.0,461.9,425.6,365.8,420.5,416.2,373.0,197.0,413.8,371.9,249.1,167.6,504.6,160.6,444.4,120.6,357.9,267.8,242.6,60.6,508.6,328.0,226.3,529.2,211.2,297.5,345.7,583.2,144.4,488.6,465.5,207.8,304.1,42.3,407.3,359.9,133.8,297.2,490.8,412.3,193.3,464.2,398.6,402.4,263.4,293.5,151.2,182.7,427.0,192.9,380.3,432.8,232.8,347.9,129.4,381.4,341.3,376.7,378.9,96.3,317.7,70.3
FJ,231.8,328.1,480.1,586.9,200.5,178.3,465.9,112.2,167.9,410.6,139.2,186.6,128.7,437.3,355.2,401.6,547.0,80.4,175.0,437.9,229.7,175.1,156.1,297.4,396.6,256.3,239.2,81.6,535.1,93.6,142.5,92.2,193.1,93.2,365.8,0.0,185.8,118.0,609.8,120.6,75.7,1834.6,668.9,395.4,521.4,345.6,8.0,622.5,63.6,319.4,198.6,217.1,146.1,337.5,250.5,608.8,165.8,15.1,187.8,91.3,93.2,100.1,244.6,91.0,166.3,262.6,128.8,530.7,90.2,122.7,582.8,275.9,76.0,284.0,204.1,323.3,83.1,601.5,576.3,365.4,88.9,131.4,516.8,143.0,544.9,143.7,96.5,186.3,248.4,60.0,172.5,498.3,170.9,339.7,242.9,110.7,258.0,244.0,104.6,152.5,484.3,171.2,104.5,88.1,269.8,160.3,297.0,206.2,53.5,562.6,131.1,201.2,524.9,98.7,492.1,107.9,202.1,171.8,134.1,447.0,70.0,355.7
FO,311.3,207.6,354.3,466.4,205.0,234.5,345.4,374.2,220.7,290.1,287.2,361.5,222.9,320.1,237.6,281.1,426.5,195.0,346.0,320.6,285.9,189.3,358.2,176.9,276.1,149.9,345.8,309.4,414.6,296.9,195.3,365.5,212.4,269.3,245.3,222.3,0.0,212.7,473.7,223.7,257.4,1887.4,548.4,274.9,400.9,209.0,212.7,501.4,270.1,198.9,257.8,273.3,35.9,170.6,143.3,299.9,348.5,246.0,271.4,128.3,196.3,290.2,274.7,194.1,248.8,333.2,201.3,410.2,242.1,217.4,496.3,132.9,338.0,141.0,272.7,204.1,186.2,481.0,455.8,228.8,336.9,154.1,396.3,357.5,424.4,214.5,191.2,382.7,127.9,282.4,293.8,377.8,223.8,219.2,315.7,205.4,137.5,136.8,321.9,312.4,363.8,284.2,226.9,230.7,162.6,213.1,154.0,102.3,255.3,423.6,225.8,256.8,404.4,193.4,372.9,209.7,258.3,242.8,250.6,326.5,192.2,219.1
FZ,230.8,312.5,459.2,571.3,184.9,162.7,450.3,147.7,152.3,395.0,175.7,222.1,113.1,425.0,342.5,386.0,531.4,51.6,210.5,425.5,214.1,159.5,191.6,281.8,381.0,240.7,274.7,117.1,519.5,129.1,126.9,139.0,177.5,159.0,350.2,80.5,170.2,0.0,601.0,64.9,41.1,1819.0,653.3,379.8,505.8,313.9,70.9,606.9,57.3,303.8,99.0,201.5,130.5,298.0,234.9,95.0,201.3,104.2,112.6,75.1,68.5,135.6,229.0,35.3,90.0,247.0,10.7,515.1,29.3,107.1,567.2,260.3,111.5,268.4,239.6,309.0,58.4,585.9,560.7,333.7,124.4,115.8,501.2,178.5,529.3,128.1,80.9,243.3,232.8,95.5,208.0,482.7,155.4,324.1,227.3,95.1,242.4,228.4,142.9,202.1,468.7,213.3,14.1,113.3,254.2,144.7,281.4,190.6,127.0,551.5,115.5,185.6,509.3,83.1,479.7,92.3,186.5,156.2,140.3,431.4,54.4,324.0
GB,538.1,359.9,224.1,137.6,480.9,517.9,251.5,745.4,435.5,229.3,673.1,674.5,526.0,280.6,347.8,310.1,108.7,576.6,659.0,235.9,465.4,442.1,709.0,329.2,285.6,554.1,642.5,681.9,239.3,691.3,478.0,726.7,473.5,646.5,312.0,603.4,524.5,607.1,0.0,618.1,648.2,1765.6,96.8,303.9,254.3,297.8,593.8,188.9,664.5,351.2,672.7,478.6,508.2,314.7,455.9,681.0,699.3,624.5,686.3,560.4,590.7,684.6,478.2,588.5,683.5,544.6,595.7,148.0,636.5,594.6,147.6,380.9,710.5,335.5,689.4,272.2,580.6,62.2,141.1,317.6,709.4,550.7,210.2,710.8,127.7,469.2,568.4,695.7,340.0,663.5,710.5,191.7,430.7,371.5,532.7,582.6,329.0,458.3,668.9,635.0,200.9,676.3,621.3,625.1,430.7,447.4,326.1,378.3,649.7,215.4,603.0,497.1,257.8,570.6,182.5,604.1,494.1,441.0,601.6,271.5,540.4,307.9
GT,363.0,424.4,571.1,683.2,317.1,294.9,562.2,262.5,284.5,506.9,167.4,167.8,245.3,536.9,454.4,497.9,643.3,183.8,152.3,537.4,346.3,291.7,202.3,393.7,492.9,443.7,49.0,197.7,631.4,185.2,259.1,253.8,309.7,323.5,462.1,249.8,390.4,182.6,690.5,0.0,227.3,1883.4,765.2,491.7,617.7,425.8,240.2,718.2,275.9,415.7,79.2,333.7,347.7,387.4,405.6,254.3,192.6,271.9,179.6,207.3,120.6,178.5,361.2,165.8,193.5,379.2,171.2,627.0,212.0,239.3,713.1,349.7,226.3,357.8,95.9,420.9,231.7,697.8,672.6,445.6,225.2,248.0,613.1,245.8,641.2,260.3,213.1,189.0,344.7,228.6,117.0,594.6,287.6,436.0,359.5,227.3,354.3,399.1,158.3,334.3,580.6,169.6,196.8,245.5,424.9,276.9,370.8,319.1,283.8,640.4,247.7,317.8,621.2,215.3,589.7,224.5,318.7,288.4,272.5,543.3,186.6,435.9
GU,273.1,354.8,498.2,610.3,227.2,201.7,489.3,106.6,194.6,434.0,130.0,177.4,152.1,464.0,378.6,425.0,570.4,103.8,169.4,464.5,256.4,201.8,146.9,320.8,420.0,292.6,233.6,72.4,561.8,88.0,169.2,83.0,216.5,122.0,392.5,97.5,209.2,42.2,640.0,107.2,0.0,1858.0,695.6,418.8,544.8,352.9,109.9,649.2,16.2,342.8,193.0,240.5,169.5,337.0,273.9,640.0,160.2,68.2,178.6,114.1,107.5,90.9,268.0,74.3,160.7,288.5,49.7,554.1,11.1,146.1,609.5,299.3,66.8,307.4,194.9,333.9,97.4,624.9,603.0,376.0,83.3,154.8,540.2,137.4,568.3,170.4,123.2,202.2,275.1,50.8,163.3,521.7,194.3,363.1,266.3,137.4,281.4,267.4,99.0,184.9,507.7,162.0,25.5,120.5,296.5,187.0,320.4,232.9,82.3,593.8,146.2,224.6,593.1,128.2,522.0,131.3,225.5,195.2,162.9,473.7,96.7,363.0
HG,1697.5,1821.9,1826.3,1825.3,1754.6,1659.7,1896.1,1860.8,1577.3,1904.4,1789.5,1789.9,1683.9,1875.1,1851.9,1895.4,1838.9,1701.1,1774.4,1834.1,1607.2,1708.9,1824.4,1791.2,1890.4,1812.2,1757.9,1797.3,1898.4,1816.0,1619.8,1853.4,1704.9,1804.4,1859.6,1784.7,1795.5,1825.2,1717.7,1776.0,1866.3,0.0,1814.6,1889.2,1912.1,1822.6,1792.8,1878.3,1875.5,1813.2,1788.1,1620.4,1773.1,1815.2,1735.8,1853.9,1814.7,1763.4,1801.7,1717.7,1748.6,1822.5,1705.3,1746.4,1798.9,1688.9,1813.8,1822.6,1854.6,1752.5,1873.2,1809.7,1825.9,1817.8,1804.8,1817.7,1738.5,1780.0,1880.4,1842.4,1824.8,1708.6,1857.7,1826.2,1836.8,1655.5,1726.3,1737.2,1742.2,1828.2,1825.9,1839.2,1572.3,1833.5,1674.5,1740.5,1751.8,1729.3,1780.4,1792.9,1861.7,1791.7,1839.4,1783.0,1755.1,1589.2,1826.6,1700.0,1883.4,1800.5,1760.9,1713.0,1852.1,1728.5,1780.7,1762.0,1635.9,1683.6,1759.5,1869.7,1698.3,1832.7
HO,591.3,318.9,205.1,69.6,572.0,609.0,245.2,836.5,526.6,223.0,764.2,765.6,565.2,254.4,291.8,261.4,149.9,615.8,750.1,295.3,556.5,575.1,800.1,358.3,279.3,620.4,733.6,773.0,233.0,730.5,569.1,817.8,564.6,685.7,287.0,694.5,590.8,646.3,91.0,657.3,687.4,1856.7,0.0,267.6,234.3,388.9,684.9,94.4,703.7,328.4,763.8,569.7,574.5,405.8,531.1,772.1,782.9,709.7,777.4,599.6,629.9,723.8,594.3,627.7,682.4,635.7,634.9,97.0,675.7,633.8,77.7,471.1,801.6,426.6,780.5,363.3,619.8,35.5,84.9,330.0,800.5,589.9,153.5,801.9,85.1,560.3,607.6,786.8,406.3,754.6,801.6,170.5,521.8,304.2,623.8,621.8,396.5,524.6,760.0,674.2,194.6,762.4,660.5,664.3,519.2,538.5,417.2,444.6,688.9,140.3,642.2,546.1,142.8,609.8,241.9,643.3,585.2,532.1,640.8,263.3,579.6,339.7
HU,396.0,76.4,111.5,223.6,289.7,319.2,99.4,542.5,320.5,47.3,478.3,552.6,322.7,77.3,58.0,6.2,183.7,339.9,537.1,76.9,370.6,274.0,586.4,156.0,96.5,365.0,536.9,500.5,168.6,488.0,295.1,533.8,297.1,443.2,19.3,430.2,348.3,403.8,253.3,414.8,448.5,1988.5,272.8,0.0,154.9,82.6,420.6,262.9,493.9,85.9,448.9,358.0,332.0,141.5,308.0,507.8,539.6,453.9,462.5,356.5,387.4,481.3,427.3,385.2,439.9,417.9,392.4,167.4,433.2,391.3,219.5,169.3,506.3,162.3,463.8,88.1,377.3,238.2,213.0,62.3,519.2,347.4,153.5,548.6,181.6,299.2,365.1,602.6,163.8,490.3,484.9,135.0,323.6,61.7,409.0,379.3,153.2,316.6,513.0,431.7,121.0,475.3,418.0,421.8,282.8,312.9,152.9,202.1,446.4,163.3,399.7,392.4,161.6,367.3,131.1,400.8,343.0,378.4,398.3,83.7,337.1,72.0
HZ,488.0,186.9,121.0,197.9,444.5,459.8,97.4,675.8,431.0,91.0,588.8,663.1,433.2,153.0,159.8,153.6,206.7,483.8,647.6,122.5,555.3,451.5,659.8,226.3,147.3,488.4,647.4,611.0,13.6,598.5,405.6,655.8,437.1,553.7,179.2,523.9,458.8,514.3,281.7,525.3,555.4,2003.1,190.6,159.8,0.0,226.3,514.3,125.7,571.7,196.4,559.4,498.6,442.5,282.1,399.1,601.5,650.1,539.1,573.0,467.0,497.9,591.8,443.5,495.7,550.4,504.2,502.9,153.4,543.7,501.8,161.2,346.1,639.6,302.9,574.3,239.6,487.8,226.2,168.4,206.0,638.5,457.9,77.1,659.1,167.6,432.8,475.6,713.1,274.3,584.0,595.4,94.1,434.0,172.2,484.5,489.8,263.3,392.6,620.7,542.2,90.7,592.1,528.5,532.3,387.2,423.4,293.5,312.6,556.9,104.7,510.2,418.6,66.0,480.6,142.8,511.3,483.6,404.6,508.8,158.1,447.6,215.7
IN,313.3,104.0,174.9,305.8,207.0,236.5,173.0,459.8,240.8,129.5,398.6,472.9,243.0,118.7,128.9,88.3,265.9,260.2,457.4,92.2,287.9,191.3,503.7,73.3,167.4,285.3,457.2,420.8,210.4,408.3,215.4,451.1,214.4,363.5,90.2,347.5,268.6,324.1,335.5,335.1,368.8,1907.5,394.7,82.1,221.8,0.0,337.9,329.8,411.2,95.3,369.2,275.3,252.3,58.8,200.0,425.1,459.9,371.2,382.8,276.8,307.7,401.6,324.3,305.5,360.2,335.2,312.7,249.6,353.5,311.6,344.3,86.6,423.6,79.6,384.1,5.4,297.6,320.4,295.2,19.7,436.5,267.7,243.3,468.9,263.8,216.5,285.4,522.9,84.1,407.6,405.2,224.8,243.9,115.6,326.3,299.6,73.5,202.4,433.3,352.0,210.3,395.6,338.3,342.1,174.8,233.2,70.2,122.4,366.7,260.0,320.0,277.4,251.4,287.6,146.4,321.1,260.3,259.5,318.6,113.3,257.4,10.0
IO,238.3,320.0,466.7,578.8,192.4,170.2,457.8,121.8,159.8,402.5,148.8,196.2,120.6,429.2,347.1,393.5,538.9,72.3,184.6,429.8,221.6,170.9,165.7,289.3,388.5,261.1,248.8,91.2,527.0,103.2,134.4,101.8,185.0,102.8,357.7,9.6,177.7,127.6,601.7,112.5,88.6,1826.5,660.8,387.3,513.3,337.5,0.0,614.4,73.2,311.3,208.2,209.0,138.0,329.4,242.4,600.7,182.9,33.2,197.4,82.6,85.1,109.7,236.5,82.9,175.9,257.0,138.4,522.6,99.8,114.6,574.7,267.8,85.6,275.9,213.7,315.2,75.0,593.4,568.2,357.3,98.5,123.3,508.7,152.6,536.8,135.6,88.4,195.9,240.3,69.6,182.1,490.2,162.8,331.6,234.8,102.6,249.9,235.9,114.2,162.1,476.2,180.8,114.1,97.7,261.7,152.2,288.9,198.1,63.1,554.5,123.0,193.1,561.6,90.6,484.0,99.8,194.0,163.7,147.8,438.9,61.9,347.6
IP,611.1,280.4,169.2,81.6,530.5,531.7,204.4,769.3,524.5,184.5,682.3,810.6,526.7,256.7,253.3,260.6,80.9,577.3,795.1,243.1,601.5,481.4,753.3,319.8,240.8,569.0,778.6,704.5,158.4,692.0,499.1,749.3,523.1,647.2,286.2,642.7,552.3,607.8,166.4,618.8,648.9,1932.1,98.5,266.8,144.7,346.9,633.1,0.0,665.2,289.9,652.9,614.7,536.0,354.0,492.6,720.3,736.1,664.2,666.5,560.5,591.4,685.3,543.3,589.2,643.9,604.0,596.4,103.9,637.2,595.3,58.3,424.5,733.1,374.8,667.8,311.5,581.3,110.9,65.5,326.6,732.0,551.4,102.5,752.6,122.0,518.8,569.1,831.8,367.8,702.8,688.9,119.5,527.5,265.7,584.3,583.3,356.8,486.1,714.2,635.7,156.1,687.6,622.0,625.8,480.7,516.9,365.4,406.1,650.4,89.3,603.7,504.6,91.8,571.3,190.9,604.8,555.5,490.6,602.3,266.4,541.1,336.3
JF,285.2,366.9,513.6,625.7,239.3,217.1,504.7,90.3,206.7,449.4,118.3,164.7,167.5,479.4,396.9,440.4,585.8,106.0,153.1,479.9,268.5,213.9,134.2,336.2,435.4,295.1,217.3,59.7,573.9,71.7,181.3,81.6,231.9,109.3,404.6,81.2,224.6,54.3,655.4,119.3,12.0,1873.4,707.7,434.2,560.2,368.3,89.3,661.3,0.0,358.2,176.7,255.9,184.9,352.4,289.3,37.6,143.9,57.7,165.9,129.5,156.6,78.2,283.4,128.5,144.4,301.4,65.1,569.5,26.5,141.1,621.6,314.7,54.1,322.8,182.2,363.4,112.8,640.3,615.1,388.1,67.0,170.2,555.6,121.1,583.7,182.5,135.3,185.9,287.2,38.1,150.6,537.1,209.8,378.5,281.7,149.5,296.8,282.8,85.5,168.6,523.1,155.9,40.8,104.2,308.6,199.1,335.8,245.0,69.6,605.9,133.5,240.0,563.7,137.5,534.1,125.2,240.9,210.6,150.2,485.8,108.8,378.4
JI,331.0,8.6,160.6,267.4,236.8,262.9,146.4,479.3,234.5,91.1,392.3,466.6,236.7,117.8,35.7,82.1,227.5,287.3,451.1,121.6,293.4,216.0,463.3,29.8,77.1,291.9,450.9,414.5,215.6,402.0,209.1,459.3,244.2,357.2,46.3,327.4,262.3,317.8,297.1,328.8,358.9,1901.2,349.4,75.9,201.9,127.3,317.8,303.0,375.2,0.0,362.9,301.7,246.0,111.0,202.6,405.0,453.6,342.6,376.5,270.5,301.4,395.3,306.5,299.2,353.9,347.2,306.4,211.2,347.2,305.3,263.3,138.8,443.1,131.8,377.8,96.8,291.3,282.0,256.8,107.0,442.0,261.4,197.3,462.6,225.4,228.3,279.1,516.6,77.8,387.5,398.9,178.8,237.5,20.2,327.5,293.3,66.8,196.1,424.2,345.7,164.8,389.3,332.0,335.8,221.9,226.9,122.4,116.1,360.4,207.1,313.7,299.5,205.4,281.3,175.8,314.8,286.7,256.4,312.3,127.5,251.1,116.7
JJ,282.1,363.8,510.5,622.6,236.2,214.0,501.6,174.5,203.6,446.3,97.3,103.6,164.4,476.3,393.8,437.3,582.7,102.9,88.1,476.8,265.4,210.8,150.3,333.1,432.3,292.0,164.8,118.3,570.8,105.8,178.2,174.4,228.8,210.3,401.5,131.8,221.5,85.2,652.3,40.7,129.9,1870.3,704.6,431.1,557.1,365.2,122.2,658.2,142.6,355.1,0.0,252.8,181.8,349.3,286.2,174.9,146.4,155.5,13.6,126.4,105.4,99.1,280.3,59.3,58.9,298.3,73.8,566.4,114.6,158.4,618.5,311.6,146.9,319.7,64.8,360.3,109.7,637.2,612.0,385.0,145.8,167.1,552.5,105.5,580.6,179.4,132.2,124.8,284.1,149.2,85.9,534.0,206.7,375.4,278.6,146.4,293.7,279.7,112.1,253.4,520.0,26.3,99.4,164.6,305.5,196.0,332.7,241.9,189.2,602.8,166.8,236.9,560.6,134.4,531.0,143.6,237.8,207.5,191.6,482.7,105.7,375.3
JK,82.7,313.4,460.1,572.2,134.1,39.2,451.2,391.0,68.8,395.9,304.0,363.1,148.4,425.9,343.4,386.9,532.3,165.6,378.6,426.4,12.6,88.4,416.9,282.7,381.9,303.7,368.9,326.2,520.4,313.7,111.3,382.3,141.5,268.9,351.1,239.1,277.3,229.5,548.0,240.5,274.2,1726.5,654.2,380.7,506.7,289.3,229.5,607.8,286.9,304.7,274.6,0.0,237.6,226.9,227.3,316.7,365.3,297.2,288.2,182.2,213.1,307.0,127.0,210.9,265.6,68.4,218.1,516.0,258.9,217.0,568.1,189.2,354.8,197.3,289.5,284.4,203.0,586.8,561.6,309.1,353.7,173.1,502.1,374.3,530.2,91.6,190.8,341.9,233.7,299.2,310.6,483.6,63.8,325.0,95.7,205.0,243.3,220.8,338.7,257.4,469.6,301.0,243.7,247.5,246.6,80.7,210.3,191.5,272.1,497.9,225.4,132.5,510.2,193.0,480.6,226.5,15.4,103.1,224.0,432.3,162.8,299.4
JQ,290.8,247.3,394.0,506.1,244.7,222.7,385.1,338.2,194.3,329.8,251.2,325.5,196.5,359.8,277.3,320.8,466.2,156.0,310.0,360.3,253.2,229.0,322.2,216.6,315.8,110.9,309.8,273.4,454.3,260.9,168.9,329.5,252.1,233.3,285.0,186.3,39.6,176.7,513.4,187.7,217.8,1861.0,588.1,314.6,440.6,248.7,176.7,541.1,234.1,238.6,221.8,261.5,0.0,210.3,104.3,263.9,312.5,210.0,235.4,92.4,160.3,254.2,314.4,158.1,212.8,307.0,165.3,449.9,206.1,181.4,536.0,172.6,302.0,180.7,236.7,243.8,150.2,520.7,495.5,268.5,300.9,115.1,436.0,321.5,464.1,188.1,155.2,346.7,167.6,246.4,257.8,417.5,197.4,258.9,287.3,169.4,177.2,97.8,285.9,276.4,403.5,248.2,190.9,194.7,123.6,186.7,193.7,142.0,219.3,463.3,189.8,245.6,444.1,157.4,412.6,173.7,246.5,216.2,214.6,366.2,153.2,258.8
