from_stop,AE,AL,AM,AQ,BA,BE,BH,BI,BM,BP,BS,CJ,CM,CV,DN,DP,DY,ED,EG,EJ,EY,FB,FF,FI,FV,GB,GE,GT,HP,IH,IJ,IV,JD,JG,KG,KK,KQ,LE,LG,LK,LW,LX,MM,MP,MS,NA,NS,NY,OP,OQ,PF,PX,QP,QQ,QT,QV,QY,RH,RL,RP,RT,SF,SI,TE,TP,TR,TU,UE,UO,UW,UZ,VF,VU,WG,WH,WJ,XF,XL,XR,YE,YK,YP,YR,YS,ZB,ZE,ZI,ZO,ZU,ZW,ZX
KQ,69.3,158.3,198.1,48.2,132.1,130.3,103.4,187.2,268.5,254.7,256.5,199.8,140.7,152.9,118.6,271.2,160.4,73.7,247.1,18.2,279.5,132.1,215.6,95.8,45.1,155.5,102.3,164.2,132.6,176.7,183.6,146.6,77.9,34.8,178.8,65.3,0.0,114.8,235.6,81.6,24.8,168.5,113.8,163.3,261.1,125.9,1947.6,59.0,62.3,215.0,298.0,86.5,76.9,166.9,130.5,264.4,93.6,96.5,95.3,147.4,173.6,193.7,82.1,142.1,184.9,231.0,138.4,263.5,138.0,90.2,65.3,155.5,92.9,241.0,206.5,169.3,242.9,217.8,12.1,165.1,58.8,72.0,125.7,229.2,154.2,93.4,128.1,226.0,106.1,158.7,238.5
LE,152.8,187.3,242.7,77.2,121.4,159.3,92.0,216.2,313.1,285.6,301.1,282.3,185.3,226.1,151.6,315.8,218.6,118.3,291.7,101.7,310.4,140.5,252.2,168.8,128.6,200.1,131.3,107.4,215.1,81.1,228.2,76.9,55.7,81.4,223.4,94.3,107.5,0.0,280.2,153.6,130.0,92.3,83.2,245.8,305.7,78.9,1882.8,83.9,145.8,297.5,342.6,170.0,105.9,211.5,34.9,174.3,51.2,141.1,19.4,136.7,202.6,238.3,117.3,208.7,229.5,272.6,220.9,294.4,50.3,79.5,114.2,117.1,99.6,285.6,289.0,227.0,287.5,262.4,121.7,247.6,62.3,49.1,87.7,273.8,58.6,40.8,117.4,305.6,162.6,203.3,267.5
LG,281.8,193.7,153.4,224.4,367.3,201.0,204.8,154.1,127.5,82.2,115.5,183.8,108.8,211.4,161.1,35.5,218.9,172.2,11.5,266.3,57.4,386.3,115.6,314.6,293.2,93.0,203.9,400.8,226.1,303.2,120.4,281.9,295.5,262.9,70.8,204.8,254.1,291.1,0.0,325.4,279.0,296.4,211.6,210.3,55.8,366.1,2145.5,340.2,310.4,186.0,101.4,323.1,194.8,127.2,283.3,378.4,339.7,152.1,271.6,382.6,217.6,116.4,246.1,229.0,145.6,108.0,248.6,73.4,341.5,371.4,311.3,408.3,194.3,75.0,177.3,279.5,66.3,17.7,266.3,188.3,228.7,241.9,228.8,84.0,254.7,310.8,356.2,175.1,360.3,119.0,100.3
LK,95.9,189.8,198.3,128.9,131.7,195.2,181.7,217.0,267.6,255.3,275.1,201.7,217.8,136.3,187.5,295.9,128.8,150.8,324.2,74.2,280.1,149.7,221.9,79.0,31.1,232.6,142.7,194.7,159.2,204.5,260.7,146.2,128.5,93.9,255.9,144.0,85.6,134.8,312.7,0.0,60.7,168.1,172.9,163.0,318.7,143.5,1965.2,55.5,19.3,209.3,249.9,87.5,154.0,236.6,159.0,250.1,93.2,173.6,154.3,147.0,234.4,237.4,139.1,179.0,223.9,281.5,165.0,264.1,137.6,80.0,29.7,173.1,170.0,284.7,208.4,137.2,320.0,294.9,71.4,159.4,135.9,151.2,184.8,272.9,175.8,144.0,113.4,220.3,127.6,235.8,237.2
LW,94.2,183.2,214.3,76.7,107.2,155.2,128.3,212.1,283.6,271.3,281.4,217.7,165.6,152.3,143.5,302.2,144.8,98.6,272.0,43.1,296.1,107.2,237.9,95.0,75.3,180.4,127.2,161.8,157.5,180.0,208.5,121.7,102.8,59.7,203.7,90.2,24.8,110.3,260.5,79.8,0.0,143.6,138.7,179.0,286.0,101.0,1922.7,31.0,87.2,225.3,265.9,103.5,101.8,191.8,134.5,239.5,68.7,121.4,120.2,122.5,198.5,218.6,113.2,177.3,209.8,255.9,163.3,280.1,113.1,55.5,40.4,130.6,117.8,265.9,224.4,153.2,267.8,242.7,10.6,175.4,83.7,99.0,150.6,254.1,151.3,118.3,88.9,236.3,85.1,183.6,253.2
LX,199.7,226.6,244.7,166.9,127.4,198.6,94.0,255.5,315.1,301.3,303.1,297.5,187.3,232.1,165.2,323.9,224.6,120.3,293.7,148.6,326.1,164.5,290.0,174.8,180.8,202.1,208.0,132.4,259.0,95.2,230.2,12.0,93.8,128.3,225.4,180.4,154.4,87.5,282.2,159.6,136.0,0.0,85.2,258.8,307.7,144.2,1849.0,94.9,178.9,305.1,344.6,183.3,192.0,213.5,42.2,81.9,57.2,143.1,107.0,142.7,241.9,240.3,203.4,261.9,231.5,277.6,268.8,310.1,74.3,95.7,120.2,141.1,101.6,287.6,304.2,233.0,289.5,264.4,146.7,255.2,149.9,134.6,70.7,275.8,41.6,78.9,109.1,316.1,182.9,205.3,305.3
MM,153.6,137.6,159.4,78.0,176.0,109.6,5.0,166.5,226.1,212.3,214.1,244.5,98.3,215.4,76.2,228.8,226.6,35.0,204.7,102.5,237.1,226.2,193.4,180.1,129.4,113.1,122.7,187.8,170.0,91.5,141.2,69.9,83.8,99.1,136.4,96.7,90.3,80.3,193.2,165.9,115.2,84.7,0.0,233.5,218.7,192.8,1933.8,149.4,146.6,228.7,259.3,170.8,103.0,128.2,71.6,166.7,128.0,54.1,60.8,191.3,152.9,155.0,108.2,162.7,142.5,192.3,192.5,224.8,130.7,134.1,159.4,197.5,12.6,198.6,238.0,227.1,200.5,175.4,102.5,192.3,64.9,78.1,17.1,186.8,42.8,99.1,172.0,236.8,204.1,116.3,216.3
MP,134.5,86.0,80.8,168.9,229.7,114.0,226.3,99.5,135.6,129.2,149.0,38.6,153.4,49.7,139.4,175.9,57.2,193.7,207.5,143.4,154.0,247.7,96.8,131.0,160.9,140.4,103.9,292.7,55.4,306.5,168.5,243.9,206.2,163.1,163.7,149.3,172.3,232.8,219.0,141.8,158.7,266.1,242.1,0.0,201.2,202.1,2023.8,156.6,161.1,77.3,130.1,139.5,139.3,119.1,256.3,340.6,191.2,173.6,223.6,245.0,130.6,119.9,157.7,64.9,106.4,164.0,81.2,138.0,219.1,187.8,127.7,271.1,215.8,167.2,45.3,112.1,219.4,202.7,169.4,41.9,184.3,197.5,250.3,155.4,273.8,221.5,192.2,88.3,221.7,124.8,111.1
MS,281.4,178.9,118.9,265.2,380.5,186.2,231.0,139.3,112.1,98.3,100.1,186.4,143.9,178.6,211.6,76.0,186.1,198.4,64.3,290.3,91.8,398.5,118.2,281.8,313.1,133.0,248.7,430.6,202.3,329.4,84.3,307.8,321.7,310.0,107.3,249.6,280.3,347.0,73.0,292.6,309.5,322.6,243.0,207.0,0.0,364.0,2185.7,304.3,311.9,174.9,135.8,290.3,239.6,111.7,309.5,404.6,342.0,178.3,327.5,395.8,202.8,69.8,297.1,214.2,99.0,61.4,228.1,107.1,381.0,328.8,278.5,421.9,220.5,28.4,179.9,259.0,18.1,55.2,320.2,155.5,284.6,299.9,255.0,37.4,280.9,337.2,354.1,159.7,376.4,117.4,102.9
NA,188.6,248.2,281.4,138.1,34.5,220.2,152.9,277.1,350.7,338.4,358.2,284.8,246.2,219.4,212.5,376.7,211.9,179.2,352.6,139.9,363.2,77.2,297.4,162.1,166.8,261.0,192.2,64.2,254.3,130.5,289.1,89.9,85.1,119.6,284.3,155.2,145.7,60.8,341.1,146.9,123.3,92.0,144.1,246.1,366.6,0.0,1821.6,77.2,166.2,292.4,281.6,170.6,166.8,272.4,84.3,138.4,44.5,202.0,80.3,49.8,263.5,299.2,172.0,263.8,290.4,333.5,256.4,347.2,16.9,72.8,107.5,79.1,160.5,346.5,291.5,220.3,348.4,323.3,134.0,242.5,123.2,107.9,137.1,334.7,108.0,70.4,43.4,300.5,78.7,264.2,320.3
NS,1732.7,1807.4,1820.8,1710.2,1600.8,1779.4,1674.8,1836.3,1890.1,1877.8,1883.9,1834.6,1768.1,1758.8,1746.0,1904.7,1751.3,1701.1,1874.5,1703.7,1902.6,1643.5,1844.4,1706.2,1733.3,1782.9,1760.7,1613.7,1813.4,1645.9,1811.0,1592.8,1653.6,1688.1,1806.2,1723.7,1685.4,1629.3,1863.0,1702.1,1660.5,1580.7,1666.0,1798.1,1888.5,1566.2,0.0,1650.7,1721.4,1831.8,1847.9,1714.7,1735.3,1794.3,1623.0,1632.6,1613.0,1723.9,1648.8,1616.1,1822.7,1821.1,1746.7,1833.2,1812.3,1858.4,1811.6,1886.6,1585.4,1637.1,1662.7,1622.4,1682.4,1868.4,1841.1,1775.5,1870.3,1845.2,1671.2,1781.9,1691.7,1676.4,1651.5,1856.6,1622.4,1638.7,1609.7,1842.8,1648.9,1786.1,1859.7
NY,109.4,224.4,202.2,117.3,71.1,201.3,147.2,220.9,271.5,259.2,280.9,205.6,209.8,140.2,187.7,305.9,132.7,142.8,316.2,89.2,284.0,110.0,225.8,82.9,98.9,224.6,171.4,134.1,193.8,143.9,252.7,85.6,67.9,86.2,249.8,134.4,69.0,74.2,304.7,67.7,44.1,107.5,138.4,168.8,322.6,87.9,1909.5,0.0,88.9,213.2,253.8,91.4,146.0,236.0,97.7,189.5,32.6,165.6,93.7,88.3,242.7,241.3,151.2,203.3,227.8,289.1,177.2,268.0,77.0,29.2,28.3,115.7,156.7,288.6,212.3,141.1,312.0,288.8,58.7,163.3,129.8,122.3,144.3,276.8,115.2,83.4,67.1,224.2,92.3,227.8,241.1
OP,76.6,170.5,211.3,106.0,151.0,175.9,162.4,200.1,280.6,268.3,288.1,207.1,198.5,155.6,168.2,315.0,148.1,131.5,304.9,54.9,293.1,169.0,234.9,98.3,17.2,213.3,123.4,201.1,139.9,216.5,241.4,165.5,117.7,74.6,236.6,123.1,83.8,154.1,293.4,19.3,80.0,187.4,153.6,170.6,318.9,162.8,1984.5,77.9,0.0,222.3,269.2,93.8,134.7,224.7,170.3,269.4,112.5,154.3,135.1,166.3,215.1,250.4,127.2,149.4,236.9,288.8,145.7,277.1,156.9,109.1,49.0,192.4,150.7,297.7,213.8,156.5,300.7,275.6,90.7,172.4,116.6,129.8,165.5,285.9,194.0,133.2,147.0,233.3,143.0,216.5,250.2
OQ,192.5,126.9,72.0,213.2,291.6,134.2,240.6,87.3,58.2,85.7,92.7,51.6,144.6,89.7,159.6,126.3,97.2,208.0,164.0,201.4,110.5,309.6,52.3,192.9,224.2,131.6,161.9,354.6,113.4,339.0,159.7,306.1,264.2,221.1,154.9,197.6,230.3,294.7,175.5,203.7,220.6,328.0,252.6,99.9,182.0,275.1,2096.8,215.4,223.0,0.0,134.2,201.4,187.6,110.3,317.5,413.6,253.1,187.9,275.5,306.9,150.8,111.1,215.7,133.2,97.6,126.8,139.2,94.5,292.1,239.9,189.6,333.0,230.1,148.0,45.1,170.1,200.2,193.3,231.3,66.6,232.6,247.9,264.6,136.2,290.5,279.7,265.2,11.0,287.5,116.0,67.6
PF,243.1,194.9,162.9,277.8,265.8,210.5,295.9,163.6,38.9,85.2,73.4,147.5,208.8,158.6,235.9,131.9,166.1,263.3,98.2,252.3,110.0,321.0,132.8,216.6,258.6,197.9,212.8,353.1,164.3,392.1,169.6,329.5,312.1,272.0,192.6,258.2,269.2,318.4,109.7,227.4,244.3,356.7,302.7,108.8,163.5,264.6,2086.3,242.2,246.7,99.4,0.0,225.1,248.2,176.6,341.9,403.1,276.8,243.2,332.5,281.1,227.1,134.7,266.6,184.1,163.9,112.0,190.1,94.0,281.6,273.4,213.3,344.4,285.4,129.5,144.6,213.2,181.7,127.5,257.0,150.8,293.2,306.4,319.9,117.7,359.4,327.4,261.8,88.2,295.0,182.3,109.8
PX,17.1,132.9,173.7,128.2,155.2,138.3,184.6,162.5,242.2,230.7,249.7,169.5,175.9,122.6,130.6,276.6,125.5,153.7,282.3,77.1,255.5,171.1,189.7,8.4,95.4,190.7,85.0,204.0,102.3,231.2,218.8,168.9,140.7,96.8,213.2,132.0,106.8,157.5,270.8,66.5,83.4,190.8,175.8,132.2,294.1,136.3,1958.0,81.3,85.8,184.7,291.2,0.0,121.2,202.1,181.0,274.8,115.9,176.5,158.1,169.7,176.7,212.8,99.6,111.8,199.3,260.6,108.1,238.7,153.3,112.5,52.4,194.5,172.9,260.1,176.2,133.9,277.3,253.0,96.1,134.8,138.8,152.8,188.5,248.3,198.5,156.0,150.4,192.8,145.1,193.9,211.8
QP,103.2,81.3,140.6,25.5,220.5,53.3,107.5,110.2,211.4,179.6,199.4,176.3,90.9,129.4,45.6,220.2,136.9,77.8,197.3,100.5,204.4,220.5,146.2,129.7,132.7,105.7,25.3,214.8,109.1,188.5,133.8,184.3,128.8,97.1,129.0,9.9,88.3,107.3,185.8,163.9,113.2,199.1,124.3,139.8,211.3,214.3,1990.2,144.3,144.6,191.5,240.9,121.2,0.0,117.1,143.0,281.1,158.6,79.8,87.8,235.8,96.6,143.9,57.4,116.6,135.1,181.2,114.9,188.4,157.7,168.8,153.7,224.5,97.0,191.2,183.0,145.8,193.1,168.0,102.5,141.6,44.9,60.2,131.5,179.4,166.0,144.3,202.2,202.5,198.4,108.9,161.5
QQ,209.1,106.6,46.6,145.8,308.2,113.9,130.2,67.0,135.0,121.2,123.0,135.4,34.2,106.3,86.5,143.0,113.8,97.6,112.8,218.0,146.0,326.2,91.9,209.5,240.8,21.2,129.3,325.0,130.0,228.6,49.3,207.0,220.9,188.3,44.5,130.2,179.5,216.5,101.3,220.3,204.4,221.8,142.2,134.7,126.8,291.7,2070.9,232.0,239.6,119.6,164.5,218.0,120.2,0.0,208.7,303.8,269.7,77.5,197.0,323.5,130.5,60.2,177.7,141.9,17.9,96.7,155.8,130.0,266.9,256.5,206.2,349.6,119.7,107.5,128.9,186.7,108.6,83.5,193.7,83.2,154.1,169.4,154.2,95.7,180.1,236.4,281.8,130.6,304.1,5.7,107.2
QT,157.0,207.9,226.0,122.5,134.8,179.9,75.3,236.8,296.4,282.6,284.4,287.9,168.6,239.9,146.5,299.1,232.4,101.6,275.0,105.9,307.4,153.9,263.7,182.2,133.2,183.4,176.6,121.2,220.7,49.4,211.5,41.8,51.5,85.6,206.7,139.2,111.7,44.8,263.5,167.4,137.0,56.6,66.5,251.4,289.0,92.3,1896.6,97.7,150.0,299.0,325.9,174.6,151.2,194.8,0.0,138.6,65.0,124.4,64.7,150.1,223.9,221.6,156.4,229.3,212.8,255.9,226.5,291.4,64.1,92.9,128.0,130.9,82.9,268.9,294.6,240.8,270.8,245.7,124.3,253.2,107.2,94.4,52.0,257.1,23.6,36.8,131.2,307.1,180.3,186.6,286.6
QV,207.5,246.3,264.4,172.6,185.3,218.3,113.7,275.2,334.8,321.0,322.8,338.0,207.0,290.0,184.9,337.5,282.5,140.0,313.4,156.4,345.8,204.4,302.1,232.7,183.3,221.8,226.7,172.3,270.8,13.2,249.9,66.3,101.6,136.1,245.1,189.7,162.2,95.3,301.9,217.5,187.1,81.1,104.9,301.5,327.4,142.8,1930.2,147.8,200.5,337.4,364.3,225.5,201.3,233.2,50.0,0.0,115.1,162.8,114.8,200.6,261.6,260.0,206.5,290.6,251.2,294.3,276.6,329.8,114.2,143.4,178.1,181.0,121.3,307.3,344.7,290.9,309.2,284.1,174.4,303.3,157.7,142.4,96.8,295.5,67.4,86.7,167.0,345.5,226.5,225.0,325.0
QY,144.0,228.9,236.8,122.4,70.1,200.9,133.6,255.5,306.1,293.8,313.6,240.2,226.9,174.8,193.2,334.4,167.3,159.9,333.3,120.6,318.6,112.8,260.4,117.5,133.5,241.7,172.9,101.4,228.4,111.2,269.8,52.9,65.8,100.3,265.0,137.5,103.6,41.5,321.8,102.3,78.7,74.8,124.8,201.5,347.3,86.9,1876.8,37.6,121.6,247.8,288.4,126.0,147.5,253.1,65.7,156.8,0.0,182.7,61.0,85.4,244.2,275.9,158.9,248.2,262.4,317.2,211.8,302.6,44.3,38.4,62.9,111.1,141.2,323.2,246.9,175.7,329.1,304.0,89.4,197.9,103.9,88.6,111.6,311.4,82.5,50.9,51.8,258.8,125.6,244.9,275.7
RH,142.7,83.4,101.5,85.3,234.1,55.4,52.6,112.3,171.9,158.1,159.9,190.3,44.1,161.2,22.0,174.6,168.7,20.0,150.5,114.1,182.9,234.1,146.8,169.2,146.3,58.9,64.8,246.4,115.8,155.0,87.0,129.4,143.3,110.7,82.2,65.7,101.9,138.9,139.0,177.5,126.8,144.2,59.4,179.3,164.5,227.9,1993.3,161.0,158.2,174.5,201.4,160.7,55.7,70.3,131.1,226.2,187.5,0.0,119.4,249.4,98.7,97.1,113.2,104.8,88.3,131.4,138.3,166.9,189.3,192.2,167.3,256.1,42.1,144.4,183.8,169.2,146.3,121.2,114.1,138.1,76.5,89.7,76.6,132.6,102.5,158.6,230.1,185.5,208.1,62.1,162.1
RL,133.3,167.8,223.2,61.3,140.4,139.8,72.5,196.7,293.6,266.1,281.6,262.8,165.8,215.9,132.1,302.4,223.4,98.8,272.2,82.2,290.9,160.0,232.7,159.8,114.4,180.6,111.8,129.1,195.6,100.6,208.7,96.4,48.2,61.9,203.9,74.8,88.0,19.4,260.7,145.6,112.9,111.8,63.7,226.3,286.2,98.4,1902.3,108.4,126.3,278.0,323.1,151.3,86.4,192.0,55.1,193.8,70.7,121.6,0.0,155.7,183.1,218.8,97.8,203.1,210.0,256.1,201.4,274.9,69.8,91.2,133.7,136.6,80.1,266.1,269.5,232.3,268.0,242.9,102.2,228.1,42.8,27.5,75.6,254.3,78.1,60.3,122.1,289.0,182.1,183.8,248.0
RP,180.0,288.5,272.8,187.4,15.2,269.5,184.2,291.5,342.1,329.8,349.6,276.2,277.5,210.8,255.4,376.5,203.3,210.5,383.9,143.5,354.6,27.3,296.4,153.5,169.5,292.3,241.4,37.9,257.9,202.9,320.4,140.3,104.9,123.2,315.6,204.5,139.6,129.2,372.4,138.3,114.7,162.5,175.4,237.5,393.2,90.9,1908.0,68.6,157.6,283.8,285.2,162.8,216.1,303.7,152.7,195.4,87.6,233.3,148.7,0.0,312.8,311.9,227.5,267.4,298.4,356.0,247.8,338.6,92.1,48.2,98.9,29.2,191.8,359.2,282.9,211.7,379.7,354.6,125.4,233.9,172.5,157.2,199.3,347.4,170.2,120.4,19.2,291.9,49.4,295.5,311.7
RT,178.7,59.6,118.9,121.3,312.3,38.3,150.6,88.5,189.7,157.9,177.7,169.2,109.0,147.0,63.7,204.6,154.5,118.0,215.4,187.6,182.7,312.3,116.9,205.2,210.4,123.8,100.8,307.6,92.0,249.0,151.9,227.4,220.6,188.9,147.1,101.7,180.1,199.1,203.9,241.6,205.0,242.2,157.4,157.4,229.4,306.1,2082.0,241.1,222.3,170.2,219.2,195.9,91.7,135.2,234.8,324.2,250.4,97.9,179.6,327.6,0.0,158.0,149.2,81.0,144.5,196.3,114.5,166.7,249.5,270.4,241.0,316.3,140.1,205.3,162.7,145.4,211.2,186.1,192.3,133.8,136.7,152.0,174.6,193.5,200.5,235.9,308.3,178.3,289.6,127.0,139.8
SF,211.5,109.0,49.0,199.3,310.6,116.3,161.1,69.4,74.7,60.9,62.7,137.8,74.0,108.7,141.7,107.6,116.2,128.5,116.3,220.4,85.7,328.6,80.8,211.9,237.9,63.1,178.8,375.8,132.4,259.5,91.2,237.9,251.8,240.1,86.4,179.7,210.4,277.1,127.8,222.7,239.6,252.7,167.9,137.1,81.2,294.1,2115.8,237.5,242.0,122.0,104.2,220.4,169.7,41.8,239.6,334.7,272.1,108.4,257.6,325.9,132.9,0.0,227.2,130.4,29.1,44.0,158.2,69.7,311.1,268.7,208.6,352.0,150.6,47.2,131.3,189.1,99.4,125.4,250.3,85.6,214.7,227.9,185.1,35.4,211.0,267.3,306.6,122.3,302.6,47.5,65.5
SI,56.9,133.5,191.6,48.2,229.4,105.5,133.6,162.4,256.2,231.8,251.6,187.4,143.1,140.5,97.8,273.6,148.0,96.5,249.5,82.0,256.6,236.9,190.8,89.6,93.3,157.9,77.5,234.5,120.2,218.6,186.0,202.7,138.6,101.7,181.2,40.5,104.7,133.4,230.6,129.8,129.6,225.2,143.0,157.1,263.5,211.3,2016.3,162.5,116.7,202.6,285.7,74.1,52.1,169.3,168.4,299.8,184.7,126.7,113.9,250.9,148.8,196.1,0.0,129.7,187.3,230.4,126.0,240.6,176.4,187.5,133.6,250.6,123.1,243.4,194.1,163.1,237.9,220.2,116.9,152.7,63.6,84.2,157.6,231.6,184.7,153.9,225.4,210.7,210.9,161.1,213.7
TE,104.7,25.2,85.2,136.2,261.9,53.2,161.3,54.8,151.8,124.2,144.0,133.4,123.9,86.5,78.6,170.9,94.0,128.7,202.5,113.6,149.0,274.7,83.2,131.2,151.7,138.7,74.1,322.5,31.5,267.9,166.8,238.4,197.0,153.9,162.0,112.4,163.1,209.8,209.8,188.2,188.0,257.1,168.1,96.9,205.6,251.3,2093.6,209.4,168.9,136.5,185.5,142.5,106.6,123.5,249.0,334.9,244.0,112.8,194.5,297.8,65.6,120.1,155.9,0.0,110.8,169.0,54.0,128.8,260.2,240.6,180.5,318.7,155.0,171.6,129.0,64.3,219.6,201.0,175.3,98.7,147.4,164.8,189.5,159.8,211.2,212.3,278.5,144.6,269.3,129.2,106.1
TP,191.1,88.6,28.6,174.9,290.2,95.9,142.9,49.0,117.0,103.2,105.0,117.4,46.9,88.3,121.3,143.8,95.8,110.3,125.5,200.0,128.0,308.2,73.9,191.5,222.8,33.9,158.4,353.2,112.0,241.3,62.0,219.7,262.8,219.7,57.2,160.9,192.2,256.7,114.0,202.3,219.2,234.5,154.9,116.7,123.5,273.7,2095.4,214.0,221.6,101.6,146.5,200.0,149.3,12.6,221.4,316.5,251.7,90.2,237.2,305.5,112.5,42.2,206.8,123.9,0.0,86.3,137.8,112.0,290.7,238.5,188.2,331.6,132.4,89.5,110.9,168.7,121.3,96.2,229.9,65.2,194.3,209.6,166.9,77.7,192.8,278.3,263.8,112.6,286.1,18.4,89.2
TR,243.9,140.8,81.4,234.1,343.0,148.1,193.5,101.2,56.6,42.8,44.6,130.9,106.4,141.1,173.5,89.5,148.6,160.9,116.2,252.8,67.6,361.0,70.4,244.3,270.3,95.5,210.6,393.1,164.8,295.9,61.2,270.3,284.2,272.5,80.5,216.1,245.8,308.9,130.7,255.1,272.0,285.1,200.3,169.5,81.1,326.2,2147.9,269.9,274.4,119.4,89.1,253.6,201.5,74.2,272.4,367.1,304.5,140.8,289.4,361.3,164.7,32.3,252.8,162.2,61.5,0.0,190.6,51.6,343.2,304.1,241.0,384.4,186.0,47.1,124.4,224.5,81.6,123.2,284.7,118.0,249.5,259.7,217.5,35.3,243.4,299.5,339.0,108.2,335.0,82.9,50.4
TU,122.2,55.7,114.5,152.6,228.4,83.7,196.0,85.3,183.8,154.7,174.5,110.3,154.4,63.4,109.1,195.3,70.9,163.4,233.0,131.1,179.5,246.4,121.3,129.7,153.9,169.2,91.6,291.4,25.1,292.7,197.3,242.9,193.9,150.8,192.5,137.0,160.0,230.8,244.5,140.5,157.4,264.8,208.0,73.8,234.9,228.3,2050.0,152.2,159.8,125.5,216.0,138.2,127.0,152.8,247.2,346.8,189.9,143.3,211.3,243.7,100.3,153.6,145.4,44.9,140.1,195.8,0.0,163.5,234.3,176.7,126.4,269.8,185.5,200.9,117.0,30.8,253.1,231.5,168.1,75.6,172.0,187.3,220.0,189.1,245.9,209.4,210.1,136.5,224.3,158.5,136.6
UE,240.7,120.2,79.9,210.5,339.8,127.5,230.9,80.6,54.0,8.8,42.0,110.3,143.8,137.9,152.9,37.9,145.4,198.3,69.4,249.6,15.9,357.8,49.8,241.1,272.4,132.9,190.0,389.9,152.6,329.3,104.6,307.7,309.8,269.3,127.6,192.5,269.3,288.3,80.9,251.9,268.8,322.5,237.7,158.6,98.5,323.3,2145.0,266.7,271.2,112.5,83.5,249.6,180.9,111.6,323.3,404.5,301.3,178.2,268.8,355.1,144.1,69.7,232.2,155.5,98.9,43.3,175.1,0.0,338.7,297.9,237.8,381.2,220.4,64.5,103.8,206.0,116.7,98.7,281.5,114.8,225.9,241.2,254.9,52.7,280.8,325.1,313.4,105.6,331.8,117.3,26.8
UO,171.6,231.2,264.4,121.1,97.7,203.2,135.9,260.1,333.7,321.4,341.2,267.8,229.2,202.4,195.5,359.7,194.9,162.2,335.6,122.9,346.2,90.1,288.0,145.1,149.8,244.0,175.2,58.0,237.3,113.5,272.1,72.9,68.1,102.6,267.3,138.2,128.7,43.8,324.1,129.9,106.3,102.8,127.1,229.1,349.6,28.5,1832.4,62.1,149.2,275.4,316.0,153.6,149.8,255.4,67.3,149.2,27.5,185.0,63.3,106.0,246.5,282.2,161.2,257.1,273.4,316.5,239.4,330.2,0.0,55.8,90.5,66.7,143.5,329.5,274.5,203.3,331.4,306.3,117.0,225.5,106.2,93.0,120.1,317.7,91.0,53.4,79.4,283.5,112.2,247.2,303.3
UW,131.7,240.2,224.5,139.1,41.8,221.2,135.9,243.2,293.8,281.5,301.3,227.9,229.2,162.5,207.1,328.2,155.0,162.2,335.6,95.2,306.3,84.5,248.1,105.2,122.1,244.0,193.1,117.6,209.6,154.6,272.1,92.0,56.6,74.9,267.3,156.2,91.3,80.9,324.1,90.0,66.4,114.2,130.8,189.2,344.9,58.6,1880.3,20.3,109.3,235.5,276.1,113.7,167.8,255.4,104.4,197.1,39.3,185.0,100.4,57.1,264.5,263.6,179.2,229.4,250.1,307.7,199.5,290.3,75.6,0.0,50.6,86.4,143.5,310.9,234.6,163.4,331.4,306.3,77.1,185.6,124.2,108.9,151.0,299.1,121.9,72.1,37.8,243.6,106.6,247.2,263.4
UZ,81.0,196.0,173.8,104.1,101.9,186.2,159.3,192.5,243.1,230.8,250.6,177.2,196.6,111.8,174.5,277.5,104.3,129.6,303.0,74.1,255.6,119.9,197.4,54.5,75.8,211.4,148.9,164.9,165.4,178.7,239.5,116.1,98.7,90.7,234.7,121.2,55.8,105.0,291.5,39.3,30.9,138.3,169.2,138.5,294.2,113.7,1935.4,28.8,58.6,184.8,225.4,63.8,132.8,212.1,128.5,220.3,63.4,152.4,124.5,117.2,229.5,212.9,144.2,185.2,199.4,257.0,148.8,239.6,107.8,60.0,0.0,143.3,148.8,260.2,183.9,112.7,298.8,273.7,41.6,134.9,114.7,130.0,175.1,248.4,146.0,114.2,97.9,192.9,97.8,214.6,212.7
VF,219.3,294.1,312.1,187.6,54.5,266.1,198.8,323.0,381.4,369.1,388.9,315.5,292.1,250.1,258.4,409.7,242.6,225.1,398.5,182.8,393.9,23.3,335.7,192.8,208.8,306.9,238.1,33.3,297.2,176.4,335.0,136.1,131.0,162.5,330.2,201.1,167.1,106.7,387.0,177.6,142.2,158.0,190.0,276.8,412.5,61.6,1910.3,112.9,196.9,323.1,324.5,201.3,212.7,318.3,130.9,244.4,90.4,247.9,126.2,39.2,309.4,345.1,224.1,317.0,336.3,382.4,287.1,377.9,62.8,95.7,138.2,0.0,206.4,392.4,322.2,251.0,394.3,369.2,152.9,273.2,169.1,153.8,183.0,380.6,153.9,116.1,68.3,334.1,45.4,310.1,351.0
