from_stop,AA,AE,AK,AL,AN,AU,BB,BJ,BU,CU,DN,DX,EB,ER,EY,FA,FL,FM,FS,FV,GA,GK,GL,GM,GZ,HE,HO,IB,IF,II,IJ,IS,IW,IY,JT,KF,KJ,KY,LD,LP,MH,NA,NF,NH,NL,NQ,NR,OL,OQ,OS,OV,OZ,PJ,PM,PO,PZ,QC,QM,QN,QZ,RD,RG,RH,RJ,RS,RU,SE,SQ,SS,ST,SW,SX,SY,SZ,TG,TH,TY,UC,UD,UI,UP,UR,VA,VC,VJ,VL,VO,VR,VY,WA,WB,WH,WK,XA,XE,XF,XJ,XR,XS,XW,XX,XY,YE,YP,ZP,ZU
IJ,108.7,287.9,299.4,254.5,228.5,62.1,111.0,2128.7,328.4,363.0,344.9,321.5,384.7,121.0,145.6,169.4,171.1,159.0,403.3,255.2,123.7,360.1,366.3,291.1,161.0,385.0,413.1,387.3,321.0,131.4,0.0,106.2,272.5,343.4,227.5,395.0,391.0,379.3,126.4,73.2,170.3,283.2,181.3,107.6,198.0,294.6,309.8,88.8,94.4,128.4,282.5,373.3,295.8,145.1,275.0,452.2,242.2,108.2,76.7,393.9,268.4,249.2,152.9,256.5,150.8,382.2,265.5,114.2,75.7,104.8,140.7,206.9,237.0,219.2,314.2,258.3,444.7,189.5,135.7,143.8,241.5,243.4,463.2,96.1,391.9,62.3,294.2,264.2,343.7,198.9,178.2,156.4,280.9,331.8,303.2,369.8,88.5,294.8,134.4,139.5,159.5,262.0,404.0,152.2,391.9,243.5
IS,68.0,242.7,230.9,213.6,187.8,123.5,189.0,2219.7,280.5,322.5,294.0,268.9,339.7,136.1,57.4,99.0,82.7,70.6,362.6,208.6,140.6,319.4,315.6,244.7,67.4,360.7,365.2,346.6,260.0,37.8,116.0,0.0,227.5,292.5,162.1,354.5,366.7,338.4,82.7,132.7,221.7,241.3,92.9,59.4,118.0,242.0,258.9,140.4,80.7,185.9,235.9,329.6,250.6,74.7,237.6,411.5,197.2,110.6,148.9,348.9,245.8,208.7,204.3,211.5,185.8,341.5,219.0,73.5,113.1,50.9,155.8,126.7,192.0,178.7,263.5,213.3,396.6,101.1,65.3,127.1,196.5,167.8,422.5,133.5,349.5,133.4,241.8,222.3,291.1,128.3,84.8,86.2,258.3,279.2,252.3,329.1,108.2,254.1,182.5,194.1,105.2,217.0,359.0,111.5,330.4,178.3
IW,204.7,66.5,28.9,240.9,241.2,270.5,309.8,2049.5,76.0,106.7,90.5,48.9,134.6,240.4,211.9,176.3,180.5,199.6,164.8,216.7,244.9,157.2,112.1,236.6,189.7,201.9,145.2,148.8,91.5,196.2,269.7,241.3,0.0,89.0,164.1,156.1,207.9,176.2,187.0,260.3,326.0,215.8,171.1,245.4,160.1,22.0,56.9,244.7,266.7,290.2,243.9,124.5,89.9,174.1,104.5,213.7,67.3,218.1,289.4,143.8,219.1,186.2,308.6,51.3,290.1,143.1,82.8,199.2,246.6,236.9,260.1,168.8,73.2,217.9,61.5,15.7,176.6,163.4,183.5,231.4,34.4,204.3,224.7,237.8,153.6,294.4,21.4,196.8,71.1,205.6,207.1,162.6,206.6,59.2,50.3,208.0,275.7,143.3,286.7,298.4,159.0,11.6,153.9,218.9,135.6,186.4
IY,270.0,54.3,71.5,207.0,218.9,335.8,377.9,1989.3,69.0,90.8,1.5,64.1,74.4,289.0,276.5,214.0,245.8,264.9,77.7,183.6,310.2,123.3,23.0,207.4,255.0,155.1,85.0,79.7,82.2,261.5,327.9,306.6,89.8,0.0,161.3,87.6,161.1,137.1,252.3,325.6,391.3,184.4,236.4,310.7,207.6,66.9,33.5,310.0,332.0,359.8,214.7,48.3,99.1,238.8,116.8,144.6,125.0,283.4,354.7,83.6,216.5,152.3,373.9,116.6,355.4,74.6,73.5,264.5,311.9,302.2,269.3,198.9,138.5,184.0,28.9,105.6,116.4,228.7,248.1,259.7,124.3,193.3,155.6,303.1,66.5,359.7,74.0,165.2,69.9,208.2,272.4,227.1,204.0,74.4,40.1,170.3,341.0,185.9,351.3,363.7,224.3,101.5,93.7,239.5,98.7,183.4
JT,133.3,184.8,150.4,98.5,88.1,199.1,238.4,2114.4,197.5,172.4,161.1,137.5,205.2,169.0,125.8,64.5,105.2,115.0,212.5,46.4,173.5,169.3,182.7,82.5,118.3,200.0,217.6,196.5,123.5,124.8,232.8,169.6,167.5,159.6,0.0,204.4,206.0,202.0,115.6,188.9,254.6,104.5,95.8,173.4,58.1,160.3,178.4,180.7,194.7,218.8,73.7,195.1,211.4,89.3,232.4,261.4,169.2,146.7,218.0,214.4,113.7,58.6,237.2,153.2,112.3,191.4,204.3,127.8,175.2,164.9,150.1,49.4,175.1,64.8,177.7,183.3,247.2,88.1,98.6,140.5,202.0,52.0,272.4,166.4,201.3,223.0,160.5,85.5,159.7,58.7,135.7,77.7,124.3,147.8,171.8,186.4,204.3,104.0,215.4,227.0,69.6,179.2,224.5,120.3,201.3,16.1
KF,300.7,145.9,139.0,193.6,216.1,360.8,392.7,1928.2,81.9,106.4,84.4,107.7,75.4,304.6,324.9,260.0,305.8,324.9,58.6,187.6,338.9,110.2,65.7,161.5,308.1,109.2,95.4,39.1,122.6,324.8,396.0,365.1,160.0,85.9,217.4,0.0,115.2,88.7,283.0,351.5,426.9,160.3,296.4,343.5,258.7,134.6,119.5,342.4,362.4,373.1,168.8,85.5,112.0,284.7,123.3,104.0,200.1,310.9,363.1,66.2,170.6,170.4,409.5,184.1,131.4,13.0,160.5,295.2,352.2,332.9,284.9,250.0,206.0,202.1,114.9,173.3,98.7,288.7,294.1,275.3,192.0,208.9,115.0,328.1,74.2,384.7,131.8,180.4,85.5,232.2,328.0,275.7,158.1,97.4,126.1,124.4,366.0,140.0,369.7,399.3,289.6,169.2,57.7,257.6,101.7,196.9
KJ,293.3,212.5,200.3,150.7,164.1,319.4,352.6,1960.7,195.9,104.0,156.6,157.6,173.3,291.0,320.3,262.7,301.2,307.1,82.0,144.7,298.5,49.3,135.4,118.6,310.4,5.6,210.8,153.1,125.4,316.9,384.5,362.0,207.4,158.1,192.0,113.9,0.0,30.3,275.6,309.2,384.0,117.4,291.8,338.5,256.3,184.5,191.7,293.6,346.3,334.5,125.9,193.2,226.0,287.5,243.7,179.7,193.5,297.3,320.2,164.1,127.7,166.0,366.6,185.1,309.5,126.9,231.7,287.8,336.1,325.5,271.3,247.6,207.0,188.9,187.1,223.2,212.7,284.1,296.8,261.7,241.9,201.5,168.7,286.7,93.2,343.3,191.6,137.8,135.4,222.3,327.8,275.8,115.2,147.3,198.3,75.2,324.6,97.1,326.0,356.4,261.7,219.1,155.6,247.7,96.1,173.6
KY,284.6,201.1,169.9,128.0,153.0,296.7,327.1,1958.0,179.3,101.3,139.1,127.2,166.3,268.3,297.6,240.0,278.5,284.4,79.3,122.0,275.8,18.9,117.9,95.9,287.7,25.6,186.3,130.0,88.5,294.2,361.8,339.3,177.0,140.6,169.3,108.7,31.6,0.0,266.9,286.5,361.3,94.7,269.1,313.7,233.6,154.1,174.2,270.9,323.6,307.5,103.2,176.4,217.6,264.8,232.2,177.0,170.7,274.6,297.5,157.1,105.0,143.3,343.9,154.7,65.8,124.2,214.2,279.1,313.4,316.8,248.6,224.9,176.6,166.2,169.6,192.8,189.6,261.4,274.1,239.0,211.5,192.8,166.0,264.0,90.5,320.6,151.3,114.8,105.0,213.6,305.1,253.2,92.5,116.9,180.8,58.8,301.9,74.4,304.0,333.7,239.0,188.7,148.6,239.0,72.4,148.8
LD,17.6,219.1,184.4,127.8,113.6,95.3,137.4,2152.6,231.5,236.7,247.5,222.4,294.0,65.2,77.9,55.1,103.2,91.1,276.8,128.7,69.7,233.6,248.7,164.8,38.9,274.9,318.5,260.8,207.0,65.4,128.3,74.4,201.5,246.0,115.6,268.7,280.9,252.6,0.0,85.1,150.8,156.9,102.5,58.3,71.5,195.5,212.4,69.5,79.6,119.3,156.0,282.0,248.7,73.0,266.4,325.7,195.6,42.9,114.2,287.9,160.0,122.9,133.4,187.2,114.9,255.7,238.3,12.2,71.4,49.8,84.9,80.2,209.1,92.9,217.0,217.3,320.4,94.8,82.3,56.2,236.0,121.3,336.7,62.6,265.6,119.2,188.4,137.7,235.8,84.4,56.3,61.3,172.5,232.7,205.8,243.3,100.5,168.3,110.8,123.2,121.6,213.2,279.4,25.7,265.6,131.8
LP,94.8,288.7,257.7,194.4,168.6,10.1,92.7,2165.2,316.3,304.2,320.8,295.7,363.7,76.7,123.4,128.4,146.3,134.2,344.3,195.3,50.4,300.2,315.3,232.3,112.2,311.5,383.7,327.4,286.8,119.4,75.4,113.2,274.8,319.3,188.9,337.8,317.5,313.5,105.1,0.0,131.5,224.4,156.5,63.2,144.8,268.8,285.7,8.2,41.9,95.7,222.6,358.1,306.5,138.3,290.5,392.3,249.2,81.8,52.6,354.5,194.9,189.5,114.1,260.5,243.2,322.3,271.9,100.3,41.2,72.6,96.4,153.5,244.9,160.4,290.3,265.3,387.0,164.7,128.9,95.7,258.3,194.6,403.3,23.3,330.3,34.0,268.6,204.5,302.4,157.7,129.6,135.6,207.4,306.0,279.1,297.9,15.3,234.9,92.3,103.9,166.7,269.9,346.0,117.9,332.2,206.9
MH,158.9,328.5,293.8,248.5,234.3,132.1,89.1,2211.7,340.9,357.4,356.9,331.8,403.4,112.8,219.2,164.5,221.3,232.4,393.7,249.4,67.1,354.3,369.4,285.5,148.3,358.0,428.1,381.5,316.4,174.8,172.3,219.9,310.9,355.4,225.0,389.4,364.0,360.0,141.2,121.9,0.0,277.6,211.9,179.7,180.9,304.9,321.8,106.3,161.4,71.0,276.7,391.4,354.8,182.4,375.8,446.4,305.0,138.5,106.8,408.6,241.4,243.6,11.9,296.6,46.6,376.4,347.7,153.4,139.0,188.2,132.5,189.6,318.5,213.6,326.4,326.7,441.1,204.2,191.7,131.8,345.4,230.7,457.4,99.4,386.3,156.0,297.8,258.4,354.0,193.8,165.7,170.7,253.9,342.1,315.2,344.4,134.8,289.0,62.5,23.1,231.0,322.6,400.1,153.1,386.3,241.2
NA,178.1,232.4,194.1,52.8,116.0,238.2,290.1,2040.3,210.6,137.2,170.4,158.5,197.6,182.0,202.3,137.4,189.2,208.3,161.6,46.8,238.8,134.1,149.2,20.7,198.4,125.9,217.6,161.3,137.8,204.9,296.3,250.0,208.3,171.9,94.1,169.2,131.9,127.9,160.4,228.0,324.3,0.0,179.8,218.8,151.0,185.4,205.5,219.8,237.3,272.9,28.0,207.7,248.9,162.2,269.9,226.2,212.9,188.3,260.5,188.4,68.0,45.3,306.9,196.9,249.8,156.2,245.5,172.6,227.1,210.3,162.3,142.3,218.8,77.0,200.9,224.1,220.9,172.1,171.5,152.7,242.8,86.3,237.2,205.5,164.2,262.1,182.6,20.4,136.3,107.1,215.8,150.6,70.7,148.2,212.1,112.3,243.4,68.8,267.1,296.7,163.8,220.0,179.9,132.5,145.1,73.6
NF,102.2,205.2,170.5,148.0,154.3,164.9,210.1,2193.4,217.6,266.3,233.6,208.5,280.1,137.9,43.9,73.8,9.4,28.4,309.9,148.2,142.4,253.8,255.2,184.3,87.2,301.8,301.8,281.0,193.1,93.7,178.2,97.0,187.6,232.1,101.7,298.6,307.8,272.8,84.5,157.8,223.5,180.9,0.0,100.8,39.6,181.6,198.5,142.2,122.1,192.0,175.5,265.1,234.8,71.7,252.5,345.9,181.7,115.6,186.9,289.3,190.8,143.1,206.1,173.3,187.6,285.6,224.4,96.7,144.1,92.3,157.6,48.3,195.2,119.4,203.1,203.4,333.2,8.1,81.0,128.9,222.1,89.4,356.9,135.3,298.7,188.8,174.5,161.7,230.7,103.1,104.6,60.0,201.4,218.8,191.9,263.5,149.6,195.4,183.5,195.9,63.0,199.3,299.4,116.4,295.2,117.9
NH,31.5,268.4,232.8,176.2,150.4,63.1,128.6,2201.9,280.8,285.1,296.8,271.7,343.3,97.8,58.5,99.3,83.0,70.9,325.2,178.0,116.1,282.9,297.1,213.2,85.7,324.2,367.7,310.1,261.9,56.1,101.8,69.7,249.9,295.3,164.9,318.0,330.2,301.9,49.2,73.2,198.4,205.3,93.2,0.0,120.8,244.8,261.7,88.8,19.1,145.8,205.3,333.2,288.5,74.9,269.3,375.0,235.1,50.2,87.3,337.2,209.3,171.3,179.8,236.5,162.5,305.0,259.8,37.0,51.5,9.4,116.3,128.6,231.1,141.3,265.4,251.2,369.7,101.4,64.7,85.8,234.4,170.6,386.0,96.6,314.9,87.0,244.6,187.0,285.1,128.6,104.3,85.6,221.8,282.0,255.1,292.6,47.8,217.6,151.7,168.2,104.6,256.1,328.7,74.1,293.0,181.1
NL,89.2,172.2,137.5,108.3,114.6,155.0,197.1,2160.4,184.6,217.2,200.6,175.5,247.1,124.9,81.6,60.8,47.0,66.1,257.3,110.7,129.4,214.1,222.2,146.8,74.2,264.3,262.1,241.3,160.1,80.7,199.9,125.8,154.6,199.1,68.7,249.2,270.3,233.1,71.5,144.8,210.5,147.9,37.6,129.9,0.0,148.6,165.5,129.2,151.2,179.0,138.0,225.4,201.8,58.7,219.5,306.2,148.7,102.6,173.9,256.3,151.1,103.4,193.1,140.3,174.6,236.2,191.4,83.7,131.1,121.4,144.6,8.6,162.2,79.7,170.1,170.4,293.5,29.9,68.0,115.9,189.1,49.7,317.2,122.3,246.1,178.9,141.5,128.7,197.7,74.4,91.6,47.0,161.7,185.8,158.9,223.8,160.2,162.4,170.5,182.9,74.7,166.3,266.4,103.4,225.1,80.4
NQ,219.5,58.4,23.7,218.8,230.7,285.3,327.4,2027.4,70.8,84.6,68.4,26.8,112.5,255.2,226.7,191.1,195.3,214.4,142.7,194.6,259.7,135.1,90.0,218.7,204.5,179.8,123.1,126.7,62.9,211.0,292.8,256.1,22.8,66.9,142.0,134.0,185.8,154.1,201.8,275.1,340.8,197.9,185.9,260.2,174.9,0.0,51.7,259.5,281.5,309.3,221.9,86.4,88.0,189.0,105.7,191.6,74.5,232.9,304.2,121.7,245.4,164.1,323.4,66.1,304.9,121.0,77.6,214.0,261.4,251.7,274.9,179.6,88.0,195.8,56.3,38.6,154.5,178.2,198.3,246.2,57.3,182.2,202.6,252.6,131.5,309.2,7.1,178.7,49.0,188.9,221.9,177.3,232.9,37.1,45.1,185.9,290.5,138.3,300.8,313.2,173.8,34.5,131.8,233.7,113.5,164.3
NR,236.4,20.7,37.9,240.6,252.5,302.2,344.3,2012.0,51.1,124.4,35.0,66.8,97.1,272.1,243.6,208.0,212.2,231.3,111.3,216.6,276.6,156.9,56.6,240.7,221.4,188.7,107.7,113.3,84.9,227.9,294.3,273.0,57.7,33.5,164.0,118.6,194.7,170.7,218.7,292.0,357.7,219.9,202.8,277.1,191.8,69.6,0.0,276.4,298.4,326.2,243.9,71.0,65.0,205.9,86.0,178.2,91.4,249.8,321.1,106.3,250.1,185.9,340.3,83.0,321.8,105.6,39.9,230.9,278.3,268.6,291.8,200.5,104.9,217.6,4.5,73.5,139.1,195.1,215.2,263.1,92.2,204.2,189.2,269.5,100.1,326.1,64.6,200.7,89.0,210.9,238.8,194.2,237.6,77.1,6.5,203.9,307.4,160.3,317.7,330.1,190.7,69.4,116.4,250.6,132.3,186.3
OL,107.2,282.9,249.5,186.2,160.4,25.7,99.7,2149.6,300.7,295.1,312.6,280.1,348.1,61.1,139.0,112.8,161.9,149.8,335.2,179.7,34.8,284.6,307.1,223.2,96.6,295.9,368.1,311.8,278.6,123.1,91.0,129.7,266.6,303.7,180.7,322.2,301.9,297.9,89.5,16.5,115.9,215.3,160.2,77.6,129.2,253.2,270.1,0.0,58.4,80.1,207.0,341.6,306.4,130.6,298.7,376.7,258.3,86.8,61.7,338.9,179.3,173.9,105.9,244.9,227.6,306.7,287.5,101.7,57.7,88.2,80.8,137.9,260.5,151.3,274.7,274.4,371.4,152.5,140.0,80.1,257.6,179.0,387.7,14.2,314.7,49.6,256.0,188.9,286.8,149.5,121.4,126.5,191.8,290.4,263.5,282.3,30.9,219.3,76.7,88.3,175.8,270.9,330.4,108.8,324.0,191.3
OQ,51.9,288.8,254.1,197.5,171.7,42.7,108.2,2197.0,312.7,306.4,317.2,292.1,363.7,77.4,80.5,119.7,103.4,91.3,346.5,198.4,99.9,303.3,318.4,234.5,106.1,343.3,386.8,330.5,283.2,76.5,85.4,91.0,271.2,315.7,185.3,338.4,349.3,322.3,69.6,51.9,178.6,226.6,113.6,19.1,141.2,265.2,282.1,68.4,0.0,123.5,225.7,353.6,298.4,95.2,285.4,395.4,245.0,38.9,68.1,357.6,226.7,192.6,161.2,256.9,145.1,325.4,266.8,57.4,32.3,29.7,97.1,149.9,239.8,162.6,286.7,261.1,390.1,121.8,86.0,74.5,244.3,191.0,406.4,75.3,333.4,66.6,265.0,207.6,305.5,149.0,123.5,106.9,239.2,302.4,275.5,313.0,27.4,238.0,131.3,147.8,125.9,264.8,349.1,95.4,335.3,201.5
OS,152.8,322.4,289.6,240.0,214.2,103.4,15.2,2187.6,334.8,353.2,352.7,325.7,397.3,106.7,198.7,158.4,215.2,209.5,367.2,243.3,58.6,348.2,360.9,272.2,142.2,333.9,422.0,375.4,314.4,168.7,134.7,176.0,302.4,349.3,216.5,383.3,339.9,337.8,135.1,93.5,76.4,273.4,205.8,138.5,174.8,298.8,315.7,100.2,120.5,0.0,267.3,387.2,352.0,176.3,342.6,440.3,304.1,132.4,80.9,402.5,217.3,235.1,56.6,290.5,22.5,370.3,333.1,147.3,115.5,147.9,128.3,185.4,304.4,205.1,320.3,320.6,435.0,198.1,185.6,125.7,307.0,224.6,451.3,93.3,380.2,107.8,296.2,252.3,347.9,185.3,161.5,162.3,229.8,336.0,309.1,320.3,90.6,282.9,5.8,48.8,224.9,316.5,394.0,144.6,356.8,235.1
OV,172.7,261.4,232.5,24.7,76.3,231.6,264.8,2039.1,257.2,172.3,205.5,193.6,232.7,176.6,194.5,132.0,177.8,199.6,160.4,37.2,210.7,145.7,184.3,7.2,180.1,124.7,254.1,196.4,179.4,209.4,296.7,237.1,243.4,207.0,84.5,192.3,130.7,126.7,155.0,221.4,296.2,38.3,168.4,213.4,130.7,220.5,240.6,205.8,231.9,246.7,0.0,249.8,284.0,156.8,305.0,258.1,243.7,182.9,232.4,223.5,39.9,58.5,278.8,235.3,221.7,191.3,280.6,167.2,221.7,204.9,156.9,122.0,257.2,71.6,236.0,259.2,256.0,160.7,166.1,147.3,277.9,80.9,247.1,198.9,171.6,255.5,227.6,58.7,171.4,101.7,197.5,145.1,50.5,183.3,247.2,111.1,236.8,103.9,238.2,268.6,154.2,255.1,215.0,127.1,174.5,66.1
OZ,309.6,107.8,111.1,243.2,243.5,375.4,414.7,1950.0,64.8,127.0,85.8,99.6,10.1,325.2,312.9,249.5,285.4,304.5,131.9,219.8,349.8,159.5,83.8,233.1,294.6,180.8,45.7,38.4,124.2,301.1,364.9,346.2,125.3,84.3,196.8,90.1,186.8,162.8,291.9,366.1,430.9,231.9,276.0,351.2,243.1,102.4,87.0,357.0,371.6,395.1,240.4,0.0,97.4,274.7,108.7,109.0,171.7,323.0,394.3,19.3,242.2,188.5,413.5,155.7,395.0,74.6,127.0,304.1,351.5,341.8,305.5,234.4,177.6,220.2,82.4,141.1,77.1,268.3,283.6,295.9,159.8,229.5,120.0,342.7,118.8,399.3,99.6,201.4,106.1,243.7,312.0,262.7,229.7,109.9,93.6,196.0,380.6,211.6,390.9,403.3,263.9,137.0,29.3,275.7,134.9,217.5
PJ,251.7,64.0,57.1,283.6,283.9,321.4,360.7,2025.3,32.9,171.3,99.6,113.4,106.5,291.3,258.9,227.2,227.5,250.5,171.2,267.1,291.9,203.8,121.2,275.5,240.6,219.3,121.0,120.1,138.0,243.2,287.2,288.3,73.0,98.1,210.6,112.5,225.3,201.3,234.0,312.1,376.9,266.7,218.1,292.4,211.0,90.9,67.3,299.1,313.7,337.2,282.8,96.4,0.0,225.5,17.6,185.0,114.3,265.1,336.4,115.7,280.7,232.8,355.6,98.3,337.1,97.0,73.2,250.1,297.5,283.9,307.1,219.7,120.2,264.5,71.9,88.8,152.4,210.4,230.5,282.3,107.5,250.8,196.0,288.7,161.1,345.3,89.8,243.8,139.5,256.5,258.0,213.5,272.1,123.7,64.6,234.5,322.7,194.2,333.7,345.4,206.0,88.6,129.7,265.9,193.3,232.9
PM,70.7,206.4,171.5,130.8,104.9,136.5,175.8,2134.4,230.2,240.1,234.7,209.6,281.2,106.4,37.2,24.3,62.9,50.8,279.8,141.3,110.8,236.6,256.7,177.5,55.7,277.9,294.5,263.8,200.8,62.2,143.2,80.2,188.7,233.2,102.9,274.2,283.9,256.0,53.0,127.2,192.0,160.3,73.1,86.1,58.7,182.7,199.6,118.1,104.9,156.2,168.6,271.5,232.6,0.0,247.1,328.7,190.5,84.1,155.8,290.4,163.0,126.3,174.7,174.4,179.6,258.7,227.0,65.2,112.6,75.5,126.5,67.5,196.3,96.3,204.2,204.4,324.1,81.3,9.2,97.4,212.4,98.3,339.7,103.7,266.7,160.4,185.9,140.8,231.8,53.5,73.1,11.6,175.5,219.9,193.0,246.3,132.8,171.3,152.8,164.4,85.0,200.4,282.4,85.0,268.6,112.8
PO,276.0,84.4,77.5,307.9,308.2,341.8,373.7,2035.7,64.8,184.3,123.9,137.7,130.8,311.7,284.0,247.6,251.8,270.9,195.5,287.5,316.2,224.2,145.5,288.5,261.0,243.6,143.2,144.4,162.3,267.5,266.2,312.6,89.9,122.4,234.9,136.8,249.6,225.6,258.3,332.5,397.3,279.7,242.4,318.8,231.4,111.3,91.6,316.0,338.0,361.5,303.2,113.3,24.2,245.4,0.0,209.3,131.2,289.4,360.7,140.0,305.0,245.8,379.9,122.6,265.8,121.3,99.0,270.5,317.9,308.2,331.4,240.1,144.5,277.5,96.2,105.7,172.8,234.7,247.4,302.7,131.8,275.1,220.3,301.7,183.5,365.7,103.7,268.1,159.9,276.9,278.4,226.5,292.5,148.0,85.0,258.8,347.0,214.6,358.1,369.7,230.3,109.0,150.1,290.2,192.2,259.0
PZ,357.7,197.3,214.0,263.6,277.0,417.8,465.5,1906.4,156.9,163.4,141.4,164.7,96.8,361.6,379.5,317.0,362.8,381.9,131.1,257.6,410.2,180.2,120.2,231.5,365.1,179.2,84.4,74.8,186.1,381.8,467.7,422.1,214.5,142.9,274.4,124.0,185.2,161.2,340.0,407.6,491.3,230.3,353.4,398.4,315.7,191.6,176.5,392.0,416.9,447.4,238.8,121.9,187.0,341.8,204.7,0.0,254.2,367.9,433.1,87.6,240.6,224.9,473.9,245.8,422.4,111.0,216.5,352.2,406.7,389.9,341.9,307.0,267.7,256.6,171.9,230.3,39.9,345.7,351.1,332.3,249.0,265.9,10.9,385.1,142.3,441.7,198.7,250.7,142.5,286.7,382.5,330.1,228.1,154.4,183.1,194.4,423.0,210.0,438.9,463.7,344.1,226.2,79.1,312.1,171.3,256.0
QC,204.0,102.5,67.8,250.2,250.5,269.8,309.1,2090.7,114.9,163.6,130.9,105.8,177.4,239.7,210.8,175.6,179.8,198.9,207.2,218.8,244.2,148.5,152.5,235.9,189.0,193.2,189.2,193.7,78.9,195.5,233.3,240.6,84.9,129.4,169.5,195.9,199.2,167.5,186.3,259.6,325.3,215.1,170.4,244.7,159.4,78.9,95.8,244.0,266.0,289.5,243.2,167.3,128.8,173.9,121.4,258.6,0.0,217.4,288.7,186.6,218.4,195.5,307.9,14.3,289.4,182.9,102.8,198.5,245.9,236.2,259.4,168.1,5.8,227.2,100.4,97.1,220.6,162.7,182.8,230.7,80.3,209.2,269.6,237.1,194.1,293.7,78.7,195.9,128.0,204.9,206.4,161.9,205.9,116.1,89.2,217.3,275.0,142.6,285.3,297.7,158.3,96.6,196.7,218.2,192.5,188.5
QM,71.8,250.2,215.5,159.4,145.2,91.7,134.7,2158.0,262.6,268.3,278.6,253.5,325.1,62.5,98.0,86.2,123.3,111.2,308.4,160.3,67.0,265.2,280.3,196.4,70.0,304.3,349.8,292.4,238.1,96.4,112.4,110.9,232.6,277.1,146.7,300.3,310.3,284.2,62.9,82.4,148.1,188.5,133.5,41.1,102.6,226.6,243.5,66.8,48.9,116.6,187.6,313.1,276.5,104.1,279.9,357.3,226.7,0.0,111.5,319.5,187.7,154.5,130.7,218.3,112.2,287.3,269.4,75.1,68.7,49.6,82.2,111.3,240.2,124.5,248.1,248.4,352.0,125.9,105.9,35.5,246.2,152.4,368.3,59.9,297.2,115.6,219.5,169.3,267.4,115.5,87.4,92.4,200.2,263.8,236.9,274.9,76.4,199.9,108.1,120.5,145.8,244.3,311.0,74.8,297.2,162.9
QN,116.5,288.6,284.4,239.1,213.3,59.5,59.1,2180.5,336.4,348.0,352.7,329.3,392.5,103.4,153.2,155.1,178.9,166.8,362.5,240.0,57.7,344.9,374.3,267.5,138.9,326.8,421.1,372.1,313.5,139.2,74.9,114.0,280.3,351.2,215.6,380.0,332.8,328.8,134.2,50.7,114.0,268.2,189.1,96.6,171.5,302.4,317.6,59.8,76.2,74.4,260.2,382.4,307.3,152.8,290.4,437.0,250.0,116.0,0.0,401.7,210.2,234.2,96.6,264.3,78.1,367.0,271.8,122.0,83.7,112.6,123.1,180.2,244.8,204.2,322.2,266.1,431.7,197.3,143.5,122.4,249.3,221.3,448.0,74.1,373.7,34.8,302.2,249.0,351.5,184.4,156.3,164.4,222.7,339.6,311.0,313.2,48.7,279.6,74.8,86.4,167.5,269.8,390.7,143.7,355.6,233.6
QZ,302.0,127.1,130.4,223.9,235.8,362.1,422.2,1945.0,86.6,107.7,85.7,109.0,9.1,305.9,323.8,261.3,304.7,323.8,112.6,200.5,354.5,140.2,64.5,213.8,309.4,161.5,65.0,19.1,130.4,320.4,384.2,365.5,144.6,87.2,216.1,68.3,167.5,143.5,284.3,351.9,435.6,212.6,295.3,342.7,260.0,121.7,106.3,336.3,361.2,404.1,221.1,45.2,113.4,286.1,134.4,89.7,183.4,312.2,399.0,0.0,222.9,169.2,418.2,175.0,399.7,55.3,146.3,296.5,351.0,334.2,286.2,251.3,196.9,200.9,101.7,160.4,84.4,287.6,295.4,276.6,179.1,210.2,100.7,329.4,101.4,386.0,128.8,182.1,86.8,231.0,326.8,274.4,210.4,98.7,112.9,176.7,367.3,192.3,395.6,408.0,283.2,156.3,10.0,256.4,135.5,200.3
RD,168.0,282.7,220.2,63.2,36.3,191.6,224.8,2025.3,266.1,174.2,226.8,226.2,243.5,163.2,189.8,127.3,193.6,203.0,152.2,87.2,170.7,137.5,205.6,57.2,175.4,116.5,281.0,223.3,212.0,192.1,256.7,232.4,276.0,228.3,134.5,184.1,122.5,118.5,150.3,181.4,256.2,83.5,184.2,210.7,146.5,253.1,261.9,165.8,218.5,206.7,49.9,263.4,296.2,152.1,313.9,249.9,231.4,169.5,192.4,234.3,0.0,91.1,238.8,223.0,181.7,197.1,301.9,162.5,208.3,200.2,143.5,137.8,244.9,61.1,257.3,291.8,282.9,176.5,161.4,133.9,310.5,96.7,238.9,158.9,163.4,215.5,260.2,103.9,204.0,97.0,192.8,140.4,12.4,215.9,268.5,102.9,196.8,136.5,198.2,228.6,204.2,287.7,225.8,122.4,166.3,116.1
