from_stop,AU,BC,BK,BS,CH,DM,DQ,DS,EC,EF,EU,FD,FK,FU,GB,GO,GU,GY,GZ,HA,HB,HJ,HU,HW,IF,IP,IX,JN,JZ,KS,KZ,LD,MI,MJ,OD,ON,QI,QN,RO,SF,SK,SS,SW,UC,UF,UG,UI,UR,VD,VH,VL,VX,WO,WV,WY,XH,XK,XP,YA,YJ,YS,ZL,ZN,ZO,ZV
VX,226.3,203.5,105.8,250.4,220.7,200.8,119.6,91.5,63.4,290.6,210.0,278.7,281.3,179.5,265.4,94.1,286.0,265.1,252.3,225.8,84.9,2222.1,108.5,143.6,103.0,154.3,195.7,97.9,109.1,138.6,83.8,97.4,89.3,88.1,152.2,280.0,113.3,107.7,227.9,216.4,248.4,291.1,125.4,44.6,283.0,209.9,289.3,231.6,271.5,159.1,99.3,0.0,289.3,81.3,261.5,93.6,263.8,52.8,267.6,76.0,36.5,264.7,109.6,249.8,218.0
WO,97.1,94.3,225.7,196.3,104.4,235.9,333.6,305.5,268.7,177.6,118.1,92.4,151.2,140.6,138.6,263.9,155.9,81.7,170.9,42.4,243.3,2393.4,322.5,378.3,311.6,254.8,126.4,233.6,349.3,245.1,318.5,355.3,300.2,332.8,176.8,167.0,269.5,358.2,82.7,87.2,129.0,107.7,204.9,302.5,121.0,162.5,105.9,86.4,158.5,194.2,339.5,257.8,0.0,279.6,78.1,245.6,80.4,310.7,84.2,290.0,294.4,122.7,281.9,104.6,140.0
WV,241.6,218.8,149.2,307.0,277.6,257.7,117.4,89.3,120.3,250.7,262.6,294.0,338.2,208.1,320.8,15.6,342.9,283.1,209.5,241.1,141.8,2167.5,106.3,144.1,162.8,211.2,234.3,154.8,127.6,195.5,91.0,154.4,78.6,106.6,236.8,240.1,170.2,126.2,243.2,231.7,305.3,306.4,185.2,82.6,319.7,266.8,304.6,246.9,231.6,218.9,117.8,82.0,249.4,0.0,276.8,150.5,279.1,130.6,282.9,73.8,114.3,321.4,58.3,265.1,274.9
WY,83.5,68.4,199.8,156.7,78.5,196.1,307.7,279.6,220.6,143.7,92.2,40.5,79.1,112.7,63.2,212.0,83.8,29.8,90.1,18.5,195.2,2341.5,296.6,352.4,264.4,222.0,100.5,207.7,323.4,212.3,292.6,329.4,248.3,306.9,128.7,133.1,228.2,332.3,56.8,61.3,92.4,73.8,156.8,262.5,80.8,129.9,72.0,60.5,124.6,154.4,313.6,231.9,128.9,227.7,0.0,219.7,46.5,284.8,50.3,264.1,268.5,44.5,230.0,78.7,100.4
XH,167.2,182.6,12.1,178.9,149.2,129.3,152.4,143.3,34.2,338.1,138.5,249.2,209.8,108.0,192.4,181.1,214.5,238.3,264.5,210.6,13.4,2258.3,163.5,175.1,89.8,82.8,124.2,12.0,140.6,67.1,115.3,146.9,176.3,119.6,108.4,332.4,23.8,139.2,204.0,169.4,176.9,224.8,61.6,83.8,211.5,138.4,271.3,207.7,323.9,87.6,130.8,113.5,315.8,168.3,205.7,0.0,248.6,110.0,249.6,155.3,93.7,193.2,196.6,225.9,146.5
XK,115.3,100.2,231.6,202.2,110.3,241.8,339.5,311.4,274.6,130.6,124.0,90.3,104.2,144.5,91.6,261.8,108.9,79.6,123.9,50.3,249.2,2344.3,328.4,384.2,317.5,260.7,132.3,239.5,355.2,251.0,324.4,361.2,298.1,338.7,182.7,120.0,275.4,364.1,88.6,93.1,134.9,60.7,210.8,308.4,74.0,168.4,58.9,92.3,111.5,200.1,345.4,263.7,178.7,277.5,56.0,251.5,0.0,316.6,37.2,295.9,300.3,100.6,279.8,110.5,145.9
XP,227.5,256.4,114.6,259.2,229.5,209.6,109.7,100.6,72.2,343.5,218.8,329.5,290.1,188.3,272.7,142.8,294.8,315.9,305.2,278.7,93.7,2275.0,120.8,132.4,104.6,163.1,204.5,106.7,97.9,147.4,72.6,44.5,144.2,76.9,161.0,332.9,122.1,96.5,280.8,249.7,257.2,305.1,134.2,33.4,291.8,218.7,342.2,284.5,324.4,167.9,88.1,52.8,342.2,130.0,286.0,102.4,316.7,0.0,320.5,116.1,16.2,273.5,162.5,302.7,226.8
YA,105.0,102.2,233.6,204.2,112.3,243.8,328.3,313.1,275.7,93.3,126.0,92.3,68.9,146.5,56.3,229.7,73.6,81.6,106.6,52.3,250.3,2311.8,317.2,386.2,319.5,262.7,134.3,241.5,356.9,253.0,326.4,363.2,266.0,340.4,183.8,82.7,277.4,352.9,90.6,95.1,136.9,25.4,211.9,310.4,38.7,170.4,21.7,94.3,74.2,202.1,347.1,265.7,146.6,245.4,58.0,253.5,55.4,318.6,0.0,297.6,302.3,102.6,247.7,112.5,147.9
YJ,258.9,236.1,153.5,298.1,268.4,248.5,77.8,15.5,111.1,298.7,257.7,311.3,329.0,225.4,313.1,89.2,333.7,297.7,260.4,258.4,132.6,2195.4,66.7,86.2,150.7,202.0,243.4,145.6,59.2,186.3,96.9,139.3,29.5,38.2,227.6,288.1,161.0,80.5,260.5,249.0,296.1,323.7,173.1,73.4,330.7,257.6,321.9,264.2,279.6,206.8,49.4,96.4,297.4,73.5,294.1,133.6,296.4,118.5,300.2,0.0,102.2,312.4,49.8,282.4,265.7
YS,211.2,240.1,98.3,242.9,213.2,193.3,93.4,84.3,55.9,327.2,202.5,313.2,273.8,172.0,256.4,126.5,278.5,299.6,288.9,262.4,77.4,2258.7,104.5,116.1,120.9,146.8,188.2,90.4,81.6,131.1,56.3,60.8,125.9,60.6,144.7,316.6,105.8,80.2,264.5,233.4,240.9,288.8,117.9,17.1,275.5,202.4,325.9,268.2,308.1,151.6,71.8,36.5,325.9,113.7,269.7,86.1,300.4,16.2,304.2,99.8,0.0,257.2,146.2,286.4,210.5
ZL,89.1,113.5,208.7,124.7,52.7,164.1,306.8,297.7,188.6,188.8,80.4,85.6,67.1,125.2,51.2,257.1,71.8,74.9,135.2,63.6,163.2,2386.6,317.9,329.5,232.4,190.0,103.7,200.8,295.0,180.3,269.7,301.3,293.4,278.5,96.7,178.2,196.2,305.3,101.9,106.4,60.4,82.1,124.8,230.5,68.8,97.9,117.1,105.6,169.7,122.4,285.2,267.9,174.0,272.8,45.0,188.8,91.6,256.7,95.4,309.2,240.4,0.0,275.1,123.8,68.4
ZN,272.5,249.7,180.1,337.9,315.8,298.1,110.0,65.3,161.0,248.8,293.5,220.4,378.9,241.0,363.0,102.8,383.6,311.3,210.5,272.0,184.6,2145.5,98.9,136.1,196.5,243.4,265.2,188.0,109.1,233.7,133.2,189.2,18.2,92.6,249.8,238.2,210.9,134.6,274.1,262.6,340.4,337.3,223.0,123.3,350.6,301.3,241.0,277.8,229.7,256.4,99.3,110.0,247.5,87.1,307.7,183.5,310.0,162.9,313.8,49.8,146.6,352.3,0.0,200.9,315.4
ZO,99.6,84.3,209.0,183.5,76.6,222.9,262.9,247.7,241.8,116.9,108.3,100.8,152.1,128.8,136.2,164.3,156.8,90.1,78.6,50.8,216.4,2260.2,251.8,324.2,261.6,227.5,116.6,216.9,291.5,217.8,264.4,301.0,200.6,275.0,155.5,106.3,249.4,287.5,21.8,77.4,101.2,116.1,179.1,248.2,129.4,152.7,114.3,18.1,97.8,181.2,281.7,203.5,89.8,180.0,86.5,228.9,88.8,256.4,92.6,232.2,240.1,131.1,182.3,0.0,127.2
ZV,41.7,64.8,167.0,56.2,49.4,122.4,265.1,256.0,146.9,240.3,20.7,149.4,110.0,83.5,92.6,245.9,114.7,138.5,186.1,105.1,121.5,2340.0,276.2,287.8,194.8,154.3,62.0,159.1,253.3,138.6,228.0,259.6,282.2,232.3,63.9,229.7,154.5,256.6,104.2,51.6,77.1,125.0,83.1,188.8,111.7,56.2,168.6,107.9,221.2,80.7,243.5,226.2,205.9,258.7,105.9,154.8,143.1,215.0,146.9,271.5,198.7,93.4,263.9,126.1,0.0
