from_stop,AB,AC,AN,AU,BF,BG,BP,CQ,DJ,EG,EP,EU,EW,FE,GI,GY,JC,JO,KA,KI,KW,KY,LA,MD,ME,MF,MU,NA,NB,NI,NS,NV,NY,OE,OI,OS,OZ,PD,PS,QD,QJ,RE,RN,RT,RW,SG,TH,TJ,TM,TT,TY,TZ,UD,UE,UI,UJ,UO,UT,UV,VI,VN,VV,WP,WR,WU,WW,XA,XR,XY,YC,YN,YU,YZ,ZN
RW,253.4,42.9,76.7,355.8,358.6,323.7,339.7,52.3,345.4,218.2,143.5,426.8,387.7,370.0,304.5,175.7,27.6,64.7,46.6,43.7,447.9,228.6,382.6,286.4,387.0,34.7,373.8,237.9,327.3,384.8,370.1,131.0,191.2,431.5,47.6,295.0,53.1,309.6,364.2,259.2,313.6,378.2,457.4,1623.3,0.0,76.4,201.9,412.7,319.8,89.9,62.6,372.8,439.6,411.2,448.0,273.9,303.4,80.6,233.8,379.9,208.1,95.1,418.5,426.9,359.0,66.2,356.0,243.3,40.5,352.6,243.9,294.5,392.6,476.4
SG,280.3,80.2,159.6,438.7,441.5,406.6,422.6,65.1,430.2,244.2,226.4,509.7,470.6,452.9,387.4,258.6,95.5,147.6,76.5,32.7,530.8,311.5,465.5,369.3,469.9,143.9,456.7,320.8,409.6,467.7,453.0,213.9,274.1,514.4,128.4,377.9,136.0,392.5,447.1,239.6,484.9,459.9,540.3,1602.0,82.8,0.0,284.8,481.7,402.7,13.4,13.8,455.7,521.6,494.1,530.9,356.8,386.3,163.2,316.7,462.8,282.9,169.4,501.4,509.8,441.9,57.1,438.9,326.2,82.6,435.5,326.8,377.4,475.5,559.3
TH,85.9,257.3,130.8,278.1,247.9,303.4,262.0,266.7,267.7,16.2,69.2,298.5,259.0,259.3,226.8,65.0,242.0,140.6,261.0,216.2,401.4,110.7,271.9,208.7,276.3,230.8,263.1,117.6,249.6,274.1,241.4,80.8,80.5,353.8,157.7,184.3,152.2,198.9,286.5,57.2,296.8,267.5,410.9,1545.6,214.3,248.9,0.0,302.0,209.1,254.3,235.1,295.1,361.9,364.7,401.5,163.2,225.7,157.4,121.7,269.2,97.4,118.3,340.8,380.4,248.3,273.5,245.3,96.0,254.9,274.9,111.6,216.8,281.9,429.9
TJ,200.1,346.0,262.5,177.0,111.7,75.4,132.7,374.6,168.5,245.5,223.4,128.8,92.8,72.0,112.3,172.0,340.9,272.3,359.9,357.0,257.5,211.9,102.6,142.7,107.0,330.1,83.6,164.8,137.7,56.3,187.9,228.2,166.4,242.5,291.5,135.3,289.6,112.6,167.4,231.3,122.0,68.8,256.8,1573.2,313.2,379.5,258.6,0.0,102.4,403.2,366.7,176.0,280.6,210.6,257.6,137.5,151.7,283.9,160.7,89.7,193.5,245.6,229.5,236.5,52.8,379.3,76.0,221.3,353.0,173.8,199.2,124.4,112.6,286.0
TM,172.5,355.8,229.3,137.1,38.7,94.2,103.0,370.9,128.6,206.8,167.7,106.9,70.9,50.1,82.6,133.3,340.5,239.1,359.5,356.6,222.4,173.2,62.7,102.8,67.1,307.1,53.9,126.1,108.6,64.9,95.6,179.3,117.5,212.8,258.3,34.9,256.4,10.1,127.5,182.4,82.1,57.1,231.9,1533.3,312.8,389.3,209.7,78.9,0.0,402.8,366.3,136.1,262.9,185.7,222.5,55.3,111.8,250.7,122.0,60.0,144.6,222.6,199.8,201.4,39.1,378.9,36.1,182.6,352.6,133.9,132.1,94.7,72.7,250.9
TT,288.8,66.7,173.1,425.6,391.6,393.5,409.5,57.3,415.2,257.7,239.9,452.6,413.1,403.0,377.7,272.1,82.0,161.1,63.0,46.1,517.7,325.0,415.6,356.2,401.5,98.8,406.8,317.6,397.1,417.8,395.5,227.4,287.6,501.3,144.0,328.0,149.5,342.6,434.0,260.1,383.4,411.2,527.2,1588.5,96.3,13.4,298.3,445.7,352.8,0.0,27.3,442.6,509.4,481.0,517.8,306.9,373.2,176.7,313.5,412.9,304.5,191.5,488.3,496.7,392.0,43.4,389.0,339.7,69.1,422.4,323.6,364.3,425.6,546.2
TY,254.9,90.2,145.8,424.9,427.7,392.8,408.8,75.6,416.4,221.2,205.3,495.9,456.8,439.1,377.0,246.8,84.1,133.8,90.3,18.8,507.8,297.7,451.7,355.5,456.1,130.1,433.7,297.8,386.6,453.9,430.0,200.1,260.3,491.4,104.1,354.9,116.5,378.7,433.3,225.8,461.9,436.9,517.3,1601.5,69.0,13.8,271.0,467.9,388.9,27.3,0.0,441.9,485.0,480.3,507.9,343.0,372.5,144.5,293.7,449.0,269.1,146.4,478.4,496.0,428.1,70.9,425.1,312.4,96.2,421.7,256.5,364.5,461.7,545.5
TZ,303.1,422.8,359.9,108.1,139.8,152.2,59.0,432.2,97.7,337.4,298.3,174.9,138.9,118.1,73.6,263.9,407.5,369.7,426.5,423.6,143.6,303.8,69.5,93.8,66.0,464.0,98.0,256.7,79.6,152.9,226.2,309.9,248.1,183.8,386.8,165.5,381.3,140.7,48.7,305.9,131.7,126.3,153.1,1486.4,379.8,456.3,340.3,180.8,130.5,469.8,442.5,0.0,224.6,106.9,143.7,185.9,131.9,386.5,252.6,104.1,283.3,347.4,170.8,122.6,127.1,446.1,91.8,313.2,420.4,104.9,262.7,85.7,116.8,172.1
UD,335.0,490.1,397.4,201.8,314.6,185.4,232.8,509.5,193.3,407.4,358.3,289.7,250.2,271.6,224.7,292.8,475.8,407.2,459.7,491.9,70.5,356.0,244.3,201.2,240.8,483.2,264.7,309.9,154.6,219.9,312.7,328.0,266.2,226.1,391.3,258.4,424.5,315.5,176.8,366.2,180.1,264.3,108.2,1406.7,448.1,489.5,423.2,329.9,304.3,578.3,501.6,212.1,0.0,110.0,128.3,272.4,200.2,418.8,270.7,209.9,293.3,355.6,264.5,114.2,290.1,514.2,266.6,331.3,487.9,199.6,334.1,236.8,223.3,89.2
UE,350.1,463.8,406.9,92.8,204.6,193.2,123.8,482.2,84.3,380.1,352.1,179.7,140.2,161.6,115.7,310.9,448.5,416.7,467.5,464.6,36.6,350.8,134.3,135.9,130.8,455.9,155.7,303.7,96.4,192.6,203.7,356.9,295.1,168.5,435.9,212.5,428.3,205.5,66.8,360.0,183.9,154.3,61.4,1379.4,420.8,497.3,372.9,233.8,195.3,551.0,483.5,102.1,69.5,0.0,81.5,232.9,172.9,428.3,299.6,161.8,322.2,400.2,155.5,30.9,180.1,486.9,156.6,360.2,460.6,89.6,317.4,127.8,174.5,109.9
UI,346.0,482.1,424.1,110.0,221.8,211.5,141.0,491.5,101.5,401.6,362.5,196.9,157.4,178.8,132.9,328.1,466.8,433.9,485.8,482.9,86.5,368.0,151.5,153.1,148.0,528.2,172.9,320.9,113.6,223.1,220.9,374.1,312.3,185.7,453.1,229.7,451.2,222.7,84.0,377.2,201.1,171.5,54.4,1457.5,439.1,515.6,390.1,251.0,212.5,529.1,492.6,119.3,96.5,81.9,0.0,250.1,191.2,450.7,316.8,179.0,339.4,417.4,172.7,84.9,197.3,505.2,173.8,377.4,478.9,106.8,326.9,145.0,191.7,28.3
UJ,117.1,300.4,173.9,183.0,84.6,140.1,148.9,309.8,172.6,151.4,112.3,152.8,116.8,96.0,128.5,77.9,285.1,183.7,304.1,301.2,261.2,117.8,108.6,148.7,113.0,278.0,99.8,70.7,154.5,110.8,101.2,123.9,62.1,258.7,200.8,21.0,195.3,35.6,173.4,119.9,133.5,104.2,270.7,1464.2,257.4,333.9,154.3,138.7,45.8,347.4,320.1,182.0,342.2,224.5,261.3,0.0,157.7,200.5,66.6,105.9,97.3,161.4,245.7,240.2,85.0,323.7,82.0,127.2,298.0,179.8,76.7,140.6,118.6,289.7
UO,156.0,290.8,197.1,171.7,106.4,20.2,137.6,300.2,161.3,190.3,151.2,123.5,87.5,66.7,120.2,116.8,275.5,206.9,294.5,291.6,252.2,156.7,97.3,137.4,101.7,282.6,88.5,109.6,143.2,19.6,173.4,162.8,101.0,247.4,224.0,93.2,218.5,107.3,162.1,158.8,122.2,74.9,261.7,1567.9,247.8,324.3,193.2,98.9,97.1,337.8,310.5,170.7,333.2,215.5,252.3,72.1,0.0,223.7,105.5,94.6,136.2,184.6,234.4,231.2,47.5,314.1,70.7,166.1,288.4,168.5,115.6,129.3,107.3,280.7
UT,205.0,137.3,18.7,320.8,300.6,356.1,304.7,151.8,312.3,160.2,78.2,368.8,329.7,312.0,272.9,119.7,118.1,25.8,137.1,130.5,412.9,170.6,324.6,251.4,329.0,99.9,315.8,174.7,291.7,326.8,312.1,67.8,128.0,396.5,39.8,237.0,43.1,251.6,329.2,194.2,344.0,313.8,417.2,1588.3,99.5,168.4,143.9,340.8,256.6,176.7,140.2,337.8,380.9,371.0,413.0,215.9,268.4,0.0,170.6,321.9,142.0,23.3,378.3,391.9,301.0,160.4,298.0,185.3,130.2,317.6,204.1,260.4,334.6,441.4
UV,29.1,285.4,161.3,210.8,158.8,214.3,223.1,303.8,202.3,84.7,99.7,227.0,191.0,170.2,202.7,65.3,270.1,171.1,289.1,242.9,335.4,75.2,182.8,141.4,187.2,257.2,174.0,4.0,182.3,185.0,175.4,111.3,49.5,286.5,191.6,95.2,182.7,109.8,247.6,60.3,202.2,177.2,344.9,1478.3,244.8,275.6,100.5,199.0,120.0,281.0,261.8,256.2,270.9,298.7,335.5,74.1,231.9,182.7,0.0,180.1,76.6,154.6,273.5,314.4,159.2,300.4,156.2,60.5,282.2,207.6,17.9,149.5,192.8,363.9
VI,241.3,342.6,248.9,99.4,78.0,72.0,65.3,352.0,90.9,275.6,236.5,113.1,77.1,56.3,44.9,202.1,327.3,258.7,346.3,343.4,184.7,242.0,25.0,65.1,29.4,326.7,5.3,194.9,70.3,71.4,164.4,248.1,186.3,175.1,277.9,103.7,276.0,78.9,89.8,251.2,22.1,63.3,194.2,1495.6,299.6,376.1,278.5,105.1,68.7,389.6,353.1,98.4,264.8,148.0,184.8,123.9,51.7,275.5,190.8,0.0,213.4,242.2,162.1,163.7,65.3,365.7,30.0,251.4,339.4,96.2,200.9,57.0,12.6,213.2
VN,48.4,256.6,130.1,236.0,184.0,239.5,248.3,266.0,227.5,103.5,68.5,252.2,216.2,195.4,227.9,34.1,241.3,139.9,260.3,257.4,360.6,28.6,208.0,166.6,212.4,234.2,199.2,63.3,206.9,210.2,200.6,80.1,16.6,311.7,160.4,120.4,151.5,135.0,272.8,79.1,227.4,202.4,370.1,1503.5,213.6,290.1,110.5,224.2,145.2,303.6,267.1,281.4,296.1,323.9,360.7,99.3,257.1,151.5,59.2,205.3,0.0,123.4,298.7,339.6,184.4,279.7,181.4,43.2,253.4,232.8,69.3,174.8,218.0,389.1
VV,161.8,133.1,6.7,320.2,272.0,327.5,336.3,142.5,311.7,131.6,51.6,340.2,301.1,283.4,268.9,91.1,117.8,16.4,136.8,133.9,443.5,142.0,296.0,250.8,300.4,111.0,287.2,151.3,291.7,298.2,283.5,44.4,104.6,395.9,35.6,208.4,33.7,223.0,360.8,165.6,315.4,290.4,453.0,1515.7,90.1,166.6,115.3,326.1,233.2,180.1,143.6,369.4,390.1,406.8,443.6,187.3,345.1,33.2,147.2,293.3,113.4,0.0,382.9,422.5,272.4,156.2,269.4,156.7,129.9,317.0,157.3,258.9,306.0,472.0
WP,369.1,470.8,377.1,73.8,205.8,200.2,160.0,480.2,82.3,396.8,364.3,203.6,164.1,184.1,121.6,329.9,455.5,386.9,474.5,471.6,210.8,369.8,135.5,141.8,132.0,454.9,164.0,322.7,102.9,199.6,227.6,375.9,314.1,43.3,406.1,231.5,404.2,206.7,143.4,379.0,192.2,178.2,220.3,1572.3,427.8,504.3,396.8,232.9,196.5,517.8,481.3,178.7,179.1,174.1,210.9,251.9,179.9,403.7,318.6,170.1,341.2,370.4,0.0,189.8,193.1,493.9,157.8,379.2,467.6,77.0,328.7,133.7,182.8,262.1
WR,355.8,470.6,412.6,98.5,210.3,200.0,129.5,480.0,88.1,390.1,351.0,185.4,145.9,167.3,121.4,316.6,455.3,422.4,474.3,471.4,77.6,356.5,140.0,141.6,136.5,516.7,161.4,309.4,102.1,211.6,209.4,362.6,300.8,174.2,439.5,218.2,434.0,211.2,72.5,358.6,195.1,158.7,30.5,1420.4,427.6,504.1,378.6,239.5,201.0,517.6,490.3,107.8,112.1,40.9,87.2,238.6,179.7,439.2,305.3,167.5,336.0,400.1,161.2,0.0,185.8,493.9,162.3,365.9,468.2,95.3,315.4,133.5,180.2,99.6
WU,222.1,325.6,231.9,124.1,58.8,55.0,90.0,335.0,113.7,256.4,217.3,75.9,39.9,19.1,72.6,182.9,310.3,241.7,329.3,326.4,204.6,222.8,49.7,89.8,54.1,309.7,40.9,175.7,95.6,25.7,145.2,228.9,167.1,199.8,258.8,84.5,253.3,59.7,114.5,224.9,74.6,27.3,214.1,1520.3,282.6,359.1,259.3,53.6,49.5,372.6,345.3,123.1,285.6,167.9,204.7,104.9,98.8,258.5,171.6,47.0,202.3,219.4,186.8,183.6,0.0,348.9,23.1,232.2,323.2,120.9,181.7,81.7,59.7,233.1
WW,322.9,23.1,153.3,405.8,371.8,373.7,389.7,4.7,397.3,294.8,213.4,432.8,393.3,383.2,354.5,254.3,38.4,141.3,19.4,87.7,497.9,305.2,395.8,336.4,381.7,133.0,387.0,297.8,376.7,398.0,375.7,207.6,267.8,481.5,120.8,308.2,129.7,322.8,414.2,328.8,368.4,390.2,507.4,1607.8,76.5,77.0,278.5,425.9,333.0,63.5,97.4,422.8,489.6,461.2,498.0,287.1,353.4,152.0,293.7,393.1,276.6,163.1,468.5,476.9,372.2,0.0,369.2,319.9,26.2,402.6,311.5,344.5,405.8,526.4
XA,210.0,393.3,266.8,99.7,46.7,89.1,65.6,402.7,89.3,244.3,205.2,81.8,45.8,25.0,48.2,170.8,378.0,276.6,397.0,394.1,185.0,210.7,25.3,65.4,29.7,370.9,16.5,163.6,71.2,59.8,133.1,216.8,155.0,175.4,293.7,72.4,288.2,47.6,90.1,212.8,50.2,33.2,194.5,1495.9,350.3,426.8,247.2,87.7,37.4,440.3,413.0,98.7,266.0,148.3,185.1,92.8,74.4,293.4,159.5,22.6,190.2,254.3,162.4,164.0,34.0,416.6,0.0,220.1,390.9,96.5,169.6,57.3,35.3,213.5
XR,5.1,299.9,173.4,279.3,227.3,282.8,291.6,309.3,270.8,60.2,111.8,295.5,259.5,238.7,228.0,77.4,284.6,183.2,303.6,259.6,403.9,14.6,251.3,209.9,255.7,273.9,242.5,77.6,250.2,253.5,243.9,123.4,59.9,355.0,202.4,163.7,194.8,178.3,316.1,35.8,270.7,245.7,413.4,1546.8,256.9,292.3,76.0,281.4,188.5,297.7,269.3,324.7,362.2,367.2,404.0,142.6,300.4,200.0,81.7,248.6,43.2,166.7,342.0,382.9,227.7,317.1,224.7,0.0,296.7,276.1,67.6,218.0,261.3,432.4
XY,314.1,2.3,127.8,406.1,409.7,374.8,390.0,13.6,397.6,268.5,187.3,477.9,438.8,421.1,354.8,228.8,12.9,115.8,6.0,62.2,498.2,278.9,433.7,337.5,438.1,35.5,424.9,288.2,377.0,435.9,420.4,182.1,242.3,481.8,96.6,345.3,98.5,360.7,415.3,303.3,452.3,427.3,508.5,1674.4,51.0,94.1,253.0,449.9,370.9,89.0,71.9,423.9,467.0,461.5,498.3,325.0,354.5,126.5,284.9,430.2,250.3,136.8,468.8,478.0,410.1,26.2,407.1,293.6,0.0,403.7,313.2,345.7,443.7,527.5
YC,292.0,393.7,300.0,3.2,128.7,123.1,82.9,403.1,7.1,319.7,287.2,126.5,87.0,107.0,44.5,252.8,378.4,309.8,397.4,394.5,133.7,292.7,58.4,64.7,54.9,385.8,86.9,245.6,25.2,122.5,150.5,298.8,237.0,78.8,326.9,154.4,321.4,129.6,66.3,294.8,113.0,99.8,143.2,1495.2,350.7,427.2,319.7,169.7,119.4,440.7,413.4,101.6,164.3,97.0,133.8,174.8,102.8,326.6,241.5,93.0,272.2,287.5,65.8,112.7,116.0,417.0,80.7,302.1,391.3,0.0,251.6,56.6,105.7,162.2
YN,32.4,267.6,179.1,224.9,176.6,224.4,263.9,285.8,220.3,66.7,120.4,244.8,208.8,188.0,200.3,106.1,256.0,188.9,271.3,228.8,353.2,65.1,200.6,159.2,205.0,248.2,192.0,36.6,192.4,202.8,193.4,129.1,59.6,327.3,209.6,109.3,201.6,127.6,265.4,32.0,220.2,195.0,355.0,1496.1,240.9,257.8,82.7,230.7,160.8,266.9,244.0,274.0,311.7,339.5,353.3,91.9,249.7,196.8,17.9,194.2,75.5,164.7,291.3,332.2,177.0,282.4,174.0,32.2,272.9,225.4,0.0,167.4,210.6,381.7
YU,202.2,337.0,243.3,61.1,110.8,66.4,45.0,348.3,52.7,263.0,197.4,145.9,109.9,89.1,13.3,163.0,321.7,253.1,340.7,337.8,152.4,202.9,40.5,8.0,37.0,321.1,69.0,155.8,32.7,65.8,190.0,209.0,147.2,136.9,272.3,139.4,264.7,111.7,69.5,212.1,61.1,96.2,161.9,1438.5,294.0,370.5,278.8,145.1,101.6,384.0,347.5,78.1,233.4,115.7,152.5,118.3,46.1,264.7,151.7,80.1,174.3,236.6,123.8,132.2,93.7,360.1,62.8,212.3,334.6,57.9,161.8,0.0,69.2,181.7
YZ,195.1,329.9,236.2,110.3,88.9,59.3,76.2,339.3,99.9,229.4,190.3,124.0,88.0,67.2,58.8,155.9,314.6,246.0,333.6,330.7,195.6,195.8,35.9,76.0,40.3,321.7,16.2,148.7,81.8,58.7,175.3,201.9,140.1,186.0,263.1,114.6,257.6,89.8,100.7,197.9,14.9,75.4,205.1,1506.5,286.9,363.4,232.3,129.9,79.6,376.9,349.6,109.3,276.6,158.9,195.7,111.2,39.0,262.8,144.6,10.9,175.3,223.7,173.0,174.6,76.2,353.2,40.9,205.2,327.5,107.1,154.7,67.9,0.0,224.1
ZN,397.6,512.4,454.4,140.3,252.1,241.8,171.3,521.8,129.9,431.9,392.8,227.2,187.7,209.1,163.2,358.4,497.1,464.2,516.1,513.2,104.9,398.3,181.8,183.4,178.3,558.5,203.2,351.2,143.9,253.4,251.2,404.4,342.6,216.0,481.3,260.0,475.8,253.0,114.3,400.4,236.9,200.5,72.8,1475.9,469.4,545.9,420.4,281.3,242.8,559.4,532.1,149.6,110.8,112.2,30.2,280.4,221.5,481.0,347.1,209.3,377.8,441.9,203.0,103.3,227.6,535.7,204.1,407.7,510.0,137.1,357.2,175.3,222.0,0.0
