from_stop,AE,AG,AS,AU,BC,BE,BI,CD,CE,CF,CH,CI,CK,CO,CP,CQ,CZ,DC,DQ,DX,ED,EH,ET,FC,FE,FF,FH,FN,FS,FX,GI,GV,GW,HA,HB,HD,HP,HX,HZ,IE,IG,IR,IV,IX,JA,JF,JI,JK,JQ,KH,KN,KY,KZ,LC,LE,LH,LJ,LQ,LV,LW,MH,MQ,NB,NI,NJ,NQ,NV,NX,OJ,OP,OU,PC,PO,PP,PQ,PY,QE,QI,QL,QQ,QS,QW,RH,RU,RW,RZ,SI,SL,SO,ST,SW,TC,TO,TP,TQ,TS,TW,UI,UO,UY,UZ,WE,WM,WP,WS,WZ,XQ,XW,YB,YT,YU,YY,YZ,ZC,ZF,ZS,ZT,ZU,ZY
JI,193.2,691.6,626.9,596.9,575.3,775.6,216.8,593.1,628.0,417.7,651.7,598.9,679.7,238.4,534.9,601.4,320.5,595.1,733.0,746.6,602.6,622.2,475.5,698.9,606.7,635.3,2871.1,699.7,504.6,649.9,644.3,578.2,680.8,597.6,318.6,490.1,152.1,292.4,593.4,680.9,624.8,258.1,414.6,522.4,658.4,177.2,0.0,624.4,627.9,589.8,740.1,634.6,644.0,660.4,656.2,586.3,708.5,565.9,565.2,586.9,700.3,697.9,521.9,755.3,626.6,140.6,489.5,627.8,281.4,745.4,410.5,533.9,653.4,639.2,403.6,452.0,598.9,472.5,540.9,376.6,648.8,478.8,645.8,387.3,743.8,629.1,339.2,626.1,656.5,657.6,551.2,645.9,643.4,498.3,618.2,376.4,163.6,104.0,726.6,784.1,604.6,579.1,642.0,399.4,622.7,465.0,561.0,607.5,284.7,598.9,380.0,591.2,505.9,614.6,654.3,162.1,631.9,687.0,689.4
JK,603.6,558.9,279.4,69.1,544.3,249.3,579.4,209.5,244.4,220.6,620.7,33.9,132.7,684.4,613.5,235.9,743.5,175.1,206.7,199.6,701.6,215.6,548.0,777.5,685.3,502.6,2690.2,152.7,194.1,173.2,296.8,220.6,133.8,293.4,676.9,459.1,625.7,766.0,513.2,759.5,266.3,731.7,637.7,664.3,273.7,650.8,622.6,0.0,221.2,688.8,818.7,243.5,722.6,629.4,523.5,242.2,575.8,182.3,581.4,282.7,370.2,571.5,490.9,208.3,254.7,614.2,380.2,202.7,755.0,306.0,229.3,502.9,214.0,232.6,648.3,342.7,33.9,266.2,576.1,621.3,727.4,272.5,189.1,278.0,196.8,75.4,724.8,106.6,249.8,200.9,167.6,184.6,458.7,599.3,82.5,599.5,637.2,577.6,226.1,237.1,257.1,678.1,95.0,346.3,562.5,596.7,660.0,60.5,758.3,33.9,684.0,136.8,606.9,237.6,521.6,635.7,453.0,247.6,556.7
JQ,580.6,607.9,94.6,253.8,593.3,275.9,556.4,24.7,404.5,283.3,669.7,216.8,202.6,661.4,662.5,377.9,720.5,216.4,233.3,226.2,750.6,50.7,597.0,826.5,734.3,551.6,2739.2,153.0,281.1,90.6,112.0,72.7,178.0,151.8,653.9,508.1,602.7,743.0,562.2,808.5,118.4,708.7,614.7,713.3,108.8,627.8,599.6,262.3,0.0,737.8,867.7,58.7,771.6,678.4,572.5,362.8,624.8,342.4,630.4,141.1,419.2,620.5,539.9,234.9,106.8,591.2,357.2,61.1,732.0,236.8,278.2,551.9,144.8,67.7,625.3,319.7,216.8,249.0,625.1,598.3,776.4,255.3,96.1,255.0,223.4,286.0,701.8,213.2,28.5,107.9,327.7,79.2,507.7,648.3,275.1,576.5,614.2,554.6,252.7,263.7,72.3,727.1,212.5,323.3,611.5,665.1,709.0,225.4,735.3,216.8,661.0,233.3,655.9,53.7,570.6,612.7,496.2,178.4,605.7
KH,411.8,461.0,760.4,632.7,344.7,832.1,387.6,792.3,663.8,522.5,421.1,634.7,715.5,418.6,162.8,637.2,477.7,630.9,789.5,782.4,12.7,798.4,259.5,293.9,201.7,404.7,2937.0,735.5,540.4,756.0,777.8,711.7,716.6,731.1,411.1,259.5,466.0,507.9,491.9,275.9,758.3,542.7,336.3,410.9,856.5,537.8,658.8,660.2,804.0,0.0,335.1,826.3,239.0,429.8,425.6,622.1,477.9,601.7,374.3,720.4,469.7,491.6,291.3,791.1,760.1,478.2,662.7,785.5,518.0,888.8,529.8,303.3,796.8,815.4,382.5,625.2,634.7,612.5,429.4,355.5,243.8,618.8,771.9,560.5,779.6,664.9,459.0,661.9,832.6,783.7,587.0,767.4,412.8,310.8,654.0,353.7,583.2,514.8,808.9,819.9,738.1,54.4,677.8,628.8,431.8,145.6,28.1,643.3,578.4,634.7,418.2,627.0,318.4,821.3,423.7,457.0,401.3,830.4,458.8
KN,524.5,566.4,865.8,738.1,450.1,937.5,500.3,897.7,769.2,627.9,526.5,740.1,820.9,531.3,191.9,742.6,590.4,736.3,894.9,887.8,341.6,903.8,364.9,125.4,165.0,510.1,3042.4,840.9,645.8,861.4,883.2,817.1,822.0,836.5,523.8,364.9,578.7,620.6,597.3,145.2,863.7,655.4,449.0,516.3,961.9,650.5,771.5,765.6,909.4,356.2,0.0,931.7,83.2,535.2,531.0,727.5,583.3,707.1,479.7,825.8,575.1,597.0,396.7,896.5,865.5,590.9,768.1,890.9,630.7,994.2,635.2,408.7,902.2,920.8,495.2,730.6,740.1,717.9,534.8,468.2,194.3,724.2,877.3,665.9,885.0,770.3,571.7,767.3,938.0,889.1,692.4,872.8,518.2,416.2,759.4,466.4,695.9,627.5,914.3,925.3,843.5,288.7,783.2,734.2,537.2,271.4,334.7,748.7,691.1,740.1,530.9,732.4,423.8,926.7,529.1,569.7,506.7,935.8,564.2
KY,582.1,609.4,96.1,270.9,594.8,293.0,557.9,38.7,406.0,284.8,671.2,233.9,219.7,662.9,664.0,379.4,722.0,217.9,250.4,243.3,752.1,67.8,598.5,828.0,735.8,553.1,2740.7,170.1,282.6,107.7,113.5,89.8,195.1,168.9,655.4,509.6,604.2,744.5,563.7,810.0,135.5,710.2,616.2,714.8,125.9,629.3,601.1,279.4,73.5,739.3,869.2,0.0,773.1,679.9,574.0,364.3,626.3,343.9,631.9,158.2,420.7,622.0,541.4,252.0,123.9,592.7,358.7,78.2,733.5,253.9,279.7,553.4,161.9,84.8,626.8,321.2,233.9,250.5,626.6,599.8,777.9,256.8,113.2,256.5,240.5,303.1,703.3,230.3,102.1,125.0,329.2,96.3,509.2,649.8,292.2,578.0,615.7,556.1,269.8,280.8,73.8,728.6,229.6,324.8,613.0,666.6,710.5,242.5,736.8,233.9,662.5,234.8,657.4,55.2,572.1,614.2,497.7,195.5,607.2
KZ,441.2,483.1,782.5,654.8,366.8,854.2,417.0,814.4,685.9,544.6,443.2,656.8,737.6,448.0,108.6,659.3,507.1,653.0,811.6,804.5,258.3,820.5,281.6,82.1,81.7,426.8,2959.1,757.6,562.5,778.1,799.9,733.8,738.7,753.2,440.5,281.6,495.4,537.3,514.0,64.1,780.4,572.1,365.7,433.0,878.6,567.2,688.2,682.3,826.1,272.9,96.0,848.4,0.0,451.9,447.7,644.2,500.0,623.8,396.4,742.5,491.8,513.7,313.4,813.2,782.2,507.6,684.8,807.6,547.4,910.9,551.9,325.4,818.9,837.5,411.9,647.3,656.8,634.6,451.5,384.9,111.0,640.9,794.0,582.6,801.7,687.0,488.4,684.0,854.7,805.8,609.1,789.5,434.9,332.9,676.1,383.1,612.6,544.2,831.0,842.0,760.2,205.4,699.9,650.9,453.9,188.1,251.4,665.4,607.8,656.8,447.6,649.1,340.5,843.4,445.8,486.4,423.4,852.5,480.9
LC,437.3,410.3,709.7,582.0,79.7,781.4,413.1,741.6,613.1,471.8,7.3,584.0,664.8,444.1,343.2,586.5,503.2,580.2,738.8,731.7,431.3,747.7,277.7,507.2,415.0,354.0,2886.3,684.8,489.7,705.3,727.1,661.0,665.9,680.4,436.6,160.9,491.5,533.4,382.6,489.2,707.6,568.2,361.8,429.1,805.8,563.3,684.3,609.5,753.3,418.5,548.4,775.6,452.3,0.0,374.9,571.4,427.2,551.0,392.5,669.7,419.0,440.9,129.9,740.4,709.4,503.7,612.0,734.8,543.5,838.1,479.1,118.8,746.1,764.7,408.0,574.5,584.0,561.8,447.6,381.0,457.1,568.1,721.2,509.8,728.9,614.2,484.5,611.2,781.9,733.0,536.3,716.7,362.1,329.0,603.3,379.2,608.7,540.3,758.2,769.2,687.4,407.8,627.1,578.1,450.0,326.4,389.7,592.6,603.9,584.0,443.7,576.3,336.6,770.6,373.0,482.5,350.6,779.7,408.1
LE,439.7,90.6,615.2,487.5,276.4,686.9,415.5,647.1,518.6,377.3,352.8,489.5,570.3,446.5,345.6,492.0,505.6,485.7,644.3,637.2,433.7,653.2,280.1,509.6,417.4,88.3,2740.5,590.3,395.2,610.8,632.6,566.5,571.4,585.9,439.0,191.2,493.9,535.8,263.3,491.6,613.1,570.6,364.2,431.5,711.3,565.7,686.7,515.0,658.8,420.9,550.8,681.1,454.7,361.5,0.0,476.9,107.5,456.5,331.5,575.2,280.5,310.9,223.0,645.9,614.9,506.1,517.5,640.3,545.9,743.6,384.6,235.0,651.6,670.2,410.4,480.0,489.5,467.3,326.2,383.4,459.5,473.6,626.7,415.3,634.4,519.7,486.9,516.7,687.4,638.5,441.8,622.2,267.6,331.4,508.8,381.6,611.1,542.7,663.7,674.7,592.9,410.2,532.6,483.6,312.6,328.8,392.1,498.1,606.3,489.5,446.1,481.8,339.0,676.1,53.3,484.9,256.1,685.2,88.4
LH,539.0,494.3,434.9,205.4,479.7,404.8,514.8,365.0,109.3,157.4,556.1,207.4,288.2,619.8,548.9,15.0,678.9,203.6,362.2,355.1,637.0,371.1,483.4,712.9,620.7,438.0,2625.6,308.2,129.5,328.7,452.3,376.1,289.3,448.9,612.3,394.5,561.1,701.4,448.6,694.9,421.8,667.1,573.1,599.7,429.2,586.2,558.0,232.9,376.7,624.2,754.1,399.0,658.0,564.8,458.9,0.0,511.2,53.3,516.8,438.2,305.6,506.9,426.3,363.8,410.2,549.6,315.6,358.2,690.4,461.5,164.7,438.3,369.5,388.1,583.7,278.1,207.4,201.6,511.5,556.7,662.8,207.9,344.6,213.4,352.3,237.6,660.2,234.6,405.3,356.4,68.1,340.1,394.1,534.7,226.7,534.9,572.6,513.0,381.6,392.6,412.6,613.5,250.5,281.7,497.9,532.1,595.4,216.0,693.7,207.4,619.4,199.7,542.3,394.0,457.0,571.1,382.6,403.1,492.1
LJ,491.0,68.8,666.5,538.8,327.7,738.2,466.8,698.4,569.9,428.6,404.1,540.8,621.6,497.8,396.9,543.3,556.9,537.0,695.6,688.5,485.0,704.5,331.4,560.9,468.7,139.6,2817.9,641.6,446.5,662.1,683.9,617.8,622.7,637.2,490.3,242.5,545.2,587.1,314.6,542.9,664.4,621.9,415.5,482.8,762.6,617.0,738.0,566.3,710.1,472.2,602.1,732.4,506.0,412.8,86.5,528.2,0.0,507.8,382.8,626.5,367.1,362.2,274.3,697.2,666.2,557.4,568.8,691.6,597.2,794.9,435.9,286.3,702.9,721.5,461.7,531.3,540.8,518.6,377.5,434.7,510.8,524.9,678.0,466.6,685.7,571.0,538.2,568.0,738.7,689.8,493.1,673.5,318.9,382.7,560.1,432.9,662.4,594.0,715.0,726.0,644.2,461.5,583.9,534.9,363.9,380.1,443.4,549.4,657.6,540.8,497.4,533.1,390.3,727.4,39.7,536.2,307.4,736.5,9.3
LQ,522.3,477.6,381.5,152.0,463.0,351.4,498.1,311.6,62.0,140.7,539.4,154.0,234.8,603.1,532.2,53.5,662.2,150.2,308.8,301.7,620.3,317.7,466.7,696.2,604.0,421.3,2608.9,254.8,112.8,275.3,398.9,322.7,235.9,395.5,595.6,377.8,544.4,684.7,431.9,678.2,368.4,650.4,556.4,583.0,375.8,569.5,541.3,179.5,323.3,607.5,737.4,345.6,641.3,548.1,442.2,62.7,494.5,0.0,500.1,384.8,288.9,490.2,409.6,310.4,356.8,532.9,298.9,304.8,673.7,408.1,148.0,421.6,316.1,334.7,567.0,261.4,154.0,184.9,494.8,540.0,646.1,191.2,291.2,196.7,298.9,184.2,643.5,181.2,351.9,303.0,14.7,286.7,377.4,518.0,173.3,518.2,555.9,496.3,328.2,339.2,359.2,596.8,197.1,265.0,481.2,515.4,578.7,162.6,677.0,154.0,602.7,146.3,525.6,340.6,440.3,554.4,365.9,349.7,475.4
LV,386.0,401.2,682.6,554.9,361.8,754.3,361.8,714.5,586.0,444.7,438.2,556.9,637.7,392.8,306.5,559.4,451.9,553.1,711.7,704.6,394.6,720.6,176.9,470.5,378.3,344.9,2746.4,657.7,462.6,678.2,700.0,633.9,638.8,653.3,385.3,276.6,440.2,410.2,168.6,452.5,680.5,375.9,310.5,189.6,778.7,512.0,605.0,582.4,726.2,381.8,511.7,748.5,415.6,446.9,365.8,544.3,418.1,523.9,0.0,642.6,391.9,327.6,308.4,713.3,682.3,452.4,584.9,707.7,399.2,811.0,452.0,320.4,719.0,737.6,356.7,547.4,556.9,534.7,208.1,329.7,420.4,541.0,694.1,482.7,701.8,587.1,433.2,584.1,754.8,705.9,509.2,689.6,335.0,106.1,576.2,327.9,508.1,489.0,731.1,742.1,660.3,371.1,600.0,551.0,98.5,282.9,353.0,565.5,512.2,556.9,392.4,549.2,113.7,743.5,363.9,431.2,323.5,752.6,399.0
LW,585.5,612.8,196.1,283.0,598.2,305.1,561.3,126.2,409.4,286.8,674.6,246.0,231.8,666.3,667.4,382.8,725.4,229.1,262.5,255.4,755.5,132.3,601.9,831.4,739.2,556.5,2744.1,182.2,286.0,144.8,213.5,73.1,207.2,9.3,658.8,513.0,607.6,747.9,567.1,813.4,63.8,713.6,619.6,718.2,153.3,632.7,604.5,291.5,137.9,742.7,872.6,160.2,776.5,683.3,577.4,367.7,629.7,347.3,635.3,0.0,424.1,625.4,544.8,264.1,121.5,596.1,362.1,122.7,736.9,199.8,283.1,556.8,107.8,149.3,630.2,324.6,246.0,253.9,630.0,603.2,781.3,260.2,140.7,259.9,252.6,315.2,706.7,242.4,166.5,152.5,332.6,140.8,512.6,653.2,304.3,581.4,619.1,559.5,281.9,292.9,173.8,732.0,241.7,328.2,616.4,670.0,713.9,254.6,740.2,246.0,665.9,267.6,660.8,154.3,575.5,617.6,506.9,141.4,610.6
MH,425.9,277.2,542.6,414.9,262.6,614.3,401.7,574.5,446.0,304.7,339.0,416.9,497.7,432.7,331.8,419.4,491.8,413.1,571.7,564.6,419.9,580.6,266.3,495.8,403.6,220.9,2734.8,517.7,322.6,538.2,560.0,493.9,498.8,513.3,425.2,177.4,480.1,522.0,231.5,477.8,540.5,556.8,350.4,382.6,638.7,551.9,687.3,442.4,586.2,407.1,537.0,608.5,440.9,347.7,241.8,404.3,294.1,383.9,299.7,502.6,0.0,289.8,209.2,573.3,542.3,492.3,444.9,567.7,532.1,671.0,312.0,221.2,579.0,597.6,396.6,407.4,416.9,394.7,294.4,369.6,445.7,401.0,554.1,342.7,561.8,447.1,473.1,444.1,614.8,565.9,369.2,549.6,177.0,317.6,436.2,367.8,597.3,528.9,591.1,602.1,520.3,396.4,460.0,411.0,280.8,315.0,378.3,425.5,592.5,416.9,432.3,409.2,325.2,603.5,239.9,471.1,165.5,612.6,275.0
MQ,648.5,465.8,806.0,678.3,485.2,877.7,624.3,837.9,709.4,566.7,561.6,680.3,761.1,655.3,554.4,682.8,714.4,676.5,835.1,828.0,642.5,844.0,488.9,718.4,626.2,409.6,2876.0,781.1,586.0,801.6,823.4,757.3,762.2,776.7,647.8,400.0,702.7,744.6,372.7,700.4,803.9,661.7,573.0,523.8,902.1,774.5,895.5,705.8,849.6,629.7,759.6,871.9,663.5,570.3,430.4,667.7,482.7,647.3,440.9,766.0,515.3,0.0,431.8,836.7,805.7,714.9,708.3,831.1,685.0,934.4,575.4,443.8,842.4,861.0,619.2,670.8,680.3,658.1,435.6,592.2,668.3,664.4,817.5,606.1,825.2,710.5,695.7,707.5,878.2,829.3,632.6,813.0,458.4,540.2,699.6,590.4,819.9,751.5,854.5,865.5,783.7,619.0,723.4,674.4,422.0,537.6,600.9,688.9,815.1,680.3,654.9,672.6,547.8,866.9,428.5,693.7,452.7,876.0,463.6
NB,307.3,280.3,579.7,452.0,53.3,651.4,283.1,611.6,483.1,341.8,129.7,454.0,534.8,314.1,213.2,456.5,373.2,450.2,608.8,601.7,301.3,617.7,147.7,377.2,285.0,224.0,2756.3,554.8,359.7,575.3,597.1,531.0,535.9,550.4,306.6,30.9,361.5,403.4,252.6,359.2,577.6,438.2,231.8,299.1,675.8,433.3,554.3,479.5,623.3,288.5,418.4,645.6,322.3,138.4,244.9,441.4,297.2,421.0,262.5,539.7,289.0,310.9,0.0,610.4,579.4,373.7,482.0,604.8,413.5,708.1,349.1,11.9,616.1,634.7,278.0,444.5,454.0,431.8,317.6,251.0,327.1,438.1,591.2,379.8,598.9,484.2,354.5,481.2,651.9,603.0,406.3,586.7,232.1,199.0,473.3,249.2,478.7,410.3,628.2,639.2,557.4,277.8,497.1,448.1,320.0,196.4,259.7,462.6,473.9,454.0,313.7,446.3,206.6,640.6,243.0,352.5,220.6,649.7,278.1
NI,719.5,674.8,277.0,204.8,660.2,145.6,695.3,207.1,360.3,336.5,736.6,167.8,153.6,800.3,729.4,351.8,859.4,291.0,103.0,8.6,817.5,213.2,663.9,893.4,801.2,618.5,2806.1,175.7,310.0,170.8,296.2,218.2,179.7,291.0,792.8,575.0,741.6,881.9,629.1,875.4,263.9,847.6,753.6,780.2,271.3,766.7,738.5,213.3,218.8,804.7,934.6,241.1,838.5,745.3,639.4,358.1,691.7,298.2,697.3,280.3,486.1,687.4,606.8,0.0,252.3,730.1,496.1,200.3,870.9,303.6,345.2,618.8,211.6,230.2,764.2,458.6,167.8,382.7,692.0,737.2,843.3,388.4,186.7,393.9,41.7,237.0,840.7,164.2,247.4,198.5,283.5,182.2,574.6,715.2,226.1,715.4,753.1,693.5,122.4,28.7,254.7,794.0,163.5,462.2,678.4,712.6,775.9,176.4,874.2,167.8,799.9,252.7,722.8,235.2,637.5,751.6,568.9,245.2,672.6
NJ,603.5,630.8,180.1,282.4,616.2,304.5,579.3,110.2,427.4,306.2,692.6,245.4,231.2,684.3,685.4,400.8,743.4,247.1,261.9,254.8,773.5,81.9,619.9,849.4,757.2,574.5,2762.1,181.6,304.0,128.8,197.5,51.4,206.6,130.5,676.8,531.0,625.6,765.9,585.1,831.4,103.7,731.6,637.6,736.2,97.5,650.7,622.5,290.9,121.9,760.7,890.6,144.2,794.5,701.3,595.4,385.7,647.7,365.3,653.3,119.8,442.1,643.4,562.8,263.5,0.0,614.1,380.1,106.7,754.9,265.4,301.1,574.8,173.4,108.8,648.2,342.6,245.4,271.9,648.0,621.2,799.3,278.2,124.7,277.9,252.0,314.6,724.7,241.8,150.5,136.5,350.6,124.8,530.6,671.2,303.7,599.4,637.1,577.5,281.3,292.3,157.8,750.0,241.1,346.2,634.4,688.0,731.9,254.0,758.2,245.4,683.9,285.6,678.8,139.2,593.5,635.6,519.1,207.0,628.6
NQ,52.5,550.9,638.4,608.4,434.6,787.1,76.1,604.6,639.5,429.2,511.0,610.4,691.2,97.7,394.2,612.9,282.6,606.6,744.5,758.1,461.9,633.7,334.8,558.2,466.0,494.6,2833.2,711.2,516.1,661.4,655.8,589.7,692.3,609.1,177.9,349.4,11.4,254.5,555.5,540.2,636.3,220.2,273.9,484.5,669.9,130.3,180.5,635.9,639.4,449.1,599.4,646.1,503.3,519.7,515.5,597.8,567.8,577.4,449.6,598.4,559.6,581.5,381.2,766.8,638.1,0.0,501.0,639.3,243.5,756.9,422.0,393.2,664.9,650.7,262.9,463.5,610.4,484.0,503.0,235.9,508.1,490.3,657.3,398.8,755.3,640.6,301.3,637.6,668.0,669.1,562.7,657.4,502.7,386.1,629.7,235.7,125.7,36.5,738.1,795.6,616.1,438.4,653.5,410.9,507.1,324.3,420.3,619.0,246.8,610.4,298.6,602.7,393.7,626.1,513.6,21.4,491.2,698.5,548.7
NV,339.8,544.6,340.1,310.1,534.6,488.8,315.6,306.3,341.2,130.9,611.0,312.1,392.9,420.6,494.2,314.6,479.7,308.3,446.2,459.8,561.9,335.4,434.8,658.2,566.0,488.3,2675.9,412.9,217.8,363.1,357.5,291.4,394.0,310.8,413.1,449.4,361.9,502.2,498.9,640.2,338.0,467.9,373.9,586.2,371.6,387.0,358.8,337.6,341.1,549.1,699.4,347.8,603.3,619.7,509.2,299.5,561.5,279.1,549.6,300.1,355.9,557.2,481.2,468.5,339.8,350.4,0.0,341.0,491.2,458.6,123.7,493.2,366.6,352.4,384.5,165.2,312.1,185.7,604.7,357.5,608.1,192.0,359.0,100.5,457.0,342.3,461.0,339.3,369.7,370.8,264.4,359.1,444.4,486.1,331.4,335.7,373.4,313.8,439.8,497.3,317.8,538.4,355.2,53.9,607.1,424.3,520.3,320.7,494.5,312.1,420.2,304.4,493.7,327.8,507.3,371.9,432.9,400.2,542.4
NX,585.6,612.9,99.6,226.5,598.3,248.6,561.4,29.7,382.0,288.3,674.7,189.5,175.3,666.4,667.5,373.5,725.5,221.4,206.0,198.9,755.6,17.8,602.0,831.5,739.3,556.6,2744.2,125.7,286.1,29.5,117.0,57.8,150.7,136.9,658.9,513.1,607.7,748.0,567.2,813.5,103.5,713.7,619.7,718.3,75.9,632.8,604.6,235.0,41.4,742.8,872.7,63.7,776.6,683.4,577.5,367.8,629.8,319.9,635.4,126.2,424.2,625.5,544.9,207.6,91.7,596.2,362.2,0.0,737.0,209.5,283.2,556.9,117.5,34.8,630.3,324.7,189.5,254.0,630.1,603.3,781.4,260.3,50.8,260.0,196.1,258.7,706.8,185.9,70.0,62.6,305.2,18.1,512.7,653.3,247.8,581.5,619.2,559.6,225.4,236.4,77.3,732.1,185.2,328.3,616.5,670.1,714.0,198.1,740.3,189.5,666.0,238.3,660.9,58.7,575.6,617.7,501.2,151.1,610.7
OJ,344.3,601.4,804.8,752.9,485.1,952.3,320.1,771.0,784.0,642.7,561.5,754.9,835.7,281.7,444.7,757.4,40.1,751.1,909.7,902.6,512.4,800.1,396.8,608.7,516.5,545.1,2827.3,855.7,660.6,876.2,822.2,756.1,836.8,775.5,274.2,399.9,288.6,9.9,421.1,590.7,802.7,23.6,324.4,350.1,836.3,234.5,334.9,780.4,805.8,499.6,649.9,812.5,553.8,570.2,527.2,742.3,618.3,721.9,392.9,764.8,589.9,525.6,431.7,911.3,804.5,277.1,667.4,805.7,0.0,1009.0,650.0,443.7,917.0,817.1,135.3,629.9,754.9,732.7,368.6,162.7,558.6,739.0,892.1,565.2,899.8,785.1,58.8,782.1,834.4,903.9,707.2,887.6,533.0,326.0,774.2,268.2,176.9,240.5,929.1,940.1,782.5,488.9,798.0,577.3,450.4,374.8,470.8,763.5,111.9,754.9,99.6,747.2,333.6,792.5,564.1,298.6,521.5,950.6,599.2
OP,652.5,660.1,166.5,190.1,645.5,212.2,628.3,96.6,345.6,323.2,721.9,153.1,138.9,733.3,714.7,337.1,792.4,276.3,169.6,162.5,802.8,102.7,649.2,878.7,786.5,603.8,2791.4,89.3,295.3,60.3,183.9,107.7,114.3,139.3,725.8,560.3,674.6,814.9,614.4,860.7,120.4,780.6,686.6,765.5,160.8,699.7,671.5,198.6,108.3,790.0,919.9,130.6,823.8,730.6,624.7,343.4,677.0,283.5,682.6,128.6,471.4,672.7,592.1,171.2,141.8,663.1,429.1,89.8,803.9,0.0,330.5,604.1,59.9,119.7,697.2,391.6,153.1,320.9,677.3,670.2,828.6,327.2,76.2,326.9,159.7,222.3,773.7,149.5,136.9,88.0,268.8,71.7,559.9,700.5,211.4,648.4,686.1,626.5,189.0,200.0,144.2,779.3,148.8,395.2,663.7,697.9,761.2,161.7,807.2,153.1,732.9,238.0,708.1,125.6,622.8,684.6,548.4,93.5,657.9
OU,402.5,448.5,425.5,196.0,433.9,395.4,378.3,355.6,227.1,7.5,510.3,198.0,278.8,483.3,503.1,200.5,542.4,194.2,352.8,345.7,624.6,361.7,437.6,667.1,574.9,392.2,2579.8,298.8,103.7,319.3,442.9,366.7,279.9,312.4,475.8,348.7,424.6,564.9,402.8,649.1,412.4,530.6,436.6,553.9,419.8,449.7,421.5,223.5,367.3,611.8,708.3,389.6,612.2,519.0,413.1,185.4,465.4,165.0,471.0,301.7,259.8,461.1,380.5,354.4,400.8,413.1,103.3,348.8,553.9,452.1,0.0,392.5,360.1,378.7,447.2,65.8,198.0,176.4,465.7,420.2,617.0,182.1,335.2,112.2,342.9,228.2,523.7,225.2,395.9,347.0,150.3,330.7,348.3,488.9,217.3,398.4,436.1,376.5,372.2,383.2,403.2,601.1,241.1,145.2,452.1,487.0,583.0,206.6,557.2,198.0,482.9,190.3,496.5,384.6,411.2,434.6,336.8,393.7,446.3
PC,318.4,291.4,590.8,463.1,41.3,662.5,294.2,622.7,494.2,352.9,117.7,465.1,545.9,325.2,224.3,467.6,384.3,461.3,619.9,612.8,312.4,628.8,158.8,388.3,296.1,235.1,2767.4,565.9,370.8,586.4,608.2,542.1,547.0,561.5,317.7,42.0,372.6,414.5,263.7,370.3,588.7,449.3,242.9,310.2,686.9,444.4,565.4,490.6,634.4,299.6,429.5,656.7,333.4,126.4,256.0,452.5,308.3,432.1,273.6,550.8,300.1,322.0,11.0,621.5,590.5,384.8,493.1,615.9,424.6,719.2,360.2,0.0,627.2,645.8,289.1,455.6,465.1,442.9,328.7,262.1,338.2,449.2,602.3,390.9,610.0,495.3,365.6,492.3,663.0,614.1,417.4,597.8,243.2,210.1,484.4,260.3,489.8,421.4,639.3,650.3,568.5,288.9,508.2,459.2,331.1,207.5,270.8,473.7,485.0,465.1,324.8,457.4,217.7,651.7,254.1,363.6,231.7,660.8,289.2
PO,744.5,752.1,258.5,282.1,737.5,304.2,720.3,188.6,437.6,415.2,813.9,245.1,230.9,825.3,806.7,429.1,884.4,368.3,261.6,254.5,894.8,194.7,741.2,970.7,878.5,695.8,2883.4,181.3,387.3,152.3,275.9,199.7,206.3,231.3,817.8,652.3,766.6,906.9,706.4,952.7,212.4,872.6,778.6,857.5,252.8,791.7,763.5,290.6,200.3,882.0,1011.9,222.6,915.8,822.6,716.7,435.4,769.0,375.5,774.6,220.6,563.4,764.7,684.1,263.2,233.8,755.1,521.1,181.8,895.9,92.0,422.5,696.1,0.0,211.7,789.2,483.6,245.1,412.9,769.3,762.2,920.6,419.2,168.2,418.9,251.7,314.3,865.7,241.5,228.9,180.0,360.8,163.7,651.9,792.5,303.4,740.4,778.1,718.5,281.0,292.0,236.2,871.3,240.8,487.2,755.7,789.9,853.2,253.7,899.2,245.1,824.9,330.0,800.1,217.6,714.8,776.6,640.4,33.6,749.9
PP,628.0,655.3,142.0,261.3,640.7,283.4,603.8,72.1,416.8,330.7,717.1,224.3,210.1,708.8,709.9,408.3,767.9,263.8,240.8,233.7,798.0,15.3,644.4,873.9,781.7,599.0,2786.6,160.5,328.5,80.1,159.4,80.2,185.5,159.3,701.3,555.5,650.1,790.4,609.6,855.9,125.9,756.1,662.1,760.7,63.3,675.2,647.0,269.8,83.8,785.2,915.1,106.1,819.0,725.8,619.9,410.2,672.2,354.7,677.8,148.6,466.6,667.9,587.3,242.4,79.1,638.6,404.6,50.6,779.4,244.3,325.6,599.3,152.3,0.0,672.7,367.1,224.3,296.4,672.5,645.7,823.8,302.7,101.5,302.4,230.9,293.5,749.2,220.7,112.4,113.3,340.0,68.7,555.1,695.7,282.6,623.9,661.6,602.0,260.2,271.2,119.7,774.5,220.0,370.7,658.9,712.5,756.4,232.9,782.7,224.3,708.4,280.7,703.3,101.1,618.0,660.1,543.6,185.9,653.1
