from_stop,AE,AK,AL,AT,AX,BJ,BK,BL,BO,BP,CB,CK,CL,CW,DJ,DK,DO,DP,DS,EO,ER,ES,FA,FK,FO,FP,FU,FZ,GH,GJ,GY,HH,HL,HR,HS,HY,IE,IH,IK,IV,JE,JN,JO,JP,JR,JS,JV,JW,KA,KF,KI,KK,KL,KO,LC,LG,LH,LJ,LR,LS,LT,LU,LX,LZ,MA,MI,MJ,MO,MQ,NF,NM,NS,NX,OA,OD,OM,ON,OO,OQ,OV,PC,PH,PK,PQ,PU,PW,QA,QD,QI,QJ,QQ,QZ,RC,RE,RJ,RN,RU,RV,RY,SJ,SP,SQ,SZ,TE,TH,TK,TU,UA,UJ,UL,VD,VM,VO,WA,WO,WU,WX,XA,XE,XK,XN,XP,XQ,XR,XZ,YC,YG,YN,ZA,ZD,ZM,ZO,ZY
FO,680.1,855.2,537.0,658.8,198.4,835.0,446.9,848.8,168.5,936.3,894.9,788.7,797.9,829.7,784.3,458.0,457.6,861.3,858.9,508.6,233.2,895.9,751.4,896.8,0.0,914.1,228.0,785.1,181.3,178.2,823.5,775.2,429.7,605.9,972.1,365.0,411.5,432.9,430.8,742.1,821.3,192.8,919.3,820.2,516.6,745.3,704.3,513.7,781.7,873.9,796.9,871.0,735.6,451.7,275.4,713.9,212.2,805.7,472.3,891.1,877.8,858.9,853.7,638.7,221.6,669.5,837.8,1010.4,490.1,742.2,321.6,825.9,712.2,164.3,842.8,416.2,917.2,752.1,881.1,307.8,853.1,275.1,682.5,179.6,807.6,562.8,821.8,715.5,439.8,179.6,676.8,420.4,362.7,164.3,689.7,899.9,672.6,137.5,782.1,887.3,907.7,853.2,966.6,458.4,528.8,768.0,644.0,626.0,697.1,772.1,383.6,438.0,217.1,806.2,540.8,827.7,242.3,839.5,713.5,772.6,885.9,678.9,641.6,755.4,838.1,377.2,799.2,914.5,525.1,280.8,210.8,177.2,649.5
FP,419.4,406.1,556.9,493.9,992.8,181.1,767.3,171.4,815.1,457.0,374.5,242.2,146.1,140.2,278.3,701.1,687.5,373.1,274.7,556.8,996.8,437.1,337.5,441.2,855.6,0.0,1014.0,432.5,898.9,978.4,428.2,422.6,678.6,562.8,351.5,622.0,763.8,676.0,729.9,180.0,119.9,912.1,227.1,377.1,798.3,179.3,442.1,581.1,125.0,261.2,387.4,245.1,379.6,592.3,906.5,204.9,880.1,154.2,693.0,144.7,419.0,168.2,231.7,529.4,947.5,377.0,294.2,1358.5,733.2,264.3,845.3,248.9,381.4,881.9,447.5,790.2,280.0,357.0,62.1,822.7,457.8,777.5,517.6,919.0,264.0,562.0,404.5,453.3,580.4,871.2,511.9,690.3,722.5,883.6,476.8,80.9,393.3,952.4,364.8,473.4,444.1,447.4,346.0,649.9,661.0,131.9,463.3,485.6,534.4,358.2,743.4,758.4,951.8,342.2,557.9,455.7,1005.9,185.6,439.5,379.1,319.4,417.9,422.0,399.4,19.1,737.0,389.7,432.9,540.1,795.7,916.1,823.8,534.3
FU,773.2,999.5,681.3,755.5,66.7,979.3,591.2,993.1,330.8,1080.6,1039.2,933.0,942.2,974.0,877.4,602.3,601.9,1005.6,1003.2,652.9,84.9,1040.2,895.7,1041.1,220.7,1058.4,0.0,881.8,209.1,113.6,967.8,871.9,574.0,750.2,1116.4,509.3,555.8,577.2,575.1,886.4,965.6,162.9,1063.6,948.3,657.8,889.6,797.4,617.3,926.0,1018.2,941.2,1015.3,863.7,574.1,139.5,858.2,304.9,950.0,616.6,1035.4,1022.1,1003.2,998.0,731.8,53.3,813.8,982.1,963.2,634.4,886.5,223.9,970.2,808.9,192.1,987.1,560.5,1061.5,896.4,1025.4,219.3,997.4,241.0,779.2,164.0,951.9,707.1,966.1,808.6,562.2,164.0,773.5,564.7,507.0,198.3,782.8,1044.2,765.7,195.7,926.4,1031.6,1052.0,997.5,1110.9,602.7,673.1,912.3,782.7,722.7,841.4,916.4,527.9,582.3,48.8,950.5,685.1,972.0,94.0,983.8,810.2,916.9,1030.2,775.6,734.7,883.5,982.4,521.5,943.5,1058.8,669.4,313.4,141.5,339.5,746.2
FZ,101.6,236.5,241.1,166.3,741.4,367.4,392.6,482.1,584.8,445.1,406.2,297.6,454.3,439.4,166.7,333.0,350.1,242.6,370.2,277.1,741.6,407.2,262.7,407.5,623.5,498.0,754.4,0.0,675.6,766.3,233.4,127.2,311.1,130.3,483.4,269.3,371.1,311.6,291.2,488.2,410.6,810.5,490.2,185.6,373.2,444.4,117.3,188.3,527.9,426.3,294.7,423.4,101.0,223.6,676.2,516.1,649.8,464.9,357.3,498.4,389.1,467.4,365.0,263.6,692.3,194.7,349.1,1201.6,357.8,538.3,615.0,324.3,64.2,612.8,252.7,354.4,427.9,327.9,465.0,592.4,263.0,547.2,85.0,706.9,318.9,123.3,324.0,128.5,266.5,640.9,79.3,262.8,356.1,782.0,136.7,483.8,124.7,693.7,354.0,398.6,326.2,271.7,477.9,319.9,241.4,440.1,60.2,133.5,153.9,324.5,342.0,383.7,696.6,358.6,262.9,332.7,750.7,362.9,18.0,283.9,438.3,63.9,190.7,120.8,422.0,326.1,297.0,315.0,292.8,565.4,708.0,593.5,101.7
GH,648.4,847.3,602.5,630.7,289.9,850.6,621.2,864.4,264.3,949.4,910.5,804.3,813.5,845.3,752.6,632.3,631.9,853.4,874.5,682.9,304.5,911.5,767.0,888.9,307.8,929.7,319.5,757.0,0.0,269.7,815.6,747.1,604.0,603.2,987.7,539.3,585.8,607.2,605.1,757.7,836.9,313.9,934.9,823.5,681.7,760.9,672.6,492.5,797.3,889.5,846.4,886.6,738.9,449.3,239.1,729.5,95.7,821.3,646.6,906.7,893.4,874.5,869.3,607.0,255.2,685.1,853.4,1173.3,664.4,757.8,191.6,841.5,684.1,223.1,834.9,590.5,909.3,767.7,896.7,240.1,845.2,139.7,654.4,210.3,823.2,560.1,837.4,683.8,437.4,144.3,648.7,594.7,537.0,285.4,658.0,915.5,640.9,243.7,797.7,978.1,899.8,845.3,982.2,632.7,602.8,783.6,643.7,597.9,694.4,787.7,557.9,612.3,259.5,821.8,559.8,819.8,313.6,855.1,685.4,788.2,901.5,650.8,609.9,758.7,853.7,551.5,848.7,906.6,603.8,213.1,225.4,273.0,621.4
GJ,747.5,922.6,604.4,726.2,150.1,902.4,514.3,916.2,253.9,1001.2,962.3,856.1,865.3,897.1,851.7,525.4,525.0,928.7,926.3,576.0,154.1,963.3,818.8,964.2,187.8,981.5,171.3,852.5,132.2,0.0,890.9,842.6,497.1,673.3,1039.5,432.4,478.9,500.3,498.2,809.5,888.7,194.3,986.7,887.6,574.8,812.7,771.7,581.1,849.1,941.3,864.3,938.4,803.0,507.5,138.0,781.3,228.0,873.1,539.7,958.5,945.2,926.3,921.1,706.1,104.8,736.9,905.2,1008.3,557.5,809.6,167.2,893.3,779.6,115.2,910.2,483.6,984.6,819.5,948.5,270.8,920.5,184.9,749.9,120.4,875.0,630.2,889.2,782.9,495.6,76.8,744.2,487.8,430.1,219.1,757.1,967.3,740.0,153.8,849.5,954.7,975.1,920.6,1034.0,525.8,596.2,835.4,711.4,693.4,764.5,839.5,451.0,505.4,109.1,873.6,608.2,895.1,163.2,906.9,780.9,840.0,953.3,746.3,709.0,822.8,905.5,444.6,866.6,981.9,592.5,256.7,73.4,262.6,716.9
GY,348.7,260.8,472.5,433.1,987.4,289.4,761.9,480.1,809.7,257.9,237.0,295.6,486.5,437.4,193.9,624.0,616.3,217.5,277.7,472.4,991.4,238.0,166.9,201.9,850.2,497.4,1008.6,330.1,893.5,973.0,0.0,320.2,613.7,467.0,313.3,560.3,740.6,598.9,663.6,520.4,408.6,906.7,256.7,292.7,673.4,463.5,339.7,482.5,483.0,192.8,213.8,189.9,295.2,533.3,901.1,514.1,874.7,467.0,631.0,489.0,219.9,465.4,256.5,445.0,942.1,274.6,259.2,1353.1,656.1,570.5,839.9,303.1,279.0,876.5,19.3,745.3,221.9,169.0,417.2,817.3,29.6,772.1,415.2,913.6,229.0,476.4,160.2,350.9,532.6,865.8,409.5,624.0,691.8,878.2,388.2,483.2,308.9,947.0,120.5,224.2,92.7,203.1,308.7,565.5,571.6,472.3,359.5,414.8,435.3,91.0,715.9,753.0,946.4,125.1,473.5,211.7,1000.5,284.9,337.1,140.5,204.8,315.5,337.6,315.0,421.4,649.4,216.1,81.5,457.0,790.3,910.7,818.4,430.5
HH,127.4,262.3,266.9,192.1,767.2,393.2,418.4,530.8,610.6,473.4,432.0,323.4,480.1,465.2,192.5,358.8,375.9,268.4,396.0,304.6,767.4,433.0,288.5,433.3,649.3,523.8,780.2,25.7,701.4,792.1,259.2,0.0,336.9,156.1,508.3,295.1,396.9,337.4,317.0,514.0,436.4,836.3,516.0,211.4,399.0,470.2,143.1,210.0,553.7,452.1,320.5,449.2,126.8,249.4,702.0,541.9,675.6,490.7,383.1,524.2,414.9,493.2,390.8,289.4,718.1,220.5,374.9,1227.4,383.6,564.1,640.8,350.1,90.0,638.6,278.5,380.2,453.7,353.7,490.8,618.2,288.8,573.0,110.8,732.7,344.7,149.1,349.8,154.3,292.3,666.7,105.1,288.6,381.9,807.8,162.5,509.6,150.5,719.5,379.8,424.4,352.0,297.5,503.7,345.7,267.2,465.9,86.0,159.3,179.7,350.3,367.8,409.5,722.4,384.4,288.7,358.5,776.5,388.7,43.8,309.7,464.1,89.7,216.5,146.6,447.8,351.9,322.8,340.8,317.4,591.2,733.8,619.3,126.1
HL,264.6,439.7,137.1,251.1,576.3,569.5,233.9,707.1,475.3,555.7,532.2,499.7,656.4,641.5,368.8,81.1,48.5,445.8,574.8,91.3,580.3,535.8,477.2,481.3,439.1,700.1,597.5,435.7,482.4,561.9,408.0,425.8,0.0,355.9,597.3,217.0,198.5,56.0,180.8,690.3,612.7,606.1,623.0,404.7,130.5,646.5,288.8,320.7,762.8,568.8,462.6,547.9,320.1,363.0,564.2,718.2,566.6,667.0,63.2,700.5,517.7,669.5,568.3,223.2,531.0,496.7,563.6,1149.2,113.2,740.4,611.4,526.4,375.7,465.4,427.3,203.2,501.7,535.2,667.1,621.3,437.6,576.1,328.0,502.5,533.4,312.8,526.4,300.0,313.3,478.9,322.3,170.4,149.7,577.6,274.2,685.9,257.1,535.9,486.7,570.5,492.2,437.7,592.7,28.6,174.5,642.2,308.5,242.8,447.1,499.1,133.6,225.0,535.3,520.8,185.2,412.2,589.4,565.0,364.6,506.7,598.2,342.4,226.1,339.9,624.1,184.2,464.9,499.0,108.4,594.3,499.6,484.0,305.7
HR,213.1,245.5,377.2,279.8,741.5,399.8,449.9,490.9,584.9,451.5,412.6,306.4,463.1,448.2,208.4,456.2,473.8,276.9,376.6,378.4,741.7,413.6,269.1,336.9,635.2,506.8,754.5,129.1,673.0,752.5,267.6,119.2,445.9,0.0,489.8,251.4,414.5,431.1,337.5,395.2,419.4,796.7,455.5,216.5,495.6,383.3,222.1,156.4,536.7,391.6,325.6,388.7,222.2,207.2,676.3,524.9,631.0,473.7,498.5,507.2,395.5,476.2,371.4,364.9,692.4,187.2,355.5,1202.3,488.3,395.3,615.1,343.6,130.6,624.5,286.9,419.2,399.1,269.8,473.8,592.5,297.2,547.3,203.8,693.1,325.3,150.3,358.3,233.3,223.7,641.0,198.1,297.9,365.7,768.2,237.5,492.6,236.2,726.5,299.8,405.0,360.4,278.5,484.3,457.4,360.2,448.9,171.7,247.0,91.1,289.8,404.6,441.0,696.7,323.9,331.0,348.2,750.8,395.3,147.2,290.3,403.6,204.7,253.5,242.0,430.8,323.3,327.9,349.2,361.7,565.5,690.2,593.6,220.5
HS,479.8,367.3,517.6,554.3,1108.8,155.5,797.7,361.3,931.1,227.4,144.6,302.6,313.4,302.3,339.6,644.9,612.3,369.7,196.6,618.9,1112.8,207.5,338.5,275.3,971.6,324.3,1130.0,474.3,1014.9,1094.4,339.3,464.4,598.9,616.5,0.0,675.7,762.3,619.8,783.6,347.3,284.9,1028.1,112.8,437.5,694.3,300.7,481.9,630.7,269.7,146.0,366.0,129.9,440.0,659.9,1022.5,349.6,996.1,325.3,627.0,315.9,189.4,353.5,211.2,589.8,1064.4,421.7,273.4,1474.5,677.0,397.4,961.3,228.1,426.1,997.9,358.6,767.0,82.5,321.2,244.5,938.7,368.9,893.5,560.3,1035.0,243.2,615.7,289.3,493.1,648.0,987.2,553.7,744.0,713.5,999.6,530.4,310.1,453.7,1068.4,249.6,268.4,286.2,332.2,141.8,626.7,621.7,299.2,506.6,546.0,588.1,257.6,697.4,788.8,1067.8,228.4,518.6,258.2,1121.9,160.0,513.8,300.4,160.6,462.6,482.4,459.8,248.3,688.4,368.3,293.0,601.8,912.6,1032.1,939.8,574.7
HY,294.2,464.8,234.1,276.5,558.2,571.4,229.5,600.3,401.6,650.0,608.6,502.4,549.4,581.2,398.4,229.9,229.5,496.2,572.6,280.5,558.4,609.6,465.1,534.7,379.0,665.6,537.4,348.4,422.3,501.8,461.4,338.5,201.6,282.9,684.9,0.0,183.4,204.8,107.8,493.6,572.8,546.0,651.5,435.8,244.1,481.7,318.4,171.0,695.5,587.6,492.2,584.7,383.4,95.1,493.0,544.5,466.6,561.3,244.2,642.6,591.5,581.5,567.4,252.8,509.1,383.2,551.5,1018.4,261.4,493.7,431.8,539.6,328.6,405.3,480.7,188.1,555.1,465.8,632.6,409.2,491.0,364.0,300.2,442.4,521.3,239.8,577.6,329.6,83.2,457.7,294.5,68.2,134.6,517.5,290.9,651.4,286.7,475.8,540.1,623.9,545.6,491.1,680.3,230.3,170.6,519.5,282.5,243.7,328.4,485.8,155.5,220.6,513.4,521.3,242.7,465.6,567.5,575.9,329.9,486.3,599.6,295.3,255.7,403.2,589.6,111.6,494.5,552.4,220.8,382.2,439.5,410.3,265.8
IE,415.2,597.6,278.1,399.9,554.4,720.1,35.3,857.7,453.4,713.6,690.1,650.3,795.4,792.1,519.4,106.0,152.6,603.7,693.1,241.9,558.4,693.7,585.6,639.2,417.2,850.7,575.6,526.2,460.5,540.0,565.9,516.3,158.2,316.4,755.2,236.8,0.0,128.3,141.3,739.6,763.3,584.2,780.9,562.6,115.3,674.9,439.4,274.6,779.2,726.7,613.2,705.8,478.0,282.1,542.3,711.4,544.7,817.6,137.1,851.1,675.6,820.1,687.9,373.8,509.1,583.8,672.0,1054.9,98.0,739.7,589.5,660.1,453.3,443.5,585.2,58.2,659.6,586.3,817.7,584.4,595.5,539.2,423.6,480.6,641.8,273.3,684.3,450.6,330.1,457.0,417.9,130.9,57.2,555.7,378.5,836.5,407.7,514.0,644.6,728.4,650.1,595.6,750.6,186.9,269.9,792.8,365.2,367.1,407.6,606.3,94.1,26.4,513.4,680.1,281.9,570.1,567.5,715.6,454.6,664.6,756.1,420.0,376.7,497.8,774.7,144.3,615.5,656.9,259.0,557.4,477.7,462.1,389.2
IH,305.8,515.2,149.7,271.5,563.9,610.7,202.7,725.4,462.9,601.9,578.4,540.9,697.6,682.7,410.0,25.0,60.1,521.3,616.0,139.3,567.9,582.0,518.4,527.5,426.7,741.3,585.1,397.8,470.0,549.5,454.2,387.9,60.4,339.6,644.4,204.6,142.7,0.0,168.4,731.5,653.9,593.7,669.2,464.3,74.4,687.7,330.0,304.5,771.2,615.0,503.8,594.1,379.7,312.0,551.8,759.4,554.2,708.2,67.3,741.7,563.9,710.7,609.5,264.4,518.6,455.4,604.8,1136.8,57.1,749.2,612.2,567.6,324.9,453.0,473.5,116.8,547.9,581.4,708.3,589.6,483.8,544.4,295.2,490.1,574.6,296.5,572.6,341.2,360.0,466.5,289.5,158.0,118.5,565.2,305.2,727.1,298.3,523.5,532.9,616.7,538.4,483.9,638.9,89.1,141.5,683.4,284.5,238.7,430.8,545.3,121.2,193.8,522.9,567.0,153.5,458.4,577.0,606.2,326.2,552.9,644.4,291.6,267.3,399.5,665.3,171.8,506.1,545.2,150.8,562.6,487.2,471.6,262.2
IK,238.2,420.6,192.3,220.5,592.0,543.1,303.3,657.8,435.4,553.1,529.6,473.3,630.0,615.1,342.4,330.6,332.0,452.0,551.7,210.3,592.2,533.2,444.2,478.7,474.1,673.7,605.0,346.8,526.2,616.9,405.4,336.9,304.1,175.0,595.6,119.9,267.9,307.3,0.0,545.4,586.3,661.1,630.6,391.6,364.1,533.5,262.4,133.2,646.1,566.7,436.2,545.3,328.7,140.7,526.8,578.3,500.4,640.6,354.9,674.1,515.1,643.1,546.5,196.8,542.9,404.4,530.6,1052.2,362.7,545.5,465.6,518.7,273.9,463.4,424.7,272.6,499.1,444.9,640.7,443.0,435.0,397.8,244.2,557.5,500.4,131.9,523.8,273.6,188.7,491.5,238.5,151.3,219.1,632.6,237.1,659.5,230.7,544.3,484.1,567.9,489.6,435.1,590.1,332.8,192.6,615.8,223.8,187.7,266.2,464.9,258.0,294.4,547.2,499.0,149.6,409.6,601.3,538.6,275.2,504.1,578.7,240.6,199.7,348.5,597.7,176.7,438.5,496.4,193.6,416.0,567.3,444.1,211.2
IV,494.2,478.7,641.7,550.7,914.4,221.2,688.9,232.5,736.7,524.7,435.4,287.8,181.6,157.9,323.9,720.7,710.8,435.4,342.2,602.4,918.4,504.8,404.2,508.9,777.2,266.8,935.6,404.2,820.5,900.0,473.8,394.3,682.9,422.0,416.2,481.2,664.7,695.6,589.1,0.0,197.4,833.7,305.5,422.7,725.4,59.5,503.2,440.3,296.7,325.9,431.7,309.8,425.2,465.4,828.1,270.6,801.7,189.4,725.5,274.8,486.7,155.1,276.9,623.1,869.1,348.7,339.1,1280.1,742.7,157.0,766.9,293.8,415.1,803.5,493.1,669.4,358.4,386.9,233.8,744.3,503.4,699.1,474.7,840.6,308.9,421.2,479.5,514.4,453.5,792.8,469.0,549.5,615.9,805.2,508.4,252.6,438.9,874.0,439.8,540.1,519.1,522.4,410.7,711.6,618.9,151.7,452.8,517.9,393.6,424.9,636.8,680.0,873.4,409.9,595.5,534.1,927.5,225.7,422.3,446.0,397.8,451.6,467.6,445.0,190.8,589.6,434.0,507.9,585.7,717.3,837.7,745.4,491.4
JE,396.6,383.3,534.1,471.1,893.3,170.8,667.8,71.4,715.6,456.5,367.7,219.4,135.8,93.2,255.5,678.3,664.7,350.3,274.5,534.0,897.3,434.1,314.7,382.5,756.1,151.4,914.5,409.7,799.4,878.9,405.4,399.8,690.0,506.8,348.2,526.6,664.3,653.2,634.5,180.0,0.0,812.6,241.5,354.3,698.8,199.4,419.3,533.9,181.3,257.9,364.6,241.8,356.8,492.8,807.0,105.4,780.6,54.2,670.2,128.4,416.0,163.4,208.9,506.6,848.0,354.2,271.4,1259.0,716.1,164.3,745.8,226.1,358.6,782.4,424.7,690.7,294.4,334.2,118.4,723.2,435.0,678.0,494.8,819.5,241.2,534.2,413.7,430.5,480.9,771.7,489.1,594.9,623.0,784.1,454.0,137.2,370.5,852.9,376.0,450.6,435.3,416.3,342.7,627.1,638.2,114.4,440.5,462.8,530.5,335.4,643.9,658.9,852.3,339.2,535.1,486.0,906.4,175.3,416.7,375.3,332.9,395.1,399.2,376.6,75.4,637.5,366.9,424.1,517.3,696.2,816.6,724.3,511.5
JN,766.2,913.6,699.6,778.1,156.2,904.7,530.7,918.5,349.7,1003.5,964.6,858.4,867.6,899.4,779.9,608.9,620.2,870.3,928.6,671.2,97.1,965.6,821.1,888.9,181.1,983.8,185.8,794.7,234.4,152.6,933.4,784.8,592.3,728.6,1041.8,527.6,527.2,595.5,593.4,811.8,891.0,0.0,989.0,878.7,561.7,815.0,790.4,610.3,851.4,943.6,866.6,940.7,880.5,567.1,249.4,783.6,330.2,875.4,643.5,960.8,947.5,928.6,923.4,724.8,146.6,739.2,907.5,942.1,579.0,811.9,296.0,895.6,825.7,224.0,952.7,553.6,951.1,821.8,950.8,312.6,963.0,249.5,772.2,154.0,877.3,704.7,891.5,801.6,555.2,154.0,766.5,583.0,526.0,24.7,775.8,969.6,758.7,187.4,851.8,957.0,899.8,963.1,1036.3,621.0,691.4,837.7,759.4,745.3,819.8,841.8,546.2,521.8,142.1,875.9,703.4,937.6,146.6,909.2,827.0,842.3,955.6,792.4,727.7,900.3,907.8,539.8,868.9,906.6,687.7,339.9,192.7,358.4,739.2
JO,457.1,424.8,594.6,531.6,1086.1,156.3,860.6,276.9,908.4,298.0,211.8,279.9,229.7,218.6,316.0,738.8,725.2,381.5,191.3,594.5,1090.1,275.6,350.3,324.8,948.9,240.6,1107.3,470.2,992.2,1071.7,338.1,460.3,716.3,593.8,234.2,653.0,836.5,713.7,760.9,263.6,225.4,1005.4,0.0,414.8,788.2,280.9,479.8,608.0,223.3,144.8,377.8,128.7,417.3,637.2,999.8,303.2,973.4,241.6,730.7,232.2,257.5,269.8,185.2,567.1,1040.8,414.7,274.2,1451.8,770.9,313.7,938.6,228.9,419.1,975.2,357.4,841.2,150.6,333.0,160.4,916.0,367.7,870.8,555.3,1012.3,244.0,593.0,288.1,491.0,625.3,964.5,549.6,721.3,787.7,976.9,514.5,226.4,431.0,1045.7,248.4,371.6,327.7,331.0,229.6,687.6,698.7,215.5,501.0,523.3,565.4,256.4,808.6,851.7,1045.1,225.8,595.6,326.3,1099.2,160.8,477.2,295.7,215.6,455.6,459.7,437.1,164.6,761.4,380.1,316.5,577.8,889.0,1009.4,917.1,570.6
JP,276.3,156.0,400.1,360.7,915.0,251.8,689.5,403.4,737.3,348.8,282.6,218.9,375.6,360.7,121.5,551.6,530.7,94.7,244.0,400.0,919.0,283.6,159.9,288.9,777.8,482.8,936.2,257.7,821.1,900.6,196.1,247.8,541.3,394.6,359.8,487.9,668.2,526.5,591.2,409.5,331.9,834.3,361.7,0.0,601.0,386.2,267.3,410.1,482.6,297.8,109.0,294.9,222.8,460.9,828.7,437.4,802.3,386.2,536.2,474.4,265.5,388.7,255.0,372.6,869.7,202.2,239.1,1280.7,583.7,459.6,767.5,195.6,206.6,804.1,215.4,672.9,309.3,180.0,419.7,744.9,225.7,699.7,342.8,841.2,208.9,404.0,158.1,278.5,460.2,793.4,337.1,551.6,619.4,805.8,315.8,468.6,236.5,874.6,225.5,275.0,179.7,201.0,354.3,493.1,499.2,361.4,287.1,342.4,362.9,196.0,643.5,680.6,874.0,230.1,401.1,276.7,928.1,247.3,264.7,245.5,302.4,243.1,265.2,209.1,406.8,577.0,111.3,168.5,383.3,717.9,838.3,746.0,359.5
JR,369.7,552.1,219.2,341.0,633.4,674.6,126.2,812.2,532.4,668.1,644.6,604.8,761.5,746.6,473.9,47.1,107.2,558.2,679.9,196.4,637.4,648.2,582.3,593.7,496.2,805.2,654.6,467.3,539.5,619.0,520.4,457.4,129.9,402.1,709.7,269.6,104.7,69.4,227.0,795.4,717.8,663.2,735.4,517.1,0.0,751.6,393.9,378.1,875.2,681.2,567.7,660.3,432.5,381.5,621.3,823.3,623.7,776.2,96.2,805.6,630.1,774.6,673.4,328.3,588.1,524.9,668.7,1098.0,17.2,818.7,681.7,631.5,394.4,522.5,539.7,143.9,614.1,647.6,772.2,659.1,550.0,613.9,364.7,559.6,638.5,359.0,638.8,405.1,429.5,536.0,359.0,216.6,145.6,634.7,374.7,791.0,362.2,593.0,599.1,682.9,604.6,550.1,705.1,158.6,211.0,747.3,354.0,308.2,493.3,611.5,179.8,117.3,592.4,633.2,223.0,524.6,646.5,670.1,395.7,619.1,710.6,361.1,331.2,452.3,729.2,237.6,570.0,611.4,213.5,632.1,556.7,541.1,330.3
JS,536.8,488.1,684.3,593.3,900.4,282.3,674.9,172.9,722.7,560.7,475.7,324.2,122.0,153.8,360.3,725.4,725.0,455.1,375.9,638.8,904.4,538.3,473.2,542.4,763.2,238.2,921.6,446.8,806.5,886.0,510.2,436.9,697.1,464.6,452.7,523.8,671.4,700.3,631.7,81.8,145.4,819.7,328.3,459.1,705.9,0.0,545.8,482.9,268.1,362.4,492.8,346.3,461.6,499.9,814.1,211.0,787.7,129.8,739.7,215.2,520.2,198.2,338.0,657.6,855.1,391.3,400.2,1266.1,723.2,131.9,752.9,354.9,457.7,789.5,529.5,697.8,381.2,448.0,205.2,730.3,539.8,685.1,517.3,826.6,370.0,463.8,505.7,557.0,488.0,778.8,511.6,592.1,630.1,791.2,551.0,224.0,475.3,860.0,466.0,589.2,545.3,548.6,447.2,725.8,653.4,92.1,495.4,560.5,436.2,474.0,651.0,666.0,859.4,443.4,638.1,556.9,913.5,286.8,464.9,480.3,420.6,494.2,504.0,481.4,162.2,632.2,495.1,534.1,622.1,703.3,823.7,731.4,534.0
JV,107.6,266.9,249.9,93.3,776.6,412.5,499.0,550.1,620.0,505.1,463.7,342.7,499.4,484.5,211.8,328.9,346.5,291.3,417.8,217.2,776.8,464.7,320.2,388.0,658.7,543.1,789.6,240.8,710.8,827.7,289.0,230.9,318.6,183.6,540.9,311.4,446.6,303.8,386.6,533.3,455.7,871.9,506.6,237.9,378.3,489.5,0.0,201.4,573.0,442.7,305.6,439.8,164.1,256.3,711.4,561.2,685.0,514.1,371.2,543.5,446.6,512.5,411.3,268.9,727.5,298.4,406.6,1236.8,361.0,583.4,650.2,369.4,167.9,648.0,308.3,420.7,450.2,320.9,510.1,627.6,318.6,582.4,120.2,768.3,376.4,140.5,354.7,11.1,283.7,676.1,114.5,298.0,414.8,843.4,48.4,528.9,100.1,801.7,350.9,456.1,376.3,299.9,535.4,330.1,276.6,485.2,127.5,103.0,274.8,340.9,453.7,490.1,731.8,376.4,203.7,369.6,785.9,408.0,169.2,341.4,454.7,134.6,82.4,183.9,467.1,372.4,307.9,365.1,200.5,600.6,765.4,628.7,136.9
JW,237.7,424.5,241.0,176.2,600.1,542.6,293.4,563.4,443.5,568.8,545.3,472.8,515.5,614.6,337.8,320.0,322.1,430.6,522.6,223.6,600.3,544.8,411.0,490.3,482.2,673.2,613.1,307.1,534.3,639.4,417.3,297.2,298.3,145.9,606.3,144.4,258.0,290.8,181.0,459.7,585.8,683.6,601.5,373.6,361.6,447.8,257.8,0.0,633.9,537.6,435.7,556.9,289.0,50.7,534.9,566.1,508.5,523.3,345.0,608.7,526.7,547.6,517.4,208.4,555.1,360.6,501.5,1099.1,348.0,459.8,473.7,489.6,234.2,471.5,440.7,262.7,514.8,411.7,640.2,451.1,451.0,405.9,162.8,580.0,471.3,102.8,512.0,273.1,116.7,499.6,157.1,141.4,209.2,655.1,196.5,659.0,230.2,617.5,499.8,579.5,501.2,446.7,601.7,317.1,204.2,485.6,193.8,143.4,237.1,435.8,248.1,284.5,555.3,471.3,190.7,421.2,609.4,538.1,235.5,515.7,549.6,200.9,200.6,308.8,597.2,166.8,438.0,503.0,206.5,424.1,577.1,452.2,128.2
KA,466.0,452.7,603.5,540.5,992.7,227.7,767.2,163.7,815.0,506.1,421.1,288.8,205.2,186.8,324.9,747.7,734.1,419.7,321.3,603.4,996.7,483.7,384.1,487.8,855.5,46.5,1013.9,479.1,898.8,978.3,474.8,469.2,725.2,606.2,397.2,626.0,763.7,722.6,733.9,249.4,89.3,912.0,273.7,423.7,798.2,225.9,488.7,633.3,0.0,307.8,434.0,291.7,426.2,592.2,906.4,204.8,880.0,123.6,739.6,114.1,465.6,214.8,278.3,576.0,947.4,423.6,340.8,1358.4,815.5,233.7,845.2,295.5,428.0,881.8,494.1,790.1,326.6,403.6,108.7,822.6,504.4,777.4,564.2,918.9,310.6,627.5,451.1,499.9,580.3,871.1,558.5,694.3,722.4,883.5,523.4,50.3,439.9,952.3,411.4,520.0,490.7,494.0,392.6,696.5,707.6,183.8,509.9,532.2,599.9,404.8,743.3,758.3,951.7,388.8,604.5,502.3,1005.8,232.2,486.1,425.7,366.0,464.5,468.6,446.0,65.7,736.9,436.3,479.5,586.7,795.6,916.0,823.7,579.5
