from_stop,AA,AB,BC,BH,BQ,BR,BV,BX,CA,CW,DC,DI,DS,EZ,FD,FG,FJ,FU,FZ,GA,GD,GE,GP,GS,GW,GX,IA,IM,IQ,JJ,JL,KI,KR,LF,LU,MM,MN,MV,MY,NI,NK,NX,OB,PA,PP,PS,PT,PZ,QA,RC,RH,RK,SG,TM,TQ,UK,UP,UV,UY,VE,VI,VK,WE,XO,XZ,YB,YT
RC,157.8,99.5,47.2,419.7,214.6,386.3,157.6,307.7,331.7,158.8,102.8,282.8,56.9,290.1,329.8,351.2,277.4,364.6,307.5,147.1,78.6,329.4,103.2,270.5,209.4,347.0,280.0,33.9,222.0,302.7,260.3,89.4,227.5,95.3,69.5,294.9,103.6,69.1,252.4,101.7,238.3,108.6,168.6,283.0,166.8,77.4,58.7,135.0,32.4,0.0,112.6,75.8,336.3,1770.7,332.9,93.7,196.1,183.3,210.6,325.1,314.2,168.9,129.9,115.9,372.6,312.9,198.7
RH,198.2,101.8,76.3,444.4,255.4,432.3,273.0,412.5,382.3,274.2,13.9,333.4,190.4,315.1,441.6,401.8,328.0,389.6,358.1,227.7,163.1,380.0,56.5,364.6,250.2,372.0,305.0,155.1,262.4,327.7,288.8,173.9,268.9,188.2,185.3,340.2,188.1,42.8,310.8,16.1,274.5,219.4,296.7,319.2,282.2,174.5,61.3,22.3,153.6,121.1,0.0,197.0,361.3,1864.3,357.9,214.9,327.7,223.7,251.6,394.1,364.8,102.2,170.3,49.2,397.6,363.5,132.0
RK,239.9,175.5,214.9,349.1,158.8,320.6,119.8,269.9,273.1,103.0,270.5,390.8,157.0,218.9,284.7,292.6,386.5,300.8,248.9,229.2,246.3,270.8,288.0,232.7,137.4,275.8,356.4,180.7,183.8,231.5,345.9,262.5,190.3,177.4,203.2,244.0,271.3,244.1,196.6,269.4,200.5,147.9,280.7,245.2,129.0,201.1,226.5,302.7,209.4,238.2,280.3,0.0,265.1,1701.1,261.7,17.8,151.2,145.1,171.3,288.3,257.6,332.0,212.0,283.6,301.4,254.3,366.4
SG,202.0,345.8,372.0,83.9,236.9,77.3,214.0,88.7,54.6,331.9,365.3,154.3,311.4,45.8,125.1,104.9,150.0,66.4,121.9,185.5,308.9,143.8,346.0,93.8,215.5,48.2,124.7,323.4,206.2,95.3,114.2,325.1,199.7,266.6,358.2,69.4,333.9,401.2,109.8,364.2,129.2,345.1,227.8,103.0,223.2,240.6,383.6,379.0,339.1,324.7,375.1,330.3,0.0,1614.3,125.5,348.2,158.2,171.8,173.9,70.3,130.6,408.8,227.3,360.4,165.2,127.3,443.2
TM,1695.4,1865.1,1904.5,1696.4,1782.9,1642.8,1738.4,1793.9,1703.8,1739.6,1858.7,1607.9,1801.6,1722.6,1808.7,1724.1,1603.6,1751.2,1662.4,1709.9,1810.2,1684.3,1839.4,1756.7,1761.5,1754.5,1649.1,1842.7,1675.2,1717.2,1638.6,1826.4,1668.7,1759.3,1892.8,1781.1,1835.2,1865.4,1749.7,1857.6,1724.5,1835.3,1732.7,1769.2,1747.6,1765.0,1916.1,1890.9,1858.4,1844.0,1868.5,1820.5,1706.2,0.0,1747.4,1838.4,1682.6,1717.8,1692.3,1812.3,1671.1,1902.2,1720.7,1853.8,1787.1,1667.8,1936.6
TQ,101.4,289.1,288.7,325.7,136.3,298.1,162.4,293.8,250.6,163.6,264.7,229.3,218.3,196.4,226.9,270.1,223.9,270.9,226.4,133.9,225.6,248.3,235.1,245.9,131.1,253.3,270.2,233.7,123.3,209.0,254.0,236.4,128.8,173.5,274.9,221.5,250.6,271.4,174.1,263.6,135.4,252.0,138.7,180.1,171.6,181.8,289.9,296.9,255.8,241.4,274.5,237.2,242.6,1678.6,0.0,255.1,128.7,84.6,111.9,275.4,233.1,312.8,126.7,259.8,39.6,231.8,342.6
UK,222.0,162.7,197.0,331.2,140.9,302.7,101.9,252.0,255.2,85.1,252.6,372.9,139.1,201.0,266.8,274.7,368.6,282.9,231.0,211.3,228.4,252.9,270.1,214.8,119.5,257.9,338.5,162.8,165.9,213.6,328.0,244.6,172.4,159.5,185.3,226.1,253.4,218.9,178.7,251.5,182.6,130.0,262.8,227.3,111.1,183.2,208.6,284.8,191.5,220.3,262.4,158.0,247.2,1683.2,243.8,0.0,133.3,127.2,153.4,270.4,239.7,314.1,194.1,265.7,283.5,236.4,348.5
UP,29.8,320.1,238.9,242.1,52.7,195.2,72.8,210.2,147.7,74.0,193.3,248.1,148.3,112.8,220.0,186.5,121.0,187.3,142.8,45.8,144.6,164.7,318.9,162.3,47.5,169.7,155.0,181.0,97.0,125.4,136.4,155.4,104.2,93.7,227.6,137.9,169.6,373.3,71.2,191.5,153.5,324.5,66.8,198.2,82.0,106.8,250.4,225.3,318.5,304.1,202.9,154.9,159.0,1595.0,136.3,172.8,0.0,58.3,224.2,192.8,149.5,241.2,55.1,188.2,176.0,128.9,271.0
UV,30.1,224.4,217.4,254.7,65.0,226.8,91.1,120.1,179.3,202.1,193.6,158.0,159.2,125.1,142.2,198.8,152.6,199.6,155.1,64.1,154.3,177.0,163.8,82.9,59.8,182.0,198.9,168.8,38.6,137.7,179.2,170.5,44.1,102.2,203.6,150.2,179.3,200.1,102.8,192.3,50.7,180.7,67.4,95.4,100.3,110.5,218.6,225.6,184.5,170.1,203.2,165.9,171.3,1607.3,167.9,183.8,57.4,0.0,27.2,137.5,161.8,241.5,55.4,188.5,207.6,160.5,271.3
UY,57.4,243.1,244.7,234.3,92.3,254.1,118.4,103.3,174.2,205.3,218.9,185.3,174.3,125.6,125.4,224.5,179.9,178.6,182.4,89.9,181.6,204.3,184.4,66.1,87.1,142.8,226.2,195.3,12.3,165.0,208.5,192.4,17.8,129.5,230.9,90.5,206.6,227.4,128.1,219.1,33.9,208.0,94.7,78.6,127.6,137.8,245.9,252.9,211.8,197.4,230.5,193.2,150.3,1589.1,195.2,211.1,84.7,27.2,0.0,120.7,189.1,268.8,82.7,215.8,234.9,187.8,298.6
VE,162.9,357.7,350.2,143.7,197.8,138.0,308.6,18.4,97.7,291.8,326.4,198.5,292.1,88.9,80.7,148.0,193.1,102.1,165.0,196.9,287.1,186.9,288.9,85.5,192.6,21.0,173.5,305.5,147.3,138.4,154.9,297.9,152.8,235.0,386.8,110.9,312.1,337.8,152.9,324.6,89.1,330.1,202.0,32.6,318.8,257.9,350.4,357.4,316.3,302.9,335.0,298.7,60.6,1657.4,168.6,316.6,164.3,131.7,134.9,0.0,171.7,373.3,188.2,320.3,208.3,170.4,404.1
VI,177.7,308.6,340.7,181.0,212.6,201.7,184.7,148.8,120.7,183.9,340.2,133.7,290.0,50.6,177.1,87.2,128.3,132.5,130.8,153.4,277.6,13.1,303.9,100.1,206.6,107.5,99.1,291.3,193.5,46.0,82.1,293.0,199.2,235.3,326.1,76.5,304.6,361.8,78.5,339.1,136.3,313.0,144.6,163.1,191.9,208.5,352.2,349.7,267.1,292.6,352.8,299.0,97.6,1583.0,75.4,316.9,126.1,178.1,181.3,129.6,0.0,388.3,203.0,336.1,115.1,136.2,418.9
VK,261.0,164.6,139.1,477.2,318.2,465.1,335.8,445.3,415.1,337.0,77.0,366.2,240.9,347.9,474.4,434.6,360.8,422.4,390.9,290.5,265.6,412.8,119.3,397.4,313.0,404.8,336.5,217.9,325.2,360.5,321.6,281.8,331.1,251.0,248.5,373.0,290.6,105.6,343.6,78.8,337.3,282.2,323.0,459.6,345.0,281.9,124.1,59.1,216.4,183.9,62.7,259.8,394.1,1887.1,390.7,277.7,284.7,286.5,313.8,426.9,397.6,0.0,233.1,112.0,430.4,396.3,29.7
WE,27.8,219.1,161.9,317.2,85.0,246.8,85.8,173.5,199.3,87.0,137.9,205.6,91.5,187.0,188.3,218.8,201.3,268.9,175.1,57.3,98.8,197.0,118.6,136.3,63.6,243.9,171.2,113.3,92.0,199.6,160.7,115.0,98.5,46.7,148.1,160.7,123.8,144.6,122.8,136.8,104.1,125.2,65.5,148.8,95.0,112.4,163.0,170.1,129.0,114.6,147.7,110.4,233.2,1627.3,229.8,128.3,93.0,53.3,79.5,191.9,183.8,181.4,0.0,133.0,269.5,180.5,215.8
XO,168.7,89.1,64.8,416.2,225.9,387.7,243.5,314.4,340.2,244.7,44.6,309.5,198.2,286.0,336.5,359.7,304.1,360.5,316.0,198.2,133.6,337.9,33.4,277.2,220.7,342.9,292.0,152.0,232.9,298.6,272.3,144.4,238.8,158.7,182.9,301.6,158.6,37.2,263.7,43.0,245.0,217.0,209.5,289.7,252.7,161.4,49.8,121.2,163.8,149.4,54.4,207.2,332.2,1768.2,328.8,225.1,192.4,194.2,221.5,331.8,322.7,52.9,140.8,0.0,368.5,321.4,82.7
XZ,61.7,256.0,249.0,286.0,96.6,258.4,122.7,254.1,210.9,123.9,225.4,189.6,190.9,156.7,187.2,230.4,184.2,238.6,186.7,94.2,185.9,208.6,195.4,206.2,91.4,213.6,230.5,199.6,83.6,169.3,210.8,202.1,89.5,133.8,235.6,181.8,210.9,237.6,134.4,223.9,95.7,212.3,101.8,140.4,131.9,142.1,250.2,257.2,216.1,201.7,234.8,197.5,202.9,1638.9,199.5,215.4,89.0,44.9,72.2,235.7,193.4,273.1,87.0,220.1,0.0,192.1,302.9
YB,181.0,319.7,344.0,184.9,215.9,205.8,186.0,152.1,124.8,187.2,344.7,137.0,293.3,54.7,181.2,90.5,131.6,136.6,134.1,157.5,280.9,16.4,308.0,104.2,210.7,111.6,102.4,299.3,196.8,49.3,86.4,297.1,202.7,238.6,330.2,79.8,305.9,365.9,81.8,342.7,139.6,317.1,199.8,166.4,195.2,205.4,355.5,351.0,311.1,296.7,354.1,302.3,100.9,1586.3,79.5,320.2,130.2,182.2,185.4,133.7,1.2,392.4,206.3,339.4,119.2,0.0,422.2
YT,231.2,133.6,109.3,448.3,288.4,435.3,306.0,415.5,385.3,307.2,47.3,335.3,211.1,318.1,451.9,404.8,331.0,400.0,361.1,260.7,235.8,383.0,157.9,367.6,267.0,375.0,302.3,188.9,295.4,330.7,291.8,252.0,301.9,221.2,218.3,343.2,260.8,81.7,313.8,49.0,307.5,252.4,293.2,429.8,315.2,255.5,94.2,29.3,186.6,154.1,32.9,230.0,364.3,1857.3,360.9,247.9,320.7,256.7,282.9,397.1,369.8,130.6,203.3,82.2,400.6,366.5,0.0
