from_stop,AB,AI,AJ,BD,BS,BT,BY,CK,CN,CW,DT,DV,EH,EM,FA,FG,FJ,FW,GC,GG,GN,GP,HF,HS,HZ,IB,II,IX,JB,JX,KD,KO,KR,KU,LG,LS,LT,LU,ML,MP,MW,NN,NP,NU,NY,OM,OX,OY,PI,PP,PY,QF,QI,RP,RR,RU,SB,SD,SP,SV,TK,TN,TP,TT,UC,UE,UK,UO,VB,VC,VD,WA,WC,WG,WH,WM,WN,WO,WT,XD,XW,YE,YG,YI,YV,YY,ZW,ZX
LU,385.1,547.6,106.4,296.7,697.6,537.4,205.8,283.1,731.8,221.6,617.2,566.2,634.8,685.3,564.8,9.9,132.5,112.9,376.8,554.8,136.0,569.9,541.8,628.3,401.7,520.7,190.5,558.1,698.8,646.5,541.8,93.3,492.1,557.8,656.6,364.5,675.6,0.0,665.8,627.5,589.4,330.8,461.1,32.1,374.3,651.9,287.6,365.5,700.6,319.4,401.6,736.7,683.1,659.5,53.4,520.8,99.7,655.2,503.3,73.8,331.5,227.2,656.9,586.1,694.9,672.9,236.9,369.2,106.1,142.0,90.2,652.7,551.8,343.7,193.0,633.2,518.7,305.0,486.0,133.8,117.8,665.3,520.2,605.3,155.1,1360.5,193.5,231.4
ML,445.0,322.0,616.0,511.5,293.3,391.9,607.5,618.1,225.8,592.3,320.6,329.4,275.6,210.7,223.3,700.6,742.0,653.2,527.6,233.8,745.5,245.0,376.3,356.1,540.2,410.6,605.9,259.1,190.8,353.2,344.5,702.8,405.6,412.3,182.0,462.9,241.7,690.7,0.0,277.0,325.1,515.3,525.4,722.9,480.1,227.0,729.7,474.0,319.4,533.0,524.7,310.5,175.1,291.5,744.2,269.1,709.2,250.9,354.3,683.3,497.1,587.1,230.4,349.3,131.4,214.8,577.7,458.9,707.9,751.0,699.7,302.2,266.7,483.7,635.1,311.6,432.2,640.0,304.0,627.5,726.1,149.3,293.7,289.7,596.2,1551.2,581.9,696.0
MP,310.7,169.7,591.2,432.9,263.4,340.9,528.9,539.5,143.2,513.7,52.1,209.4,179.4,367.0,178.3,612.3,717.2,628.4,406.7,188.8,633.0,151.2,236.5,87.6,431.6,257.3,581.1,165.3,321.1,98.1,228.4,642.2,271.3,361.3,338.3,328.6,108.3,602.4,185.5,0.0,130.4,436.7,500.6,634.6,345.8,73.5,704.9,395.4,62.1,476.3,390.4,147.1,141.9,195.3,655.9,224.1,601.8,221.0,245.5,658.5,362.8,508.5,176.6,229.3,317.0,91.7,552.9,324.6,635.5,620.5,611.6,25.1,172.9,349.4,610.3,43.1,297.9,561.4,225.4,602.7,701.3,165.3,159.4,244.7,571.4,1524.8,557.1,591.1
MW,331.9,226.7,577.1,452.4,257.7,354.7,548.4,553.8,150.6,546.2,97.2,265.1,151.3,353.8,164.2,640.2,711.5,604.3,421.0,169.5,672.0,131.9,268.8,128.6,451.1,289.6,579.6,163.8,288.3,139.1,260.7,672.3,310.3,361.5,325.1,355.0,71.0,616.7,166.2,40.9,0.0,451.0,481.3,654.6,384.8,129.4,685.6,423.3,121.5,488.9,416.8,129.3,104.6,186.4,675.4,198.1,678.7,201.7,259.0,644.4,384.0,522.8,162.5,290.2,292.5,68.3,547.2,345.8,647.4,660.0,673.4,66.1,153.6,375.8,608.8,97.7,324.3,580.9,257.5,590.6,683.2,162.1,194.2,225.4,552.1,1505.5,546.6,610.6
NN,168.1,272.7,274.4,32.1,422.7,262.5,128.1,138.7,502.0,112.9,376.3,291.3,368.7,623.6,289.9,211.5,334.2,227.2,101.9,279.9,285.5,326.5,266.9,406.8,126.8,245.8,220.6,314.7,577.7,371.6,266.9,294.7,275.1,282.9,594.9,147.5,432.2,201.6,390.9,384.1,356.1,0.0,186.2,233.8,139.3,405.9,344.4,90.6,420.9,171.5,126.7,514.2,439.7,384.6,255.1,244.9,301.4,380.3,228.4,275.5,134.9,107.7,382.0,311.2,522.4,393.7,224.1,152.2,288.0,273.0,291.9,409.3,308.4,147.1,249.8,387.3,301.7,160.6,211.1,213.5,318.3,421.9,276.8,330.4,243.1,1416.7,196.6,190.3
NP,180.2,285.0,275.0,163.7,435.0,274.8,259.7,270.3,514.3,244.9,388.6,303.6,372.2,483.3,302.2,343.1,401.0,307.4,67.7,292.2,417.1,338.8,279.2,419.1,80.3,257.6,264.9,327.0,590.0,383.9,279.2,361.8,263.1,295.2,454.6,198.1,444.5,333.2,403.2,396.4,355.8,167.5,0.0,365.9,211.5,416.9,388.7,79.0,433.2,82.9,194.7,468.0,452.0,400.1,386.7,257.2,368.2,392.6,240.7,342.3,232.3,239.3,394.3,323.5,534.7,408.1,236.7,194.1,374.6,404.3,358.7,421.6,320.7,218.9,275.6,399.6,289.7,292.2,223.4,288.5,386.3,434.2,289.1,342.7,255.2,1346.1,244.5,321.9
NU,352.9,548.3,185.3,289.2,690.1,529.9,201.2,278.5,701.6,217.0,581.4,558.7,639.7,834.8,557.3,202.0,96.7,192.3,369.3,547.3,100.2,537.2,537.4,592.5,394.2,516.3,266.3,522.3,785.3,600.3,537.4,57.5,456.3,550.3,802.5,328.7,642.9,192.1,689.3,591.7,569.3,323.3,453.6,0.0,338.5,616.1,221.8,358.0,646.5,442.5,394.1,704.5,647.3,644.6,129.2,512.3,67.0,647.7,495.8,41.1,295.7,225.7,680.4,578.6,769.9,608.8,312.7,333.4,70.3,109.3,54.4,616.9,516.0,307.9,268.8,597.4,482.9,300.4,481.6,209.6,82.0,629.5,484.4,597.8,230.9,1324.7,269.3,307.2
NY,114.3,309.2,391.7,243.9,506.5,364.1,339.9,350.5,426.8,324.7,345.5,348.9,422.5,592.1,411.0,423.3,515.0,439.0,199.7,401.0,450.7,295.0,368.5,331.6,224.6,347.4,381.6,283.2,546.2,296.4,367.9,459.9,214.0,384.5,563.4,132.2,400.7,413.4,450.2,352.6,327.1,247.7,284.0,449.2,0.0,412.2,505.4,188.4,345.7,269.3,161.0,432.3,408.2,438.4,461.7,366.0,405.4,464.1,268.7,433.1,166.4,319.5,441.3,368.8,530.8,366.1,353.4,128.2,453.2,438.2,415.2,392.7,276.9,153.0,410.8,356.5,240.6,372.4,332.2,425.3,499.1,390.4,245.3,385.7,371.9,1369.4,357.6,402.1
OM,276.3,153.3,516.3,391.6,188.5,285.5,487.6,498.2,83.6,472.8,90.2,209.5,104.5,292.1,103.4,571.0,642.3,548.7,365.4,113.9,598.6,76.3,213.2,121.6,390.3,234.5,506.2,90.4,246.2,130.2,205.1,603.1,236.9,305.9,263.4,294.2,33.4,561.1,110.6,108.3,138.6,395.4,425.7,593.3,311.4,0.0,630.0,354.1,73.9,433.3,356.0,84.7,67.0,113.0,614.6,142.5,609.5,146.1,185.6,583.6,328.4,467.2,101.7,229.4,242.1,12.7,478.0,290.2,591.8,585.8,600.0,77.1,98.0,315.0,516.9,77.1,263.5,520.1,184.1,523.3,627.6,90.4,125.0,169.8,496.5,1449.9,485.8,549.8
OX,380.4,468.9,73.2,263.5,618.9,394.2,172.6,249.9,676.6,188.8,551.5,487.5,564.9,621.9,486.1,147.6,110.7,72.7,343.6,476.1,114.2,499.2,463.1,581.4,368.5,442.0,157.3,487.4,635.4,546.2,418.0,71.5,487.4,414.6,593.2,359.8,604.9,137.7,587.1,556.8,518.7,297.6,352.7,169.9,381.0,582.5,0.0,332.3,595.5,267.0,368.4,681.7,612.4,580.8,143.2,441.1,77.9,576.5,424.6,52.0,326.8,194.0,578.2,507.4,631.5,570.3,203.7,364.5,76.6,119.7,68.4,582.0,481.1,339.0,159.8,562.5,514.0,271.8,407.3,100.6,94.8,594.6,449.5,526.6,121.9,1323.8,136.1,198.2
OY,101.1,205.9,254.9,81.3,355.9,195.7,177.3,187.9,435.2,162.5,304.5,224.5,293.1,556.8,223.1,260.7,380.9,269.4,11.2,213.1,334.7,259.7,200.1,340.0,36.1,178.5,244.8,247.9,510.9,304.8,200.1,341.7,184.0,216.1,528.1,119.0,365.4,250.8,324.1,317.3,289.3,85.1,95.5,283.0,136.2,337.8,368.6,0.0,354.1,80.8,115.6,388.9,372.9,321.0,304.3,184.8,348.1,313.5,161.6,322.2,153.2,156.9,315.2,244.4,455.6,329.0,216.6,115.0,327.9,321.9,338.6,342.5,241.6,139.8,274.0,320.5,210.6,209.8,144.3,261.9,366.2,355.1,210.0,263.6,235.1,1326.0,224.4,239.5
PI,307.5,182.6,576.2,418.3,256.3,299.0,514.3,524.9,82.8,504.3,125.5,222.3,163.5,366.9,171.2,602.5,654.8,611.2,392.1,181.7,634.6,144.1,249.4,123.3,417.0,277.0,566.1,158.2,333.1,51.4,241.3,639.0,265.8,314.6,338.2,325.4,96.4,592.6,178.4,176.1,161.7,422.1,488.7,620.5,342.6,67.7,689.9,385.6,0.0,461.7,387.2,66.4,131.4,180.8,641.3,210.3,603.4,213.9,203.6,600.9,359.6,493.9,169.5,242.2,305.6,90.2,537.9,321.4,627.8,617.8,608.4,112.4,161.0,346.2,576.8,112.4,287.6,546.8,251.9,576.7,640.1,171.1,172.3,237.6,556.4,1424.0,545.7,576.5
PP,157.3,279.9,265.5,80.7,429.9,269.7,176.7,187.3,509.2,161.5,383.5,298.5,375.9,505.2,297.1,260.1,382.8,275.8,78.2,287.1,334.1,333.7,274.1,414.0,82.9,253.0,255.4,321.9,584.9,378.8,274.1,343.3,264.3,290.1,476.5,136.7,439.4,250.2,398.1,391.3,350.7,84.5,88.1,282.9,128.5,413.1,379.2,97.8,428.1,0.0,115.9,521.4,446.9,391.8,303.7,252.1,350.0,387.5,235.6,324.1,163.5,156.3,389.2,318.4,529.6,400.9,227.2,141.4,336.6,321.6,340.5,416.5,315.6,150.1,284.6,394.5,290.9,209.2,218.3,262.1,366.9,429.1,284.0,337.6,245.7,1336.6,231.4,238.9
PY,54.3,253.3,309.2,182.1,450.6,308.2,278.1,288.7,403.0,262.9,291.4,293.0,366.6,536.2,353.6,304.6,395.0,319.2,137.9,343.6,330.7,239.1,312.6,297.5,162.8,291.5,299.1,227.3,490.3,302.2,312.0,339.9,161.3,328.6,507.5,33.7,344.8,294.7,394.3,296.7,258.6,185.9,222.2,326.9,25.5,322.4,422.9,126.6,351.5,207.5,0.0,405.9,352.3,382.5,341.7,308.6,299.5,408.2,212.8,327.2,60.5,257.7,385.4,312.9,474.9,310.2,270.9,38.4,333.2,318.2,309.3,321.9,221.0,47.1,328.3,302.4,187.9,310.6,274.8,363.5,379.1,334.5,189.4,329.8,289.4,1395.0,275.1,340.3
QF,353.4,230.4,593.4,468.7,265.6,336.8,538.9,575.3,110.1,549.9,134.8,286.6,172.8,369.2,154.7,648.1,719.4,625.8,442.5,191.0,649.9,153.4,290.3,140.4,467.4,311.6,583.3,167.5,323.3,134.9,256.4,680.2,288.2,357.2,340.5,371.3,84.7,612.4,187.7,185.4,194.1,472.5,477.0,674.0,388.5,77.0,707.1,405.4,78.6,510.4,433.1,0.0,144.1,190.1,691.7,219.6,660.8,223.2,236.9,660.7,405.5,544.3,178.8,306.5,319.2,99.5,555.1,367.3,643.1,663.7,677.1,121.7,175.1,392.1,594.0,121.7,340.6,597.2,261.2,606.9,704.7,167.5,202.1,246.9,547.8,1381.9,537.1,626.9
QI,307.3,184.3,594.0,436.1,237.5,312.0,532.1,542.7,50.6,516.9,145.4,224.0,153.5,241.3,152.4,603.5,693.9,618.1,410.7,162.9,629.6,107.3,251.1,180.9,435.6,271.9,583.9,121.4,195.4,195.7,243.0,638.8,267.9,332.4,212.6,325.2,104.0,593.6,128.2,139.3,169.6,439.9,495.0,625.8,342.4,89.3,707.7,399.4,144.2,480.3,387.0,162.0,0.0,169.4,640.6,198.2,598.4,195.1,216.6,616.0,359.4,511.7,119.3,243.9,180.0,77.1,555.7,321.2,632.1,617.1,608.2,136.4,129.0,346.0,613.1,136.4,294.5,564.6,240.0,605.5,678.0,39.6,156.0,218.8,574.2,1485.9,559.9,594.3
RP,224.7,35.3,460.4,298.5,279.0,192.4,401.9,405.1,229.1,387.1,98.6,75.0,191.8,364.6,131.8,485.3,586.4,483.4,272.3,125.0,548.7,67.5,102.1,104.7,297.2,119.7,450.3,55.7,318.7,114.9,90.8,547.2,192.7,209.6,335.9,242.6,154.7,464.8,222.7,127.8,76.4,302.3,369.8,511.2,259.8,177.5,574.1,257.8,161.0,341.9,304.4,231.1,191.5,0.0,521.5,93.5,553.6,236.6,145.7,524.5,276.8,370.9,213.8,94.9,303.3,161.7,422.1,235.4,545.1,539.4,544.1,149.0,46.2,260.2,476.3,112.8,211.9,427.0,91.0,467.2,579.1,162.9,73.4,111.8,440.6,1540.4,426.7,456.7
RR,360.1,494.1,52.9,243.2,644.1,483.9,152.3,229.6,723.4,168.5,597.2,512.7,590.1,631.8,511.3,127.3,146.8,52.4,323.3,501.3,150.3,544.9,488.3,628.2,348.2,467.2,137.0,533.1,645.3,593.0,488.3,107.6,467.1,504.3,603.1,339.5,650.6,117.4,612.3,602.5,577.0,277.3,407.6,149.6,360.7,627.3,234.1,312.0,642.3,265.9,348.1,735.6,658.1,606.0,0.0,466.3,114.0,601.7,449.8,88.1,306.5,173.7,603.4,532.6,641.4,615.1,183.4,344.2,112.7,155.8,104.5,627.7,526.8,318.7,139.5,608.2,493.7,251.5,432.5,80.3,130.9,640.3,495.2,551.8,101.6,1413.5,115.8,177.9
RU,265.6,42.6,419.2,243.3,176.7,136.2,345.0,349.9,276.4,323.5,146.2,61.2,122.7,321.7,43.9,428.4,545.2,430.4,217.1,33.9,495.7,111.9,64.9,151.3,242.0,85.7,409.1,100.1,362.1,159.3,56.8,505.9,225.2,163.3,293.0,283.5,201.3,418.5,144.9,153.9,130.2,247.1,307.1,448.6,309.1,159.6,532.9,211.5,208.6,286.7,295.6,243.4,234.9,136.1,466.3,0.0,512.4,134.3,88.8,485.5,317.7,324.6,136.0,81.1,276.4,145.7,380.9,278.5,488.9,484.2,502.9,179.1,99.5,303.3,438.3,157.2,252.8,371.8,35.8,415.8,529.5,206.3,131.5,84.4,405.1,1438.1,387.7,401.5
SB,285.3,484.3,160.2,225.2,626.1,465.9,137.2,214.5,632.0,153.0,522.4,494.7,563.3,767.2,493.3,138.0,32.7,145.6,305.3,483.3,96.2,470.1,470.3,528.5,330.2,448.7,227.5,458.3,721.3,533.2,470.3,31.9,392.3,486.3,738.5,264.7,575.8,128.1,625.3,527.7,489.6,259.3,389.6,103.9,274.5,552.1,208.7,294.0,587.3,374.9,330.1,603.2,583.3,588.0,107.2,448.3,0.0,583.7,431.8,27.6,231.7,158.6,616.4,514.6,705.9,538.2,273.9,269.4,89.4,83.4,9.7,552.9,452.0,243.9,228.3,533.4,418.9,236.4,414.5,193.8,18.0,565.5,420.4,533.8,192.1,1284.1,230.5,266.1
SD,529.1,347.2,629.1,547.9,42.3,405.0,643.9,654.5,309.9,628.7,404.7,365.8,329.3,226.3,259.7,713.7,755.1,666.3,540.7,270.2,758.6,329.1,389.4,440.2,553.3,423.7,619.0,343.2,257.7,437.3,357.6,715.9,489.7,425.4,197.6,547.0,322.7,703.8,293.0,361.1,391.4,551.7,538.5,736.0,564.2,308.0,742.8,552.0,403.5,546.1,608.8,391.5,259.2,345.2,757.3,305.5,722.3,0.0,387.7,696.4,581.2,623.5,284.1,385.7,198.3,295.8,590.8,543.0,721.0,764.1,712.8,386.3,350.8,567.8,648.2,395.7,516.3,676.4,340.4,640.6,739.2,233.4,377.8,326.1,609.3,1564.3,595.0,709.1
SP,182.4,112.2,377.3,219.4,273.5,95.3,315.4,326.0,273.5,300.6,145.3,142.1,210.7,395.1,140.7,398.8,503.3,407.5,193.2,130.7,472.8,98.0,99.7,178.3,218.1,78.1,367.2,86.2,349.2,143.1,117.7,464.1,143.0,115.7,366.4,200.3,203.7,388.9,253.2,155.6,130.1,223.2,286.7,421.1,217.5,180.0,491.0,181.9,192.4,262.8,271.7,273.4,211.2,235.4,442.4,96.7,470.5,231.1,0.0,444.6,234.5,295.0,244.3,162.0,333.8,169.1,339.0,196.3,466.0,460.8,461.0,180.8,79.9,221.1,377.9,161.3,169.6,347.9,61.9,384.3,488.6,193.4,48.3,181.2,357.5,1410.7,346.8,377.6
SV,311.2,510.2,144.1,251.1,652.0,491.8,163.1,240.4,657.9,178.9,548.3,520.6,589.2,660.6,519.2,163.9,58.6,150.6,331.2,509.2,62.1,496.0,496.2,554.4,356.1,475.1,228.2,484.2,747.2,559.1,496.2,19.4,418.2,512.2,631.9,290.6,601.7,154.0,651.2,553.6,515.5,285.2,415.5,88.3,300.4,578.0,181.0,319.9,608.4,294.7,356.0,629.1,609.2,613.9,91.1,480.9,25.8,609.6,457.7,0.0,257.6,184.5,642.3,540.5,731.8,567.1,274.6,295.3,32.2,68.1,16.3,578.8,477.9,269.8,230.7,559.3,444.8,262.3,440.4,171.5,43.9,591.4,446.3,559.7,192.8,1342.4,231.2,269.1
TK,53.5,252.5,248.6,205.2,449.8,307.4,164.0,174.6,402.2,148.8,290.6,292.2,365.8,535.4,352.8,244.0,334.4,258.6,161.0,342.8,270.1,238.3,311.8,296.7,185.9,290.7,238.5,226.5,489.5,301.4,311.2,279.3,160.5,327.8,506.7,32.9,344.0,234.1,393.5,295.9,257.8,209.0,245.3,266.3,42.7,321.6,362.3,149.7,350.7,230.6,122.3,405.1,351.5,381.7,281.1,307.8,238.9,407.4,212.0,266.6,0.0,143.6,384.6,312.1,474.1,309.4,210.3,37.6,272.6,257.6,248.7,321.1,220.2,12.2,267.7,301.6,187.1,196.5,274.0,276.8,318.5,333.7,188.6,329.0,228.8,1408.1,214.5,226.2
TN,215.7,320.3,166.6,69.4,470.3,310.1,20.3,55.8,549.6,5.6,418.9,338.9,416.3,671.2,337.5,104.8,227.5,112.4,149.5,327.5,177.7,374.1,314.5,454.4,174.4,292.9,194.3,362.3,625.3,419.2,314.5,186.9,322.7,330.5,642.5,195.1,479.8,94.9,438.5,431.7,391.1,103.5,233.8,133.0,186.9,452.2,331.3,138.2,468.5,219.1,174.3,561.8,487.3,424.8,148.4,292.5,194.7,427.9,276.0,168.8,179.3,0.0,429.6,358.8,570.0,438.3,179.3,199.8,170.9,164.9,185.2,456.9,356.0,191.5,236.7,434.9,349.3,77.7,258.7,137.6,212.8,469.5,324.4,378.0,158.9,1349.5,187.1,107.4
TP,453.9,330.9,624.9,520.4,302.2,400.8,616.4,627.0,234.7,601.2,329.5,338.3,284.5,219.6,232.2,709.5,750.9,662.1,536.5,242.7,754.4,253.9,385.2,365.0,549.1,419.5,614.8,268.0,199.7,362.1,353.4,711.7,414.5,421.2,190.9,471.8,250.6,699.6,8.9,285.9,320.4,524.2,534.3,731.8,489.0,235.9,738.6,482.9,328.3,541.9,533.6,319.4,184.0,300.4,753.1,278.0,718.1,259.8,363.2,692.2,506.0,596.0,0.0,358.2,140.3,223.7,586.6,467.8,716.8,759.9,708.6,311.1,275.6,492.6,644.0,320.5,441.1,648.9,312.9,636.4,735.0,158.2,302.6,298.6,605.1,1560.1,590.8,704.9
TT,307.6,141.7,519.4,394.7,191.6,288.6,490.7,501.3,244.1,475.5,173.8,181.4,90.4,331.3,106.5,574.1,645.4,556.6,368.5,117.0,648.1,107.6,208.5,209.3,393.4,229.3,509.3,121.7,333.2,219.8,200.4,606.2,268.2,309.0,302.6,325.5,169.7,564.2,120.5,121.6,193.2,398.5,428.8,596.4,342.7,135.5,633.1,357.2,183.8,436.4,387.3,219.0,203.3,106.3,617.7,152.3,612.6,149.2,234.5,586.7,359.7,470.3,111.6,0.0,252.0,123.3,481.1,321.5,611.3,635.6,603.1,146.8,129.3,346.3,538.5,164.8,294.8,523.2,187.2,530.9,629.5,177.4,156.3,34.1,499.6,1453.0,485.3,552.9
UC,481.5,384.2,598.9,567.9,378.4,374.8,675.0,685.6,262.3,659.8,357.1,402.8,327.7,175.0,331.7,683.5,724.9,636.1,510.5,342.2,728.4,281.5,359.2,392.6,523.1,393.5,588.8,295.6,59.3,389.7,327.4,685.7,442.1,395.2,146.3,499.4,278.2,673.6,302.4,313.5,356.4,582.8,508.3,705.8,516.6,263.5,712.6,521.8,355.9,515.9,561.2,347.0,211.6,343.6,727.1,374.4,692.1,336.0,417.9,666.2,533.6,654.6,293.5,422.7,0.0,251.3,560.6,495.4,690.8,733.9,682.6,338.7,303.2,520.2,618.0,348.1,468.7,707.5,395.4,610.4,709.0,185.8,330.2,439.6,579.1,1542.9,564.8,678.9
UE,259.4,136.4,499.4,374.7,171.6,263.0,465.1,481.3,92.4,450.3,94.9,192.6,91.7,296.0,80.9,554.1,625.4,535.9,348.5,97.0,576.1,59.4,196.3,160.6,373.4,221.2,489.3,73.5,244.1,167.6,192.3,586.2,224.1,289.0,267.3,277.3,24.7,544.2,93.7,91.4,128.7,378.5,408.8,576.4,294.5,8.7,613.1,337.2,87.5,416.4,339.1,93.5,60.4,101.1,597.7,129.7,592.6,129.2,168.7,570.8,311.5,450.3,84.8,212.5,234.7,0.0,461.1,267.7,579.0,569.2,583.1,116.6,75.5,292.5,522.6,88.0,246.6,503.2,167.2,510.9,610.7,98.0,108.1,152.9,474.0,1433.0,463.3,532.9
UK,317.6,422.2,137.5,171.3,572.2,412.0,147.4,157.2,651.5,144.3,525.8,440.8,518.2,553.6,439.4,168.0,263.5,131.2,251.4,429.4,267.0,476.0,416.4,556.3,276.3,395.3,127.4,464.2,567.1,521.1,416.4,224.3,424.6,432.4,524.9,297.0,581.7,158.1,540.4,533.6,493.0,205.4,335.7,193.9,288.8,555.4,251.2,240.1,570.4,187.7,276.2,663.7,589.2,534.1,211.6,394.4,230.7,529.8,377.9,204.8,288.4,149.5,531.5,460.7,563.2,543.2,0.0,301.7,229.4,272.5,221.2,558.8,457.9,300.6,156.6,536.8,451.2,179.1,360.6,103.3,247.6,571.4,426.3,479.9,117.7,1430.6,103.4,146.8
UO,15.9,214.8,286.8,167.5,412.1,269.7,202.2,212.8,362.5,187.4,247.9,254.5,328.1,497.7,315.1,282.2,372.6,289.8,123.3,305.1,308.3,200.6,274.1,259.0,148.2,252.5,276.7,188.8,451.8,263.7,273.5,317.5,122.8,290.1,469.0,4.0,306.3,272.3,355.8,258.2,220.1,171.3,207.6,304.5,21.1,282.6,400.5,112.0,313.0,192.9,84.6,333.7,313.8,336.6,319.3,270.1,277.1,369.7,174.3,304.8,38.1,181.8,346.9,274.4,436.4,268.7,248.5,0.0,301.5,295.5,286.9,283.4,182.5,24.7,305.9,263.9,149.4,234.7,236.3,264.6,357.9,296.0,150.9,291.3,267.0,1390.6,256.3,264.4
VB,323.6,522.6,111.8,263.5,664.4,504.2,175.5,252.8,672.3,191.3,560.7,533.0,610.4,690.7,531.6,176.3,71.0,118.3,343.6,521.6,29.8,508.4,508.6,566.8,368.5,487.0,195.9,496.6,759.6,571.5,508.6,15.9,430.6,524.6,662.0,303.0,614.1,166.4,663.6,566.0,545.7,297.6,427.9,55.5,312.8,590.4,228.6,332.3,625.6,413.2,368.4,641.5,621.6,618.9,58.8,486.6,38.2,622.0,470.1,47.5,270.0,196.9,654.7,552.9,744.2,576.5,242.3,307.7,0.0,35.3,28.7,591.2,490.3,282.2,179.9,571.7,457.2,274.7,452.8,162.2,56.3,603.8,458.7,572.1,160.5,1304.0,198.9,236.8
VC,373.1,517.6,76.4,266.7,667.6,507.7,176.1,253.1,722.1,191.6,610.5,536.2,613.9,655.3,534.3,150.3,120.5,83.2,346.8,524.8,124.0,557.9,511.8,615.8,371.7,490.2,160.5,546.1,668.8,616.5,512.1,81.3,480.1,528.1,626.6,352.5,663.9,140.4,635.8,615.5,576.9,300.8,431.4,20.1,362.3,640.2,257.6,335.0,666.1,289.4,371.6,759.4,671.1,629.5,23.4,490.8,88.0,625.2,472.8,61.3,319.5,196.7,626.9,556.1,664.9,629.0,206.9,356.7,94.4,0.0,78.2,640.7,539.3,331.2,163.3,621.2,506.7,275.0,456.0,116.5,105.8,653.3,508.2,575.3,125.4,1348.5,163.8,201.4
VD,294.8,493.8,169.7,234.7,635.6,475.4,146.7,224.0,643.5,162.9,531.9,504.2,581.6,776.7,502.8,147.5,42.2,162.1,314.8,492.8,105.7,479.6,479.8,538.0,339.7,458.7,237.0,467.8,730.8,542.7,479.8,22.1,401.8,495.8,748.0,274.2,585.3,137.6,634.8,537.2,516.9,268.8,399.1,113.4,284.0,562.9,198.9,303.5,592.0,384.4,339.6,646.4,592.8,597.5,116.7,457.8,9.4,593.2,441.3,17.8,241.2,168.1,625.9,524.1,715.4,550.7,283.4,278.9,27.2,93.2,0.0,562.4,461.5,253.4,256.3,542.9,428.4,245.9,424.0,180.3,26.3,575.0,429.9,543.3,201.6,1274.3,215.8,275.6
WA,328.0,203.1,596.7,438.8,292.3,314.7,534.8,545.4,117.0,519.6,157.4,242.8,208.3,402.9,207.2,618.2,675.3,633.9,412.6,217.7,650.3,180.1,269.9,139.0,437.5,298.0,586.6,194.2,369.1,71.9,261.8,659.5,281.5,335.1,374.2,345.9,137.2,608.3,214.4,212.1,159.6,442.6,506.1,640.5,363.1,102.4,710.4,401.3,35.9,482.2,407.7,136.1,167.4,224.2,661.8,253.0,619.1,249.9,219.3,616.6,380.1,514.4,205.5,262.7,341.6,120.6,558.4,341.9,652.8,637.8,628.9,0.0,201.8,366.7,615.8,148.4,308.1,567.3,258.8,608.2,659.4,207.1,192.8,273.6,576.9,1458.1,562.6,597.0
WC,178.2,55.2,464.9,307.0,229.5,182.9,403.0,413.6,179.9,388.2,68.3,94.9,136.7,315.1,144.4,474.4,564.8,482.0,281.6,154.9,500.5,18.1,122.0,79.4,306.5,142.8,454.8,6.3,269.2,86.4,113.9,509.7,138.8,203.3,286.4,196.1,129.4,464.5,173.2,75.6,40.5,310.8,365.9,496.7,213.3,100.0,578.6,270.3,135.7,351.2,257.9,151.1,131.2,161.4,511.5,109.9,469.3,187.1,87.5,486.9,230.3,382.6,164.3,114.8,253.8,130.8,426.6,192.1,493.7,488.0,479.1,100.8,0.0,216.9,484.0,84.3,165.4,435.5,110.9,465.4,550.1,113.4,26.9,131.7,445.1,1490.9,434.4,465.2
WG,41.3,240.3,262.0,193.0,437.6,295.2,177.4,188.0,388.0,162.6,273.4,280.0,344.8,523.2,340.6,257.4,347.8,265.0,148.8,330.6,283.5,226.1,299.6,284.5,173.7,278.5,251.9,214.3,477.3,289.2,299.0,292.7,148.3,315.6,494.5,20.7,331.8,247.5,381.3,283.7,258.2,196.8,233.1,279.7,30.5,308.1,375.7,137.5,338.5,218.4,110.1,392.9,339.3,362.1,294.5,295.6,252.3,395.2,199.8,280.0,13.4,157.0,372.4,299.9,461.9,294.2,223.7,25.4,276.7,270.7,262.1,308.9,208.0,0.0,281.1,289.4,174.9,209.9,261.8,290.2,333.1,321.5,176.4,316.8,242.2,1421.5,231.5,239.6
WH,373.5,507.5,66.3,256.6,657.5,497.3,184.2,243.0,720.2,200.0,605.6,526.1,594.7,645.2,524.7,140.7,151.8,72.8,336.7,514.7,155.3,558.3,501.7,641.6,361.6,480.1,150.4,546.5,658.7,606.4,520.2,112.6,480.5,536.2,616.5,352.9,664.0,130.8,625.7,615.9,608.9,290.7,421.0,163.0,374.1,657.9,247.5,325.4,660.5,279.3,361.5,690.5,671.5,612.0,184.3,486.4,137.5,615.1,481.7,111.6,319.9,205.6,616.8,546.0,654.8,625.5,196.8,357.6,125.4,161.3,109.5,641.1,558.7,332.1,0.0,621.6,507.1,264.9,445.9,116.7,137.1,653.7,508.6,565.2,115.0,1426.9,153.4,191.3
