from_stop,AH,AJ,BG,BK,BT,BU,BV,CE,CG,CJ,CK,CN,CO,CP,DA,DQ,DZ,EG,EK,EQ,ER,FB,FF,FM,FQ,GV,GW,GZ,HN,HO,HP,IF,JM,KE,KF,KI,KL,KP,KV,KW,LQ,LW,MC,MH,MM,MO,MV,NA,ND,NH,NN,NO,NS,NT,OB,OC,OH,OI,OK,ON,OV,OW,OY,PE,PR,PX,QI,QN,QP,QS,RH,RI,RX,SG,SI,SJ,TC,TD,TT,TZ,UD,UJ,UP,UW,UZ,VL,VT,WA,WD,WW,XG,YR,YZ,ZJ,ZU
KF,271.1,271.1,337.6,238.4,565.5,305.3,251.6,455.5,281.3,251.0,221.3,289.2,302.0,181.2,233.3,226.0,304.6,394.2,476.3,91.6,250.3,534.8,241.6,192.4,473.8,249.0,488.8,523.9,206.2,486.3,1613.7,225.1,243.7,608.6,0.0,453.6,300.1,291.9,300.3,627.3,311.7,174.6,211.1,276.4,232.8,359.4,329.7,298.2,260.4,229.0,330.2,281.2,284.9,190.2,210.8,259.5,249.4,248.6,488.8,382.1,265.1,556.0,479.3,410.5,569.4,276.3,233.2,249.2,475.4,184.9,509.0,176.5,284.6,253.3,522.8,296.2,305.7,241.2,557.0,552.1,210.8,648.0,505.6,394.5,209.1,249.2,532.0,201.9,639.0,350.7,288.1,428.2,664.1,173.3,165.0
KI,355.7,466.7,427.0,417.7,144.4,488.9,338.0,113.2,362.5,326.7,305.9,105.7,383.2,311.7,317.9,423.3,380.3,99.2,137.7,326.6,288.0,113.7,401.1,401.1,50.0,408.5,149.6,65.9,385.5,15.7,1291.1,314.4,451.0,124.1,390.9,0.0,484.4,372.4,410.3,142.8,447.8,361.0,408.4,435.9,421.3,88.6,447.8,400.0,418.4,253.6,448.1,419.1,487.1,299.3,359.6,344.1,327.8,455.9,167.2,408.1,473.8,71.5,117.8,115.5,84.9,386.3,386.1,408.7,108.6,393.6,55.3,385.2,466.8,412.8,161.2,377.3,514.4,435.2,177.7,199.1,419.5,163.5,144.1,421.2,381.3,446.5,170.4,367.6,155.0,522.7,445.7,89.0,173.2,382.0,373.7
KL,271.6,101.0,252.4,22.0,567.0,134.9,142.8,429.1,230.4,194.6,198.0,265.9,251.1,192.9,209.7,104.2,248.2,370.9,453.6,179.1,141.5,536.3,150.8,106.5,238.2,158.2,465.5,534.8,44.1,498.0,1471.3,116.3,73.3,585.3,99.5,510.9,0.0,235.5,215.1,604.0,141.3,201.8,89.3,209.3,126.7,336.1,166.0,176.4,138.6,190.6,208.4,159.4,114.5,180.5,71.0,284.0,140.6,78.2,465.5,211.7,179.2,532.7,480.8,387.2,546.1,191.1,101.4,166.5,452.1,99.0,519.9,90.6,162.8,162.5,499.5,244.7,146.9,70.8,558.5,525.2,136.3,650.3,507.1,224.1,131.0,127.4,509.7,62.1,615.7,194.5,166.3,404.9,660.0,170.3,162.0
KP,61.1,308.1,330.4,275.4,489.4,342.3,244.4,330.9,58.6,43.9,109.1,99.6,79.3,157.3,123.8,284.0,8.4,272.7,355.4,190.5,243.1,458.7,234.4,229.4,353.8,241.8,367.3,398.1,239.0,347.9,1600.0,217.9,280.7,487.1,218.2,332.1,332.9,0.0,288.9,505.8,348.7,146.5,248.1,269.2,249.6,237.9,366.7,279.2,247.5,200.9,363.0,318.2,321.9,166.3,248.4,73.5,238.0,285.6,384.9,419.1,302.1,434.5,317.3,289.6,448.5,269.1,270.2,237.8,353.9,217.7,387.5,213.5,321.6,246.1,401.3,34.8,338.5,274.0,377.2,427.4,247.8,526.5,343.6,427.3,214.6,286.8,411.1,238.9,513.3,387.7,320.9,306.7,545.9,210.3,202.0
KV,172.2,236.3,56.3,185.6,351.8,277.1,105.9,362.6,113.0,149.7,220.2,143.5,133.7,121.3,233.7,216.4,148.8,291.3,386.5,195.0,96.6,321.1,157.2,258.4,212.9,164.6,399.0,323.4,153.4,282.8,1514.6,82.3,218.9,388.3,244.9,295.7,265.3,136.1,0.0,401.3,227.1,130.2,176.3,149.2,272.1,280.7,245.1,200.0,174.5,63.2,232.0,194.9,256.7,108.9,127.5,184.6,77.7,230.7,416.6,322.4,324.6,330.0,265.6,307.6,343.4,154.2,154.0,164.8,367.6,244.4,304.7,236.0,249.8,168.9,433.0,145.3,289.1,216.4,316.9,458.7,281.7,435.1,291.9,334.8,137.4,214.4,442.2,135.5,413.0,326.0,221.5,338.4,451.2,232.8,224.5
KW,477.5,588.5,618.9,568.9,136.6,629.3,532.9,157.2,484.3,448.5,427.7,233.4,505.0,489.3,439.7,556.5,502.1,258.2,181.7,448.4,418.3,105.9,522.9,522.9,177.7,530.3,193.6,91.9,536.7,114.7,1301.3,506.4,574.2,134.3,512.7,127.6,606.2,494.2,581.6,0.0,619.0,482.8,541.6,557.7,543.1,176.9,578.1,546.4,540.2,383.9,578.4,586.8,608.9,498.3,511.2,465.9,530.7,579.1,193.6,538.4,595.6,81.7,143.8,274.5,95.1,557.6,537.7,530.5,152.6,515.4,81.3,507.0,588.6,534.6,171.4,499.1,636.2,558.4,203.7,56.2,541.3,173.7,170.1,551.5,503.1,579.7,180.6,519.2,12.2,688.9,613.4,133.0,183.4,503.8,495.5
LQ,347.5,65.0,215.3,98.1,539.6,65.0,218.7,504.3,306.3,270.5,273.2,331.3,327.0,268.8,285.2,180.3,324.1,446.1,528.8,224.6,217.4,508.9,99.8,182.6,447.9,89.8,540.7,503.1,120.2,470.6,1336.8,192.2,149.4,570.4,172.4,483.5,64.7,316.2,187.7,589.1,0.0,277.7,165.4,82.0,202.8,411.3,24.6,49.1,108.7,251.0,81.1,32.1,85.4,256.4,146.9,359.9,216.5,154.3,558.3,95.2,231.9,517.8,453.4,462.4,531.2,163.7,140.9,136.6,545.8,175.1,492.5,166.7,115.0,83.9,574.7,321.1,110.8,133.6,513.3,600.4,201.0,610.6,479.7,108.3,143.3,115.5,583.9,138.2,601.3,98.8,57.0,480.1,620.3,228.2,219.9
LW,153.3,200.3,222.6,167.6,390.8,234.5,136.6,322.5,106.6,76.3,91.4,166.0,127.3,7.8,103.1,155.2,129.9,264.3,347.1,64.7,52.9,360.1,128.8,128.1,131.6,134.0,358.9,358.5,135.4,321.8,1492.2,110.1,172.9,427.3,114.6,334.7,229.3,121.4,185.3,440.3,240.9,0.0,140.3,161.4,141.8,229.5,258.9,171.4,143.9,54.3,259.4,210.4,214.1,15.5,140.0,165.7,134.4,184.7,358.9,311.3,194.3,369.0,304.6,280.6,382.4,161.3,152.0,134.2,345.5,114.1,343.7,105.7,213.8,138.3,392.9,126.4,234.9,170.4,382.3,418.6,140.0,474.1,330.9,323.7,106.8,178.4,402.1,131.1,452.0,279.9,217.3,298.3,483.8,102.5,96.6
MC,305.9,59.9,165.5,111.0,480.1,100.7,177.1,490.9,264.7,228.9,228.4,271.8,285.4,227.2,240.4,14.8,282.5,401.3,515.4,179.8,175.8,449.4,87.5,195.5,388.4,127.7,527.3,443.6,116.7,411.1,1437.4,150.6,162.3,510.9,185.3,424.0,77.6,274.6,128.2,529.6,100.5,236.1,0.0,119.9,215.7,409.0,118.5,93.2,49.2,191.5,119.0,70.0,80.3,214.8,105.3,318.3,168.2,167.2,544.9,195.5,248.5,458.3,393.9,417.6,471.7,104.2,99.3,77.1,486.3,188.0,433.0,179.6,73.4,121.8,561.3,279.5,112.7,146.5,453.8,587.0,213.9,563.4,420.2,208.6,98.5,38.0,570.5,98.8,541.8,160.3,76.9,466.7,573.1,186.6,178.3
MH,284.9,134.5,133.2,169.3,465.8,142.9,164.1,476.6,243.7,207.9,227.7,257.5,264.4,206.2,239.7,197.7,261.5,405.3,501.1,179.1,154.8,435.1,54.3,248.9,374.1,44.3,513.0,429.3,159.9,396.8,1365.3,140.5,220.6,496.6,238.7,409.7,135.9,253.6,113.9,515.3,77.8,215.1,182.8,0.0,269.1,394.7,95.8,26.5,110.4,177.2,82.7,45.6,154.9,193.8,148.5,297.3,135.9,225.5,513.0,173.1,309.8,444.0,379.6,421.6,457.4,89.9,142.5,138.3,472.0,241.4,418.7,233.0,116.6,38.4,547.0,258.5,187.3,204.8,439.5,572.7,267.3,545.3,405.9,186.2,97.8,130.6,556.2,142.0,527.5,176.7,72.2,452.4,555.0,229.8,221.5
MM,307.7,307.4,374.2,275.0,602.1,327.6,288.2,489.0,317.9,287.6,257.9,325.8,338.6,217.8,269.9,262.6,341.2,430.8,513.5,128.2,286.9,571.4,278.2,228.4,510.4,285.6,525.4,556.2,242.8,506.0,1572.3,261.7,279.7,645.2,216.1,490.2,325.4,333.3,336.9,663.9,347.7,211.3,247.7,313.0,0.0,396.0,366.3,334.8,297.0,265.6,366.8,317.8,305.3,226.8,247.4,296.1,286.0,284.6,525.4,418.1,257.3,592.6,515.9,447.1,606.0,312.9,259.4,285.8,502.4,220.9,545.6,181.3,321.2,289.9,559.4,332.3,275.9,263.9,575.8,585.1,203.0,684.6,542.2,431.2,258.4,285.8,568.6,238.5,676.1,320.9,324.7,464.8,694.3,209.9,201.6
MO,267.0,378.0,408.4,358.4,251.4,418.8,322.4,92.9,273.8,238.0,217.2,151.7,294.5,278.8,229.2,346.0,291.6,34.7,117.4,237.9,321.1,220.7,312.4,312.4,115.8,319.8,129.3,160.1,326.2,109.9,1416.1,295.9,363.7,249.1,302.2,94.1,395.7,283.7,371.1,267.8,408.5,272.3,331.1,347.2,332.6,0.0,426.5,381.4,329.7,326.6,413.4,376.3,398.4,287.8,300.7,255.4,320.2,368.6,129.3,451.4,385.1,196.5,79.3,51.0,209.9,347.1,327.2,320.0,106.3,304.9,149.5,296.5,378.1,324.1,163.3,288.6,425.7,347.9,139.2,189.0,330.8,288.5,105.6,464.5,292.6,369.2,172.5,308.7,280.0,478.4,402.9,68.7,298.2,293.3,285.0
MV,320.5,40.3,200.3,73.4,514.9,81.1,194.2,483.6,281.8,246.0,249.4,304.1,300.0,242.4,261.1,54.3,299.6,422.3,504.4,214.6,192.9,484.2,124.5,164.4,289.6,129.7,516.9,480.2,93.0,450.4,1419.2,167.7,124.7,551.4,148.4,458.8,48.8,286.9,160.5,564.4,105.5,250.7,140.7,172.7,178.1,387.5,0.0,137.3,81.5,226.3,169.3,120.3,60.7,231.9,122.4,335.4,192.0,136.5,514.4,175.9,226.4,493.1,428.7,436.1,504.0,139.0,152.5,109.4,528.2,147.9,467.8,142.0,105.7,174.6,550.9,293.6,90.6,119.7,513.9,580.2,187.7,598.2,455.0,185.8,122.9,88.3,561.1,113.5,576.1,140.7,129.7,456.3,611.8,221.4,215.5
NA,298.3,83.7,175.9,134.8,490.5,124.5,169.5,448.9,257.1,234.6,217.8,282.2,291.1,231.0,229.5,171.1,288.2,411.3,473.5,169.2,168.2,459.8,97.9,198.1,258.0,105.3,537.7,462.1,109.1,421.5,1388.1,143.0,194.0,521.3,206.1,434.4,112.7,262.2,138.6,540.0,51.2,241.8,132.0,26.6,233.3,355.9,160.3,0.0,74.2,201.9,56.1,19.0,128.3,220.5,97.7,324.0,162.6,198.9,502.9,146.5,283.2,468.7,404.3,427.6,482.1,114.6,134.3,111.7,506.3,205.6,443.4,182.2,65.8,109.6,571.7,271.4,160.7,191.5,482.0,545.0,227.9,573.8,432.6,231.7,98.5,104.0,580.9,91.2,551.7,184.1,45.6,424.7,588.1,194.0,170.7
ND,267.9,48.2,116.2,99.3,430.8,89.0,147.1,441.6,226.7,190.9,179.1,222.5,247.4,187.3,190.8,129.4,244.5,352.0,466.1,130.5,137.8,400.1,40.4,180.9,339.1,45.6,478.0,398.5,91.6,361.8,1427.1,123.5,150.6,467.3,167.4,374.7,77.2,231.8,78.9,480.3,106.8,198.1,114.5,114.7,194.6,359.7,124.8,99.5,0.0,142.2,125.3,76.3,68.6,176.8,70.5,280.3,118.9,162.4,495.6,183.8,236.8,409.0,344.6,368.3,422.4,54.9,74.2,27.8,446.6,166.9,383.7,158.5,48.3,49.9,512.0,241.0,101.0,148.1,422.3,537.7,192.8,514.1,370.9,196.2,49.2,44.3,521.2,73.7,492.0,148.6,83.2,417.4,523.8,155.3,147.0
NH,111.4,214.7,193.9,164.0,336.4,255.5,84.3,324.5,52.2,55.5,159.4,128.1,72.9,56.1,170.1,194.8,88.0,266.3,348.4,131.7,34.3,305.7,137.8,195.1,244.7,143.0,360.9,304.2,131.8,267.4,1501.2,60.7,197.3,372.9,181.6,280.3,243.7,75.3,156.6,385.9,252.3,66.9,154.7,170.4,208.8,231.5,272.8,225.2,152.9,0.0,257.2,220.1,235.1,45.6,105.9,123.8,74.1,209.1,360.9,335.7,261.3,314.6,250.2,282.6,328.0,132.6,132.4,143.2,347.5,181.1,289.3,172.7,228.2,147.3,394.9,84.5,267.5,194.8,327.9,420.6,218.4,419.7,276.5,348.1,115.8,192.8,404.1,113.9,397.6,315.1,231.7,300.3,429.4,169.5,161.2
NN,266.3,51.7,143.9,102.8,458.5,92.5,137.5,469.3,225.1,189.3,206.4,250.2,245.8,185.7,218.1,114.9,242.9,379.3,493.8,158.2,136.2,427.8,65.9,166.1,366.8,73.3,505.7,426.3,77.1,389.5,1430.6,111.0,142.6,489.3,159.1,402.4,80.7,230.2,106.6,508.0,110.3,196.5,100.0,129.7,186.3,387.4,128.3,96.8,27.6,169.9,0.0,79.8,72.1,175.2,65.7,278.7,135.3,147.5,523.3,187.3,238.8,436.7,372.3,395.6,450.1,82.6,70.1,55.5,474.3,158.6,411.4,150.2,33.8,77.6,539.7,239.4,104.5,140.1,450.0,565.4,195.9,541.8,398.6,199.7,66.5,47.8,548.9,59.2,519.7,152.1,86.7,445.1,551.5,147.0,138.7
NO,315.3,90.5,183.1,123.6,507.5,97.2,186.5,472.1,274.1,238.3,241.0,299.2,294.8,234.7,252.7,80.8,291.9,413.9,496.6,192.4,185.2,476.8,64.7,208.1,281.2,57.6,508.5,475.3,126.1,438.5,1369.0,160.0,174.9,544.0,201.1,451.4,101.5,283.4,155.6,557.0,32.1,245.5,149.0,49.8,228.3,379.1,50.1,16.9,76.6,218.9,48.9,0.0,110.9,224.2,114.7,327.7,184.3,186.7,526.1,127.4,264.1,485.7,421.3,430.2,499.1,131.6,127.1,104.5,523.3,200.6,460.4,192.2,82.8,51.7,542.5,288.4,143.0,172.4,472.6,568.2,226.5,580.1,447.6,139.8,100.7,96.8,552.7,108.2,568.7,131.0,26.5,447.9,596.2,196.0,187.7
NS,327.4,20.3,187.0,78.1,501.6,20.3,198.6,512.4,286.2,250.4,249.9,293.3,306.9,248.7,261.9,160.3,304.0,422.8,536.9,201.3,197.3,470.9,109.0,162.6,409.9,116.4,548.8,465.1,100.2,432.6,1358.4,172.1,129.4,532.4,152.4,445.5,44.7,296.1,149.7,551.1,76.8,257.6,145.4,158.9,182.8,430.5,101.5,132.2,70.7,213.0,158.0,109.0,0.0,236.3,126.8,339.8,189.7,134.3,548.8,142.8,168.1,479.8,415.4,439.1,493.2,125.7,120.8,98.6,507.8,155.1,454.5,146.7,94.9,160.8,582.8,301.0,32.3,113.6,475.3,608.5,162.6,584.9,441.7,155.9,120.0,77.5,592.0,118.2,563.3,79.9,116.4,488.2,594.6,208.1,199.8
NT,137.7,221.6,196.9,188.9,375.2,255.8,87.3,363.3,91.0,60.7,112.7,166.9,111.7,12.3,124.7,176.5,114.3,305.1,387.8,86.0,37.3,344.5,147.9,142.9,283.5,155.3,399.7,338.7,156.7,306.2,1513.5,63.7,194.2,406.0,132.7,319.1,239.3,106.4,159.6,424.7,262.2,21.2,161.6,182.7,163.1,270.3,280.2,192.7,165.2,38.7,280.7,231.7,235.4,0.0,108.9,150.1,77.1,199.1,417.3,332.6,215.6,353.4,289.0,321.4,366.8,135.6,173.3,155.5,376.7,135.4,328.1,127.0,235.1,159.6,433.7,111.3,256.2,178.4,348.9,459.4,161.3,458.5,315.3,345.7,128.1,199.7,442.9,152.4,436.9,301.2,238.6,339.1,468.2,123.8,115.5
OB,200.5,108.7,181.3,58.0,495.9,149.5,71.7,434.7,159.3,123.5,156.6,224.5,180.0,121.8,168.6,88.8,177.1,373.4,456.1,108.0,70.4,465.2,81.9,139.3,196.8,87.1,468.0,463.7,25.8,426.9,1486.2,45.2,91.3,532.4,125.8,439.8,137.7,168.6,144.0,545.4,149.3,130.7,48.7,114.5,153.0,338.6,169.8,135.8,98.0,119.5,167.8,118.8,129.1,109.4,0.0,212.9,69.5,96.2,485.6,229.7,205.5,474.1,409.7,389.7,487.5,120.0,26.4,125.9,454.6,125.3,448.8,116.9,122.2,91.4,502.0,173.6,161.5,88.8,469.6,528.1,162.6,579.2,436.0,242.1,59.9,86.8,512.2,7.9,557.1,209.1,125.7,407.4,595.3,113.7,105.4
OC,11.6,273.9,296.2,241.2,507.4,308.1,210.2,324.6,109.6,94.9,35.5,95.0,130.3,123.1,50.2,228.8,68.7,266.4,349.1,156.3,208.9,476.7,200.2,195.2,415.7,207.6,361.0,470.9,209.0,341.6,1565.8,183.7,246.5,480.8,185.0,325.8,291.6,60.8,258.9,499.5,314.5,116.6,213.9,235.0,215.4,231.6,332.5,301.0,217.5,170.9,333.0,284.0,287.7,132.1,213.6,0.0,208.0,251.4,361.0,384.9,267.9,428.2,421.2,282.7,441.6,234.9,225.6,207.8,338.0,187.7,460.3,179.3,287.4,211.9,395.0,36.1,308.5,230.7,481.1,420.7,213.6,520.2,447.5,398.0,180.4,252.0,404.2,204.7,511.7,353.5,290.9,300.4,529.9,176.1,167.8
OH,264.0,190.8,221.2,171.6,535.8,231.6,135.2,392.2,222.8,187.0,158.0,225.9,243.5,185.3,169.7,170.1,240.6,330.9,413.0,109.4,133.9,505.1,125.2,153.3,444.1,132.6,425.5,503.6,139.4,466.8,1490.8,108.7,204.6,572.3,146.3,479.7,219.8,227.9,183.9,585.3,221.3,194.2,162.3,160.0,173.5,296.1,241.8,194.2,142.5,183.0,226.2,189.1,211.2,172.9,113.5,276.4,0.0,216.4,425.5,264.2,226.0,514.0,449.6,347.2,527.4,159.9,140.0,132.8,412.1,145.8,488.7,137.4,190.9,136.9,459.5,237.1,243.6,202.1,527.3,485.6,171.7,619.1,475.9,276.6,105.4,186.9,468.7,121.5,597.0,291.2,215.7,364.9,628.8,134.2,128.3
OI,413.6,106.5,273.2,164.3,587.8,108.4,284.8,533.9,372.4,336.6,299.7,372.6,386.2,333.0,311.4,127.2,390.2,472.6,554.7,287.5,283.5,557.1,197.4,205.4,339.9,202.6,567.2,548.7,186.4,516.4,1446.5,258.3,195.0,624.3,196.5,531.7,134.3,377.5,235.9,637.3,164.8,336.9,231.6,245.6,168.6,437.8,192.0,205.8,156.9,299.2,237.8,195.7,86.1,322.5,213.0,426.0,275.9,0.0,577.9,230.9,139.1,566.0,501.6,482.0,579.4,211.9,225.4,177.9,546.9,241.3,540.7,158.5,181.1,247.5,601.2,386.7,85.3,96.1,586.8,630.5,152.4,671.1,527.9,236.4,195.8,163.7,611.4,204.4,649.0,138.2,202.6,506.6,673.9,294.3,288.4
OK,523.3,650.4,680.8,614.7,292.4,675.1,578.7,321.1,546.2,494.3,489.6,365.6,550.8,551.2,503.1,613.6,547.9,262.9,160.3,494.2,546.0,261.7,570.9,584.8,326.0,576.1,0.0,257.7,582.5,258.9,1322.0,552.2,620.0,161.0,577.8,288.2,663.3,551.3,643.5,163.6,680.9,544.6,587.4,619.6,588.9,256.2,682.8,613.5,603.6,513.1,669.7,648.7,672.3,544.1,557.0,527.8,576.5,641.0,0.0,650.0,641.4,237.5,301.5,279.2,234.8,619.5,610.0,576.3,273.5,577.3,256.6,552.8,650.5,580.4,32.4,544.4,699.6,617.5,386.7,230.4,614.6,128.8,327.8,678.5,548.9,641.6,41.6,581.1,192.9,750.8,675.3,296.9,128.8,549.6,557.4
ON,362.7,80.0,240.0,113.1,554.6,104.7,233.9,520.2,321.5,285.7,289.1,346.3,342.2,284.0,301.1,195.3,339.3,462.0,544.7,254.3,232.6,523.9,132.8,197.6,462.9,122.8,556.6,518.1,135.2,485.6,1376.5,207.4,164.4,585.4,187.4,498.5,79.7,331.4,202.7,604.1,39.6,292.9,180.4,115.0,217.8,427.2,39.6,88.3,123.7,266.0,114.1,65.1,100.4,271.6,162.1,375.1,231.7,169.3,556.6,0.0,268.6,532.8,468.4,478.3,546.2,178.7,173.8,151.6,560.8,190.1,507.5,181.7,147.9,116.9,590.6,336.3,132.8,148.6,528.3,616.3,216.0,637.9,494.7,13.0,173.0,130.5,599.8,153.2,616.3,138.5,90.0,496.0,647.6,261.1,252.8
OV,291.3,83.5,250.2,59.7,564.8,117.4,162.5,466.8,250.1,214.3,235.7,303.6,270.8,210.7,247.4,104.2,267.9,408.6,490.7,198.8,161.2,534.1,170.5,144.2,473.1,213.7,503.2,532.6,63.8,495.8,1453.8,136.0,55.8,601.3,137.2,508.7,119.2,259.4,212.9,614.3,123.8,221.5,109.0,205.9,164.4,373.8,148.5,179.2,133.9,210.3,205.0,156.0,97.0,200.2,90.7,303.7,160.3,67.6,520.8,194.2,0.0,543.0,478.6,424.9,556.4,188.9,113.1,161.8,489.8,136.7,517.7,128.3,158.1,207.8,537.2,264.4,129.4,53.3,529.9,562.9,162.6,648.1,504.9,206.6,172.8,140.7,546.4,81.8,626.0,177.0,179.6,442.6,664.2,190.0,184.1
OW,424.0,535.0,495.3,486.0,95.2,557.2,406.3,153.1,430.8,395.0,374.2,174.0,451.5,380.0,386.2,491.6,448.6,167.5,215.6,394.9,356.3,64.5,469.4,469.4,118.3,476.8,227.5,105.8,453.8,55.3,1219.5,382.7,519.3,52.5,459.2,68.2,552.7,440.7,478.6,71.2,516.1,429.3,476.7,504.2,489.6,156.9,516.1,468.3,486.7,321.9,516.4,487.4,555.4,367.6,427.9,412.4,396.1,524.2,227.5,476.4,542.1,0.0,141.8,183.8,13.4,454.6,454.4,477.0,148.5,461.9,95.2,453.5,535.1,481.1,89.6,445.6,582.7,503.5,201.7,127.5,487.8,91.9,168.1,489.5,449.6,514.8,98.8,435.9,83.4,591.0,514.0,128.9,101.6,450.3,442.0
OY,333.6,444.6,475.0,425.0,478.8,485.4,389.0,320.3,340.4,304.6,283.8,126.7,361.1,345.4,295.8,412.6,358.2,262.1,344.8,304.5,387.7,448.1,379.0,379.0,343.2,386.4,356.7,387.5,392.8,337.3,1643.5,362.5,430.3,476.5,368.8,321.5,462.3,350.3,437.7,495.2,475.1,338.9,397.7,413.8,399.2,227.3,493.1,448.0,396.3,393.2,480.0,442.9,465.0,354.4,367.3,322.0,386.8,435.2,356.7,518.0,451.7,423.9,0.0,278.4,437.3,413.7,393.8,386.6,333.7,371.5,376.9,363.1,444.7,390.7,390.7,355.2,492.3,414.5,59.8,416.4,397.4,515.9,26.2,531.1,359.2,435.8,399.9,375.3,507.4,545.0,469.5,296.1,525.6,359.9,351.6
PE,437.3,548.3,578.7,528.7,200.3,589.1,492.7,41.8,444.1,408.3,387.5,279.6,464.8,449.1,399.2,516.3,461.9,160.8,65.7,408.2,443.9,169.6,482.7,482.7,247.5,490.1,78.2,177.9,496.5,218.0,1365.0,466.2,534.0,198.0,475.7,202.2,577.3,449.2,541.4,216.7,578.8,442.5,501.4,517.5,502.9,170.2,596.8,551.7,500.0,409.5,583.7,546.6,568.7,458.1,471.0,425.7,490.5,545.8,79.7,564.0,555.4,145.4,225.5,0.0,158.8,517.4,515.9,490.3,64.8,475.2,163.0,466.8,548.4,494.4,112.2,458.4,596.0,531.5,303.2,137.9,512.5,237.4,251.8,576.4,450.2,539.5,122.4,479.0,228.4,648.7,573.2,17.6,256.8,463.6,455.3
PR,433.9,544.9,505.2,495.9,105.1,567.1,416.2,163.0,440.7,404.9,384.1,183.9,461.4,388.0,395.8,525.0,458.5,177.4,202.3,404.8,366.2,74.4,481.5,485.8,128.2,486.7,214.1,154.1,463.7,65.2,1206.1,392.6,529.2,44.8,472.3,78.1,573.9,450.0,488.5,57.8,526.0,439.1,486.6,514.1,499.5,166.8,528.5,478.2,496.6,331.8,526.3,497.3,565.3,377.5,437.8,422.3,406.0,541.0,231.7,486.3,552.0,9.8,151.7,193.7,0.0,464.5,464.3,486.9,168.0,471.8,139.2,463.4,545.0,491.0,76.2,455.0,592.6,526.7,203.0,114.1,497.7,78.5,178.0,498.7,459.5,524.7,85.4,445.8,69.5,600.9,523.9,138.8,88.2,460.2,451.9
PX,196.2,260.3,80.3,209.6,375.8,281.7,129.9,386.6,137.0,173.7,244.2,167.5,157.7,145.3,257.7,215.2,172.8,315.3,411.1,219.0,120.6,345.1,181.2,275.9,284.1,188.6,423.0,339.3,177.4,306.8,1504.1,106.3,242.9,406.6,265.7,319.7,274.7,164.9,23.9,425.3,216.6,154.2,200.3,138.7,296.1,304.7,234.6,165.3,198.5,87.2,221.5,184.4,280.7,132.9,151.5,208.6,101.7,247.8,423.0,311.9,348.6,354.0,289.6,331.6,367.4,0.0,178.0,188.8,382.0,268.4,328.7,260.0,255.4,192.9,457.0,169.8,313.1,227.1,349.5,482.7,294.3,459.1,315.9,325.0,161.4,238.4,466.2,159.5,437.5,315.5,211.0,362.4,468.8,256.8,248.5
QI,186.0,174.6,280.2,141.9,525.8,208.8,186.1,367.3,265.7,237.9,136.2,196.1,294.4,114.3,148.2,146.7,291.5,309.1,391.8,105.6,184.8,495.1,194.1,95.9,406.9,242.4,403.7,449.2,120.1,384.3,1527.1,159.6,147.2,523.5,99.3,368.5,195.6,283.0,242.9,542.2,215.2,99.7,114.6,234.6,116.1,274.3,233.2,193.7,163.9,162.1,225.7,184.7,188.4,123.3,114.3,174.4,194.3,152.1,421.3,285.6,168.6,470.9,353.7,325.4,476.3,218.9,0.0,202.2,390.3,88.4,423.9,80.0,180.1,236.5,437.7,288.0,201.2,136.7,413.6,463.8,114.3,562.9,380.0,290.0,174.3,163.1,447.9,105.4,545.9,254.2,183.6,343.1,579.0,76.8,68.5
QN,240.0,221.4,88.3,198.9,402.9,229.8,119.2,416.8,198.8,163.0,239.0,194.6,219.5,161.3,250.7,200.7,216.6,342.4,437.6,235.0,109.9,372.2,170.5,280.2,264.0,131.2,450.1,370.7,166.7,338.4,1452.2,95.6,232.2,433.7,266.7,346.8,234.1,203.9,51.0,452.4,164.7,170.2,189.6,86.8,293.9,331.8,185.2,137.6,197.3,114.3,169.6,132.5,241.8,148.9,140.8,252.4,91.0,237.1,450.1,260.0,346.4,381.1,316.7,358.7,394.5,27.0,167.3,0.0,418.7,266.2,355.8,257.8,203.5,125.3,484.1,213.1,274.2,229.7,376.6,513.4,292.1,486.2,343.0,272.4,130.8,217.5,493.3,148.8,464.1,263.6,159.1,389.5,495.9,254.6,246.3
QP,555.0,666.0,696.4,646.4,196.1,706.8,610.4,234.7,561.8,526.0,505.2,292.9,582.5,566.8,516.9,645.3,579.6,295.5,79.5,525.9,488.5,165.4,600.4,600.4,237.2,607.8,92.0,173.7,614.2,174.2,1360.8,583.9,651.7,193.8,593.4,187.1,695.0,562.2,659.1,212.5,648.3,560.2,619.1,635.2,620.6,254.4,648.3,645.2,617.7,454.1,648.6,664.3,686.4,575.8,588.7,543.4,608.2,663.5,92.0,608.6,673.1,141.2,221.3,311.8,154.6,635.1,615.2,608.0,0.0,592.9,158.8,584.5,666.1,612.1,126.0,576.1,713.7,649.2,272.6,133.7,618.8,233.2,247.6,621.0,580.6,657.2,135.2,596.7,224.2,766.4,690.9,210.5,242.9,581.3,573.0
