from_stop,AH,AJ,BG,BK,BU,BV,CG,CJ,CK,CN,CO,CP,DA,DQ,DZ,EG,EK,EQ,ER,FF,FM,FQ,GV,HN,HO,HP,IF,JM,KF,KI,KL,KP,KV,LQ,LW,MC,MH,MM,MO,MV,NA,ND,NH,NN,NO,NS,NT,OB,OC,OH,OI,OK,ON,OV,OY,PX,QI,QN,QP,QS,RI,RX,SG,SI,SJ,TC,TD,TT,UD,UJ,UP,UW,UZ,VL,VT,WA,WW,XG,YS,YX,YZ,ZH,ZJ,ZK,ZS
MO,179.4,273.0,153.7,357.6,292.1,203.9,313.5,252.9,197.0,232.5,266.6,322.6,130.4,339.4,185.0,32.4,156.9,339.1,299.9,200.2,345.9,99.2,208.2,367.2,81.3,1669.3,193.2,400.3,355.3,265.5,199.5,159.7,168.6,323.6,310.2,300.3,160.8,336.1,0.0,244.1,97.8,236.2,270.6,109.4,353.4,252.5,380.6,228.3,196.7,293.3,363.5,184.0,276.1,341.5,242.9,194.7,175.8,235.2,152.2,322.1,364.7,248.8,225.8,301.7,162.6,328.7,299.7,304.1,354.0,339.4,314.5,289.5,310.4,223.0,323.2,267.9,312.2,243.7,347.8,281.5,405.7,186.1,325.6,177.9,263.3
MV,298.8,98.9,262.7,111.7,120.7,314.4,67.6,6.7,306.0,228.0,14.0,76.7,240.9,145.3,295.5,251.2,83.5,93.2,54.0,197.2,100.0,209.7,205.2,121.3,191.8,1729.9,303.7,154.4,109.4,262.5,41.3,270.2,262.5,120.9,64.3,104.7,136.3,90.2,217.2,0.0,167.6,294.0,24.7,170.4,159.6,78.4,134.7,277.0,307.2,49.1,205.8,56.4,91.4,95.6,239.9,305.2,297.6,345.7,89.1,76.2,124.0,308.1,222.8,127.6,283.6,82.8,53.8,53.7,103.1,143.8,68.6,95.4,358.7,22.9,149.1,264.9,99.8,49.6,101.9,278.5,402.7,183.1,79.7,154.9,322.6
NA,164.8,208.8,130.2,293.4,368.0,180.4,249.3,188.4,173.5,168.3,195.7,258.4,106.9,275.2,161.5,190.0,92.7,274.9,235.7,136.0,281.7,75.7,144.0,303.0,57.8,1645.8,169.7,336.1,291.1,201.3,135.3,136.2,128.5,392.4,386.1,376.2,96.6,271.9,297.6,179.9,0.0,234.3,206.4,45.2,289.5,188.3,316.4,215.8,173.2,229.1,299.3,119.8,221.3,277.3,178.7,171.9,163.6,211.7,88.0,257.9,305.7,246.9,161.6,237.5,149.6,264.5,235.5,235.4,284.8,275.2,250.3,225.3,297.5,158.8,259.0,203.7,248.0,179.5,283.6,217.3,341.5,121.9,261.4,113.7,261.4
ND,292.1,367.5,216.7,410.9,398.5,129.1,479.5,418.6,193.8,254.7,432.6,479.6,168.7,489.8,248.0,300.0,322.5,500.6,456.9,190.6,511.9,198.6,183.9,429.0,215.0,1683.0,202.8,372.1,486.5,287.7,365.5,246.7,227.8,450.4,467.2,450.7,276.6,472.3,267.5,410.1,270.5,0.0,432.1,275.4,497.7,349.0,542.1,97.2,301.7,454.8,389.6,350.0,426.5,436.5,234.7,106.3,185.4,103.6,314.9,488.1,500.9,12.5,173.4,396.2,267.6,429.2,465.7,465.6,520.0,489.8,480.5,416.7,76.1,389.0,417.7,115.8,412.2,394.1,509.9,211.7,126.1,204.8,487.1,293.7,27.0
NH,424.6,207.7,413.3,159.9,167.2,449.1,133.8,127.5,437.9,331.9,112.7,51.9,379.8,211.7,430.2,353.6,218.6,61.6,29.2,299.6,166.2,344.4,307.6,178.0,326.5,1767.3,438.4,184.6,151.3,364.9,176.0,404.9,413.8,128.4,39.5,172.6,221.7,96.8,321.1,134.6,295.3,400.3,0.0,305.1,219.6,188.9,109.9,431.2,441.2,22.6,254.0,191.1,168.4,145.8,336.8,439.9,421.0,481.5,229.1,142.4,126.4,410.5,325.2,236.4,407.8,131.0,102.0,124.4,122.2,211.7,134.8,115.7,513.3,157.6,251.1,406.4,148.0,142.8,76.3,380.9,505.1,275.0,54.9,196.6,425.0
NN,167.3,191.4,156.0,276.0,210.5,191.8,231.9,171.3,180.6,150.9,185.0,241.0,122.5,257.8,172.9,172.6,74.9,250.7,218.3,118.6,264.3,87.1,126.6,285.6,69.2,1657.2,181.1,318.7,273.7,183.9,117.9,147.6,156.5,234.9,228.6,218.7,79.1,253.5,140.1,164.2,114.3,219.3,189.0,0.0,265.7,172.6,299.0,208.6,183.9,211.7,281.9,102.4,194.5,259.9,155.8,182.6,163.7,223.1,67.3,240.5,283.1,229.5,144.2,220.1,150.5,247.1,218.1,222.5,272.4,257.8,232.9,184.7,280.1,141.4,234.8,183.8,230.6,162.1,265.4,199.9,324.1,94.0,244.0,96.3,244.0
NO,250.5,124.4,215.9,209.0,137.4,266.1,158.5,97.9,257.5,179.5,111.3,174.0,192.6,184.7,247.2,202.9,35.2,184.4,151.3,148.9,197.3,161.4,156.9,218.6,143.5,1681.6,255.4,245.3,200.6,214.2,50.9,221.9,214.2,161.8,161.6,145.6,89.5,187.5,164.3,95.5,119.3,240.8,122.0,122.1,0.0,103.9,232.0,228.7,258.9,138.6,214.9,35.4,136.9,192.9,191.6,257.6,249.3,297.4,40.8,173.5,221.3,259.8,174.5,153.1,235.3,174.0,151.1,151.0,200.4,0.0,159.5,140.9,310.4,74.4,174.6,216.6,163.6,95.1,199.2,230.2,354.4,134.8,170.9,106.6,274.3
NS,312.2,18.7,276.5,167.8,48.3,282.2,131.7,71.9,320.9,241.8,79.2,130.5,254.3,139.6,308.9,264.6,96.9,163.9,107.8,214.6,165.2,223.1,207.9,186.5,205.2,1749.8,273.8,139.5,210.0,275.9,54.7,283.6,275.9,116.7,117.0,100.5,151.2,155.4,232.1,63.4,181.0,272.3,89.9,183.8,155.0,0.0,206.5,236.2,320.6,119.2,109.2,69.8,86.8,128.3,258.7,310.7,279.9,296.7,102.5,141.4,189.2,284.9,197.4,47.4,297.0,85.4,119.0,118.9,168.3,139.6,132.7,90.8,328.5,42.3,68.9,224.1,69.5,45.0,173.9,255.7,379.9,228.8,151.5,168.3,299.4
NT,416.5,215.6,405.2,151.8,159.1,441.0,125.7,119.4,429.8,356.1,104.6,187.1,371.7,271.9,422.1,377.8,210.5,196.8,164.4,323.8,158.1,336.3,331.8,169.9,318.4,1745.7,430.3,176.5,71.5,389.1,167.9,396.8,405.7,270.7,174.7,232.8,264.4,80.9,345.3,126.5,319.5,451.4,135.1,297.0,279.8,215.1,0.0,423.1,433.1,157.8,245.9,183.0,208.6,137.7,429.9,431.8,412.9,473.4,221.0,134.3,110.5,461.6,374.1,244.3,399.7,122.9,93.9,116.3,106.3,271.9,126.7,198.8,505.2,149.5,259.0,398.3,139.9,176.2,211.5,405.1,529.3,299.2,190.1,281.5,476.1
OB,195.3,275.0,113.7,318.4,292.5,75.7,354.8,293.9,153.0,162.2,301.2,387.1,119.0,392.5,149.8,207.5,187.3,394.6,364.4,98.1,387.2,145.2,91.4,336.5,161.6,1629.6,104.6,274.8,394.0,195.2,240.8,166.7,113.0,353.1,361.2,353.4,170.6,379.8,161.5,285.4,210.4,38.9,339.6,222.0,400.4,257.6,449.6,0.0,203.7,357.5,297.1,225.3,334.0,344.0,142.2,64.2,76.3,50.2,193.5,363.4,413.6,65.0,80.9,303.7,180.1,323.2,329.3,340.9,381.8,386.4,344.9,323.8,82.0,264.3,325.2,23.3,319.7,301.6,416.8,119.2,110.4,112.3,389.8,201.2,79.5
OC,216.0,397.2,160.3,478.9,416.3,177.6,455.0,394.8,81.3,376.2,402.1,411.0,106.5,400.5,191.6,397.9,314.3,444.8,388.3,343.9,488.1,132.7,351.9,509.4,208.7,1521.7,199.8,517.3,378.4,409.2,357.6,134.9,158.6,335.2,397.9,361.4,338.7,409.0,364.7,386.3,255.2,232.8,412.8,266.8,415.5,376.7,487.0,191.2,0.0,399.0,487.7,341.4,367.3,464.8,386.6,105.6,193.7,152.1,309.6,464.3,442.8,245.4,369.5,425.9,200.8,450.0,421.0,441.8,421.9,400.5,456.7,308.9,212.4,365.2,447.4,203.7,436.4,332.3,454.8,299.6,231.7,329.8,431.3,314.3,259.9
OH,394.0,185.0,368.3,199.3,206.6,402.7,173.2,166.9,411.6,309.2,152.1,198.8,345.0,189.0,399.6,330.9,187.6,45.7,176.1,276.9,205.6,313.8,284.9,217.4,295.9,1744.6,407.8,224.0,128.6,342.2,145.4,374.3,366.6,105.7,186.4,149.9,199.2,128.4,298.4,174.0,272.6,375.2,182.6,274.5,196.9,164.5,87.2,354.3,410.6,0.0,293.4,160.5,145.7,185.2,314.1,419.9,390.4,417.2,193.2,181.8,161.2,387.8,302.5,213.7,387.7,170.4,141.4,163.8,142.3,189.0,174.2,78.7,438.4,153.0,228.4,342.1,187.4,120.1,53.6,358.2,482.4,262.8,32.2,173.9,402.3
OI,463.0,191.6,409.5,60.8,185.8,358.9,117.6,188.7,459.3,355.4,202.4,240.4,438.5,313.9,426.4,390.6,270.5,250.1,217.7,291.3,150.0,407.7,284.6,78.9,378.4,1815.6,350.5,76.5,141.4,388.4,227.9,443.3,406.2,298.1,228.0,274.8,289.9,121.2,358.1,197.8,345.0,351.4,188.4,357.0,321.8,173.1,298.4,323.1,479.6,211.1,0.0,243.0,250.6,55.2,329.9,388.1,363.8,373.4,292.0,126.2,150.8,361.6,274.1,220.3,446.2,185.5,71.7,108.2,146.6,313.9,118.6,240.8,405.2,215.5,235.0,298.3,168.5,218.2,264.8,332.4,456.6,316.0,243.4,307.0,376.1
OK,233.4,88.9,222.1,173.5,108.0,257.9,129.4,68.8,246.7,173.0,82.5,138.5,188.6,155.3,239.0,194.7,27.4,148.2,115.8,140.7,161.8,153.2,148.7,183.1,135.3,1673.4,247.2,216.2,171.2,206.0,15.4,213.7,222.6,139.5,126.1,116.2,81.2,151.0,162.2,61.7,136.4,241.4,86.5,113.9,163.2,70.1,196.5,230.7,250.0,109.2,179.4,0.0,92.0,157.4,177.9,248.7,229.8,289.2,37.9,138.0,180.6,251.6,166.3,117.6,216.6,144.6,115.6,120.0,169.9,155.3,130.4,82.2,302.2,38.9,132.3,205.9,128.1,59.6,162.9,222.0,346.2,116.1,141.5,98.4,266.1
ON,425.7,220.0,390.6,156.2,163.5,445.4,130.1,123.8,433.9,346.2,109.0,48.2,376.1,226.0,426.5,367.9,214.5,78.1,25.5,313.9,162.5,340.7,321.9,174.3,322.8,1781.6,434.7,176.3,161.0,379.2,172.3,401.2,410.1,138.1,35.8,182.3,264.2,93.1,330.8,130.9,309.6,417.0,139.5,301.4,233.9,203.2,124.2,427.5,437.5,32.3,250.3,187.4,0.0,142.1,434.3,436.2,417.3,477.8,225.4,138.7,125.9,424.8,378.5,248.7,404.1,132.1,98.3,120.7,118.5,226.0,131.1,130.0,509.6,153.9,263.4,402.7,144.3,157.1,91.6,395.2,519.4,289.3,64.6,210.9,439.3
OV,394.5,95.3,383.2,92.9,86.7,367.6,117.3,95.4,407.8,337.9,86.7,147.1,349.7,235.6,400.1,359.6,188.5,156.8,124.4,300.0,149.7,314.3,293.3,111.0,296.4,1834.3,359.2,115.0,143.1,370.9,145.9,374.8,383.7,230.7,134.7,196.5,246.2,122.9,327.1,104.5,301.3,360.1,95.1,275.0,243.5,94.8,205.1,331.8,411.1,117.8,143.7,161.0,172.3,0.0,338.6,396.8,372.5,382.1,199.0,125.9,152.5,370.3,282.8,124.0,377.7,50.5,103.5,107.9,157.8,235.6,118.3,162.5,413.9,137.2,138.7,307.0,67.5,139.9,171.5,341.1,465.3,324.7,150.1,263.3,384.8
OY,308.0,187.4,225.7,264.2,218.4,195.0,296.3,240.9,294.2,154.1,248.2,299.5,278.3,304.2,262.5,181.3,162.6,326.8,276.8,127.4,334.2,243.8,120.7,282.3,260.2,1721.2,186.6,241.3,352.9,192.6,205.2,279.4,225.7,322.3,281.6,265.1,142.9,325.6,148.8,232.4,158.1,185.1,263.8,187.7,324.0,170.0,373.8,149.0,316.4,281.0,203.3,189.7,255.8,258.6,0.0,223.5,192.7,209.5,157.9,310.4,359.4,197.7,110.2,216.1,292.8,260.9,288.0,287.9,338.5,304.2,297.3,288.2,241.3,211.3,237.6,136.9,243.9,214.0,341.0,168.5,292.7,141.6,313.3,165.6,212.2
PX,174.9,320.6,107.8,405.2,339.7,71.9,361.1,300.2,75.4,280.1,307.5,370.2,54.0,387.0,139.1,301.8,204.5,386.7,347.5,247.8,393.5,80.2,255.8,414.8,96.6,1564.6,147.3,352.8,434.0,313.1,247.1,128.3,106.1,385.9,357.8,359.9,209.0,383.7,269.3,291.7,145.4,127.4,318.2,157.0,401.3,300.1,428.2,85.5,183.3,352.9,411.1,231.6,333.1,389.1,216.9,0.0,141.2,46.4,199.8,369.7,417.5,139.7,155.6,349.3,161.2,388.3,347.3,347.2,396.6,387.0,362.1,351.8,106.7,270.6,370.8,98.0,359.8,291.3,396.7,193.9,126.0,235.2,385.2,225.5,154.2
QI,120.3,296.5,34.7,365.2,326.9,60.3,328.2,276.1,138.2,256.0,283.4,346.1,80.4,354.1,74.8,277.7,183.0,353.8,323.4,144.9,369.4,56.1,138.2,390.7,72.5,1619.3,17.4,315.1,417.0,289.0,223.0,91.7,38.0,358.4,324.9,323.8,195.6,359.6,256.5,267.6,121.3,103.9,294.1,132.9,377.2,276.0,404.1,74.5,128.7,328.1,343.9,207.5,309.0,365.0,189.0,106.8,0.0,91.6,175.7,345.6,393.4,105.2,127.7,325.2,105.1,352.2,323.2,323.1,372.5,354.1,329.2,313.0,166.8,246.5,346.7,81.5,335.7,267.2,371.3,166.0,278.8,209.6,360.4,201.4,119.7
QN,186.2,360.8,132.7,378.4,379.9,25.4,401.3,340.7,111.3,320.3,354.4,410.4,90.5,427.2,149.6,342.0,244.3,420.1,387.7,158.1,433.7,120.4,151.4,455.0,136.8,1604.8,104.4,339.6,462.2,353.3,287.3,166.5,129.4,426.1,398.0,388.1,248.6,422.9,309.5,333.6,283.7,96.8,358.4,197.2,435.1,342.0,468.4,86.5,202.8,381.1,357.1,271.8,363.9,404.0,196.7,40.1,87.0,0.0,236.7,409.9,452.5,107.0,140.9,389.5,169.4,416.5,387.5,391.9,441.8,427.2,402.3,354.1,106.5,310.8,404.2,85.8,379.7,331.5,434.8,179.2,125.0,182.8,413.4,265.7,121.5
QP,204.3,124.0,169.7,208.6,139.8,219.9,161.2,103.6,213.0,140.3,110.9,173.6,146.4,187.1,201.0,156.7,7.9,186.8,150.9,102.7,196.9,115.2,110.7,218.2,97.3,1635.4,209.2,248.0,203.0,168.0,50.5,175.7,168.0,171.3,161.2,148.0,43.2,187.1,129.5,95.1,73.1,201.0,121.6,75.9,204.7,103.5,231.6,182.5,212.7,141.0,214.5,35.0,136.5,192.5,145.4,211.4,203.1,251.2,0.0,173.1,220.9,213.6,128.3,152.7,189.1,176.4,150.7,150.6,200.0,187.1,162.2,140.5,264.2,74.0,174.2,170.4,163.2,94.7,198.8,184.0,308.2,88.6,173.3,60.4,228.1
QS,420.4,171.6,454.5,140.3,124.5,403.9,109.6,123.3,433.7,400.4,108.5,191.0,375.6,275.8,471.4,381.7,214.4,200.7,168.3,336.3,23.7,340.2,329.6,45.0,322.3,1807.6,395.5,78.1,133.4,433.4,171.8,400.7,451.2,274.6,178.6,236.7,268.3,113.2,349.2,130.4,323.4,396.4,139.0,300.9,283.7,171.1,249.0,368.1,437.0,161.7,190.9,186.9,212.5,93.7,374.9,433.1,408.8,418.4,224.9,0.0,142.8,406.6,319.1,200.3,403.6,88.3,63.7,100.2,138.6,275.8,110.6,202.7,450.2,153.4,215.0,343.3,105.3,180.1,215.4,377.4,501.6,361.0,194.0,285.4,421.1
RI,493.7,295.8,459.1,279.4,236.5,511.3,146.3,189.7,502.4,424.4,174.9,257.4,442.0,345.4,492.4,448.1,280.4,271.9,234.7,394.1,194.9,406.6,402.1,216.2,388.7,1705.8,500.6,217.2,129.5,459.4,238.2,467.1,476.0,331.9,243.0,301.1,332.7,197.6,418.8,196.8,389.8,490.4,205.4,367.3,350.1,277.0,315.4,507.2,503.4,226.1,330.0,253.3,283.7,253.5,514.0,502.1,483.2,557.5,291.3,156.9,0.0,505.0,458.2,324.5,470.0,200.3,216.9,126.8,134.4,340.2,121.1,269.1,589.3,219.8,339.2,482.4,219.3,246.5,282.8,475.4,599.6,369.5,263.6,351.8,519.5
RX,271.8,354.9,218.5,398.3,385.9,116.5,466.9,406.3,176.9,242.1,420.0,467.0,156.1,477.2,235.4,287.4,309.9,481.2,444.3,178.0,499.3,186.0,171.3,416.4,202.4,1670.4,190.2,359.5,473.9,275.1,352.9,234.1,215.2,437.8,454.6,438.1,264.0,458.7,254.9,399.2,257.9,134.7,419.5,262.8,485.1,336.4,529.5,79.8,288.4,442.2,377.0,337.4,413.9,423.9,216.6,105.7,172.8,91.0,302.3,475.5,488.3,0.0,160.8,383.6,255.0,416.6,453.1,457.5,507.4,477.2,467.9,404.1,63.5,376.4,398.3,105.7,399.6,381.5,495.9,199.1,113.5,202.7,474.5,281.1,14.5
SG,204.2,233.3,150.7,272.8,252.4,100.1,273.8,213.2,200.5,81.2,226.9,282.9,179.7,299.7,167.6,126.5,116.8,292.6,260.2,17.1,306.2,148.9,10.4,327.5,165.3,1694.0,91.7,234.0,313.0,114.2,159.8,184.5,147.4,276.9,270.5,260.6,103.0,295.4,94.0,206.1,97.0,75.0,230.9,142.3,307.6,214.5,340.9,64.3,220.8,253.6,259.1,144.3,236.4,301.8,55.7,129.3,105.0,114.6,109.2,282.4,325.0,85.2,0.0,262.0,187.4,289.0,260.0,264.4,314.3,299.7,274.8,239.1,135.8,183.3,276.7,39.5,272.5,204.0,307.3,55.6,179.8,41.8,285.9,120.2,99.7
SI,300.2,132.0,288.9,216.6,151.1,324.7,172.5,111.9,313.5,239.8,125.6,181.6,255.4,198.4,305.8,261.5,94.2,191.3,158.9,207.5,204.9,220.0,215.5,226.2,202.1,1740.2,314.0,259.3,214.3,272.8,58.5,280.5,289.4,182.6,169.2,159.3,148.0,194.1,229.0,104.8,203.2,308.2,129.6,180.7,206.3,113.2,239.6,297.5,316.8,152.3,222.5,66.7,135.1,200.5,244.7,315.5,296.6,356.0,104.7,181.1,223.7,318.4,233.1,0.0,283.4,187.7,158.7,163.1,213.0,198.4,173.5,125.3,369.0,82.0,14.6,272.7,171.2,102.7,206.0,288.8,413.0,182.9,184.6,165.2,332.9
SJ,155.1,349.2,226.3,430.9,368.3,270.4,478.6,346.8,263.5,326.4,354.1,363.0,196.9,424.1,251.5,348.1,253.4,397.5,340.3,294.1,440.1,165.7,302.1,461.4,147.8,1531.9,259.7,540.9,402.0,359.4,309.6,226.2,218.5,365.9,421.5,385.0,291.6,361.0,315.6,338.3,194.3,302.7,364.8,205.9,367.5,328.7,439.0,284.6,163.5,422.6,439.7,280.5,319.3,416.8,336.8,212.7,253.6,301.7,248.7,416.3,394.8,315.3,319.7,377.9,0.0,472.9,373.0,393.8,373.9,353.2,408.7,260.9,376.9,317.2,399.4,291.6,388.4,284.3,406.2,375.4,338.1,280.0,384.0,266.3,329.8
TC,356.1,113.5,330.4,81.2,36.1,388.3,117.6,56.7,373.7,295.7,64.0,108.7,307.1,203.9,361.7,317.4,147.1,125.2,86.0,320.7,150.0,275.9,314.0,99.3,258.0,1796.1,379.9,105.9,117.4,328.7,107.5,336.4,328.7,192.3,96.3,164.8,203.9,97.2,284.9,66.1,233.8,378.4,56.7,236.6,217.9,93.0,166.7,352.5,372.7,79.4,175.3,122.6,140.6,41.7,364.8,416.0,352.5,402.8,160.6,126.2,130.0,391.0,303.5,142.2,339.3,0.0,47.7,108.2,158.1,203.9,118.6,130.8,434.6,89.1,163.7,330.2,16.9,108.2,133.9,344.7,468.9,249.3,111.7,221.1,405.5
TD,384.1,120.6,372.8,56.8,64.1,363.9,44.8,85.0,397.4,323.7,43.7,136.7,339.3,231.9,389.7,345.4,178.1,146.4,114.0,296.3,66.6,303.9,289.6,87.9,286.0,1742.8,355.5,121.0,68.6,356.7,135.5,364.4,373.3,220.3,124.3,192.8,232.0,48.4,312.9,94.1,287.1,356.4,84.7,264.6,239.8,120.1,194.7,328.1,400.7,107.4,150.9,150.6,168.6,42.7,334.9,393.1,368.8,378.4,188.6,42.8,78.0,366.6,279.1,149.3,367.3,27.9,0.0,35.4,73.8,231.9,45.8,158.8,410.2,117.1,164.0,303.3,44.9,136.2,161.1,337.4,461.6,321.0,139.7,249.1,381.1
TT,368.8,168.9,329.7,170.4,120.5,384.4,13.8,63.2,373.0,299.5,55.3,130.5,310.9,210.8,365.5,321.2,153.5,142.5,107.8,267.2,53.8,279.7,275.2,75.1,261.8,1765.1,373.7,100.6,90.9,332.5,111.3,340.2,332.5,209.6,113.6,171.7,203.3,71.7,288.7,71.4,237.6,361.0,78.5,240.4,229.6,148.4,188.5,347.0,377.2,96.7,221.0,126.4,161.4,126.6,309.9,375.9,367.6,415.7,159.1,30.0,105.5,378.1,292.8,197.6,353.6,84.3,55.3,0.0,84.6,210.8,10.3,180.0,428.7,92.9,219.1,334.9,101.3,119.6,155.7,348.5,472.7,253.1,129.0,224.9,392.6
UD,402.1,202.2,480.0,215.3,153.8,417.7,66.3,96.5,523.3,332.8,88.6,163.8,344.2,248.6,398.8,354.5,186.8,292.8,141.1,300.5,98.7,313.0,308.5,120.0,295.1,1777.0,407.0,153.1,145.2,365.8,144.6,373.5,365.8,240.3,263.9,322.0,353.6,105.0,434.5,104.7,270.9,511.3,111.8,273.7,262.9,181.7,221.8,380.3,410.5,134.5,265.9,159.7,194.7,159.9,343.2,409.2,400.9,449.0,192.4,74.9,44.2,411.4,326.1,230.9,386.9,221.2,88.6,52.4,0.0,361.1,136.8,213.3,462.0,126.2,252.4,368.2,134.6,152.9,189.0,381.8,506.0,286.4,166.8,258.2,425.9
UJ,257.2,132.3,229.9,216.9,151.4,274.0,172.8,97.9,267.1,189.1,119.2,181.9,200.5,0.0,255.1,210.8,40.5,198.4,159.2,156.8,205.2,169.3,164.8,226.5,151.4,1689.5,263.3,259.6,214.6,222.1,58.8,229.8,238.7,175.8,169.5,159.6,97.4,194.4,178.3,103.4,152.5,255.1,129.9,130.0,0.0,111.8,239.9,234.2,266.1,152.6,222.8,43.3,135.4,200.8,194.0,264.8,257.2,305.3,48.7,181.4,224.0,267.7,182.4,161.0,232.7,188.0,159.0,163.4,208.3,0.0,173.8,148.8,318.3,82.3,175.7,224.5,171.5,103.0,206.3,238.1,362.3,132.2,184.9,114.5,282.2
UP,368.8,177.8,349.2,179.3,129.4,393.3,30.3,72.1,386.4,308.4,56.9,139.4,324.0,224.2,374.4,330.1,162.4,155.9,116.7,276.1,62.7,288.6,284.1,84.0,270.7,1774.0,382.6,117.1,99.8,341.4,120.2,349.1,341.4,223.0,127.0,185.1,216.7,80.6,297.6,80.3,246.5,374.4,87.4,249.3,232.1,157.3,197.4,361.6,385.4,110.1,229.9,135.3,160.9,135.5,313.3,384.1,376.5,424.6,168.0,38.9,112.4,387.0,301.7,206.5,352.0,93.2,64.2,8.8,93.5,224.2,0.0,188.9,437.6,101.8,228.0,341.3,110.2,128.5,163.8,357.4,481.6,251.5,142.4,233.8,401.5
UW,309.8,91.9,289.2,194.5,256.0,325.4,150.4,89.5,326.4,240.5,96.8,105.7,251.9,240.9,306.5,262.2,94.5,140.2,83.0,208.2,182.8,220.7,216.2,204.1,202.8,1682.1,314.7,212.7,218.8,273.5,52.3,281.2,273.5,57.2,93.3,201.8,148.7,151.6,229.7,81.0,178.6,296.4,107.5,181.4,110.2,71.4,181.7,309.4,318.2,239.4,182.4,67.4,62.0,178.4,331.9,316.9,308.6,369.9,100.1,159.0,185.4,319.1,270.6,120.6,294.6,289.7,136.6,136.5,164.5,240.9,296.4,0.0,401.7,59.9,142.1,297.3,131.1,27.0,148.9,289.5,413.7,194.1,271.7,165.9,333.6
UZ,243.4,350.0,189.9,393.4,381.0,120.2,401.3,340.7,206.9,208.7,354.4,410.4,186.1,427.2,206.8,254.0,244.3,420.1,387.7,144.6,433.7,188.1,137.9,411.5,204.5,1700.4,161.6,354.6,440.5,241.7,287.3,223.7,186.6,404.4,398.0,388.1,230.6,453.8,221.5,333.6,224.5,90.8,358.4,264.9,435.1,331.5,468.4,75.7,260.0,381.1,372.1,271.8,363.9,419.0,183.2,135.7,144.2,121.0,236.7,409.9,483.4,101.0,127.4,378.7,226.6,411.7,387.5,391.9,441.8,427.2,402.3,366.6,0.0,310.8,393.4,100.8,394.7,331.5,434.8,122.5,31.0,169.3,413.4,247.7,115.5
VL,266.9,75.9,255.6,134.5,95.0,291.4,90.4,29.8,280.2,206.5,43.5,112.1,222.1,122.3,272.5,228.2,60.9,109.2,89.4,174.2,122.8,186.7,182.2,144.1,168.8,1706.9,280.7,177.2,132.2,239.5,18.3,247.2,256.1,106.5,99.7,83.2,114.8,112.0,195.7,22.7,169.9,274.9,47.5,147.4,130.2,57.1,157.5,264.2,283.5,70.2,166.4,33.4,59.0,118.4,211.4,282.2,263.3,322.7,71.4,99.0,141.6,285.1,199.8,104.6,250.1,105.6,76.6,81.0,130.9,122.3,91.4,49.2,335.7,0.0,119.3,239.4,122.6,26.6,123.9,255.5,379.7,149.6,102.5,131.9,299.6
VT,294.4,117.3,259.8,201.9,136.4,310.0,157.8,96.9,296.3,225.1,104.2,166.9,236.5,176.9,291.1,246.8,79.1,176.6,144.2,192.8,190.2,205.3,200.8,211.5,187.4,1725.5,299.3,244.6,192.8,258.1,43.8,265.8,258.1,160.8,154.5,137.8,133.4,180.4,214.3,88.4,163.2,291.1,114.9,166.0,198.0,96.8,224.9,272.6,302.8,130.8,207.8,52.0,129.8,185.8,235.5,301.5,293.2,341.3,84.7,166.4,214.2,303.7,218.4,146.0,279.2,173.0,144.0,143.9,193.3,176.9,152.0,133.8,354.3,67.3,0.0,260.5,156.5,88.0,192.1,274.1,398.3,178.7,163.1,150.5,318.2
WA,173.5,249.1,96.7,292.5,280.1,60.5,328.9,268.0,162.7,136.3,275.3,361.2,143.8,371.4,128.0,181.6,172.3,384.7,338.5,72.2,361.3,109.3,65.5,310.6,125.7,1654.4,82.8,256.2,368.1,169.3,214.9,144.9,91.2,334.5,348.8,332.3,160.7,353.9,149.1,259.5,174.5,48.1,313.7,186.1,385.7,231.7,423.7,14.5,181.9,336.4,271.2,199.4,317.5,318.1,116.3,89.0,76.7,75.0,167.6,337.5,387.7,63.2,55.0,277.8,158.3,313.3,303.4,315.0,366.8,371.4,329.9,297.9,106.8,238.4,299.3,0.0,293.8,275.7,390.9,93.3,217.5,86.4,368.7,175.3,77.7
WW,339.1,96.5,327.8,98.2,19.1,360.0,100.6,40.0,352.4,278.7,53.7,91.7,294.3,186.9,344.7,300.4,133.1,101.4,69.0,246.4,133.0,258.9,285.7,154.3,241.0,1779.1,351.6,122.9,134.4,311.7,90.5,319.4,328.3,168.2,79.3,147.8,186.9,114.2,267.9,49.1,242.1,352.5,39.7,219.6,194.8,77.7,149.7,324.2,355.7,62.4,192.3,105.6,123.6,58.7,331.0,389.2,335.5,374.5,143.6,109.2,143.8,362.7,275.2,125.2,322.3,16.9,86.8,91.2,141.1,186.9,101.6,113.8,406.3,72.1,139.9,299.4,0.0,91.2,116.1,327.7,451.9,221.8,94.7,204.1,377.2
