from_stop,AR,AZ,BA,BI,BS,CJ,CL,CP,CS,DA,DE,DH,DJ,DS,EC,EZ,FD,FO,FP,FS,GC,GD,GM,GO,GP,HM,IE,IG,IM,IY,JS,KB,LA,LJ,MF,MN,MR,MS,NK,NL,NN,NO,NY,OA,PG,PI,PK,PX,QF,QH,QN,RJ,RQ,RU,SB,SG,SM,SY,TJ,TN,TP,TV,TX,US,VU,WN,WO,XI,XW,YA,ZK,ZP,ZY
PI,340.4,202.8,146.0,289.8,166.2,237.4,72.7,134.8,355.6,50.7,63.5,128.0,316.7,242.7,35.8,121.7,185.4,163.5,184.6,297.5,151.5,124.0,366.5,24.6,34.0,237.3,40.5,240.5,128.0,132.5,173.0,120.9,99.6,218.5,103.5,2031.0,40.8,65.5,69.2,142.0,69.1,113.9,8.5,88.1,288.9,0.0,111.1,157.8,22.8,238.1,38.9,102.6,125.9,271.6,172.1,215.2,107.4,230.5,91.2,290.3,141.0,231.7,131.4,217.8,127.6,195.3,10.3,135.5,160.9,227.4,119.4,224.8,181.3
PK,456.1,277.9,312.6,455.0,246.8,299.2,193.8,108.6,470.3,196.8,178.4,245.8,466.9,407.9,227.0,95.5,74.2,51.6,72.7,448.5,265.7,252.7,494.5,177.8,225.2,125.4,313.6,472.0,189.8,194.6,61.8,194.2,150.4,299.1,125.7,2125.9,216.6,168.7,269.2,33.7,250.9,164.6,200.4,129.0,480.1,189.8,0.0,290.3,292.5,440.6,230.0,290.4,280.7,436.8,273.1,287.4,202.7,292.3,114.5,482.2,203.6,448.1,344.0,409.0,295.0,350.0,200.1,290.8,326.1,398.8,257.3,451.2,346.5
PX,255.1,76.9,199.8,233.0,73.2,81.0,192.6,300.4,269.3,186.6,200.4,100.6,259.4,185.9,171.7,287.3,297.9,318.0,228.3,240.2,41.5,28.5,293.5,129.3,217.7,379.3,158.1,361.9,263.9,109.6,328.2,98.5,278.0,110.8,244.6,1935.2,176.7,217.3,130.0,318.1,110.9,185.5,192.9,272.4,337.2,176.8,296.2,0.0,194.9,239.6,158.8,66.2,161.2,214.8,48.9,160.8,85.0,68.8,256.8,339.3,75.6,247.1,293.3,262.9,70.8,149.0,128.1,105.7,104.1,289.5,33.1,251.0,124.5
QF,321.7,179.4,140.8,266.9,143.3,233.2,240.4,267.2,336.5,153.4,166.9,99.7,293.3,223.6,107.4,254.1,276.3,284.8,297.2,274.6,129.6,105.9,343.1,146.8,168.5,346.1,17.2,332.8,230.7,89.8,295.0,98.0,244.8,199.4,211.4,2054.5,112.4,184.1,65.0,282.0,50.0,259.8,143.7,238.5,374.9,126.6,262.2,134.4,0.0,303.2,174.1,79.2,106.3,252.5,153.0,192.5,88.3,226.3,223.6,390.9,98.8,312.7,327.2,328.5,108.5,171.9,93.9,116.4,138.3,217.6,100.3,321.4,162.2
QH,60.1,309.4,225.0,81.0,358.1,342.8,308.5,389.9,74.3,276.1,289.9,316.0,131.3,95.0,261.4,376.8,430.1,407.5,402.0,112.1,268.9,228.2,98.5,251.9,269.1,454.7,277.6,31.3,353.4,323.9,417.9,312.8,367.5,372.4,334.1,1804.7,266.2,306.8,280.3,407.6,250.7,382.7,244.3,361.9,147.1,228.2,385.7,253.4,246.3,0.0,274.9,227.2,204.9,143.4,276.3,320.9,299.3,335.7,346.3,167.0,332.9,7.2,230.7,23.0,184.3,287.9,219.2,195.2,149.9,138.6,223.6,11.1,129.5
QN,364.1,220.2,252.6,330.1,192.7,245.9,33.7,95.1,386.0,72.7,58.0,192.5,356.5,283.0,102.6,82.0,146.4,123.8,144.9,337.3,197.9,197.6,410.2,123.7,134.7,197.6,188.6,387.7,121.8,140.5,134.0,140.1,59.9,245.0,63.8,2082.1,92.5,25.8,215.9,105.9,196.8,74.9,109.9,48.4,378.6,99.3,72.1,170.0,167.6,356.3,0.0,233.4,155.8,311.9,219.0,233.3,148.6,239.0,51.5,380.7,149.5,363.8,234.7,307.5,211.9,289.3,109.6,165.9,201.5,315.3,203.2,314.5,221.6
RJ,239.8,103.7,130.2,273.8,261.1,162.8,296.6,327.2,254.0,209.4,227.2,205.9,247.4,230.7,194.5,314.1,363.4,344.8,353.4,232.2,158.8,155.4,278.2,236.8,254.0,406.1,203.1,251.7,290.7,226.9,355.0,215.8,304.8,231.3,271.4,1993.3,203.5,244.1,204.2,344.9,174.8,315.8,225.2,299.2,326.8,213.1,323.0,146.8,231.2,224.3,259.6,0.0,138.2,259.6,166.2,109.2,202.3,243.6,283.6,346.9,235.9,231.8,338.1,247.6,133.8,105.7,204.1,132.5,148.9,179.3,150.8,231.7,169.3
RQ,208.2,163.1,96.7,174.2,153.1,214.3,154.3,184.9,230.1,71.1,84.6,115.9,200.6,127.1,56.2,171.8,225.1,202.5,211.1,181.9,128.4,99.9,240.5,94.5,111.7,263.8,81.5,231.8,148.4,118.9,212.7,107.8,162.5,205.4,129.1,2013.4,61.2,101.8,75.1,202.6,45.7,177.5,86.9,156.9,278.4,69.3,179.9,133.2,88.9,200.6,117.3,96.0,0.0,156.0,148.0,172.6,94.3,207.4,141.3,280.5,127.9,207.9,234.5,223.7,56.0,128.5,61.8,10.0,45.3,159.4,95.3,216.6,65.7
RU,122.0,292.3,209.4,153.6,353.2,329.1,295.0,376.4,143.9,259.0,276.1,302.5,204.6,131.1,247.7,363.3,414.9,394.0,388.5,185.9,243.2,216.0,154.3,238.4,255.6,441.2,253.8,71.9,339.9,310.4,404.2,299.3,354.0,358.9,320.6,1874.3,252.7,293.3,259.4,391.2,237.2,369.0,230.8,347.7,122.3,213.7,371.4,248.0,251.8,69.5,261.2,210.8,191.4,0.0,262.8,306.2,285.8,333.8,332.8,124.4,317.2,62.4,217.2,48.5,170.8,261.3,205.7,181.7,136.1,125.1,210.1,54.9,116.0
SB,314.4,140.3,154.7,267.9,103.4,166.0,252.3,282.9,336.3,165.5,182.6,39.6,318.9,245.4,154.2,269.8,321.4,300.5,309.1,300.2,119.5,117.4,346.7,80.3,184.2,361.8,182.4,338.0,246.4,60.6,310.7,49.5,260.5,147.1,227.1,2002.2,159.2,199.8,73.8,297.7,61.9,275.5,159.4,254.2,396.7,142.3,277.9,90.1,92.2,306.8,189.8,112.9,118.2,274.3,0.0,154.2,36.0,180.7,239.3,398.8,67.4,314.1,352.8,329.9,138.4,202.9,159.8,128.3,163.9,265.6,123.3,323.5,184.0
SG,301.6,128.7,110.4,255.0,147.0,136.4,291.8,320.4,323.5,207.8,222.1,90.6,279.4,207.9,192.9,307.3,361.8,338.0,346.6,260.7,32.5,47.2,333.9,131.3,235.2,400.5,233.4,320.1,285.9,111.6,348.2,100.5,298.0,165.0,264.6,1989.4,196.7,237.3,132.0,335.2,112.9,313.0,210.4,291.7,357.2,192.8,317.4,195.2,143.2,293.8,240.8,83.3,136.6,234.8,50.9,0.0,88.2,128.3,276.8,359.3,120.6,296.2,326.2,312.0,90.8,172.6,197.2,125.7,126.1,201.1,53.1,300.2,144.5
SM,278.3,104.2,140.9,254.1,67.3,129.9,238.5,269.1,300.2,151.7,168.8,43.8,297.6,231.6,140.4,256.0,307.6,286.7,295.3,278.9,83.4,81.3,310.6,84.5,170.4,348.0,168.6,301.9,232.6,24.5,296.9,13.4,246.7,111.0,213.3,1966.1,145.4,186.0,60.0,283.9,48.1,261.7,145.6,240.4,373.0,128.5,264.1,54.0,96.4,270.7,176.0,99.1,104.4,260.5,103.0,118.1,0.0,144.6,225.5,385.0,31.3,278.0,339.0,293.8,124.6,166.8,146.0,114.5,150.1,229.5,87.2,287.4,170.2
SY,355.4,174.2,227.7,363.4,45.8,6.9,264.9,281.7,370.2,240.0,253.8,128.5,389.8,316.3,225.1,268.6,377.6,355.0,274.2,370.6,153.4,152.6,394.4,169.2,186.6,308.6,195.5,371.9,317.3,94.5,365.2,76.1,238.7,36.6,280.8,2033.3,230.1,239.0,151.9,334.2,132.8,253.7,161.8,279.6,467.6,151.2,303.3,284.0,232.3,340.7,192.2,183.8,189.1,345.2,173.0,188.1,84.6,0.0,269.6,469.7,103.5,348.0,297.6,363.8,209.3,289.6,161.5,199.2,234.8,299.5,201.1,353.2,254.9
TJ,374.4,226.8,260.8,315.8,207.9,252.5,129.5,43.5,396.3,90.3,64.1,199.1,366.8,293.3,112.9,30.4,110.0,89.1,110.2,348.1,206.0,203.9,406.7,130.3,160.1,162.9,198.9,398.0,75.2,147.1,99.3,146.7,85.3,251.6,11.1,2088.7,102.8,103.6,215.3,68.3,203.4,100.3,135.3,13.7,388.9,126.0,37.4,176.6,188.3,366.8,165.7,240.0,166.1,322.2,225.6,240.7,155.2,257.2,0.0,391.0,153.9,374.1,217.3,317.8,222.2,289.4,135.0,176.2,211.8,325.6,209.8,324.2,231.9
TN,76.1,274.5,382.4,216.4,367.0,369.5,457.1,444.4,98.0,330.6,344.1,375.4,266.7,230.4,315.7,431.3,484.6,462.0,470.6,248.0,321.0,385.6,139.2,400.5,417.7,523.3,426.2,166.5,407.9,378.4,472.2,367.3,422.0,378.2,388.6,1834.8,320.7,361.3,334.6,459.2,305.2,437.0,392.9,416.4,124.3,375.3,440.2,418.9,394.9,182.3,423.3,384.6,259.4,278.8,340.6,288.4,353.8,362.6,400.8,0.0,387.4,175.0,416.6,128.2,341.7,256.6,367.8,249.7,307.0,297.1,381.0,168.1,286.9
TP,251.8,70.6,109.7,253.5,164.3,96.3,290.3,320.9,266.6,207.1,220.9,109.1,264.0,206.4,192.2,307.8,361.1,338.5,347.1,244.8,48.3,47.7,290.8,149.8,238.2,399.8,236.4,268.3,284.4,130.1,348.7,119.0,298.5,126.1,265.1,1932.5,197.2,237.8,150.5,335.7,131.4,313.5,213.4,292.2,339.4,195.8,315.9,20.4,161.7,236.9,243.8,83.8,135.9,235.3,69.4,83.7,105.5,89.4,277.3,359.5,0.0,244.4,326.7,260.2,91.3,129.8,197.8,126.2,126.6,195.9,53.6,249.6,145.0
TV,59.5,298.5,215.6,129.7,359.4,335.3,301.2,382.6,81.4,265.2,282.3,308.7,124.0,87.7,253.9,369.5,421.1,400.2,394.7,105.3,249.4,222.2,91.8,244.6,261.8,447.4,260.0,23.8,346.1,316.6,410.4,305.5,360.2,365.1,326.8,1811.8,258.9,299.5,265.6,397.4,243.4,375.2,237.0,353.9,154.2,219.9,377.6,254.2,258.0,7.0,267.4,217.0,197.6,136.1,269.0,312.4,292.0,340.0,339.0,174.3,323.4,0.0,236.3,15.7,177.0,267.5,211.9,187.9,142.3,131.3,216.3,9.4,122.2
TX,195.1,321.8,228.1,137.8,336.5,345.7,264.4,337.8,217.0,202.4,203.0,299.3,163.4,89.9,174.6,337.6,356.4,320.9,346.5,144.7,258.3,231.3,227.4,194.9,225.0,412.1,233.5,145.0,266.8,302.3,331.1,304.1,290.6,388.4,282.0,1960.3,192.5,233.1,240.5,331.0,252.3,305.6,200.2,322.0,208.2,169.7,332.8,355.6,193.1,155.7,230.6,240.3,208.4,131.7,292.3,322.8,290.6,338.8,307.1,210.3,324.2,148.4,0.0,121.6,200.3,290.8,162.2,211.2,160.5,96.8,226.7,128.6,178.9
US,73.4,282.7,199.8,144.0,343.6,319.5,285.4,366.8,95.3,249.4,266.5,292.9,123.5,121.5,238.1,353.7,405.3,384.4,378.9,104.8,233.6,206.4,105.7,228.8,246.0,431.6,244.2,23.3,330.3,300.8,394.6,289.7,344.4,349.3,311.0,1825.7,243.1,283.7,249.8,381.6,227.6,359.4,221.2,338.1,168.1,204.1,361.8,238.4,242.2,20.9,251.6,201.2,181.8,150.4,253.2,296.6,276.2,324.2,323.2,132.8,307.6,13.8,220.5,0.0,161.2,251.7,196.1,172.1,126.5,115.5,200.5,6.3,106.4
VU,214.1,140.1,38.5,137.5,195.4,158.2,198.9,229.5,236.0,112.1,129.2,131.6,188.5,115.0,100.8,216.4,268.0,247.1,255.7,169.8,72.3,45.1,246.4,139.1,156.3,308.4,154.5,228.0,193.0,152.6,257.3,141.5,207.1,188.0,173.7,2012.4,105.8,146.4,103.4,244.3,81.2,222.1,131.5,200.8,266.3,114.4,224.5,77.1,136.7,206.5,161.9,39.9,44.5,143.9,91.9,154.0,128.0,162.9,185.9,268.4,159.4,204.1,235.3,219.9,0.0,132.6,106.4,34.8,33.5,109.0,39.2,213.5,53.6
WN,263.0,162.6,35.0,196.8,176.4,177.1,240.1,270.7,277.2,160.3,170.7,137.4,229.7,156.2,128.9,257.6,297.8,288.3,296.9,210.5,103.4,62.7,301.4,152.8,170.0,349.6,110.4,256.1,234.2,158.7,292.0,144.2,248.3,206.9,214.9,2031.3,147.0,187.6,98.4,288.4,82.1,256.8,145.2,242.7,307.5,129.1,266.5,237.1,147.2,247.5,162.5,61.7,72.6,185.1,110.8,159.0,130.7,163.7,227.1,296.5,164.3,245.3,257.1,261.1,41.1,0.0,134.5,76.0,74.4,153.6,58.1,257.4,94.8
WO,282.3,210.3,154.0,249.4,174.2,246.4,124.9,155.5,304.2,41.7,55.3,137.0,275.8,202.3,26.8,142.4,195.7,173.1,181.7,257.1,158.9,133.3,294.8,32.6,49.8,234.4,48.0,232.2,119.0,140.0,183.3,128.9,133.1,226.5,99.7,2031.7,31.8,72.4,78.2,173.1,77.1,148.1,25.0,126.8,279.9,7.3,150.5,257.0,30.8,229.8,55.4,111.4,75.1,231.2,180.1,224.2,115.4,239.5,111.9,282.0,149.0,222.7,136.0,208.8,135.6,215.9,0.0,85.2,120.8,219.1,127.4,260.3,140.9
XI,198.1,149.4,84.5,139.5,171.4,204.2,164.0,194.6,220.0,77.2,94.3,125.6,190.5,117.0,65.9,181.5,233.1,212.2,220.8,171.8,118.3,91.1,230.4,104.2,121.4,273.5,119.6,221.7,158.1,128.6,222.4,117.5,172.2,215.1,138.8,2003.3,70.9,111.5,77.6,209.4,55.4,187.2,96.6,165.9,268.3,79.5,189.6,123.1,117.6,190.5,127.0,85.9,9.6,145.9,137.9,163.3,104.0,208.9,151.0,270.4,135.4,197.8,224.4,213.6,45.9,118.4,71.5,0.0,35.5,149.3,85.2,207.2,55.6
XW,212.5,159.7,75.3,128.5,209.1,192.9,209.6,240.2,226.7,128.1,139.9,166.3,154.9,81.4,111.5,227.1,280.4,257.8,266.1,135.7,119.2,79.5,247.6,149.8,167.0,319.1,136.8,192.7,203.7,173.9,267.7,163.1,217.8,222.7,184.4,2010.0,116.2,157.1,130.4,257.9,101.0,232.8,142.2,212.2,232.7,125.8,236.0,202.8,144.2,197.0,172.6,77.5,56.9,110.3,126.6,170.9,149.6,186.0,196.6,234.1,184.9,170.5,200.0,186.3,34.6,138.2,117.1,45.5,0.0,73.7,73.9,179.2,20.0
YA,163.2,232.5,148.1,160.9,281.2,265.7,282.4,313.0,178.0,199.2,212.7,239.1,94.3,94.3,184.3,299.9,353.2,330.6,339.2,75.1,186.0,152.6,202.2,221.5,238.7,391.9,209.6,133.8,276.5,247.0,340.8,235.9,290.6,295.5,257.2,1943.7,189.3,229.9,203.2,330.7,173.8,305.6,213.9,284.3,250.8,196.3,308.0,184.6,234.9,148.3,244.3,147.4,128.0,142.7,199.4,242.8,222.4,258.8,269.4,267.2,256.0,109.9,177.1,125.7,107.4,194.5,188.8,118.3,72.0,0.0,146.7,113.8,52.6
ZK,251.8,111.2,53.9,175.2,156.1,118.9,236.6,267.2,273.7,149.8,166.9,92.3,226.2,152.7,138.5,254.1,305.7,284.8,293.4,207.5,33.0,5.9,284.1,133.0,184.5,346.1,182.7,265.7,230.7,113.3,295.0,102.2,244.8,148.7,211.4,1973.1,143.5,184.1,118.8,282.0,96.6,259.8,159.7,238.5,304.0,142.6,262.2,37.8,144.9,244.2,190.1,30.1,82.2,181.6,52.6,125.1,88.7,123.6,223.6,306.1,120.1,241.8,273.0,257.6,37.6,122.8,144.1,72.5,71.2,146.7,0.0,251.2,91.3
ZP,74.1,289.8,209.0,65.0,342.1,330.1,296.0,377.4,88.3,260.1,273.6,300.0,115.3,82.5,245.2,364.3,418.9,395.0,386.0,96.6,256.4,217.0,96.0,240.7,256.6,442.2,256.1,15.1,337.4,307.9,401.7,296.8,355.0,361.2,321.6,1816.0,250.2,290.8,264.1,388.7,234.7,370.0,233.1,345.2,161.1,215.7,368.9,263.6,230.3,10.1,258.7,208.3,192.4,130.9,265.1,308.4,288.1,323.2,330.3,177.4,321.7,3.0,227.6,10.5,168.3,258.8,206.7,184.0,132.9,122.6,211.1,0.0,113.5
ZY,187.0,176.2,93.3,83.8,237.1,213.0,229.7,260.3,208.9,142.9,160.0,186.4,134.8,61.3,131.6,247.2,298.8,277.9,286.5,116.1,127.1,99.9,219.3,169.9,187.1,339.2,185.3,174.3,223.8,194.3,288.1,183.2,237.9,242.8,204.5,1992.2,136.6,177.2,143.3,275.1,121.1,252.9,162.3,231.6,212.6,145.2,255.3,131.9,183.3,179.4,192.7,94.7,75.3,90.2,146.7,190.1,169.7,217.7,216.7,214.7,201.1,150.4,168.7,166.2,54.7,145.2,137.2,65.6,20.0,55.3,94.0,159.8,0.0
