from_stop,AA,AL,AM,AS,AU,BA,BG,BN,BP,BQ,BV,BW,CP,CR,CT,CV,CW,DU,DZ,EL,EZ,FN,FS,FT,GI,GJ,GN,GP,GR,GU,GX,HD,HE,HP,HX,ID,IF,IM,IU,IX,JA,JE,JJ,JN,JS,JZ,KE,LG,LV,MM,ND,NM,NU,NW,NZ,OL,OP,OS,OT,OV,OX,OY,PK,PO,PX,QN,QQ,QR,QW,RA,RC,RF,RI,RT,RW,RZ,SE,SM,SO,SQ,TB,TD,TE,TI,TJ,TP,TW,TY,UL,UM,UV,VI,VL,VM,VN,VO,VW,WJ,WU,XB,XH,XV,YC,YG,YU,ZB,ZJ,ZR,ZV
GU,464.5,367.0,491.9,122.1,492.2,115.2,430.3,437.7,481.7,364.0,2018.2,339.2,420.4,431.4,445.0,376.8,190.9,115.9,304.2,514.7,528.5,329.7,398.3,450.8,469.3,254.4,304.2,342.7,482.5,0.0,80.7,318.5,469.3,231.8,388.7,279.5,541.7,474.2,378.7,409.2,459.7,355.3,420.8,432.9,258.1,425.3,245.0,330.0,351.8,261.5,149.3,435.4,330.1,104.8,329.3,422.3,362.1,221.1,243.4,300.8,382.7,282.4,405.5,361.3,261.3,366.4,480.6,364.8,371.9,436.8,512.7,242.8,427.5,315.5,474.7,381.0,543.6,453.3,303.8,406.8,206.1,355.8,230.9,495.9,264.8,233.5,385.0,299.5,224.6,240.3,126.4,392.9,393.5,199.3,343.0,408.6,212.0,424.3,318.1,372.3,367.7,328.8,443.3,296.8,274.5,542.6,326.9,297.0,445.8
GX,395.5,451.2,495.7,41.3,576.4,34.4,434.1,441.5,434.0,283.2,2115.9,253.8,342.5,515.6,376.0,380.6,275.1,314.4,271.6,495.3,532.3,333.5,402.1,415.0,458.9,338.6,271.6,261.9,381.5,262.2,0.0,285.9,458.9,316.0,472.9,198.7,545.5,558.4,382.5,393.2,463.5,359.1,424.6,363.9,177.3,338.1,164.2,414.2,271.0,180.7,281.0,405.8,249.3,325.5,315.6,408.1,281.3,305.9,327.6,287.1,386.5,201.6,324.7,365.1,345.5,293.7,484.4,284.0,308.3,521.0,516.5,327.0,431.3,234.7,446.2,300.2,547.4,457.1,388.0,417.9,125.3,275.0,267.6,461.5,349.0,155.5,388.8,266.9,368.1,334.3,356.8,358.5,379.3,118.5,346.8,415.5,131.2,428.1,404.8,376.1,451.9,248.0,432.9,390.8,368.5,626.8,246.1,381.2,398.1
HD,567.4,553.2,667.6,284.2,678.4,291.1,606.0,613.4,605.9,247.8,2054.9,185.2,514.4,617.6,547.9,552.5,377.1,302.1,123.2,667.2,704.2,505.4,574.0,190.5,234.4,440.6,123.2,172.6,553.4,193.6,271.9,0.0,234.4,418.0,574.9,137.0,717.4,660.4,554.4,565.1,635.4,531.0,596.5,535.8,221.2,510.0,336.1,516.2,202.4,251.6,335.5,577.7,180.7,291.0,179.5,179.8,245.9,407.9,429.6,140.5,558.4,272.5,289.3,537.0,447.5,258.3,656.3,215.4,558.1,623.0,688.4,429.0,603.2,317.8,618.1,210.9,719.3,629.0,490.0,589.8,195.1,239.6,243.5,633.4,451.0,327.4,560.7,118.5,429.0,441.9,326.4,530.4,151.0,290.4,518.7,587.4,189.1,600.0,510.8,548.0,553.9,441.3,208.4,501.8,474.5,728.8,256.8,483.2,570.0
HE,698.2,637.2,762.1,415.0,762.4,421.9,700.5,707.9,736.7,312.9,1975.4,320.6,645.2,701.6,678.7,647.0,461.1,386.1,254.0,784.9,798.7,599.9,668.5,132.2,0.0,524.6,254.0,234.0,684.2,341.7,422.5,268.3,0.0,502.0,658.9,267.8,811.9,744.4,648.9,679.4,729.9,625.5,691.0,666.6,352.0,640.8,466.9,600.2,333.2,382.4,419.5,705.6,308.1,375.0,211.5,131.9,335.9,491.9,513.6,256.4,652.9,360.7,323.4,631.5,531.5,351.7,750.8,346.2,642.1,707.0,782.9,513.0,697.7,423.2,748.9,272.3,813.8,723.5,574.0,684.3,325.9,341.1,351.3,764.2,535.0,426.4,649.4,249.3,498.1,525.9,410.4,663.1,88.0,421.2,613.2,681.9,319.9,694.5,584.4,642.5,637.9,546.7,26.9,545.1,522.8,812.8,387.6,567.2,700.8
HP,316.9,178.2,344.3,247.5,393.6,240.6,282.7,290.1,334.1,466.0,2017.7,436.6,272.8,275.4,297.4,229.2,151.2,168.7,401.7,343.9,380.9,182.1,250.7,549.9,566.8,155.8,401.7,444.7,334.9,318.8,399.6,416.0,566.8,0.0,290.1,381.5,394.1,375.6,231.1,261.6,312.1,207.7,273.2,285.3,360.1,277.7,282.9,231.4,453.8,363.5,135.3,287.8,432.1,179.8,426.8,519.8,464.1,74.1,144.8,398.3,235.1,384.4,449.7,213.7,29.4,476.5,333.0,466.8,156.9,338.2,365.1,144.2,279.9,306.9,335.0,483.0,396.0,305.7,71.9,266.5,308.1,457.8,328.4,348.3,166.2,278.2,237.4,397.0,266.6,157.1,211.1,245.3,491.0,237.2,195.4,264.1,314.0,276.7,251.4,224.7,269.1,311.3,540.8,217.0,236.2,444.0,428.9,198.4,298.2
HX,272.8,146.0,228.5,378.2,103.4,385.1,166.9,186.2,326.8,569.1,2001.6,544.3,268.6,42.6,272.8,221.9,353.1,370.6,557.5,228.1,265.1,192.8,261.4,708.5,744.8,220.6,557.5,547.8,330.7,548.1,626.4,571.8,744.8,319.5,0.0,484.6,278.3,85.4,241.8,254.3,196.6,185.9,172.5,246.4,463.2,273.5,424.2,167.8,556.9,466.6,337.2,245.1,535.2,381.7,601.5,721.7,567.2,383.9,331.6,573.0,138.4,487.5,591.0,159.2,349.0,579.6,217.2,569.9,163.1,48.0,249.3,249.7,304.9,448.2,228.0,586.1,280.2,189.9,391.5,201.5,411.2,560.9,530.3,251.2,253.7,416.7,133.5,552.8,375.5,261.6,413.0,238.0,692.9,378.5,173.6,160.2,417.1,190.6,260.5,120.8,133.0,414.4,718.8,259.8,292.2,153.8,532.0,199.9,290.9
ID,430.3,395.7,520.6,183.1,520.9,176.2,459.0,466.4,468.8,110.7,1917.1,59.6,377.3,460.1,410.8,405.5,219.6,144.6,72.8,520.2,557.2,358.4,427.0,218.6,256.3,282.8,72.8,111.2,416.3,63.4,141.7,87.1,256.3,260.5,417.4,0.0,570.4,502.9,407.4,437.9,488.4,384.0,449.5,398.7,97.7,372.9,199.0,358.7,72.2,121.4,178.0,440.6,50.5,133.5,116.8,209.3,108.8,249.8,272.1,88.3,411.4,92.8,152.2,390.0,290.0,121.2,509.3,85.2,400.6,465.5,541.4,271.5,456.2,180.7,481.0,149.5,572.3,482.0,332.5,442.8,58.0,102.5,68.8,496.3,293.5,187.5,413.7,68.1,267.1,284.4,168.9,421.6,180.5,153.3,371.7,440.4,52.0,453.0,360.6,401.0,396.4,304.2,230.3,344.3,317.0,571.3,126.6,325.7,432.9
IF,168.6,251.8,76.2,463.8,136.0,470.7,164.5,159.2,287.9,655.6,2053.6,625.3,164.4,302.5,168.6,252.9,458.9,476.4,643.1,126.2,109.8,255.6,175.9,786.5,830.4,326.4,643.1,633.4,226.5,633.7,712.0,657.4,830.4,425.3,259.8,570.2,0.0,118.0,226.5,238.2,94.4,291.7,235.3,142.2,548.8,169.3,509.8,273.6,642.5,552.2,443.0,140.9,620.8,487.5,687.1,779.6,678.6,489.7,437.4,658.6,201.2,573.1,615.3,265.0,454.8,705.5,46.8,655.5,268.9,153.8,94.0,355.5,200.7,533.8,66.5,671.7,124.9,88.0,497.3,212.9,496.8,686.8,636.1,51.2,359.5,505.1,149.7,638.4,485.7,367.4,518.8,246.9,750.8,464.1,279.4,122.8,502.7,223.1,359.0,161.8,238.8,509.6,804.4,365.6,398.0,186.4,617.6,305.7,252.0
IM,222.6,313.9,244.7,517.8,17.9,524.7,222.5,217.2,341.9,707.9,1951.4,679.3,218.4,364.6,222.6,306.9,432.7,450.2,697.1,283.7,278.3,313.6,229.9,840.5,786.1,325.4,697.1,687.4,280.5,600.3,681.1,711.4,786.1,399.1,321.9,624.2,333.9,0.0,280.5,292.2,251.9,209.0,293.3,196.2,602.8,223.3,563.8,335.7,696.5,606.2,416.8,194.9,674.8,461.3,741.1,739.1,730.9,463.5,418.3,712.6,259.2,627.1,667.6,327.1,428.6,757.8,215.3,709.5,331.0,311.3,262.5,321.6,254.7,587.8,185.7,725.7,293.4,245.5,471.1,266.9,550.8,739.1,609.9,201.0,351.3,559.1,207.7,692.4,477.5,359.2,492.6,300.9,710.3,518.1,220.3,180.8,556.7,277.1,329.1,219.8,300.9,561.9,760.1,335.7,368.1,68.3,671.6,304.7,306.0
IU,85.7,277.0,195.4,341.0,238.6,347.9,167.6,167.9,165.1,531.9,2038.3,502.5,41.6,327.7,66.2,130.1,344.9,384.2,520.3,228.8,229.0,243.5,114.4,663.7,707.6,259.5,520.3,510.6,103.7,510.9,589.2,534.6,707.6,385.8,285.0,447.4,279.0,220.6,0.0,115.4,197.0,287.3,205.2,54.1,426.0,46.5,387.0,269.2,519.7,429.4,350.8,95.9,498.0,395.3,564.3,656.8,530.0,375.7,397.4,535.8,222.3,450.3,541.8,293.3,415.3,542.4,166.0,532.7,236.5,256.4,213.2,288.6,48.7,411.0,136.4,548.9,244.1,190.6,457.8,151.4,374.0,523.7,516.3,151.7,292.6,382.3,170.8,515.6,418.8,300.5,426.6,124.1,628.0,341.3,275.0,131.5,379.9,161.6,354.6,182.9,264.0,436.1,681.6,361.2,388.4,289.0,494.8,238.8,129.2
IX,281.0,142.3,308.4,241.0,315.9,247.9,246.8,254.2,298.2,431.9,2033.4,402.5,236.9,239.5,261.5,193.3,244.9,284.2,420.3,308.0,345.0,146.2,214.8,563.7,607.6,144.0,420.3,410.6,299.0,410.9,489.2,434.6,607.6,242.9,212.4,347.4,358.2,297.9,195.2,0.0,276.2,171.8,237.3,249.4,326.0,241.8,287.0,153.7,419.7,329.4,250.8,251.9,398.0,295.3,464.3,556.8,430.0,275.7,255.0,435.8,199.2,350.3,453.8,177.8,272.4,442.4,297.1,432.7,121.0,260.5,329.2,173.1,244.0,311.0,299.1,448.9,360.1,269.8,314.9,230.6,274.0,423.7,416.3,312.4,177.1,282.3,201.5,415.6,303.3,185.0,326.6,55.1,528.0,241.3,159.5,228.2,279.9,240.8,239.1,188.8,191.4,277.2,581.6,245.7,272.9,366.3,394.8,123.3,262.3
JA,245.9,157.3,157.9,389.5,41.5,396.4,178.2,197.5,337.8,580.4,1975.0,555.6,242.0,208.0,246.2,233.2,364.1,381.9,568.8,54.9,191.8,204.1,253.2,719.8,755.8,233.3,568.8,559.1,304.1,559.1,637.7,583.1,755.8,330.8,165.3,495.6,81.9,23.5,253.1,265.6,0.0,197.2,183.8,219.8,474.5,246.9,435.5,179.1,568.2,477.9,348.5,218.5,543.1,393.0,612.8,733.0,578.5,394.6,342.6,584.3,149.7,391.4,602.3,170.5,360.3,582.8,128.8,580.9,174.4,59.0,176.8,260.7,278.3,459.5,160.0,597.4,206.9,170.0,402.8,247.2,422.5,572.2,541.6,132.9,264.7,428.0,139.0,564.1,386.8,272.9,424.3,249.3,704.2,389.8,184.9,168.4,428.4,201.9,271.8,132.1,144.3,425.7,729.8,270.8,303.5,91.9,543.0,211.2,302.2
JE,291.0,73.6,240.2,273.9,216.8,280.8,178.6,197.9,304.5,464.8,1861.5,435.4,286.8,67.6,291.0,199.6,223.6,241.1,453.2,239.8,276.8,152.5,221.1,596.6,577.0,116.3,453.2,443.5,348.9,391.2,472.0,467.5,577.0,190.0,113.3,380.3,290.0,198.8,201.5,232.0,208.0,0.0,184.2,264.6,358.9,291.7,319.9,54.6,452.6,362.3,207.7,263.3,430.9,252.2,497.2,530.0,462.9,254.4,209.2,468.7,150.1,383.2,486.7,121.5,219.5,475.3,283.7,465.6,78.5,161.4,261.0,112.5,250.3,343.9,254.1,481.8,291.9,201.6,262.0,213.2,306.9,456.6,400.8,269.4,142.2,315.2,145.2,448.5,268.4,150.1,283.5,215.7,501.2,274.2,11.2,171.9,312.8,202.3,120.0,132.5,92.3,310.1,551.0,126.6,159.0,267.2,427.7,95.6,268.6
JJ,257.7,137.3,224.2,369.5,230.8,376.4,162.6,181.9,276.9,560.4,2038.8,531.0,233.6,170.0,257.7,172.0,344.4,361.9,548.8,223.8,260.8,142.9,211.5,692.2,736.1,211.9,548.8,539.1,295.7,539.4,617.7,563.1,736.1,310.8,127.3,475.9,274.0,212.8,191.9,204.4,192.0,177.2,0.0,231.3,454.5,238.5,415.5,159.1,548.2,457.9,328.5,230.0,526.5,373.0,592.8,713.0,558.5,375.2,322.9,564.3,84.5,478.8,582.3,131.0,340.3,570.9,212.9,561.2,154.4,175.4,245.0,241.0,240.7,439.5,226.8,577.4,275.9,185.6,382.8,151.6,402.5,552.2,521.6,228.2,245.0,410.8,129.2,544.1,371.2,252.9,404.3,188.1,684.2,369.8,164.9,155.9,408.4,140.7,244.5,116.5,106.3,405.7,710.1,251.1,283.5,281.2,523.3,191.2,241.0
JN,31.5,210.4,141.2,321.5,190.0,328.4,119.0,113.7,145.6,542.2,1984.1,483.0,22.1,261.1,26.3,110.6,325.4,364.7,500.8,180.2,174.8,205.9,76.8,644.2,688.1,240.0,500.8,491.1,84.2,491.4,569.7,515.1,688.1,366.3,218.4,427.9,230.4,172.0,112.1,95.9,148.4,250.3,167.6,0.0,406.5,27.0,367.5,232.2,500.2,409.9,331.3,41.8,478.5,375.8,544.8,637.3,510.5,356.2,377.9,516.3,155.7,430.8,501.9,223.6,395.8,522.9,111.8,513.2,227.5,207.8,159.0,269.1,101.6,391.5,82.2,529.4,189.9,142.0,438.3,113.8,354.5,504.2,496.8,97.5,273.1,362.8,104.2,496.1,399.3,281.0,407.1,104.6,608.5,321.8,238.0,77.3,360.4,124.0,317.6,116.3,197.4,396.2,662.1,324.2,368.9,240.4,475.3,219.3,109.7
JS,437.0,488.0,537.2,153.8,613.2,160.7,475.6,483.0,475.5,176.7,2009.4,147.3,384.0,552.4,417.5,422.1,311.9,236.9,165.1,536.8,573.8,375.0,443.6,308.5,352.4,375.4,165.1,155.4,423.0,155.7,234.0,179.4,352.4,352.8,509.7,92.2,587.0,595.2,424.0,434.7,505.0,400.6,466.1,405.4,0.0,379.6,205.7,451.0,164.5,66.2,270.3,447.3,142.8,225.8,209.1,301.6,174.8,342.7,364.4,180.6,428.0,87.1,218.2,406.6,382.3,187.2,525.9,177.5,349.8,557.8,558.0,363.8,472.8,188.0,487.7,193.7,588.9,498.6,424.8,459.4,64.7,168.5,161.1,503.0,385.8,191.2,430.3,160.4,363.8,376.7,261.2,400.0,272.8,160.0,388.3,457.0,75.1,469.6,445.6,417.6,488.7,311.5,326.4,436.6,409.3,663.6,68.7,418.0,439.6
JZ,57.3,232.8,167.0,294.4,194.4,301.3,123.4,139.5,118.5,485.3,2009.9,455.9,4.3,283.5,37.8,83.5,298.3,337.6,473.7,184.6,200.6,199.3,91.4,617.1,661.0,212.9,473.7,464.0,57.1,464.3,542.6,488.0,661.0,339.2,240.8,400.8,234.8,176.4,85.0,68.8,152.8,240.7,161.0,25.7,379.4,0.0,340.4,222.6,473.1,382.8,304.2,67.6,451.4,348.7,517.7,610.2,483.4,329.1,350.8,489.2,178.1,403.7,513.4,246.7,368.7,495.8,137.6,486.1,189.9,212.2,184.8,242.0,133.8,364.4,108.0,502.3,215.7,146.4,411.2,107.2,327.4,477.1,469.7,123.3,246.0,335.7,126.6,469.0,372.2,253.9,380.0,77.5,581.4,294.7,228.4,103.1,333.3,117.4,308.0,138.7,219.8,407.7,635.0,314.6,341.8,244.8,448.2,192.2,82.6
KE,400.1,334.2,500.3,116.9,507.8,123.8,438.7,446.1,438.6,267.1,2084.3,226.8,347.1,431.4,380.6,385.2,259.5,298.8,240.0,523.1,536.9,338.1,406.7,391.0,427.3,322.7,240.0,230.3,386.1,230.6,308.9,254.3,427.3,300.4,404.3,167.1,550.1,489.8,387.1,397.8,468.4,363.7,429.2,368.5,145.7,342.7,0.0,345.6,239.4,149.1,265.4,410.4,214.3,309.9,284.0,376.5,290.1,289.7,312.0,255.5,391.1,170.0,226.8,369.7,329.9,308.9,489.0,252.4,312.9,452.4,521.1,311.4,435.9,65.3,450.8,268.6,552.0,461.7,372.4,422.5,93.7,298.3,236.0,466.1,333.4,68.5,387.6,235.3,352.5,318.7,341.2,363.1,347.7,119.9,351.4,417.0,99.6,432.7,389.2,380.7,383.3,188.8,401.3,375.2,352.9,558.2,214.5,365.6,402.7
LG,331.5,204.7,287.2,436.9,162.1,443.8,225.6,244.9,385.5,627.8,1992.3,598.4,327.3,101.3,331.5,280.6,411.8,429.3,616.2,286.8,323.8,251.5,320.1,759.6,803.5,279.3,616.2,606.5,389.4,606.8,685.1,630.5,803.5,378.2,58.6,543.3,337.0,144.1,300.5,313.0,255.0,244.6,231.2,305.1,521.9,332.2,482.9,0.0,615.6,525.3,395.9,303.8,593.9,440.4,660.2,780.4,625.9,442.6,390.3,631.7,197.1,546.2,649.7,217.9,407.7,638.3,275.9,628.6,221.8,106.7,308.0,308.4,363.6,506.9,294.6,644.8,338.9,248.6,450.2,260.2,469.9,619.6,589.0,309.9,312.4,478.2,192.2,611.5,438.6,320.3,471.7,296.7,751.6,437.2,232.3,218.9,475.8,249.3,311.9,179.5,37.6,473.1,777.5,318.5,350.9,212.5,590.7,258.6,349.6
LV,444.1,378.2,544.3,160.9,638.7,167.8,482.7,490.1,482.6,202.2,2034.9,172.8,391.1,475.4,424.6,429.2,337.4,262.4,190.6,543.9,580.9,382.1,450.7,334.0,377.9,400.9,190.6,180.9,430.1,181.2,259.5,204.9,377.9,378.3,535.2,117.7,594.1,620.7,431.1,441.8,512.1,407.7,473.2,412.5,25.4,386.7,241.9,476.5,0.0,91.7,295.8,454.4,168.3,251.3,234.6,327.1,200.3,368.2,389.9,206.1,435.1,75.6,243.7,413.7,407.8,212.7,533.0,203.0,356.9,583.3,565.1,389.3,479.9,176.5,494.8,219.2,596.0,505.7,450.3,466.5,117.7,194.0,186.6,510.1,411.3,179.7,437.4,185.9,389.3,402.2,286.7,407.1,298.3,167.1,395.4,464.1,100.6,476.7,471.1,424.7,514.2,300.0,351.9,462.1,434.8,689.1,54.3,443.5,446.7
MM,389.3,323.4,489.5,106.1,497.0,113.0,427.9,435.3,427.8,220.8,2053.5,191.4,336.3,420.6,369.8,374.4,244.8,281.0,209.2,489.1,526.1,327.3,395.9,352.6,396.5,308.3,209.2,199.5,375.3,199.8,278.1,223.5,396.5,285.7,393.5,136.3,539.3,479.0,376.3,387.0,457.3,352.9,418.4,357.7,114.9,331.9,187.1,334.8,208.6,0.0,314.4,399.6,186.9,269.9,253.2,345.7,218.9,275.6,297.3,224.7,380.3,20.8,242.4,358.9,315.2,231.3,478.2,221.6,302.1,441.6,510.3,296.7,425.1,121.7,440.0,237.8,541.2,450.9,357.7,411.7,62.9,212.6,205.2,455.3,318.7,124.9,382.6,204.5,407.9,304.0,305.3,352.3,316.9,112.3,340.6,409.3,68.8,421.9,374.5,369.9,372.5,245.2,370.5,360.5,338.2,547.4,183.7,350.9,391.9
ND,315.1,217.6,342.5,112.1,342.8,105.2,280.9,288.3,332.3,363.7,1937.7,290.1,271.0,282.0,295.6,227.4,41.5,33.3,266.3,342.1,379.1,180.3,248.9,414.5,431.4,105.0,266.3,298.2,333.1,183.4,264.2,280.6,431.4,82.4,239.3,235.0,392.3,324.8,229.3,259.8,310.3,205.9,271.4,283.5,213.6,275.9,156.6,180.6,307.3,217.0,0.0,286.0,285.6,44.4,291.4,384.4,317.6,72.3,94.0,262.9,233.3,237.9,323.4,211.9,111.9,330.0,331.2,320.3,222.5,287.4,363.3,93.4,278.1,180.6,333.2,336.5,394.2,303.9,154.4,264.7,161.6,311.3,193.0,346.5,115.4,151.9,235.6,261.6,178.3,106.3,75.7,243.5,355.6,110.9,193.6,262.3,167.5,274.9,200.6,222.9,218.3,193.9,405.4,166.2,171.8,393.2,282.4,147.6,296.4
NM,69.6,197.5,149.7,364.8,159.1,371.7,88.1,125.4,188.9,585.5,2004.2,526.3,65.4,248.2,69.6,153.9,368.7,408.0,544.1,149.3,186.3,164.0,34.9,687.5,731.4,272.1,544.1,534.4,127.5,534.7,613.0,558.4,731.4,371.0,205.5,471.2,199.5,141.1,85.5,139.2,117.5,237.4,125.7,43.2,449.8,70.3,410.8,219.3,543.5,453.2,374.6,0.0,521.8,419.1,588.1,680.6,553.8,399.5,383.1,559.6,142.8,474.1,545.2,210.7,400.5,566.2,138.4,556.5,214.6,176.9,170.5,301.2,59.7,434.8,102.3,572.7,201.4,111.1,443.0,71.9,397.8,547.5,540.1,117.6,305.2,406.1,91.3,539.4,431.4,313.1,450.4,147.9,651.8,365.1,225.1,99.4,403.7,82.1,304.7,103.4,184.5,439.5,705.4,311.3,343.7,209.5,518.6,251.4,153.0
NU,459.6,510.6,563.2,176.4,635.8,183.3,498.2,505.6,498.1,199.3,2032.0,174.5,406.6,578.4,440.1,444.7,337.9,259.5,187.7,582.6,596.4,397.6,466.2,338.7,378.4,397.7,187.7,178.0,445.6,178.3,256.6,202.0,378.4,375.4,532.3,114.8,609.6,617.8,446.6,457.3,527.9,423.2,488.7,428.0,49.0,402.2,258.0,473.6,187.1,70.8,292.9,469.9,0.0,248.4,231.7,324.2,197.4,364.7,387.0,203.2,450.6,122.1,240.8,429.2,404.9,201.7,548.5,200.1,372.4,580.4,581.4,386.4,495.4,192.6,502.4,216.3,611.5,521.2,450.8,474.7,87.3,191.1,183.7,529.0,408.4,198.6,447.1,183.0,382.0,399.3,283.8,426.0,298.8,182.6,410.9,476.5,79.7,492.2,475.5,440.2,511.3,316.1,352.4,459.2,431.9,686.2,121.2,440.6,462.2
NW,359.6,262.1,387.0,89.5,387.3,82.6,325.4,332.8,376.8,331.4,1935.8,247.4,315.5,326.5,340.1,271.9,86.0,11.0,221.8,386.6,423.6,224.8,293.4,370.0,386.9,149.5,221.8,253.5,377.6,138.9,219.7,236.1,386.9,126.9,283.8,246.9,436.8,369.3,273.8,304.3,354.8,250.4,315.9,328.0,225.5,320.4,201.1,225.1,264.6,228.9,44.4,330.5,242.9,0.0,246.9,339.9,329.5,116.8,138.5,218.4,277.8,249.8,367.9,256.4,156.4,341.9,375.7,277.6,267.0,331.9,407.8,137.9,322.6,225.1,377.7,291.8,438.7,348.4,198.9,309.2,173.5,323.2,148.5,391.0,159.9,196.4,280.1,217.1,133.8,150.8,31.2,288.0,311.1,155.4,238.1,306.8,179.4,319.4,215.6,267.4,262.8,238.4,360.9,210.7,179.3,437.7,294.3,192.1,340.9
NZ,608.2,544.2,669.1,325.0,669.4,364.7,607.5,614.9,658.9,288.6,1997.0,226.0,555.2,608.6,588.7,554.0,368.1,293.1,164.0,668.7,705.7,506.9,575.5,120.6,164.5,431.6,164.0,213.4,594.2,255.6,336.4,178.3,164.5,409.0,565.9,177.8,718.9,651.4,555.9,586.4,636.9,532.5,598.0,576.6,262.0,550.8,376.9,507.2,243.2,292.4,326.5,612.6,221.5,282.0,0.0,121.8,286.7,398.9,420.6,131.5,559.9,313.3,312.5,538.5,438.5,299.1,657.8,256.2,549.1,614.0,689.9,420.0,604.7,358.6,658.9,251.7,720.8,630.5,481.0,591.3,235.9,280.4,234.5,673.1,442.0,368.2,562.2,159.3,420.0,432.9,317.4,570.1,93.0,331.2,520.2,588.9,229.9,601.5,501.8,549.5,544.9,482.1,138.5,492.8,464.0,719.8,297.6,474.2,623.0
OL,646.0,585.0,709.9,362.8,710.2,369.7,648.3,655.7,684.5,326.4,2003.6,263.8,593.0,649.4,626.5,594.8,408.9,333.9,201.8,709.5,746.5,547.7,616.3,114.4,106.7,472.4,201.8,251.2,632.0,289.5,370.3,216.1,106.7,449.8,606.7,215.6,759.7,692.2,596.7,627.2,677.7,573.3,638.8,614.4,299.8,588.6,414.7,548.0,281.0,330.2,367.3,653.4,259.3,322.8,159.3,0.0,324.5,439.7,461.4,204.2,600.7,351.1,361.5,579.3,479.3,336.9,698.6,294.0,589.9,654.8,730.7,460.8,645.5,396.4,696.7,289.5,761.6,671.3,521.8,632.1,273.7,318.2,299.1,712.0,482.8,406.0,603.0,197.1,450.3,473.7,358.2,610.9,30.9,369.0,561.0,629.7,267.7,642.3,524.9,590.3,585.7,519.9,80.7,492.9,470.6,760.6,335.4,515.0,648.6
OP,397.9,332.0,498.1,114.7,505.6,121.6,436.5,443.9,436.4,190.6,2023.3,161.2,344.9,429.2,378.4,383.0,253.4,250.8,179.0,497.7,534.7,335.9,404.5,322.4,366.3,316.9,179.0,169.3,383.9,169.6,247.9,193.3,366.3,294.3,402.1,106.1,547.9,487.6,384.9,395.6,465.9,361.5,427.0,366.3,84.7,340.5,166.6,343.4,178.4,88.1,259.3,408.2,156.7,239.7,223.0,315.5,0.0,284.2,305.9,194.5,388.9,109.0,269.0,367.5,323.8,201.1,486.8,191.4,310.7,450.2,518.9,305.3,433.7,148.3,448.6,207.6,549.8,459.5,366.3,420.3,25.6,182.4,175.0,463.9,327.3,157.9,391.2,174.3,377.7,312.6,275.1,360.9,286.7,120.9,349.2,417.9,38.6,430.5,383.1,378.5,381.1,271.8,340.3,369.1,346.8,556.0,153.5,359.5,400.5
OS,242.7,104.0,270.1,200.9,277.6,207.8,208.5,215.9,259.9,391.8,1995.1,367.0,198.6,201.2,223.2,155.0,204.8,244.1,380.8,292.9,306.7,107.9,176.5,531.2,568.1,107.1,380.8,370.5,260.7,370.8,449.1,394.5,568.1,245.7,174.7,307.9,319.9,259.6,156.9,187.4,238.2,133.5,199.0,211.1,285.9,203.5,246.9,115.4,379.6,289.3,210.7,213.6,354.5,255.2,424.2,516.7,389.9,0.0,257.3,395.7,160.9,202.8,413.7,139.5,275.2,394.2,258.8,392.6,82.7,222.8,291.7,134.8,205.7,270.9,252.9,408.8,321.8,231.5,317.7,185.0,233.9,383.6,376.2,274.1,138.8,239.4,157.4,375.5,293.4,146.7,286.5,171.7,488.5,201.2,121.2,186.8,239.8,202.5,208.1,150.5,153.1,237.1,541.5,208.0,298.2,328.0,354.7,85.0,224.0
OT,369.2,228.6,370.7,195.7,353.8,188.8,309.1,328.4,386.4,438.2,1960.6,380.1,325.1,293.0,349.7,281.5,99.4,116.9,349.9,393.5,407.3,234.4,303.0,496.5,515.0,115.6,349.9,416.3,387.2,267.0,347.8,364.2,515.0,93.4,250.3,353.1,420.5,335.8,283.4,313.9,338.5,227.7,314.7,337.6,331.7,330.0,231.1,191.6,392.7,335.1,83.5,340.1,371.0,128.0,375.0,468.0,435.7,129.6,0.0,346.5,280.6,248.6,397.9,252.0,122.9,448.1,359.4,405.7,233.5,298.4,392.3,104.4,332.2,255.1,365.4,454.6,422.4,332.1,165.4,318.8,279.7,429.4,276.6,374.7,112.3,226.4,275.7,345.2,180.3,70.8,159.3,297.6,439.2,185.4,215.4,299.3,285.6,329.0,193.5,263.0,229.3,268.4,489.0,172.2,149.9,404.2,400.5,158.5,350.5
OV,510.1,412.6,537.5,240.0,537.8,233.1,475.9,483.3,527.3,265.6,1914.3,248.2,466.0,477.0,490.6,422.4,236.5,161.5,141.0,560.3,574.1,375.3,443.9,208.3,225.2,299.7,141.0,190.4,528.1,124.0,204.8,155.3,225.2,277.4,434.3,154.8,587.3,519.8,424.3,454.8,505.3,400.9,466.4,478.5,286.3,470.9,351.6,375.6,260.8,310.0,194.9,481.0,235.7,150.4,124.8,178.2,263.7,266.7,289.0,0.0,428.3,330.9,307.1,406.9,306.9,276.1,526.2,273.8,417.5,482.4,558.3,288.4,473.1,375.6,528.2,228.7,589.2,498.9,349.4,459.7,212.9,257.4,102.9,541.5,310.4,344.1,424.8,136.3,288.4,301.3,185.8,438.5,149.4,305.9,388.6,457.3,206.9,469.9,377.5,417.9,413.3,388.9,199.2,361.2,333.9,588.2,315.2,342.6,491.4
