from_stop,AA,AB,AE,AN,AO,AR,AV,BC,BD,BP,BY,CB,CG,CS,CX,DA,DP,EA,EC,ED,EO,EV,EW,EZ,FG,FX,GM,GR,GS,GT,HH,HO,HV,IC,II,IK,IU,JD,JJ,JP,JQ,JS,JZ,KH,KS,LF,LN,MS,MU,MY,MZ,NA,NJ,NS,NZ,OF,OM,ON,PF,PQ,PS,QJ,QQ,QZ,RB,RK,RN,RR,RT,SO,SU,SW,TJ,TO,UK,UR,VC,VN,WL,XS,YA,YH,YN,ZC,ZE,ZG,ZK,ZM,ZQ,ZS,ZV
IU,265.3,128.4,178.9,197.8,171.6,167.3,136.5,170.5,104.5,197.6,244.1,275.3,155.0,127.5,249.3,238.9,223.9,131.1,176.2,135.8,223.0,148.3,269.0,19.1,124.4,144.5,241.8,108.3,111.1,190.3,262.4,196.9,144.3,156.1,108.3,77.6,0.0,185.2,244.1,238.6,116.5,261.1,101.6,285.3,201.0,151.8,257.9,141.9,173.1,202.1,39.1,185.2,220.5,277.7,138.7,220.2,276.8,295.0,270.1,300.3,129.4,298.1,180.6,194.7,272.6,115.5,179.6,221.5,159.9,257.0,274.8,117.4,2088.9,307.4,231.9,185.8,263.0,193.6,247.3,156.3,139.1,172.4,85.2,259.0,73.8,238.6,110.4,239.1,202.4,360.3,150.8
JD,307.5,157.8,208.3,236.8,97.2,188.7,225.4,56.8,101.9,286.1,146.7,317.5,184.4,196.6,288.3,281.1,292.2,27.0,224.9,204.9,184.5,146.3,308.0,197.2,213.3,173.9,203.3,137.7,140.5,254.8,249.8,265.2,25.3,225.2,137.7,188.2,182.7,0.0,283.1,277.6,148.2,292.5,170.7,289.6,289.9,106.6,287.3,242.6,202.5,241.1,217.2,210.4,288.8,282.0,177.7,246.7,319.0,337.2,275.2,327.6,126.8,302.4,30.7,219.9,322.9,163.6,209.0,252.9,248.8,292.5,321.0,108.8,1903.6,169.8,270.9,113.3,267.3,223.0,252.4,185.7,136.5,22.5,114.6,301.2,169.4,277.6,139.8,218.7,356.3,303.0,96.3
JJ,150.3,164.5,121.1,35.1,273.0,106.9,181.7,271.9,205.9,404.2,300.9,160.3,112.7,327.1,40.0,123.9,207.0,232.5,137.5,335.4,215.6,205.1,150.8,384.7,169.6,140.3,234.4,149.5,166.7,113.8,141.3,180.0,245.7,355.7,149.5,144.5,365.5,286.6,0.0,120.4,172.1,13.3,301.2,95.1,246.2,208.6,200.1,157.4,97.9,83.9,404.7,116.1,203.6,102.5,99.9,162.4,161.8,180.0,211.6,121.2,230.8,113.2,282.0,108.1,217.8,117.5,89.9,69.9,205.1,13.3,119.1,218.8,2190.3,352.6,54.0,241.5,116.2,73.0,188.8,137.8,240.5,273.8,144.1,144.0,268.6,120.4,119.6,236.8,473.2,405.5,252.2
JP,103.8,241.9,185.3,141.8,353.3,197.1,212.6,354.1,288.1,408.9,383.1,96.3,194.9,457.8,193.3,118.4,225.8,324.2,163.0,439.3,299.2,287.3,30.3,415.6,200.5,198.7,318.0,231.7,248.9,114.2,283.6,198.8,327.9,401.6,231.7,220.4,396.4,368.8,188.1,0.0,249.8,201.5,383.4,245.2,277.1,290.8,264.3,162.7,162.1,103.6,435.6,180.3,222.4,252.6,182.1,223.7,57.4,81.5,295.2,276.1,313.0,263.3,364.2,172.3,185.0,202.1,154.1,220.7,237.1,201.5,237.4,295.0,2272.5,383.5,175.9,323.7,266.3,137.2,272.4,188.2,322.7,356.0,226.3,80.7,355.6,0.0,201.8,320.4,492.3,382.9,334.4
JQ,199.1,9.5,100.7,173.9,149.6,89.1,150.4,148.5,82.5,273.8,193.9,209.1,58.8,203.7,193.6,172.7,177.2,111.3,116.1,212.0,170.5,98.1,201.9,165.1,138.3,66.3,189.3,65.6,5.0,139.8,199.2,162.7,124.5,234.5,65.6,113.2,332.0,165.4,157.3,169.2,0.0,144.2,180.0,157.3,214.9,99.3,179.7,127.6,81.8,132.7,185.1,64.4,176.0,164.7,88.1,144.3,210.6,228.8,179.1,185.7,107.4,175.4,160.8,71.6,210.2,84.0,88.3,104.6,173.8,140.1,160.2,97.6,2069.1,321.3,173.9,163.8,172.0,102.3,156.3,88.5,119.3,152.6,39.6,192.8,152.2,169.2,64.8,204.3,280.8,385.4,128.8
JS,161.1,151.1,131.9,45.9,281.9,125.7,192.5,282.7,216.7,415.0,311.7,171.1,123.5,337.9,50.8,134.7,217.8,252.8,150.5,346.2,202.2,215.9,161.6,395.5,180.4,151.1,221.0,160.3,177.5,124.6,120.1,190.8,256.5,366.5,160.3,155.3,376.3,297.4,10.8,131.2,159.0,0.0,312.0,81.7,257.0,219.4,210.9,168.2,108.7,94.7,415.5,107.4,214.4,89.1,110.7,170.3,172.6,190.8,198.2,112.6,241.6,99.8,292.8,118.9,228.6,130.7,100.7,56.5,215.9,0.0,105.7,223.6,2201.1,363.4,64.8,252.3,102.8,83.8,175.4,148.6,251.3,284.6,154.9,154.8,284.2,131.2,130.4,223.4,485.2,416.3,263.0
JZ,364.7,262.5,313.0,331.9,307.5,293.4,258.8,291.7,279.4,95.9,381.6,374.7,289.1,26.4,383.4,353.9,358.0,261.9,312.5,34.1,398.9,381.2,403.1,153.2,258.5,278.6,417.7,242.4,245.2,324.4,404.3,331.0,260.2,54.4,242.4,211.7,134.0,234.8,378.2,372.7,252.9,395.2,0.0,419.4,234.4,341.5,392.0,276.0,307.2,336.2,173.2,319.3,354.6,411.8,272.8,351.4,421.1,394.4,404.2,439.2,196.2,432.2,265.6,328.8,372.9,247.9,313.7,355.6,294.0,395.2,408.9,286.3,2043.5,121.1,366.0,323.6,397.1,327.7,381.4,290.4,205.9,257.4,219.3,377.4,195.0,372.7,244.5,373.2,101.9,79.9,288.6
KH,210.5,128.6,128.4,73.9,233.5,153.7,220.5,270.4,221.3,443.0,215.1,220.5,151.5,342.5,78.2,162.7,245.8,257.4,176.3,350.8,179.7,185.4,189.6,423.5,208.4,121.8,198.5,157.8,143.8,152.6,46.1,224.7,261.1,371.1,157.8,183.3,404.3,302.0,67.6,159.2,136.5,62.1,316.6,0.0,285.0,188.9,207.4,196.2,104.6,122.7,443.5,84.9,242.4,7.3,138.7,169.7,200.6,240.2,118.4,26.0,246.2,12.7,270.8,94.4,239.0,156.3,111.1,34.0,243.9,58.0,54.7,234.2,2149.7,391.4,92.8,221.8,21.0,111.8,95.6,111.3,255.9,289.2,182.9,182.8,288.8,159.2,158.4,200.9,512.0,436.9,242.4
KS,213.1,248.5,283.8,237.6,323.5,246.9,89.0,321.1,322.1,177.4,411.0,223.1,218.7,185.2,289.1,202.3,193.9,291.3,173.2,192.9,361.8,287.1,288.2,157.9,111.0,249.4,380.6,214.0,231.2,185.1,409.0,166.9,289.6,213.0,214.0,159.1,138.7,264.2,283.9,257.8,238.9,297.3,158.7,341.0,0.0,290.6,362.8,136.7,275.9,241.9,177.9,324.0,190.5,348.4,178.5,322.2,269.5,242.8,408.9,371.9,241.0,359.1,295.0,286.1,221.3,153.6,267.9,334.5,129.9,297.3,308.9,329.0,2184.1,125.8,271.7,339.6,362.1,251.0,386.1,261.2,250.7,286.8,224.0,225.8,235.0,257.8,184.1,377.9,247.6,194.3,304.6
LF,247.6,74.1,137.8,176.9,87.7,126.2,207.0,81.4,86.0,277.3,92.2,257.6,95.9,207.2,228.4,221.2,214.3,100.6,144.8,215.5,71.1,39.6,248.1,168.6,194.9,103.4,89.9,102.7,89.3,176.9,187.5,193.2,113.8,235.8,102.7,169.8,315.4,133.3,210.1,217.7,82.0,199.3,181.3,235.1,271.5,0.0,216.8,164.7,132.0,181.2,188.6,117.2,210.9,227.5,125.2,179.1,259.1,277.3,220.7,268.3,110.9,247.9,84.0,126.7,245.0,142.8,138.5,159.7,256.1,195.2,236.4,98.9,2037.0,302.5,211.0,76.0,212.8,152.5,197.9,115.2,120.6,101.5,114.9,241.3,153.5,217.7,144.9,164.2,282.1,261.3,53.4
LN,145.5,161.5,116.3,30.3,266.3,110.1,176.9,267.1,201.1,399.4,296.1,155.5,107.9,322.9,83.4,119.1,202.2,237.2,134.9,330.6,275.0,200.3,146.0,379.9,164.8,135.5,293.8,144.7,161.9,109.0,173.7,175.2,240.9,350.9,144.7,139.7,360.7,281.8,78.2,115.6,169.6,91.6,296.4,135.3,241.4,203.8,0.0,152.6,93.1,79.1,399.9,111.3,198.8,142.7,95.1,154.7,157.0,175.2,226.2,166.2,226.0,153.4,277.2,103.3,213.0,115.1,85.1,151.7,200.3,91.6,127.5,208.0,2185.5,347.8,66.0,236.7,156.4,68.2,203.4,133.0,235.7,269.0,139.3,139.2,268.6,115.6,114.8,251.4,469.6,400.7,247.4
MS,123.3,147.0,153.5,136.1,234.1,133.9,49.8,234.9,168.9,272.3,276.6,133.3,88.4,280.1,187.6,96.9,103.7,205.0,36.4,330.0,255.5,180.8,138.9,252.8,37.7,119.1,274.3,112.5,129.7,48.3,277.9,76.7,208.7,292.3,112.5,57.6,233.6,249.6,182.4,108.5,137.4,195.8,253.6,239.5,114.3,184.3,232.5,0.0,147.7,96.2,272.8,165.1,100.3,246.9,77.0,191.9,134.8,153.0,287.8,270.4,193.8,257.6,245.0,164.9,134.4,52.1,146.7,213.3,73.2,195.8,231.7,175.8,2153.3,220.7,170.2,250.2,260.6,129.8,265.0,130.9,203.5,236.8,107.1,117.0,236.4,108.5,82.6,285.0,342.5,273.6,215.2
MU,117.2,79.7,23.1,64.5,213.6,65.0,166.6,212.5,146.5,389.1,228.7,127.2,97.6,267.7,116.0,90.8,206.9,173.1,122.4,276.0,137.0,132.9,117.7,229.1,154.5,36.5,155.8,72.5,94.9,80.7,153.1,192.4,186.3,296.3,72.5,129.4,350.4,227.2,108.9,87.3,89.8,98.1,241.8,111.2,231.1,136.4,102.1,129.2,0.0,50.8,249.1,18.1,205.7,118.6,84.8,64.4,128.7,146.9,133.0,137.3,171.4,129.3,222.6,10.1,184.7,102.4,6.4,58.5,218.2,98.1,135.2,159.4,2130.9,337.5,98.6,169.3,125.9,20.4,110.2,26.0,181.1,214.4,84.7,110.9,209.2,87.3,104.5,158.2,458.1,382.6,192.8
MY,66.3,138.2,81.6,38.1,249.6,93.4,128.2,250.4,184.4,357.7,279.4,76.3,91.2,306.2,89.6,39.9,156.0,220.5,78.6,313.9,195.5,183.6,66.8,331.2,116.1,95.0,214.3,128.0,145.2,29.8,179.9,129.0,224.2,334.2,128.0,136.0,312.0,265.1,84.4,36.4,146.1,97.8,279.7,141.5,192.7,187.1,160.6,78.3,58.4,0.0,351.2,76.6,152.6,148.9,78.4,120.0,77.8,96.0,191.5,172.4,209.3,159.6,260.5,68.6,133.8,98.4,50.4,117.0,167.3,97.8,109.4,191.3,2168.8,299.1,72.2,220.0,162.6,33.5,168.7,84.5,219.0,252.3,122.6,60.0,251.9,36.4,98.1,216.7,420.9,331.7,230.7
MZ,226.1,89.2,139.7,192.7,132.4,120.1,97.3,131.3,65.3,319.8,204.9,236.1,115.8,186.5,210.1,199.7,184.7,91.9,137.0,194.8,183.8,109.1,229.8,300.3,85.2,105.3,202.6,69.1,71.9,151.1,223.2,161.8,105.1,215.1,69.1,38.4,281.1,146.0,204.9,199.4,77.3,221.9,160.6,246.1,161.8,112.6,218.7,102.7,133.9,162.9,0.0,146.0,181.3,238.5,99.5,181.0,237.6,255.8,230.9,261.1,90.2,258.9,141.4,155.5,233.4,76.3,140.4,182.3,120.7,217.8,259.0,78.2,2049.7,268.2,192.7,146.6,223.8,154.4,208.1,117.1,99.9,133.2,46.0,219.8,128.0,199.4,71.2,199.9,388.8,321.1,111.6
NA,136.9,61.5,43.4,84.2,213.9,65.3,186.3,212.8,146.8,408.8,229.0,146.9,84.0,268.0,130.8,110.5,226.6,173.4,132.9,276.3,118.8,133.2,137.4,229.4,174.2,36.8,137.6,72.8,76.7,100.4,134.9,199.6,186.6,296.6,72.8,149.1,370.1,227.5,90.7,107.0,69.4,79.9,242.1,93.0,250.8,136.7,122.4,148.9,19.6,70.5,249.4,0.0,224.8,100.4,104.5,84.7,148.4,166.6,114.8,119.1,171.7,111.1,222.9,9.4,204.4,122.1,26.1,40.3,237.9,75.8,117.0,159.7,2131.2,357.2,118.3,169.6,107.7,40.1,92.0,26.3,181.4,214.7,85.0,130.6,209.5,107.0,124.2,140.0,342.9,402.3,193.1
NJ,60.1,200.4,143.8,100.3,313.7,155.6,153.3,312.6,246.6,353.1,360.6,70.1,173.0,399.8,160.8,33.7,1.7,282.7,116.1,381.3,257.7,264.8,104.8,355.7,142.2,158.7,275.9,190.2,206.8,72.7,249.3,130.1,286.4,344.2,190.2,189.7,336.5,327.3,146.6,74.4,209.9,160.0,341.9,203.7,217.8,268.9,222.8,121.2,120.6,62.1,376.3,140.4,0.0,210.5,140.0,184.5,85.5,89.8,253.1,229.8,273.1,221.8,324.3,130.8,129.2,185.9,112.6,179.2,161.1,160.0,195.9,258.9,2231.0,324.2,134.4,301.2,224.8,97.3,230.9,146.7,281.2,314.5,184.8,53.8,308.7,74.4,160.3,278.9,434.9,324.9,292.9
NS,218.1,136.2,136.0,81.5,241.1,161.3,228.1,278.0,230.0,450.6,207.7,228.1,159.1,350.7,85.8,170.3,253.4,265.0,192.3,358.4,169.6,193.0,197.2,431.1,216.0,129.4,188.4,165.4,151.4,160.2,38.7,226.4,268.7,378.7,165.4,190.9,411.9,309.6,75.2,166.8,144.1,69.7,324.2,7.5,292.6,196.5,215.0,203.8,112.2,130.3,451.1,92.5,250.0,0.0,146.3,177.3,208.2,247.8,111.0,40.7,253.8,20.3,263.4,102.0,246.6,163.9,118.7,41.6,251.5,65.6,38.9,241.8,2142.3,399.0,100.4,229.4,13.6,119.4,88.2,118.9,263.5,280.9,190.5,190.4,296.4,166.8,166.0,190.8,520.8,444.5,250.0
NZ,129.7,84.0,120.1,59.0,173.0,68.3,81.7,171.9,105.9,304.2,228.3,139.7,40.1,227.7,110.5,103.3,114.4,132.5,44.9,235.4,207.2,132.5,130.2,284.7,69.6,85.7,226.0,49.5,66.7,77.0,208.6,97.4,145.7,255.7,49.5,44.5,265.5,186.6,105.3,99.8,72.1,118.7,201.2,162.4,146.2,136.0,199.1,64.8,97.3,63.3,304.7,115.5,112.6,169.8,0.0,161.4,141.2,159.4,230.4,188.5,130.8,180.5,182.0,107.5,145.1,17.5,89.3,155.9,105.1,123.7,130.3,118.8,2090.3,252.6,93.1,187.2,183.5,72.4,207.6,97.5,140.5,173.8,44.1,123.4,168.6,99.8,19.6,241.3,373.2,305.5,152.2
OF,183.2,199.2,154.0,68.0,305.9,147.8,214.6,304.8,238.8,437.1,333.8,193.2,145.6,360.6,121.1,156.8,239.9,265.4,170.4,368.3,312.7,238.0,183.7,417.6,202.5,173.2,331.5,182.4,199.6,146.7,219.2,225.4,278.6,388.6,182.4,177.4,398.4,319.5,115.9,153.3,207.3,129.3,334.1,173.0,279.1,241.5,37.7,190.3,130.8,116.8,437.6,149.0,236.5,180.4,132.8,0.0,194.7,212.9,263.9,199.1,263.7,191.1,314.9,141.0,250.7,150.4,122.8,189.4,238.0,129.3,165.2,251.7,2223.2,385.5,103.7,274.4,194.1,105.9,241.1,170.7,273.4,306.7,177.0,176.9,306.3,153.3,152.5,289.1,506.1,438.4,285.1
OM,46.3,214.1,157.5,114.0,327.4,169.3,175.6,326.3,260.3,351.4,355.3,38.8,167.1,400.3,165.5,60.9,172.1,296.4,138.4,381.8,271.4,259.5,118.5,378.6,164.5,170.9,290.2,203.9,221.1,86.4,263.6,145.1,300.1,344.1,203.9,192.6,359.4,341.0,160.3,88.1,224.2,173.7,355.6,217.4,240.1,263.0,236.5,134.9,134.3,75.8,398.6,152.5,168.7,224.8,154.3,198.8,0.0,24.0,267.4,243.5,285.2,235.5,336.4,144.5,127.5,171.9,126.3,192.9,183.4,178.7,185.3,273.2,2244.7,346.5,148.1,295.9,238.5,109.4,244.6,160.4,294.9,328.2,198.5,23.2,323.0,88.1,174.0,292.6,433.6,325.4,306.6
ON,22.2,218.3,161.7,118.2,329.7,173.5,160.8,330.5,264.5,347.4,359.5,14.7,171.3,395.7,169.7,36.8,157.3,300.6,123.6,377.8,275.6,263.7,122.7,363.8,149.7,175.1,294.4,208.1,225.3,90.6,260.0,130.3,304.3,340.1,208.1,196.8,344.6,345.2,164.5,92.3,226.2,177.9,359.8,221.6,225.3,267.2,240.7,139.1,138.5,80.0,383.8,156.7,153.9,229.0,158.5,200.1,104.0,0.0,271.6,252.5,289.4,239.7,340.6,148.7,123.5,178.5,130.5,197.1,168.6,177.9,213.8,271.4,2248.9,331.7,152.3,300.1,242.7,113.6,248.8,164.6,299.1,332.4,202.7,60.3,332.0,92.3,178.2,296.8,430.8,321.4,310.8
PF,189.9,96.6,96.4,136.5,201.5,118.3,239.3,238.4,189.3,380.6,249.2,199.9,136.4,310.5,122.5,163.5,279.6,225.4,185.3,318.8,147.7,153.4,190.4,271.9,227.2,89.8,166.5,125.8,111.8,153.4,130.9,256.7,229.1,339.1,125.8,202.1,423.1,270.0,82.4,160.0,104.5,71.6,284.6,84.7,303.8,156.9,175.4,201.9,72.6,123.5,291.9,52.9,276.2,92.1,157.5,137.7,201.4,219.6,0.0,110.8,214.2,102.8,241.0,62.4,257.4,175.1,79.1,32.0,290.9,67.5,108.7,202.2,2173.7,410.2,136.5,189.8,105.8,93.1,120.9,79.3,223.9,257.2,138.0,183.6,256.8,160.0,177.2,168.9,385.4,455.3,210.4
PQ,244.3,162.4,162.2,107.7,267.3,187.5,254.3,304.2,255.1,476.8,236.0,254.3,185.3,376.3,112.0,196.5,279.6,281.7,210.1,384.6,197.9,219.2,223.4,457.3,242.2,155.6,216.7,191.6,177.6,186.4,67.0,256.7,294.9,404.9,191.6,217.1,438.1,341.0,101.4,193.0,170.3,95.9,350.4,33.7,318.8,222.7,241.2,230.0,138.4,156.5,477.3,118.7,276.2,28.2,172.5,203.5,234.4,274.0,139.3,0.0,280.0,46.5,291.7,128.2,272.8,190.1,144.9,67.8,277.7,91.8,65.1,268.0,2170.6,425.2,126.6,255.6,41.9,145.6,116.5,145.1,289.7,309.2,216.7,216.6,322.6,193.0,192.2,219.1,545.8,470.7,276.2
PS,303.8,166.9,217.4,236.3,255.0,205.8,175.0,250.7,251.7,166.3,340.6,313.8,193.5,96.8,287.8,277.4,262.4,203.3,216.9,104.5,344.5,324.3,307.5,57.6,162.9,183.0,363.3,146.8,149.6,228.8,300.9,235.4,219.2,124.8,146.8,116.1,204.4,193.8,282.6,277.1,155.0,299.6,70.3,323.8,239.5,284.6,296.4,180.4,211.6,240.6,77.6,223.7,259.0,316.2,177.2,258.7,315.3,333.5,308.6,338.8,0.0,336.6,224.6,233.2,311.1,154.0,218.1,260.0,198.4,299.6,336.7,264.6,2113.9,191.5,270.4,269.2,301.5,232.1,285.8,194.8,9.6,216.4,123.7,297.5,42.5,277.1,148.9,277.6,171.1,150.3,234.2
QJ,209.1,115.8,115.6,95.3,222.3,129.5,241.9,257.6,208.5,464.4,268.4,219.1,172.9,329.7,100.2,182.7,267.2,244.6,199.9,338.0,166.9,172.6,209.6,291.1,229.8,109.0,185.7,145.0,131.0,172.6,104.8,240.2,248.3,358.3,145.0,204.7,425.7,289.2,60.1,179.2,123.7,49.3,303.8,66.4,306.4,176.1,194.6,217.6,91.8,142.7,311.1,72.1,263.8,73.8,160.1,154.0,220.6,238.8,162.9,97.3,233.4,0.0,260.2,81.6,274.7,180.1,98.3,21.2,265.3,49.3,67.0,215.4,2192.9,412.8,114.2,209.0,87.5,112.3,140.1,98.5,243.1,276.4,157.2,202.8,276.0,179.2,179.8,188.1,534.6,472.6,229.6
QQ,323.5,150.0,213.7,252.8,68.3,194.1,259.3,26.0,129.3,335.4,115.9,333.5,171.8,250.5,304.3,297.1,290.2,65.4,229.1,258.8,153.7,115.5,324.0,231.1,247.2,179.3,172.5,178.6,165.2,252.8,211.2,271.1,59.2,279.1,178.6,222.1,232.0,49.2,286.0,293.6,160.1,275.2,224.6,258.8,323.8,75.8,292.7,240.6,207.9,257.1,251.1,193.1,288.4,251.2,201.1,255.0,335.0,353.2,244.4,292.0,154.2,271.6,0.0,202.6,320.9,195.1,214.4,235.6,282.7,271.1,290.2,142.2,1952.9,219.1,286.9,82.5,236.5,228.4,221.6,191.1,163.9,17.4,148.5,317.2,192.0,293.6,173.7,187.9,326.6,352.3,65.5
QZ,127.4,69.5,33.9,74.7,202.5,47.8,176.8,203.3,137.3,399.3,219.5,137.4,74.5,259.1,138.8,101.0,217.1,173.4,125.6,266.8,126.8,123.7,127.9,219.9,164.7,27.3,145.6,63.3,98.1,90.9,135.1,190.1,177.1,287.1,63.3,139.6,360.6,218.0,98.7,97.5,77.4,87.9,232.6,101.0,241.3,127.2,112.9,139.4,10.1,61.0,239.9,7.9,213.7,108.4,95.0,72.3,138.9,157.1,122.8,131.9,162.2,119.1,213.4,0.0,194.9,115.0,16.6,48.3,228.4,87.9,125.0,144.2,2121.7,347.7,108.8,160.1,115.7,30.6,100.0,16.8,171.9,205.2,75.5,121.1,200.0,97.5,114.7,148.0,334.6,392.8,183.6
RB,147.6,195.7,231.0,184.8,284.7,186.1,69.3,283.6,217.6,223.8,354.1,157.6,165.9,272.7,236.3,136.8,141.1,244.2,120.4,254.2,333.0,258.3,222.7,281.1,58.2,196.6,351.8,161.2,178.4,132.3,334.4,114.1,257.4,216.5,161.2,106.3,261.9,298.3,231.1,192.3,186.1,244.5,273.1,288.2,133.8,261.8,310.0,83.9,223.1,189.1,301.1,241.3,137.7,295.6,125.7,272.3,204.0,177.3,356.2,314.3,242.5,306.3,293.7,233.3,0.0,102.5,215.1,281.7,77.1,249.5,256.1,230.5,2187.6,249.0,218.9,298.9,309.3,198.2,333.4,208.4,252.2,285.5,155.8,160.3,280.3,192.3,131.3,333.7,306.0,197.8,263.9
RK,152.9,93.1,128.4,82.2,182.1,83.5,64.1,181.0,115.0,286.6,251.5,162.9,63.3,236.8,133.7,126.5,137.6,151.1,68.1,244.5,230.4,155.7,153.4,267.1,52.0,94.0,249.2,58.6,75.8,100.2,231.8,116.4,154.8,264.8,58.6,26.9,247.9,195.7,128.5,123.0,81.2,141.9,210.3,185.6,128.6,159.2,207.4,88.0,120.5,86.5,287.1,138.7,134.2,193.0,23.1,169.7,164.4,182.6,253.6,211.7,139.9,203.7,191.1,130.7,168.3,0.0,112.5,179.1,87.5,146.9,177.8,127.9,2099.4,235.0,116.3,196.3,206.7,95.6,230.8,105.8,149.6,182.9,53.2,146.6,177.7,123.0,28.7,254.3,355.6,287.9,161.3
RN,110.7,87.7,31.1,58.0,219.7,65.0,160.1,220.5,154.5,382.6,236.7,120.7,91.1,275.7,109.5,84.3,200.4,190.6,118.1,284.0,145.0,140.9,111.2,363.1,148.0,44.5,163.8,80.5,102.9,74.2,153.3,173.4,194.3,304.3,80.5,122.9,343.9,235.2,116.9,80.8,95.6,106.1,249.8,119.2,224.6,144.4,110.1,122.7,8.0,44.3,383.1,26.1,197.0,126.6,78.3,69.5,122.2,140.4,141.0,150.1,179.4,137.3,230.6,18.1,178.2,98.3,0.0,66.5,211.7,106.1,143.2,161.4,2138.9,331.0,92.1,177.3,133.9,13.9,118.2,34.0,189.1,222.4,92.7,104.4,217.2,80.8,98.0,166.2,452.8,376.1,200.8
RR,187.8,94.5,94.3,104.4,199.4,108.2,232.1,236.3,187.2,454.6,247.1,197.8,163.1,308.4,90.4,161.4,257.4,213.8,196.3,316.7,145.6,151.3,188.3,269.8,220.0,87.7,164.4,123.7,109.7,151.3,98.8,230.4,227.0,337.0,123.7,194.9,415.9,267.9,50.3,157.9,102.4,39.5,282.5,52.6,296.6,154.8,173.3,199.8,70.5,121.4,289.8,50.8,256.2,60.0,150.3,135.6,199.3,217.5,141.6,78.7,212.1,70.7,238.9,60.3,260.9,167.9,77.0,0.0,255.5,35.4,76.6,200.1,2171.6,403.0,104.4,187.7,73.7,91.0,118.8,77.2,221.8,255.1,135.9,181.5,249.9,157.9,170.0,166.8,384.5,458.8,208.3
RT,122.3,158.7,170.2,142.0,247.2,150.6,115.9,282.3,216.3,316.1,293.3,132.3,105.1,364.4,193.5,95.9,63.9,252.4,48.2,346.5,272.2,197.5,167.0,318.9,104.8,135.8,291.0,155.1,173.9,83.0,283.8,36.9,256.1,308.8,155.1,152.9,299.7,297.0,188.3,136.6,166.6,201.7,319.7,245.4,180.4,201.0,249.2,90.8,164.4,124.3,338.9,181.8,60.5,252.8,110.3,208.6,148.3,152.0,298.1,276.3,241.2,263.5,285.1,175.2,112.6,147.4,170.9,223.6,0.0,201.7,237.6,223.2,2200.7,286.8,176.1,233.9,266.5,157.9,275.3,147.6,250.9,284.2,154.5,116.0,283.8,136.6,130.0,306.3,361.4,290.1,254.5
SO,161.1,151.1,131.9,64.8,283.8,117.7,192.5,282.7,216.7,419.1,298.7,171.1,123.5,337.9,50.8,134.7,217.8,243.3,156.7,346.2,202.2,202.9,161.6,395.5,180.4,139.3,216.0,160.3,177.5,128.7,122.9,194.9,256.5,366.5,160.3,155.3,376.3,297.4,10.8,131.2,161.2,0.0,312.0,81.7,257.0,219.4,210.9,168.2,112.8,94.7,419.6,102.4,216.6,89.1,114.8,177.3,176.7,190.8,193.2,107.8,241.6,99.8,292.8,118.9,232.7,128.3,100.7,51.5,215.9,0.0,100.7,233.7,2201.1,363.4,64.8,252.3,97.8,83.8,170.4,148.6,251.3,284.6,154.9,154.8,288.3,131.2,130.4,218.4,484.0,416.3,263.0
SU,179.1,181.5,128.5,97.8,280.4,114.3,225.5,315.7,213.3,448.0,262.7,225.5,120.1,334.5,46.8,131.3,250.8,239.9,144.9,342.8,224.6,248.9,194.6,392.1,177.0,147.7,227.9,156.9,174.1,121.2,78.2,187.4,289.5,363.1,156.9,188.3,409.3,330.4,36.2,164.2,179.5,49.6,345.0,32.0,290.0,216.0,243.9,201.2,105.3,91.3,448.5,137.8,249.6,39.4,107.3,169.8,169.2,208.8,166.0,73.6,274.6,65.6,289.4,115.5,244.0,161.3,97.3,71.4,248.9,49.6,0.0,226.2,2197.3,360.0,97.8,248.9,68.6,80.4,143.2,145.2,284.3,281.2,187.9,187.8,312.4,127.4,163.4,230.3,480.6,405.5,259.6
SW,338.8,189.1,239.6,268.1,163.2,220.0,256.7,162.1,133.2,178.3,288.2,348.8,215.7,108.8,319.6,312.4,323.5,132.2,256.2,116.5,252.7,232.5,339.3,69.6,244.6,205.2,271.5,169.0,171.8,286.1,341.1,296.5,135.9,136.8,169.0,128.1,216.4,205.8,314.4,308.9,177.2,323.8,82.3,336.9,321.2,192.8,318.6,273.9,233.8,272.4,89.6,241.7,320.1,344.3,209.0,280.9,350.3,368.5,358.7,363.0,11.9,355.0,172.2,251.2,354.2,192.5,240.3,284.2,280.1,323.8,360.9,0.0,2080.5,203.5,302.2,177.4,351.6,254.3,335.9,217.0,21.6,164.0,145.9,332.5,49.7,308.9,171.1,317.8,184.3,162.3,142.4
