from_stop,AC,AF,AI,AJ,AK,AQ,AR,AX,AY,BC,BJ,BK,BP,BW,BZ,CG,CI,CN,CV,CZ,DF,DH,DL,DR,DS,DT,DV,DW,DY,DZ,EB,ED,EU,EW,FB,FF,FG,FJ,GE,GN,GT,HK,HO,HU,HV,HW,IF,IP,IR,IS,IW,IY,JG,JL,JN,JS,JY,KC,KF,KG,KI,KO,KT,KV,KX,KY,KZ,LB,LI,LM,LN,LP,LV,ME,MI,MK,MO,MQ,NA,NJ,NO,NQ,NY,OL,ON,OS,OY,PF,PK,PL,PN,PO,PP,PS,PT,QA,QF,QH,QM,QR,QU,QZ,RD,RK,RQ,RV,RY,SA,SC,SE,SH,SI,SJ,SM,SP,SW,SY,TB,TC,TG,TI,TL,TU,UG,UI,UJ,UL,UN,UP,UX,VR,VT,VY,WA,WF,WG,WZ,XD,XF,XH,XJ,XZ,YC,YQ,YR,ZF,ZJ,ZO,ZQ,ZR,ZV
DH,748.7,421.3,630.3,1058.4,792.0,877.2,467.1,1081.7,970.5,684.9,567.5,368.3,240.5,507.6,69.4,549.6,948.0,887.7,705.3,769.8,904.4,0.0,711.5,559.6,667.9,682.2,684.2,906.5,1257.6,705.5,731.5,228.3,857.7,996.0,165.4,831.2,599.4,398.3,533.8,944.8,773.5,484.4,735.3,365.7,684.1,751.1,529.3,537.9,683.5,250.1,964.8,896.0,855.1,131.4,971.6,452.4,872.1,773.6,887.2,555.2,97.5,502.3,355.8,86.7,747.6,935.4,992.4,605.3,249.0,759.8,940.3,240.0,748.1,845.8,989.8,678.9,119.4,718.1,926.2,947.8,91.8,528.4,741.4,432.6,856.0,724.3,879.3,528.2,930.2,922.4,933.9,74.5,388.1,932.3,847.9,461.3,148.2,751.4,705.4,576.2,933.2,920.3,925.2,70.1,132.7,654.9,643.0,707.2,113.2,774.3,971.8,613.3,809.6,937.2,111.8,756.2,768.9,566.7,690.1,629.7,323.5,680.0,140.3,794.6,907.0,1073.7,857.7,808.5,440.0,535.6,725.6,731.3,542.3,582.2,650.5,1007.1,896.8,946.5,624.0,850.3,628.0,151.1,993.1,181.9,704.4,613.6,478.0,824.3,212.7,379.2,213.6
DL,965.2,389.6,429.8,943.1,114.8,761.9,479.4,966.4,855.2,169.3,148.8,302.3,479.7,242.4,606.5,342.8,941.5,772.4,83.9,896.9,984.1,666.5,0.0,298.3,842.1,965.5,825.8,900.0,1142.3,988.8,215.9,626.6,851.2,989.5,502.5,315.6,380.9,345.6,869.0,829.5,787.0,452.7,916.6,422.1,937.4,235.5,336.4,331.1,746.2,546.4,1044.5,780.7,739.8,536.5,856.3,464.7,756.8,258.0,771.9,435.4,616.6,470.6,580.2,580.7,764.5,820.1,877.1,163.9,647.3,244.2,933.8,470.0,232.5,730.5,874.5,982.2,699.6,792.2,810.9,832.5,628.9,297.4,225.8,330.9,740.7,940.8,872.8,863.4,814.9,807.1,818.6,592.7,663.0,925.8,1026.9,356.6,597.8,873.9,189.8,140.6,417.6,805.0,809.9,676.9,681.1,938.2,156.5,857.9,628.1,75.2,856.5,898.6,968.3,421.6,556.1,878.7,985.4,348.2,174.5,78.2,721.8,963.3,527.6,117.4,391.4,958.4,851.2,292.9,387.3,469.5,909.8,215.7,929.8,363.7,134.9,891.8,890.3,831.2,175.3,735.0,963.2,622.4,877.8,631.5,188.8,413.1,490.3,308.7,536.0,613.5,506.6
DR,810.4,353.4,275.0,788.3,381.1,607.1,324.6,811.6,700.4,274.0,156.6,266.1,443.5,87.6,570.3,188.0,786.7,617.6,294.4,742.1,829.3,630.3,300.6,0.0,687.3,810.7,671.0,745.2,987.5,834.0,320.6,590.4,696.4,834.7,466.3,420.3,226.1,209.0,784.5,674.7,632.2,416.5,761.8,385.9,782.6,340.2,181.6,176.3,591.4,510.2,889.7,625.9,585.0,500.3,701.5,309.9,602.0,362.7,617.1,280.6,580.4,434.4,544.0,544.5,609.7,665.3,722.3,194.4,611.1,348.9,779.0,433.8,337.2,575.7,719.7,827.4,663.4,637.4,656.1,677.7,592.7,142.6,330.5,176.1,585.9,786.0,718.0,778.9,660.1,652.3,663.8,556.5,626.8,771.0,872.1,201.8,561.6,719.1,294.5,165.3,522.3,650.2,655.1,640.7,644.9,783.4,232.1,705.1,591.9,363.4,701.7,743.8,813.5,526.3,519.9,723.9,830.6,193.4,279.2,218.8,685.6,808.5,491.4,383.7,496.1,803.6,696.4,397.6,273.2,314.7,755.0,320.4,775.0,208.9,239.6,737.0,735.5,676.4,213.1,580.2,856.8,524.7,723.0,595.3,293.5,258.3,335.5,413.4,499.8,577.3,470.4
DS,123.0,644.2,601.4,400.4,837.6,219.2,583.4,423.7,312.5,730.5,613.1,593.0,636.3,505.9,671.7,410.4,280.0,229.7,750.9,106.4,236.4,692.0,757.1,557.9,0.0,123.3,16.2,238.5,599.6,146.6,777.1,453.4,189.7,328.0,584.9,876.8,526.9,535.4,134.5,286.8,105.5,707.3,107.3,616.6,95.2,796.7,456.8,422.2,337.5,700.3,296.8,238.0,197.1,618.9,313.6,568.7,214.1,819.2,229.2,581.4,699.0,725.2,428.0,663.1,79.6,277.4,334.4,650.9,432.2,805.4,272.3,626.6,793.7,187.8,331.8,140.0,611.2,50.1,268.2,289.8,694.1,455.9,787.0,502.5,198.0,98.6,211.3,140.0,272.2,264.4,275.9,675.1,460.3,264.3,236.4,460.6,680.2,83.4,751.0,621.8,978.8,262.3,267.2,603.9,592.7,96.0,688.6,55.9,715.5,819.9,313.8,56.4,177.8,982.8,638.5,88.2,143.2,494.2,735.7,675.3,574.2,121.1,610.0,840.2,952.6,415.7,189.7,854.1,599.6,615.5,99.9,776.9,294.6,509.7,696.1,349.1,228.8,288.5,669.6,192.3,169.4,534.0,335.1,713.9,750.0,584.7,594.3,869.9,670.5,451.4,663.2
DT,217.2,780.7,737.9,536.9,974.1,355.7,721.4,560.2,449.0,867.0,749.6,729.5,643.7,642.4,680.6,546.9,416.5,366.2,888.9,238.3,372.9,699.4,893.6,694.4,136.4,0.0,152.7,376.5,736.1,82.4,913.6,460.8,326.2,464.5,592.3,1013.3,664.9,673.4,141.9,424.8,242.0,843.8,65.5,753.1,74.2,933.2,593.3,560.2,474.0,707.7,433.3,376.0,333.6,626.3,450.1,705.2,352.1,955.7,365.7,717.9,706.4,861.7,435.4,672.0,216.1,413.9,472.4,787.4,441.1,941.9,408.8,634.0,930.2,324.3,468.3,129.4,618.6,186.6,404.7,426.3,701.5,592.4,923.5,640.5,336.0,192.8,347.8,147.4,408.7,400.9,412.4,682.5,467.7,400.2,316.4,597.1,689.1,219.9,889.0,758.3,1115.3,400.3,402.3,611.3,600.1,27.4,825.1,122.1,722.9,956.4,450.3,81.8,278.1,1120.8,645.9,224.7,237.4,632.2,872.2,811.8,581.6,56.9,617.4,976.7,1089.1,552.2,326.2,992.1,736.1,752.0,194.1,913.4,302.0,646.2,832.6,480.7,365.3,425.0,806.1,328.8,176.8,541.4,473.1,721.3,888.0,721.2,730.8,1006.4,677.9,458.8,672.1
DV,139.3,627.9,585.1,384.1,821.3,202.9,567.1,407.4,296.2,714.2,596.8,576.7,652.6,489.6,688.0,394.1,263.7,213.4,734.6,90.1,220.1,708.3,740.8,541.6,16.2,139.6,0.0,222.2,583.3,162.9,760.8,469.7,173.4,311.7,601.2,860.5,510.6,519.1,150.8,270.5,89.2,691.0,90.7,600.3,111.5,780.4,440.5,405.9,321.2,716.6,280.5,221.7,180.8,635.2,297.3,552.4,197.8,802.9,212.9,565.1,715.3,708.9,444.3,679.4,63.3,261.1,318.1,634.6,448.5,789.1,256.0,642.9,777.4,171.5,315.5,156.3,627.5,33.8,251.9,273.5,710.4,439.6,770.7,486.2,181.7,114.9,195.0,156.3,255.9,248.1,259.6,691.4,476.6,248.0,220.1,444.3,696.5,67.1,734.7,605.5,962.5,246.0,250.9,620.2,609.0,112.3,672.3,32.0,731.8,803.6,297.5,72.7,161.5,966.5,654.8,71.9,159.5,477.9,719.4,659.0,590.5,137.4,626.3,823.9,936.3,399.4,173.4,837.8,583.3,599.2,103.0,760.6,310.9,493.4,679.8,332.8,212.5,272.2,653.3,176.0,185.7,550.3,318.8,730.2,733.7,568.4,578.0,853.6,686.8,467.7,679.5
DW,348.2,708.7,665.9,464.9,902.1,222.9,647.9,488.2,377.0,795.0,677.6,657.5,798.8,570.4,925.6,474.9,119.5,181.0,815.4,279.9,367.1,917.2,821.6,622.4,225.1,348.5,208.8,0.0,664.1,371.8,841.6,678.6,58.7,101.1,821.6,941.3,591.4,599.9,359.7,351.3,152.0,771.8,299.6,681.1,320.4,861.2,521.3,486.7,402.0,865.5,427.5,302.5,261.6,855.6,287.4,633.2,278.6,883.7,293.7,645.9,935.7,789.7,653.2,899.8,147.5,341.9,398.9,715.4,657.4,869.9,112.8,789.1,858.2,252.3,329.6,365.2,836.4,175.2,242.0,287.6,948.0,520.4,851.5,567.0,262.5,323.8,123.2,365.2,336.7,328.9,340.4,911.8,685.5,25.7,409.9,525.1,916.9,256.9,815.5,686.3,1043.3,326.8,331.7,829.1,817.9,321.2,753.1,240.9,947.2,884.4,378.3,281.6,351.3,1047.3,875.2,261.7,368.4,558.7,800.2,739.8,799.4,346.3,846.7,904.7,1017.1,480.2,101.6,918.6,664.1,680.0,292.8,841.4,519.8,574.2,760.6,413.6,140.7,286.3,734.1,256.8,394.6,759.2,308.9,950.6,814.5,649.2,658.8,934.4,855.1,676.6,825.7
DY,779.9,1087.1,1044.3,450.7,1280.5,576.6,1026.3,493.0,463.3,1173.4,1056.0,1035.9,1177.2,948.8,1304.0,853.3,756.2,587.1,1193.8,711.6,798.8,1364.0,1200.0,1000.8,656.8,780.2,640.5,714.7,0.0,803.5,1220.0,1110.3,665.9,804.2,1200.0,1319.7,969.8,978.3,791.4,416.6,601.7,1150.2,731.3,1059.5,752.1,1239.6,899.7,865.1,780.4,1243.9,859.2,488.5,431.2,1234.0,671.0,1011.6,479.3,1262.1,398.1,1024.3,1314.1,1168.1,1084.9,1278.2,579.2,414.8,473.6,1093.8,1089.1,1248.3,748.5,1167.5,1236.6,440.5,689.2,796.9,1268.1,606.9,625.6,647.2,1326.4,898.8,1229.9,945.4,498.9,755.5,687.5,796.9,504.4,449.9,545.8,1290.2,1117.2,740.5,841.6,903.5,1295.3,688.6,1193.9,1064.7,1421.7,365.2,514.5,1260.8,1249.6,752.9,1131.5,672.6,1325.6,1262.8,433.8,713.3,783.0,1425.7,1253.6,693.4,800.1,937.1,1178.6,1118.2,1231.1,778.0,1225.1,1283.1,1395.5,485.0,665.9,1297.0,1042.5,1058.4,724.5,1219.8,951.5,952.6,1139.0,437.3,705.0,645.9,1112.5,436.0,826.3,1226.4,692.5,1329.0,1192.9,1027.6,1037.2,1312.8,1233.5,1108.3,1204.1
DZ,230.2,793.7,750.9,549.9,987.1,368.7,732.9,573.2,462.0,880.0,762.6,742.5,656.7,655.4,692.1,559.9,429.5,379.2,900.4,251.3,385.9,712.4,906.6,707.4,149.4,92.1,165.7,388.0,749.1,0.0,926.6,473.8,339.2,477.5,605.3,1026.3,676.4,684.9,154.9,436.3,255.0,856.8,159.2,766.1,167.9,946.2,606.3,571.7,487.0,720.7,446.3,387.5,346.6,639.3,463.1,718.2,363.6,968.7,378.7,730.9,719.4,874.7,448.4,683.5,229.1,426.9,483.9,800.4,452.6,954.9,421.8,647.0,943.2,337.3,481.3,142.4,631.6,199.6,417.7,439.3,714.5,605.4,936.5,652.0,347.5,205.8,360.8,160.4,421.7,413.9,425.4,695.5,480.7,413.8,329.4,610.1,700.6,232.9,900.5,771.3,1128.3,411.8,416.7,624.3,613.1,64.8,838.1,188.7,735.9,969.4,463.3,94.8,291.1,1132.3,658.9,237.7,250.4,643.7,885.2,824.8,594.6,25.5,630.4,989.7,1102.1,565.2,339.2,1003.6,749.1,765.0,207.1,926.4,315.0,659.2,845.6,498.6,378.3,438.0,819.1,341.8,189.8,554.4,484.6,734.3,899.5,734.2,743.8,1019.4,690.9,471.8,683.6
EB,990.0,414.4,454.6,967.9,321.2,786.7,504.2,991.2,880.0,73.5,173.6,327.1,504.5,267.2,631.3,367.6,966.3,797.2,234.5,921.7,1008.9,691.3,240.7,323.1,866.9,990.3,850.6,924.8,1167.1,1013.6,0.0,651.4,876.0,1014.3,527.3,138.7,405.7,370.4,893.8,854.3,811.8,477.5,941.4,446.9,962.2,58.6,361.2,355.9,771.0,571.2,1069.3,805.5,764.6,561.3,881.1,489.5,781.6,130.0,796.7,460.2,641.4,495.4,605.0,605.5,789.3,844.9,901.9,188.7,672.1,67.3,958.6,494.8,16.5,755.3,899.3,1007.0,724.4,817.0,835.7,857.3,653.7,322.2,242.8,355.7,765.5,965.6,897.6,888.2,839.7,831.9,843.4,617.5,687.8,950.6,1051.7,381.4,622.6,898.7,61.8,165.4,240.7,829.8,834.7,701.7,705.9,963.0,169.7,882.7,652.9,303.5,881.3,923.4,993.1,244.7,580.9,903.5,1010.2,373.0,31.7,158.9,746.6,988.1,552.4,323.8,214.5,983.2,876.0,235.7,412.1,494.3,934.6,158.5,954.6,388.5,113.8,916.6,915.1,856.0,200.1,759.8,988.0,647.2,902.6,656.3,17.6,437.9,515.1,131.8,560.8,638.3,531.4
ED,520.3,354.4,559.7,830.0,725.1,648.8,396.5,853.3,742.1,618.0,500.6,301.4,182.8,440.7,218.2,482.7,719.6,659.3,638.4,541.4,676.0,238.5,644.6,492.7,439.5,453.8,455.8,678.1,1029.2,477.1,664.6,0.0,629.3,767.6,131.4,764.3,528.8,331.4,305.4,716.4,545.1,417.5,506.9,298.8,455.7,684.2,458.7,471.0,455.1,246.8,736.4,667.6,626.7,165.4,743.2,381.8,643.7,706.7,658.8,484.6,245.5,435.4,127.4,209.6,519.2,707.0,764.0,538.4,20.6,692.9,711.9,173.1,681.2,617.4,761.4,450.5,157.7,489.7,697.8,719.4,240.6,457.8,674.5,365.7,627.6,495.9,650.9,299.8,701.8,694.0,705.5,221.6,159.7,703.9,619.5,390.7,226.7,523.0,638.5,509.3,866.3,691.9,696.8,150.4,139.2,426.5,576.1,480.8,262.0,707.4,743.4,384.9,581.2,870.3,185.0,527.8,540.5,496.1,623.2,562.8,120.7,451.6,156.5,727.7,840.1,845.3,629.3,741.6,373.1,465.0,497.2,664.4,313.9,511.6,583.6,778.7,668.4,718.1,557.1,621.9,399.6,80.5,764.7,260.4,637.5,543.0,407.4,757.4,217.0,150.8,209.7
EU,289.4,649.9,607.1,406.1,843.3,164.1,589.1,429.4,318.2,736.2,618.8,598.7,740.0,511.6,866.8,416.1,90.2,122.2,756.6,221.1,308.3,858.4,762.8,563.6,166.3,289.7,150.0,48.7,605.3,313.0,782.8,619.8,0.0,149.9,762.8,882.5,532.6,541.1,300.9,292.5,93.2,713.0,240.8,622.3,261.6,802.4,462.5,427.9,343.2,806.7,368.7,243.7,202.8,796.8,228.6,574.4,219.8,824.9,234.9,587.1,876.9,730.9,594.4,841.0,88.7,283.1,340.1,656.6,598.6,811.1,125.4,730.3,799.4,193.5,270.8,306.4,777.6,116.4,183.2,228.8,889.2,461.6,792.7,508.2,203.7,265.0,64.4,306.4,277.9,270.1,281.6,853.0,626.7,74.5,351.1,466.3,858.1,198.1,756.7,627.5,984.5,268.0,272.9,770.3,759.1,262.4,694.3,184.1,888.4,825.6,319.5,222.8,292.5,988.5,816.4,202.9,309.6,499.9,741.4,681.0,740.6,287.5,787.9,845.9,958.3,421.4,42.8,859.8,605.3,621.2,234.0,782.6,461.0,515.4,701.8,354.8,81.9,227.5,675.3,198.0,335.8,700.4,250.1,891.8,755.7,590.4,600.0,875.6,796.3,617.8,766.9
EW,449.1,809.6,766.8,565.8,1003.0,291.2,748.8,589.1,477.9,895.9,778.5,758.4,899.7,671.3,1026.5,580.4,202.3,249.3,916.3,380.8,468.0,1018.1,922.5,723.3,326.0,449.4,309.7,108.8,765.0,472.7,942.5,779.5,167.6,0.0,922.5,1042.2,692.3,700.8,460.6,452.2,252.9,872.7,400.5,782.0,421.3,962.1,626.8,588.0,507.5,966.4,528.4,403.4,362.5,956.5,360.3,734.1,379.5,984.6,394.6,746.8,1036.6,890.6,754.1,1000.7,248.4,442.8,499.8,816.3,762.9,970.8,108.2,890.0,959.1,353.2,402.5,466.1,937.3,280.7,314.9,355.9,1048.9,625.9,952.4,667.9,363.4,424.7,196.1,466.1,437.6,434.4,441.3,1017.3,786.4,97.8,510.8,626.0,1017.8,357.8,916.4,787.2,1144.2,432.3,431.2,930.0,918.8,422.1,858.6,346.4,1048.1,985.3,479.2,382.5,452.2,1148.2,976.1,362.6,469.3,659.6,905.7,840.7,900.3,447.2,947.6,1005.6,1118.0,581.1,149.1,1024.1,765.0,780.9,393.7,940.6,620.7,675.1,861.5,509.6,172.9,354.6,835.0,357.7,493.5,860.1,377.2,1051.5,915.4,750.1,759.7,1035.3,956.0,777.5,926.6
FB,657.3,255.8,383.7,967.0,626.5,785.8,448.7,990.3,879.1,519.4,402.0,202.8,84.2,342.1,103.9,384.1,856.6,796.3,539.8,678.4,813.0,163.9,546.0,394.1,576.5,592.3,592.8,815.1,1166.2,614.1,566.0,136.9,766.3,904.6,0.0,665.7,387.1,232.8,442.4,853.4,682.1,318.9,643.9,200.2,592.7,585.6,510.9,372.4,592.1,115.3,873.4,804.6,763.7,33.9,880.2,434.0,780.7,608.1,795.8,391.5,114.0,336.8,264.4,78.1,656.2,844.0,901.0,439.8,157.6,594.3,848.9,74.5,582.6,754.4,898.4,587.5,209.9,626.7,834.8,856.4,126.3,338.7,575.9,267.1,764.6,632.9,787.9,436.8,838.8,831.0,842.5,90.1,296.7,840.9,756.5,442.9,95.2,660.0,539.9,410.7,767.7,828.9,833.8,174.3,191.4,563.5,477.5,617.8,147.7,608.8,880.4,521.9,718.2,771.7,53.5,664.8,677.5,416.9,524.6,464.2,232.1,588.6,25.0,629.1,741.5,982.3,766.3,643.0,274.5,425.6,634.2,565.8,450.9,402.8,485.0,915.7,805.4,855.1,458.5,758.9,536.6,132.7,901.7,128.9,538.9,367.0,459.6,658.8,85.5,287.8,78.8
FF,1094.5,518.9,559.1,1072.4,425.7,891.2,608.7,1095.7,984.5,178.0,278.1,431.6,609.0,371.7,735.8,472.1,1070.8,901.7,339.0,1026.2,1113.4,795.8,345.2,427.6,971.4,1096.3,955.1,1029.3,1271.6,1118.1,123.5,755.9,980.5,1118.8,631.8,0.0,510.2,474.9,998.3,958.8,916.3,582.0,1045.9,551.4,1066.7,75.7,465.7,460.4,875.5,675.7,1173.8,910.0,869.1,665.8,985.6,594.0,886.1,234.5,901.2,564.7,745.9,599.9,709.5,710.0,893.8,949.4,1006.4,293.2,776.6,67.6,1063.1,599.3,140.1,859.8,1003.8,1111.5,828.9,921.5,940.2,961.8,758.2,426.7,347.3,460.2,870.0,1070.1,1002.1,992.7,944.2,936.4,947.9,722.0,792.3,1055.1,1156.2,485.9,727.1,1003.2,166.3,269.9,167.6,934.3,939.2,806.2,810.4,1067.5,274.2,987.2,757.4,408.0,985.8,1027.9,1097.6,171.6,685.4,1008.0,1114.7,477.5,136.2,263.4,851.1,1092.6,656.9,428.3,141.4,1087.7,980.5,340.2,516.6,598.8,1039.1,263.0,1059.1,493.0,218.3,1021.1,1019.6,960.5,304.6,864.3,1092.5,751.7,1007.1,760.8,122.1,542.4,619.6,9.2,665.3,742.8,635.9
FG,742.6,255.6,82.6,720.5,449.0,539.3,132.5,743.8,632.6,341.9,224.5,204.4,345.7,117.3,472.5,120.2,718.9,549.8,362.3,674.3,761.5,532.5,368.5,169.3,619.5,744.4,603.2,677.4,919.7,766.2,388.5,492.6,628.6,766.9,368.5,488.2,0.0,146.8,716.7,606.9,564.4,318.7,694.0,228.0,714.8,408.1,113.8,108.5,523.6,412.4,821.9,558.1,517.2,402.5,633.7,157.2,534.2,430.6,549.3,54.4,482.6,336.6,515.3,446.7,541.9,597.5,654.5,262.3,513.3,416.8,711.2,336.0,405.1,507.9,651.9,759.6,565.6,569.6,588.3,609.9,494.9,67.3,398.4,113.9,518.1,718.2,650.2,711.1,592.3,584.5,596.0,458.7,598.1,703.2,804.3,134.0,463.8,651.3,362.4,233.2,590.2,582.4,587.3,542.9,547.1,715.6,300.0,635.3,494.1,431.3,633.9,676.0,745.7,594.2,422.1,656.1,762.8,29.7,347.1,286.7,587.8,740.7,393.6,451.6,564.0,735.8,628.6,465.5,211.0,88.5,687.2,388.3,707.2,15.6,307.5,669.2,667.7,608.6,281.0,512.4,789.0,480.1,655.2,497.5,361.4,65.9,158.1,481.3,402.0,548.6,372.6
FJ,773.6,108.7,150.8,751.5,440.9,570.3,236.7,774.8,663.6,333.8,216.4,57.5,198.8,109.2,325.6,151.2,749.9,580.8,354.2,705.3,792.5,385.6,360.4,161.2,650.5,801.1,634.2,708.4,950.7,822.9,380.4,345.7,659.6,797.9,221.6,480.1,154.2,0.0,651.2,637.9,595.4,171.8,725.0,81.1,745.8,400.0,144.8,139.5,554.6,265.5,852.9,589.1,548.2,255.6,664.7,261.4,565.2,422.5,580.3,158.6,335.7,189.7,368.4,299.8,572.9,628.5,685.5,254.2,366.4,408.7,742.2,189.1,397.0,538.9,682.9,796.3,418.7,600.6,619.3,640.9,348.0,105.8,390.3,34.2,549.1,749.2,681.2,645.6,623.3,615.5,627.0,311.8,451.2,734.2,835.3,165.0,316.9,682.3,354.3,225.1,582.1,613.4,618.3,396.0,400.2,772.3,291.9,666.3,347.2,423.2,664.9,730.7,776.7,586.1,275.2,687.1,793.8,184.0,339.0,278.6,440.9,797.4,246.7,443.5,555.9,766.8,659.6,457.4,64.1,192.7,718.2,380.2,659.7,169.9,299.4,700.2,698.7,639.6,272.9,543.4,745.4,341.5,686.2,350.6,353.3,134.1,262.3,473.2,255.1,401.7,225.7
GE,214.8,778.3,735.5,534.5,944.1,353.3,717.5,557.8,446.6,837.0,719.6,636.7,501.7,640.0,537.1,544.5,414.1,363.8,857.4,235.9,370.5,557.4,863.6,692.0,134.0,148.3,150.3,372.6,733.7,171.6,883.6,318.8,323.8,462.1,450.3,983.3,661.0,669.5,0.0,420.9,239.6,841.4,201.4,634.1,150.2,903.2,590.9,556.3,345.1,565.7,430.9,372.1,331.2,484.3,447.7,702.8,348.2,925.7,363.3,715.5,564.4,859.3,293.4,528.5,213.7,411.5,468.5,757.4,297.6,911.9,406.4,492.0,900.2,321.9,465.9,145.0,476.6,184.2,402.3,423.9,559.5,590.0,893.5,636.6,332.1,190.4,345.4,5.4,406.3,398.5,410.0,540.5,325.7,398.4,314.0,594.7,545.6,217.5,857.5,728.3,1085.3,396.4,401.3,469.3,458.1,121.0,795.1,173.3,580.9,926.4,447.9,79.4,275.7,1089.3,503.9,222.3,235.0,628.3,842.2,781.8,439.6,146.1,475.4,946.7,1059.1,549.8,323.8,960.6,733.7,749.6,191.7,883.4,160.0,643.8,802.6,483.2,362.9,422.6,776.1,326.4,94.1,399.4,469.2,579.3,856.5,718.8,728.4,976.4,535.9,316.8,528.6
GN,457.2,764.4,721.6,129.7,957.8,253.9,703.6,172.0,70.7,850.7,733.3,713.2,854.5,626.1,981.3,530.6,433.5,264.4,871.1,388.9,476.1,1041.3,877.3,678.1,334.1,457.5,317.8,392.0,398.7,480.8,897.3,787.6,343.2,481.5,877.3,997.0,647.1,655.6,468.7,0.0,279.0,827.5,408.6,736.8,429.4,916.9,577.0,542.4,457.7,921.2,536.5,71.8,126.8,911.3,348.3,688.9,62.6,939.4,158.9,701.6,991.4,845.4,762.2,955.5,256.5,207.1,86.6,771.1,766.4,925.6,425.8,844.8,913.9,117.5,366.5,474.2,945.4,284.2,302.9,324.5,1003.7,576.1,907.2,622.7,82.2,432.8,364.8,474.2,201.9,194.1,129.1,967.5,794.5,417.8,518.9,580.8,972.6,365.9,871.2,742.0,1099.0,192.0,97.8,938.1,926.9,430.2,808.8,349.9,1002.9,940.1,243.5,390.6,460.3,1103.0,930.9,370.7,477.4,614.4,855.9,795.5,908.4,455.3,902.4,960.4,1072.8,164.0,343.2,974.3,719.8,735.7,401.8,897.1,628.8,629.9,816.3,62.2,382.3,323.2,789.8,122.0,503.6,903.7,369.8,1006.3,870.2,704.9,714.5,990.1,910.8,785.6,881.4
GT,240.2,580.7,537.9,336.9,774.1,155.7,519.9,360.2,249.0,667.0,549.6,529.5,670.8,442.4,797.6,346.9,198.5,166.2,687.4,171.9,259.1,857.6,693.6,494.4,117.1,240.5,100.8,157.0,536.1,263.8,713.6,570.6,108.2,246.5,693.6,813.3,463.4,471.9,251.7,223.3,0.0,643.8,191.6,553.1,212.4,733.2,393.3,358.7,274.0,737.5,319.5,174.5,133.6,727.6,250.1,505.2,150.6,755.7,165.7,517.9,807.7,661.7,545.2,771.8,39.5,213.9,270.9,587.4,549.4,741.9,190.8,661.1,730.2,124.3,268.3,257.2,728.4,67.2,204.7,226.3,820.0,392.4,723.5,439.0,134.5,215.8,129.8,257.2,208.7,200.9,212.4,783.8,577.5,182.8,301.9,397.1,788.9,148.9,687.5,558.3,915.3,198.8,203.7,721.1,709.9,213.2,625.1,132.9,819.2,756.4,250.3,173.6,243.3,919.3,747.2,153.7,260.4,430.7,672.2,611.8,691.4,238.3,718.7,776.7,889.1,352.2,108.2,790.6,536.1,552.0,184.8,713.4,411.8,446.2,632.6,285.6,147.3,225.0,606.1,128.8,286.6,651.2,271.6,822.6,686.5,521.2,530.8,806.4,727.1,568.6,697.7
HK,938.5,63.1,329.0,929.7,560.4,748.5,414.9,953.0,841.8,453.3,335.9,148.1,271.2,287.4,398.0,329.4,928.1,759.0,473.7,959.6,970.7,458.0,479.9,339.4,857.7,872.0,874.0,886.6,1128.9,895.3,499.9,418.1,837.8,976.1,294.0,599.6,332.4,178.1,723.6,816.1,773.6,0.0,925.1,153.5,873.9,519.5,323.0,317.7,732.8,337.9,1031.1,767.3,726.4,328.0,842.9,439.6,743.4,542.0,758.5,336.8,408.1,17.8,440.8,372.2,751.1,806.7,863.7,373.7,438.8,528.2,920.4,261.5,516.5,717.1,861.1,868.7,491.1,778.8,797.5,819.1,420.4,284.0,509.8,212.4,727.3,914.1,859.4,718.0,801.5,793.7,805.2,384.2,523.6,912.4,1037.7,343.2,389.3,941.2,473.8,344.6,701.6,791.6,796.5,468.4,472.6,844.7,411.4,897.0,419.6,542.7,843.1,803.1,999.4,705.6,347.6,946.0,958.7,362.2,458.5,398.1,513.3,869.8,319.1,563.0,675.4,945.0,837.8,576.9,219.8,370.9,915.4,499.7,732.1,348.1,418.9,878.4,876.9,817.8,392.4,721.6,817.8,413.9,864.4,423.0,472.8,312.3,440.5,592.7,327.5,474.1,298.1
