from_stop,AE,AF,AZ,BB,BT,DN,DZ,EN,EO,EQ,ER,EU,FA,FF,FH,FI,FZ,GX,GY,HV,HY,HZ,IC,IM,JD,JH,JW,JY,JZ,KC,KD,KE,KI,KO,KU,KV,LA,LN,MQ,MU,MV,NH,NN,OA,OM,OQ,OW,PI,PO,QC,QL,QU,QZ,RJ,RW,RZ,SI,SK,SP,SY,TB,TH,TN,TO,VE,VO,WY,XA,XF,XI,XO,YA,YF,YL,YM,ZA,ZX
OA,488.6,247.8,270.9,465.6,2058.7,499.2,313.3,407.1,459.8,570.3,563.5,183.2,562.4,352.1,186.6,203.4,197.8,521.0,345.8,225.4,169.5,260.8,394.9,298.9,213.9,600.5,217.4,250.1,268.6,429.8,271.3,290.5,578.4,252.1,609.3,238.5,72.5,213.9,229.2,598.7,258.5,257.1,82.1,0.0,132.5,416.2,50.9,221.3,600.9,321.8,542.8,387.7,350.6,203.4,305.0,601.1,300.9,230.2,224.2,497.2,546.5,181.9,365.9,585.3,295.2,544.8,143.6,270.4,236.5,267.2,389.1,265.0,154.1,467.7,536.5,622.1,330.5
OM,506.7,237.8,294.2,518.6,2082.0,523.0,336.6,430.4,489.7,593.6,586.8,170.8,585.7,346.3,180.8,215.6,192.0,544.3,340.0,230.0,36.9,250.0,418.2,318.5,208.4,620.1,211.6,274.8,262.8,453.1,265.5,281.0,598.0,366.7,624.1,261.9,108.6,237.2,252.5,613.1,252.7,273.2,132.2,50.0,0.0,439.5,90.9,233.5,624.2,341.4,566.1,381.9,344.8,193.9,299.2,624.4,324.2,240.3,216.6,516.8,566.1,176.1,389.2,608.6,289.4,568.1,137.8,264.6,240.1,290.5,412.4,259.2,148.3,491.0,556.1,645.4,353.8
OQ,318.7,405.8,352.2,330.6,1915.1,356.1,122.5,242.4,50.1,426.7,419.9,338.8,418.8,363.5,348.8,357.8,360.0,377.4,357.2,372.2,337.1,418.0,230.2,86.4,376.4,453.2,379.6,60.7,430.8,286.2,433.5,449.0,431.1,152.6,457.2,322.4,283.3,295.2,56.6,446.2,420.7,331.2,306.9,350.2,300.1,0.0,265.6,375.7,457.3,127.3,399.2,399.1,289.3,361.9,407.6,457.5,382.2,408.3,384.6,349.9,399.2,344.1,201.2,441.7,457.4,401.2,305.8,432.6,337.1,102.5,172.3,427.2,316.3,324.1,116.5,478.5,139.7
OW,534.1,206.9,351.9,511.1,2087.8,580.2,384.2,452.6,505.3,641.2,644.5,142.3,643.4,301.1,145.7,162.5,156.9,602.0,304.9,174.4,128.6,219.9,440.4,376.2,173.0,667.7,176.5,331.1,227.7,500.7,230.4,235.8,645.6,333.1,676.5,322.1,21.6,294.9,310.2,679.7,217.6,238.8,41.2,138.0,91.6,461.7,0.0,180.4,681.9,389.0,623.8,336.7,309.7,148.7,264.1,682.1,282.6,189.3,173.2,564.4,613.7,141.0,411.4,666.3,254.3,625.8,102.7,229.5,317.5,341.1,467.9,224.1,113.2,538.6,568.2,703.1,411.5
PI,482.7,117.3,305.7,494.6,2002.4,534.5,348.1,406.4,465.7,605.1,598.3,32.3,597.2,225.8,60.3,134.3,71.5,555.8,219.5,148.7,82.4,129.5,394.2,330.0,87.9,631.6,91.1,286.3,142.3,464.6,145.0,160.5,609.5,378.2,640.4,273.3,154.1,248.7,264.0,624.6,132.2,128.2,177.7,95.5,45.4,415.5,136.4,0.0,635.7,352.9,577.6,261.4,224.3,73.4,178.7,635.9,179.2,119.8,78.1,528.3,577.6,55.6,365.2,620.1,168.9,579.6,17.3,144.1,101.6,294.9,421.7,138.7,27.8,502.5,532.1,656.9,365.3
PO,651.2,477.8,676.0,663.1,2101.1,171.1,497.0,574.9,634.2,187.5,162.7,545.0,161.6,397.2,466.9,629.0,501.3,74.5,390.9,643.4,577.1,527.0,562.7,392.2,517.7,145.2,532.2,435.2,539.8,308.4,574.8,521.0,158.3,527.1,179.9,643.6,648.8,619.0,412.9,35.7,492.7,640.9,672.4,590.2,540.1,584.0,631.1,646.9,0.0,501.8,84.4,432.8,323.0,454.0,441.3,139.7,691.9,549.6,590.8,111.2,57.7,471.6,533.7,137.2,529.4,114.7,510.3,573.9,614.3,435.0,590.2,484.0,499.8,247.0,700.6,68.9,514.2
QC,321.6,424.5,328.4,333.5,1891.3,331.8,167.4,245.3,304.6,402.9,396.1,438.5,395.0,339.7,436.7,378.7,447.9,353.6,333.4,400.7,358.0,505.9,233.1,62.6,464.3,429.4,467.5,104.2,518.7,262.4,521.4,463.5,407.3,25.2,433.4,296.0,380.6,271.4,83.3,421.1,435.2,314.6,390.2,371.1,321.0,254.4,348.9,396.6,433.5,0.0,375.4,375.3,265.5,396.5,383.8,433.7,358.4,496.2,479.5,326.1,375.4,432.0,204.1,417.9,471.9,377.4,397.2,520.5,313.3,105.4,260.6,426.5,404.2,300.3,371.0,454.7,12.3
QL,653.7,483.2,678.5,665.6,2106.5,176.5,499.5,577.4,636.7,137.6,112.8,550.4,111.7,402.6,472.3,634.4,506.7,79.9,396.3,648.8,582.5,532.4,565.2,394.7,523.1,98.8,537.6,437.7,545.2,310.9,580.2,526.4,108.4,529.6,144.7,646.2,654.2,621.5,415.4,47.4,498.1,646.3,677.8,595.6,545.5,586.5,636.5,652.3,75.9,504.3,0.0,438.2,328.4,459.4,446.7,103.1,697.3,555.0,596.2,116.6,63.1,477.0,536.2,87.3,534.8,63.6,515.7,579.3,619.7,437.5,592.7,489.4,505.2,249.5,703.1,136.0,516.7
QU,545.2,107.0,368.2,557.1,2000.0,595.9,410.6,468.9,528.2,667.6,660.8,112.8,659.7,223.4,50.0,196.8,69.1,618.3,217.1,218.8,144.9,124.2,456.7,392.5,85.2,694.1,100.0,347.4,132.0,527.1,142.6,150.2,672.0,440.7,698.1,335.9,230.6,311.2,326.5,685.8,121.9,208.7,240.2,154.3,107.9,478.0,209.0,214.7,698.2,415.4,640.1,0.0,221.9,63.1,8.4,698.4,259.7,101.5,160.4,590.8,640.1,39.4,427.7,682.6,158.6,642.1,78.1,141.7,333.8,357.4,484.2,51.1,67.6,565.0,594.6,719.4,427.8
QZ,682.8,561.1,631.2,694.7,1778.0,434.0,528.6,606.5,665.8,504.6,497.8,491.8,496.7,421.1,504.1,441.5,515.3,388.7,414.8,455.9,492.4,573.3,594.3,423.8,531.7,529.8,534.9,466.8,586.1,425.3,588.8,604.3,509.0,558.7,539.9,598.9,540.3,574.2,444.5,457.5,576.0,587.7,563.9,505.5,455.4,615.6,522.6,459.4,468.6,533.4,477.1,456.7,0.0,517.2,465.2,524.3,638.7,563.6,537.6,397.3,410.5,499.4,565.3,519.6,612.7,479.1,461.1,587.9,561.1,466.6,621.8,582.5,471.6,402.0,732.2,533.1,545.8
RJ,528.5,48.0,346.3,505.5,1964.5,574.6,388.7,447.0,506.3,645.7,638.9,97.5,637.8,166.0,12.8,174.9,47.2,596.4,159.7,196.9,123.0,72.9,434.8,370.6,63.3,672.2,78.1,325.5,85.7,505.2,120.7,87.0,650.1,418.8,681.0,313.9,208.7,289.3,304.6,674.1,58.7,194.0,218.3,136.1,86.0,456.1,177.0,192.8,676.3,393.5,618.2,201.6,186.4,0.0,105.2,676.5,237.8,77.7,138.5,568.9,618.2,17.5,405.8,660.7,95.4,620.2,56.2,119.8,160.2,335.5,462.3,65.2,45.7,543.1,572.7,697.5,405.9
RW,540.7,97.3,358.5,547.4,1990.3,586.8,400.9,459.2,518.5,657.9,651.1,109.7,650.0,213.7,40.3,187.1,59.4,608.6,207.4,209.1,135.2,114.5,447.0,382.8,75.5,684.4,90.3,337.7,122.3,517.4,132.9,140.5,662.3,339.7,688.4,326.2,220.9,301.5,316.8,676.9,112.2,206.2,230.5,144.6,98.2,468.3,189.2,205.0,688.5,405.7,630.4,249.3,212.2,53.4,0.0,688.7,250.0,107.7,150.7,581.1,630.4,29.7,418.0,672.9,148.9,632.4,68.4,132.0,172.4,347.7,474.5,41.4,57.9,555.3,584.9,709.7,418.1
RZ,637.6,519.6,662.4,649.5,2142.9,212.9,483.4,561.3,620.6,63.8,96.7,586.8,95.6,439.0,508.7,670.8,543.1,116.3,432.7,685.2,618.9,568.8,549.1,378.6,559.5,5.5,574.0,421.6,581.6,294.8,616.6,562.8,30.9,513.5,89.9,630.1,620.2,605.4,399.3,101.8,534.5,641.4,643.8,632.0,581.9,570.4,602.5,688.7,125.4,488.2,108.9,474.6,364.8,495.8,483.1,0.0,692.4,591.4,632.6,153.0,99.5,513.4,520.1,71.2,571.2,92.5,552.1,615.7,656.1,421.4,576.6,525.8,541.6,233.4,687.0,128.9,500.6
SI,505.8,135.2,328.8,517.7,2020.3,557.6,371.2,429.5,488.8,628.2,621.4,73.4,620.3,243.7,78.2,157.4,89.4,578.9,237.4,171.8,105.5,147.4,417.3,353.1,105.8,654.7,109.0,309.4,160.2,487.7,162.9,178.4,632.6,401.3,658.7,296.4,177.2,271.8,287.1,647.7,150.1,169.3,200.8,118.6,68.5,438.6,159.5,175.3,658.8,376.0,600.7,279.3,242.2,91.3,196.6,659.0,0.0,137.7,119.2,551.4,600.7,73.5,388.3,643.2,186.8,602.7,38.7,162.0,142.7,318.0,444.8,156.6,45.7,525.6,555.2,680.0,388.4
SK,541.3,131.0,395.7,553.2,1899.3,593.1,406.7,496.4,524.3,663.7,656.9,108.9,655.8,144.2,105.4,224.3,61.6,510.0,116.4,214.9,172.4,143.2,484.2,388.6,13.2,721.6,136.2,344.9,187.4,545.7,41.9,205.6,699.5,436.8,655.5,363.4,258.1,338.7,354.0,577.5,177.3,204.8,267.7,154.1,135.4,505.5,195.0,242.2,589.9,442.9,636.2,179.8,121.2,178.6,165.9,694.5,287.2,0.0,187.9,517.7,553.3,100.7,455.2,678.7,214.0,669.6,105.6,41.0,178.2,384.9,511.7,183.8,224.4,592.5,590.7,715.5,455.3
SP,610.3,234.5,428.1,617.0,2119.6,655.8,470.5,528.8,581.5,727.5,720.7,172.7,719.6,343.0,177.5,238.8,188.7,678.2,336.7,260.8,204.8,246.7,516.6,452.4,204.8,754.0,208.3,407.3,259.5,587.0,262.2,277.7,731.9,500.6,758.0,395.7,107.9,371.1,386.4,745.7,249.4,48.2,117.5,214.2,167.8,537.9,76.2,256.7,758.1,475.3,700.0,378.6,341.5,190.6,295.9,758.3,99.2,237.0,0.0,650.7,700.0,172.8,487.6,742.5,286.1,702.0,138.0,261.3,393.7,417.3,544.1,255.9,145.0,624.9,654.5,779.3,487.7
SY,576.0,394.9,600.8,587.9,2018.2,91.0,421.8,499.7,552.4,162.7,155.9,468.7,154.8,314.3,384.0,546.1,418.4,39.7,308.0,568.1,494.2,449.1,487.5,317.0,434.5,180.8,449.3,360.0,456.9,229.4,491.9,438.1,167.1,360.6,193.2,568.5,579.9,543.8,337.7,107.2,409.8,565.2,589.5,507.3,457.2,508.8,548.2,564.0,119.6,426.6,135.2,349.9,240.1,371.1,358.4,175.3,609.0,448.9,509.7,0.0,61.5,388.7,458.5,175.1,446.5,137.2,427.4,491.0,531.4,359.8,515.0,401.1,416.9,168.0,625.4,184.1,439.0
TB,593.4,424.2,618.2,605.3,2043.3,112.2,439.2,517.1,576.4,163.8,139.0,493.8,137.9,339.4,409.1,571.2,443.5,16.7,333.1,593.2,519.3,474.2,504.9,334.4,459.9,119.2,474.4,376.0,482.0,250.6,517.0,463.2,144.7,378.0,149.1,585.9,605.0,561.2,355.1,46.9,434.9,590.3,614.6,528.7,482.3,526.2,573.3,589.1,58.0,444.0,76.4,375.0,265.2,396.2,383.5,113.7,634.1,491.8,534.8,53.4,0.0,413.8,475.9,113.5,471.6,106.7,452.5,516.1,556.5,377.2,532.4,426.2,442.0,189.2,642.8,122.5,456.4
TH,505.7,61.6,328.7,517.6,1960.5,557.5,371.1,429.4,488.7,628.1,621.3,73.3,620.2,183.9,4.6,157.3,29.6,578.8,177.6,171.7,105.4,73.8,417.2,353.0,46.0,654.6,60.5,309.3,86.6,487.6,103.1,104.8,632.5,401.2,658.6,296.3,177.1,271.7,287.0,647.6,76.5,169.2,200.7,118.5,68.4,438.5,159.4,175.2,658.7,375.9,600.6,219.5,182.4,17.7,123.0,658.9,220.2,77.9,119.1,551.3,600.6,0.0,388.2,643.1,113.2,602.6,38.6,102.2,142.6,317.9,444.7,83.0,28.1,525.5,555.1,679.9,388.3
TN,181.0,443.2,387.1,192.9,1971.9,412.9,175.7,41.1,149.8,483.5,476.7,376.2,475.6,420.3,386.2,430.5,397.4,434.2,414.0,444.9,374.5,455.4,63.3,173.1,413.8,510.0,417.0,135.6,468.2,386.7,470.9,486.4,487.9,205.8,514.0,354.7,356.0,330.1,129.3,503.0,458.1,366.1,379.6,387.6,337.5,99.6,338.3,448.4,514.1,180.5,456.0,455.9,346.1,399.3,464.4,514.3,417.1,445.7,422.0,406.7,456.0,381.5,0.0,498.5,494.8,458.0,343.2,470.0,372.0,101.0,56.4,464.6,353.7,380.9,216.2,535.3,192.9
TO,566.3,503.2,591.1,578.2,2080.1,126.7,412.1,490.0,549.3,50.2,25.4,570.4,24.3,422.6,492.3,654.4,526.7,164.3,416.3,668.8,602.5,552.4,477.8,307.3,543.1,77.1,557.6,350.3,565.2,223.5,600.2,546.4,54.6,442.2,80.7,558.8,548.9,534.1,328.0,131.8,518.1,570.1,572.5,615.6,565.5,499.1,531.2,672.3,160.1,416.9,84.3,458.2,348.4,479.4,466.7,81.4,621.1,575.0,616.2,120.5,147.5,497.0,448.8,0.0,554.8,86.3,535.7,599.3,576.0,350.1,505.3,509.4,525.2,162.1,615.7,163.6,429.3
VE,650.7,151.1,473.7,662.6,1869.0,525.0,516.1,574.4,633.7,595.6,588.8,218.3,587.7,70.5,140.2,302.3,174.6,479.7,64.2,316.7,250.4,200.3,562.2,498.0,191.0,620.8,205.5,454.3,213.1,516.3,248.1,194.3,600.0,546.2,626.1,441.4,322.1,416.7,432.0,548.5,166.0,314.2,345.7,263.5,213.4,583.5,304.4,320.2,559.6,520.9,568.1,106.1,90.9,127.3,114.6,615.3,365.2,222.9,264.1,488.3,501.5,144.9,533.2,610.6,0.0,570.1,183.6,247.2,287.6,462.9,589.7,157.3,173.1,493.0,700.1,624.1,533.3
VO,657.8,490.1,677.4,664.5,2109.2,178.7,498.4,576.3,635.6,136.5,111.7,553.1,110.6,405.3,475.0,637.1,509.4,82.6,399.0,659.1,585.2,540.1,564.1,393.6,525.5,91.9,540.3,435.2,547.9,309.8,582.9,529.1,117.4,528.5,121.8,645.0,670.9,620.4,414.3,66.8,500.8,656.2,680.5,594.6,548.2,585.4,649.3,655.0,73.7,503.2,77.6,440.9,331.1,462.1,449.4,86.4,700.0,541.8,600.7,119.3,65.8,479.7,535.1,86.2,537.5,0.0,518.4,582.0,643.0,436.4,591.6,492.1,507.9,248.4,702.0,77.2,515.6
WY,467.0,99.9,290.0,478.9,1985.0,518.8,332.4,390.7,450.0,589.4,582.6,34.6,581.5,208.4,42.9,118.6,54.1,540.1,202.1,133.0,66.7,112.1,378.5,314.3,70.5,615.9,73.7,270.6,124.9,448.9,127.6,143.1,593.8,362.5,624.7,257.6,138.4,233.0,248.3,608.9,114.8,130.5,162.0,79.8,29.7,399.8,120.7,136.5,620.0,337.2,561.9,244.0,206.9,56.0,161.3,620.2,181.5,102.4,80.4,512.6,561.9,38.2,349.5,604.4,151.5,563.9,0.0,126.7,103.9,279.2,406.0,121.3,10.4,486.8,516.4,641.2,349.6
XA,720.1,220.5,543.1,732.0,1916.5,572.5,585.5,643.8,703.1,643.1,636.3,287.7,635.2,139.9,209.6,371.7,244.0,527.2,133.6,386.1,319.8,269.7,631.6,567.4,260.4,668.3,274.9,523.7,282.5,563.8,59.1,263.7,647.5,615.6,673.6,513.3,391.5,486.1,501.4,596.0,235.4,383.6,415.1,332.9,282.8,652.9,373.8,389.6,607.1,590.3,615.6,175.5,138.4,196.7,184.0,662.8,434.6,292.3,333.5,535.8,549.0,214.3,602.6,658.1,272.1,617.6,253.0,0.0,357.0,532.3,659.1,226.7,242.5,540.5,769.5,671.6,602.7
XF,580.4,217.0,398.2,557.4,2097.9,626.5,440.6,498.9,551.6,697.6,690.8,157.6,689.7,321.3,155.8,208.8,167.0,648.3,315.0,250.1,174.9,230.0,486.7,417.5,183.1,724.1,186.6,377.4,237.8,552.1,240.5,256.0,697.0,379.4,732.9,360.8,97.2,336.2,356.5,726.0,227.7,33.7,106.8,184.3,137.9,508.0,56.3,226.7,728.2,440.4,670.1,356.9,319.8,168.9,274.2,728.4,77.5,199.4,198.6,620.8,665.1,151.1,457.7,712.6,264.4,672.1,116.3,239.6,0.0,387.4,514.2,234.2,123.3,595.0,624.6,749.4,457.8
XI,216.1,373.0,325.9,228.0,1870.8,311.8,143.4,139.8,199.1,382.4,375.6,306.0,374.5,319.2,316.0,325.0,327.2,333.1,312.9,339.4,304.3,385.2,127.6,125.3,343.6,408.9,346.8,81.6,398.0,241.9,400.7,416.2,386.8,173.5,417.7,293.6,250.5,268.9,59.3,401.9,387.9,304.9,274.1,317.4,267.3,148.9,232.8,342.9,413.0,148.2,354.9,354.8,245.0,329.1,363.3,413.2,355.9,375.5,351.8,305.6,354.9,311.3,98.6,397.4,424.6,356.9,273.0,399.8,310.8,0.0,155.1,406.0,283.5,279.8,265.5,434.2,160.6
XO,195.6,491.2,435.1,207.5,2019.9,460.9,190.4,82.7,182.8,531.5,524.7,424.2,523.6,468.3,434.2,469.0,445.4,482.2,462.0,483.4,422.5,503.4,111.3,187.8,461.8,558.0,465.0,150.3,516.2,401.4,518.9,534.4,535.9,220.5,562.0,402.7,370.7,378.1,144.0,551.0,506.1,414.1,394.3,435.6,385.5,132.6,353.0,486.9,562.1,195.2,504.0,503.9,394.1,447.3,512.4,562.3,465.1,493.7,470.0,454.7,504.0,429.5,47.9,546.5,542.8,506.0,391.2,518.0,420.0,149.0,0.0,512.6,401.7,428.9,249.2,583.3,207.6
YA,561.1,88.0,384.1,573.0,2008.7,612.9,426.5,484.8,544.1,683.5,676.7,128.7,675.6,239.3,62.3,212.7,85.0,634.2,233.0,227.1,160.8,122.4,472.6,408.4,101.4,710.0,115.9,364.7,135.2,543.0,158.5,131.2,687.9,456.6,714.0,354.3,232.5,327.1,342.4,703.0,102.9,224.6,256.1,173.9,123.8,493.9,214.8,230.6,714.1,431.3,656.0,274.9,230.6,49.4,92.2,714.3,275.6,133.3,174.5,606.7,656.0,55.3,443.6,698.5,139.6,658.0,94.0,157.6,198.0,373.3,500.1,0.0,83.5,580.9,610.5,735.3,443.7
YF,482.7,89.4,300.5,489.4,1974.5,528.2,342.9,401.2,460.5,599.9,593.1,51.7,592.0,197.9,32.4,129.1,43.6,550.6,191.6,151.1,77.2,106.6,389.0,324.8,59.7,626.4,63.2,281.1,114.4,459.4,117.1,132.6,604.3,281.7,635.2,268.1,162.9,243.5,258.8,618.1,104.3,148.2,172.5,90.3,40.2,410.3,131.2,147.0,630.5,347.7,572.4,233.5,196.4,45.5,150.8,630.7,192.0,74.1,92.7,523.1,572.4,27.7,360.0,614.9,141.0,574.4,10.4,116.2,114.4,289.7,416.5,110.8,0.0,497.3,526.9,651.7,360.1
YL,513.0,475.3,537.8,524.9,2026.8,168.4,358.8,436.7,496.0,240.1,233.3,549.1,232.2,394.7,464.4,626.5,498.8,190.8,388.4,648.5,574.6,529.5,424.5,254.0,514.9,266.6,529.7,297.0,537.3,170.2,572.3,518.5,244.5,297.6,275.4,505.5,509.6,480.8,274.7,258.3,490.2,516.8,519.2,584.0,537.6,445.8,488.0,644.4,270.7,363.6,212.6,430.3,320.5,451.5,438.8,270.9,567.8,531.2,590.1,163.3,212.6,469.1,395.5,255.1,526.9,214.6,507.8,571.4,522.7,296.8,452.0,481.5,497.3,0.0,562.4,291.9,376.0
YM,217.9,482.0,388.5,200.1,1993.6,433.5,175.0,75.1,168.6,505.2,498.4,417.4,497.3,442.0,420.8,429.8,432.0,455.9,435.7,451.8,409.1,490.0,103.7,172.4,448.4,531.7,451.6,136.3,502.8,386.0,505.5,521.0,509.6,129.3,535.7,356.2,369.3,331.5,128.6,523.4,492.7,374.7,378.9,418.5,372.1,125.0,337.6,447.7,535.8,179.8,477.7,477.6,367.8,433.9,486.1,536.0,418.5,480.3,458.4,428.4,477.7,416.1,40.3,520.2,529.4,479.7,377.8,504.6,354.1,174.5,55.7,499.2,388.3,402.6,0.0,557.0,192.2
ZA,691.8,518.4,716.6,703.7,2141.7,211.7,537.6,615.5,674.8,231.8,207.0,585.6,205.9,437.8,507.5,669.6,541.9,115.1,431.5,684.0,617.7,567.6,603.3,432.8,558.3,187.3,572.8,475.8,580.4,349.0,615.4,561.6,202.6,567.7,217.2,684.3,689.4,659.6,453.5,99.0,533.3,681.5,713.0,630.8,580.7,624.6,671.7,687.5,63.2,542.4,144.5,473.4,363.6,494.6,481.9,181.8,732.5,590.2,631.4,151.8,98.3,512.2,574.3,181.5,570.0,159.0,550.9,614.5,654.9,475.6,630.8,524.6,540.4,287.6,741.2,0.0,554.8
ZX,309.2,407.9,316.0,321.1,1878.9,319.9,155.0,232.9,292.2,390.5,383.7,419.5,382.6,327.3,424.3,366.3,435.5,341.2,321.0,380.7,345.6,493.5,220.7,50.2,451.9,417.0,455.1,93.2,506.3,250.0,509.0,451.1,394.9,12.9,425.8,283.6,354.2,259.0,70.9,410.0,422.8,295.0,377.8,358.7,308.6,242.0,336.5,384.2,421.1,159.8,363.0,362.9,253.1,384.1,371.4,421.3,346.0,483.8,465.3,313.7,363.0,419.6,191.7,405.5,459.5,365.0,384.8,508.1,300.9,93.0,248.2,414.1,391.8,287.9,358.6,442.3,0.0
